Orthogroup	Colletotrichum_godetiae	Colletotrichum_karsti
OG0000072	XP_060433292.1	XP_038743394.1
OG0000072	XP_060430058.1	XP_038743218.1
OG0000073	XP_060431088.1	XP_038743687.1
OG0000073	XP_060427350.1	XP_038743264.1
OG0000073	XP_060427303.1	XP_038742548.1
OG0000074	XP_060421376.1, XP_060422246.1, XP_060421355.1, XP_060421909.1, XP_060424571.1, XP_060423300.1	XP_038738962.1
OG0000075	XP_060435771.1	XP_038751168.1
OG0000076	XP_060429108.1	XP_038739795.1
OG0000077	XP_060435749.1	XP_038748011.1, XP_038746277.1
OG0000077	XP_060429949.1	XP_038746308.1
OG0000078	XP_060429979.1	XP_038743161.1
OG0000078	XP_060434048.1	XP_038750812.1
OG0000078	XP_060428127.1	XP_038742590.1
OG0000078	XP_060428533.1	XP_038751215.1
OG0000080	XP_060426223.1	XP_038738858.1
OG0000080	XP_060425323.1	XP_038746709.1
OG0000080	XP_060435856.1	XP_038751018.1
OG0000081	XP_060423130.1	XP_038748232.1
OG0000081	XP_060430904.1	XP_038747984.1
OG0000081	XP_060437149.1	XP_038743305.1, XP_038741010.1
OG0000082	XP_060422997.1	XP_038744232.1
OG0000082	XP_060424833.1	XP_038746901.1
OG0000083	XP_060432065.1	XP_038744246.1
OG0000085	XP_060425007.1	XP_038740897.1, XP_038747830.1, XP_038744429.1, XP_038744428.1, XP_038751259.1
OG0000088	XP_060422654.1	XP_038741537.1
OG0000089	XP_060434789.1	XP_038739171.1
OG0000090	XP_060435685.1	XP_038751256.1
OG0000090	XP_060432593.1	XP_038751721.1
OG0000090	XP_060434587.1	XP_038749487.1
OG0000091	XP_060429603.1	XP_038748252.1
OG0000091	XP_060429716.1	XP_038745426.1
OG0000093	XP_060423078.1	XP_038745039.1
OG0000094	XP_060424903.1	XP_038745580.1
OG0000094	XP_060433588.1	XP_038750495.1
OG0000094	XP_060430915.1	XP_038742532.1
OG0000095	XP_060426755.1	XP_038750878.1, XP_038747813.1, XP_038741429.1, XP_038748346.1
OG0000097	XP_060426330.1	XP_038742869.1
OG0000097	XP_060427229.1	XP_038741979.1
OG0000097	XP_060425720.1	XP_038742715.1
OG0000098	XP_060437196.1	XP_038748852.1
OG0000099	XP_060436672.1	XP_038751689.1
OG0000099	XP_060436671.1	XP_038744174.1
OG0000100	XP_060429116.1	XP_038750308.1
OG0000100	XP_060434736.1	XP_038739203.1
OG0000100	XP_060426685.1	XP_038748325.1
OG0000101	XP_060429801.1	XP_038742730.1
OG0000101	XP_060436734.1	XP_038744517.1
OG0000101	XP_060422556.1	XP_038747621.1
OG0000102	XP_060422559.1	XP_038747623.1
OG0000102	XP_060428962.1	XP_038741620.1
OG0000102	XP_060422755.1	XP_038740089.1
OG0000104	XP_060426278.1	XP_038740930.1
OG0000105	XP_060427086.1	XP_038746459.1
OG0000108	XP_060421664.1	XP_038743418.1
OG0000110	XP_060431348.1	XP_038748627.1
OG0000110	XP_060427587.1	XP_038749526.1
OG0000110	XP_060425377.1	XP_038747759.1, XP_038741778.1
OG0000111	XP_060423145.1	XP_038748174.1
OG0000111	XP_060435389.1	XP_038750864.1
OG0000112	XP_060423474.1	XP_038740382.1
OG0000112	XP_060431014.1	XP_038740557.1
OG0000112	XP_060427593.1	XP_038749524.1
OG0000113	XP_060428325.1	XP_038739961.1
OG0000113	XP_060430101.1	XP_038746085.1
OG0000113	XP_060437280.1	XP_038741048.1
OG0000114	XP_060436600.1	XP_038744642.1
OG0000114	XP_060423850.1	XP_038748159.1
OG0000115	XP_060436170.1	XP_038751602.1
OG0000120	XP_060424855.1	XP_038747307.1
OG0000121	XP_060433063.1	XP_038746143.1
OG0000122	XP_060421992.1	XP_038741719.1, XP_038743612.1
OG0000124	XP_060427566.1	XP_038742694.1
OG0000125	XP_060436341.1	XP_038750384.1
OG0000125	XP_060422442.1	XP_038741937.1
OG0000125	XP_060426742.1	XP_038741419.1
OG0000127	XP_060425263.1	XP_038748761.1
OG0000127	XP_060424874.1	XP_038747323.1
OG0000127	XP_060433246.1	XP_038745992.1
OG0000128	XP_060430770.1	XP_038742142.1
OG0000128	XP_060425868.1	XP_038747675.1
OG0000129	XP_060432571.1	XP_038749923.1
OG0000129	XP_060422672.1	XP_038746452.1
OG0000131	XP_060427310.1, XP_060427311.1	XP_038740696.1
OG0000132	XP_060427930.1	XP_038741408.1
OG0000133	XP_060423512.1	XP_038740462.1, XP_038742938.1
OG0000136	XP_060424587.1, XP_060422528.1	XP_038740219.1
OG0000138	XP_060436889.1	XP_038749040.1
OG0000138	XP_060424295.1	XP_038743077.1, XP_038744074.1
OG0000139	XP_060425773.1, XP_060425760.1	XP_038748311.1
OG0000140	XP_060424924.1	XP_038744937.1
OG0000142	XP_060430447.1	XP_038746290.1
OG0000142	XP_060431923.1	XP_038739464.1
OG0000143	XP_060430044.1	XP_038742306.1
OG0000143	XP_060430105.1	XP_038739238.1
OG0000144	XP_060430084.1	XP_038749918.1
OG0000144	XP_060424506.1	XP_038747213.1
OG0000145	XP_060434697.1	XP_038749178.1
OG0000147	XP_060436692.1	XP_038744544.1
OG0000147	XP_060432726.1	XP_038747791.1, XP_038745855.1
OG0000148	XP_060430277.1	XP_038744702.1
OG0000148	XP_060422699.1	XP_038746479.1
OG0000148	XP_060436776.1	XP_038740736.1
OG0000150	XP_060430974.1	XP_038740497.1
OG0000151	XP_060427403.1	XP_038739313.1
OG0000152	XP_060427235.1	XP_038741775.1, XP_038747130.1, XP_038741965.1
OG0000152	XP_060421572.1	XP_038741533.1
OG0000154	XP_060429061.1	XP_038739316.1
OG0000154	XP_060435826.1	XP_038751114.1
OG0000155	XP_060426769.1	XP_038741478.1
OG0000155	XP_060427849.1, XP_060422475.1, XP_060426770.1	XP_038748080.1
OG0000156	XP_060431367.1	XP_038748618.1
OG0000156	XP_060421880.1	XP_038746874.1, XP_038740509.1
OG0000158	XP_060422543.1	XP_038742332.1, XP_038741442.1
OG0000159	XP_060427666.1	XP_038747659.1
OG0000160	XP_060423084.1	XP_038739928.1
OG0000160	XP_060433591.1, XP_060424925.1	XP_038750954.1
OG0000161	XP_060432016.1	XP_038745894.1
OG0000161	XP_060431759.1	XP_038750617.1
OG0000162	XP_060421827.1	XP_038746043.1
OG0000162	XP_060421305.1, XP_060422261.1, XP_060424598.1	XP_038746951.1
OG0000163	XP_060435270.1	XP_038741373.1, XP_038741374.1, XP_038751950.1
OG0000163	XP_060432149.1	XP_038745369.1, XP_038742288.1, XP_038751612.1, XP_038745607.1
OG0000164	XP_060432699.1	XP_038748207.1
OG0000169	XP_060437202.1	XP_038748846.1
OG0000170	XP_060425710.1, XP_060435895.1, XP_060433416.1	XP_038740584.1
OG0000171	XP_060429262.1	XP_038750052.1
OG0000171	XP_060433871.1	XP_038748590.1
OG0000171	XP_060424740.1	XP_038748624.1, XP_038739674.1, XP_038745850.1
OG0000172	XP_060432397.1	XP_038751888.1
OG0000172	XP_060430143.1, XP_060431369.1	XP_038748619.1
OG0000174	XP_060423650.1	XP_038740605.1
OG0000174	XP_060423957.1	XP_038749826.1
OG0000175	XP_060429595.1	XP_038748259.1
OG0000177	XP_060434239.1	XP_038739673.1
OG0000178	XP_060423422.1	XP_038740415.1
OG0000178	XP_060433814.1	XP_038748052.1
OG0000179	XP_060424291.1	XP_038750081.1
OG0000179	XP_060430066.1	XP_038743226.1
OG0000180	XP_060435190.1	XP_038740525.1
OG0000180	XP_060430107.1	XP_038741945.1, XP_038748217.1
OG0000181	XP_060423731.1	XP_038744182.1
OG0000181	XP_060433045.1, XP_060431148.1	XP_038743700.1
OG0000182	XP_060430933.1	XP_038738759.1
OG0000182	XP_060430234.1	XP_038744740.1
OG0000185	XP_060431571.1	XP_038750433.1
OG0000186	XP_060432727.1	XP_038745854.1
OG0000186	XP_060423736.1	XP_038744178.1
OG0000187	XP_060432109.1	XP_038747911.1
OG0000187	XP_060434081.1	XP_038746896.1
OG0000188	XP_060432285.1	XP_038739581.1
OG0000188	XP_060433585.1	XP_038747325.1
OG0000190	XP_060436396.1	XP_038750331.1, XP_038749956.1, XP_038741334.1
OG0000196	XP_060432758.1	XP_038745731.1
OG0000198	XP_060436842.1	XP_038749063.1
OG0000198	XP_060433346.1	XP_038743374.1
OG0000198	XP_060424357.1	XP_038751749.1
OG0000199	XP_060434764.1	XP_038740947.1
OG0000199	XP_060428002.1	XP_038742483.1
OG0000200	XP_060421680.1, XP_060436630.1	XP_038749054.1, XP_038750872.1
OG0000201	XP_060424755.1	XP_038740041.1
OG0000202	XP_060423974.1, XP_060427756.1	XP_038740270.1
OG0000203	XP_060429285.1	XP_038747845.1, XP_038750085.1, XP_038750036.1
OG0000204	XP_060421545.1	XP_038747836.1, XP_038743235.1, XP_038747837.1
OG0000204	XP_060430068.1	XP_038747842.1
OG0000205	XP_060430966.1	XP_038744878.1
OG0000207	XP_060423735.1	XP_038744179.1
OG0000207	XP_060436778.1	XP_038749111.1
OG0000209	XP_060432777.1	XP_038745830.1, XP_038745834.1, XP_038745831.1, XP_038745833.1
OG0000211	XP_060421276.1, XP_060424648.1, XP_060428272.1, XP_060435314.1, XP_060421277.1, XP_060421808.1, XP_060421498.1, XP_060434127.1, XP_060424649.1, XP_060423286.1	XP_038747828.1
OG0000212	XP_060427599.1	XP_038749518.1
OG0000212	XP_060435153.1	XP_038743596.1
OG0000212	XP_060429474.1	XP_038749934.1
OG0000214	XP_060426385.1	XP_038748335.1, XP_038740737.1, XP_038743992.1
OG0000216	XP_060435606.1	XP_038744948.1
OG0000216	XP_060430434.1	XP_038746295.1
OG0000217	XP_060423662.1	XP_038743269.1
OG0000217	XP_060423665.1	XP_038742706.1, XP_038745186.1, XP_038749127.1, XP_038740580.1
OG0000218	XP_060425703.1, XP_060425704.1	XP_038751309.1, XP_038746850.1
OG0000219	XP_060423178.1	XP_038748162.1, XP_038746176.1, XP_038743334.1, XP_038742192.1, XP_038746177.1, XP_038740393.1
OG0000220	XP_060429093.1	XP_038739337.1
OG0000220	XP_060430530.1	XP_038746386.1
OG0000221	XP_060423480.1	XP_038745620.1, XP_038750411.1, XP_038745619.1, XP_038740447.1
OG0000222	XP_060433500.1	XP_038747147.1
OG0000222	XP_060432783.1	XP_038745825.1
OG0000223	XP_060430502.1	XP_038747720.1
OG0000223	XP_060435451.1, XP_060430503.1	XP_038747932.1
OG0000223	XP_060435450.1	XP_038746964.1
OG0000224	XP_060435447.1, XP_060432709.1	XP_038750814.1
OG0000225	XP_060429248.1	XP_038750053.1
OG0000225	XP_060437231.1	XP_038743690.1
OG0000225	XP_060421996.1	XP_038751971.1, XP_038742707.1
OG0000227	XP_060429824.1	XP_038740801.1
OG0000227	XP_060427511.1	XP_038749601.1
OG0000228	XP_060432744.1	XP_038745837.1
OG0000228	XP_060430035.1	XP_038743204.1
OG0000229	XP_060431157.1	XP_038743729.1
OG0000229	XP_060429818.1	XP_038743991.1
OG0000231	XP_060430848.1	XP_038742554.1
OG0000231	XP_060436403.1	XP_038750324.1
OG0000232	XP_060430900.1	XP_038742518.1
OG0000233	XP_060425871.1	XP_038741520.1
OG0000234	XP_060425235.1	XP_038744594.1
OG0000234	XP_060430402.1	XP_038741958.1
OG0000235	XP_060435253.1	XP_038742153.1
OG0000235	XP_060426200.1	XP_038744622.1
OG0000236	XP_060427004.1	XP_038745538.1
OG0000237	XP_060429197.1	XP_038750090.1
OG0000237	XP_060428577.1	XP_038738658.1, XP_038741384.1, XP_038740908.1
OG0000238	XP_060436822.1	XP_038749081.1
OG0000238	XP_060436823.1	XP_038749080.1, XP_038749082.1
OG0000239	XP_060423000.1	XP_038747819.1
OG0000239	XP_060432594.1	XP_038751722.1
OG0000241	XP_060424642.1	XP_038750100.1
OG0000242	XP_060430448.1	XP_038749658.1, XP_038739178.1, XP_038746289.1
OG0000244	XP_060426067.1	XP_038743945.1, XP_038741606.1
OG0000248	XP_060424578.1, XP_060422538.1, XP_060436223.1	XP_038751618.1
OG0000249	XP_060422865.1, XP_060422532.1, XP_060432830.1	XP_038745808.1
OG0000250	XP_060421724.1	XP_038744675.1
OG0000250	XP_060429519.1	XP_038741258.1
OG0000251	XP_060422916.1	XP_038743852.1
OG0000251	XP_060433584.1	XP_038747326.1
OG0000252	XP_060427330.1	XP_038740198.1
OG0000252	XP_060427961.1	XP_038742148.1
OG0000253	XP_060432779.1	XP_038745829.1
OG0000253	XP_060429783.1	XP_038745378.1
OG0000254	XP_060424511.1	XP_038740217.1
OG0000254	XP_060421484.1	XP_038749706.1
OG0000255	XP_060423628.1	XP_038743058.1
OG0000255	XP_060431508.1	XP_038748469.1
OG0000256	XP_060426849.1	XP_038741499.1
OG0000256	XP_060434413.1	XP_038749324.1
OG0000257	XP_060432113.1	XP_038747913.1
OG0000257	XP_060429590.1, XP_060429589.1	XP_038748264.1
OG0000258	XP_060429820.1	XP_038742745.1
OG0000258	XP_060423133.1	XP_038748228.1
OG0000259	XP_060422736.1	XP_038740103.1
OG0000259	XP_060427564.1	XP_038749549.1
OG0000260	XP_060427584.1	XP_038741591.1, XP_038749530.1
OG0000261	XP_060428648.1	XP_038748993.1, XP_038746275.1, XP_038748340.1, XP_038748992.1
OG0000262	XP_060423466.1	XP_038740387.1
OG0000262	XP_060427134.1	XP_038739923.1
OG0000263	XP_060426653.1	XP_038741063.1
OG0000263	XP_060437030.1	XP_038748794.1
OG0000265	XP_060425147.1	XP_038741953.1
OG0000265	XP_060425050.1	XP_038745344.1
OG0000266	XP_060425158.1, XP_060425157.1	XP_038741978.1
OG0000266	XP_060433597.1	XP_038747346.1
OG0000267	XP_060428292.1	XP_038739940.1, XP_038739362.1
OG0000267	XP_060425196.1	XP_038745984.1
OG0000268	XP_060430119.1	XP_038739208.1
OG0000268	XP_060428313.1	XP_038747178.1
OG0000269	XP_060428572.1, XP_060424045.1	XP_038744978.1, XP_038740014.1
OG0000270	XP_060430676.1	XP_038739100.1
OG0000270	XP_060433539.1	XP_038747193.1
OG0000272	XP_060433589.1	XP_038747341.1
OG0000273	XP_060431084.1	XP_038743692.1
OG0000273	XP_060429213.1	XP_038750155.1
OG0000274	XP_060433328.1	XP_038743417.1
OG0000274	XP_060427512.1	XP_038749600.1
OG0000275	XP_060433865.1	XP_038739186.1, XP_038739193.1
OG0000276	XP_060429943.1	XP_038743135.1
OG0000276	XP_060423215.1	XP_038746575.1
OG0000277	XP_060430026.1	XP_038743198.1
OG0000277	XP_060428120.1	XP_038741851.1
OG0000278	XP_060427266.1	XP_038747825.1
OG0000279	XP_060429566.1	XP_038742788.1
OG0000279	XP_060424911.1	XP_038747905.1
OG0000280	XP_060429618.1	XP_038745073.1
OG0000280	XP_060424776.1	XP_038740062.1
OG0000281	XP_060430988.1	XP_038750777.1
OG0000281	XP_060422763.1	XP_038740083.1
OG0000283	XP_060431124.1	XP_038743653.1
OG0000283	XP_060431758.1	XP_038750618.1
OG0000284	XP_060422589.1	XP_038747793.1
OG0000284	XP_060422592.1, XP_060431145.1	XP_038750111.1
OG0000285	XP_060431184.1	XP_038743736.1
OG0000285	XP_060433280.1	XP_038743389.1
OG0000287	XP_060430921.1	XP_038738765.1
OG0000287	XP_060431608.1	XP_038744287.1
OG0000290	XP_060426754.1	XP_038741430.1
OG0000291	XP_060430607.1	XP_038746429.1
OG0000291	XP_060428427.1	XP_038747264.1
OG0000292	XP_060426052.1	XP_038743949.1
OG0000292	XP_060433055.1	XP_038741984.1, XP_038743834.1
OG0000293	XP_060427238.1	XP_038740763.1
OG0000293	XP_060433065.1	XP_038746144.1
OG0000294	XP_060433207.1	XP_038743322.1
OG0000294	XP_060427602.1	XP_038749516.1
OG0000295	XP_060433362.1	XP_038743430.1, XP_038745345.1, XP_038746300.1
OG0000296	XP_060427029.1	XP_038738702.1, XP_038742378.1, XP_038742258.1
OG0000297	XP_060424192.1	XP_038738944.1
OG0000297	XP_060430156.1	XP_038742259.1
OG0000298	XP_060427412.1	XP_038744362.1
OG0000298	XP_060436703.1	XP_038744539.1
OG0000299	XP_060436732.1	XP_038742623.1
OG0000299	XP_060423954.1	XP_038749832.1
OG0000300	XP_060430973.1	XP_038740498.1
OG0000301	XP_060430199.1	XP_038742257.1
OG0000301	XP_060423790.1	XP_038744119.1
OG0000302	XP_060426780.1	XP_038740551.1
OG0000303	XP_060432982.1	XP_038745749.1
OG0000303	XP_060436174.1	XP_038751643.1
OG0000304	XP_060428493.1	XP_038747059.1, XP_038748917.1
OG0000305	XP_060425832.1	XP_038747745.1
OG0000305	XP_060423599.1	XP_038743034.1
OG0000306	XP_060425418.1	XP_038741815.1, XP_038740856.1
OG0000307	XP_060434237.1	XP_038741854.1
OG0000308	XP_060432127.1	XP_038747929.1, XP_038744340.1
OG0000309	XP_060422952.1	XP_038744202.1
OG0000309	XP_060422941.1	XP_038744252.1
OG0000309	XP_060422943.1	XP_038744203.1
OG0000310	XP_060424879.1	XP_038740809.1
OG0000311	XP_060431654.1	XP_038746509.1, XP_038750507.1
OG0000312	XP_060428929.1	XP_038741206.1
OG0000312	XP_060421978.1	XP_038749723.1
OG0000313	XP_060430374.1	XP_038739435.1
OG0000313	XP_060428926.1	XP_038741209.1
OG0000314	XP_060430443.1	XP_038746299.1
OG0000314	XP_060429703.1	XP_038745433.1
OG0000315	XP_060423679.1	XP_038744023.1
OG0000315	XP_060430300.1	XP_038747429.1
OG0000316	XP_060426187.1	XP_038740133.1
OG0000316	XP_060429475.1	XP_038749935.1
OG0000317	XP_060429399.1	XP_038742763.1, XP_038745589.1
OG0000318	XP_060430777.1	XP_038742147.1
OG0000318	XP_060429453.1	XP_038749968.1
OG0000319	XP_060434925.1	XP_038743482.1
OG0000319	XP_060436399.1	XP_038750327.1
OG0000325	XP_060421666.1, XP_060422277.1, XP_060422282.1, XP_060432658.1, XP_060423285.1, XP_060421742.1	XP_038748218.1, XP_038742060.1
OG0000326	XP_060436063.1, XP_060424593.1, XP_060422267.1, XP_060422522.1	XP_038751529.1
OG0000327	XP_060428982.1	XP_038741598.1
OG0000327	XP_060435534.1	XP_038751364.1
OG0000328	XP_060435367.1	XP_038740673.1, XP_038746618.1
OG0000329	XP_060425752.1	XP_038748303.1
OG0000329	XP_060435628.1	XP_038751291.1
OG0000330	XP_060435821.1	XP_038740717.1
OG0000331	XP_060430871.1	XP_038742494.1
OG0000331	XP_060422481.1	XP_038740359.1
OG0000332	XP_060429871.1	XP_038743272.1
OG0000332	XP_060423209.1	XP_038746559.1
OG0000335	XP_060425221.1	XP_038745998.1
OG0000335	XP_060422724.1	XP_038740116.1
OG0000336	XP_060428966.1	XP_038741615.1
OG0000337	XP_060437285.1	XP_038741042.1
OG0000337	XP_060435014.1	XP_038741157.1
OG0000338	XP_060425806.1	XP_038749710.1
OG0000338	XP_060436643.1	XP_038740365.1
OG0000339	XP_060431001.1	XP_038740537.1
OG0000339	XP_060436949.1	XP_038744509.1
OG0000340	XP_060423528.1	XP_038741558.1
OG0000340	XP_060433790.1	XP_038744843.1
OG0000341	XP_060431234.1	XP_038743800.1
OG0000342	XP_060425723.1	XP_038746511.1, XP_038748783.1, XP_038748293.1
OG0000343	XP_060424365.1	XP_038740667.1
OG0000344	XP_060429601.1	XP_038748254.1
OG0000344	XP_060422964.1	XP_038744236.1
OG0000345	XP_060424823.1	XP_038746949.1
OG0000345	XP_060423159.1	XP_038748179.1
OG0000347	XP_060427538.1	XP_038740850.1
OG0000347	XP_060433586.1	XP_038747328.1
OG0000348	XP_060430532.1	XP_038751008.1
OG0000348	XP_060425839.1	XP_038746995.1
OG0000349	XP_060429308.1	XP_038750016.1
OG0000350	XP_060421555.1	XP_038740390.1
OG0000352	XP_060437187.1	XP_038748824.1
OG0000352	XP_060425033.1	XP_038746610.1
OG0000353	XP_060436997.1	XP_038748880.1, XP_038742640.1, XP_038740124.1
