Orthogroup	Colletotrichum_godetiae	Colletotrichum_fructicola
OG0000040	XP_060435849.1, XP_060426497.1	XP_031876848.1
OG0000040	XP_060421402.1, XP_060421289.1, XP_060421340.1	XP_066006980.1
OG0000040	XP_060432609.1	XP_031878971.1
OG0000043	XP_060423691.1	XP_031886183.2
OG0000044	XP_060424363.1	XP_031883461.1
OG0000044	XP_060430013.1	XP_031883135.1, XP_066007975.1, XP_031883763.1
OG0000046	XP_060423965.1	XP_031879259.1
OG0000046	XP_060422315.1	XP_031877509.1
OG0000046	XP_060432596.1	XP_031884116.1
OG0000046	XP_060436550.1	XP_031889476.1
OG0000047	XP_060428658.1	XP_031878178.1, XP_031892080.1
OG0000049	XP_060429839.1	XP_031875597.1
OG0000049	XP_060429902.1	XP_066007293.1
OG0000049	XP_060427999.1	XP_031878198.1
OG0000049	XP_060427652.1	XP_031878866.1
OG0000050	XP_060426010.1	XP_031885916.1
OG0000050	XP_060430015.1	XP_031880097.1, XP_031883855.2
OG0000050	XP_060434196.1	XP_031889948.1
OG0000051	XP_060427463.1	XP_031882199.1
OG0000051	XP_060429014.1	XP_031893375.1
OG0000051	XP_060427740.1	XP_031876728.1
OG0000051	XP_060424773.1	XP_031880004.1
OG0000053	XP_060430297.1	XP_031875985.1
OG0000053	XP_060421931.1	XP_066009508.1
OG0000053	XP_060431468.1, XP_060422806.1	XP_066008598.1
OG0000054	XP_060425671.1	XP_066008425.1
OG0000054	XP_060421316.1, XP_060421708.1, XP_060423325.1, XP_060421372.1	XP_066006777.1, XP_031880558.2, XP_066007190.1
OG0000054	XP_060422834.1	XP_066009167.1
OG0000055	XP_060430387.1	XP_031881410.1, XP_031889319.1
OG0000057	XP_060425430.1	XP_031882595.1
OG0000057	XP_060425812.1	XP_066008837.1
OG0000058	XP_060436116.1	XP_031887143.1
OG0000058	XP_060421769.1, XP_060421813.1, XP_060421356.1, XP_060421286.1, XP_060421337.1	XP_031877586.1, XP_031880573.2, XP_031875865.1, XP_066008904.1
OG0000059	XP_060423506.1, XP_060436928.1	XP_031892770.2
OG0000059	XP_060431609.1	XP_031891472.1
OG0000059	XP_060431044.1	XP_031890900.1
OG0000064	XP_060425145.1	XP_031884461.1
OG0000064	XP_060422483.1	XP_031892616.1
OG0000064	XP_060429117.1, XP_060427609.1, XP_060422807.1	XP_031889409.1
OG0000065	XP_060436978.1	XP_031878261.1
OG0000065	XP_060421892.1	XP_031876068.1
OG0000066	XP_060421285.1	XP_066009119.1, XP_066008327.1
OG0000067	XP_060427460.1	XP_031883626.1
OG0000067	XP_060426247.1	XP_031878359.2
OG0000068	XP_060430828.1, XP_060428216.1, XP_060422855.1, XP_060434661.1	XP_066009666.1
OG0000068	XP_060424612.1	XP_031885096.2
OG0000068	XP_060430830.1	XP_066008797.1
OG0000069	XP_060433153.1	XP_066007562.1, XP_031884956.1
OG0000069	XP_060433151.1	XP_031885878.2, XP_031884878.1, XP_031884772.1, XP_031884771.1, XP_031884775.1, XP_031884776.1
OG0000070	XP_060426203.1	XP_031879679.1
OG0000070	XP_060423011.1	XP_031891117.1
OG0000070	XP_060436394.1	XP_031883416.1, XP_031880242.1
OG0000071	XP_060424427.1	XP_031883683.1
OG0000071	XP_060427335.1	XP_031879668.1
OG0000071	XP_060422211.1	XP_031888153.1
OG0000072	XP_060433292.1	XP_031884252.1
OG0000072	XP_060431204.1	XP_031892088.1
OG0000072	XP_060432710.1	XP_031885726.1
OG0000072	XP_060430058.1	XP_031884060.1
OG0000073	XP_060431088.1	XP_031891861.1
OG0000073	XP_060427350.1	XP_031877508.1
OG0000073	XP_060422197.1	XP_031882594.1
OG0000073	XP_060427303.1	XP_031885770.2
OG0000074	XP_060422129.1	XP_031876155.2
OG0000075	XP_060435771.1	XP_031887696.1
OG0000076	XP_060429108.1	XP_066009734.1
OG0000077	XP_060429949.1	XP_066008350.1, XP_031880755.1
OG0000078	XP_060429979.1	XP_031883892.1
OG0000078	XP_060434048.1	XP_031885207.1
OG0000078	XP_060428127.1	XP_031879078.1
OG0000080	XP_060426223.1	XP_031887977.1
OG0000080	XP_060425323.1	XP_031888971.1
OG0000080	XP_060435856.1	XP_031878550.1
OG0000081	XP_060423130.1	XP_031877893.1
OG0000081	XP_060430904.1	XP_031881745.1
OG0000081	XP_060437149.1	XP_031892617.1
OG0000082	XP_060422997.1	XP_031877097.2
OG0000082	XP_060422769.1	XP_031887503.1
OG0000082	XP_060424833.1	XP_031878238.1
OG0000084	XP_060423188.1, XP_060432095.1	XP_031892010.1, XP_031878263.1
OG0000084	XP_060427931.1	XP_031883049.1
OG0000084	XP_060421552.1	XP_031877130.1, XP_031883666.1
OG0000085	XP_060425007.1	XP_031881447.1, XP_031881445.1, XP_031881446.1, XP_031892501.1, XP_031886043.2, XP_031888626.1, XP_031888628.1, XP_066009468.1
OG0000088	XP_060422654.1	XP_066006859.1, XP_066009041.1, XP_066007021.1, XP_031875582.1, XP_066006820.1, XP_066009117.1, XP_066008957.1, XP_066007057.1, XP_066006845.1, XP_066007120.1, XP_066008937.1, XP_066007070.1, XP_066006951.1, XP_066008960.1, XP_066009068.1, XP_066007015.1, XP_066006910.1, XP_066007192.1
OG0000089	XP_060436023.1	XP_031887288.2
OG0000089	XP_060434789.1	XP_066007672.1
OG0000090	XP_060435685.1	XP_031887673.1
OG0000090	XP_060432593.1	XP_031887184.1
OG0000090	XP_060434587.1	XP_031888590.1
OG0000091	XP_060429603.1	XP_031877975.1
OG0000091	XP_060429716.1	XP_066007457.1
OG0000093	XP_060423078.1	XP_031890972.1
OG0000094	XP_060424903.1	XP_031890942.1
OG0000094	XP_060433588.1	XP_031889231.2
OG0000094	XP_060430915.1	XP_066008811.1
OG0000095	XP_060426755.1	XP_031880048.1, XP_031887999.1, XP_031881275.1, XP_031891254.1
OG0000097	XP_060426330.1	XP_066007559.1
OG0000097	XP_060427229.1	XP_066007959.1
OG0000098	XP_060437196.1	XP_031893238.1, XP_066008144.1
OG0000099	XP_060436672.1	XP_031878986.1, XP_031878985.1
OG0000099	XP_060436671.1	XP_031875897.1
OG0000099	XP_060428537.1	XP_066009297.1
OG0000100	XP_060429116.1	XP_031889225.1
OG0000100	XP_060434736.1	XP_031881417.1
OG0000100	XP_060426685.1	XP_031881223.1
OG0000101	XP_060429801.1	XP_031875804.1
OG0000101	XP_060436734.1	XP_031880366.1
OG0000101	XP_060422556.1	XP_031880150.1
OG0000102	XP_060422559.1	XP_031880105.1
OG0000102	XP_060428962.1	XP_031893528.1
OG0000102	XP_060422755.1	XP_066009621.1
OG0000103	XP_060425059.1	XP_066009133.1
OG0000104	XP_060426326.1, XP_060426278.1	XP_066007658.1
OG0000105	XP_060427086.1	XP_031891630.1, XP_031878013.2
OG0000108	XP_060421497.1, XP_060421664.1	XP_066007791.1
OG0000109	XP_060423190.1	XP_066009546.1
OG0000109	XP_060427211.1	XP_031891846.1
OG0000110	XP_060431348.1	XP_031882937.1
OG0000110	XP_060427587.1	XP_031881135.1
OG0000110	XP_060425377.1	XP_031882687.2
OG0000111	XP_060423145.1	XP_031883621.2
OG0000111	XP_060435389.1	XP_031876545.1
OG0000111	XP_060430457.1	XP_031881022.1
OG0000112	XP_060423474.1	XP_031878319.1
OG0000112	XP_060431014.1	XP_031892252.1
OG0000112	XP_060427593.1	XP_031880990.1
OG0000113	XP_060428325.1	XP_031885552.1
OG0000113	XP_060430101.1	XP_031884988.2
OG0000113	XP_060437280.1	XP_031891602.1
OG0000114	XP_060436600.1	XP_066008307.1
OG0000114	XP_060429560.1	XP_031878233.1
OG0000114	XP_060423850.1	XP_031883517.1
OG0000115	XP_060425296.1	XP_031884489.1
OG0000115	XP_060433308.1	XP_066007565.1
OG0000115	XP_060436170.1	XP_031887164.1
OG0000117	XP_060434813.1	XP_066008009.1, XP_031888020.2
OG0000120	XP_060424855.1	XP_031879334.2
OG0000120	XP_060422018.1	XP_031884930.1
OG0000120	XP_060435829.1	XP_031887771.1
OG0000121	XP_060433063.1	XP_031884723.1
OG0000121	XP_060421928.1, XP_060425823.1	XP_031884784.1
OG0000122	XP_060421992.1	XP_031884236.1, XP_031886524.1, XP_031887960.1, XP_031887961.1, XP_031881543.1
OG0000124	XP_060427566.1	XP_031883215.1
OG0000125	XP_060436341.1	XP_031880255.1
OG0000125	XP_060422442.1	XP_031884481.1
OG0000125	XP_060426742.1	XP_031888194.1
OG0000127	XP_060425263.1	XP_031882866.1
OG0000127	XP_060424874.1	XP_031879341.1
OG0000127	XP_060433246.1	XP_066007621.1
OG0000128	XP_060430770.1	XP_031885041.1
OG0000128	XP_060425868.1	XP_031890794.2
OG0000129	XP_060432571.1	XP_031877274.1
OG0000129	XP_060422672.1	XP_031889158.1, XP_031888838.1
OG0000130	XP_060422935.1	XP_066008180.1, XP_066006948.1, XP_066007594.1, XP_066008197.1, XP_031875433.1, XP_031875542.1, XP_031875459.1, XP_066007663.1, XP_066006920.1, XP_066007731.1, XP_066008091.1, XP_066006809.1, XP_066006955.1, XP_066006969.1
OG0000131	XP_060422270.1, XP_060422425.1, XP_060422273.1	XP_031878456.2
OG0000131	XP_060427310.1, XP_060427311.1	XP_066007694.1
OG0000132	XP_060427930.1	XP_031882996.1, XP_031889936.1, XP_031880413.2, XP_031880231.1, XP_031890551.1
OG0000133	XP_060423512.1	XP_031881970.1, XP_031882082.1
OG0000136	XP_060424587.1, XP_060422528.1	XP_031878463.1, XP_066007757.1, XP_066009244.1, XP_066007253.1, XP_066007693.1, XP_031876219.1, XP_031876218.1, XP_031875625.1
OG0000137	XP_060424651.1	XP_031887386.1
OG0000137	XP_060422423.1	XP_031875400.2
OG0000138	XP_060436889.1	XP_031892419.1
OG0000138	XP_060424295.1	XP_031883866.1, XP_031893606.1
OG0000139	XP_060425773.1, XP_060425760.1	XP_066008477.1
OG0000139	XP_060425758.1, XP_060425772.1, XP_060425757.1	XP_031877919.2, XP_031877920.1
OG0000140	XP_060424924.1	XP_031890477.1, XP_031886437.1
OG0000141	XP_060437112.1	XP_066007228.1
OG0000141	XP_060437113.1, XP_060425443.1	XP_066008506.1
OG0000142	XP_060430447.1	XP_031889924.1
OG0000142	XP_060431923.1	XP_031879805.1
OG0000143	XP_060430044.1	XP_031889746.1
OG0000143	XP_060429828.1	XP_031883125.1
OG0000143	XP_060430105.1	XP_031883833.1
OG0000144	XP_060430084.1	XP_031877258.1
OG0000144	XP_060424506.1	XP_031887529.1
OG0000145	XP_060434697.1	XP_031888490.1
OG0000146	XP_060427347.1, XP_060421646.1, XP_060421408.1	XP_031877556.2
OG0000147	XP_060436692.1	XP_066008113.1
OG0000147	XP_060432726.1	XP_031880067.1, XP_031885603.1
OG0000148	XP_060430277.1	XP_031883138.1
OG0000148	XP_060422699.1	XP_031888635.1
OG0000148	XP_060436776.1	XP_066007207.1
OG0000150	XP_060430974.1	XP_066008230.1, XP_031875377.2, XP_066006806.1, XP_066007001.1, XP_066006964.1, XP_031875235.2, XP_031875345.1, XP_066007053.1, XP_031875324.1, XP_066007066.1, XP_031892065.1
OG0000151	XP_060425394.1	XP_031878686.1
OG0000151	XP_060427403.1	XP_031893502.1, XP_031882174.1
OG0000154	XP_060429061.1	XP_031893119.1
OG0000154	XP_060435826.1	XP_031887772.1
OG0000155	XP_060426769.1	XP_031888162.1
OG0000155	XP_060427849.1	XP_031888011.2
OG0000155	XP_060422475.1	XP_031884753.1
OG0000156	XP_060431367.1	XP_031882714.1
OG0000156	XP_060421880.1	XP_031877449.1, XP_031891987.1
OG0000157	XP_060422653.1	XP_066008694.1
OG0000157	XP_060425717.1	XP_066008341.1
OG0000158	XP_060422543.1	XP_031892152.1, XP_031887831.1
OG0000159	XP_060427666.1	XP_031878843.1, XP_066008798.1, XP_066007555.1
OG0000160	XP_060423084.1	XP_031877326.1
OG0000160	XP_060433591.1, XP_060424925.1	XP_031889518.2, XP_031877513.1
OG0000161	XP_060432016.1	XP_031892580.1
OG0000161	XP_060431759.1	XP_031880766.1
OG0000162	XP_060421827.1	XP_031878810.1
OG0000162	XP_060421305.1, XP_060422261.1, XP_060424598.1	XP_031879298.2, XP_031876288.1, XP_031876205.2, XP_066006936.1
OG0000163	XP_060432149.1	XP_031891952.1, XP_031891955.1
OG0000164	XP_060429028.1	XP_031886348.1
OG0000164	XP_060432699.1	XP_031883553.1
OG0000169	XP_060432353.1, XP_060427684.1, XP_060427682.1, XP_060432351.1, XP_060423970.1, XP_060423971.1, XP_060432354.1, XP_060432355.1	XP_066009579.1
OG0000169	XP_060437202.1	XP_031877736.2
OG0000170	XP_060425710.1, XP_060435895.1, XP_060433416.1	XP_031884243.1, XP_031889512.1
OG0000171	XP_060424740.1	XP_031884556.1, XP_031879658.2
OG0000172	XP_060432397.1	XP_031882352.1
OG0000172	XP_060430143.1, XP_060431369.1	XP_031882708.1
OG0000174	XP_060423650.1	XP_031876358.1
OG0000174	XP_060423957.1	XP_031879226.1
OG0000175	XP_060429595.1	XP_031877898.2
OG0000175	XP_060432683.1	XP_031886170.1, XP_031886168.1
OG0000177	XP_060422301.1	XP_066009403.1
OG0000177	XP_060434239.1	XP_066007917.1
OG0000178	XP_060423422.1	XP_031876808.1
OG0000178	XP_060433814.1	XP_066008054.1
OG0000179	XP_060424291.1	XP_031892900.1
OG0000179	XP_060430066.1	XP_031883808.1
OG0000180	XP_060435190.1	XP_031891980.1
OG0000180	XP_060430107.1	XP_031884439.1, XP_031877923.1
OG0000181	XP_060423731.1	XP_031877144.1
OG0000181	XP_060433045.1, XP_060431148.1	XP_031892110.1
OG0000182	XP_060430933.1	XP_031878954.1
OG0000182	XP_060430234.1	XP_031883079.1
OG0000183	XP_060421761.1, XP_060421390.1, XP_060421298.1	XP_031875659.2, XP_066007202.1, XP_066007236.1, XP_031875869.2
OG0000185	XP_060431571.1	XP_066009590.1
OG0000185	XP_060426655.1	XP_031888068.2
OG0000186	XP_060432727.1	XP_031885604.1
OG0000186	XP_060423736.1	XP_031893196.1
OG0000187	XP_060434081.1	XP_031881436.2
OG0000188	XP_060432285.1	XP_031883357.1
OG0000188	XP_060433585.1	XP_031879304.1
OG0000189	XP_060424695.1	XP_031878927.2, XP_066007420.1, XP_031878458.1
OG0000190	XP_060436396.1	XP_031880243.1, XP_031883417.2, XP_031883679.1, XP_031887848.1
OG0000196	XP_060428240.1	XP_066008027.1
OG0000196	XP_060432758.1	XP_031885861.1
OG0000197	XP_060425674.1	XP_031876338.1
OG0000197	XP_060421463.1	XP_031887538.1, XP_031878860.1
OG0000198	XP_060436842.1	XP_031880440.1
OG0000198	XP_060433346.1	XP_031884191.2
OG0000199	XP_060434764.1	XP_031881514.2
OG0000199	XP_060428002.1	XP_031889276.1
OG0000200	XP_060436630.1	XP_066009048.1, XP_066008141.1
OG0000200	XP_060424920.1	XP_031890725.1
OG0000201	XP_060424755.1	XP_031879948.1
OG0000201	XP_060428997.1	XP_066007102.1
OG0000202	XP_060431943.1	XP_031893469.1
OG0000202	XP_060423974.1, XP_060427756.1	XP_031885556.1
OG0000203	XP_060429285.1	XP_031881029.2, XP_066009155.1, XP_031889330.1
OG0000205	XP_060430966.1	XP_031882960.1
OG0000205	XP_060428996.1	XP_031877930.1
OG0000207	XP_060423735.1	XP_031877126.1
OG0000207	XP_060436778.1	XP_031880403.1
OG0000208	XP_060428129.1	XP_066008226.1, XP_066007732.1, XP_031875335.1, XP_031875333.1, XP_066007597.1, XP_066008312.1, XP_031885237.1, XP_031889663.1
OG0000209	XP_060432777.1	XP_031885758.1, XP_031885762.1, XP_031885693.1
OG0000210	XP_060426365.1	XP_031889878.2
OG0000210	XP_060422529.1	XP_031876965.1
OG0000212	XP_060427599.1	XP_031881083.1
OG0000212	XP_060429474.1	XP_031876057.1
OG0000214	XP_060426385.1	XP_031881265.1, XP_031888698.1, XP_031893287.1, XP_031886158.1
OG0000216	XP_060435606.1	XP_031884282.1, XP_031886453.1
OG0000216	XP_060430434.1	XP_031889686.1
OG0000217	XP_060423662.1	XP_031884155.2
OG0000217	XP_060423665.1	XP_066008462.1
OG0000218	XP_060425703.1, XP_060425704.1	XP_031883612.1, XP_031876862.1
OG0000219	XP_060423178.1	XP_031883494.1, XP_031876123.2
OG0000220	XP_060429093.1	XP_031893537.1
OG0000220	XP_060430530.1	XP_031889643.1
OG0000221	XP_060423480.1	XP_066009896.1, XP_031878290.1, XP_031878287.1, XP_031878288.1
OG0000222	XP_060433500.1	XP_031877985.1
OG0000222	XP_060432783.1	XP_031885608.1
OG0000223	XP_060435451.1, XP_060430503.1	XP_066008369.1, XP_066009407.1
OG0000223	XP_060435450.1	XP_031889263.1
OG0000224	XP_060435447.1	XP_031880532.1
OG0000224	XP_060432709.1	XP_066008997.1, XP_066009863.1
OG0000225	XP_060429248.1	XP_031889375.1
OG0000225	XP_060437231.1	XP_031892168.1
OG0000226	XP_060435100.1	XP_031888813.2
OG0000226	XP_060426980.1, XP_060421831.1	XP_031887823.1
OG0000227	XP_060429824.1	XP_031876870.1
OG0000227	XP_060427511.1	XP_031881032.2
OG0000228	XP_060432744.1	XP_031885764.1
OG0000228	XP_060430035.1	XP_031884073.2
OG0000229	XP_060431157.1	XP_031892114.1
OG0000229	XP_060429818.1	XP_031885908.1
OG0000230	XP_060423489.1	XP_031893104.2
OG0000230	XP_060431185.1	XP_031892057.2
OG0000231	XP_060430848.1	XP_031878898.1
OG0000231	XP_060436403.1	XP_031880183.1
OG0000232	XP_060430900.1	XP_031885108.1
OG0000232	XP_060428861.1	XP_066007415.1
OG0000233	XP_060430954.1	XP_031879100.2
OG0000233	XP_060425871.1	XP_031877944.2
OG0000234	XP_060425235.1	XP_031881677.1
OG0000234	XP_060430402.1	XP_031884476.1
OG0000235	XP_060435253.1	XP_031885114.1
OG0000235	XP_060426200.1	XP_031887506.1
OG0000236	XP_060427004.1	XP_031891031.1
OG0000236	XP_060422117.1, XP_060422524.1, XP_060424590.1	XP_066006762.1, XP_031876214.2, XP_031876318.1
OG0000237	XP_060429197.1	XP_031889135.2
OG0000237	XP_060428577.1	XP_031881368.1
OG0000238	XP_060436822.1	XP_031880382.1
OG0000238	XP_060436823.1	XP_066008315.1, XP_066008101.1
OG0000239	XP_060423000.1	XP_031880091.1
OG0000239	XP_060432594.1	XP_031887185.1
OG0000240	XP_060421528.1, XP_060422255.1, XP_060424607.1	XP_031876320.1, XP_066007149.1, XP_066009202.1, XP_031891123.1, XP_066006774.1
OG0000241	XP_060424642.1	XP_031888065.1
OG0000242	XP_060430448.1	XP_031890067.1, XP_031881057.1, XP_031889923.1
OG0000243	XP_060429427.1, XP_060429426.1	XP_031880869.1
OG0000243	XP_060422852.1, XP_060429425.1	XP_066007465.1
OG0000244	XP_060426067.1	XP_066008473.1, XP_031883110.1, XP_031883109.1, XP_031885953.1
OG0000245	XP_060427157.1	XP_066008404.1, XP_066007971.1
OG0000248	XP_060424578.1, XP_060422538.1, XP_060436223.1	XP_031887254.2
OG0000249	XP_060422865.1	XP_031876298.2, XP_066009140.1
OG0000249	XP_060422532.1	XP_031875584.1
OG0000250	XP_060421724.1	XP_066008305.1
OG0000250	XP_060429519.1	XP_031893467.1
OG0000251	XP_060422916.1	XP_031875844.1
OG0000251	XP_060433584.1	XP_031879335.1
OG0000252	XP_060427330.1	XP_031879773.1
OG0000252	XP_060427961.1	XP_031885018.2
OG0000253	XP_060432779.1	XP_031885612.1
OG0000253	XP_060429783.1	XP_031883425.1
OG0000254	XP_060424511.1	XP_031883415.1
OG0000254	XP_060421484.1	XP_031880698.1
OG0000255	XP_060423628.1	XP_031882041.1
OG0000255	XP_060431508.1	XP_031890572.2
OG0000256	XP_060426849.1	XP_031893402.1
OG0000256	XP_060434413.1	XP_031888239.1
OG0000257	XP_060432113.1	XP_066008568.1
OG0000258	XP_060429820.1	XP_031878160.1
OG0000258	XP_060423133.1	XP_031877926.1
OG0000259	XP_060422736.1	XP_031879986.1
OG0000259	XP_060427564.1	XP_031881096.1
