Orthogroup	Colletotrichum_godetiae	Colletotrichum_acutatum
OG0000008	XP_060432528.1	XP_060368784.1
OG0000008	XP_060433354.1, XP_060427174.1	XP_060369829.1
OG0000008	XP_060423041.1	XP_060362270.1
OG0000008	XP_060425417.1	XP_060365993.1
OG0000009	XP_060425658.1	XP_060362817.1
OG0000009	XP_060433863.1	XP_060372034.1
OG0000009	XP_060429588.1	XP_060357116.1, XP_060363670.1
OG0000009	XP_060425888.1	XP_060359947.1
OG0000009	XP_060436719.1	XP_060367982.1
OG0000009	XP_060427117.1	XP_060365596.1
OG0000009	XP_060425216.1	XP_060365779.1
OG0000009	XP_060424844.1	XP_060359213.1
OG0000012	XP_060425599.1	XP_060361151.1
OG0000012	XP_060433606.1	XP_060367702.1
OG0000012	XP_060428910.1	XP_060362674.1
OG0000012	XP_060430634.1	XP_060365541.1
OG0000012	XP_060429755.1, XP_060425735.1	XP_060361768.1
OG0000012	XP_060427607.1	XP_060358257.1
OG0000012	XP_060428118.1	XP_060358924.1
OG0000012	XP_060427932.1	XP_060360164.1
OG0000012	XP_060424388.1	XP_060360787.1
OG0000014	XP_060433247.1	XP_060360753.1
OG0000014	XP_060429479.1	XP_060364441.1
OG0000014	XP_060431445.1	XP_060369282.1
OG0000014	XP_060426988.1	XP_060368461.1
OG0000014	XP_060426412.1	XP_060363263.1
OG0000014	XP_060422444.1	XP_060360057.1
OG0000016	XP_060436401.1	XP_060361705.1
OG0000016	XP_060423652.1	XP_060359899.1
OG0000016	XP_060433359.1	XP_060368408.1
OG0000016	XP_060433378.1	XP_060370564.1
OG0000016	XP_060427843.1	XP_060357468.1
OG0000017	XP_060430370.1	XP_060362467.1
OG0000017	XP_060435846.1	XP_060362115.1
OG0000017	XP_060435607.1	XP_060369615.1
OG0000017	XP_060427398.1	XP_060366707.1
OG0000017	XP_060431154.1	XP_060357608.1
OG0000018	XP_060427203.1, XP_060428697.1	XP_060369068.1
OG0000018	XP_060430376.1	XP_060358662.1
OG0000018	XP_060427534.1	XP_060363688.1
OG0000018	XP_060433811.1	XP_060360494.1
OG0000019	XP_060435896.1	XP_060363470.1
OG0000019	XP_060430815.1	XP_060369834.1
OG0000019	XP_060430814.1	XP_060369833.1
OG0000021	XP_060421692.1, XP_060421691.1, XP_060433851.1, XP_060431281.1, XP_060430879.1, XP_060430880.1, XP_060423578.1, XP_060430212.1	XP_060364842.1
OG0000022	XP_060426850.1	XP_060363996.1, XP_060363995.1, XP_060363994.1, XP_060366453.1, XP_060371857.1, XP_060364265.1, XP_060362654.1, XP_060363347.1, XP_060363816.1, XP_060361621.1, XP_060362656.1, XP_060370132.1, XP_060357269.1, XP_060363349.1, XP_060363348.1, XP_060369340.1, XP_060360974.1, XP_060359511.1, XP_060369437.1, XP_060369413.1, XP_060369412.1, XP_060366269.1, XP_060366270.1, XP_060366278.1, XP_060366268.1, XP_060366267.1, XP_060366266.1, XP_060363746.1, XP_060357677.1, XP_060364358.1, XP_060366271.1, XP_060366272.1, XP_060366279.1, XP_060362785.1, XP_060363033.1, XP_060357037.1, XP_060357060.1, XP_060360039.1, XP_060370118.1, XP_060363901.1, XP_060367295.1, XP_060367296.1, XP_060367297.1, XP_060364288.1, XP_060370069.1, XP_060363900.1
OG0000023	XP_060429564.1	XP_060365025.1
OG0000023	XP_060428030.1	XP_060363120.1
OG0000023	XP_060425815.1	XP_060358681.1
OG0000023	XP_060433414.1	XP_060370568.1
OG0000023	XP_060436329.1	XP_060365425.1
OG0000023	XP_060424910.1	XP_060368532.1
OG0000024	XP_060436445.1	XP_060362290.1
OG0000024	XP_060425577.1	XP_060361172.1
OG0000024	XP_060427612.1	XP_060358801.1
OG0000024	XP_060430976.1	XP_060364880.1
OG0000024	XP_060429383.1	XP_060358991.1
OG0000026	XP_060429386.1	XP_060358993.1
OG0000026	XP_060428763.1	XP_060368993.1, XP_060368992.1
OG0000026	XP_060429661.1	XP_060371329.1
OG0000028	XP_060428084.1	XP_060357803.1
OG0000028	XP_060424829.1	XP_060357627.1
OG0000028	XP_060428081.1	XP_060357808.1
OG0000028	XP_060422176.1	XP_060359227.1
OG0000028	XP_060430971.1	XP_060360583.1
OG0000031	XP_060429462.1	XP_060364458.1
OG0000031	XP_060431363.1, XP_060425378.1	XP_060369360.1
OG0000031	XP_060423022.1	XP_060362254.1
OG0000031	XP_060425379.1	XP_060363004.1
OG0000031	XP_060425569.1	XP_060361185.1
OG0000032	XP_060423400.1, XP_060423399.1	XP_060359844.1
OG0000032	XP_060423317.1, XP_060422826.1, XP_060436851.1	XP_060359846.1
OG0000032	XP_060422825.1, XP_060423318.1	XP_060359845.1
OG0000033	XP_060425685.1	XP_060359875.1
OG0000033	XP_060432069.1	XP_060357198.1
OG0000034	XP_060425434.1	XP_060365976.1
OG0000034	XP_060425010.1	XP_060359479.1
OG0000034	XP_060426368.1	XP_060358573.1
OG0000034	XP_060427517.1	XP_060363708.1
OG0000035	XP_060437284.1	XP_060366162.1
OG0000035	XP_060427104.1	XP_060365611.1
OG0000035	XP_060429699.1	XP_060371363.1
OG0000037	XP_060429509.1	XP_060364411.1
OG0000037	XP_060433748.1	XP_060366444.1
OG0000037	XP_060427933.1	XP_060357014.1
OG0000037	XP_060434737.1	XP_060363205.1
OG0000037	XP_060422163.1	XP_060359498.1
OG0000038	XP_060436774.1	XP_060367929.1
OG0000038	XP_060426876.1	XP_060363923.1
OG0000038	XP_060429544.1	XP_060365001.1
OG0000039	XP_060422300.1	XP_060360015.1
OG0000039	XP_060430347.1	XP_060362489.1
OG0000039	XP_060436406.1	XP_060361710.1
OG0000039	XP_060424742.1	XP_060368365.1
OG0000040	XP_060435849.1	XP_060362111.1
OG0000040	XP_060426497.1	XP_060370548.1
OG0000040	XP_060421811.1, XP_060421796.1	XP_060357081.1
OG0000040	XP_060432609.1	XP_060357327.1
OG0000043	XP_060423691.1	XP_060367831.1
OG0000044	XP_060424363.1	XP_060360761.1
OG0000044	XP_060425820.1	XP_060358684.1
OG0000044	XP_060430013.1	XP_060361230.1
OG0000044	XP_060430675.1	XP_060357062.1
OG0000046	XP_060423965.1	XP_060362833.1
OG0000046	XP_060432596.1	XP_060360243.1
OG0000046	XP_060436550.1	XP_060361446.1
OG0000047	XP_060428658.1	XP_060357890.1
OG0000049	XP_060429839.1	XP_060365049.1
OG0000049	XP_060427999.1	XP_060363156.1
OG0000049	XP_060427652.1	XP_060358145.1
OG0000050	XP_060426010.1	XP_060367791.1
OG0000050	XP_060430015.1	XP_060361232.1
OG0000050	XP_060434196.1	XP_060371737.1
OG0000051	XP_060427463.1	XP_060366641.1
OG0000051	XP_060429014.1	XP_060365214.1
OG0000051	XP_060427740.1	XP_060367490.1
OG0000051	XP_060424773.1	XP_060368329.1
OG0000053	XP_060430297.1	XP_060358230.1
OG0000053	XP_060421931.1	XP_060366324.1
OG0000053	XP_060431468.1	XP_060366727.1
OG0000054	XP_060425671.1	XP_060359889.1
OG0000054	XP_060421316.1, XP_060421708.1, XP_060423325.1, XP_060421372.1	XP_060358854.1
OG0000055	XP_060430387.1	XP_060358650.1
OG0000057	XP_060425430.1	XP_060365979.1
OG0000057	XP_060425812.1	XP_060357330.1
OG0000058	XP_060436116.1	XP_060371110.1
OG0000058	XP_060425419.1	XP_060365990.1
OG0000059	XP_060423506.1, XP_060436928.1	XP_060357826.1
OG0000059	XP_060431609.1	XP_060360999.1
OG0000059	XP_060431044.1	XP_060363442.1
OG0000064	XP_060425145.1	XP_060366492.1
OG0000064	XP_060422483.1	XP_060357678.1
OG0000064	XP_060429117.1	XP_060358594.1
OG0000064	XP_060427609.1	XP_060358260.1
OG0000065	XP_060436978.1	XP_060371684.1
OG0000065	XP_060421892.1	XP_060363090.1, XP_060363098.1
OG0000066	XP_060435465.1	XP_060369169.1
OG0000066	XP_060421285.1	XP_060369170.1, XP_060369171.1
OG0000067	XP_060426247.1	XP_060366931.1
OG0000068	XP_060430828.1	XP_060369843.1
OG0000068	XP_060434661.1	XP_060364073.1
OG0000068	XP_060424612.1	XP_060364072.1
OG0000068	XP_060430830.1	XP_060369841.1
OG0000069	XP_060433153.1	XP_060365123.1
OG0000069	XP_060433151.1	XP_060365125.1
OG0000070	XP_060426203.1	XP_060363391.1
OG0000070	XP_060423011.1	XP_060362242.1
OG0000070	XP_060436394.1	XP_060361698.1
OG0000071	XP_060424427.1	XP_060358896.1
OG0000071	XP_060427335.1	XP_060357533.1
OG0000071	XP_060422211.1	XP_060360036.1
OG0000072	XP_060431204.1	XP_060360706.1
OG0000072	XP_060430058.1	XP_060359796.1
OG0000073	XP_060431088.1	XP_060357133.1
OG0000073	XP_060427350.1	XP_060360011.1
OG0000073	XP_060422197.1	XP_060359247.1
OG0000073	XP_060427303.1	XP_060359605.1
OG0000075	XP_060435771.1	XP_060358869.1, XP_060359552.1
OG0000076	XP_060429108.1	XP_060358087.1
OG0000077	XP_060429200.1	XP_060361456.1
OG0000077	XP_060429949.1	XP_060360895.1
OG0000078	XP_060429979.1	XP_060359138.1
OG0000078	XP_060434048.1	XP_060371854.1
OG0000078	XP_060428127.1	XP_060358933.1
OG0000078	XP_060428533.1	XP_060368016.1
OG0000080	XP_060426223.1	XP_060363411.1
OG0000080	XP_060425323.1	XP_060361376.1
OG0000080	XP_060435856.1	XP_060363513.1
OG0000081	XP_060423130.1	XP_060363636.1
OG0000081	XP_060430904.1	XP_060361111.1
OG0000081	XP_060437149.1	XP_060371511.1
OG0000082	XP_060422997.1	XP_060365931.1
OG0000082	XP_060422769.1	XP_060357437.1
OG0000082	XP_060424833.1	XP_060357631.1
OG0000083	XP_060432065.1	XP_060363191.1
OG0000084	XP_060423188.1	XP_060358566.1
OG0000084	XP_060432095.1	XP_060358452.1
OG0000084	XP_060427931.1	XP_060360165.1
OG0000084	XP_060421552.1	XP_060357244.1, XP_060358449.1
OG0000085	XP_060425007.1	XP_060359483.1
OG0000089	XP_060436023.1	XP_060357296.1
OG0000089	XP_060430235.1	XP_060362183.1
OG0000089	XP_060434789.1	XP_060361982.1
OG0000090	XP_060435685.1	XP_060369543.1
OG0000090	XP_060432593.1	XP_060364741.1
OG0000090	XP_060434587.1	XP_060370927.1
OG0000091	XP_060429603.1	XP_060363656.1
OG0000091	XP_060429716.1	XP_060365306.1
OG0000093	XP_060423078.1	XP_060367066.1
OG0000094	XP_060424903.1	XP_060368526.1
OG0000094	XP_060430915.1	XP_060359455.1
OG0000095	XP_060426755.1	XP_060357051.1
OG0000097	XP_060426330.1	XP_060366839.1
OG0000097	XP_060427229.1	XP_060357941.1
OG0000097	XP_060425720.1	XP_060361781.1
OG0000098	XP_060437196.1	XP_060361123.1
OG0000099	XP_060428537.1	XP_060368011.1
OG0000100	XP_060429116.1	XP_060358595.1
OG0000100	XP_060434736.1	XP_060363206.1
OG0000100	XP_060426685.1	XP_060370122.1
OG0000101	XP_060429801.1	XP_060358948.1
OG0000101	XP_060436734.1	XP_060367966.1
OG0000101	XP_060422556.1	XP_060361545.1
OG0000102	XP_060422559.1	XP_060361542.1
OG0000102	XP_060428962.1	XP_060358264.1
OG0000102	XP_060422755.1	XP_060368296.1
OG0000104	XP_060426326.1	XP_060366844.1
OG0000104	XP_060426278.1	XP_060366898.1
OG0000105	XP_060427086.1	XP_060365629.1
OG0000109	XP_060423190.1	XP_060358567.1
OG0000109	XP_060430274.1	XP_060362221.1
OG0000109	XP_060427211.1	XP_060357701.1
OG0000110	XP_060431348.1	XP_060369371.1
OG0000110	XP_060425377.1	XP_060363003.1
OG0000111	XP_060423145.1	XP_060363622.1
OG0000111	XP_060435389.1	XP_060369096.1
OG0000111	XP_060430457.1	XP_060361789.1
OG0000112	XP_060423474.1	XP_060362788.1
OG0000112	XP_060431014.1	XP_060364922.1
OG0000112	XP_060427593.1	XP_060358243.1
OG0000113	XP_060428325.1	XP_060363845.1
OG0000113	XP_060430101.1	XP_060362635.1
OG0000113	XP_060437280.1	XP_060366156.1
OG0000114	XP_060436600.1	XP_060364301.1
OG0000114	XP_060429560.1	XP_060358353.1, XP_060358960.1, XP_060365019.1
OG0000114	XP_060423850.1	XP_060363351.1
OG0000115	XP_060425296.1	XP_060361868.1
OG0000115	XP_060433308.1	XP_060360252.1
OG0000115	XP_060436170.1	XP_060371167.1
OG0000120	XP_060424855.1	XP_060359204.1
OG0000120	XP_060422018.1	XP_060364175.1
OG0000120	XP_060435829.1	XP_060362130.1
OG0000121	XP_060433063.1	XP_060357311.1
OG0000121	XP_060421928.1, XP_060425823.1	XP_060358677.1
OG0000122	XP_060421992.1	XP_060357740.1, XP_060360436.1
OG0000123	XP_060432662.1, XP_060421658.1	XP_060359358.1
OG0000124	XP_060427566.1	XP_060357416.1
OG0000125	XP_060436341.1	XP_060365412.1
OG0000125	XP_060422442.1	XP_060360055.1
OG0000127	XP_060425263.1	XP_060361903.1
OG0000127	XP_060433246.1	XP_060360754.1
OG0000128	XP_060430770.1	XP_060369786.1
OG0000128	XP_060425868.1	XP_060359925.1
OG0000129	XP_060432571.1	XP_060358700.1
OG0000129	XP_060422672.1	XP_060358844.1
OG0000130	XP_060422935.1	XP_060358289.1
OG0000131	XP_060427310.1, XP_060427311.1	XP_060359611.1
OG0000132	XP_060427930.1	XP_060360166.1
OG0000136	XP_060424587.1, XP_060422528.1	XP_060359727.1
OG0000137	XP_060424651.1	XP_060359062.1
OG0000137	XP_060422423.1	XP_060359080.1
OG0000137	XP_060423284.1, XP_060434123.1, XP_060422510.1, XP_060421743.1, XP_060432659.1, XP_060422283.1	XP_060362966.1
OG0000138	XP_060436889.1	XP_060360416.1
OG0000138	XP_060424295.1	XP_060363533.1
OG0000139	XP_060425760.1	XP_060360428.1
OG0000139	XP_060425758.1	XP_060361787.1
OG0000139	XP_060425772.1	XP_060360442.1
OG0000139	XP_060425757.1	XP_060360433.1
OG0000140	XP_060437267.1	XP_060366142.1
OG0000140	XP_060424924.1	XP_060360421.1
OG0000141	XP_060437112.1	XP_060371544.1
OG0000142	XP_060430447.1	XP_060357578.1
OG0000142	XP_060431923.1	XP_060365800.1
OG0000143	XP_060430044.1	XP_060359781.1
OG0000143	XP_060429828.1	XP_060365059.1
OG0000143	XP_060430105.1	XP_060362641.1
OG0000144	XP_060430084.1	XP_060362612.1, XP_060370058.1
OG0000144	XP_060424506.1	XP_060359655.1
OG0000145	XP_060434697.1	XP_060364035.1
OG0000146	XP_060427347.1	XP_060359368.1
OG0000147	XP_060436692.1	XP_060362098.1
OG0000147	XP_060432726.1	XP_060366094.1
OG0000148	XP_060430277.1	XP_060362224.1
OG0000148	XP_060422699.1	XP_060358483.1
OG0000150	XP_060430974.1	XP_060364878.1
OG0000151	XP_060425394.1	XP_060363019.1
OG0000151	XP_060427403.1	XP_060366703.1
OG0000152	XP_060421572.1	XP_060363946.1
OG0000154	XP_060429061.1	XP_060365257.1
OG0000154	XP_060435826.1	XP_060362133.1
OG0000155	XP_060422475.1	XP_060360090.1
OG0000156	XP_060431367.1	XP_060369356.1
OG0000156	XP_060421880.1	XP_060358281.1
OG0000157	XP_060434820.1	XP_060368646.1
OG0000157	XP_060425717.1	XP_060361753.1
OG0000159	XP_060427666.1	XP_060357869.1
OG0000160	XP_060424925.1	XP_060368549.1
OG0000161	XP_060432016.1	XP_060363988.1
OG0000161	XP_060431759.1	XP_060370351.1
OG0000162	XP_060421827.1	XP_060358467.1
OG0000162	XP_060421305.1, XP_060422261.1, XP_060424598.1	XP_060359718.1
OG0000163	XP_060435270.1	XP_060369676.1
OG0000163	XP_060432149.1	XP_060364541.1
OG0000164	XP_060429028.1	XP_060365226.1
OG0000169	XP_060437202.1	XP_060361129.1
OG0000170	XP_060425710.1	XP_060361746.1
OG0000170	XP_060435895.1	XP_060363471.1
OG0000170	XP_060433416.1	XP_060362435.1
OG0000171	XP_060429262.1	XP_060360139.1
OG0000172	XP_060432397.1	XP_060360212.1
OG0000172	XP_060430143.1	XP_060367126.1
OG0000172	XP_060431369.1	XP_060369355.1
OG0000174	XP_060423650.1	XP_060359897.1
OG0000174	XP_060423957.1	XP_060362841.1
OG0000175	XP_060429595.1	XP_060363664.1
OG0000175	XP_060432683.1	XP_060360608.1
OG0000176	XP_060437308.1	XP_060366190.1
OG0000177	XP_060422301.1	XP_060360013.1, XP_060360012.1
OG0000177	XP_060421785.1	XP_060363728.1
OG0000178	XP_060423422.1	XP_060362745.1
OG0000178	XP_060433814.1	XP_060360498.1
OG0000178	XP_060437233.1	XP_060361924.1
OG0000179	XP_060424291.1	XP_060363528.1
OG0000179	XP_060430066.1	XP_060359805.1
OG0000180	XP_060435190.1	XP_060366993.1
OG0000180	XP_060430107.1	XP_060362643.1
OG0000181	XP_060423731.1	XP_060358425.1
OG0000181	XP_060433045.1	XP_060357593.1
OG0000181	XP_060431148.1	XP_060361614.1
OG0000182	XP_060430933.1	XP_060360546.1
OG0000182	XP_060430234.1	XP_060362182.1
OG0000183	XP_060421761.1, XP_060421390.1, XP_060421298.1	XP_060357136.1, XP_060357137.1
OG0000185	XP_060431571.1	XP_060360958.1
OG0000185	XP_060426655.1	XP_060370140.1, XP_060370141.1
OG0000186	XP_060432727.1	XP_060366093.1
OG0000186	XP_060423736.1	XP_060358429.1
OG0000187	XP_060434081.1	XP_060371822.1
OG0000188	XP_060432285.1	XP_060368166.1
OG0000189	XP_060424695.1	XP_060359775.1
OG0000190	XP_060436396.1	XP_060361700.1
OG0000196	XP_060428240.1	XP_060363088.1
OG0000196	XP_060432758.1	XP_060366061.1
OG0000197	XP_060425674.1	XP_060359886.1
OG0000197	XP_060421463.1	XP_060361831.1
OG0000198	XP_060436842.1	XP_060367855.1
OG0000198	XP_060433346.1	XP_060368419.1
OG0000199	XP_060434764.1	XP_060363172.1
OG0000199	XP_060428002.1	XP_060363152.1
OG0000200	XP_060421680.1, XP_060436630.1	XP_060362041.1
OG0000200	XP_060424920.1	XP_060368545.1
OG0000201	XP_060424755.1	XP_060368349.1
OG0000202	XP_060431943.1	XP_060361286.1
OG0000202	XP_060423974.1, XP_060427756.1	XP_060369685.1
OG0000203	XP_060429285.1	XP_060364359.1
OG0000204	XP_060421545.1	XP_060358442.1
OG0000205	XP_060430966.1	XP_060360578.1
OG0000205	XP_060431256.1	XP_060359253.1
OG0000205	XP_060428996.1	XP_060359254.1, XP_060360431.1, XP_060365199.1
OG0000207	XP_060423735.1	XP_060358428.1
OG0000207	XP_060436778.1	XP_060367926.1
OG0000208	XP_060428129.1	XP_060358934.1
OG0000209	XP_060432777.1	XP_060366044.1
OG0000210	XP_060422529.1	XP_060359728.1
OG0000211	XP_060424648.1	XP_060359069.1
OG0000211	XP_060428272.1	XP_060359351.1
OG0000211	XP_060421277.1, XP_060421808.1, XP_060421498.1, XP_060434127.1, XP_060424649.1	XP_060362977.1, XP_060359068.1
OG0000212	XP_060427599.1	XP_060358249.1
OG0000212	XP_060429474.1	XP_060364445.1
OG0000214	XP_060426385.1	XP_060363289.1
OG0000216	XP_060435606.1	XP_060369616.1
OG0000217	XP_060423662.1	XP_060357600.1
OG0000217	XP_060423665.1	XP_060357602.1
OG0000218	XP_060425704.1	XP_060361736.1
OG0000219	XP_060423178.1	XP_060357096.1
OG0000220	XP_060429093.1	XP_060358749.1
OG0000220	XP_060430530.1	XP_060359674.1
OG0000221	XP_060423480.1	XP_060362794.1
OG0000222	XP_060433500.1	XP_060370685.1
OG0000222	XP_060432783.1	XP_060366038.1
OG0000223	XP_060435450.1	XP_060369157.1
OG0000224	XP_060435447.1	XP_060369154.1
OG0000225	XP_060429248.1	XP_060360128.1
OG0000225	XP_060437231.1	XP_060361922.1
OG0000226	XP_060435100.1	XP_060367428.1
OG0000226	XP_060429246.1	XP_060360127.1
OG0000226	XP_060421831.1	XP_060358470.1
OG0000227	XP_060429824.1	XP_060365062.1
OG0000227	XP_060427511.1	XP_060363717.1
OG0000228	XP_060432744.1	XP_060366081.1
OG0000228	XP_060430035.1	XP_060361251.1
OG0000229	XP_060431157.1	XP_060357611.1
OG0000229	XP_060429818.1	XP_060358969.1
OG0000230	XP_060431185.1	XP_060357922.1
OG0000231	XP_060430848.1	XP_060361058.1
OG0000231	XP_060436403.1	XP_060361707.1
OG0000232	XP_060430900.1	XP_060361107.1
OG0000232	XP_060428861.1	XP_060362716.1
OG0000233	XP_060430954.1	XP_060360565.1
OG0000233	XP_060425871.1	XP_060359928.1
OG0000234	XP_060430402.1	XP_060357028.1
OG0000235	XP_060435253.1	XP_060369692.1
OG0000235	XP_060426200.1	XP_060363388.1
OG0000236	XP_060427004.1	XP_060368482.1
OG0000236	XP_060422117.1, XP_060422524.1, XP_060424590.1	XP_060359724.1
OG0000237	XP_060429197.1	XP_060357712.1
OG0000238	XP_060436822.1	XP_060367882.1
OG0000238	XP_060436823.1	XP_060367881.1
OG0000239	XP_060423000.1	XP_060361560.1
OG0000239	XP_060432594.1	XP_060364740.1
OG0000240	XP_060424607.1	XP_060359712.1
OG0000241	XP_060424642.1	XP_060359071.1, XP_060359353.1
OG0000242	XP_060430448.1	XP_060357579.1
OG0000243	XP_060429427.1	XP_060364492.1, XP_060364489.1
OG0000243	XP_060429426.1	XP_060364490.1
OG0000243	XP_060422852.1	XP_060364493.1
OG0000243	XP_060429425.1	XP_060361234.1
OG0000244	XP_060426067.1	XP_060367729.1
OG0000245	XP_060427157.1	XP_060359338.1
OG0000248	XP_060424578.1	XP_060357237.1
OG0000248	XP_060436223.1	XP_060371211.1
OG0000249	XP_060432830.1	XP_060368594.1
OG0000250	XP_060421724.1	XP_060364343.1
OG0000250	XP_060429519.1	XP_060364974.1
OG0000251	XP_060422916.1	XP_060359182.1
OG0000252	XP_060427330.1	XP_060357536.1
OG0000252	XP_060427961.1	XP_060360916.1
OG0000253	XP_060432779.1	XP_060366042.1
OG0000253	XP_060429783.1	XP_060365372.1
OG0000254	XP_060424511.1	XP_060359659.1
OG0000254	XP_060421484.1	XP_060358340.1
OG0000255	XP_060423628.1	XP_060364793.1
OG0000255	XP_060431508.1	XP_060366772.1
OG0000256	XP_060426849.1	XP_060363899.1
OG0000256	XP_060434413.1	XP_060370761.1
OG0000257	XP_060432113.1	XP_060364578.1
OG0000257	XP_060429590.1, XP_060429589.1	XP_060363669.1
OG0000258	XP_060429820.1	XP_060365066.1
OG0000258	XP_060423133.1	XP_060363633.1
OG0000259	XP_060422736.1	XP_060368279.1
OG0000259	XP_060427564.1	XP_060357412.1
OG0000260	XP_060427584.1	XP_060357639.1
OG0000261	XP_060428648.1	XP_060368122.1
OG0000262	XP_060423466.1	XP_060362778.1
OG0000262	XP_060427134.1	XP_060365579.1
OG0000263	XP_060426653.1	XP_060370143.1
OG0000263	XP_060437030.1	XP_060371628.1
OG0000264	XP_060428532.1	XP_060368010.1
OG0000264	XP_060433027.1	XP_060364114.1
OG0000264	XP_060421605.1	XP_060362727.1
OG0000264	XP_060425124.1	XP_060366514.1
OG0000265	XP_060425147.1	XP_060366490.1
OG0000265	XP_060425050.1	XP_060364218.1
OG0000266	XP_060425158.1, XP_060425157.1	XP_060366479.1
OG0000267	XP_060428292.1	XP_060363869.1
OG0000267	XP_060425196.1	XP_060365757.1
OG0000268	XP_060430119.1	XP_060362665.1
OG0000268	XP_060428313.1	XP_060363887.1
OG0000269	XP_060428572.1, XP_060424045.1	XP_060368056.1, XP_060364363.1
OG0000270	XP_060430676.1	XP_060357063.1
OG0000270	XP_060433539.1	XP_060370727.1
OG0000271	XP_060436659.1	XP_060362068.1
OG0000273	XP_060431084.1	XP_060357378.1
OG0000273	XP_060429213.1	XP_060361471.1
OG0000274	XP_060433328.1	XP_060360271.1
OG0000274	XP_060427512.1	XP_060363716.1
OG0000275	XP_060426668.1	XP_060360351.1, XP_060370125.1
OG0000275	XP_060433865.1	XP_060372031.1
OG0000276	XP_060429943.1	XP_060360891.1
OG0000276	XP_060423215.1	XP_060364233.1
OG0000277	XP_060430026.1	XP_060361242.1
OG0000277	XP_060428120.1	XP_060358926.1
OG0000278	XP_060427266.1	XP_060359110.1
OG0000279	XP_060429566.1	XP_060365027.1
OG0000279	XP_060424911.1	XP_060368533.1
OG0000280	XP_060429618.1	XP_060371287.1
OG0000280	XP_060424776.1	XP_060368324.1
OG0000281	XP_060430988.1	XP_060364893.1
OG0000281	XP_060422763.1	XP_060368305.1
OG0000282	XP_060421747.1	XP_060359364.1
OG0000283	XP_060431124.1	XP_060361588.1
OG0000283	XP_060431758.1	XP_060370352.1
OG0000284	XP_060422589.1	XP_060361513.1
OG0000284	XP_060422592.1, XP_060431145.1	XP_060361609.1
OG0000285	XP_060431184.1	XP_060357923.1
OG0000285	XP_060433280.1	XP_060360719.1
OG0000286	XP_060430911.1	XP_060359458.1
OG0000287	XP_060430921.1	XP_060359450.1
OG0000287	XP_060431608.1	XP_060360998.1
OG0000289	XP_060421648.1, XP_060421412.1, XP_060427344.1, XP_060421749.1	XP_060359365.1
OG0000291	XP_060430607.1	XP_060365514.1
OG0000291	XP_060428427.1	XP_060367246.1
OG0000292	XP_060426052.1	XP_060367745.1
OG0000292	XP_060433055.1	XP_060357581.1
