Orthogroup	Colletotrichum_godetiae	Colletotrichum_truncatum
OG0000009	XP_060436719.1	XP_036578878.1
OG0000009	XP_060427117.1	XP_036576912.1
OG0000009	XP_060425216.1	XP_036575001.1
OG0000009	XP_060424844.1	XP_036577228.2
OG0000012	XP_060425599.1	XP_070060447.1
OG0000012	XP_060430634.1	XP_036578387.1, XP_036581583.2
OG0000012	XP_060428118.1	XP_070060757.1, XP_036577726.1
OG0000012	XP_060424388.1	XP_036576927.1
OG0000014	XP_060433247.1	XP_036583875.1
OG0000014	XP_060429479.1	XP_036586349.1
OG0000014	XP_060431445.1	XP_070061736.1
OG0000014	XP_060426988.1	XP_070059808.1, XP_036587851.1
OG0000014	XP_060426412.1	XP_036576421.1
OG0000014	XP_060422444.1	XP_036574781.1, XP_036587323.2
OG0000015	XP_060424864.1	XP_036575290.1
OG0000015	XP_060430301.1, XP_060421624.1, XP_060422502.1	XP_036589778.1, XP_036581744.1
OG0000016	XP_060436401.1	XP_036589588.1
OG0000016	XP_060423652.1	XP_036581107.1
OG0000016	XP_060433359.1	XP_036583987.1
OG0000016	XP_060433378.1	XP_036586092.1
OG0000017	XP_060428176.1	XP_036581693.1
OG0000017	XP_060435846.1	XP_036588586.1
OG0000017	XP_060435607.1, XP_060427398.1	XP_070062442.1
OG0000017	XP_060431154.1	XP_036585183.1
OG0000019	XP_060435896.1	XP_036580709.1
OG0000019	XP_060430815.1	XP_036589060.2
OG0000020	XP_060428182.1	XP_036581264.1
OG0000021	XP_060421692.1, XP_060421691.1	XP_036579366.2, XP_036574644.1, XP_036577797.1, XP_070062637.1
OG0000022	XP_060426850.1	XP_036583470.2
OG0000023	XP_060429564.1	XP_036586304.1
OG0000023	XP_060425815.1	XP_036587982.1
OG0000023	XP_060433414.1	XP_070062046.1
OG0000023	XP_060436329.1	XP_036589513.1
OG0000024	XP_060436445.1	XP_036589767.1
OG0000024	XP_060425577.1	XP_036577317.1
OG0000024	XP_060427612.1	XP_070062657.1
OG0000024	XP_060430976.1, XP_060429383.1	XP_036586456.1
OG0000026	XP_060429386.1	XP_036586453.1
OG0000026	XP_060428763.1	XP_036583201.2
OG0000026	XP_060429661.1	XP_036577471.2, XP_036580498.1
OG0000028	XP_060428084.1	XP_036581182.1
OG0000028	XP_060428085.1, XP_060430972.1, XP_060424829.1, XP_060436891.1, XP_060428081.1, XP_060422176.1, XP_060430971.1	XP_070060257.1
OG0000031	XP_060429462.1	XP_036586424.1
OG0000031	XP_060423022.1	XP_036588147.1
OG0000032	XP_060423400.1, XP_060423399.1	XP_036584361.1
OG0000032	XP_060423317.1, XP_060422826.1, XP_060436851.1	XP_036578818.1, XP_036584347.2
OG0000033	XP_060425685.1	XP_036581751.1, XP_036576910.1, XP_070062092.1, XP_036574875.1, XP_036577699.1
OG0000033	XP_060432069.1	XP_070061928.1
OG0000033	XP_060428896.1	XP_070059783.1
OG0000033	XP_060428895.1	XP_036581681.1, XP_036574549.2, XP_036578581.1, XP_070062358.1, XP_036577796.1
OG0000034	XP_060425434.1	XP_070060023.1
OG0000034	XP_060425010.1	XP_036589643.1
OG0000034	XP_060426368.1	XP_070062330.1, XP_036576453.1
OG0000034	XP_060427517.1	XP_036579478.1
OG0000035	XP_060437284.1	XP_036588818.1
OG0000035	XP_060427104.1	XP_070061252.1
OG0000035	XP_060426759.1	XP_070061519.1
OG0000035	XP_060429699.1	XP_036589606.1
OG0000037	XP_060429509.1	XP_036586380.1
OG0000037	XP_060433748.1, XP_060427933.1	XP_036586339.1
OG0000037	XP_060434737.1	XP_070061137.1
OG0000037	XP_060422163.1	XP_036574206.1
OG0000038	XP_060436774.1	XP_036582162.1
OG0000038	XP_060429544.1	XP_036583624.1
OG0000039	XP_060422300.1	XP_036577785.2
OG0000040	XP_060435849.1, XP_060426497.1	XP_070061799.1
OG0000040	XP_060421402.1, XP_060421289.1, XP_060421340.1, XP_060421359.1, XP_060421811.1, XP_060421796.1	XP_070060005.1, XP_036584610.1
OG0000043	XP_060423691.1	XP_036581061.2
OG0000044	XP_060424363.1	XP_036580093.1
OG0000044	XP_060425820.1	XP_036588037.1
OG0000044	XP_060430013.1	XP_036576677.1, XP_036582618.1
OG0000044	XP_060430675.1	XP_036584145.1
OG0000046	XP_060423965.1	XP_036577233.1
OG0000046	XP_060422315.1	XP_036588719.1
OG0000046	XP_060432596.1	XP_036583944.1, XP_036584655.1
OG0000046	XP_060436550.1	XP_036589658.1
OG0000047	XP_060435585.1	XP_036581805.1
OG0000047	XP_060428658.1	XP_036577195.1, XP_036574367.1
OG0000049	XP_060429839.1	XP_036590002.1
OG0000049	XP_060427652.1	XP_036579330.1
OG0000050	XP_060426010.1	XP_036581015.1
OG0000050	XP_060430015.1	XP_036582616.1
OG0000050	XP_060434196.1	XP_036587657.1
OG0000051	XP_060427463.1	XP_036579133.1
OG0000051	XP_060427740.1	XP_070060580.1
OG0000051	XP_060424773.1	XP_070061565.1
OG0000053	XP_060430297.1	XP_070060171.1, XP_070060072.1
OG0000053	XP_060431468.1	XP_070062493.1, XP_070059990.1
OG0000053	XP_060422806.1	XP_036579069.1
OG0000054	XP_060425671.1	XP_036581099.1
OG0000054	XP_060421316.1, XP_060421708.1, XP_060423325.1, XP_060421372.1	XP_036584573.1, XP_036574247.1, XP_070060001.1, XP_070060678.1
OG0000054	XP_060422834.1	XP_070059803.1, XP_036584510.1
OG0000055	XP_060430387.1	XP_036589844.1
OG0000056	XP_060430124.1, XP_060423246.1, XP_060423245.1, XP_060426779.1, XP_060423847.1, XP_060427895.1, XP_060426662.1, XP_060422149.1, XP_060431385.1, XP_060423848.1, XP_060434300.1, XP_060423884.1, XP_060434313.1, XP_060434315.1, XP_060434324.1, XP_060434314.1, XP_060431283.1, XP_060431305.1, XP_060431304.1, XP_060432003.1, XP_060432004.1, XP_060434046.1, XP_060433737.1, XP_060432005.1, XP_060426851.1, XP_060428378.1, XP_060426727.1, XP_060426680.1, XP_060434316.1, XP_060434317.1	XP_036578046.2
OG0000057	XP_060425430.1	XP_070060021.1
OG0000058	XP_060436116.1	XP_070062259.1
OG0000058	XP_060421769.1, XP_060421813.1, XP_060421356.1, XP_060421286.1, XP_060421337.1	XP_036576555.2, XP_036584608.2
OG0000058	XP_060422835.1	XP_036584471.2
OG0000059	XP_060423506.1, XP_060436928.1	XP_036589130.1
OG0000059	XP_060431609.1	XP_036579230.1
OG0000059	XP_060431044.1	XP_036578680.1
OG0000063	XP_060434110.1	XP_070059816.1
OG0000064	XP_060425145.1	XP_070061063.1
OG0000064	XP_060429117.1, XP_060427609.1, XP_060422807.1	XP_070060549.1, XP_036583871.2, XP_070062298.1
OG0000065	XP_060436978.1	XP_070059972.1
OG0000066	XP_060435465.1	XP_036574872.1
OG0000067	XP_060426247.1	XP_036576223.1
OG0000068	XP_060430828.1, XP_060428216.1, XP_060422855.1, XP_060434661.1	XP_036576093.1, XP_036582362.1
OG0000068	XP_060430830.1	XP_036586797.1
OG0000070	XP_060426203.1, XP_060423011.1, XP_060436394.1	XP_036575460.1
OG0000071	XP_060424427.1	XP_036576990.1
OG0000071	XP_060422211.1	XP_036588687.1
OG0000072	XP_060433292.1	XP_070061591.1
OG0000072	XP_060431204.1	XP_036576286.1
OG0000072	XP_060432710.1	XP_070062142.1
OG0000072	XP_060430058.1	XP_036582573.1
OG0000073	XP_060431088.1	XP_036576219.2
OG0000073	XP_060427350.1	XP_036585422.1
OG0000073	XP_060427303.1	XP_036586327.2
OG0000074	XP_060421909.1, XP_060424571.1	XP_036577736.2
OG0000074	XP_060423300.1	XP_036574831.2
OG0000074	XP_060422129.1	XP_036575819.1
OG0000075	XP_060435771.1	XP_036588485.1
OG0000075	XP_060422103.1	XP_036584436.1
OG0000076	XP_060429108.1	XP_036575157.2, XP_036589633.1
OG0000077	XP_060429200.1	XP_036578994.1
OG0000078	XP_060429979.1	XP_036575061.1
OG0000078	XP_060434048.1	XP_036579453.1
OG0000078	XP_060428127.1	XP_036581231.1
OG0000080	XP_060426223.1	XP_036575145.1
OG0000080	XP_060425323.1	XP_036577634.1
OG0000080	XP_060435856.1	XP_036588664.1
OG0000081	XP_060423130.1	XP_070062102.1
OG0000081	XP_060430904.1	XP_036578539.1
OG0000081	XP_060437149.1	XP_036588499.1, XP_036588848.1
OG0000082	XP_060422997.1	XP_036577894.1
OG0000082	XP_060424833.1	XP_036577202.1
OG0000083	XP_060432065.1	XP_036581679.1
OG0000084	XP_060421552.1	XP_036575159.1
OG0000085	XP_060425007.1	XP_036581921.1
OG0000088	XP_060422654.1	XP_036585215.1
OG0000089	XP_060436023.1	XP_036585152.1
OG0000089	XP_060430235.1	XP_036576625.1
OG0000089	XP_060434789.1	XP_036582452.1
OG0000090	XP_060435685.1	XP_036588418.1
OG0000090	XP_060432593.1	XP_036585093.1
OG0000090	XP_060434587.1	XP_036579088.1, XP_036585590.2
OG0000091	XP_060429603.1	XP_036579955.1
OG0000091	XP_060429716.1	XP_036586150.2
OG0000095	XP_060426755.1	XP_036574883.1, XP_036579927.2, XP_036588193.1, XP_036576482.1, XP_036580326.1, XP_036576095.1
OG0000097	XP_060426330.1	XP_036581703.2
OG0000097	XP_060427229.1	XP_070061065.1
OG0000098	XP_060437196.1	XP_036585097.1
OG0000099	XP_060436671.1	XP_070061517.1
OG0000100	XP_060429116.1	XP_036589602.1
OG0000100	XP_060434736.1	XP_036582490.1
OG0000100	XP_060426685.1	XP_036581712.1
OG0000101	XP_060429801.1	XP_070060786.1
OG0000101	XP_060436734.1	XP_036578856.1
OG0000101	XP_060422556.1	XP_036588171.1
OG0000102	XP_060422559.1	XP_036588169.1
OG0000102	XP_060428962.1	XP_070060497.1
OG0000102	XP_060422755.1	XP_036576025.1
OG0000103	XP_060425059.1	XP_070059924.1
OG0000105	XP_060427086.1	XP_036579500.1, XP_070061539.1
OG0000108	XP_060421497.1	XP_036584564.1
OG0000109	XP_060423190.1	XP_036577672.1
OG0000109	XP_060427211.1	XP_036578485.2
OG0000110	XP_060431348.1	XP_036574432.1
OG0000110	XP_060427587.1	XP_036579391.1
OG0000111	XP_060423145.1	XP_036580028.2
OG0000111	XP_060435389.1	XP_070062558.1
OG0000112	XP_060423474.1	XP_036587244.2
OG0000112	XP_060427593.1	XP_036579388.1
OG0000113	XP_060428325.1	XP_036585809.2
OG0000113	XP_060437280.1	XP_036588810.1
OG0000114	XP_060429560.1	XP_070059945.1
OG0000114	XP_060423850.1	XP_036577220.1
OG0000115	XP_060425296.1	XP_036577648.2
OG0000115	XP_060436170.1	XP_036589307.1
OG0000120	XP_060424855.1	XP_036583668.1
OG0000120	XP_060422018.1	XP_036579819.1
OG0000120	XP_060435829.1	XP_036588528.1
OG0000121	XP_060433063.1	XP_036579751.1
OG0000122	XP_060421992.1	XP_070062129.1, XP_036586604.2, XP_070060318.1
OG0000123	XP_060432662.1, XP_060421658.1	XP_036584346.1
OG0000124	XP_060427566.1	XP_036579312.1, XP_036581343.1
OG0000125	XP_060436341.1	XP_036589530.1
OG0000125	XP_060426742.1	XP_036580720.2
OG0000127	XP_060425263.1	XP_036581803.1
OG0000127	XP_060424874.1	XP_036583687.1
OG0000127	XP_060433246.1	XP_036579883.1
OG0000129	XP_060422672.1	XP_070062408.1
OG0000131	XP_060422270.1, XP_060422425.1, XP_060422273.1	XP_070061790.1, XP_036584534.1
OG0000132	XP_060427930.1	XP_036579130.1
OG0000133	XP_060423512.1	XP_036579512.1, XP_036579519.1
OG0000137	XP_060422423.1	XP_036581085.1
OG0000138	XP_060436889.1	XP_070061375.1
OG0000138	XP_060424295.1	XP_070059986.1, XP_036580411.1
OG0000140	XP_060437267.1	XP_036588794.1
OG0000140	XP_060424924.1	XP_036580083.1, XP_036578287.2, XP_036588729.1
OG0000141	XP_060421606.1	XP_070061883.1
OG0000142	XP_060430447.1	XP_070060920.1
OG0000142	XP_060431923.1	XP_036582334.1
OG0000143	XP_060430105.1	XP_036582532.1
OG0000144	XP_060430084.1	XP_036586535.1
OG0000144	XP_060424506.1	XP_036582031.1
OG0000145	XP_060434697.1	XP_036585491.1
OG0000147	XP_060436692.1	XP_036578891.1
OG0000147	XP_060432726.1	XP_036586925.1
OG0000148	XP_060430277.1	XP_036576663.1
OG0000148	XP_060422699.1	XP_036582049.1
OG0000150	XP_060430974.1	XP_036578055.1
OG0000151	XP_060425394.1	XP_036576471.1
OG0000152	XP_060427235.1	XP_036575518.1
OG0000154	XP_060429061.1	XP_070060474.1
OG0000154	XP_060435826.1	XP_070062618.1
OG0000155	XP_060426769.1	XP_036575166.1
OG0000155	XP_060427849.1	XP_036578283.1
OG0000155	XP_060422475.1	XP_070061173.1
OG0000156	XP_060431367.1	XP_036585166.1
OG0000156	XP_060421880.1	XP_070061833.1
OG0000157	XP_060434820.1	XP_070060905.1
OG0000157	XP_060425717.1	XP_036580082.1
OG0000158	XP_060422543.1	XP_036574899.1, XP_036580147.2, XP_036584425.1, XP_036584435.1, XP_036584493.2, XP_036586816.1, XP_036574891.1
OG0000159	XP_060427666.1	XP_036579325.1
OG0000160	XP_060433591.1	XP_036582190.1
OG0000160	XP_060424925.1	XP_036577774.1, XP_036577773.1
OG0000161	XP_060432016.1	XP_070061213.1
OG0000161	XP_060431759.1	XP_070062508.1
OG0000162	XP_060421827.1, XP_060421305.1, XP_060422261.1, XP_060424598.1	XP_070060187.1
OG0000170	XP_060425710.1, XP_060435895.1, XP_060433416.1	XP_036578624.1, XP_036577200.1
OG0000171	XP_060424740.1	XP_036577665.2, XP_070061185.1, XP_036587722.1
OG0000172	XP_060432397.1	XP_070062206.1
OG0000172	XP_060430143.1, XP_060431369.1	XP_036585165.1
OG0000174	XP_060423650.1	XP_036581105.1
OG0000174	XP_060423957.1	XP_070060701.1
OG0000175	XP_060429595.1	XP_036579948.1
OG0000175	XP_060432683.1	XP_036574966.1, XP_036581039.2
OG0000176	XP_060432988.1	XP_036587391.1
OG0000176	XP_060437308.1	XP_036582082.2
OG0000177	XP_060422301.1	XP_036577787.1
OG0000177	XP_060421785.1	XP_036583664.1
OG0000178	XP_060423422.1	XP_036587178.2
OG0000178	XP_060433814.1	XP_036577946.2
OG0000178	XP_060437233.1	XP_036580407.2
OG0000179	XP_060424291.1	XP_070061313.1
OG0000179	XP_060430066.1	XP_036582565.2
OG0000180	XP_060430107.1	XP_036579978.1
OG0000181	XP_060423731.1	XP_036580310.1
OG0000181	XP_060433045.1, XP_060431148.1	XP_036576246.1
OG0000182	XP_060430933.1	XP_036586896.1
OG0000182	XP_060430234.1	XP_070060435.1
OG0000183	XP_060421761.1, XP_060421390.1, XP_060421298.1	XP_036584589.1, XP_036576566.1, XP_036584492.1
OG0000185	XP_060431571.1	XP_070062466.1, XP_070061465.1, XP_036578802.1, XP_036583732.1, XP_070060918.1
OG0000185	XP_060426655.1	XP_036584354.1
OG0000186	XP_060432727.1	XP_036586926.1
OG0000186	XP_060423736.1	XP_036580313.1
OG0000188	XP_060432285.1	XP_036584213.1
OG0000188	XP_060433585.1	XP_036583688.1
OG0000189	XP_060424695.1	XP_036583674.1, XP_036582063.1, XP_036587683.1, XP_070060058.1
OG0000190	XP_060436396.1	XP_036589583.1
OG0000196	XP_060432758.1	XP_036587061.1
OG0000197	XP_060425674.1	XP_070061924.1
OG0000197	XP_060421463.1	XP_070060176.1, XP_036586873.1, XP_036580399.1
OG0000198	XP_060436842.1	XP_036578809.1
OG0000198	XP_060433346.1	XP_036583915.1
OG0000201	XP_060424755.1	XP_036584064.1
OG0000202	XP_060423974.1, XP_060427756.1	XP_036584058.1
OG0000203	XP_060429285.1	XP_070060705.1, XP_036589925.1
OG0000205	XP_060430966.1	XP_036577357.1
OG0000207	XP_060423735.1	XP_036580312.1
OG0000207	XP_060436778.1	XP_070061372.1
OG0000208	XP_060428129.1	XP_036576782.1, XP_036583714.1
OG0000210	XP_060426365.1	XP_036587157.1
OG0000210	XP_060422529.1	XP_036589054.1
OG0000212	XP_060427599.1	XP_070062662.1
OG0000212	XP_060429474.1	XP_070060740.1
OG0000214	XP_060426385.1	XP_036581030.1
OG0000216	XP_060430434.1	XP_036581420.1
OG0000218	XP_060425703.1, XP_060425704.1	XP_036589775.1, XP_036582128.1
OG0000219	XP_060423178.1	XP_036580046.1, XP_036587155.1
OG0000220	XP_060429093.1	XP_036576157.1
OG0000220	XP_060430530.1	XP_036581510.1
OG0000221	XP_060423480.1	XP_036587228.1
OG0000222	XP_060433500.1	XP_036585998.1
OG0000222	XP_060432783.1	XP_070062151.1
OG0000224	XP_060435447.1	XP_036575739.1
OG0000224	XP_060432709.1	XP_036575643.1
OG0000225	XP_060429248.1	XP_036589905.1
OG0000226	XP_060435100.1	XP_036579342.1
OG0000226	XP_060426980.1, XP_060421831.1	XP_036575103.1
OG0000227	XP_060429824.1	XP_036574751.1
OG0000227	XP_060427511.1	XP_036579469.1
OG0000228	XP_060432744.1	XP_036586943.1
OG0000228	XP_060430035.1	XP_036582595.1
OG0000229	XP_060431157.1	XP_036576254.1
OG0000229	XP_060429818.1	XP_036581029.1
OG0000230	XP_060423489.1	XP_070060527.1
OG0000231	XP_060430848.1	XP_036586866.1
OG0000231	XP_060436403.1	XP_036589590.1, XP_036587986.1
OG0000232	XP_060430900.1	XP_036586825.2
OG0000232	XP_060428861.1	XP_036583958.1
OG0000233	XP_060430954.1	XP_036580402.2
OG0000233	XP_060425871.1	XP_036587708.1
OG0000234	XP_060425235.1	XP_036578965.1
OG0000234	XP_060430402.1	XP_070060393.1, XP_036584543.1, XP_036578522.1
OG0000235	XP_060435253.1	XP_036586650.2
OG0000235	XP_060426200.1	XP_036580450.1
OG0000236	XP_060427004.1	XP_036587868.1
OG0000236	XP_060422117.1, XP_060422524.1, XP_060424590.1	XP_036584365.1
OG0000237	XP_060429197.1	XP_036589882.1
OG0000237	XP_060428577.1	XP_036574321.1
OG0000239	XP_060423000.1	XP_070060870.1
OG0000239	XP_060432594.1	XP_036585092.1
OG0000240	XP_060421528.1, XP_060422255.1, XP_060424607.1	XP_036588135.1
OG0000241	XP_060427686.1, XP_060432357.1	XP_036589152.1
OG0000241	XP_060424642.1	XP_036576349.1, XP_036581808.2, XP_036584449.1
OG0000242	XP_060430448.1	XP_036581399.2
OG0000243	XP_060422852.1, XP_060429425.1	XP_070060729.1
OG0000244	XP_060426067.1	XP_036580973.1
OG0000245	XP_060427157.1	XP_070062555.1, XP_036586477.2, XP_070062440.1, XP_036574576.1, XP_070060687.1, XP_036574309.2, XP_036582360.1, XP_036576293.1, XP_036576464.2, XP_070059939.1, XP_070061757.1, XP_070060880.1, XP_070060049.1
OG0000246	XP_060431306.1	XP_036575550.1, XP_070061704.1, XP_036579940.1, XP_070061494.1, XP_036587472.1, XP_070060544.1, XP_070060789.1, XP_070061464.1, XP_036579872.1, XP_036574538.1, XP_036582727.1, XP_070060221.1, XP_036586259.1, XP_070061272.1, XP_036580758.1, XP_070061436.1
OG0000248	XP_060424578.1, XP_060422538.1, XP_060436223.1	XP_036589281.2
OG0000249	XP_060422865.1, XP_060422532.1, XP_060432830.1	XP_036586966.1
OG0000250	XP_060421724.1	XP_036575276.1
OG0000250	XP_060429519.1	XP_070060523.1
OG0000251	XP_060422916.1	XP_036576862.2
OG0000251	XP_060433584.1	XP_036583689.1
OG0000252	XP_060427330.1	XP_070061293.1
OG0000252	XP_060427961.1	XP_036577354.1
OG0000253	XP_060432779.1	XP_036586947.1
OG0000253	XP_060429783.1	XP_036586194.1
OG0000254	XP_060421484.1	XP_036577114.1
OG0000255	XP_060423628.1	XP_070061766.1
OG0000255	XP_060431508.1	XP_036585335.1
OG0000256	XP_060426849.1	XP_036582737.1
OG0000256	XP_060434413.1	XP_036585753.2
OG0000257	XP_060432113.1	XP_070061947.1
OG0000257	XP_060429590.1, XP_060429589.1	XP_070062323.1, XP_070062097.1
OG0000258	XP_060429820.1	XP_036586230.1
OG0000258	XP_060423133.1	XP_036579976.1
OG0000259	XP_060422736.1	XP_036576042.1
OG0000259	XP_060427564.1	XP_036579418.1
OG0000260	XP_060427584.1	XP_036575392.1, XP_036579394.1
OG0000261	XP_060428648.1	XP_036577087.1, XP_036576113.1, XP_036580702.1
OG0000262	XP_060423466.1	XP_036587238.1
OG0000262	XP_060427134.1	XP_036582263.1
OG0000263	XP_060426653.1	XP_036580807.1
OG0000263	XP_060437030.1	XP_036588907.1
OG0000264	XP_060428532.1	XP_036576519.1
OG0000265	XP_060425147.1	XP_036578528.1
OG0000265	XP_060425050.1	XP_036577323.1
OG0000266	XP_060425158.1, XP_060425157.1	XP_036578494.1
OG0000266	XP_060433597.1	XP_036583717.1
OG0000267	XP_060428292.1	XP_036585784.1
OG0000267	XP_060425196.1	XP_036575030.1
OG0000268	XP_060430119.1	XP_036582502.2
OG0000268	XP_060428313.1	XP_036585798.1
OG0000269	XP_060428572.1, XP_060424045.1	XP_036585760.1, XP_036578252.1
OG0000270	XP_060430676.1	XP_036576747.1
OG0000270	XP_060433539.1	XP_036585945.1
OG0000272	XP_060433589.1	XP_070060203.1
OG0000273	XP_060431084.1	XP_036576222.1
OG0000273	XP_060429213.1	XP_036589868.1
OG0000274	XP_060433328.1	XP_036583977.1
OG0000274	XP_060427512.1	XP_036579468.1
OG0000276	XP_060429943.1	XP_036578997.1
OG0000276	XP_060423215.1	XP_036581982.1
OG0000277	XP_060430026.1	XP_036582605.1
OG0000277	XP_060428120.1	XP_036586329.1
OG0000278	XP_060427266.1	XP_036587761.1
OG0000279	XP_060429566.1	XP_036586308.1
OG0000280	XP_060429618.1	XP_070060108.1
OG0000280	XP_060424776.1	XP_036575996.2
OG0000281	XP_060430988.1	XP_070062539.1
OG0000281	XP_060422763.1	XP_036576017.1
OG0000282	XP_060421650.1	XP_036584624.1, XP_036576547.1, XP_036584515.1
OG0000283	XP_060431124.1	XP_036578173.1
OG0000283	XP_060431758.1	XP_036578458.1
OG0000284	XP_060422589.1, XP_060422592.1, XP_060431145.1	XP_036588218.1
OG0000285	XP_060431184.1	XP_036576263.1
OG0000285	XP_060433280.1	XP_036583950.1
OG0000287	XP_060430921.1	XP_070060373.1
OG0000287	XP_060431608.1	XP_036579227.2
OG0000289	XP_060421648.1, XP_060421412.1, XP_060427344.1, XP_060421749.1	XP_036584623.1, XP_070060006.1, XP_036584507.1
OG0000290	XP_060426754.1	XP_036581205.1, XP_036576481.1
OG0000291	XP_060430607.1	XP_036581569.1
OG0000291	XP_060428427.1	XP_036585877.1
OG0000292	XP_060426052.1	XP_036580977.1
OG0000293	XP_060427238.1	XP_070061275.1
OG0000293	XP_060433065.1	XP_036579748.2
OG0000294	XP_060433207.1	XP_036583896.1
OG0000294	XP_060427602.1	XP_036579380.1
OG0000295	XP_060433362.1	XP_036583990.1, XP_036582422.1, XP_036589751.2, XP_036581408.1
OG0000296	XP_060427029.1	XP_036581807.1, XP_070062635.1, XP_070061391.1
OG0000297	XP_060424192.1	XP_036583056.1
OG0000297	XP_060430156.1	XP_036575146.1
OG0000298	XP_060427412.1	XP_036575698.1
OG0000298	XP_060436703.1	XP_036578883.1
OG0000299	XP_060423954.1	XP_070061577.1
OG0000300	XP_060430973.1	XP_036578056.1
OG0000301	XP_060430199.1	XP_070061793.1
OG0000301	XP_060423790.1	XP_036580359.1
OG0000302	XP_060426780.1, XP_060429395.1, XP_060422121.1, XP_060435591.1	XP_036589630.2
OG0000303	XP_060432982.1	XP_036587078.1
OG0000303	XP_060436174.1	XP_036589304.2
OG0000305	XP_060425832.1	XP_070060840.1
OG0000305	XP_060423599.1	XP_036579614.2
OG0000307	XP_060434237.1	XP_036581197.1
OG0000308	XP_060432127.1	XP_036584089.2
OG0000309	XP_060422952.1, XP_060422941.1, XP_060422943.1	XP_036577921.1
OG0000310	XP_060424879.1	XP_036576901.2
OG0000311	XP_060431654.1	XP_036587367.1, XP_036578339.1
OG0000312	XP_060428929.1	XP_036574537.1
OG0000312	XP_060421978.1	XP_036587726.1
OG0000313	XP_060430374.1	XP_036574340.1
OG0000313	XP_060428926.1	XP_036574540.1
OG0000314	XP_060430443.1	XP_036581424.1
OG0000314	XP_060429703.1	XP_036586147.1
OG0000315	XP_060423679.1	XP_036581065.2
OG0000315	XP_060430300.1	XP_070059881.1
OG0000316	XP_060426187.1	XP_036583130.1
OG0000316	XP_060429475.1	XP_036586414.1
OG0000317	XP_060429399.1	XP_070060734.1
OG0000318	XP_060430777.1	XP_036586762.1
OG0000318	XP_060429453.1	XP_036586466.1
OG0000319	XP_060434925.1	XP_036584711.1
OG0000319	XP_060436399.1	XP_070062295.1
