Orthogroup	Colletotrichum_godetiae	Colletotrichum_siamense
OG0000018	XP_060430376.1	XP_036498532.1, XP_036491986.1, XP_036496484.1, XP_036493287.1
OG0000018	XP_060427534.1, XP_060433811.1	XP_036488781.1, XP_036491241.1, XP_036502903.1
OG0000019	XP_060435896.1	XP_036488105.1
OG0000019	XP_060430815.1	XP_036494036.1, XP_036495462.1, XP_036500388.1
OG0000019	XP_060430406.1	XP_036493165.1
OG0000020	XP_060428182.1	XP_036494998.1
OG0000021	XP_060423578.1, XP_060430212.1	XP_036496508.1
OG0000023	XP_060429564.1	XP_036488348.1
OG0000023	XP_060428030.1	XP_036495698.1
OG0000023	XP_060425815.1	XP_036488063.1
OG0000023	XP_060433414.1	XP_036499297.1
OG0000023	XP_060436329.1	XP_036489741.1
OG0000023	XP_060424910.1	XP_036499311.1, XP_036499951.1
OG0000024	XP_060436445.1	XP_036489226.1
OG0000024	XP_060425577.1	XP_036488107.1
OG0000024	XP_060427612.1	XP_036497550.1
OG0000024	XP_060430976.1, XP_060429383.1	XP_036488952.1
OG0000026	XP_060429386.1	XP_036488905.1
OG0000026	XP_060428763.1	XP_036495148.1
OG0000026	XP_060429661.1	XP_036501435.1
OG0000028	XP_060428084.1	XP_036494856.1
OG0000028	XP_060424829.1	XP_036502180.1
OG0000028	XP_060436891.1	XP_036490429.1
OG0000028	XP_060428081.1	XP_036494902.1
OG0000028	XP_060422176.1	XP_036493585.1
OG0000031	XP_060429462.1	XP_036488790.1
OG0000031	XP_060423022.1	XP_036487965.1
OG0000031	XP_060425379.1	XP_036499944.1, XP_036495246.1
OG0000031	XP_060425569.1	XP_036492221.1
OG0000032	XP_060423400.1, XP_060423399.1	XP_036490828.1, XP_036490373.1
OG0000032	XP_060423317.1, XP_060422826.1, XP_060436851.1	XP_036491022.1
OG0000033	XP_060425685.1	XP_036493005.1
OG0000033	XP_060428895.1	XP_036494215.1, XP_036499378.1
OG0000034	XP_060425434.1	XP_036494491.1
OG0000034	XP_060425010.1	XP_036498572.1, XP_036502403.1
OG0000034	XP_060426368.1	XP_036499396.1
OG0000034	XP_060427517.1	XP_036497376.1
OG0000035	XP_060437284.1	XP_036490914.1
OG0000035	XP_060427104.1	XP_036493895.1
OG0000035	XP_060426759.1	XP_036490320.1
OG0000035	XP_060429699.1	XP_036496362.1
OG0000037	XP_060429509.1	XP_036487993.1
OG0000037	XP_060434737.1	XP_036493393.1
OG0000037	XP_060422163.1	XP_036494326.1
OG0000038	XP_060436774.1	XP_036492752.1
OG0000039	XP_060422300.1	XP_036497200.1
OG0000039	XP_060422156.1, XP_060430347.1	XP_036494942.1
OG0000039	XP_060436406.1	XP_036492170.1
OG0000039	XP_060424742.1	XP_036492553.1
OG0000040	XP_060435849.1, XP_060426497.1	XP_036499274.1
OG0000040	XP_060432609.1	XP_036495255.1
OG0000043	XP_060423691.1	XP_036499171.1
OG0000044	XP_060424363.1	XP_036500277.1
OG0000044	XP_060430013.1	XP_036495490.1, XP_036491424.1, XP_036492780.1
OG0000044	XP_060430675.1	XP_036489400.1
OG0000046	XP_060423965.1	XP_036488170.1
OG0000046	XP_060422315.1	XP_036497078.1
OG0000046	XP_060432596.1	XP_036501566.1
OG0000046	XP_060436550.1	XP_036489187.1
OG0000047	XP_060428658.1	XP_036501166.1, XP_036496361.1
OG0000049	XP_060429839.1	XP_036502900.1
OG0000049	XP_060429902.1	XP_036489598.1
OG0000049	XP_060427999.1	XP_036501318.1
OG0000049	XP_060427652.1	XP_036498528.1
OG0000050	XP_060426010.1	XP_036499043.1
OG0000050	XP_060430015.1	XP_036488744.1, XP_036492773.1
OG0000050	XP_060434196.1	XP_036492351.1
OG0000051	XP_060427463.1	XP_036497292.1
OG0000051	XP_060429014.1	XP_036494230.1
OG0000051	XP_060427740.1	XP_036495225.1
OG0000051	XP_060424773.1	XP_036502560.1
OG0000053	XP_060431468.1, XP_060422806.1	XP_036496275.1
OG0000054	XP_060425671.1	XP_036499571.1
OG0000054	XP_060421316.1, XP_060421708.1, XP_060423325.1, XP_060421372.1	XP_036487886.1
OG0000055	XP_060430387.1	XP_036493697.1, XP_036489604.1
OG0000057	XP_060425430.1	XP_036494950.1
OG0000057	XP_060425812.1	XP_036495899.1
OG0000058	XP_060436116.1	XP_036490042.1
OG0000059	XP_060423506.1, XP_060436928.1	XP_036490551.1
OG0000059	XP_060431609.1	XP_036497576.1
OG0000059	XP_060431044.1	XP_036488461.1
OG0000064	XP_060425145.1	XP_036492118.1
OG0000064	XP_060422483.1	XP_036490724.1
OG0000064	XP_060429117.1, XP_060427609.1, XP_060422807.1	XP_036489754.1
OG0000065	XP_060436978.1	XP_036500474.1
OG0000065	XP_060421892.1	XP_036487957.1
OG0000066	XP_060421285.1	XP_036489914.1
OG0000067	XP_060427460.1	XP_036500613.1
OG0000069	XP_060433153.1	XP_036493374.1
OG0000069	XP_060433151.1	XP_036500379.1, XP_036492662.1, XP_036492663.1, XP_036492667.1, XP_036492666.1
OG0000070	XP_060426203.1	XP_036493667.1
OG0000070	XP_060423011.1	XP_036489001.1
OG0000070	XP_060436394.1	XP_036488253.1, XP_036489880.1
OG0000071	XP_060424427.1	XP_036499807.1
OG0000071	XP_060427335.1	XP_036493443.1
OG0000071	XP_060422211.1	XP_036490878.1
OG0000072	XP_060433292.1	XP_036501078.1
OG0000072	XP_060431204.1	XP_036496060.1
OG0000072	XP_060432710.1	XP_036500847.1
OG0000072	XP_060430058.1	XP_036493060.1
OG0000073	XP_060431088.1	XP_036496453.1
OG0000073	XP_060427350.1	XP_036498101.1
OG0000073	XP_060422197.1	XP_036494346.1
OG0000073	XP_060427303.1	XP_036499325.1
OG0000074	XP_060422129.1	XP_036487847.1
OG0000075	XP_060435771.1	XP_036497708.1
OG0000076	XP_060429108.1	XP_036501634.1
OG0000077	XP_060429200.1	XP_036498103.1
OG0000077	XP_060435749.1	XP_036487856.1
OG0000077	XP_060429949.1	XP_036499245.1, XP_036497622.1
OG0000078	XP_060429979.1	XP_036493217.1
OG0000078	XP_060434048.1	XP_036496443.1
OG0000078	XP_060428127.1	XP_036493989.1
OG0000080	XP_060426223.1	XP_036490318.1
OG0000080	XP_060425323.1	XP_036497276.1
OG0000080	XP_060435856.1	XP_036497873.1
OG0000081	XP_060423130.1	XP_036500778.1
OG0000081	XP_060430904.1	XP_036499078.1
OG0000081	XP_060437149.1	XP_036490929.1
OG0000082	XP_060422997.1	XP_036495063.1
OG0000082	XP_060422769.1	XP_036498695.1
OG0000082	XP_060424833.1	XP_036501220.1
OG0000083	XP_060432065.1	XP_036487848.1
OG0000084	XP_060423188.1, XP_060432095.1	XP_036499375.1
OG0000084	XP_060427931.1	XP_036495277.1
OG0000084	XP_060421552.1	XP_036495247.1, XP_036499223.1
OG0000085	XP_060425007.1	XP_036493283.1, XP_036490490.1, XP_036499355.1, XP_036497729.1
OG0000088	XP_060422654.1	XP_036495297.1
OG0000089	XP_060436023.1	XP_036489487.1
OG0000089	XP_060430235.1	XP_036496365.1
OG0000089	XP_060434789.1	XP_036493414.1
OG0000090	XP_060435685.1	XP_036498841.1
OG0000090	XP_060432593.1	XP_036489356.1
OG0000090	XP_060434587.1	XP_036500971.1
OG0000091	XP_060429603.1	XP_036498979.1
OG0000091	XP_060429716.1	XP_036488098.1
OG0000093	XP_060423078.1	XP_036488519.1
OG0000094	XP_060424903.1	XP_036488018.1
OG0000094	XP_060433588.1	XP_036489522.1
OG0000094	XP_060430915.1	XP_036496392.1
OG0000095	XP_060426755.1	XP_036488884.1, XP_036490717.1, XP_036499485.1, XP_036501597.1
OG0000097	XP_060426330.1	XP_036488077.1
OG0000097	XP_060427229.1	XP_036492358.1
OG0000098	XP_060437196.1	XP_036495068.1, XP_036490854.1
OG0000099	XP_060428537.1	XP_036498353.1
OG0000100	XP_060429116.1	XP_036489759.1
OG0000100	XP_060434736.1	XP_036493390.1
OG0000100	XP_060426685.1	XP_036500493.1
OG0000101	XP_060429801.1	XP_036488765.1
OG0000101	XP_060436734.1	XP_036490572.1
OG0000101	XP_060422556.1	XP_036488805.1
OG0000102	XP_060422559.1	XP_036487964.1
OG0000102	XP_060428962.1	XP_036494287.1
OG0000102	XP_060422755.1	XP_036502396.1
OG0000109	XP_060423190.1	XP_036497568.1
OG0000109	XP_060427211.1	XP_036496949.1
OG0000110	XP_060431348.1	XP_036502076.1
OG0000110	XP_060427587.1	XP_036497115.1
OG0000110	XP_060425377.1	XP_036494343.1
OG0000111	XP_060423145.1	XP_036500872.1
OG0000111	XP_060435389.1	XP_036498364.1
OG0000111	XP_060430457.1	XP_036497056.1
OG0000112	XP_060423474.1	XP_036500484.1
OG0000112	XP_060431014.1	XP_036496762.1
OG0000112	XP_060427593.1	XP_036497121.1
OG0000113	XP_060428325.1	XP_036500447.1
OG0000113	XP_060430101.1	XP_036493855.1
OG0000113	XP_060437280.1	XP_036490835.1
OG0000114	XP_060436600.1	XP_036490658.1
OG0000114	XP_060423850.1	XP_036493437.1, XP_036499258.1
OG0000115	XP_060425296.1	XP_036498785.1, XP_036492380.1
OG0000115	XP_060433308.1	XP_036493016.1
OG0000115	XP_060436170.1	XP_036489407.1
OG0000120	XP_060424855.1	XP_036501724.1
OG0000120	XP_060422018.1	XP_036493541.1
OG0000120	XP_060435829.1	XP_036498270.1
OG0000121	XP_060433063.1	XP_036493502.1
OG0000121	XP_060421928.1, XP_060425823.1	XP_036493520.1
OG0000122	XP_060421992.1	XP_036502421.1, XP_036496870.1, XP_036490485.1, XP_036490659.1
OG0000124	XP_060427566.1	XP_036496655.1
OG0000125	XP_060436341.1	XP_036489956.1
OG0000125	XP_060422442.1	XP_036492067.1
OG0000125	XP_060426742.1	XP_036491257.1
OG0000127	XP_060425263.1	XP_036501582.1
OG0000127	XP_060424874.1	XP_036502706.1
OG0000127	XP_060433246.1	XP_036492993.1
OG0000128	XP_060430770.1	XP_036495857.1
OG0000128	XP_060425868.1	XP_036488188.1
OG0000129	XP_060432571.1	XP_036488783.1
OG0000129	XP_060422672.1	XP_036490008.1, XP_036497344.1
OG0000130	XP_060422935.1	XP_036487772.1, XP_036487798.1, XP_036487762.1, XP_036487750.1, XP_036487778.1
OG0000131	XP_060422270.1, XP_060422425.1, XP_060422273.1	XP_036493099.1
OG0000131	XP_060427310.1, XP_060427311.1	XP_036493097.1
OG0000132	XP_060427930.1	XP_036495265.1, XP_036492220.1, XP_036490303.1, XP_036495022.1, XP_036489915.1, XP_036502714.1
OG0000133	XP_060423512.1	XP_036495806.1
OG0000138	XP_060436889.1	XP_036490762.1
OG0000138	XP_060424295.1	XP_036493206.1, XP_036495014.1
OG0000139	XP_060425773.1, XP_060425760.1	XP_036500562.1
OG0000139	XP_060425758.1, XP_060425772.1, XP_060425757.1	XP_036500563.1
OG0000140	XP_060424924.1	XP_036502711.1, XP_036501870.1
OG0000141	XP_060437112.1	XP_036495238.1, XP_036495150.1
OG0000142	XP_060430447.1	XP_036491494.1
OG0000142	XP_060431923.1	XP_036492717.1
OG0000143	XP_060430044.1	XP_036492295.1
OG0000143	XP_060429828.1	XP_036495792.1
OG0000143	XP_060430105.1	XP_036493496.1
OG0000144	XP_060430084.1	XP_036488256.1
OG0000144	XP_060424506.1	XP_036497676.1
OG0000145	XP_060434697.1	XP_036502223.1
OG0000147	XP_060436692.1	XP_036490977.1
OG0000147	XP_060432726.1	XP_036488866.1, XP_036499958.1
OG0000148	XP_060430277.1	XP_036495488.1
OG0000148	XP_060422699.1	XP_036498689.1
OG0000148	XP_060436776.1	XP_036494079.1
OG0000150	XP_060430974.1	XP_036487788.1, XP_036487760.1, XP_036487754.1, XP_036496497.1
OG0000151	XP_060425394.1	XP_036494524.1
OG0000151	XP_060427403.1	XP_036494774.1, XP_036498310.1
OG0000154	XP_060429061.1	XP_036494146.1
OG0000154	XP_060435826.1	XP_036498518.1
OG0000155	XP_060426769.1	XP_036490785.1
OG0000155	XP_060427849.1	XP_036490678.1
OG0000155	XP_060422475.1	XP_036493250.1
OG0000156	XP_060431367.1	XP_036501147.1
OG0000156	XP_060421880.1	XP_036502175.1, XP_036495587.1
OG0000157	XP_060434820.1	XP_036493669.1
OG0000157	XP_060422653.1	XP_036496190.1, XP_036499525.1, XP_036501321.1
OG0000157	XP_060425717.1	XP_036500358.1
OG0000158	XP_060422543.1	XP_036496419.1, XP_036490956.1
OG0000159	XP_060427666.1	XP_036494422.1, XP_036495994.1, XP_036488538.1
OG0000160	XP_060423084.1	XP_036493326.1
OG0000160	XP_060433591.1, XP_060424925.1	XP_036492488.1, XP_036497074.1
OG0000161	XP_060432016.1	XP_036493811.1
OG0000161	XP_060431759.1	XP_036497140.1
OG0000162	XP_060421827.1	XP_036497552.1
OG0000162	XP_060421305.1, XP_060422261.1, XP_060424598.1	XP_036501451.1
OG0000163	XP_060432149.1	XP_036496169.1, XP_036496168.1, XP_036495352.1
OG0000164	XP_060429028.1	XP_036499938.1
OG0000164	XP_060432699.1	XP_036499054.1
OG0000169	XP_060432353.1, XP_060427684.1, XP_060427682.1, XP_060432351.1, XP_060423970.1, XP_060423971.1, XP_060432354.1, XP_060432355.1	XP_036497798.1
OG0000170	XP_060425710.1, XP_060435895.1, XP_060433416.1	XP_036491774.1, XP_036501767.1, XP_036491773.1
OG0000171	XP_060424740.1	XP_036493192.1
OG0000172	XP_060432397.1	XP_036489091.1
OG0000172	XP_060430143.1, XP_060431369.1	XP_036501146.1
OG0000174	XP_060423650.1	XP_036499011.1
OG0000174	XP_060423957.1	XP_036488124.1
OG0000175	XP_060429595.1	XP_036498973.1
OG0000175	XP_060432683.1	XP_036494605.1, XP_036499255.1
OG0000176	XP_060437308.1	XP_036487949.1
OG0000177	XP_060422301.1	XP_036497203.1
OG0000177	XP_060434239.1	XP_036491963.1
OG0000178	XP_060423422.1	XP_036499187.1
OG0000178	XP_060433814.1	XP_036491788.1
OG0000179	XP_060424291.1	XP_036493929.1
OG0000179	XP_060430066.1	XP_036493552.1
OG0000180	XP_060435190.1	XP_036495643.1
OG0000180	XP_060430107.1	XP_036492059.1, XP_036499645.1
OG0000181	XP_060423731.1	XP_036494003.1
OG0000181	XP_060433045.1, XP_060431148.1	XP_036495687.1
OG0000182	XP_060430933.1	XP_036496154.1
OG0000182	XP_060430234.1	XP_036496015.1
OG0000185	XP_060431571.1	XP_036498635.1
OG0000185	XP_060426655.1	XP_036490457.1
OG0000186	XP_060432727.1	XP_036499959.1
OG0000186	XP_060423736.1	XP_036494006.1
OG0000187	XP_060432109.1	XP_036499979.1
OG0000187	XP_060434081.1	XP_036493178.1
OG0000188	XP_060432285.1	XP_036500792.1
OG0000188	XP_060433585.1	XP_036501914.1
OG0000189	XP_060424695.1	XP_036495325.1, XP_036488658.1, XP_036490130.1
OG0000190	XP_060436396.1	XP_036489882.1, XP_036488180.1, XP_036500895.1, XP_036491038.1
OG0000196	XP_060428240.1	XP_036491906.1
OG0000196	XP_060432758.1	XP_036499634.1
OG0000197	XP_060425674.1	XP_036500614.1
OG0000197	XP_060421463.1	XP_036498598.1
OG0000198	XP_060436842.1	XP_036490260.1
OG0000198	XP_060433346.1	XP_036501474.1
OG0000199	XP_060434764.1	XP_036493172.1
OG0000199	XP_060428002.1	XP_036489674.1
OG0000200	XP_060436630.1	XP_036491003.1
OG0000200	XP_060424920.1	XP_036491565.1
OG0000201	XP_060424755.1	XP_036502792.1
OG0000201	XP_060428997.1	XP_036494156.1
OG0000202	XP_060431943.1	XP_036494717.1
OG0000202	XP_060423974.1, XP_060427756.1	XP_036500664.1
OG0000203	XP_060429285.1	XP_036500320.1, XP_036497905.1, XP_036489470.1, XP_036489084.1
OG0000205	XP_060430966.1	XP_036495615.1
OG0000205	XP_060428996.1	XP_036500617.1
OG0000207	XP_060423735.1	XP_036494001.1
OG0000207	XP_060436778.1	XP_036490861.1
OG0000208	XP_060428129.1	XP_036487751.1, XP_036487786.1, XP_036495556.1
OG0000209	XP_060432777.1	XP_036499242.1, XP_036500348.1, XP_036499239.1
OG0000210	XP_060426365.1	XP_036492255.1
OG0000212	XP_060427599.1	XP_036498467.1
OG0000212	XP_060429474.1	XP_036488059.1
OG0000214	XP_060426385.1	XP_036500340.1, XP_036498834.1, XP_036494080.1, XP_036500028.1
OG0000216	XP_060435606.1	XP_036501076.1, XP_036500938.1
OG0000216	XP_060430434.1	XP_036491331.1
OG0000217	XP_060423662.1	XP_036502890.1
OG0000217	XP_060423665.1	XP_036499314.1
OG0000218	XP_060425703.1, XP_060425704.1	XP_036499974.1, XP_036492965.1
OG0000219	XP_060423178.1	XP_036499265.1, XP_036500913.1
OG0000220	XP_060429093.1	XP_036494125.1
OG0000220	XP_060430530.1	XP_036492393.1
OG0000221	XP_060423480.1	XP_036499381.1, XP_036499379.1, XP_036499380.1
OG0000222	XP_060433500.1	XP_036500876.1
OG0000222	XP_060432783.1	XP_036500575.1
OG0000223	XP_060435451.1, XP_060430503.1	XP_036499061.1, XP_036498210.1
OG0000223	XP_060435450.1	XP_036489185.1
OG0000224	XP_060435447.1	XP_036497609.1
OG0000224	XP_060432709.1	XP_036494152.1, XP_036500014.1
OG0000225	XP_060429248.1	XP_036489524.1
OG0000225	XP_060437231.1	XP_036495584.1
OG0000227	XP_060429824.1	XP_036493657.1
OG0000227	XP_060427511.1	XP_036498386.1
OG0000228	XP_060432744.1	XP_036500151.1
OG0000228	XP_060430035.1	XP_036493672.1
OG0000229	XP_060431157.1	XP_036495685.1
OG0000229	XP_060429818.1	XP_036500029.1
OG0000230	XP_060423489.1	XP_036495219.1
OG0000230	XP_060431185.1	XP_036495817.1
OG0000231	XP_060430848.1	XP_036495954.1
OG0000231	XP_060436403.1	XP_036489275.1
OG0000232	XP_060430900.1	XP_036496182.1
OG0000232	XP_060428861.1	XP_036488946.1
OG0000233	XP_060430954.1	XP_036494997.1
OG0000234	XP_060425235.1	XP_036490459.1
OG0000234	XP_060430402.1	XP_036491500.1
OG0000235	XP_060435253.1	XP_036496671.1
OG0000235	XP_060426200.1	XP_036497810.1
OG0000236	XP_060427004.1	XP_036488529.1
OG0000237	XP_060429197.1	XP_036490060.1
OG0000237	XP_060428577.1	XP_036493486.1
OG0000238	XP_060436822.1	XP_036490870.1
OG0000238	XP_060436823.1	XP_036490701.1, XP_036490505.1
OG0000239	XP_060423000.1	XP_036488038.1
OG0000239	XP_060432594.1	XP_036489762.1
OG0000240	XP_060421528.1, XP_060422255.1, XP_060424607.1	XP_036488998.1
OG0000242	XP_060430448.1	XP_036491798.1, XP_036498557.1, XP_036492008.1
OG0000244	XP_060426067.1	XP_036494818.1, XP_036499301.1, XP_036496734.1
OG0000248	XP_060424578.1, XP_060422538.1, XP_060436223.1	XP_036489334.1
OG0000249	XP_060422865.1, XP_060422532.1	XP_036500085.1
OG0000250	XP_060421724.1	XP_036490424.1
OG0000250	XP_060429519.1	XP_036494588.1
OG0000251	XP_060422916.1	XP_036499797.1
OG0000251	XP_060433584.1	XP_036501913.1
OG0000253	XP_060432779.1	XP_036500578.1
OG0000253	XP_060429783.1	XP_036488727.1
OG0000254	XP_060424511.1	XP_036488670.1, XP_036493047.1
OG0000254	XP_060421484.1	XP_036498669.1
OG0000255	XP_060423628.1	XP_036495878.1
OG0000255	XP_060431508.1	XP_036501153.1
OG0000256	XP_060426849.1	XP_036495029.1
OG0000256	XP_060434413.1	XP_036500916.1
OG0000257	XP_060432113.1	XP_036499216.1
OG0000257	XP_060429590.1, XP_060429589.1	XP_036499962.1
OG0000258	XP_060429820.1	XP_036488823.1
OG0000258	XP_060423133.1	XP_036500775.1
OG0000259	XP_060422736.1	XP_036501678.1
OG0000259	XP_060427564.1	XP_036498018.1
OG0000260	XP_060427584.1	XP_036494380.1, XP_036491256.1, XP_036497116.1
OG0000261	XP_060428648.1	XP_036502518.1, XP_036498168.1
OG0000262	XP_060423466.1	XP_036500489.1
OG0000262	XP_060427134.1	XP_036492701.1
OG0000263	XP_060426653.1	XP_036490443.1
OG0000263	XP_060437030.1	XP_036490170.1
OG0000264	XP_060428532.1	XP_036494874.1
OG0000265	XP_060425147.1	XP_036492120.1
OG0000265	XP_060425050.1	XP_036501081.1
OG0000266	XP_060425158.1, XP_060425157.1	XP_036491819.1
OG0000266	XP_060433597.1	XP_036501841.1
OG0000267	XP_060428292.1	XP_036500021.1
OG0000267	XP_060425196.1	XP_036493890.1
OG0000268	XP_060430119.1	XP_036493174.1
OG0000268	XP_060428313.1	XP_036499990.1
OG0000269	XP_060428572.1, XP_060424045.1	XP_036499341.1, XP_036501736.1
OG0000270	XP_060430676.1	XP_036492035.1
OG0000270	XP_060433539.1	XP_036500161.1
OG0000271	XP_060436659.1	XP_036500693.1
OG0000272	XP_060433589.1	XP_036501846.1
OG0000273	XP_060431084.1	XP_036495579.1
OG0000273	XP_060429213.1	XP_036489175.1
OG0000274	XP_060433328.1	XP_036502277.1
OG0000274	XP_060427512.1	XP_036498385.1
OG0000275	XP_060433865.1	XP_036493337.1
OG0000276	XP_060429943.1	XP_036493816.1
OG0000276	XP_060423215.1	XP_036498285.1
OG0000277	XP_060430026.1	XP_036493636.1
OG0000277	XP_060428120.1	XP_036494724.1
OG0000278	XP_060427266.1	XP_036495006.1
OG0000279	XP_060429566.1	XP_036488346.1
OG0000279	XP_060424911.1	XP_036499952.1
OG0000280	XP_060429618.1	XP_036501608.1
OG0000280	XP_060424776.1	XP_036502556.1
OG0000281	XP_060430988.1	XP_036498219.1
OG0000281	XP_060422763.1	XP_036502464.1
OG0000283	XP_060431124.1	XP_036495442.1
OG0000283	XP_060431758.1	XP_036497141.1
OG0000284	XP_060422589.1	XP_036488825.1
OG0000284	XP_060422592.1, XP_060431145.1	XP_036489035.1
OG0000285	XP_060431184.1	XP_036495425.1
OG0000285	XP_060433280.1	XP_036502092.1
OG0000286	XP_060430911.1	XP_036496538.1
OG0000286	XP_060430912.1	XP_036501177.1
OG0000287	XP_060430921.1	XP_036496044.1
OG0000287	XP_060431608.1	XP_036497577.1
OG0000290	XP_060426754.1	XP_036490342.1
OG0000291	XP_060430607.1	XP_036492185.1
OG0000291	XP_060428427.1	XP_036500803.1
OG0000292	XP_060426052.1	XP_036500228.1
OG0000292	XP_060433055.1	XP_036493332.1
OG0000293	XP_060427238.1	XP_036493573.1
OG0000293	XP_060433065.1	XP_036493500.1
OG0000294	XP_060433207.1	XP_036502430.1
OG0000294	XP_060427602.1	XP_036498464.1
OG0000295	XP_060433362.1	XP_036502194.1, XP_036497932.1
OG0000296	XP_060427029.1	XP_036494557.1, XP_036496248.1
OG0000297	XP_060424192.1	XP_036497293.1
OG0000297	XP_060430156.1	XP_036496245.1
OG0000298	XP_060427412.1	XP_036498588.1
OG0000298	XP_060436703.1	XP_036490438.1
OG0000300	XP_060430973.1	XP_036487753.1, XP_036487773.1, XP_036487779.1, XP_036496490.1
OG0000301	XP_060430199.1	XP_036496247.1
OG0000301	XP_060423790.1	XP_036494887.1
OG0000302	XP_060426780.1	XP_036496357.1
OG0000302	XP_060422121.1, XP_060435591.1	XP_036497243.1
OG0000303	XP_060432982.1	XP_036499702.1
