Orthogroup	Colletotrichum_siamense	Colletotrichum_fructicola
OG0000021	XP_036496508.1	XP_066008820.1
OG0000021	XP_036494659.1	XP_031893167.1
OG0000023	XP_036488348.1	XP_031878091.1
OG0000023	XP_036495698.1	XP_031892238.1
OG0000023	XP_036488063.1	XP_031890882.1
OG0000023	XP_036499297.1	XP_031879411.1
OG0000023	XP_036489741.1	XP_031892487.1
OG0000023	XP_036499311.1	XP_031885872.1
OG0000023	XP_036499951.1	XP_031885599.1
OG0000024	XP_036489226.1	XP_031889216.1
OG0000024	XP_036492988.1	XP_031884867.1
OG0000024	XP_036488107.1	XP_031880891.1
OG0000024	XP_036499948.1	XP_031876143.1
OG0000024	XP_036497550.1	XP_031878865.1
OG0000024	XP_036488952.1	XP_031877260.1
OG0000026	XP_036488905.1	XP_066007451.1
OG0000026	XP_036490179.1	XP_066008324.1
OG0000026	XP_036495148.1	XP_031885312.1
OG0000026	XP_036492306.1	XP_066007866.1
OG0000026	XP_036494910.1	XP_031882657.2
OG0000026	XP_036502260.1	XP_066008338.1
OG0000026	XP_036501569.1	XP_031884203.1
OG0000026	XP_036501435.1	XP_066009777.1
OG0000028	XP_036494856.1	XP_031879121.1
OG0000028	XP_036502180.1	XP_031877448.1
OG0000028	XP_036490429.1	XP_031892844.1
OG0000028	XP_036494902.1	XP_031878662.2
OG0000028	XP_036493585.1	XP_031883762.1
OG0000031	XP_036488790.1	XP_031877294.1
OG0000031	XP_036487965.1	XP_031880080.2
OG0000031	XP_036499944.1	XP_031876132.1
OG0000031	XP_036492221.1	XP_031889964.1
OG0000031	XP_036490014.1	XP_031888596.1
OG0000032	XP_036490828.1	XP_066008146.1
OG0000032	XP_036491022.1	XP_066006938.1, XP_031876210.2, XP_066007267.1, XP_066008145.1
OG0000033	XP_036493005.1	XP_066006930.1
OG0000033	XP_036494215.1	XP_031893615.1
OG0000033	XP_036499378.1	XP_066009686.1
OG0000034	XP_036494491.1	XP_031882598.1
OG0000034	XP_036498572.1	XP_031888869.1
OG0000034	XP_036502403.1	XP_066009786.1
OG0000034	XP_036499396.1	XP_031881193.1
OG0000034	XP_036497376.1	XP_031881139.1
OG0000035	XP_036490914.1	XP_031891597.1
OG0000035	XP_036493895.1	XP_031877314.1
OG0000035	XP_036490320.1	XP_031887969.1
OG0000037	XP_036487993.1	XP_031876440.1
OG0000037	XP_036493393.1	XP_031881416.2
OG0000037	XP_036501392.1	XP_031875551.1
OG0000037	XP_036494326.1	XP_031878699.1
OG0000038	XP_036492752.1	XP_031878512.1
OG0000038	XP_036492782.1	XP_031884826.1
OG0000038	XP_036488911.1	XP_031878131.1
OG0000039	XP_036497200.1	XP_066009404.1
OG0000039	XP_036494942.1	XP_031883634.1
OG0000039	XP_036492170.1	XP_031889719.2
OG0000039	XP_036498767.1	XP_031882338.2, XP_066009428.1
OG0000039	XP_036492553.1	XP_031889720.2
OG0000040	XP_036499274.1	XP_031876848.1
OG0000040	XP_036495255.1	XP_031878971.1
OG0000041	XP_036496965.1	XP_066008809.1, XP_031878989.2
OG0000041	XP_036494328.1	XP_066009239.1
OG0000041	XP_036497924.1	XP_031878639.1
OG0000041	XP_036489301.1	XP_066007225.1
OG0000041	XP_036499966.1	XP_066008368.1
OG0000041	XP_036500952.1	XP_031884351.2
OG0000043	XP_036502684.1	XP_066009815.1
OG0000043	XP_036501635.1	XP_066009814.1
OG0000043	XP_036498173.1	XP_031887649.1
OG0000043	XP_036499171.1	XP_031886183.2
OG0000044	XP_036500277.1	XP_031883461.1
OG0000044	XP_036495490.1	XP_031883135.1
OG0000044	XP_036491424.1	XP_066007975.1
OG0000044	XP_036492780.1	XP_031883763.1
OG0000046	XP_036488170.1	XP_031879259.1
OG0000046	XP_036497078.1	XP_031877509.1
OG0000046	XP_036501566.1	XP_031884116.1
OG0000046	XP_036489187.1	XP_031889476.1
OG0000047	XP_036493902.1	XP_031877364.1
OG0000047	XP_036501166.1	XP_031878178.1
OG0000047	XP_036496361.1	XP_031892080.1
OG0000047	XP_036497547.1	XP_031880996.1
OG0000047	XP_036492910.1	XP_031877361.1
OG0000049	XP_036502900.1	XP_031875597.1
OG0000049	XP_036491984.1	XP_066008031.1
OG0000049	XP_036489598.1	XP_066007293.1
OG0000049	XP_036501318.1	XP_031878198.1
OG0000049	XP_036498528.1	XP_031878866.1
OG0000050	XP_036499043.1	XP_031885916.1
OG0000050	XP_036499941.1	XP_031876129.1
OG0000050	XP_036488744.1	XP_031880097.1
OG0000050	XP_036492773.1	XP_031883855.2
OG0000050	XP_036492351.1	XP_031889948.1
OG0000051	XP_036497292.1	XP_031882199.1
OG0000051	XP_036494230.1	XP_031893375.1
OG0000051	XP_036495225.1	XP_031876728.1
OG0000051	XP_036502560.1	XP_031880004.1
OG0000052	XP_036487896.1, XP_036487897.1	XP_066007850.1, XP_031875291.1, XP_066007024.1, XP_066007608.1, XP_066006714.1, XP_066008777.1, XP_066009989.1, XP_031879170.1, XP_066008395.1, XP_066009152.1, XP_066007118.1, XP_066008643.1, XP_031875797.2, XP_066006814.1
OG0000053	XP_036496275.1	XP_066008598.1
OG0000054	XP_036499571.1	XP_066008425.1
OG0000054	XP_036487886.1	XP_066006777.1, XP_031880558.2, XP_066007190.1
OG0000055	XP_036493697.1	XP_031881410.1
OG0000055	XP_036489604.1	XP_031889319.1
OG0000055	XP_036493877.1	XP_031881451.1
OG0000055	XP_036493336.1	XP_031881398.2
OG0000055	XP_036499205.1	XP_031883717.2
OG0000055	XP_036494555.1	XP_031893329.1
OG0000057	XP_036494950.1	XP_031882595.1
OG0000057	XP_036490269.1	XP_031888147.2
OG0000057	XP_036495899.1	XP_066008837.1
OG0000057	XP_036495091.1	XP_031893026.1
OG0000058	XP_036490042.1	XP_031887143.1
OG0000058	XP_036495005.1	XP_031878750.1
OG0000059	XP_036490551.1	XP_031892770.2
OG0000059	XP_036497576.1	XP_031891472.1
OG0000059	XP_036488461.1	XP_031890900.1
OG0000059	XP_036502405.1	XP_031879333.1
OG0000064	XP_036492118.1	XP_031884461.1
OG0000064	XP_036490724.1	XP_031892616.1
OG0000064	XP_036489754.1	XP_031889409.1
OG0000065	XP_036500474.1	XP_031878261.1
OG0000065	XP_036494482.1	XP_031876601.1
OG0000065	XP_036495737.1	XP_031883119.1
OG0000065	XP_036487957.1	XP_031876068.1
OG0000066	XP_036495275.1	XP_031882995.1
OG0000066	XP_036495196.1	XP_031890226.1
OG0000066	XP_036492916.1	XP_031877356.2
OG0000066	XP_036489914.1	XP_066009119.1
OG0000067	XP_036492023.1	XP_066008046.1
OG0000067	XP_036500613.1	XP_031883626.1
OG0000067	XP_036498807.1	XP_031887769.1
OG0000069	XP_036493374.1	XP_066007562.1, XP_031884956.1
OG0000069	XP_036500379.1	XP_031885878.2
OG0000069	XP_036492662.1	XP_031884878.1
OG0000069	XP_036492667.1	XP_031884772.1, XP_031884771.1
OG0000069	XP_036492666.1	XP_031884775.1, XP_031884776.1
OG0000070	XP_036493667.1	XP_031879679.1
OG0000070	XP_036489001.1	XP_031891117.1
OG0000070	XP_036488955.1	XP_031877238.2
OG0000070	XP_036488253.1	XP_031883416.1
OG0000070	XP_036489880.1	XP_031880242.1
OG0000071	XP_036499807.1	XP_031883683.1
OG0000071	XP_036493443.1	XP_031879668.1
OG0000071	XP_036497250.1	XP_031877506.1
OG0000071	XP_036490878.1	XP_031888153.1
OG0000072	XP_036501078.1	XP_031884252.1
OG0000072	XP_036496060.1	XP_031892088.1
OG0000072	XP_036500847.1	XP_031885726.1
OG0000072	XP_036493060.1	XP_031884060.1
OG0000073	XP_036496453.1	XP_031891861.1
OG0000073	XP_036498101.1	XP_031877508.1
OG0000073	XP_036494346.1	XP_031882594.1
OG0000073	XP_036499325.1	XP_031885770.2
OG0000074	XP_036487847.1	XP_031876155.2
OG0000075	XP_036497708.1	XP_031887696.1
OG0000076	XP_036489344.1	XP_031880315.1
OG0000076	XP_036501634.1	XP_066009734.1
OG0000076	XP_036494545.1	XP_031878761.1
OG0000077	XP_036499245.1	XP_066008350.1
OG0000077	XP_036497622.1	XP_031880755.1
OG0000078	XP_036493217.1	XP_031883892.1
OG0000078	XP_036496443.1	XP_031885207.1
OG0000078	XP_036493989.1	XP_031879078.1
OG0000080	XP_036490318.1	XP_031887977.1
OG0000080	XP_036497276.1	XP_031888971.1
OG0000080	XP_036497873.1	XP_031878550.1
OG0000081	XP_036500778.1	XP_031877893.1
OG0000081	XP_036499078.1	XP_031881745.1
OG0000081	XP_036490929.1	XP_031892617.1
OG0000082	XP_036495063.1	XP_031877097.2
OG0000082	XP_036493085.1	XP_066007659.1
OG0000082	XP_036498695.1	XP_031887503.1
OG0000082	XP_036501220.1	XP_031878238.1
OG0000083	XP_036494216.1	XP_031893612.2
OG0000083	XP_036492997.1	XP_031883946.1
OG0000084	XP_036499375.1	XP_031892010.1, XP_031878263.1
OG0000084	XP_036495277.1	XP_031883049.1
OG0000084	XP_036495247.1	XP_031877130.1
OG0000084	XP_036499223.1	XP_031883666.1
OG0000085	XP_036493283.1	XP_031881447.1, XP_031881445.1, XP_031881446.1
OG0000085	XP_036490490.1	XP_031892501.1
OG0000085	XP_036499355.1	XP_031886043.2, XP_031888626.1
OG0000085	XP_036497729.1	XP_031888628.1
OG0000088	XP_036495297.1	XP_066006859.1, XP_066009041.1, XP_066007021.1, XP_031875582.1, XP_066006820.1, XP_066009117.1, XP_066008957.1, XP_066007057.1, XP_066006845.1, XP_066007120.1, XP_066008937.1, XP_066007070.1, XP_066006951.1, XP_066008960.1, XP_066009068.1, XP_066007015.1, XP_066006910.1, XP_066007192.1
OG0000089	XP_036489487.1	XP_031887288.2
OG0000089	XP_036497343.1	XP_031888816.1
OG0000089	XP_036493414.1	XP_066007672.1
OG0000090	XP_036498841.1	XP_031887673.1
OG0000090	XP_036489356.1	XP_031887184.1
OG0000090	XP_036500971.1	XP_031888590.1
OG0000091	XP_036498979.1	XP_031877975.1
OG0000091	XP_036488098.1	XP_066007457.1
OG0000091	XP_036492538.1	XP_031890691.1
OG0000091	XP_036501593.1	XP_031891256.1
OG0000092	XP_036493594.1	XP_031876900.2, XP_066007793.1
OG0000092	XP_036499795.1	XP_066008454.1
OG0000092	XP_036495846.1	XP_066008666.1
OG0000092	XP_036490819.1	XP_031887817.1
OG0000092	XP_036488808.1	XP_066007528.1
OG0000092	XP_036502902.1	XP_066009698.1
OG0000093	XP_036488519.1	XP_031890972.1
OG0000093	XP_036490768.1	XP_066008298.1
OG0000093	XP_036488299.1	XP_066007384.1
OG0000094	XP_036488018.1	XP_031890942.1
OG0000094	XP_036501845.1	XP_066009909.1
OG0000094	XP_036489522.1	XP_031889231.2
OG0000094	XP_036496392.1	XP_066008811.1
OG0000095	XP_036488884.1	XP_031880048.1
OG0000095	XP_036490717.1	XP_031887999.1
OG0000095	XP_036499485.1	XP_031881275.1
OG0000095	XP_036501597.1	XP_031891254.1
OG0000097	XP_036488077.1	XP_066007559.1
OG0000097	XP_036499526.1	XP_066008516.1
OG0000097	XP_036492358.1	XP_066007959.1
OG0000098	XP_036490120.1	XP_031887187.1
OG0000098	XP_036495068.1	XP_031893238.1
OG0000098	XP_036490854.1	XP_066008144.1
OG0000099	XP_036489891.1	XP_066007212.1
OG0000099	XP_036498353.1	XP_066009297.1
OG0000100	XP_036489759.1	XP_031889225.1
OG0000100	XP_036493390.1	XP_031881417.1
OG0000100	XP_036500493.1	XP_031881223.1
OG0000101	XP_036488765.1	XP_031875804.1
OG0000101	XP_036490572.1	XP_031880366.1
OG0000101	XP_036488805.1	XP_031880150.1
OG0000102	XP_036487964.1	XP_031880105.1
OG0000102	XP_036494287.1	XP_031893528.1
OG0000102	XP_036502396.1	XP_066009621.1
OG0000103	XP_036489749.1	XP_031887362.1
OG0000103	XP_036497649.1	XP_031878845.2
OG0000103	XP_036492313.1	XP_031884557.2
OG0000104	XP_036491368.1	XP_066008068.1
OG0000104	XP_036496355.1	XP_031891779.1
OG0000105	XP_036492171.1	XP_031889723.1
OG0000107	XP_036487792.1	XP_066007976.1, XP_066006725.1, XP_066006926.1, XP_066009867.1, XP_066007008.1, XP_066007404.1, XP_066006758.1, XP_066006756.1, XP_066006944.1, XP_066007991.1, XP_031884162.2, XP_066008225.1, XP_066009027.1, XP_066007941.1, XP_066007009.1, XP_066009308.1, XP_031878949.2, XP_066007268.1
OG0000108	XP_036493289.1	XP_031884735.1
OG0000109	XP_036497568.1	XP_066009546.1
OG0000109	XP_036493470.1	XP_031878444.1
OG0000109	XP_036496949.1	XP_031891846.1
OG0000110	XP_036502076.1	XP_031882937.1
OG0000110	XP_036497115.1	XP_031881135.1
OG0000110	XP_036494343.1	XP_031882687.2
OG0000111	XP_036500872.1	XP_031883621.2
OG0000111	XP_036498364.1	XP_031876545.1
OG0000111	XP_036497056.1	XP_031881022.1
OG0000112	XP_036500484.1	XP_031878319.1
OG0000112	XP_036496762.1	XP_031892252.1
OG0000112	XP_036497121.1	XP_031880990.1
OG0000113	XP_036500447.1	XP_031885552.1
OG0000113	XP_036493855.1	XP_031884988.2
OG0000113	XP_036490835.1	XP_031891602.1
OG0000114	XP_036490658.1	XP_066008307.1
OG0000114	XP_036499258.1	XP_031883517.1
OG0000115	XP_036498785.1, XP_036492380.1	XP_031884489.1
OG0000115	XP_036493016.1	XP_066007565.1
OG0000115	XP_036489407.1	XP_031887164.1
OG0000117	XP_036500336.1	XP_066009694.1
OG0000120	XP_036501724.1	XP_031879334.2
OG0000120	XP_036493541.1	XP_031884930.1
OG0000120	XP_036498270.1	XP_031887771.1
OG0000121	XP_036493502.1	XP_031884723.1
OG0000121	XP_036497195.1	XP_066009517.1
OG0000121	XP_036493806.1	XP_031883830.1
OG0000121	XP_036493520.1	XP_031884784.1
OG0000122	XP_036502421.1	XP_031884236.1
OG0000122	XP_036496870.1	XP_031886524.1
OG0000122	XP_036490485.1	XP_031887961.1
OG0000122	XP_036490659.1	XP_031881543.1
OG0000124	XP_036496649.1	XP_066008883.1
OG0000124	XP_036500237.1	XP_031885995.1
OG0000124	XP_036496655.1	XP_031883215.1
OG0000124	XP_036496656.1	XP_031883067.1
OG0000125	XP_036489956.1	XP_031880255.1
OG0000125	XP_036492067.1	XP_031884481.1
OG0000125	XP_036491257.1	XP_031888194.1
OG0000126	XP_036492537.1	XP_066007882.1, XP_066007640.1, XP_031875981.1, XP_066009141.1, XP_066007279.1, XP_031875983.2
OG0000126	XP_036502094.1	XP_066009667.1, XP_031877438.2
OG0000126	XP_036497509.1	XP_066009442.1
OG0000127	XP_036501582.1	XP_031882866.1
OG0000127	XP_036502706.1	XP_031879341.1
OG0000127	XP_036492993.1	XP_066007621.1
OG0000128	XP_036495857.1	XP_031885041.1
OG0000128	XP_036488188.1	XP_031890794.2
OG0000128	XP_036502599.1	XP_031884205.1
OG0000128	XP_036500557.1	XP_031881290.1
OG0000129	XP_036488783.1	XP_031877274.1
OG0000129	XP_036499865.1	XP_066008433.1
OG0000129	XP_036490008.1	XP_031889158.1
OG0000129	XP_036497344.1	XP_031888838.1
OG0000130	XP_036487772.1	XP_066008180.1, XP_066006948.1
OG0000130	XP_036487798.1	XP_066007594.1, XP_066008197.1, XP_031875433.1, XP_031875542.1, XP_031875459.1, XP_066007663.1
OG0000130	XP_036487762.1, XP_036487750.1, XP_036487778.1	XP_066006920.1, XP_066007731.1, XP_066008091.1, XP_066006809.1, XP_066006955.1, XP_066006969.1
OG0000131	XP_036493100.1	XP_031878455.1
OG0000131	XP_036493097.1	XP_066007694.1
OG0000132	XP_036495265.1	XP_031882996.1
OG0000132	XP_036492220.1	XP_031889936.1
OG0000132	XP_036490303.1	XP_031880413.2
OG0000132	XP_036489915.1	XP_031880231.1
OG0000132	XP_036502714.1	XP_031890551.1
OG0000133	XP_036495807.1	XP_031881973.2
OG0000133	XP_036493065.1	XP_031884031.1
OG0000133	XP_036493745.1	XP_031884029.1
OG0000133	XP_036495806.1	XP_031881970.1
OG0000134	XP_036489319.1	XP_031879738.2, XP_066006763.1, XP_066008714.1, XP_066008211.1, XP_066007383.1, XP_066007209.1, XP_066007708.1, XP_066006734.1, XP_066007699.1, XP_066009729.1, XP_031878558.2, XP_066007109.1, XP_066007480.1, XP_066007570.1, XP_066008720.1, XP_066008223.1, XP_066008869.1, XP_066009341.1, XP_066006841.1, XP_066009049.1
OG0000135	XP_036499937.1	XP_066008381.1
OG0000138	XP_036490762.1	XP_031892419.1
OG0000138	XP_036493206.1	XP_031883866.1
OG0000138	XP_036495014.1	XP_031893606.1
OG0000139	XP_036500562.1	XP_066008477.1
OG0000139	XP_036500563.1	XP_031877919.2, XP_031877920.1
OG0000140	XP_036502711.1	XP_031890477.1
OG0000140	XP_036501870.1	XP_031886437.1
OG0000141	XP_036495238.1, XP_036495150.1	XP_066007228.1
OG0000141	XP_036489222.1, XP_036492204.1	XP_066008222.1
OG0000141	XP_036491952.1	XP_066008187.1
OG0000142	XP_036491494.1	XP_031889924.1
OG0000142	XP_036492837.1	XP_031884947.1
OG0000142	XP_036492717.1	XP_031879805.1
OG0000143	XP_036492295.1	XP_031889746.1
OG0000143	XP_036495792.1	XP_031883125.1
OG0000143	XP_036493496.1	XP_031883833.1
OG0000144	XP_036488256.1	XP_031877258.1
OG0000144	XP_036497676.1	XP_031887529.1
OG0000145	XP_036502223.1	XP_031888490.1
OG0000145	XP_036490778.1	XP_031888158.1
OG0000145	XP_036502660.1	XP_031879966.1
OG0000145	XP_036492036.1	XP_031879543.1
OG0000147	XP_036490977.1	XP_066008113.1
OG0000147	XP_036488866.1	XP_031880067.1
OG0000147	XP_036499958.1	XP_031885603.1
OG0000148	XP_036495488.1	XP_031883138.1
OG0000148	XP_036498689.1	XP_031888635.1
OG0000148	XP_036494079.1	XP_066007207.1
OG0000149	XP_036497533.1	XP_031878823.2
OG0000149	XP_036498354.1, XP_036490766.1	XP_031889038.1
OG0000150	XP_036487788.1	XP_066006806.1, XP_066007001.1, XP_066006964.1, XP_031875235.2
OG0000150	XP_036487760.1, XP_036487754.1	XP_031875345.1, XP_066007053.1, XP_031875324.1, XP_066007066.1
OG0000150	XP_036496497.1	XP_031892065.1
OG0000151	XP_036494524.1	XP_031878686.1
OG0000151	XP_036497381.1	XP_031882334.1
OG0000151	XP_036494774.1	XP_031893502.1
OG0000151	XP_036498310.1	XP_031882174.1
OG0000154	XP_036494146.1	XP_031893119.1
OG0000154	XP_036498647.1	XP_031888847.1
OG0000154	XP_036498518.1	XP_031887772.1
OG0000155	XP_036490785.1	XP_031888162.1
OG0000155	XP_036490678.1	XP_031888011.2
OG0000155	XP_036493250.1	XP_031884753.1
OG0000156	XP_036501147.1	XP_031882714.1
OG0000156	XP_036502175.1	XP_031877449.1
OG0000156	XP_036495587.1	XP_031891987.1
OG0000157	XP_036496190.1	XP_066008694.1
OG0000157	XP_036500358.1	XP_066008341.1
OG0000158	XP_036496419.1	XP_031892152.1
OG0000158	XP_036490956.1	XP_031887831.1
OG0000159	XP_036497407.1	XP_031878844.1
OG0000159	XP_036495994.1	XP_066008798.1
OG0000159	XP_036488538.1	XP_066007555.1
OG0000160	XP_036493326.1	XP_031877326.1
OG0000160	XP_036492488.1	XP_031889518.2
OG0000160	XP_036497074.1	XP_031877513.1
OG0000161	XP_036493811.1	XP_031892580.1
OG0000161	XP_036501964.1	XP_031886505.1
OG0000161	XP_036497140.1	XP_031880766.1
OG0000162	XP_036497552.1	XP_031878810.1
OG0000162	XP_036501451.1	XP_031879298.2
OG0000163	XP_036496169.1	XP_031891952.1
OG0000163	XP_036496168.1	XP_031891955.1
OG0000164	XP_036499938.1	XP_031886348.1
OG0000164	XP_036498727.1	XP_031887623.2
OG0000164	XP_036490931.1	XP_031892619.2
OG0000164	XP_036499054.1	XP_031883553.1
