Orthogroup	Colletotrichum_siamense	Colletotrichum_gloeosporioides
OG0000046	XP_036489187.1	XP_045268007.1
OG0000047	XP_036493902.1	XP_045259080.1
OG0000047	XP_036495958.1	XP_045266983.1
OG0000047	XP_036501166.1	XP_045267639.1
OG0000047	XP_036496361.1	XP_045260562.1
OG0000047	XP_036497547.1	XP_045261726.1
OG0000047	XP_036492910.1	XP_045259076.1
OG0000049	XP_036502900.1	XP_045263917.1
OG0000049	XP_036491984.1	XP_045269502.1
OG0000049	XP_036489598.1	XP_045268550.1
OG0000049	XP_036501318.1	XP_045267692.1
OG0000049	XP_036498528.1	XP_045261757.1
OG0000050	XP_036499043.1	XP_045271142.1
OG0000050	XP_036499941.1	XP_045269457.1
OG0000050	XP_036488744.1	XP_045256887.1
OG0000050	XP_036492773.1	XP_045264197.1
OG0000050	XP_036492351.1	XP_045262061.1
OG0000051	XP_036497292.1	XP_045263568.1
OG0000051	XP_036494230.1	XP_045267207.1
OG0000051	XP_036495225.1	XP_045257839.1
OG0000051	XP_036502560.1	XP_045258153.1
OG0000053	XP_036496275.1	XP_045258297.1
OG0000054	XP_036499571.1	XP_045260351.1
OG0000055	XP_036493697.1	XP_045264937.1
OG0000055	XP_036489604.1	XP_045262255.1
OG0000055	XP_036493877.1	XP_045260095.1
OG0000055	XP_036499205.1	XP_045270037.1
OG0000055	XP_036494555.1	XP_045257554.1
OG0000057	XP_036494950.1	XP_045263077.1
OG0000057	XP_036490269.1	XP_045256760.1
OG0000057	XP_036495899.1	XP_045266969.1
OG0000057	XP_036495091.1	XP_045259997.1
OG0000058	XP_036490042.1	XP_045268364.1
OG0000058	XP_036495005.1	XP_045256704.1
OG0000059	XP_036490551.1	XP_045256241.1
OG0000059	XP_036497576.1	XP_045263662.1
OG0000059	XP_036488461.1	XP_045270918.1
OG0000059	XP_036502405.1	XP_045267723.1
OG0000064	XP_036492118.1	XP_045258881.1
OG0000064	XP_036490724.1	XP_045256286.1
OG0000064	XP_036489754.1	XP_045268075.1
OG0000065	XP_036500474.1	XP_045257234.1
OG0000065	XP_036494482.1	XP_045260056.1
OG0000065	XP_036495737.1	XP_045267361.1
OG0000065	XP_036487957.1	XP_045261140.1
OG0000066	XP_036495275.1	XP_045267106.1
OG0000066	XP_036495196.1	XP_045259039.1, XP_045257887.1
OG0000066	XP_036489914.1	XP_045268142.1
OG0000067	XP_036492023.1	XP_045269698.1
OG0000067	XP_036500613.1	XP_045269697.1
OG0000067	XP_036498807.1	XP_045262418.1
OG0000069	XP_036493374.1	XP_045260139.1
OG0000069	XP_036500379.1	XP_045260314.1
OG0000069	XP_036492662.1	XP_045260133.1
OG0000069	XP_036492667.1	XP_045260130.1
OG0000069	XP_036492666.1	XP_045260129.1
OG0000070	XP_036493667.1	XP_045257325.1
OG0000070	XP_036489001.1	XP_045270929.1
OG0000070	XP_036488955.1	XP_045266006.1
OG0000070	XP_036488253.1	XP_045260902.1
OG0000070	XP_036489880.1	XP_045268118.1
OG0000071	XP_036499807.1	XP_045271076.1
OG0000071	XP_036493443.1	XP_045257723.1
OG0000071	XP_036497250.1	XP_045257576.1
OG0000071	XP_036490878.1	XP_045256765.1
OG0000072	XP_036501078.1	XP_045259157.1
OG0000072	XP_036496060.1	XP_045259279.1
OG0000072	XP_036500847.1	XP_045269192.1
OG0000072	XP_036493060.1	XP_045264153.1
OG0000073	XP_036496453.1	XP_045268969.1
OG0000073	XP_036498101.1	XP_045257575.1
OG0000073	XP_036499325.1	XP_045269220.1
OG0000074	XP_036487847.1	XP_045262110.1
OG0000074	XP_036487894.1	XP_045267840.1
OG0000075	XP_036497708.1	XP_045262378.1
OG0000076	XP_036489344.1	XP_045268151.1
OG0000076	XP_036501634.1	XP_045259171.1
OG0000076	XP_036494545.1	XP_045256734.1
OG0000077	XP_036498103.1	XP_045257569.1
OG0000077	XP_036499245.1	XP_045264585.1
OG0000077	XP_036497622.1	XP_045269087.1
OG0000078	XP_036493217.1	XP_045264238.1
OG0000078	XP_036496443.1	XP_045259506.1
OG0000078	XP_036493989.1	XP_045257967.1
OG0000080	XP_036490318.1	XP_045256773.1
OG0000080	XP_036497276.1	XP_045258370.1
OG0000080	XP_036497873.1	XP_045257656.1
OG0000081	XP_036500778.1	XP_045270071.1
OG0000081	XP_036499078.1	XP_045259778.1
OG0000081	XP_036490929.1	XP_045256341.1
OG0000082	XP_036495063.1	XP_045263124.1
OG0000082	XP_036493085.1	XP_045264969.1
OG0000082	XP_036498695.1	XP_045266348.1
OG0000082	XP_036501220.1	XP_045267659.1
OG0000083	XP_036487848.1, XP_036494216.1	XP_045259975.1
OG0000083	XP_036492997.1	XP_045264175.1
OG0000084	XP_036499375.1	XP_045257184.1
OG0000084	XP_036495277.1	XP_045267107.1
OG0000084	XP_036495247.1	XP_045263141.1
OG0000084	XP_036499223.1	XP_045259360.1
OG0000085	XP_036493283.1	XP_045260102.1
OG0000085	XP_036490490.1	XP_045256206.1
OG0000085	XP_036499355.1	XP_045258506.1
OG0000085	XP_036497729.1	XP_045258508.1
OG0000088	XP_036495297.1	XP_045269909.1, XP_045269168.1, XP_045269906.1, XP_045269907.1
OG0000089	XP_036489487.1	XP_045268482.1
OG0000089	XP_036496365.1	XP_045259870.1
OG0000089	XP_036497343.1	XP_045263384.1
OG0000089	XP_036493414.1	XP_045264932.1
OG0000090	XP_036498841.1	XP_045266317.1
OG0000090	XP_036489356.1	XP_045268543.1
OG0000090	XP_036500971.1	XP_045262785.1
OG0000091	XP_036498979.1	XP_045270047.1
OG0000091	XP_036488098.1	XP_045260867.1
OG0000091	XP_036492538.1	XP_045265908.1
OG0000091	XP_036501593.1	XP_045263820.1
OG0000092	XP_036493594.1	XP_045258982.1
OG0000092	XP_036499795.1	XP_045259860.1
OG0000092	XP_036495846.1	XP_045267421.1
OG0000092	XP_036490819.1	XP_045261208.1
OG0000092	XP_036488808.1	XP_045260979.1
OG0000092	XP_036502902.1	XP_045263911.1
OG0000093	XP_036488519.1	XP_045270880.1
OG0000093	XP_036490768.1	XP_045256273.1
OG0000093	XP_036488299.1	XP_045266064.1
OG0000094	XP_036488018.1	XP_045260730.1
OG0000094	XP_036501845.1	XP_045263904.1
OG0000094	XP_036496392.1	XP_045266902.1
OG0000095	XP_036488884.1	XP_045270992.1
OG0000095	XP_036490717.1	XP_045261234.1
OG0000095	XP_036499485.1	XP_045261698.1
OG0000095	XP_036501597.1	XP_045263815.1
OG0000097	XP_036488077.1	XP_045266067.1
OG0000097	XP_036499526.1	XP_045270122.1
OG0000097	XP_036492358.1	XP_045258858.1
OG0000098	XP_036490120.1	XP_045268539.1
OG0000098	XP_036490854.1	XP_045256500.1
OG0000099	XP_036489891.1	XP_045268458.1
OG0000099	XP_036498353.1	XP_045263376.1
OG0000100	XP_036489759.1	XP_045268076.1
OG0000100	XP_036493390.1	XP_045264880.1
OG0000100	XP_036500493.1	XP_045270148.1
OG0000101	XP_036488765.1	XP_045260937.1
OG0000101	XP_036490572.1	XP_045266505.1
OG0000101	XP_036488805.1	XP_045270973.1
OG0000102	XP_036487964.1	XP_045270965.1
OG0000102	XP_036494287.1	XP_045268634.1
OG0000102	XP_036502396.1	XP_045258108.1
OG0000103	XP_036489749.1	XP_045268470.1
OG0000103	XP_036497649.1	XP_045261783.1
OG0000104	XP_036491368.1	XP_045265053.1
OG0000104	XP_036496355.1	XP_045260555.1
OG0000105	XP_036492171.1	XP_045265094.1
OG0000107	XP_036487792.1	XP_045265824.1
OG0000108	XP_036493289.1	XP_045271295.1
OG0000109	XP_036497568.1	XP_045258433.1
OG0000109	XP_036493470.1	XP_045258955.1
OG0000109	XP_036496949.1	XP_045260515.1
OG0000110	XP_036502076.1	XP_045265803.1
OG0000110	XP_036497115.1	XP_045259615.1
OG0000110	XP_036494343.1	XP_045263020.1
OG0000111	XP_036500872.1	XP_045269982.1
OG0000111	XP_036498364.1	XP_045270634.1
OG0000111	XP_036497056.1	XP_045259597.1
OG0000112	XP_036500484.1	XP_045257198.1
OG0000112	XP_036496762.1	XP_045268848.1
OG0000112	XP_036497121.1	XP_045259620.1
OG0000113	XP_036500447.1	XP_045258581.1
OG0000113	XP_036493855.1	XP_045260170.1
OG0000113	XP_036490835.1	XP_045256573.1
OG0000114	XP_036490658.1	XP_045264514.1
OG0000114	XP_036493437.1	XP_045257786.1
OG0000114	XP_036499258.1	XP_045269964.1
OG0000115	XP_036498785.1	XP_045258380.1
OG0000115	XP_036492380.1	XP_045256141.1
OG0000115	XP_036493016.1	XP_045264904.1
OG0000115	XP_036489407.1	XP_045268406.1
OG0000117	XP_036500336.1	XP_045257155.1
OG0000120	XP_036501724.1	XP_045267818.1
OG0000120	XP_036493541.1	XP_045271284.1
OG0000120	XP_036498270.1	XP_045262416.1
OG0000121	XP_036493502.1	XP_045271258.1
OG0000121	XP_036493806.1	XP_045264842.1
OG0000121	XP_036493520.1	XP_045271280.1
OG0000122	XP_036502421.1	XP_045270217.1
OG0000122	XP_036490485.1	XP_045261383.1
OG0000122	XP_036490659.1	XP_045264513.1
OG0000124	XP_036496649.1	XP_045267431.1
OG0000124	XP_036500237.1	XP_045271175.1
OG0000124	XP_036496655.1	XP_045267432.1
OG0000125	XP_036489956.1	XP_045268190.1
OG0000125	XP_036492067.1	XP_045258904.1
OG0000125	XP_036491257.1	XP_045261245.1
OG0000126	XP_036492537.1	XP_045265909.1
OG0000126	XP_036502094.1	XP_045267608.1
OG0000126	XP_036497509.1	XP_045263448.1
OG0000127	XP_036501582.1	XP_045262511.1
OG0000127	XP_036492993.1	XP_045271343.1
OG0000128	XP_036495857.1	XP_045266852.1
OG0000128	XP_036488188.1	XP_045270848.1
OG0000128	XP_036502599.1	XP_045270176.1
OG0000129	XP_036488783.1	XP_045265942.1
OG0000129	XP_036499865.1	XP_045271088.1
OG0000129	XP_036490008.1	XP_045267846.1
OG0000129	XP_036497344.1	XP_045263385.1
OG0000131	XP_036493099.1	XP_045257747.1
OG0000131	XP_036493097.1	XP_045257750.1
OG0000132	XP_036495265.1	XP_045267108.1
OG0000132	XP_036492220.1	XP_045269568.1
OG0000132	XP_036490303.1	XP_045266427.1
OG0000132	XP_036495022.1	XP_045268660.1
OG0000132	XP_036489915.1	XP_045268138.1
OG0000132	XP_036502714.1	XP_045264038.1
OG0000133	XP_036495807.1	XP_045265190.1
OG0000133	XP_036493065.1, XP_036493745.1	XP_045264158.1
OG0000133	XP_036495806.1	XP_045265189.1
OG0000134	XP_036489319.1	XP_045257322.1
OG0000135	XP_036499937.1	XP_045263377.1, XP_045271037.1
OG0000135	XP_036499585.1	XP_045260518.1, XP_045264782.1, XP_045265546.1, XP_045271052.1, XP_045260519.1, XP_045269652.1, XP_045269151.1
OG0000138	XP_036490762.1	XP_045266374.1
OG0000138	XP_036493206.1	XP_045264335.1
OG0000138	XP_036495014.1	XP_045260029.1
OG0000139	XP_036500562.1	XP_045270128.1
OG0000139	XP_036500563.1	XP_045270127.1
OG0000140	XP_036501870.1	XP_045265504.1
OG0000141	XP_036495238.1, XP_036495150.1	XP_045262993.1
OG0000142	XP_036491494.1	XP_045269779.1
OG0000142	XP_036492837.1	XP_045271348.1
OG0000142	XP_036492717.1	XP_045262179.1
OG0000143	XP_036492295.1	XP_045265074.1
OG0000143	XP_036495792.1	XP_045267117.1
OG0000143	XP_036493496.1	XP_045264840.1
OG0000144	XP_036488256.1	XP_045265947.1
OG0000144	XP_036497676.1	XP_045262464.1
OG0000145	XP_036502223.1	XP_045262875.1
OG0000145	XP_036490778.1	XP_045261174.1
OG0000145	XP_036502660.1	XP_045258128.1
OG0000145	XP_036492036.1	XP_045261894.1
OG0000147	XP_036490977.1	XP_045266544.1
OG0000147	XP_036488866.1	XP_045271008.1
OG0000147	XP_036499958.1	XP_045269205.1
OG0000148	XP_036495488.1	XP_045259911.1
OG0000148	XP_036498689.1	XP_045263425.1
OG0000149	XP_036497533.1	XP_045256651.1
OG0000149	XP_036498354.1	XP_045263374.1
OG0000149	XP_036490766.1	XP_045263373.1
OG0000149	XP_036494972.1	XP_045265423.1, XP_045267475.1, XP_045268809.1
OG0000150	XP_036487788.1, XP_036487760.1, XP_036487754.1, XP_036496497.1	XP_045260460.1
OG0000151	XP_036494524.1	XP_045263000.1
OG0000151	XP_036497381.1	XP_045263530.1
OG0000151	XP_036494774.1	XP_045267237.1
OG0000151	XP_036498310.1	XP_045263523.1
OG0000154	XP_036494146.1	XP_045267240.1
OG0000154	XP_036498647.1	XP_045258497.1
OG0000154	XP_036498518.1	XP_045262413.1
OG0000155	XP_036490678.1	XP_045261260.1
OG0000155	XP_036493250.1	XP_045260166.1
OG0000156	XP_036501147.1	XP_045265793.1
OG0000156	XP_036502175.1	XP_045267623.1
OG0000156	XP_036495587.1	XP_045260444.1
OG0000157	XP_036493669.1	XP_045257315.1
OG0000157	XP_036496190.1	XP_045259878.1
OG0000157	XP_036499525.1	XP_045270121.1
OG0000157	XP_036500358.1	XP_045259408.1
OG0000158	XP_036496419.1	XP_045260524.1
OG0000158	XP_036490956.1	XP_045261225.1
OG0000159	XP_036497407.1	XP_045261793.1
OG0000159	XP_036494422.1	XP_045257936.1
OG0000159	XP_036495994.1	XP_045265217.1
OG0000159	XP_036488538.1	XP_045258502.1, XP_045261060.1
OG0000160	XP_036493326.1	XP_045259057.1
OG0000160	XP_036492488.1	XP_045265070.1
OG0000160	XP_036497074.1	XP_045256694.1
OG0000161	XP_036493811.1	XP_045262216.1
OG0000161	XP_036501964.1	XP_045265487.1
OG0000161	XP_036497140.1	XP_045270352.1
OG0000162	XP_036497552.1	XP_045261732.1
OG0000162	XP_036501451.1	XP_045267737.1
OG0000163	XP_036496169.1, XP_036496168.1	XP_045264751.1
OG0000164	XP_036499938.1	XP_045271038.1
OG0000164	XP_036498727.1	XP_045262404.1
OG0000164	XP_036490931.1	XP_045256343.1
OG0000164	XP_036499054.1	XP_045270027.1
OG0000166	XP_036498147.1	XP_045268995.1
OG0000166	XP_036498148.1	XP_045268991.1, XP_045268994.1
OG0000166	XP_036498143.1	XP_045268993.1
OG0000166	XP_036498146.1	XP_045268990.1
OG0000169	XP_036497798.1	XP_045263453.1
OG0000170	XP_036491774.1, XP_036501767.1	XP_045262940.1
OG0000170	XP_036491773.1	XP_045265064.1
OG0000171	XP_036493192.1	XP_045257390.1
OG0000172	XP_036489091.1	XP_045266696.1
OG0000172	XP_036501146.1	XP_045265794.1
OG0000174	XP_036499011.1	XP_045271027.1
OG0000174	XP_036488124.1	XP_045266193.1
OG0000175	XP_036498973.1	XP_045270053.1
OG0000175	XP_036494605.1	XP_045265726.1
OG0000175	XP_036499255.1	XP_045271158.1
OG0000176	XP_036494598.1	XP_045265727.1
OG0000176	XP_036487949.1	XP_045266063.1
OG0000177	XP_036497203.1	XP_045257602.1
OG0000178	XP_036499187.1	XP_045257121.1
OG0000178	XP_036491788.1	XP_045266671.1
OG0000179	XP_036488941.1	XP_045256912.1
OG0000179	XP_036493929.1	XP_045268759.1
OG0000179	XP_036493552.1	XP_045264144.1
OG0000180	XP_036495643.1	XP_045260430.1
OG0000180	XP_036492059.1	XP_045258894.1
OG0000180	XP_036499645.1	XP_045270077.1
OG0000181	XP_036494003.1	XP_045263177.1
OG0000181	XP_036495687.1	XP_045259217.1
OG0000182	XP_036496154.1	XP_045267052.1
OG0000182	XP_036496015.1	XP_045259868.1
OG0000185	XP_036498635.1	XP_045263630.1
OG0000185	XP_036490457.1	XP_045268724.1
OG0000186	XP_036499959.1	XP_045269206.1
OG0000186	XP_036499076.1	XP_045259780.1
OG0000186	XP_036494006.1	XP_045263180.1
OG0000187	XP_036499979.1	XP_045256990.1
OG0000187	XP_036500768.1	XP_045256994.1
OG0000187	XP_036488204.1	XP_045266151.1
OG0000187	XP_036493178.1	XP_045260084.1
OG0000188	XP_036500792.1	XP_045259714.1
OG0000188	XP_036499188.1	XP_045257131.1
OG0000188	XP_036501914.1	XP_045267833.1
OG0000189	XP_036495325.1	XP_045267061.1
OG0000189	XP_036488658.1	XP_045256543.1, XP_045260600.1
OG0000189	XP_036490130.1	XP_045267913.1
OG0000190	XP_036489882.1	XP_045268117.1
OG0000190	XP_036488180.1	XP_045260907.1
OG0000190	XP_036500895.1	XP_045271077.1
OG0000190	XP_036491038.1	XP_045261350.1
OG0000191	XP_036493538.1	XP_045258970.1
OG0000191	XP_036501546.1	XP_045267767.1
OG0000191	XP_036491601.1	XP_045258908.1
OG0000192	XP_036500280.1	XP_045259379.1
OG0000192	XP_036496103.1	XP_045267032.1
OG0000192	XP_036500939.1	XP_045265478.1
OG0000192	XP_036502724.1	XP_045263781.1
OG0000196	XP_036491906.1	XP_045265901.1
OG0000196	XP_036500133.1	XP_045260292.1
OG0000196	XP_036499634.1	XP_045269336.1
OG0000197	XP_036500614.1	XP_045260342.1
OG0000197	XP_036498598.1	XP_045261777.1
OG0000198	XP_036490260.1	XP_045266461.1
OG0000198	XP_036501474.1	XP_045270186.1
OG0000199	XP_036493172.1	XP_045264927.1
OG0000199	XP_036501315.1	XP_045267696.1
OG0000199	XP_036489674.1	XP_045268026.1
OG0000200	XP_036491565.1	XP_045269788.1
OG0000201	XP_036502792.1	XP_045258175.1
OG0000201	XP_036501765.1	XP_045262938.1
OG0000201	XP_036494156.1	XP_045257522.1
OG0000202	XP_036500664.1	XP_045269319.1
OG0000203	XP_036500320.1	XP_045257266.1
OG0000203	XP_036497905.1	XP_045269011.1
OG0000203	XP_036489084.1	XP_045256864.1
OG0000205	XP_036495615.1	XP_045267125.1
OG0000205	XP_036500617.1	XP_045270115.1
OG0000207	XP_036494001.1	XP_045263179.1
OG0000207	XP_036490861.1	XP_045266407.1
OG0000208	XP_036487751.1, XP_036487786.1, XP_036495556.1	XP_045266874.1
OG0000209	XP_036499242.1	XP_045269236.1
OG0000209	XP_036500348.1	XP_045269233.1
OG0000209	XP_036499239.1	XP_045269244.1
OG0000210	XP_036492255.1	XP_045265138.1
OG0000212	XP_036498467.1	XP_045259625.1
OG0000212	XP_036488059.1	XP_045261155.1
OG0000213	XP_036492973.1	XP_045261105.1
OG0000213	XP_036497168.1	XP_045266352.1
