Orthogroup	Colletotrichum_siamense	Colletotrichum_acutatum
OG0000024	XP_036489226.1	XP_060362290.1
OG0000024	XP_036488107.1	XP_060361172.1
OG0000024	XP_036497550.1	XP_060358801.1
OG0000024	XP_036488952.1	XP_060364880.1, XP_060358991.1
OG0000026	XP_036488905.1	XP_060358993.1
OG0000026	XP_036495148.1	XP_060368993.1, XP_060368992.1
OG0000026	XP_036501435.1	XP_060371329.1
OG0000028	XP_036494856.1	XP_060357803.1
OG0000028	XP_036502180.1	XP_060357627.1
OG0000028	XP_036494902.1	XP_060357808.1
OG0000028	XP_036493585.1	XP_060359227.1
OG0000031	XP_036488790.1	XP_060364458.1
OG0000031	XP_036487965.1	XP_060362254.1
OG0000031	XP_036499944.1, XP_036495246.1	XP_060363004.1
OG0000031	XP_036492221.1	XP_060361185.1
OG0000032	XP_036490828.1, XP_036490373.1	XP_060359844.1
OG0000032	XP_036491022.1	XP_060359846.1, XP_060359704.1
OG0000033	XP_036493005.1	XP_060359875.1
OG0000034	XP_036494491.1	XP_060365976.1
OG0000034	XP_036498572.1, XP_036502403.1	XP_060359479.1
OG0000034	XP_036499396.1	XP_060358573.1
OG0000034	XP_036497376.1	XP_060363708.1
OG0000035	XP_036490914.1	XP_060366162.1
OG0000035	XP_036493895.1	XP_060365611.1
OG0000035	XP_036488737.1	XP_060357053.1
OG0000035	XP_036496362.1	XP_060371363.1
OG0000037	XP_036487993.1	XP_060364411.1
OG0000037	XP_036493393.1	XP_060363205.1
OG0000037	XP_036494326.1	XP_060359498.1
OG0000038	XP_036492752.1	XP_060367929.1
OG0000039	XP_036497200.1	XP_060360015.1
OG0000039	XP_036494942.1	XP_060362489.1
OG0000039	XP_036492170.1	XP_060361710.1
OG0000039	XP_036492553.1	XP_060368365.1
OG0000040	XP_036499274.1	XP_060362111.1, XP_060370548.1
OG0000040	XP_036495255.1	XP_060357327.1
OG0000041	XP_036496965.1	XP_060369032.1
OG0000043	XP_036499408.1	XP_060359592.1
OG0000043	XP_036499171.1	XP_060367831.1
OG0000044	XP_036500277.1	XP_060360761.1
OG0000044	XP_036495490.1, XP_036491424.1, XP_036492780.1	XP_060361230.1
OG0000044	XP_036489400.1	XP_060357062.1
OG0000046	XP_036488170.1	XP_060362833.1
OG0000046	XP_036501566.1	XP_060360243.1
OG0000046	XP_036489187.1	XP_060361446.1
OG0000047	XP_036501166.1, XP_036496361.1	XP_060357890.1
OG0000049	XP_036502900.1	XP_060365049.1
OG0000049	XP_036501318.1	XP_060363156.1
OG0000049	XP_036498528.1	XP_060358145.1
OG0000050	XP_036499043.1	XP_060367791.1
OG0000050	XP_036488744.1, XP_036492773.1	XP_060361232.1
OG0000050	XP_036492351.1	XP_060371737.1
OG0000051	XP_036497292.1	XP_060366641.1
OG0000051	XP_036494230.1	XP_060365214.1
OG0000051	XP_036495225.1	XP_060367490.1
OG0000051	XP_036502560.1	XP_060368329.1
OG0000053	XP_036496275.1	XP_060366727.1
OG0000054	XP_036499571.1	XP_060359889.1
OG0000054	XP_036487886.1	XP_060358854.1
OG0000055	XP_036493697.1, XP_036489604.1	XP_060358650.1
OG0000055	XP_036493877.1	XP_060357465.1
OG0000057	XP_036494950.1	XP_060365979.1
OG0000057	XP_036490269.1	XP_060363619.1
OG0000057	XP_036495899.1	XP_060357330.1
OG0000058	XP_036490042.1	XP_060371110.1
OG0000059	XP_036490551.1	XP_060357826.1
OG0000059	XP_036497576.1	XP_060360999.1
OG0000059	XP_036488461.1	XP_060363442.1
OG0000064	XP_036492118.1	XP_060366492.1
OG0000064	XP_036490724.1	XP_060357678.1
OG0000064	XP_036489754.1	XP_060358594.1, XP_060358260.1
OG0000065	XP_036500474.1	XP_060371684.1
OG0000065	XP_036487957.1	XP_060363090.1, XP_060363098.1
OG0000066	XP_036489914.1	XP_060369170.1
OG0000069	XP_036493374.1	XP_060365123.1
OG0000069	XP_036500379.1, XP_036492662.1, XP_036492663.1, XP_036492667.1, XP_036492666.1	XP_060365125.1
OG0000070	XP_036493667.1	XP_060363391.1
OG0000070	XP_036489001.1	XP_060362242.1
OG0000070	XP_036488253.1, XP_036489880.1	XP_060361698.1
OG0000071	XP_036499807.1	XP_060358896.1
OG0000071	XP_036493443.1	XP_060357533.1
OG0000071	XP_036490878.1	XP_060360036.1
OG0000072	XP_036496060.1	XP_060360706.1
OG0000072	XP_036493060.1	XP_060359796.1
OG0000073	XP_036496453.1	XP_060357133.1
OG0000073	XP_036498101.1	XP_060360011.1
OG0000073	XP_036494346.1	XP_060359247.1
OG0000073	XP_036499325.1	XP_060359605.1
OG0000075	XP_036497708.1	XP_060358869.1, XP_060359552.1
OG0000076	XP_036489344.1	XP_060357074.1
OG0000076	XP_036501634.1	XP_060358087.1
OG0000077	XP_036498103.1	XP_060361456.1
OG0000077	XP_036487990.1	XP_060363189.1, XP_060366688.1
OG0000077	XP_036499245.1, XP_036497622.1	XP_060360895.1
OG0000078	XP_036493217.1	XP_060359138.1
OG0000078	XP_036496443.1	XP_060371854.1
OG0000078	XP_036493989.1	XP_060358933.1
OG0000080	XP_036490318.1	XP_060363411.1
OG0000080	XP_036497276.1	XP_060361376.1
OG0000080	XP_036497873.1	XP_060363513.1
OG0000081	XP_036500778.1	XP_060363636.1
OG0000081	XP_036499078.1	XP_060361111.1
OG0000081	XP_036490929.1	XP_060371511.1
OG0000082	XP_036495063.1	XP_060365931.1
OG0000082	XP_036498695.1	XP_060357437.1
OG0000082	XP_036501220.1	XP_060357631.1
OG0000083	XP_036487848.1, XP_036494216.1, XP_036492997.1	XP_060363191.1
OG0000084	XP_036499375.1	XP_060358566.1, XP_060358452.1
OG0000084	XP_036495277.1	XP_060360165.1
OG0000084	XP_036495247.1, XP_036499223.1	XP_060357244.1, XP_060358449.1
OG0000085	XP_036493283.1, XP_036490490.1, XP_036499355.1, XP_036497729.1	XP_060359483.1
OG0000089	XP_036496365.1	XP_060362183.1
OG0000089	XP_036493414.1	XP_060361982.1
OG0000090	XP_036498841.1	XP_060369543.1
OG0000090	XP_036489356.1	XP_060364741.1
OG0000090	XP_036500971.1	XP_060370927.1
OG0000091	XP_036498979.1	XP_060363656.1
OG0000091	XP_036488098.1	XP_060365306.1
OG0000091	XP_036492538.1	XP_060358744.1
OG0000093	XP_036488519.1	XP_060367066.1
OG0000093	XP_036488299.1	XP_060364024.1, XP_060362521.1
OG0000094	XP_036488018.1	XP_060368526.1
OG0000094	XP_036496392.1	XP_060359455.1
OG0000095	XP_036488884.1	XP_060357051.1
OG0000097	XP_036488077.1	XP_060366839.1
OG0000097	XP_036492358.1	XP_060357941.1
OG0000098	XP_036490120.1	XP_060364910.1
OG0000098	XP_036495068.1, XP_036490854.1	XP_060361123.1
OG0000099	XP_036498353.1	XP_060368011.1
OG0000100	XP_036489759.1	XP_060358595.1
OG0000100	XP_036493390.1	XP_060363206.1
OG0000100	XP_036500493.1	XP_060370122.1
OG0000101	XP_036488765.1	XP_060358948.1
OG0000101	XP_036490572.1	XP_060367966.1
OG0000101	XP_036488805.1	XP_060361545.1
OG0000102	XP_036487964.1	XP_060361542.1
OG0000102	XP_036494287.1	XP_060358264.1
OG0000102	XP_036502396.1	XP_060368296.1
OG0000104	XP_036491368.1	XP_060366843.1
OG0000105	XP_036492171.1	XP_060361641.1
OG0000108	XP_036493289.1	XP_060364184.1
OG0000109	XP_036497568.1	XP_060358567.1
OG0000109	XP_036493470.1	XP_060357049.1
OG0000109	XP_036496949.1	XP_060357701.1
OG0000110	XP_036502076.1	XP_060369371.1
OG0000110	XP_036494343.1	XP_060363003.1
OG0000111	XP_036500872.1	XP_060363622.1
OG0000111	XP_036498364.1	XP_060369096.1
OG0000111	XP_036497056.1	XP_060361789.1
OG0000112	XP_036500484.1	XP_060362788.1
OG0000112	XP_036496762.1	XP_060364922.1
OG0000112	XP_036497121.1	XP_060358243.1
OG0000113	XP_036500447.1	XP_060363845.1
OG0000113	XP_036493855.1	XP_060362635.1
OG0000113	XP_036490835.1	XP_060366156.1
OG0000114	XP_036490658.1	XP_060364301.1
OG0000114	XP_036493437.1, XP_036499258.1	XP_060363351.1
OG0000115	XP_036498785.1, XP_036492380.1	XP_060361868.1
OG0000115	XP_036493016.1	XP_060360252.1
OG0000115	XP_036489407.1	XP_060371167.1
OG0000120	XP_036501724.1	XP_060359204.1
OG0000120	XP_036493541.1	XP_060364175.1
OG0000120	XP_036498270.1	XP_060362130.1
OG0000121	XP_036493502.1	XP_060357311.1
OG0000121	XP_036493520.1	XP_060358677.1
OG0000122	XP_036502421.1	XP_060357740.1
OG0000122	XP_036490485.1	XP_060360436.1
OG0000124	XP_036496649.1	XP_060357414.1
OG0000124	XP_036496655.1	XP_060357416.1
OG0000124	XP_036496656.1	XP_060357415.1
OG0000125	XP_036489956.1	XP_060365412.1
OG0000125	XP_036492067.1	XP_060360055.1
OG0000126	XP_036492537.1	XP_060362056.1
OG0000126	XP_036502094.1, XP_036497509.1	XP_060366712.1
OG0000127	XP_036501582.1	XP_060361903.1
OG0000127	XP_036492993.1	XP_060360754.1
OG0000128	XP_036495857.1	XP_060369786.1
OG0000128	XP_036488188.1	XP_060359925.1
OG0000128	XP_036502599.1, XP_036500557.1	XP_060359979.1
OG0000129	XP_036488783.1	XP_060358700.1
OG0000129	XP_036499865.1	XP_060366590.1
OG0000129	XP_036490008.1, XP_036497344.1	XP_060358844.1
OG0000130	XP_036487772.1, XP_036487798.1, XP_036487762.1, XP_036487750.1, XP_036487778.1	XP_060358289.1
OG0000131	XP_036493097.1	XP_060359611.1
OG0000132	XP_036495265.1, XP_036492220.1, XP_036490303.1, XP_036495022.1, XP_036489915.1, XP_036502714.1	XP_060360166.1
OG0000133	XP_036495807.1, XP_036493065.1, XP_036493745.1	XP_060361960.1
OG0000138	XP_036490762.1	XP_060360416.1
OG0000138	XP_036493206.1, XP_036495014.1	XP_060363533.1
OG0000139	XP_036500562.1	XP_060360428.1
OG0000139	XP_036500563.1	XP_060361787.1, XP_060360442.1, XP_060360433.1
OG0000140	XP_036502711.1, XP_036501870.1	XP_060360421.1
OG0000141	XP_036495238.1, XP_036495150.1	XP_060371544.1
OG0000142	XP_036491494.1	XP_060357578.1
OG0000142	XP_036492717.1	XP_060365800.1
OG0000143	XP_036492295.1	XP_060359781.1
OG0000143	XP_036495792.1	XP_060365059.1
OG0000143	XP_036493496.1	XP_060362641.1
OG0000144	XP_036488256.1	XP_060362612.1, XP_060370058.1
OG0000144	XP_036497676.1	XP_060359655.1, XP_060361625.1
OG0000145	XP_036502223.1	XP_060364035.1
OG0000145	XP_036490778.1, XP_036502660.1	XP_060364945.1
OG0000147	XP_036490977.1	XP_060362098.1
OG0000147	XP_036488866.1, XP_036499958.1	XP_060366094.1
OG0000148	XP_036495488.1	XP_060362224.1
OG0000148	XP_036498689.1	XP_060358483.1
OG0000149	XP_036497533.1, XP_036498354.1, XP_036490766.1, XP_036494972.1	XP_060364872.1
OG0000150	XP_036487788.1, XP_036487760.1, XP_036487754.1, XP_036496497.1	XP_060364878.1
OG0000151	XP_036494524.1	XP_060363019.1
OG0000151	XP_036494774.1, XP_036498310.1	XP_060366703.1
OG0000154	XP_036494146.1	XP_060365257.1
OG0000154	XP_036498518.1	XP_060362133.1
OG0000155	XP_036493250.1	XP_060360090.1
OG0000156	XP_036501147.1	XP_060369356.1
OG0000156	XP_036502175.1, XP_036495587.1	XP_060358281.1
OG0000157	XP_036493669.1	XP_060368646.1
OG0000157	XP_036500358.1	XP_060361753.1
OG0000159	XP_036497407.1	XP_060357868.1
OG0000159	XP_036494422.1, XP_036495994.1, XP_036488538.1	XP_060357869.1
OG0000160	XP_036492488.1, XP_036497074.1	XP_060368549.1
OG0000161	XP_036493811.1	XP_060363988.1
OG0000161	XP_036497140.1	XP_060370351.1
OG0000162	XP_036497552.1	XP_060358467.1
OG0000162	XP_036501451.1	XP_060359718.1
OG0000163	XP_036496169.1, XP_036496168.1, XP_036495352.1	XP_060364541.1
OG0000164	XP_036499938.1	XP_060365226.1
OG0000165	XP_036492104.1	XP_060363164.1
OG0000170	XP_036491774.1, XP_036501767.1, XP_036491773.1	XP_060361746.1, XP_060363471.1, XP_060362435.1
OG0000172	XP_036489091.1	XP_060360212.1
OG0000172	XP_036501146.1	XP_060367126.1, XP_060369355.1
OG0000174	XP_036499011.1	XP_060359897.1
OG0000174	XP_036488124.1	XP_060362841.1
OG0000175	XP_036498973.1	XP_060363664.1
OG0000175	XP_036494605.1, XP_036499255.1	XP_060360608.1
OG0000176	XP_036487949.1	XP_060366190.1
OG0000177	XP_036497203.1	XP_060360013.1, XP_060360012.1
OG0000178	XP_036499187.1	XP_060362745.1
OG0000178	XP_036491788.1	XP_060360498.1
OG0000179	XP_036493929.1	XP_060363528.1
OG0000179	XP_036493552.1	XP_060359805.1
OG0000180	XP_036495643.1	XP_060366993.1
OG0000180	XP_036492059.1, XP_036499645.1	XP_060362643.1
OG0000181	XP_036494003.1	XP_060358425.1
OG0000181	XP_036495687.1	XP_060357593.1, XP_060361614.1
OG0000182	XP_036496154.1	XP_060360546.1
OG0000182	XP_036496015.1	XP_060362182.1
OG0000185	XP_036498635.1	XP_060360958.1
OG0000185	XP_036490457.1	XP_060370141.1
OG0000186	XP_036499959.1	XP_060366093.1
OG0000186	XP_036494006.1	XP_060358429.1
OG0000187	XP_036493178.1	XP_060371822.1
OG0000188	XP_036500792.1	XP_060368166.1
OG0000189	XP_036495325.1, XP_036488658.1, XP_036490130.1	XP_060359775.1
OG0000190	XP_036489882.1, XP_036488180.1, XP_036500895.1, XP_036491038.1	XP_060361700.1
OG0000196	XP_036491906.1	XP_060363088.1
OG0000196	XP_036500133.1	XP_060359313.1
OG0000196	XP_036499634.1	XP_060366061.1
OG0000197	XP_036500614.1	XP_060359886.1
OG0000198	XP_036490260.1	XP_060367855.1
OG0000198	XP_036501474.1	XP_060368419.1
OG0000199	XP_036493172.1	XP_060363172.1
OG0000199	XP_036489674.1	XP_060363152.1
OG0000200	XP_036491003.1	XP_060362041.1
OG0000200	XP_036491565.1	XP_060368545.1
OG0000201	XP_036502792.1	XP_060368349.1
OG0000202	XP_036494717.1	XP_060359911.1, XP_060361286.1, XP_060368615.1, XP_060367503.1
OG0000202	XP_036500664.1	XP_060369685.1
OG0000203	XP_036489470.1	XP_060364359.1
OG0000204	XP_036493087.1, XP_036492902.1, XP_036493744.1, XP_036493555.1	XP_060362596.1
OG0000205	XP_036495615.1	XP_060360578.1
OG0000205	XP_036500617.1	XP_060359254.1, XP_060360431.1, XP_060365199.1
OG0000207	XP_036494001.1	XP_060358428.1
OG0000207	XP_036490861.1	XP_060367926.1
OG0000208	XP_036487751.1, XP_036487786.1, XP_036495556.1	XP_060358934.1
OG0000209	XP_036499242.1, XP_036500348.1, XP_036499239.1	XP_060366044.1
OG0000212	XP_036498467.1	XP_060358249.1
OG0000212	XP_036488059.1	XP_060364445.1
OG0000213	XP_036492973.1, XP_036497168.1, XP_036491093.1, XP_036494692.1	XP_060358624.1
OG0000214	XP_036500340.1, XP_036498834.1, XP_036494080.1, XP_036500028.1	XP_060363289.1
OG0000216	XP_036501076.1, XP_036500938.1	XP_060369616.1
OG0000217	XP_036502890.1	XP_060357600.1
OG0000217	XP_036499314.1	XP_060357602.1
OG0000218	XP_036499974.1, XP_036492965.1	XP_060361736.1
OG0000219	XP_036499265.1, XP_036500913.1	XP_060357096.1
OG0000220	XP_036494125.1	XP_060358749.1
OG0000220	XP_036492393.1	XP_060359674.1
OG0000221	XP_036499381.1, XP_036499379.1, XP_036499380.1	XP_060362794.1
OG0000222	XP_036500876.1	XP_060370685.1
OG0000222	XP_036500575.1	XP_060366038.1
OG0000223	XP_036489185.1	XP_060369157.1
OG0000224	XP_036497609.1	XP_060369154.1
OG0000225	XP_036489524.1	XP_060360128.1
OG0000225	XP_036495584.1	XP_060361922.1
OG0000227	XP_036493657.1	XP_060365062.1
OG0000227	XP_036498386.1	XP_060363717.1
OG0000228	XP_036500151.1	XP_060366081.1
OG0000228	XP_036493672.1	XP_060361251.1
OG0000229	XP_036495685.1	XP_060357611.1
OG0000229	XP_036500029.1	XP_060358969.1
OG0000230	XP_036495817.1	XP_060357922.1
OG0000231	XP_036495954.1	XP_060361058.1
OG0000231	XP_036489275.1	XP_060361707.1
OG0000232	XP_036496182.1	XP_060361107.1
OG0000232	XP_036488946.1	XP_060362716.1
OG0000233	XP_036494997.1	XP_060360565.1
OG0000234	XP_036491500.1	XP_060357028.1
OG0000235	XP_036496671.1	XP_060369692.1
OG0000235	XP_036497810.1	XP_060363388.1
OG0000236	XP_036488529.1	XP_060368482.1
OG0000237	XP_036490060.1	XP_060357712.1
OG0000238	XP_036490870.1	XP_060367882.1
OG0000238	XP_036490701.1, XP_036490505.1	XP_060367881.1
OG0000239	XP_036488038.1	XP_060361560.1
OG0000239	XP_036489762.1	XP_060364740.1
OG0000240	XP_036488998.1	XP_060359712.1
OG0000242	XP_036491798.1, XP_036498557.1, XP_036492008.1	XP_060357579.1
OG0000244	XP_036494818.1, XP_036499301.1, XP_036496734.1	XP_060367729.1
OG0000248	XP_036489334.1	XP_060357237.1, XP_060371211.1
OG0000250	XP_036490424.1	XP_060364343.1
OG0000250	XP_036494588.1	XP_060364974.1
OG0000251	XP_036499797.1	XP_060359182.1
OG0000253	XP_036500578.1	XP_060366042.1
OG0000253	XP_036488727.1	XP_060365372.1
OG0000254	XP_036488670.1, XP_036493047.1	XP_060359659.1
OG0000254	XP_036498669.1	XP_060358340.1
OG0000255	XP_036495878.1	XP_060364793.1
OG0000255	XP_036501153.1	XP_060366772.1
OG0000256	XP_036495029.1	XP_060363899.1
OG0000256	XP_036500916.1	XP_060370761.1
OG0000257	XP_036499216.1	XP_060364578.1
OG0000257	XP_036499962.1	XP_060363669.1
OG0000258	XP_036488823.1	XP_060365066.1
OG0000258	XP_036500775.1	XP_060363633.1
OG0000259	XP_036501678.1	XP_060368279.1
OG0000259	XP_036498018.1	XP_060357412.1
OG0000260	XP_036494380.1, XP_036491256.1, XP_036497116.1	XP_060357639.1
OG0000261	XP_036502518.1, XP_036498168.1	XP_060368122.1
OG0000262	XP_036500489.1	XP_060362778.1
OG0000262	XP_036492701.1	XP_060365579.1
OG0000263	XP_036490443.1	XP_060370143.1
OG0000263	XP_036490170.1	XP_060371628.1
OG0000264	XP_036494874.1	XP_060368010.1
OG0000265	XP_036492120.1	XP_060366490.1
OG0000265	XP_036501081.1	XP_060364218.1
OG0000266	XP_036491819.1	XP_060366479.1
OG0000267	XP_036500021.1	XP_060363869.1
OG0000267	XP_036493890.1	XP_060365757.1
OG0000268	XP_036493174.1	XP_060362665.1
OG0000268	XP_036499990.1	XP_060363887.1
OG0000269	XP_036499341.1, XP_036501736.1	XP_060368056.1, XP_060364363.1
OG0000270	XP_036492035.1	XP_060357063.1
OG0000270	XP_036500161.1	XP_060370727.1
OG0000271	XP_036500693.1	XP_060362068.1
OG0000272	XP_036501282.1, XP_036494960.1	XP_060365944.1
OG0000273	XP_036495579.1	XP_060357378.1
OG0000273	XP_036489175.1	XP_060361471.1
OG0000274	XP_036502277.1	XP_060360271.1
OG0000274	XP_036498385.1	XP_060363716.1
OG0000275	XP_036493337.1	XP_060372031.1
OG0000276	XP_036493816.1	XP_060360891.1
OG0000276	XP_036498285.1	XP_060364233.1
OG0000277	XP_036493636.1	XP_060361242.1
OG0000277	XP_036494724.1	XP_060358926.1
OG0000278	XP_036488257.1	XP_060370057.1
OG0000278	XP_036495006.1	XP_060359110.1
OG0000279	XP_036488346.1	XP_060365027.1
OG0000279	XP_036499952.1	XP_060368533.1
OG0000280	XP_036501608.1	XP_060371287.1
OG0000280	XP_036502556.1	XP_060368324.1
OG0000281	XP_036498219.1	XP_060364893.1
OG0000281	XP_036502464.1	XP_060368305.1
OG0000283	XP_036495442.1	XP_060361588.1
OG0000283	XP_036497141.1	XP_060370352.1
OG0000284	XP_036488825.1	XP_060361513.1
OG0000284	XP_036489035.1	XP_060361609.1
OG0000285	XP_036495425.1	XP_060357923.1
OG0000285	XP_036502092.1	XP_060360719.1
OG0000286	XP_036496538.1	XP_060359458.1
OG0000287	XP_036496044.1	XP_060359450.1
OG0000287	XP_036497577.1	XP_060360998.1
OG0000288	XP_036500930.1, XP_036490661.1	XP_060360584.1
OG0000290	XP_036488880.1	XP_060357052.1
OG0000291	XP_036492185.1	XP_060365514.1
OG0000291	XP_036500803.1	XP_060367246.1
OG0000292	XP_036500228.1	XP_060367745.1
OG0000292	XP_036493332.1	XP_060357581.1
OG0000293	XP_036493573.1	XP_060359081.1
OG0000293	XP_036493500.1	XP_060357313.1
OG0000294	XP_036502430.1	XP_060357849.1
OG0000294	XP_036498464.1	XP_060358252.1
OG0000295	XP_036502194.1, XP_036497932.1	XP_060368405.1
OG0000296	XP_036494557.1, XP_036496248.1	XP_060368506.1
OG0000297	XP_036497293.1	XP_060369904.1
OG0000297	XP_036496245.1	XP_060367138.1
OG0000298	XP_036498588.1	XP_060366694.1
OG0000298	XP_036490438.1	XP_060357384.1
OG0000300	XP_036487753.1, XP_036487773.1, XP_036487779.1, XP_036496490.1	XP_060364877.1
OG0000301	XP_036496247.1	XP_060367178.1
OG0000301	XP_036494887.1	XP_060358535.1
OG0000302	XP_036496357.1	XP_060363817.1
OG0000303	XP_036499702.1	XP_060368739.1
OG0000303	XP_036489969.1	XP_060371171.1
OG0000304	XP_036490669.1	XP_060357208.1, XP_060359912.1
OG0000304	XP_036491926.1	XP_060357162.1
OG0000305	XP_036488119.1	XP_060357976.1
OG0000305	XP_036496695.1	XP_060364821.1
OG0000306	XP_036494273.1, XP_036497448.1	XP_060365992.1
OG0000307	XP_036493930.1	XP_060358890.1
OG0000307	XP_036501910.1	XP_060358040.1
OG0000308	XP_036500645.1	XP_060364563.1
OG0000308	XP_036499438.1	XP_060364562.1
OG0000309	XP_036495244.1	XP_060358298.1
OG0000310	XP_036493529.1	XP_060358326.1
OG0000311	XP_036491940.1, XP_036490568.1, XP_036498780.1	XP_060370454.1
OG0000312	XP_036493969.1	XP_060358011.1
OG0000313	XP_036492574.1	XP_060358664.1
OG0000313	XP_036493968.1	XP_060358009.1
OG0000314	XP_036492152.1	XP_060357574.1
OG0000314	XP_036488094.1	XP_060365296.1
OG0000315	XP_036499353.1	XP_060367842.1
OG0000315	XP_036501520.1	XP_060358227.1
OG0000316	XP_036492862.1	XP_060360279.1
OG0000316	XP_036488444.1	XP_060364444.1
OG0000318	XP_036495854.1	XP_060369793.1
OG0000318	XP_036488388.1	XP_060364467.1
OG0000319	XP_036495986.1	XP_060359427.1
OG0000319	XP_036489585.1	XP_060361703.1
