Orthogroup	Colletotrichum_siamense	Colletotrichum_abscissum
OG0000015	XP_036500741.1	XP_060400724.1
OG0000016	XP_036489583.1	XP_060404839.1
OG0000016	XP_036499009.1	XP_060391300.1
OG0000016	XP_036501233.1	XP_060396140.1
OG0000016	XP_036499112.1	XP_060398585.1
OG0000016	XP_036501416.1	XP_060401860.1
OG0000017	XP_036495546.1	XP_060399441.1
OG0000017	XP_036501719.1	XP_060402306.1
OG0000017	XP_036497675.1	XP_060389867.1
OG0000017	XP_036498309.1	XP_060389623.1, XP_060397678.1
OG0000017	XP_036497906.1, XP_036500254.1, XP_036502161.1	XP_060395056.1
OG0000018	XP_036498532.1, XP_036491986.1, XP_036496484.1, XP_036493287.1	XP_060402315.1
OG0000018	XP_036488781.1, XP_036491241.1, XP_036502903.1	XP_060402913.1, XP_060391830.1, XP_060393721.1
OG0000019	XP_036488105.1	XP_060389929.1
OG0000019	XP_036494036.1, XP_036495462.1, XP_036500388.1	XP_060406513.1
OG0000019	XP_036495983.1, XP_036495979.1, XP_036495981.1	XP_060392153.1
OG0000019	XP_036493165.1	XP_060405401.1
OG0000020	XP_036494998.1	XP_060399447.1
OG0000020	XP_036497248.1	XP_060390585.1, XP_060390501.1, XP_060390481.1, XP_060390480.1, XP_060390586.1, XP_060390587.1
OG0000021	XP_036493440.1	XP_060404248.1
OG0000021	XP_036496508.1	XP_060405662.1
OG0000023	XP_036488348.1	XP_060394492.1
OG0000023	XP_036488063.1	XP_060390983.1
OG0000023	XP_036499297.1	XP_060398582.1
OG0000023	XP_036489741.1	XP_060404753.1
OG0000023	XP_036499311.1, XP_036499951.1	XP_060396269.1
OG0000024	XP_036489226.1	XP_060404873.1
OG0000024	XP_036488107.1	XP_060403396.1
OG0000024	XP_036497550.1	XP_060404550.1
OG0000024	XP_036488952.1	XP_060397413.1, XP_060403453.1
OG0000026	XP_036488905.1	XP_060403455.1
OG0000026	XP_036495148.1	XP_060402121.1
OG0000026	XP_036501435.1	XP_060406170.1
OG0000028	XP_036494856.1	XP_060399361.1
OG0000028	XP_036502180.1	XP_060400686.1
OG0000028	XP_036490429.1	XP_060389510.1
OG0000028	XP_036494902.1	XP_060399353.1
OG0000028	XP_036493585.1	XP_060400602.1
OG0000031	XP_036488790.1	XP_060403535.1
OG0000031	XP_036487965.1	XP_060398830.1
OG0000031	XP_036499944.1, XP_036495246.1	XP_060399269.1
OG0000031	XP_036492221.1	XP_060403404.1
OG0000032	XP_036490373.1	XP_060404934.1
OG0000032	XP_036491022.1	XP_060396192.1, XP_060396193.1, XP_060391688.1, XP_060404524.1
OG0000033	XP_036493005.1	XP_060391326.1
OG0000034	XP_036494491.1	XP_060393334.1
OG0000034	XP_036498572.1, XP_036502403.1	XP_060404226.1
OG0000034	XP_036499396.1	XP_060391662.1
OG0000034	XP_036497376.1	XP_060393666.1
OG0000035	XP_036490914.1	XP_060392385.1
OG0000035	XP_036493895.1	XP_060405054.1
OG0000035	XP_036490320.1	XP_060399036.1
OG0000035	XP_036496362.1	XP_060406211.1
OG0000037	XP_036487993.1	XP_060403586.1
OG0000037	XP_036493393.1	XP_060394145.1
OG0000037	XP_036494326.1	XP_060399323.1
OG0000038	XP_036492752.1	XP_060397114.1
OG0000039	XP_036494942.1	XP_060399314.1, XP_060402283.1
OG0000039	XP_036492170.1	XP_060404844.1
OG0000040	XP_036499274.1	XP_060389871.1, XP_060398598.1
OG0000040	XP_036495255.1	XP_060397367.1
OG0000041	XP_036496965.1	XP_060391743.1
OG0000041	XP_036494328.1, XP_036502479.1, XP_036497924.1, XP_036489301.1, XP_036499966.1, XP_036500952.1, XP_036496630.1	XP_060405425.1
OG0000043	XP_036499408.1	XP_060389987.1
OG0000043	XP_036501635.1	XP_060402897.1
OG0000043	XP_036498172.1, XP_036494701.1, XP_036498173.1	XP_060391983.1
OG0000043	XP_036499171.1	XP_060405167.1
OG0000043	XP_036491406.1	XP_060391787.1
OG0000044	XP_036500277.1	XP_060391535.1
OG0000044	XP_036495490.1, XP_036491424.1, XP_036492780.1	XP_060393902.1
OG0000044	XP_036489400.1	XP_060395508.1
OG0000046	XP_036488170.1	XP_060403289.1
OG0000046	XP_036497078.1	XP_060395276.1
OG0000046	XP_036501566.1	XP_060390222.1, XP_060396070.1
OG0000046	XP_036489187.1	XP_060396941.1
OG0000047	XP_036495958.1	XP_060397255.1
OG0000047	XP_036501166.1, XP_036496361.1	XP_060391972.1
OG0000049	XP_036502900.1	XP_060394521.1
OG0000049	XP_036501318.1	XP_060392182.1
OG0000049	XP_036498528.1	XP_060395332.1
OG0000050	XP_036499043.1	XP_060405210.1
OG0000050	XP_036488744.1, XP_036492773.1	XP_060393904.1
OG0000050	XP_036492351.1	XP_060400491.1
OG0000050	XP_036492829.1	XP_060401610.1
OG0000051	XP_036497292.1	XP_060397608.1
OG0000051	XP_036494230.1	XP_060401241.1
OG0000051	XP_036495225.1	XP_060401973.1
OG0000051	XP_036502560.1	XP_060394615.1
OG0000052	XP_036487896.1, XP_036487897.1	XP_060404980.1
OG0000053	XP_036496275.1	XP_060390308.1
OG0000054	XP_036499571.1	XP_060391312.1
OG0000054	XP_036487886.1	XP_060396191.1
OG0000055	XP_036493697.1, XP_036489604.1	XP_060402327.1
OG0000055	XP_036493877.1	XP_060401863.1
OG0000057	XP_036494950.1	XP_060393337.1
OG0000057	XP_036490269.1	XP_060391613.1
OG0000057	XP_036495899.1	XP_060404958.1, XP_060404957.1
OG0000058	XP_036490042.1	XP_060404570.1
OG0000059	XP_036490551.1	XP_060395997.1
OG0000059	XP_036497576.1	XP_060402559.1
OG0000059	XP_036488461.1	XP_060403183.1
OG0000064	XP_036492118.1	XP_060392805.1
OG0000064	XP_036490724.1	XP_060390046.1
OG0000064	XP_036489754.1	XP_060396923.1, XP_060404553.1
OG0000065	XP_036500474.1	XP_060392741.1
OG0000065	XP_036494482.1, XP_036495737.1	XP_060391392.1
OG0000065	XP_036487957.1	XP_060397344.1, XP_060397336.1
OG0000066	XP_036495275.1, XP_036495196.1, XP_036492916.1	XP_060393191.1
OG0000067	XP_036492023.1, XP_036500613.1	XP_060397707.1
OG0000069	XP_036493374.1	XP_060395907.1
OG0000069	XP_036500379.1, XP_036492662.1, XP_036492663.1, XP_036492667.1, XP_036492666.1	XP_060395905.1
OG0000070	XP_036493667.1	XP_060403136.1
OG0000070	XP_036489001.1	XP_060398820.1
OG0000070	XP_036488253.1, XP_036489880.1	XP_060404832.1
OG0000071	XP_036499807.1	XP_060391462.1
OG0000071	XP_036493443.1	XP_060403051.1
OG0000071	XP_036490878.1	XP_060395244.1
OG0000072	XP_036501078.1	XP_060396061.1
OG0000072	XP_036496060.1	XP_060393039.1
OG0000072	XP_036500847.1	XP_060399592.1
OG0000072	XP_036493060.1	XP_060393949.1
OG0000073	XP_036496453.1	XP_060394993.1
OG0000073	XP_036498101.1	XP_060404434.1
OG0000073	XP_036499325.1	XP_060403020.1
OG0000075	XP_036497708.1	XP_060404523.1, XP_060389791.1
OG0000076	XP_036489344.1	XP_060395356.1
OG0000076	XP_036501634.1	XP_060390141.1
OG0000077	XP_036498103.1	XP_060396845.1
OG0000077	XP_036487990.1	XP_060394125.1, XP_060397660.1
OG0000077	XP_036499245.1, XP_036497622.1	XP_060393839.1
OG0000078	XP_036493217.1	XP_060393868.1
OG0000078	XP_036496443.1	XP_060400364.1
OG0000080	XP_036490318.1	XP_060403156.1
OG0000080	XP_036497276.1	XP_060404108.1
OG0000080	XP_036497873.1	XP_060389880.1
OG0000081	XP_036500778.1	XP_060391595.1
OG0000081	XP_036499078.1	XP_060395159.1
OG0000081	XP_036490929.1	XP_060392535.1
OG0000082	XP_036495063.1	XP_060393284.1
OG0000082	XP_036501220.1	XP_060400690.1
OG0000083	XP_036487848.1, XP_036494216.1, XP_036492997.1	XP_060394127.1
OG0000084	XP_036499375.1	XP_060399668.1
OG0000084	XP_036495277.1	XP_060401100.1
OG0000084	XP_036495247.1, XP_036499223.1	XP_060399665.1
OG0000085	XP_036493283.1, XP_036490490.1, XP_036499355.1, XP_036497729.1	XP_060404229.1
OG0000089	XP_036489487.1	XP_060389478.1
OG0000089	XP_036496365.1	XP_060397764.1
OG0000089	XP_036493414.1	XP_060394084.1
OG0000090	XP_036498841.1	XP_060389701.1
OG0000090	XP_036489356.1	XP_060398282.1
OG0000090	XP_036500971.1	XP_060394311.1
OG0000091	XP_036498979.1	XP_060391574.1
OG0000091	XP_036488098.1	XP_060401689.1
OG0000092	XP_036493594.1, XP_036499795.1, XP_036495846.1	XP_060402915.1
OG0000092	XP_036490819.1, XP_036488808.1, XP_036502902.1	XP_060393723.1, XP_060391828.1
OG0000093	XP_036488519.1	XP_060397924.1
OG0000093	XP_036488299.1	XP_060394176.1
OG0000094	XP_036488018.1	XP_060396262.1
OG0000094	XP_036489522.1	XP_060400746.1
OG0000094	XP_036496392.1	XP_060395175.1
OG0000095	XP_036488884.1, XP_036490717.1, XP_036499485.1, XP_036501597.1	XP_060399043.1
OG0000097	XP_036488077.1	XP_060402762.1
OG0000097	XP_036492358.1	XP_060402944.1
OG0000098	XP_036490120.1	XP_060397447.1
OG0000098	XP_036495068.1, XP_036490854.1	XP_060392478.1
OG0000099	XP_036489891.1	XP_060400770.1
OG0000099	XP_036498353.1	XP_060406401.1
OG0000100	XP_036489759.1	XP_060396924.1
OG0000100	XP_036493390.1	XP_060394146.1
OG0000100	XP_036500493.1	XP_060399128.1
OG0000101	XP_036488765.1	XP_060394565.1
OG0000101	XP_036490572.1	XP_060397076.1
OG0000101	XP_036488805.1	XP_060398794.1
OG0000102	XP_036487964.1	XP_060398789.1
OG0000102	XP_036494287.1	XP_060401292.1
OG0000102	XP_036502396.1	XP_060394651.1
OG0000103	XP_036489749.1, XP_036497649.1, XP_036492313.1	XP_060397521.1
OG0000104	XP_036491368.1	XP_060402765.1
OG0000105	XP_036492171.1	XP_060405520.1
OG0000108	XP_036493289.1	XP_060395700.1
OG0000109	XP_036497568.1	XP_060391657.1
OG0000109	XP_036493470.1	XP_060389458.1
OG0000109	XP_036496949.1	XP_060402925.1
OG0000110	XP_036502076.1	XP_060390433.1
OG0000110	XP_036497115.1	XP_060391882.1
OG0000110	XP_036494343.1	XP_060399270.1
OG0000111	XP_036500872.1	XP_060391609.1
OG0000111	XP_036498364.1	XP_060395468.1
OG0000111	XP_036497056.1	XP_060402596.1
OG0000112	XP_036500484.1	XP_060392150.1
OG0000112	XP_036496762.1	XP_060397460.1
OG0000112	XP_036497121.1	XP_060391887.1
OG0000113	XP_036500447.1	XP_060396530.1
OG0000113	XP_036493855.1	XP_060394004.1
OG0000113	XP_036490835.1	XP_060392391.1
OG0000114	XP_036490658.1	XP_060393065.1
OG0000115	XP_036493016.1	XP_060396079.1
OG0000115	XP_036489407.1	XP_060398441.1
OG0000120	XP_036501724.1	XP_060400712.1
OG0000120	XP_036493541.1	XP_060395709.1
OG0000120	XP_036498270.1	XP_060389851.1
OG0000121	XP_036493502.1	XP_060395817.1
OG0000121	XP_036493520.1	XP_060390987.1
OG0000122	XP_036502421.1	XP_060402895.1
OG0000122	XP_036490485.1	XP_060391430.1
OG0000124	XP_036496649.1	XP_060391863.1
OG0000124	XP_036500237.1	XP_060399871.1
OG0000124	XP_036496655.1	XP_060391865.1
OG0000124	XP_036496656.1	XP_060391864.1
OG0000125	XP_036489956.1	XP_060404765.1
OG0000125	XP_036492067.1	XP_060392122.1
OG0000125	XP_036491257.1	XP_060399052.1
OG0000126	XP_036492537.1	XP_060393110.1
OG0000126	XP_036502094.1, XP_036497509.1	XP_060397683.1
OG0000127	XP_036501582.1	XP_060404169.1
OG0000127	XP_036502706.1	XP_060400734.1
OG0000127	XP_036492993.1	XP_060396016.1
OG0000128	XP_036495857.1	XP_060406563.1
OG0000128	XP_036488188.1	XP_060398918.1
OG0000128	XP_036502599.1, XP_036500557.1	XP_060404470.1
OG0000129	XP_036488783.1	XP_060398991.1
OG0000129	XP_036490008.1, XP_036497344.1	XP_060404396.1
OG0000130	XP_036487772.1, XP_036487798.1, XP_036487762.1, XP_036487750.1, XP_036487778.1	XP_060399972.1
OG0000131	XP_036493099.1	XP_060403198.1, XP_060400530.1
OG0000131	XP_036493097.1	XP_060403026.1
OG0000132	XP_036495265.1, XP_036492220.1, XP_036490303.1, XP_036495022.1, XP_036489915.1, XP_036502714.1	XP_060401101.1
OG0000133	XP_036495807.1, XP_036493065.1, XP_036493745.1	XP_060405570.1
OG0000133	XP_036495806.1	XP_060401446.1
OG0000138	XP_036490762.1	XP_060389508.1
OG0000138	XP_036493206.1, XP_036495014.1	XP_060399828.1
OG0000139	XP_036500562.1	XP_060391421.1
OG0000139	XP_036500563.1	XP_060391419.1, XP_060391438.1, XP_060391426.1
OG0000141	XP_036495238.1, XP_036495150.1	XP_060392573.1
OG0000142	XP_036491494.1	XP_060402604.1
OG0000142	XP_036492717.1	XP_060393407.1
OG0000143	XP_036492295.1	XP_060393934.1
OG0000143	XP_036495792.1	XP_060394533.1
OG0000143	XP_036493496.1	XP_060394008.1
OG0000144	XP_036488256.1	XP_060393978.1, XP_060399056.1
OG0000144	XP_036497676.1	XP_060401142.1
OG0000145	XP_036502223.1	XP_060394186.1
OG0000147	XP_036490977.1	XP_060397035.1
OG0000147	XP_036488866.1, XP_036499958.1	XP_060399567.1
OG0000148	XP_036495488.1	XP_060397720.1
OG0000148	XP_036498689.1	XP_060404369.1
OG0000148	XP_036494079.1	XP_060397116.1
OG0000149	XP_036497533.1, XP_036498354.1, XP_036490766.1, XP_036494972.1	XP_060397400.1
OG0000150	XP_036487788.1, XP_036487760.1, XP_036487754.1, XP_036496497.1	XP_060397411.1
OG0000151	XP_036494524.1	XP_060399256.1
OG0000151	XP_036494774.1, XP_036498310.1	XP_060397674.1
OG0000154	XP_036494146.1	XP_060401200.1
OG0000154	XP_036498518.1	XP_060389848.1
OG0000155	XP_036490785.1	XP_060399027.1
OG0000155	XP_036493250.1	XP_060390054.1
OG0000156	XP_036501147.1	XP_060390414.1
OG0000156	XP_036502175.1, XP_036495587.1	XP_060400557.1
OG0000157	XP_036493669.1	XP_060403783.1
OG0000157	XP_036500358.1	XP_060391369.1
OG0000158	XP_036496419.1, XP_036490956.1	XP_060403201.1, XP_060404962.1, XP_060393678.1
OG0000159	XP_036497407.1	XP_060395315.1
OG0000160	XP_036493326.1	XP_060397918.1
OG0000160	XP_036492488.1, XP_036497074.1	XP_060396290.1
OG0000161	XP_036493811.1	XP_060396457.1
OG0000161	XP_036497140.1	XP_060405487.1, XP_060400956.1
OG0000162	XP_036497552.1	XP_060400629.1
OG0000162	XP_036501451.1	XP_060397286.1
OG0000163	XP_036496169.1, XP_036496168.1, XP_036495352.1	XP_060400018.1
OG0000164	XP_036499938.1	XP_060401230.1
OG0000169	XP_036497798.1	XP_060389429.1
OG0000170	XP_036491774.1, XP_036501767.1, XP_036491773.1	XP_060391362.1, XP_060389928.1, XP_060391786.1
OG0000171	XP_036493192.1	XP_060402236.1
OG0000172	XP_036489091.1	XP_060398059.1
OG0000172	XP_036501146.1	XP_060397859.1, XP_060390412.1
OG0000174	XP_036499011.1	XP_060391302.1
OG0000174	XP_036488124.1	XP_060403281.1
OG0000175	XP_036498973.1	XP_060391567.1
OG0000175	XP_036494605.1, XP_036499255.1	XP_060399617.1
OG0000176	XP_036487949.1	XP_060392352.1
OG0000177	XP_036497203.1	XP_060395264.1
OG0000177	XP_036491963.1	XP_060402162.1
OG0000178	XP_036499187.1	XP_060403658.1
OG0000178	XP_036491788.1	XP_060393730.1
OG0000179	XP_036493929.1	XP_060399833.1
OG0000179	XP_036493552.1	XP_060393957.1
OG0000180	XP_036495643.1	XP_060402344.1
OG0000180	XP_036492059.1, XP_036499645.1	XP_060394010.1
OG0000181	XP_036494003.1	XP_060399951.1
OG0000181	XP_036495687.1	XP_060395792.1, XP_060395049.1
OG0000182	XP_036496154.1	XP_060395194.1
OG0000182	XP_036496015.1	XP_060397765.1
OG0000185	XP_036490457.1	XP_060399147.1
OG0000186	XP_036499959.1	XP_060399566.1
OG0000186	XP_036494006.1	XP_060399946.1
OG0000187	XP_036499979.1	XP_060399685.1
OG0000187	XP_036493178.1	XP_060400397.1
OG0000188	XP_036500792.1	XP_060400159.1
OG0000188	XP_036501914.1	XP_060400741.1
OG0000189	XP_036495325.1, XP_036488658.1, XP_036490130.1	XP_060402705.1
OG0000190	XP_036489882.1, XP_036488180.1, XP_036500895.1, XP_036491038.1	XP_060404834.1
OG0000196	XP_036491906.1	XP_060391236.1
OG0000196	XP_036499634.1	XP_060399523.1
OG0000197	XP_036500614.1	XP_060391315.1
OG0000198	XP_036490260.1	XP_060391676.1
OG0000198	XP_036501474.1	XP_060396123.1
OG0000199	XP_036493172.1	XP_060394109.1
OG0000199	XP_036489674.1	XP_060392177.1
OG0000200	XP_036491003.1	XP_060393094.1
OG0000200	XP_036491565.1	XP_060396285.1
OG0000201	XP_036502792.1	XP_060394595.1
OG0000201	XP_036494156.1	XP_060393304.1
OG0000202	XP_036494717.1	XP_060393386.1, XP_060401961.1
OG0000203	XP_036500320.1, XP_036497905.1, XP_036489470.1, XP_036489084.1	XP_060393461.1
OG0000204	XP_036493087.1, XP_036492902.1, XP_036493744.1, XP_036493555.1	XP_060393962.1
OG0000205	XP_036495615.1	XP_060395227.1
OG0000205	XP_036500617.1	XP_060401256.1
OG0000207	XP_036494001.1	XP_060399947.1
OG0000207	XP_036490861.1	XP_060404500.1, XP_060404499.1, XP_060397118.1
OG0000208	XP_036487751.1, XP_036487786.1, XP_036495556.1	XP_060399406.1
OG0000209	XP_036499242.1, XP_036500348.1, XP_036499239.1	XP_060399508.1
OG0000210	XP_036492255.1	XP_060402716.1, XP_060401832.1
OG0000212	XP_036498467.1	XP_060404565.1
OG0000212	XP_036488059.1	XP_060403548.1
OG0000216	XP_036501076.1, XP_036500938.1	XP_060389622.1
OG0000216	XP_036491331.1	XP_060402616.1
OG0000217	XP_036502890.1	XP_060391290.1
OG0000217	XP_036499314.1	XP_060391287.1
OG0000218	XP_036499974.1, XP_036492965.1	XP_060391347.1, XP_060391350.1
OG0000219	XP_036499265.1, XP_036500913.1	XP_060391645.1
OG0000220	XP_036494125.1	XP_060401166.1
OG0000220	XP_036492393.1	XP_060391919.1
OG0000221	XP_036499381.1, XP_036499379.1, XP_036499380.1	XP_060392143.1
OG0000222	XP_036500876.1	XP_060392909.1
OG0000222	XP_036500575.1	XP_060399501.1
OG0000223	XP_036489185.1	XP_060393203.1
OG0000224	XP_036497609.1	XP_060393206.1
OG0000224	XP_036494152.1, XP_036500014.1	XP_060399593.1
OG0000225	XP_036489524.1	XP_060393497.1
OG0000227	XP_036493657.1	XP_060394537.1
OG0000227	XP_036498386.1	XP_060393660.1
OG0000228	XP_036500151.1	XP_060399550.1
OG0000228	XP_036493672.1	XP_060393924.1
OG0000229	XP_036495685.1	XP_060395059.1
OG0000229	XP_036500029.1	XP_060394543.1
OG0000230	XP_036495219.1	XP_060401412.1
OG0000230	XP_036495817.1	XP_060395084.1
OG0000231	XP_036495954.1	XP_060395100.1
OG0000231	XP_036489275.1	XP_060404841.1
OG0000232	XP_036496182.1	XP_060395155.1
OG0000232	XP_036488946.1	XP_060401385.1
OG0000233	XP_036494997.1	XP_060395216.1
OG0000234	XP_036490459.1	XP_060395669.1
OG0000234	XP_036491500.1	XP_060405406.1
OG0000235	XP_036496671.1	XP_060402405.1
OG0000235	XP_036497810.1	XP_060403133.1
OG0000236	XP_036488529.1	XP_060396213.1
OG0000237	XP_036490060.1	XP_060396847.1
OG0000238	XP_036490870.1	XP_060397162.1
OG0000239	XP_036488038.1	XP_060398810.1
OG0000239	XP_036489762.1	XP_060398283.1
OG0000240	XP_036488998.1	XP_060398845.1, XP_060402501.1, XP_060401821.1, XP_060404035.1, XP_060403591.1
OG0000242	XP_036491798.1, XP_036498557.1, XP_036492008.1	XP_060402603.1
OG0000244	XP_036494818.1, XP_036499301.1, XP_036496734.1	XP_060405272.1
OG0000248	XP_036489334.1	XP_060400839.1, XP_060402491.1, XP_060405456.1, XP_060400838.1, XP_060389428.1, XP_060398385.1
OG0000249	XP_036500085.1	XP_060402514.1, XP_060389449.1, XP_060404926.1
OG0000250	XP_036490424.1	XP_060390890.1
OG0000250	XP_036494588.1	XP_060389465.1
OG0000251	XP_036499797.1	XP_060389524.1
OG0000251	XP_036501913.1	XP_060400740.1
OG0000253	XP_036500578.1	XP_060399506.1
OG0000253	XP_036488727.1	XP_060390165.1
OG0000254	XP_036488670.1, XP_036493047.1	XP_060405641.1
OG0000254	XP_036498669.1	XP_060390235.1
OG0000255	XP_036495878.1	XP_060405714.1
OG0000255	XP_036501153.1	XP_060390262.1
OG0000256	XP_036495029.1	XP_060401557.1
OG0000256	XP_036500916.1	XP_060390677.1
OG0000257	XP_036499216.1	XP_060399689.1
OG0000257	XP_036499962.1	XP_060391562.1
OG0000258	XP_036488823.1	XP_060394541.1
OG0000258	XP_036500775.1	XP_060391598.1
OG0000259	XP_036501678.1	XP_060394671.1
OG0000259	XP_036498018.1	XP_060391860.1
OG0000260	XP_036494380.1, XP_036491256.1, XP_036497116.1	XP_060391880.1
OG0000261	XP_036502518.1, XP_036498168.1	XP_060391984.1
OG0000262	XP_036500489.1	XP_060392159.1
OG0000262	XP_036492701.1	XP_060405021.1
OG0000263	XP_036490443.1	XP_060399150.1
OG0000263	XP_036490170.1	XP_060392681.1
OG0000264	XP_036494874.1	XP_060406396.1
OG0000265	XP_036492120.1	XP_060392807.1
OG0000265	XP_036501081.1	XP_060404186.1
OG0000266	XP_036491819.1	XP_060392815.1
OG0000266	XP_036501841.1	XP_060400753.1
OG0000267	XP_036500021.1	XP_060392835.1
OG0000267	XP_036493890.1	XP_060395630.1
OG0000268	XP_036493174.1	XP_060394034.1
OG0000268	XP_036499990.1	XP_060392853.1
OG0000269	XP_036499341.1	XP_060392863.1, XP_060406445.1
OG0000270	XP_036492035.1	XP_060395507.1
OG0000270	XP_036500161.1	XP_060392952.1
OG0000271	XP_036500700.1, XP_036490074.1	XP_060393124.1
OG0000271	XP_036500693.1	XP_060393123.1
OG0000272	XP_036501846.1	XP_060400747.1
OG0000272	XP_036501282.1, XP_036494960.1	XP_060393300.1
OG0000273	XP_036495579.1	XP_060394989.1
OG0000273	XP_036489175.1	XP_060393542.1
OG0000274	XP_036502277.1	XP_060396100.1
OG0000274	XP_036498385.1	XP_060393661.1
OG0000275	XP_036493337.1	XP_060393782.1
OG0000276	XP_036493816.1	XP_060393834.1
OG0000276	XP_036498285.1	XP_060404300.1
OG0000277	XP_036493636.1	XP_060393915.1
OG0000277	XP_036494724.1	XP_060399399.1
OG0000278	XP_036488257.1	XP_060393979.1, XP_060399055.1
OG0000278	XP_036495006.1	XP_060402980.1
OG0000279	XP_036488346.1	XP_060394494.1
OG0000279	XP_036499952.1	XP_060396270.1
OG0000280	XP_036501608.1	XP_060406122.1
OG0000280	XP_036502556.1	XP_060394619.1
OG0000281	XP_036498219.1	XP_060397427.1
