Orthogroup	Colletotrichum_siamense	Colletotrichum_truncatum
OG0000007	XP_036500517.1	XP_036576846.1
OG0000007	XP_036495313.1	XP_036578124.2
OG0000007	XP_036491644.1	XP_036574613.1
OG0000007	XP_036488714.1	XP_070060710.1
OG0000007	XP_036500589.1	XP_070061891.1
OG0000007	XP_036495376.1	XP_036578145.1
OG0000008	XP_036495409.1, XP_036502454.1, XP_036498352.1	XP_036574350.1
OG0000008	XP_036502455.1	XP_036577468.1
OG0000008	XP_036496470.1	XP_070061808.1
OG0000008	XP_036497996.1, XP_036497383.1	XP_070062441.1
OG0000008	XP_036496629.1, XP_036495985.1, XP_036492788.1	XP_036582296.1
OG0000009	XP_036488279.1	XP_036577266.1
OG0000009	XP_036491834.1	XP_036587406.1
OG0000009	XP_036499963.1	XP_036589787.1
OG0000009	XP_036488623.1	XP_036588082.2
OG0000009	XP_036490974.1	XP_036578878.1
OG0000009	XP_036490690.1	XP_036587216.1
OG0000009	XP_036499364.1	XP_036576912.1
OG0000009	XP_036492836.1	XP_036575001.1
OG0000009	XP_036501215.1	XP_036577228.2
OG0000010	XP_036487784.1, XP_036490053.1, XP_036488754.1, XP_036487850.1, XP_036487828.1, XP_036487877.1, XP_036500250.1, XP_036497732.1, XP_036492251.1, XP_036490885.1, XP_036493536.1, XP_036487824.1, XP_036487911.1, XP_036487815.1, XP_036487861.1, XP_036488248.1, XP_036497564.1, XP_036502201.1, XP_036499679.1, XP_036494087.1, XP_036492134.1, XP_036487869.1, XP_036487817.1, XP_036487878.1, XP_036489889.1, XP_036487821.1, XP_036490947.1, XP_036489888.1, XP_036487805.1, XP_036487819.1, XP_036487823.1	XP_070059949.1
OG0000012	XP_036490033.1	XP_070060447.1
OG0000012	XP_036491536.1	XP_036581583.2
OG0000012	XP_036494044.1	XP_070060757.1, XP_036577726.1
OG0000012	XP_036500192.1	XP_036576927.1
OG0000014	XP_036501333.1	XP_036583875.1
OG0000014	XP_036488372.1	XP_036586349.1
OG0000014	XP_036501856.1	XP_070061736.1
OG0000014	XP_036488993.1	XP_070059808.1, XP_036587851.1
OG0000014	XP_036499532.1	XP_036576421.1
OG0000014	XP_036492143.1, XP_036491525.1	XP_036574781.1
OG0000014	XP_036500328.1	XP_036587323.2
OG0000015	XP_036500741.1	XP_070062364.1, XP_036575290.1, XP_070060524.1, XP_036574932.1
OG0000015	XP_036488062.1	XP_036589778.1, XP_036581744.1
OG0000016	XP_036489583.1	XP_036589588.1
OG0000016	XP_036499009.1	XP_036581107.1
OG0000016	XP_036501233.1	XP_036583987.1
OG0000016	XP_036499112.1	XP_036586092.1
OG0000016	XP_036496985.1	XP_036586731.2
OG0000017	XP_036495546.1	XP_036581693.1
OG0000017	XP_036497675.1	XP_036588586.1
OG0000017	XP_036498309.1	XP_070062442.1
OG0000017	XP_036502161.1	XP_036585183.1
OG0000019	XP_036488105.1	XP_036580709.1
OG0000019	XP_036494036.1, XP_036495462.1, XP_036500388.1	XP_036589060.2
OG0000020	XP_036494998.1	XP_036581264.1
OG0000020	XP_036497248.1	XP_070062504.1
OG0000021	XP_036493440.1	XP_036579505.1
OG0000021	XP_036500955.1	XP_036574746.1
OG0000021	XP_036494659.1	XP_036577755.1
OG0000023	XP_036488348.1	XP_036586304.1
OG0000023	XP_036488063.1	XP_036587982.1
OG0000023	XP_036499297.1	XP_070062046.1
OG0000023	XP_036489741.1	XP_036589513.1
OG0000024	XP_036489226.1	XP_036589767.1
OG0000024	XP_036492988.1	XP_036579870.1
OG0000024	XP_036488107.1	XP_036577317.1
OG0000024	XP_036499948.1	XP_070062176.1
OG0000024	XP_036497550.1	XP_070062657.1
OG0000024	XP_036488952.1	XP_036586456.1
OG0000026	XP_036488905.1	XP_036586453.1
OG0000026	XP_036495148.1	XP_036583201.2
OG0000026	XP_036501435.1	XP_036577471.2, XP_036580498.1
OG0000028	XP_036494856.1	XP_036581182.1
OG0000028	XP_036502180.1, XP_036490429.1, XP_036494902.1, XP_036493585.1	XP_070060257.1
OG0000031	XP_036488790.1	XP_036586424.1
OG0000031	XP_036487965.1	XP_036588147.1
OG0000032	XP_036490828.1, XP_036490373.1	XP_036584361.1
OG0000032	XP_036491022.1	XP_036578818.1, XP_036584347.2
OG0000033	XP_036493005.1	XP_036581751.1, XP_036576910.1, XP_070062092.1, XP_036574875.1, XP_036577699.1
OG0000033	XP_036494215.1	XP_036578581.1
OG0000034	XP_036494491.1	XP_070060023.1
OG0000034	XP_036498572.1, XP_036502403.1	XP_036589643.1
OG0000034	XP_036499396.1	XP_036576453.1
OG0000034	XP_036497376.1	XP_036579478.1
OG0000035	XP_036490914.1	XP_036588818.1
OG0000035	XP_036493895.1	XP_070061252.1
OG0000035	XP_036490320.1	XP_070061519.1
OG0000035	XP_036488737.1	XP_070060833.1
OG0000037	XP_036487993.1	XP_036586380.1
OG0000037	XP_036493393.1	XP_070061137.1
OG0000037	XP_036494326.1	XP_036574206.1
OG0000038	XP_036492752.1	XP_036582162.1
OG0000038	XP_036492782.1	XP_036579768.1
OG0000039	XP_036497200.1	XP_036577785.2
OG0000040	XP_036499274.1	XP_070061799.1
OG0000041	XP_036494328.1	XP_070060773.1
OG0000041	XP_036502479.1	XP_036575299.1, XP_036587725.1, XP_070062181.1, XP_036580708.2
OG0000041	XP_036497924.1, XP_036489301.1, XP_036499966.1, XP_036500952.1	XP_070061327.1
OG0000043	XP_036499171.1	XP_036581061.2
OG0000044	XP_036500277.1	XP_036580093.1
OG0000044	XP_036495490.1	XP_036576677.1
OG0000044	XP_036492780.1	XP_036582618.1
OG0000044	XP_036489400.1	XP_036584145.1
OG0000045	XP_036497268.1	XP_070062406.1
OG0000045	XP_036496415.1, XP_036496575.1, XP_036496414.1, XP_036488330.1, XP_036488329.1, XP_036496509.1, XP_036490734.1, XP_036490549.1, XP_036500360.1, XP_036492327.1, XP_036498560.1, XP_036492658.1, XP_036491048.1, XP_036497388.1, XP_036497395.1, XP_036490489.1, XP_036502252.1, XP_036502251.1, XP_036502753.1, XP_036490427.1, XP_036490225.1, XP_036502198.1, XP_036499072.1, XP_036490196.1, XP_036487863.1, XP_036499935.1, XP_036499934.1, XP_036489763.1, XP_036499638.1, XP_036498586.1, XP_036493736.1	XP_070061785.1
OG0000046	XP_036488170.1	XP_036577233.1
OG0000046	XP_036497078.1	XP_036588719.1
OG0000046	XP_036501566.1	XP_036583944.1, XP_036584655.1
OG0000046	XP_036489187.1	XP_036589658.1
OG0000047	XP_036493902.1	XP_036582284.1
OG0000047	XP_036501166.1	XP_036577195.1
OG0000047	XP_036496361.1	XP_036574367.1
OG0000047	XP_036497547.1, XP_036492910.1	XP_036588035.1
OG0000049	XP_036502900.1	XP_036590002.1
OG0000049	XP_036498528.1	XP_036579330.1
OG0000050	XP_036499043.1	XP_036581015.1
OG0000050	XP_036488744.1, XP_036492773.1	XP_036582616.1
OG0000050	XP_036492351.1, XP_036492829.1	XP_036587657.1
OG0000051	XP_036497292.1	XP_036579133.1
OG0000051	XP_036495225.1	XP_070060580.1
OG0000051	XP_036502560.1	XP_070061565.1
OG0000052	XP_036487896.1, XP_036487897.1	XP_036574865.2
OG0000053	XP_036496275.1	XP_070062493.1, XP_070059990.1, XP_036579069.1
OG0000054	XP_036499571.1	XP_036581099.1
OG0000054	XP_036487886.1	XP_036584573.1, XP_036574247.1, XP_070060001.1, XP_070060678.1
OG0000055	XP_036493697.1, XP_036489604.1	XP_036589844.1
OG0000055	XP_036493877.1	XP_036580479.1
OG0000055	XP_036493336.1, XP_036499205.1, XP_036494555.1	XP_070060193.1
OG0000057	XP_036494950.1	XP_070060021.1
OG0000057	XP_036490269.1	XP_036575137.1
OG0000057	XP_036495091.1	XP_036580378.2
OG0000058	XP_036490042.1	XP_070062259.1
OG0000058	XP_036495005.1	XP_036576508.2
OG0000059	XP_036490551.1	XP_036589130.1
OG0000059	XP_036497576.1	XP_036579230.1
OG0000059	XP_036488461.1	XP_036578680.1
OG0000059	XP_036502405.1	XP_036574737.2, XP_036589645.1
OG0000064	XP_036492118.1	XP_070061063.1
OG0000064	XP_036489754.1	XP_070060549.1, XP_036583871.2, XP_070062298.1
OG0000065	XP_036500474.1	XP_070059972.1
OG0000065	XP_036494482.1	XP_036580455.1
OG0000066	XP_036495275.1	XP_036581734.1
OG0000066	XP_036495196.1	XP_070061263.1
OG0000070	XP_036493667.1, XP_036489001.1, XP_036488955.1, XP_036488253.1, XP_036489880.1	XP_036575460.1
OG0000071	XP_036499807.1	XP_036576990.1
OG0000071	XP_036490878.1	XP_036588687.1
OG0000072	XP_036501078.1	XP_070061591.1
OG0000072	XP_036496060.1	XP_036576286.1
OG0000072	XP_036500847.1	XP_070062142.1
OG0000072	XP_036493060.1	XP_036582573.1
OG0000073	XP_036496453.1	XP_036576219.2
OG0000073	XP_036498101.1	XP_036585422.1
OG0000073	XP_036499325.1	XP_036586327.2
OG0000074	XP_036487847.1	XP_036575819.1
OG0000074	XP_036487894.1	XP_036584485.1
OG0000075	XP_036497708.1	XP_036588485.1
OG0000076	XP_036489344.1	XP_036574266.1, XP_070061506.1
OG0000076	XP_036501634.1	XP_036575157.2, XP_036589633.1
OG0000076	XP_036494545.1	XP_036588957.1, XP_036586439.1
OG0000077	XP_036498103.1	XP_036578994.1
OG0000077	XP_036487990.1	XP_070061927.1, XP_070061774.1
OG0000078	XP_036493217.1	XP_036575061.1
OG0000078	XP_036496443.1	XP_036579453.1
OG0000078	XP_036493989.1	XP_036581231.1
OG0000080	XP_036490318.1	XP_036575145.1
OG0000080	XP_036497276.1	XP_036577634.1
OG0000080	XP_036497873.1	XP_036588664.1
OG0000081	XP_036500778.1	XP_070062102.1
OG0000081	XP_036499078.1	XP_036578539.1
OG0000081	XP_036490929.1	XP_036588848.1
OG0000082	XP_036495063.1	XP_036577894.1
OG0000082	XP_036493085.1	XP_036582423.1
OG0000082	XP_036501220.1	XP_036577202.1
OG0000083	XP_036487848.1, XP_036494216.1	XP_036581679.1
OG0000083	XP_036492997.1	XP_036574873.1, XP_036576908.1
OG0000084	XP_036495247.1, XP_036499223.1	XP_036575159.1
OG0000085	XP_036493283.1, XP_036490490.1, XP_036499355.1, XP_036497729.1	XP_036581921.1
OG0000088	XP_036495297.1	XP_036585215.1
OG0000089	XP_036489487.1	XP_036585152.1
OG0000089	XP_036496365.1	XP_036576625.1
OG0000089	XP_036493414.1	XP_036582452.1
OG0000090	XP_036498841.1	XP_036588418.1
OG0000090	XP_036489356.1	XP_036585093.1
OG0000090	XP_036500971.1	XP_036579088.1, XP_036585590.2
OG0000091	XP_036498979.1	XP_036579955.1
OG0000091	XP_036488098.1	XP_036586150.2
OG0000093	XP_036490768.1	XP_070061385.1
OG0000094	XP_036501845.1	XP_036583720.1
OG0000095	XP_036488884.1	XP_036574883.1, XP_036579927.2, XP_036588193.1
OG0000095	XP_036490717.1	XP_036576482.1
OG0000095	XP_036499485.1	XP_036580326.1
OG0000095	XP_036501597.1	XP_036576095.1
OG0000097	XP_036488077.1	XP_036581703.2
OG0000097	XP_036492358.1	XP_070061065.1
OG0000098	XP_036490120.1	XP_070061121.1
OG0000098	XP_036495068.1, XP_036490854.1	XP_036585097.1
OG0000100	XP_036489759.1	XP_036589602.1
OG0000100	XP_036493390.1	XP_036582490.1
OG0000100	XP_036500493.1	XP_036581712.1
OG0000101	XP_036488765.1	XP_070060786.1
OG0000101	XP_036490572.1	XP_036578856.1
OG0000101	XP_036488805.1	XP_036588171.1
OG0000102	XP_036487964.1	XP_036588169.1
OG0000102	XP_036494287.1	XP_070060497.1
OG0000102	XP_036502396.1	XP_036576025.1
OG0000104	XP_036491368.1	XP_070060947.1
OG0000105	XP_036492171.1	XP_036579506.1, XP_036586461.1, XP_036575573.2, XP_036584071.1, XP_036576186.1
OG0000107	XP_036487792.1	XP_070059955.1
OG0000109	XP_036497568.1	XP_036577672.1
OG0000109	XP_036496949.1	XP_036578485.2
OG0000110	XP_036502076.1	XP_036574432.1
OG0000110	XP_036497115.1	XP_036579391.1
OG0000111	XP_036500872.1	XP_036580028.2
OG0000111	XP_036498364.1	XP_070062558.1
OG0000112	XP_036500484.1	XP_036587244.2
OG0000112	XP_036497121.1	XP_036579388.1
OG0000113	XP_036500447.1	XP_036585809.2
OG0000113	XP_036490835.1	XP_036588810.1
OG0000114	XP_036493437.1, XP_036499258.1	XP_036577220.1
OG0000115	XP_036498785.1, XP_036492380.1	XP_036577648.2
OG0000115	XP_036489407.1	XP_036589307.1
OG0000120	XP_036501724.1	XP_036583668.1
OG0000120	XP_036493541.1	XP_036579819.1
OG0000120	XP_036498270.1	XP_036588528.1
OG0000121	XP_036493502.1	XP_036579751.1
OG0000121	XP_036493806.1	XP_036582531.2
OG0000122	XP_036502421.1	XP_070062129.1
OG0000122	XP_036496870.1	XP_036586604.2
OG0000122	XP_036490485.1	XP_070060318.1
OG0000124	XP_036496649.1, XP_036500237.1, XP_036496655.1, XP_036496656.1	XP_036579312.1, XP_036581343.1
OG0000125	XP_036489956.1	XP_036589530.1
OG0000125	XP_036491257.1	XP_036580720.2
OG0000127	XP_036501582.1	XP_036581803.1
OG0000127	XP_036502706.1	XP_036583687.1
OG0000127	XP_036492993.1	XP_036579883.1
OG0000128	XP_036502599.1, XP_036500557.1	XP_036583135.1
OG0000129	XP_036497344.1	XP_070062408.1
OG0000131	XP_036493099.1	XP_070061790.1, XP_036584534.1
OG0000132	XP_036495265.1, XP_036492220.1, XP_036490303.1, XP_036495022.1, XP_036489915.1, XP_036502714.1	XP_036579130.1
OG0000133	XP_036495806.1	XP_036579512.1
OG0000135	XP_036499937.1, XP_036499585.1	XP_070060332.1
OG0000138	XP_036490762.1	XP_070061375.1
OG0000138	XP_036493206.1	XP_070059986.1
OG0000138	XP_036495014.1	XP_036580411.1
OG0000140	XP_036501870.1	XP_036578287.2
OG0000142	XP_036491494.1	XP_070060920.1
OG0000142	XP_036492837.1	XP_036579887.1
OG0000142	XP_036492717.1	XP_036582334.1
OG0000143	XP_036493496.1	XP_036582532.1
OG0000144	XP_036488256.1	XP_036586535.1
OG0000144	XP_036497676.1	XP_036582031.1
OG0000145	XP_036502223.1	XP_036585491.1
OG0000145	XP_036490778.1, XP_036502660.1	XP_036583828.1
OG0000145	XP_036492036.1	XP_036576744.1
OG0000147	XP_036490977.1	XP_036578891.1
OG0000147	XP_036488866.1, XP_036499958.1	XP_036586925.1
OG0000148	XP_036495488.1	XP_036576663.1
OG0000148	XP_036498689.1	XP_036582049.1
OG0000149	XP_036497533.1	XP_036575944.1
OG0000149	XP_036490766.1	XP_036576981.1
OG0000150	XP_036487788.1, XP_036487760.1, XP_036487754.1, XP_036496497.1	XP_036578055.1
OG0000151	XP_036494524.1	XP_036576471.1
OG0000154	XP_036494146.1	XP_070060474.1
OG0000154	XP_036498518.1	XP_070062618.1
OG0000155	XP_036490785.1	XP_036575166.1
OG0000155	XP_036490678.1	XP_036578283.1
OG0000155	XP_036493250.1	XP_070061173.1
OG0000156	XP_036501147.1	XP_036585166.1
OG0000156	XP_036502175.1, XP_036495587.1	XP_070061833.1
OG0000157	XP_036493669.1	XP_070060905.1
OG0000157	XP_036500358.1	XP_036580082.1
OG0000158	XP_036496419.1	XP_036580147.2
OG0000158	XP_036490956.1	XP_036584425.1, XP_036584435.1, XP_036584493.2, XP_036586816.1, XP_036574891.1
OG0000159	XP_036497407.1, XP_036494422.1, XP_036495994.1, XP_036488538.1	XP_036579325.1
OG0000160	XP_036492488.1, XP_036497074.1	XP_036582190.1, XP_036577774.1, XP_036577773.1
OG0000161	XP_036493811.1	XP_070061213.1
OG0000161	XP_036497140.1	XP_070062508.1
OG0000162	XP_036497552.1, XP_036501451.1	XP_070060187.1
OG0000164	XP_036490931.1	XP_036580007.2
OG0000165	XP_036492104.1	XP_070061253.1, XP_036582290.2, XP_070062288.1, XP_070061528.1, XP_036585418.1, XP_036574754.1, XP_070061935.1, XP_036588078.1, XP_070060424.1
OG0000170	XP_036491774.1, XP_036501767.1	XP_036578624.1
OG0000170	XP_036491773.1	XP_036577200.1
OG0000171	XP_036493192.1	XP_070061185.1, XP_036587722.1
OG0000172	XP_036489091.1	XP_070062206.1
OG0000172	XP_036501146.1	XP_036585165.1
OG0000174	XP_036499011.1	XP_036581105.1
OG0000174	XP_036488124.1	XP_070060701.1
OG0000175	XP_036498973.1	XP_036579948.1
OG0000175	XP_036494605.1	XP_036574966.1
OG0000175	XP_036499255.1	XP_036581039.2
OG0000176	XP_036494598.1	XP_070061738.1
OG0000176	XP_036487949.1	XP_036582082.2
OG0000177	XP_036497203.1	XP_036577787.1
OG0000178	XP_036499187.1	XP_036587178.2
OG0000178	XP_036491788.1	XP_036577946.2
OG0000179	XP_036493929.1	XP_070061313.1
OG0000179	XP_036493552.1	XP_036582565.2
OG0000180	XP_036499645.1	XP_036579978.1
OG0000181	XP_036494003.1	XP_036580310.1
OG0000181	XP_036495687.1	XP_036576246.1
OG0000182	XP_036496154.1	XP_036586896.1
OG0000182	XP_036496015.1	XP_070060435.1
OG0000185	XP_036498635.1	XP_070062466.1, XP_070061465.1, XP_036578802.1, XP_036583732.1, XP_070060918.1
OG0000185	XP_036490457.1	XP_036584354.1
OG0000186	XP_036499959.1	XP_036586926.1
OG0000186	XP_036494006.1	XP_036580313.1
OG0000187	XP_036500768.1, XP_036488204.1	XP_036582664.1
OG0000188	XP_036500792.1	XP_036584213.1
OG0000188	XP_036501914.1	XP_036583688.1
OG0000189	XP_036495325.1	XP_036583674.1
OG0000189	XP_036488658.1	XP_036582063.1
OG0000189	XP_036490130.1	XP_070060058.1
OG0000190	XP_036489882.1, XP_036488180.1, XP_036500895.1, XP_036491038.1	XP_036589583.1
OG0000191	XP_036493538.1	XP_036582186.1
OG0000191	XP_036501546.1	XP_036576988.1
OG0000191	XP_036490219.1	XP_036589181.1
OG0000192	XP_036500280.1, XP_036496103.1	XP_036587214.1
OG0000192	XP_036497382.1	XP_036575663.1
OG0000192	XP_036502724.1	XP_036589938.1, XP_036589631.1
OG0000196	XP_036499634.1	XP_036587061.1
OG0000197	XP_036500614.1	XP_070061924.1
OG0000197	XP_036498598.1	XP_036580399.1
OG0000198	XP_036490260.1	XP_036578809.1
OG0000198	XP_036501474.1	XP_036583915.1
OG0000201	XP_036502792.1	XP_036584064.1
OG0000202	XP_036500664.1	XP_036584058.1
OG0000203	XP_036489470.1	XP_070060705.1
OG0000203	XP_036489084.1	XP_036589925.1
OG0000204	XP_036493087.1, XP_036492902.1, XP_036493744.1, XP_036493555.1	XP_036582555.2
OG0000205	XP_036495615.1	XP_036577357.1
OG0000207	XP_036494001.1	XP_036580312.1
OG0000207	XP_036490861.1	XP_070061372.1
OG0000208	XP_036487751.1, XP_036487786.1, XP_036495556.1	XP_036576782.1
OG0000210	XP_036492255.1	XP_036587157.1
OG0000212	XP_036498467.1	XP_070062662.1
OG0000212	XP_036488059.1	XP_070060740.1
OG0000213	XP_036491093.1	XP_070059978.1
OG0000214	XP_036500340.1, XP_036498834.1, XP_036494080.1, XP_036500028.1	XP_036581030.1
OG0000216	XP_036491331.1	XP_036581420.1
OG0000218	XP_036492965.1	XP_036589775.1, XP_036582128.1
OG0000219	XP_036499265.1	XP_036580046.1
OG0000219	XP_036500913.1	XP_036587155.1
OG0000220	XP_036494125.1	XP_036576157.1
OG0000220	XP_036492393.1	XP_036581510.1
OG0000221	XP_036499381.1, XP_036499379.1	XP_036587228.1
OG0000222	XP_036500876.1	XP_036585998.1
OG0000222	XP_036500575.1	XP_070062151.1
OG0000224	XP_036497609.1	XP_036575739.1
OG0000224	XP_036494152.1, XP_036500014.1	XP_036575643.1
OG0000225	XP_036489524.1	XP_036589905.1
OG0000227	XP_036493657.1	XP_036574751.1
OG0000227	XP_036498386.1	XP_036579469.1
OG0000228	XP_036500151.1	XP_036586943.1
OG0000228	XP_036493672.1	XP_036582595.1
OG0000229	XP_036495685.1	XP_036576254.1
OG0000229	XP_036500029.1	XP_036581029.1
OG0000230	XP_036495219.1	XP_070060527.1
OG0000231	XP_036495954.1	XP_036586866.1
OG0000231	XP_036489275.1	XP_036589590.1, XP_036587986.1
OG0000232	XP_036496182.1	XP_036586825.2
OG0000232	XP_036488946.1	XP_036583958.1
OG0000233	XP_036494997.1	XP_036580402.2
OG0000234	XP_036490459.1	XP_036578965.1
OG0000234	XP_036491500.1	XP_070060393.1, XP_036584543.1, XP_036578522.1
OG0000235	XP_036496671.1	XP_036586650.2
OG0000235	XP_036497810.1	XP_036580450.1
OG0000236	XP_036488529.1	XP_036587868.1
OG0000237	XP_036490060.1	XP_036589882.1
OG0000237	XP_036493486.1	XP_036574321.1
OG0000239	XP_036488038.1	XP_070060870.1
OG0000239	XP_036489762.1	XP_036585092.1
OG0000240	XP_036488998.1	XP_036588135.1
OG0000242	XP_036491798.1, XP_036498557.1, XP_036492008.1	XP_036581399.2
OG0000244	XP_036496734.1	XP_036580973.1
OG0000248	XP_036489334.1	XP_036589281.2
OG0000249	XP_036500085.1	XP_036586966.1
OG0000250	XP_036490424.1	XP_036575276.1
OG0000250	XP_036494588.1	XP_070060523.1
OG0000251	XP_036499797.1	XP_036576862.2
OG0000251	XP_036501913.1	XP_036583689.1
OG0000253	XP_036500578.1	XP_036586947.1
OG0000253	XP_036488727.1	XP_036586194.1
OG0000254	XP_036498669.1	XP_036577114.1
OG0000255	XP_036495878.1	XP_070061766.1
OG0000255	XP_036501153.1	XP_036585335.1
OG0000256	XP_036495029.1	XP_036582737.1
OG0000256	XP_036500916.1	XP_036585753.2
OG0000257	XP_036499216.1	XP_070061947.1
OG0000257	XP_036499962.1	XP_070062323.1, XP_070062097.1
OG0000258	XP_036488823.1	XP_036586230.1
OG0000258	XP_036500775.1	XP_036579976.1
OG0000259	XP_036501678.1	XP_036576042.1
OG0000259	XP_036498018.1	XP_036579418.1
OG0000260	XP_036494380.1	XP_036575392.1
OG0000260	XP_036497116.1	XP_036579394.1
OG0000261	XP_036502518.1	XP_036577087.1
OG0000261	XP_036498168.1	XP_036576113.1, XP_036580702.1
OG0000262	XP_036500489.1	XP_036587238.1
OG0000262	XP_036492701.1	XP_036582263.1
OG0000263	XP_036490443.1	XP_036580807.1
OG0000263	XP_036490170.1	XP_036588907.1
OG0000264	XP_036494874.1	XP_036576519.1
OG0000265	XP_036492120.1	XP_036578528.1
OG0000265	XP_036501081.1	XP_036577323.1
OG0000266	XP_036491819.1	XP_036578494.1
OG0000266	XP_036501841.1	XP_036583717.1
OG0000267	XP_036500021.1	XP_036585784.1
OG0000267	XP_036493890.1	XP_036575030.1
OG0000268	XP_036493174.1	XP_036582502.2
OG0000268	XP_036499990.1	XP_036585798.1
OG0000269	XP_036499341.1	XP_036585760.1
OG0000269	XP_036501736.1	XP_036578252.1
OG0000270	XP_036492035.1	XP_036576747.1
OG0000270	XP_036500161.1	XP_036585945.1
OG0000272	XP_036501846.1	XP_070060203.1
OG0000273	XP_036495579.1	XP_036576222.1
OG0000273	XP_036489175.1	XP_036589868.1
OG0000274	XP_036502277.1	XP_036583977.1
OG0000274	XP_036498385.1	XP_036579468.1
OG0000276	XP_036493816.1	XP_036578997.1
OG0000276	XP_036498285.1	XP_036581982.1
OG0000277	XP_036493636.1	XP_036582605.1
OG0000277	XP_036494724.1	XP_036586329.1
OG0000278	XP_036488257.1	XP_036586537.1
OG0000278	XP_036495006.1	XP_036587761.1
OG0000279	XP_036488346.1	XP_036586308.1
OG0000280	XP_036501608.1	XP_070060108.1
OG0000280	XP_036502556.1	XP_036575996.2
OG0000281	XP_036498219.1	XP_070062539.1
OG0000281	XP_036502464.1	XP_036576017.1
OG0000283	XP_036495442.1	XP_036578173.1
OG0000283	XP_036497141.1	XP_036578458.1
OG0000284	XP_036488825.1, XP_036489035.1	XP_036588218.1
OG0000285	XP_036495425.1	XP_036576263.1
OG0000285	XP_036502092.1	XP_036583950.1
OG0000287	XP_036496044.1	XP_070060373.1
OG0000287	XP_036497577.1	XP_036579227.2
OG0000288	XP_036500930.1	XP_036578689.1
OG0000288	XP_036490661.1	XP_070062417.1, XP_036588074.1
OG0000290	XP_036488880.1	XP_036588194.1
