Orthogroup	Species Tree Node	Gene Tree Node	Support	Type	Genes 1	Genes 2
OG0000000	Colletotrichum_truncatum	n11	1.0	Terminal	Colletotrichum_truncatum_XP_070062451.1, Colletotrichum_truncatum_XP_070060944.1, Colletotrichum_truncatum_XP_070062241.1, Colletotrichum_truncatum_XP_070061536.1, Colletotrichum_truncatum_XP_070061522.1, Colletotrichum_truncatum_XP_070061498.1, Colletotrichum_truncatum_XP_070060879.1, Colletotrichum_truncatum_XP_070060419.1, Colletotrichum_truncatum_XP_070061241.1	Colletotrichum_truncatum_XP_070060041.1
OG0000000	Colletotrichum_truncatum	n12	1.0	Terminal	Colletotrichum_truncatum_XP_070062451.1, Colletotrichum_truncatum_XP_070060944.1, Colletotrichum_truncatum_XP_070062241.1, Colletotrichum_truncatum_XP_070061536.1, Colletotrichum_truncatum_XP_070061522.1	Colletotrichum_truncatum_XP_070061498.1, Colletotrichum_truncatum_XP_070060879.1, Colletotrichum_truncatum_XP_070060419.1, Colletotrichum_truncatum_XP_070061241.1
OG0000000	Colletotrichum_truncatum	n13	1.0	Terminal	Colletotrichum_truncatum_XP_070062451.1, Colletotrichum_truncatum_XP_070060944.1, Colletotrichum_truncatum_XP_070062241.1, Colletotrichum_truncatum_XP_070061536.1	Colletotrichum_truncatum_XP_070061522.1
OG0000000	Colletotrichum_truncatum	n14	1.0	Terminal	Colletotrichum_truncatum_XP_070062451.1, Colletotrichum_truncatum_XP_070060944.1, Colletotrichum_truncatum_XP_070062241.1	Colletotrichum_truncatum_XP_070061536.1
OG0000000	Colletotrichum_truncatum	n15	1.0	Terminal	Colletotrichum_truncatum_XP_070062451.1, Colletotrichum_truncatum_XP_070060944.1	Colletotrichum_truncatum_XP_070062241.1
OG0000000	Colletotrichum_truncatum	n16	1.0	Terminal	Colletotrichum_truncatum_XP_070062451.1	Colletotrichum_truncatum_XP_070060944.1
OG0000000	Colletotrichum_truncatum	n17	1.0	Terminal	Colletotrichum_truncatum_XP_070061498.1, Colletotrichum_truncatum_XP_070060879.1, Colletotrichum_truncatum_XP_070060419.1	Colletotrichum_truncatum_XP_070061241.1
OG0000000	Colletotrichum_truncatum	n18	1.0	Terminal	Colletotrichum_truncatum_XP_070061498.1	Colletotrichum_truncatum_XP_070060879.1, Colletotrichum_truncatum_XP_070060419.1
OG0000000	Colletotrichum_truncatum	n19	1.0	Terminal	Colletotrichum_truncatum_XP_070060879.1	Colletotrichum_truncatum_XP_070060419.1
OG0000000	Colletotrichum_truncatum	n20	1.0	Terminal	Colletotrichum_truncatum_XP_070060521.1, Colletotrichum_truncatum_XP_070062385.1, Colletotrichum_truncatum_XP_070062137.1, Colletotrichum_truncatum_XP_070062452.1, Colletotrichum_truncatum_XP_070060658.1	Colletotrichum_truncatum_XP_070061523.1
OG0000000	Colletotrichum_truncatum	n21	1.0	Terminal	Colletotrichum_truncatum_XP_070060521.1, Colletotrichum_truncatum_XP_070062385.1, Colletotrichum_truncatum_XP_070062137.1, Colletotrichum_truncatum_XP_070062452.1	Colletotrichum_truncatum_XP_070060658.1
OG0000000	Colletotrichum_truncatum	n22	1.0	Terminal	Colletotrichum_truncatum_XP_070060521.1	Colletotrichum_truncatum_XP_070062385.1, Colletotrichum_truncatum_XP_070062137.1, Colletotrichum_truncatum_XP_070062452.1
OG0000000	Colletotrichum_truncatum	n23	1.0	Terminal	Colletotrichum_truncatum_XP_070062385.1	Colletotrichum_truncatum_XP_070062137.1, Colletotrichum_truncatum_XP_070062452.1
OG0000000	Colletotrichum_truncatum	n24	1.0	Terminal	Colletotrichum_truncatum_XP_070062137.1	Colletotrichum_truncatum_XP_070062452.1
OG0000000	Colletotrichum_truncatum	n25	1.0	Terminal	Colletotrichum_truncatum_XP_070062052.1, Colletotrichum_truncatum_XP_070060696.1, Colletotrichum_truncatum_XP_070062516.1, Colletotrichum_truncatum_XP_070061609.1, Colletotrichum_truncatum_XP_070061605.1, Colletotrichum_truncatum_XP_070060634.1, Colletotrichum_truncatum_XP_070062381.1	Colletotrichum_truncatum_XP_070062196.1, Colletotrichum_truncatum_XP_070061151.1, Colletotrichum_truncatum_XP_070061264.1, Colletotrichum_truncatum_XP_070060741.1
OG0000000	Colletotrichum_truncatum	n26	1.0	Terminal	Colletotrichum_truncatum_XP_070062052.1, Colletotrichum_truncatum_XP_070060696.1, Colletotrichum_truncatum_XP_070062516.1, Colletotrichum_truncatum_XP_070061609.1	Colletotrichum_truncatum_XP_070061605.1, Colletotrichum_truncatum_XP_070060634.1, Colletotrichum_truncatum_XP_070062381.1
OG0000000	Colletotrichum_truncatum	n27	1.0	Terminal	Colletotrichum_truncatum_XP_070062052.1, Colletotrichum_truncatum_XP_070060696.1, Colletotrichum_truncatum_XP_070062516.1	Colletotrichum_truncatum_XP_070061609.1
OG0000000	Colletotrichum_truncatum	n28	1.0	Terminal	Colletotrichum_truncatum_XP_070062052.1, Colletotrichum_truncatum_XP_070060696.1	Colletotrichum_truncatum_XP_070062516.1
OG0000000	Colletotrichum_truncatum	n29	1.0	Terminal	Colletotrichum_truncatum_XP_070062052.1	Colletotrichum_truncatum_XP_070060696.1
OG0000000	Colletotrichum_truncatum	n30	1.0	Terminal	Colletotrichum_truncatum_XP_070061605.1	Colletotrichum_truncatum_XP_070060634.1, Colletotrichum_truncatum_XP_070062381.1
OG0000000	Colletotrichum_truncatum	n31	1.0	Terminal	Colletotrichum_truncatum_XP_070060634.1	Colletotrichum_truncatum_XP_070062381.1
OG0000000	Colletotrichum_truncatum	n32	1.0	Terminal	Colletotrichum_truncatum_XP_070062196.1	Colletotrichum_truncatum_XP_070061151.1, Colletotrichum_truncatum_XP_070061264.1, Colletotrichum_truncatum_XP_070060741.1
OG0000000	Colletotrichum_truncatum	n33	1.0	Terminal	Colletotrichum_truncatum_XP_070061151.1	Colletotrichum_truncatum_XP_070061264.1, Colletotrichum_truncatum_XP_070060741.1
OG0000000	Colletotrichum_truncatum	n34	1.0	Terminal	Colletotrichum_truncatum_XP_070061264.1	Colletotrichum_truncatum_XP_070060741.1
OG0000000	Colletotrichum_truncatum	n36	1.0	Terminal	Colletotrichum_truncatum_XP_070060660.1, Colletotrichum_truncatum_XP_070060659.1, Colletotrichum_truncatum_XP_070059920.1	Colletotrichum_truncatum_XP_070062420.1
OG0000000	Colletotrichum_truncatum	n37	1.0	Terminal	Colletotrichum_truncatum_XP_070060660.1, Colletotrichum_truncatum_XP_070060659.1	Colletotrichum_truncatum_XP_070059920.1
OG0000000	Colletotrichum_truncatum	n38	1.0	Terminal	Colletotrichum_truncatum_XP_070060660.1	Colletotrichum_truncatum_XP_070060659.1
OG0000000	N2	n39	0.2	Non-Terminal	Colletotrichum_truncatum_XP_070061527.1, Colletotrichum_truncatum_XP_070060843.1, Colletotrichum_fructicola_XP_031878483.1, Colletotrichum_fructicola_XP_066009607.1, Colletotrichum_truncatum_XP_070060000.1, Colletotrichum_truncatum_XP_070062450.1, Colletotrichum_truncatum_XP_070061158.1, Colletotrichum_truncatum_XP_070060945.1, Colletotrichum_fructicola_XP_066009636.1, Colletotrichum_fructicola_XP_031882429.2	Colletotrichum_truncatum_XP_070061944.1, Colletotrichum_truncatum_XP_070062346.1, Colletotrichum_truncatum_XP_070061874.1, Colletotrichum_truncatum_XP_070061754.1, Colletotrichum_truncatum_XP_070059777.1, Colletotrichum_truncatum_XP_070061326.1, Colletotrichum_truncatum_XP_070061561.1, Colletotrichum_truncatum_XP_070060688.1, Colletotrichum_truncatum_XP_070061943.1, Colletotrichum_truncatum_XP_070059886.1, Colletotrichum_truncatum_XP_070061783.1, Colletotrichum_truncatum_XP_070060046.1, Colletotrichum_truncatum_XP_070060698.1, Colletotrichum_truncatum_XP_070060858.1, Colletotrichum_truncatum_XP_070061756.1, Colletotrichum_truncatum_XP_070061755.1, Colletotrichum_truncatum_XP_070061119.1, Colletotrichum_truncatum_XP_070061560.1, Colletotrichum_truncatum_XP_070059762.1, Colletotrichum_truncatum_XP_070062334.1, Colletotrichum_truncatum_XP_070061559.1, Colletotrichum_truncatum_XP_070061839.1, Colletotrichum_truncatum_XP_070062233.1, Colletotrichum_truncatum_XP_070059944.1, Colletotrichum_truncatum_XP_070060919.1, Colletotrichum_truncatum_XP_070061994.1, Colletotrichum_truncatum_XP_070062691.1, Colletotrichum_truncatum_XP_070061335.1, Colletotrichum_truncatum_XP_070059933.1, Colletotrichum_truncatum_XP_070059934.1, Colletotrichum_truncatum_XP_070061715.1, Colletotrichum_truncatum_XP_070061952.1, Colletotrichum_truncatum_XP_070062136.1, Colletotrichum_truncatum_XP_070059778.1, Colletotrichum_truncatum_XP_070061087.1, Colletotrichum_truncatum_XP_070061850.1, Colletotrichum_truncatum_XP_070061851.1, Colletotrichum_truncatum_XP_070060520.1, Colletotrichum_truncatum_XP_070061849.1, Colletotrichum_truncatum_XP_070062058.1, Colletotrichum_truncatum_XP_070059897.1, Colletotrichum_truncatum_XP_070060846.1, Colletotrichum_truncatum_XP_070061945.1, Colletotrichum_truncatum_XP_070061331.1, Colletotrichum_truncatum_XP_070061320.1, Colletotrichum_truncatum_XP_070061041.1, Colletotrichum_truncatum_XP_070061120.1, Colletotrichum_truncatum_XP_070060045.1, Colletotrichum_truncatum_XP_070061234.1, Colletotrichum_truncatum_XP_070060872.1, Colletotrichum_truncatum_XP_070061537.1, Colletotrichum_truncatum_XP_070061876.1, Colletotrichum_truncatum_XP_070062089.1, Colletotrichum_truncatum_XP_070060844.1, Colletotrichum_truncatum_XP_070060723.1, Colletotrichum_truncatum_XP_070060768.1, Colletotrichum_truncatum_XP_070062077.1, Colletotrichum_truncatum_XP_070060485.1, Colletotrichum_truncatum_XP_070060484.1, Colletotrichum_truncatum_XP_070062554.1, Colletotrichum_truncatum_XP_070059894.1, Colletotrichum_truncatum_XP_070061529.1, Colletotrichum_truncatum_XP_070059746.1, Colletotrichum_truncatum_XP_070059865.1, Colletotrichum_truncatum_XP_070059904.1, Colletotrichum_truncatum_XP_070062431.1, Colletotrichum_truncatum_XP_070062424.1, Colletotrichum_truncatum_XP_070060610.1, Colletotrichum_truncatum_XP_070061550.1, Colletotrichum_truncatum_XP_070061934.1, Colletotrichum_truncatum_XP_070061081.1, Colletotrichum_truncatum_XP_070061819.1, Colletotrichum_truncatum_XP_070059931.1, Colletotrichum_truncatum_XP_070062363.1, Colletotrichum_truncatum_XP_070060453.1, Colletotrichum_truncatum_XP_070061397.1, Colletotrichum_truncatum_XP_070060728.1, Colletotrichum_truncatum_XP_070062359.1, Colletotrichum_truncatum_XP_070062437.1, Colletotrichum_truncatum_XP_070060613.1, Colletotrichum_truncatum_XP_070060571.1, Colletotrichum_truncatum_XP_070061053.1
OG0000000	N2	n40	0.4	Non-Terminal	Colletotrichum_truncatum_XP_070061527.1, Colletotrichum_truncatum_XP_070060843.1, Colletotrichum_fructicola_XP_031878483.1, Colletotrichum_fructicola_XP_066009607.1	Colletotrichum_truncatum_XP_070060000.1, Colletotrichum_truncatum_XP_070062450.1, Colletotrichum_truncatum_XP_070061158.1, Colletotrichum_truncatum_XP_070060945.1, Colletotrichum_fructicola_XP_066009636.1, Colletotrichum_fructicola_XP_031882429.2
OG0000000	Colletotrichum_truncatum	n42	1.0	Terminal	Colletotrichum_truncatum_XP_070061527.1	Colletotrichum_truncatum_XP_070060843.1
OG0000000	Colletotrichum_fructicola	n43	1.0	Terminal	Colletotrichum_fructicola_XP_031878483.1	Colletotrichum_fructicola_XP_066009607.1
OG0000000	Colletotrichum_truncatum	n45	1.0	Terminal	Colletotrichum_truncatum_XP_070060000.1, Colletotrichum_truncatum_XP_070062450.1, Colletotrichum_truncatum_XP_070061158.1	Colletotrichum_truncatum_XP_070060945.1
OG0000000	Colletotrichum_truncatum	n46	1.0	Terminal	Colletotrichum_truncatum_XP_070060000.1, Colletotrichum_truncatum_XP_070062450.1	Colletotrichum_truncatum_XP_070061158.1
OG0000000	Colletotrichum_truncatum	n47	1.0	Terminal	Colletotrichum_truncatum_XP_070060000.1	Colletotrichum_truncatum_XP_070062450.1
OG0000000	Colletotrichum_fructicola	n48	1.0	Terminal	Colletotrichum_fructicola_XP_066009636.1	Colletotrichum_fructicola_XP_031882429.2
