Orthogroup	Colletotrichum_karsti	Colletotrichum_abscissum
OG0000021	XP_038747639.1	XP_060404248.1
OG0000021	XP_038748220.1, XP_038743443.1	XP_060397416.1
OG0000023	XP_038742786.1	XP_060394492.1
OG0000023	XP_038747724.1	XP_060390983.1
OG0000023	XP_038747041.1	XP_060398582.1
OG0000023	XP_038751432.1	XP_060404753.1
OG0000023	XP_038744036.1, XP_038747906.1	XP_060396269.1
OG0000024	XP_038750167.1	XP_060404873.1
OG0000024	XP_038749840.1	XP_060403396.1
OG0000024	XP_038750868.1	XP_060404550.1
OG0000024	XP_038749957.1	XP_060397413.1, XP_060403453.1
OG0000026	XP_038749949.1	XP_060403455.1
OG0000026	XP_038739803.1	XP_060402121.1
OG0000026	XP_038745044.1	XP_060406170.1
OG0000028	XP_038741868.1	XP_060399361.1
OG0000028	XP_038746879.1	XP_060400686.1
OG0000028	XP_038749042.1	XP_060389510.1
OG0000028	XP_038741883.1	XP_060399353.1
OG0000031	XP_038749924.1	XP_060403535.1
OG0000031	XP_038747655.1	XP_060398830.1
OG0000031	XP_038739645.1	XP_060403404.1
OG0000032	XP_038749055.1	XP_060396192.1, XP_060396193.1, XP_060391688.1, XP_060404524.1
OG0000033	XP_038743001.1	XP_060391326.1
OG0000033	XP_038748989.1	XP_060391547.1, XP_060391545.1
OG0000034	XP_038741734.1	XP_060393334.1
OG0000034	XP_038746609.1	XP_060404226.1
OG0000034	XP_038751740.1, XP_038748332.1	XP_060391662.1
OG0000034	XP_038749610.1	XP_060393666.1
OG0000035	XP_038741043.1	XP_060392385.1
OG0000035	XP_038739905.1	XP_060405054.1
OG0000035	XP_038738852.1	XP_060399036.1
OG0000035	XP_038747431.1	XP_060406211.1
OG0000037	XP_038742844.1	XP_060403586.1
OG0000037	XP_038739204.1	XP_060394145.1
OG0000037	XP_038741825.1	XP_060399323.1
OG0000038	XP_038740761.1	XP_060397114.1
OG0000041	XP_038750340.1	XP_060405425.1
OG0000043	XP_038744244.1	XP_060389987.1
OG0000043	XP_038742058.1	XP_060402897.1
OG0000043	XP_038748991.1	XP_060391983.1
OG0000043	XP_038744021.1	XP_060405167.1
OG0000044	XP_038748130.1	XP_060391535.1
OG0000044	XP_038741919.1, XP_038743185.1	XP_060393902.1
OG0000044	XP_038746929.1	XP_060395508.1
OG0000046	XP_038749820.1	XP_060403289.1
OG0000046	XP_038750950.1	XP_060395276.1
OG0000046	XP_038743311.1	XP_060390222.1, XP_060396070.1
OG0000046	XP_038750269.1	XP_060396941.1
OG0000047	XP_038743558.1	XP_060392437.1
OG0000047	XP_038743301.1	XP_060397255.1
OG0000047	XP_038746889.1	XP_060391972.1
OG0000049	XP_038750320.1	XP_060394521.1
OG0000049	XP_038748549.1	XP_060392182.1
OG0000049	XP_038750912.1	XP_060395332.1
OG0000050	XP_038743985.1	XP_060405210.1
OG0000050	XP_038743187.1	XP_060393904.1
OG0000050	XP_038739079.1	XP_060400491.1
OG0000051	XP_038744342.1	XP_060397608.1
OG0000051	XP_038741321.1	XP_060401241.1
OG0000051	XP_038739555.1	XP_060401973.1
OG0000051	XP_038740059.1	XP_060394615.1
OG0000052	XP_038738656.1, XP_038738657.1	XP_060404980.1
OG0000054	XP_038740594.1	XP_060391312.1
OG0000054	XP_038746041.1	XP_060396191.1
OG0000054	XP_038740243.1	XP_060404929.1
OG0000055	XP_038750112.1	XP_060402327.1
OG0000055	XP_038739230.1	XP_060401863.1
OG0000057	XP_038749116.1	XP_060393337.1
OG0000057	XP_038738880.1	XP_060391613.1
OG0000057	XP_038742534.1	XP_060404958.1, XP_060404957.1
OG0000058	XP_038751481.1	XP_060404570.1
OG0000059	XP_038748983.1	XP_060395997.1
OG0000059	XP_038744290.1	XP_060402559.1
OG0000064	XP_038741951.1	XP_060392805.1
OG0000064	XP_038748953.1	XP_060390046.1
OG0000064	XP_038750307.1	XP_060396923.1, XP_060404553.1
OG0000065	XP_038741888.1	XP_060398960.1
OG0000065	XP_038744511.1	XP_060392741.1
OG0000065	XP_038742748.1	XP_060391392.1
OG0000066	XP_038749507.1	XP_060393191.1
OG0000067	XP_038740481.1	XP_060397707.1
OG0000067	XP_038749718.1	XP_060400547.1, XP_060397610.1
OG0000068	XP_038742454.1	XP_060400271.1
OG0000068	XP_038742456.1	XP_060406496.1
OG0000069	XP_038740857.1, XP_038740859.1, XP_038740860.1	XP_060395905.1
OG0000070	XP_038740145.1	XP_060403136.1
OG0000070	XP_038747979.1	XP_060404832.1
OG0000071	XP_038740653.1	XP_060391462.1
OG0000071	XP_038740201.1	XP_060403051.1
OG0000071	XP_038748109.1, XP_038739379.1	XP_060395244.1
OG0000072	XP_038743394.1	XP_060396061.1
OG0000072	XP_038743218.1	XP_060393949.1
OG0000073	XP_038743687.1	XP_060394993.1
OG0000073	XP_038743264.1	XP_060404434.1
OG0000073	XP_038742548.1	XP_060403020.1
OG0000074	XP_038738962.1	XP_060389371.1, XP_060404544.1, XP_060405438.1, XP_060404922.1, XP_060397233.1
OG0000075	XP_038751168.1	XP_060404523.1, XP_060389791.1
OG0000076	XP_038741037.1	XP_060395356.1
OG0000076	XP_038739795.1	XP_060390141.1
OG0000077	XP_038746308.1	XP_060393839.1
OG0000078	XP_038743161.1	XP_060393868.1
OG0000078	XP_038750812.1	XP_060400364.1
OG0000078	XP_038751215.1	XP_060406397.1
OG0000080	XP_038738858.1	XP_060403156.1
OG0000080	XP_038746709.1	XP_060404108.1
OG0000080	XP_038751018.1	XP_060389880.1
OG0000081	XP_038748232.1	XP_060391595.1
OG0000081	XP_038747984.1	XP_060395159.1
OG0000081	XP_038743305.1, XP_038741010.1	XP_060392535.1
OG0000082	XP_038744232.1	XP_060393284.1
OG0000082	XP_038746901.1	XP_060400690.1
OG0000083	XP_038745615.1, XP_038744246.1, XP_038740672.1	XP_060394127.1
OG0000085	XP_038740897.1, XP_038747830.1, XP_038744429.1, XP_038744428.1, XP_038751259.1	XP_060404229.1
OG0000086	XP_038738655.1	XP_060404979.1
OG0000089	XP_038739171.1	XP_060394084.1
OG0000090	XP_038751256.1	XP_060389701.1
OG0000090	XP_038751721.1	XP_060398282.1
OG0000090	XP_038749487.1	XP_060394311.1
OG0000091	XP_038748252.1	XP_060391574.1
OG0000091	XP_038745426.1	XP_060401689.1
OG0000092	XP_038740723.1	XP_060393723.1, XP_060391828.1
OG0000093	XP_038745039.1	XP_060397924.1
OG0000094	XP_038745580.1	XP_060396262.1
OG0000094	XP_038750495.1	XP_060400746.1
OG0000094	XP_038742532.1	XP_060395175.1
OG0000095	XP_038750878.1, XP_038747813.1, XP_038741429.1, XP_038748346.1	XP_060399043.1
OG0000097	XP_038742869.1	XP_060402762.1
OG0000097	XP_038741979.1	XP_060402944.1
OG0000097	XP_038742715.1	XP_060391414.1
OG0000098	XP_038751718.1	XP_060397447.1
OG0000098	XP_038748852.1	XP_060392478.1
OG0000099	XP_038751689.1	XP_060393137.1
OG0000099	XP_038744174.1	XP_060400769.1
OG0000100	XP_038750308.1	XP_060396924.1
OG0000100	XP_038739203.1	XP_060394146.1
OG0000100	XP_038748325.1	XP_060399128.1
OG0000101	XP_038742730.1	XP_060394565.1
OG0000101	XP_038744517.1	XP_060397076.1
OG0000101	XP_038747621.1	XP_060398794.1
OG0000102	XP_038747623.1	XP_060398789.1
OG0000102	XP_038741620.1	XP_060401292.1
OG0000102	XP_038740089.1	XP_060394651.1
OG0000103	XP_038750902.1, XP_038747604.1, XP_038748963.1	XP_060397521.1
OG0000104	XP_038746213.1	XP_060402765.1
OG0000104	XP_038740930.1	XP_060402814.1
OG0000105	XP_038738705.1	XP_060405520.1
OG0000108	XP_038744051.1	XP_060395700.1
OG0000108	XP_038743418.1	XP_060403623.1
OG0000109	XP_038738946.1	XP_060389458.1
OG0000110	XP_038748627.1	XP_060390433.1
OG0000110	XP_038749526.1	XP_060391882.1
OG0000110	XP_038747759.1, XP_038741778.1	XP_060399270.1
OG0000111	XP_038748174.1	XP_060391609.1
OG0000111	XP_038750864.1	XP_060395468.1
OG0000112	XP_038740382.1	XP_060392150.1
OG0000112	XP_038740557.1	XP_060397460.1
OG0000112	XP_038749524.1	XP_060391887.1
OG0000113	XP_038739961.1	XP_060396530.1
OG0000113	XP_038746085.1	XP_060394004.1
OG0000113	XP_038741048.1	XP_060392391.1
OG0000114	XP_038744642.1	XP_060393065.1
OG0000115	XP_038751602.1	XP_060398441.1
OG0000116	XP_038740805.1	XP_060404025.1
OG0000120	XP_038747307.1	XP_060400712.1
OG0000121	XP_038746143.1	XP_060395817.1
OG0000122	XP_038741719.1	XP_060402895.1
OG0000123	XP_038748221.1	XP_060391755.1
OG0000124	XP_038742694.1	XP_060391863.1, XP_060399871.1, XP_060391865.1, XP_060391864.1
OG0000125	XP_038750384.1	XP_060404765.1
OG0000125	XP_038741937.1	XP_060392122.1
OG0000125	XP_038741419.1	XP_060399052.1
OG0000126	XP_038746236.1	XP_060393110.1
OG0000126	XP_038749121.1, XP_038749122.1	XP_060397683.1
OG0000127	XP_038748761.1	XP_060404169.1
OG0000127	XP_038747323.1	XP_060400734.1
OG0000127	XP_038745992.1	XP_060396016.1
OG0000128	XP_038742142.1	XP_060406563.1
OG0000128	XP_038747675.1	XP_060398918.1
OG0000129	XP_038749923.1	XP_060398991.1
OG0000129	XP_038746452.1	XP_060404396.1
OG0000131	XP_038740696.1	XP_060403026.1
OG0000132	XP_038741408.1	XP_060401101.1
OG0000133	XP_038742937.1, XP_038741362.1	XP_060405570.1
OG0000133	XP_038740462.1, XP_038742938.1	XP_060401446.1
OG0000136	XP_038740219.1	XP_060404503.1, XP_060400267.1
OG0000138	XP_038749040.1	XP_060389508.1
OG0000138	XP_038743077.1, XP_038744074.1	XP_060399828.1
OG0000139	XP_038748311.1	XP_060391421.1
OG0000142	XP_038746290.1	XP_060402604.1
OG0000142	XP_038739464.1	XP_060393407.1
OG0000143	XP_038742306.1	XP_060393934.1
OG0000143	XP_038739238.1	XP_060394008.1
OG0000144	XP_038749918.1	XP_060393978.1, XP_060399056.1
OG0000144	XP_038740746.1	XP_060401142.1
OG0000145	XP_038749178.1	XP_060394186.1
OG0000147	XP_038744544.1	XP_060397035.1
OG0000147	XP_038747791.1, XP_038745855.1	XP_060399567.1
OG0000148	XP_038744702.1	XP_060397720.1
OG0000148	XP_038746479.1	XP_060404369.1
OG0000148	XP_038740736.1	XP_060397116.1
OG0000149	XP_038744469.1, XP_038742068.1	XP_060397400.1
OG0000150	XP_038740497.1	XP_060397411.1
OG0000151	XP_038739313.1	XP_060397674.1
OG0000152	XP_038741533.1	XP_060401508.1
OG0000152	XP_038741787.1	XP_060401753.1
OG0000154	XP_038739316.1	XP_060401200.1
OG0000154	XP_038751114.1	XP_060389848.1
OG0000155	XP_038741478.1	XP_060399027.1
OG0000155	XP_038748080.1	XP_060390054.1
OG0000156	XP_038748618.1	XP_060390414.1
OG0000156	XP_038746874.1, XP_038740509.1	XP_060400557.1
OG0000158	XP_038742332.1, XP_038741442.1	XP_060403201.1, XP_060404962.1, XP_060393678.1
OG0000159	XP_038750911.1	XP_060395315.1
OG0000160	XP_038739928.1	XP_060397918.1
OG0000160	XP_038750954.1	XP_060396290.1
OG0000161	XP_038745894.1	XP_060396457.1
OG0000161	XP_038750617.1	XP_060405487.1, XP_060400956.1
OG0000162	XP_038746043.1	XP_060400629.1
OG0000162	XP_038746951.1	XP_060397286.1
OG0000163	XP_038741373.1, XP_038741374.1, XP_038751950.1	XP_060402422.1
OG0000163	XP_038745369.1, XP_038742288.1, XP_038751612.1, XP_038745607.1	XP_060400018.1
OG0000169	XP_038748846.1	XP_060392472.1
OG0000170	XP_038740584.1	XP_060391362.1, XP_060389928.1, XP_060391786.1
OG0000171	XP_038750052.1, XP_038748590.1	XP_060390375.1
OG0000171	XP_038748624.1, XP_038739674.1, XP_038745850.1	XP_060402236.1
OG0000172	XP_038751888.1	XP_060398059.1
OG0000172	XP_038748619.1	XP_060397859.1, XP_060390412.1
OG0000174	XP_038740605.1	XP_060391302.1
OG0000174	XP_038749826.1	XP_060403281.1
OG0000174	XP_038743304.1	XP_060399878.1
OG0000175	XP_038748259.1	XP_060391567.1
OG0000177	XP_038739673.1	XP_060402162.1
OG0000178	XP_038740415.1	XP_060403658.1
OG0000178	XP_038748052.1	XP_060393730.1
OG0000179	XP_038750081.1	XP_060399833.1
OG0000179	XP_038743226.1	XP_060393957.1
OG0000180	XP_038740525.1	XP_060402344.1
OG0000180	XP_038741945.1, XP_038748217.1	XP_060394010.1
OG0000181	XP_038744182.1	XP_060399951.1
OG0000181	XP_038743700.1	XP_060395792.1, XP_060395049.1
OG0000182	XP_038738759.1	XP_060395194.1
OG0000182	XP_038744740.1	XP_060397765.1
OG0000186	XP_038745854.1	XP_060399566.1
OG0000186	XP_038744178.1	XP_060399946.1
OG0000187	XP_038747911.1	XP_060399685.1
OG0000187	XP_038746896.1	XP_060400397.1
OG0000188	XP_038739581.1	XP_060400159.1
OG0000188	XP_038747325.1	XP_060400741.1
OG0000190	XP_038750331.1, XP_038749956.1, XP_038741334.1	XP_060404834.1
OG0000196	XP_038745731.1	XP_060399523.1
OG0000198	XP_038749063.1	XP_060391676.1
OG0000198	XP_038743374.1	XP_060396123.1
OG0000199	XP_038740947.1	XP_060394109.1
OG0000199	XP_038742483.1	XP_060392177.1
OG0000200	XP_038749054.1, XP_038750872.1	XP_060393094.1
OG0000201	XP_038740041.1	XP_060394595.1
OG0000202	XP_038745747.1	XP_060401961.1
OG0000203	XP_038747845.1, XP_038750085.1, XP_038750036.1	XP_060393461.1
OG0000204	XP_038743222.1	XP_060393962.1
OG0000205	XP_038744878.1	XP_060395227.1
OG0000207	XP_038744179.1	XP_060399947.1
OG0000207	XP_038749111.1	XP_060404500.1, XP_060404499.1, XP_060397118.1
OG0000209	XP_038745830.1, XP_038745834.1, XP_038745831.1, XP_038745833.1	XP_060399508.1
OG0000211	XP_038747828.1	XP_060402138.1, XP_060404947.1
OG0000212	XP_038749518.1	XP_060404565.1
OG0000212	XP_038749934.1	XP_060403548.1
OG0000216	XP_038744948.1	XP_060389622.1
OG0000216	XP_038746295.1	XP_060402616.1
OG0000217	XP_038743269.1	XP_060391290.1
OG0000217	XP_038742706.1, XP_038745186.1, XP_038749127.1, XP_038740580.1	XP_060391287.1
OG0000218	XP_038751309.1, XP_038746850.1	XP_060391347.1, XP_060391350.1
OG0000219	XP_038748162.1, XP_038746176.1, XP_038743334.1, XP_038742192.1, XP_038746177.1, XP_038740393.1	XP_060391645.1
OG0000220	XP_038739337.1	XP_060401166.1
OG0000220	XP_038746386.1	XP_060391919.1
OG0000221	XP_038745620.1, XP_038750411.1, XP_038745619.1, XP_038740447.1	XP_060392143.1
OG0000222	XP_038747147.1	XP_060392909.1
OG0000222	XP_038745825.1	XP_060399501.1
OG0000223	XP_038746964.1	XP_060393203.1
OG0000224	XP_038750814.1	XP_060393206.1, XP_060399593.1
OG0000225	XP_038750053.1	XP_060393497.1
OG0000227	XP_038740801.1	XP_060394537.1
OG0000227	XP_038749601.1	XP_060393660.1
OG0000228	XP_038745837.1	XP_060399550.1
OG0000228	XP_038743204.1	XP_060393924.1
OG0000229	XP_038743729.1	XP_060395059.1
OG0000229	XP_038743991.1	XP_060394543.1
OG0000231	XP_038742554.1	XP_060395100.1
OG0000231	XP_038750324.1	XP_060404841.1
OG0000232	XP_038742518.1	XP_060395155.1
OG0000233	XP_038741520.1	XP_060398916.1, XP_060399680.1
OG0000234	XP_038744594.1	XP_060395669.1
OG0000234	XP_038741958.1	XP_060405406.1
OG0000235	XP_038742153.1	XP_060402405.1
OG0000235	XP_038744622.1	XP_060403133.1
OG0000236	XP_038745538.1	XP_060396213.1
OG0000237	XP_038750090.1	XP_060396847.1
OG0000238	XP_038749081.1	XP_060397162.1
OG0000239	XP_038747819.1	XP_060398810.1
OG0000239	XP_038751722.1	XP_060398283.1
OG0000242	XP_038749658.1, XP_038739178.1, XP_038746289.1	XP_060402603.1
OG0000244	XP_038743945.1, XP_038741606.1	XP_060405272.1
OG0000248	XP_038751618.1	XP_060400839.1, XP_060402491.1, XP_060405456.1, XP_060400838.1, XP_060389428.1, XP_060398385.1
OG0000249	XP_038745808.1	XP_060402514.1, XP_060389449.1, XP_060404926.1, XP_060403846.1
OG0000250	XP_038744675.1	XP_060390890.1
OG0000250	XP_038741258.1	XP_060389465.1
OG0000251	XP_038743852.1	XP_060389524.1
OG0000251	XP_038747326.1	XP_060400740.1
OG0000252	XP_038740198.1	XP_060403047.1
OG0000252	XP_038748933.1	XP_060390007.1
OG0000253	XP_038745829.1	XP_060399506.1
OG0000253	XP_038745378.1	XP_060390165.1
OG0000254	XP_038740217.1	XP_060405641.1
OG0000254	XP_038749706.1	XP_060390235.1
OG0000255	XP_038743058.1	XP_060405714.1
OG0000255	XP_038748469.1	XP_060390262.1
OG0000256	XP_038741499.1	XP_060401557.1
OG0000256	XP_038749324.1	XP_060390677.1
OG0000257	XP_038747913.1	XP_060399689.1
OG0000257	XP_038748264.1	XP_060391562.1
OG0000258	XP_038742745.1	XP_060394541.1
OG0000258	XP_038748228.1	XP_060391598.1
OG0000259	XP_038740103.1	XP_060394671.1
OG0000259	XP_038749549.1	XP_060391860.1
OG0000260	XP_038741591.1, XP_038749530.1	XP_060391880.1
OG0000261	XP_038748993.1, XP_038746275.1, XP_038748340.1, XP_038748992.1	XP_060391984.1
OG0000262	XP_038740387.1	XP_060392159.1
OG0000262	XP_038739923.1	XP_060405021.1
OG0000263	XP_038741063.1	XP_060399150.1
OG0000263	XP_038748794.1	XP_060392681.1
OG0000265	XP_038741953.1	XP_060392807.1
OG0000265	XP_038745344.1	XP_060404186.1
OG0000266	XP_038741978.1	XP_060392815.1
OG0000266	XP_038747346.1	XP_060400753.1
OG0000267	XP_038739940.1, XP_038739362.1	XP_060392835.1
OG0000267	XP_038745984.1	XP_060395630.1
OG0000268	XP_038739208.1	XP_060394034.1
OG0000268	XP_038747178.1	XP_060392853.1
OG0000269	XP_038744978.1, XP_038740014.1	XP_060392863.1, XP_060406445.1
OG0000270	XP_038739100.1	XP_060395507.1
OG0000270	XP_038747193.1	XP_060392952.1
OG0000271	XP_038748280.1	XP_060393124.1
OG0000272	XP_038747341.1	XP_060400747.1
OG0000272	XP_038741356.1	XP_060393300.1
OG0000273	XP_038743692.1	XP_060394989.1
OG0000273	XP_038750155.1	XP_060393542.1
OG0000274	XP_038743417.1	XP_060396100.1
OG0000274	XP_038749600.1	XP_060393661.1
OG0000275	XP_038739186.1, XP_038739193.1	XP_060393782.1
OG0000276	XP_038743135.1	XP_060393834.1
OG0000276	XP_038746575.1	XP_060404300.1
OG0000277	XP_038743198.1	XP_060393915.1
OG0000277	XP_038741851.1	XP_060399399.1
OG0000278	XP_038749917.1	XP_060393979.1, XP_060399055.1
OG0000278	XP_038747825.1	XP_060402980.1
OG0000279	XP_038742788.1	XP_060394494.1
OG0000279	XP_038747905.1	XP_060396270.1
OG0000280	XP_038745073.1	XP_060406122.1
OG0000280	XP_038740062.1	XP_060394619.1
OG0000281	XP_038750777.1	XP_060397427.1
OG0000281	XP_038740083.1	XP_060394643.1
OG0000283	XP_038743653.1	XP_060395025.1
OG0000283	XP_038750618.1	XP_060400957.1
OG0000284	XP_038747793.1	XP_060398756.1
OG0000284	XP_038750111.1	XP_060395046.1
OG0000285	XP_038743736.1	XP_060395083.1
OG0000285	XP_038743389.1	XP_060396051.1
OG0000286	XP_038750008.1	XP_060404555.1
OG0000287	XP_038738765.1	XP_060395180.1
OG0000287	XP_038744287.1	XP_060402558.1
OG0000288	XP_038744141.1, XP_038747503.1, XP_038739383.1, XP_038739839.1, XP_038745832.1	XP_060395234.1
OG0000290	XP_038747812.1	XP_060395496.1
OG0000290	XP_038741430.1	XP_060399044.1
OG0000291	XP_038746429.1	XP_060395575.1
OG0000291	XP_038747264.1	XP_060396639.1
OG0000292	XP_038743949.1	XP_060405254.1
OG0000292	XP_038741984.1, XP_038743834.1	XP_060395810.1
OG0000293	XP_038740763.1	XP_060402952.1
OG0000293	XP_038746144.1	XP_060395820.1
OG0000294	XP_038743322.1	XP_060395969.1
OG0000294	XP_038749516.1	XP_060404561.1
OG0000295	XP_038743430.1, XP_038745345.1, XP_038746300.1	XP_060396143.1
OG0000296	XP_038738702.1, XP_038742378.1, XP_038742258.1	XP_060396236.1
OG0000297	XP_038738944.1	XP_060396752.1
OG0000297	XP_038742259.1	XP_060397845.1
OG0000298	XP_038744362.1	XP_060397665.1
OG0000298	XP_038744539.1	XP_060397043.1
OG0000299	XP_038742623.1	XP_060397073.1
OG0000300	XP_038740498.1	XP_060397409.1
OG0000301	XP_038742257.1	XP_060397799.1
OG0000301	XP_038744119.1	XP_060399867.1
OG0000302	XP_038740551.1	XP_060397941.1
OG0000303	XP_038745749.1	XP_060403685.1
OG0000303	XP_038751643.1	XP_060398437.1
OG0000305	XP_038747745.1	XP_060398954.1
OG0000305	XP_038743034.1	XP_060405683.1
OG0000306	XP_038741815.1, XP_038740856.1	XP_060399233.1
OG0000307	XP_038741854.1	XP_060402160.1
OG0000308	XP_038747929.1, XP_038744340.1	XP_060399706.1
OG0000309	XP_038744202.1	XP_060399986.1
OG0000309	XP_038744252.1	XP_060399978.1
OG0000309	XP_038744203.1	XP_060399980.1
OG0000310	XP_038740809.1	XP_060403668.1, XP_060400739.1
OG0000310	XP_038740812.1, XP_038739303.1	XP_060402636.1
OG0000311	XP_038746509.1, XP_038750507.1	XP_060401065.1
OG0000312	XP_038741206.1	XP_060401323.1
OG0000312	XP_038749723.1	XP_060404432.1, XP_060404433.1
OG0000313	XP_038739435.1	XP_060402313.1
OG0000313	XP_038741209.1	XP_060401326.1
OG0000314	XP_038746299.1	XP_060402609.1
OG0000314	XP_038745433.1	XP_060401701.1
OG0000315	XP_038744023.1	XP_060405158.1
OG0000315	XP_038747429.1	XP_060402231.1
OG0000316	XP_038740133.1	XP_060403118.1
OG0000316	XP_038749935.1	XP_060403549.1
OG0000317	XP_038742763.1, XP_038745589.1	XP_060403469.1
OG0000318	XP_038742147.1	XP_060406555.1
OG0000318	XP_038749968.1	XP_060403527.1
OG0000319	XP_038743482.1	XP_060405923.1
OG0000319	XP_038750327.1	XP_060404837.1
OG0000322	XP_038748725.1, XP_038745224.1	XP_060406256.1
OG0000325	XP_038748218.1, XP_038742060.1	XP_060400015.1, XP_060389480.1, XP_060399481.1, XP_060402864.1
OG0000326	XP_038751529.1	XP_060404633.1, XP_060389490.1
OG0000327	XP_038741598.1	XP_060401273.1
OG0000327	XP_038751364.1	XP_060389544.1
OG0000328	XP_038742064.1	XP_060401438.1
OG0000329	XP_038748303.1	XP_060391418.1
OG0000329	XP_038751291.1	XP_060389645.1
OG0000330	XP_038746496.1	XP_060389843.1
OG0000330	XP_038740717.1	XP_060393547.1
OG0000331	XP_038742494.1	XP_060395123.1
OG0000331	XP_038740359.1	XP_060390048.1
OG0000332	XP_038743272.1	XP_060390110.1
OG0000332	XP_038746559.1	XP_060404295.1
OG0000335	XP_038745998.1	XP_060395656.1
OG0000335	XP_038740116.1	XP_060394683.1
OG0000336	XP_038741615.1	XP_060401287.1
OG0000337	XP_038741042.1	XP_060392384.1
OG0000337	XP_038741157.1	XP_060390926.1
OG0000338	XP_038749710.1	XP_060390977.1
OG0000338	XP_038740365.1	XP_060393109.1
OG0000339	XP_038740537.1	XP_060397443.1
OG0000339	XP_038744509.1	XP_060390998.1
OG0000340	XP_038741558.1	XP_060401459.1
OG0000340	XP_038744843.1	XP_060391057.1
OG0000341	XP_038743800.1	XP_060393009.1
OG0000341	XP_038739038.1	XP_060391225.1
OG0000342	XP_038746511.1, XP_038748783.1, XP_038748293.1	XP_060391411.1
OG0000343	XP_038740667.1	XP_060391533.1
OG0000344	XP_038748254.1	XP_060391573.1
OG0000344	XP_038744236.1	XP_060400001.1
