Orthogroup	Colletotrichum_karsti	Colletotrichum_gloeosporioides
OG0000051	XP_038739555.1	XP_045257839.1
OG0000051	XP_038740059.1	XP_045258153.1
OG0000052	XP_038738656.1	XP_045258316.1
OG0000052	XP_038738657.1	XP_045261537.1
OG0000054	XP_038740594.1	XP_045260351.1
OG0000055	XP_038750112.1	XP_045264937.1, XP_045262255.1
OG0000055	XP_038739230.1	XP_045260095.1
OG0000055	XP_038741589.1	XP_045270037.1
OG0000055	XP_038741699.1	XP_045257554.1
OG0000057	XP_038749116.1	XP_045263183.1, XP_045263077.1
OG0000057	XP_038738880.1	XP_045256760.1
OG0000057	XP_038742534.1	XP_045266969.1
OG0000057	XP_038744145.1	XP_045259997.1
OG0000058	XP_038751481.1	XP_045268364.1
OG0000058	XP_038741838.1	XP_045256704.1
OG0000059	XP_038748983.1	XP_045256241.1
OG0000059	XP_038744290.1	XP_045263662.1
OG0000064	XP_038741951.1	XP_045258881.1
OG0000064	XP_038748953.1	XP_045256286.1
OG0000064	XP_038750307.1	XP_045268075.1
OG0000065	XP_038744511.1	XP_045257234.1
OG0000065	XP_038742748.1	XP_045267666.1
OG0000066	XP_038749507.1	XP_045267106.1, XP_045263560.1, XP_045259039.1, XP_045257887.1
OG0000067	XP_038740481.1	XP_045269698.1, XP_045269697.1
OG0000067	XP_038749718.1	XP_045268954.1
OG0000067	XP_038751112.1	XP_045262418.1
OG0000069	XP_038740857.1	XP_045260314.1
OG0000069	XP_038740859.1	XP_045260130.1
OG0000069	XP_038740860.1	XP_045260129.1
OG0000070	XP_038740145.1	XP_045257325.1
OG0000070	XP_038745223.1	XP_045266006.1
OG0000070	XP_038747979.1	XP_045260902.1, XP_045268118.1
OG0000071	XP_038740653.1	XP_045271076.1
OG0000071	XP_038740201.1	XP_045257723.1
OG0000071	XP_038750986.1	XP_045257576.1
OG0000071	XP_038748109.1, XP_038739379.1	XP_045256765.1
OG0000072	XP_038743394.1	XP_045259157.1
OG0000072	XP_038743218.1	XP_045264153.1
OG0000073	XP_038743687.1	XP_045268969.1
OG0000073	XP_038743264.1	XP_045257575.1
OG0000073	XP_038742548.1	XP_045269220.1
OG0000074	XP_038738962.1	XP_045257444.1, XP_045267143.1
OG0000074	XP_038739372.1	XP_045267840.1
OG0000075	XP_038751168.1	XP_045262378.1
OG0000076	XP_038741037.1	XP_045268151.1
OG0000076	XP_038739795.1	XP_045259171.1
OG0000076	XP_038741889.1, XP_038747779.1	XP_045256734.1
OG0000077	XP_038746308.1	XP_045264585.1, XP_045269087.1
OG0000078	XP_038743161.1	XP_045264238.1
OG0000078	XP_038750812.1	XP_045259506.1
OG0000078	XP_038742590.1	XP_045257967.1
OG0000080	XP_038738858.1	XP_045256773.1
OG0000080	XP_038746709.1	XP_045258370.1
OG0000080	XP_038751018.1	XP_045257656.1
OG0000081	XP_038748232.1	XP_045270071.1
OG0000081	XP_038747984.1	XP_045259778.1
OG0000081	XP_038741010.1	XP_045256341.1
OG0000082	XP_038744232.1	XP_045263124.1
OG0000082	XP_038740928.1	XP_045264969.1
OG0000082	XP_038746901.1	XP_045267659.1
OG0000083	XP_038744246.1	XP_045259975.1
OG0000083	XP_038740672.1	XP_045264175.1, XP_045260673.1, XP_045260672.1, XP_045262964.1, XP_045262415.1
OG0000085	XP_038740897.1	XP_045260102.1
OG0000085	XP_038747830.1	XP_045256206.1
OG0000085	XP_038744429.1	XP_045258506.1
OG0000085	XP_038744428.1	XP_045258508.1
OG0000085	XP_038751259.1	XP_045258507.1
OG0000086	XP_038738655.1	XP_045261538.1, XP_045261539.1
OG0000088	XP_038741537.1	XP_045269909.1, XP_045269168.1, XP_045269906.1, XP_045269907.1
OG0000089	XP_038739171.1	XP_045264932.1
OG0000090	XP_038751256.1	XP_045266317.1
OG0000090	XP_038751721.1	XP_045268543.1
OG0000090	XP_038749487.1	XP_045262785.1
OG0000091	XP_038748252.1	XP_045270047.1
OG0000091	XP_038745426.1	XP_045260867.1
OG0000091	XP_038747421.1	XP_045263820.1
OG0000092	XP_038740723.1	XP_045261208.1, XP_045260979.1, XP_045263911.1, XP_045263912.1, XP_045263913.1
OG0000093	XP_038745039.1	XP_045270880.1
OG0000093	XP_038748964.1	XP_045262929.1, XP_045256273.1
OG0000094	XP_038745580.1	XP_045260730.1
OG0000094	XP_038747342.1	XP_045263904.1
OG0000094	XP_038742532.1	XP_045266902.1
OG0000095	XP_038750878.1, XP_038747813.1	XP_045270992.1
OG0000095	XP_038741429.1	XP_045261234.1
OG0000095	XP_038748346.1	XP_045261698.1
OG0000097	XP_038742869.1	XP_045266067.1
OG0000097	XP_038748302.1	XP_045270122.1
OG0000097	XP_038741979.1	XP_045258858.1
OG0000098	XP_038751718.1	XP_045268539.1
OG0000098	XP_038748852.1	XP_045256500.1
OG0000098	XP_038743981.1	XP_045265565.1, XP_045258279.1
OG0000099	XP_038751689.1	XP_045267038.1
OG0000099	XP_038744174.1	XP_045266982.1
OG0000100	XP_038750308.1	XP_045268076.1
OG0000100	XP_038739203.1	XP_045264880.1
OG0000100	XP_038748325.1	XP_045270148.1
OG0000101	XP_038742730.1	XP_045260937.1
OG0000101	XP_038744517.1	XP_045266505.1
OG0000101	XP_038747621.1	XP_045270973.1
OG0000102	XP_038747623.1	XP_045270965.1
OG0000102	XP_038741620.1	XP_045268634.1
OG0000102	XP_038740089.1	XP_045258108.1
OG0000103	XP_038750902.1	XP_045268470.1, XP_045261783.1
OG0000103	XP_038748963.1	XP_045256274.1
OG0000104	XP_038746213.1	XP_045265053.1, XP_045265054.1
OG0000104	XP_038740930.1	XP_045264965.1
OG0000105	XP_038746459.1	XP_045263970.1
OG0000105	XP_038738705.1	XP_045265094.1
OG0000107	XP_038740631.1	XP_045265824.1
OG0000108	XP_038744051.1	XP_045271295.1
OG0000108	XP_038743418.1	XP_045258312.1
OG0000109	XP_038738946.1	XP_045258955.1
OG0000110	XP_038748627.1	XP_045265803.1
OG0000110	XP_038749526.1	XP_045259615.1
OG0000110	XP_038747759.1, XP_038741778.1	XP_045263020.1
OG0000111	XP_038748174.1	XP_045269982.1
OG0000111	XP_038750864.1	XP_045270634.1
OG0000112	XP_038740382.1	XP_045257198.1
OG0000112	XP_038740557.1	XP_045268848.1
OG0000112	XP_038749524.1	XP_045259620.1
OG0000113	XP_038739961.1	XP_045258581.1
OG0000113	XP_038746085.1	XP_045260170.1
OG0000113	XP_038741048.1	XP_045256573.1
OG0000114	XP_038744642.1	XP_045264514.1
OG0000114	XP_038748159.1	XP_045257786.1, XP_045269964.1
OG0000115	XP_038751602.1	XP_045268406.1
OG0000120	XP_038747307.1	XP_045267818.1
OG0000121	XP_038746143.1	XP_045271258.1
OG0000121	XP_038739237.1	XP_045264842.1
OG0000122	XP_038741719.1	XP_045270217.1
OG0000124	XP_038742694.1	XP_045267431.1, XP_045271175.1, XP_045267432.1
OG0000125	XP_038750384.1	XP_045268190.1
OG0000125	XP_038741937.1	XP_045258904.1
OG0000125	XP_038741419.1	XP_045261245.1
OG0000126	XP_038746236.1	XP_045265909.1
OG0000126	XP_038749121.1, XP_038749122.1	XP_045267608.1, XP_045263448.1
OG0000127	XP_038748761.1	XP_045262511.1
OG0000127	XP_038745992.1	XP_045271343.1
OG0000128	XP_038742142.1	XP_045266852.1
OG0000128	XP_038747675.1	XP_045270848.1
OG0000129	XP_038749923.1	XP_045265942.1
OG0000129	XP_038746452.1	XP_045267846.1, XP_045263385.1
OG0000131	XP_038740696.1	XP_045257750.1
OG0000132	XP_038741408.1	XP_045267108.1, XP_045269568.1, XP_045266427.1, XP_045268660.1, XP_045268138.1, XP_045264038.1
OG0000133	XP_038742937.1	XP_045265190.1
OG0000133	XP_038741362.1	XP_045264158.1
OG0000138	XP_038749040.1	XP_045266374.1
OG0000138	XP_038743077.1	XP_045264335.1
OG0000138	XP_038744074.1	XP_045260029.1
OG0000139	XP_038748311.1	XP_045270128.1
OG0000140	XP_038741762.1	XP_045259405.1
OG0000140	XP_038744937.1	XP_045265504.1
OG0000142	XP_038746290.1	XP_045269779.1
OG0000142	XP_038745994.1	XP_045271348.1
OG0000142	XP_038739464.1	XP_045262179.1
OG0000143	XP_038742306.1	XP_045265074.1
OG0000143	XP_038739238.1	XP_045264840.1
OG0000144	XP_038749918.1	XP_045265947.1
OG0000144	XP_038747213.1, XP_038740746.1	XP_045262464.1
OG0000145	XP_038749178.1	XP_045262875.1
OG0000145	XP_038749898.1	XP_045261174.1, XP_045258128.1
OG0000147	XP_038744544.1	XP_045266544.1
OG0000147	XP_038747791.1	XP_045271008.1
OG0000147	XP_038745855.1	XP_045269205.1
OG0000148	XP_038744702.1	XP_045259911.1
OG0000148	XP_038746479.1	XP_045263425.1
OG0000149	XP_038744469.1	XP_045263373.1
OG0000149	XP_038742068.1	XP_045265423.1, XP_045267475.1, XP_045268809.1
OG0000150	XP_038740497.1	XP_045260460.1
OG0000151	XP_038746533.1	XP_045263530.1
OG0000151	XP_038739313.1	XP_045267237.1, XP_045263523.1
OG0000154	XP_038739316.1	XP_045267240.1
OG0000154	XP_038746585.1	XP_045258497.1
OG0000154	XP_038751114.1	XP_045262413.1
OG0000155	XP_038748080.1	XP_045261260.1, XP_045260166.1
OG0000156	XP_038748618.1	XP_045265793.1
OG0000156	XP_038746874.1	XP_045267623.1
OG0000156	XP_038740509.1	XP_045260444.1
OG0000158	XP_038742332.1	XP_045260524.1
OG0000158	XP_038741442.1	XP_045261225.1
OG0000159	XP_038750911.1	XP_045261793.1
OG0000159	XP_038747659.1	XP_045258502.1, XP_045261060.1
OG0000160	XP_038739928.1	XP_045259057.1
OG0000160	XP_038750954.1	XP_045265070.1, XP_045256694.1
OG0000161	XP_038745894.1	XP_045262216.1
OG0000161	XP_038750617.1	XP_045270352.1
OG0000162	XP_038746043.1	XP_045261732.1
OG0000162	XP_038746951.1	XP_045267737.1
OG0000163	XP_038742288.1	XP_045264751.1
OG0000164	XP_038751150.1	XP_045262404.1
OG0000164	XP_038748207.1	XP_045270027.1
OG0000166	XP_038749581.1	XP_045268995.1
OG0000166	XP_038749579.1	XP_045268991.1, XP_045268994.1, XP_045268993.1, XP_045268992.1, XP_045268990.1
OG0000169	XP_038748846.1	XP_045256494.1
OG0000170	XP_038740584.1	XP_045262940.1, XP_045265064.1
OG0000171	XP_038739674.1	XP_045269583.1
OG0000171	XP_038745850.1	XP_045257390.1
OG0000172	XP_038751888.1	XP_045266696.1
OG0000172	XP_038748619.1	XP_045265794.1
OG0000174	XP_038740605.1	XP_045271027.1
OG0000174	XP_038749826.1	XP_045266193.1
OG0000175	XP_038748259.1	XP_045270053.1
OG0000176	XP_038739056.1	XP_045265727.1
OG0000178	XP_038740415.1	XP_045257121.1
OG0000178	XP_038748052.1	XP_045266671.1
OG0000179	XP_038740070.1	XP_045256912.1
OG0000179	XP_038750081.1	XP_045268759.1
OG0000179	XP_038743226.1	XP_045264144.1
OG0000180	XP_038740525.1	XP_045260430.1
OG0000180	XP_038741945.1	XP_045258894.1
OG0000180	XP_038748217.1	XP_045270077.1
OG0000181	XP_038744182.1	XP_045263177.1
OG0000181	XP_038743700.1	XP_045259217.1
OG0000182	XP_038738759.1	XP_045267052.1
OG0000182	XP_038744740.1	XP_045259868.1
OG0000185	XP_038750433.1	XP_045263630.1
OG0000186	XP_038745854.1	XP_045269206.1
OG0000186	XP_038744178.1	XP_045263180.1
OG0000187	XP_038747911.1	XP_045256990.1
OG0000187	XP_038743693.1	XP_045256994.1, XP_045266151.1
OG0000187	XP_038746896.1	XP_045260084.1
OG0000188	XP_038739581.1	XP_045259714.1
OG0000188	XP_038740418.1	XP_045257131.1
OG0000188	XP_038747325.1	XP_045267833.1
OG0000190	XP_038750331.1	XP_045268117.1
OG0000190	XP_038749956.1	XP_045271077.1
OG0000190	XP_038741334.1	XP_045261350.1
OG0000191	XP_038741986.1	XP_045258970.1, XP_045267767.1, XP_045266389.1, XP_045258908.1
OG0000192	XP_038746963.1	XP_045259379.1, XP_045267032.1
OG0000196	XP_038745731.1	XP_045269336.1
OG0000198	XP_038749063.1	XP_045266461.1
OG0000198	XP_038743374.1	XP_045270186.1
OG0000199	XP_038740947.1	XP_045264927.1
OG0000199	XP_038748546.1	XP_045267696.1
OG0000199	XP_038742483.1	XP_045268026.1
OG0000200	XP_038745596.1	XP_045269788.1
OG0000201	XP_038740041.1	XP_045258175.1
OG0000202	XP_038740270.1	XP_045269319.1
OG0000203	XP_038747845.1	XP_045269011.1
OG0000203	XP_038750036.1	XP_045256864.1
OG0000205	XP_038744878.1	XP_045267125.1
OG0000207	XP_038744179.1	XP_045263179.1
OG0000207	XP_038749111.1	XP_045266407.1
OG0000209	XP_038745830.1	XP_045269236.1
OG0000209	XP_038745834.1	XP_045269233.1
OG0000209	XP_038745831.1	XP_045269243.1
OG0000209	XP_038745833.1	XP_045269237.1, XP_045269244.1
OG0000211	XP_038747828.1	XP_045257705.1
OG0000212	XP_038749518.1	XP_045259625.1
OG0000212	XP_038749934.1	XP_045261155.1
OG0000213	XP_038751149.1	XP_045261105.1
OG0000214	XP_038748335.1	XP_045261715.1
OG0000214	XP_038740737.1	XP_045263186.1
OG0000214	XP_038743992.1	XP_045271149.1
OG0000216	XP_038744948.1	XP_045259148.1, XP_045265479.1
OG0000216	XP_038746295.1	XP_045269769.1
OG0000217	XP_038742706.1, XP_038745186.1, XP_038749127.1, XP_038740580.1	XP_045260327.1
OG0000218	XP_038751309.1	XP_045265810.1
OG0000218	XP_038746850.1	XP_045269449.1
OG0000219	XP_038748162.1	XP_045269967.1
OG0000219	XP_038740393.1	XP_045269435.1
OG0000220	XP_038739337.1	XP_045267270.1
OG0000220	XP_038746386.1	XP_045269671.1
OG0000221	XP_038745620.1	XP_045257181.1
OG0000222	XP_038747147.1	XP_045258772.1
OG0000222	XP_038745825.1	XP_045269245.1
OG0000223	XP_038745632.1, XP_038747720.1, XP_038747932.1, XP_038746964.1	XP_045268002.1
OG0000224	XP_038750814.1	XP_045270683.1, XP_045267246.1, XP_045269182.1
OG0000225	XP_038750053.1	XP_045262317.1
OG0000225	XP_038743690.1	XP_045268958.1
OG0000227	XP_038740801.1	XP_045259003.1
OG0000227	XP_038749601.1	XP_045269037.1
OG0000228	XP_038745837.1	XP_045269231.1
OG0000228	XP_038743204.1	XP_045264164.1
OG0000229	XP_038743729.1	XP_045259222.1
OG0000229	XP_038743991.1	XP_045271148.1
OG0000230	XP_038751223.1	XP_045267066.1, XP_045271177.1
OG0000231	XP_038742554.1	XP_045266990.1
OG0000231	XP_038750324.1	XP_045268102.1
OG0000232	XP_038742518.1	XP_045266910.1
OG0000233	XP_038741520.1	XP_045270081.1, XP_045262961.1, XP_045267582.1
OG0000234	XP_038744594.1	XP_045266609.1
OG0000234	XP_038741958.1	XP_045258872.1
OG0000235	XP_038742153.1	XP_045259464.1
OG0000235	XP_038744622.1	XP_045266345.1
OG0000236	XP_038745538.1	XP_045260760.1
OG0000237	XP_038750090.1	XP_045262285.1
OG0000237	XP_038738658.1	XP_045262107.1
OG0000237	XP_038741384.1, XP_038740908.1	XP_045264988.1
OG0000238	XP_038749081.1	XP_045266441.1
OG0000238	XP_038749080.1, XP_038749082.1	XP_045266439.1, XP_045266440.1
OG0000239	XP_038747819.1	XP_045270980.1
OG0000239	XP_038751722.1	XP_045268542.1
OG0000241	XP_038750100.1	XP_045261343.1
OG0000242	XP_038749658.1	XP_045269075.1
OG0000242	XP_038739178.1	XP_045261307.1
OG0000242	XP_038746289.1	XP_045269778.1
OG0000244	XP_038743945.1	XP_045267416.1
OG0000248	XP_038751618.1	XP_045268442.1
OG0000249	XP_038745808.1	XP_045269262.1
OG0000250	XP_038744675.1	XP_045264556.1
OG0000250	XP_038741258.1	XP_045268745.1
OG0000251	XP_038743852.1	XP_045264704.1
OG0000251	XP_038747326.1	XP_045267832.1
OG0000252	XP_038740198.1	XP_045257720.1
OG0000253	XP_038745829.1	XP_045269240.1
OG0000253	XP_038745378.1	XP_045260923.1
OG0000254	XP_038740217.1	XP_045260903.1, XP_045257744.1
OG0000255	XP_038743058.1	XP_045265311.1
OG0000255	XP_038748469.1	XP_045264054.1
OG0000256	XP_038741499.1	XP_045267556.1
OG0000256	XP_038749324.1	XP_045262627.1
OG0000257	XP_038747913.1	XP_045256987.1
OG0000258	XP_038742745.1	XP_045260962.1
OG0000258	XP_038748228.1	XP_045270075.1
OG0000259	XP_038740103.1	XP_045258115.1
OG0000259	XP_038749549.1	XP_045259585.1
OG0000260	XP_038741591.1	XP_045257559.1
OG0000260	XP_038749530.1	XP_045259612.1
OG0000261	XP_038748993.1, XP_038746275.1, XP_038748340.1, XP_038748992.1	XP_045262502.1, XP_045262345.1
OG0000262	XP_038740387.1	XP_045257191.1
OG0000262	XP_038739923.1	XP_045259071.1
OG0000263	XP_038741063.1	XP_045261365.1
OG0000263	XP_038748794.1	XP_045256441.1
OG0000265	XP_038741953.1	XP_045258879.1
OG0000265	XP_038745344.1	XP_045267620.1
OG0000266	XP_038741978.1	XP_045258833.1
OG0000266	XP_038747346.1	XP_045263908.1
OG0000267	XP_038739940.1, XP_038739362.1	XP_045259651.1
OG0000267	XP_038745984.1	XP_045271379.1
OG0000268	XP_038739208.1	XP_045264859.1
OG0000268	XP_038747178.1	XP_045259767.1
OG0000269	XP_038744978.1, XP_038740014.1	XP_045259633.1, XP_045265385.1
OG0000270	XP_038739100.1	XP_045261902.1
OG0000270	XP_038747193.1	XP_045258721.1
OG0000271	XP_038748280.1	XP_045265205.1, XP_045270089.1, XP_045268596.1
OG0000272	XP_038747341.1	XP_045263903.1
OG0000272	XP_038741356.1	XP_045265418.1, XP_045263038.1
OG0000273	XP_038743692.1	XP_045268955.1
OG0000273	XP_038750155.1	XP_045262274.1
OG0000274	XP_038749600.1	XP_045269038.1
OG0000275	XP_038739186.1, XP_038739193.1	XP_045263496.1
OG0000276	XP_038743135.1	XP_045264269.1
OG0000276	XP_038746575.1	XP_045263314.1
OG0000277	XP_038743198.1	XP_045264186.1
OG0000277	XP_038741851.1	XP_045258022.1
OG0000278	XP_038749917.1	XP_045265946.1
OG0000278	XP_038747825.1	XP_045257530.1
OG0000279	XP_038742788.1	XP_045261008.1
OG0000279	XP_038747905.1	XP_045269208.1
OG0000280	XP_038745073.1	XP_045265584.1
OG0000280	XP_038740062.1	XP_045258151.1
OG0000281	XP_038750777.1	XP_045270549.1
OG0000281	XP_038740083.1	XP_045258084.1
OG0000283	XP_038743653.1	XP_045268918.1
OG0000283	XP_038750618.1	XP_045270351.1
OG0000284	XP_038747793.1	XP_045271004.1
OG0000284	XP_038750111.1	XP_045262266.1
OG0000285	XP_038743736.1	XP_045259247.1
OG0000285	XP_038743389.1	XP_045259158.1
OG0000286	XP_038743331.1	XP_045256809.1
OG0000287	XP_038738765.1	XP_045267010.1
OG0000287	XP_038744287.1	XP_045263659.1
OG0000288	XP_038744141.1, XP_038747503.1	XP_045263749.1
OG0000288	XP_038739383.1, XP_038739839.1, XP_038745832.1	XP_045264512.1
OG0000290	XP_038747812.1	XP_045270993.1
OG0000290	XP_038741430.1	XP_045261233.1
OG0000291	XP_038746429.1	XP_045269623.1
OG0000291	XP_038747264.1	XP_045258649.1
OG0000292	XP_038743949.1	XP_045264596.1
OG0000292	XP_038741984.1, XP_038743834.1	XP_045264899.1
OG0000293	XP_038740763.1	XP_045257803.1
OG0000293	XP_038746144.1	XP_045271256.1
OG0000294	XP_038743322.1	XP_045270216.1
OG0000294	XP_038749516.1	XP_045259628.1
OG0000295	XP_038745345.1	XP_045257658.1
OG0000296	XP_038738702.1, XP_038742378.1	XP_045257551.1
OG0000296	XP_038742258.1	XP_045264773.1
OG0000297	XP_038738944.1	XP_045270587.1
OG0000297	XP_038742259.1	XP_045264772.1
OG0000298	XP_038744362.1	XP_045263543.1
OG0000298	XP_038744539.1	XP_045266526.1
OG0000299	XP_038749892.1	XP_045261213.1, XP_045261219.1
