Orthogroup	Colletotrichum_karsti	Colletotrichum_acutatum
OG0000090	XP_038751721.1	XP_060364741.1
OG0000090	XP_038749487.1	XP_060370927.1
OG0000091	XP_038748252.1	XP_060363656.1
OG0000091	XP_038745426.1	XP_060365306.1
OG0000093	XP_038745039.1	XP_060367066.1
OG0000094	XP_038745580.1	XP_060368526.1
OG0000094	XP_038742532.1	XP_060359455.1
OG0000095	XP_038750878.1, XP_038747813.1	XP_060357051.1
OG0000097	XP_038742869.1	XP_060366839.1
OG0000097	XP_038741979.1	XP_060357941.1
OG0000097	XP_038742715.1	XP_060361781.1
OG0000098	XP_038751718.1	XP_060364910.1
OG0000098	XP_038748852.1	XP_060361123.1
OG0000098	XP_038743981.1	XP_060361825.1
OG0000099	XP_038744464.1	XP_060368012.1
OG0000100	XP_038750308.1	XP_060358595.1
OG0000100	XP_038739203.1	XP_060363206.1
OG0000100	XP_038748325.1	XP_060370122.1
OG0000101	XP_038742730.1	XP_060358948.1
OG0000101	XP_038744517.1	XP_060367966.1
OG0000101	XP_038747621.1	XP_060361545.1
OG0000102	XP_038747623.1	XP_060361542.1
OG0000102	XP_038741620.1	XP_060358264.1
OG0000102	XP_038740089.1	XP_060368296.1
OG0000104	XP_038746213.1	XP_060366843.1
OG0000104	XP_038740930.1	XP_060366898.1
OG0000105	XP_038746459.1	XP_060365629.1
OG0000105	XP_038738705.1	XP_060361641.1
OG0000108	XP_038744051.1	XP_060364184.1
OG0000109	XP_038738946.1	XP_060357049.1
OG0000110	XP_038748627.1	XP_060369371.1
OG0000110	XP_038747759.1, XP_038741778.1	XP_060363003.1
OG0000111	XP_038748174.1	XP_060363622.1
OG0000111	XP_038750864.1	XP_060369096.1
OG0000112	XP_038740382.1	XP_060362788.1
OG0000112	XP_038740557.1	XP_060364922.1
OG0000112	XP_038749524.1	XP_060358243.1
OG0000113	XP_038739961.1	XP_060363845.1
OG0000113	XP_038746085.1	XP_060362635.1
OG0000113	XP_038741048.1	XP_060366156.1
OG0000114	XP_038744642.1	XP_060364301.1
OG0000114	XP_038748159.1	XP_060363351.1
OG0000115	XP_038751602.1	XP_060371167.1
OG0000120	XP_038747307.1	XP_060359204.1
OG0000121	XP_038746143.1	XP_060357311.1
OG0000122	XP_038741719.1	XP_060357740.1
OG0000123	XP_038748221.1	XP_060357123.1
OG0000124	XP_038742694.1	XP_060357414.1, XP_060357416.1, XP_060357415.1
OG0000125	XP_038750384.1	XP_060365412.1
OG0000125	XP_038741937.1	XP_060360055.1
OG0000126	XP_038746236.1	XP_060362056.1
OG0000126	XP_038749121.1, XP_038749122.1	XP_060366712.1
OG0000127	XP_038748761.1	XP_060361903.1
OG0000127	XP_038745992.1	XP_060360754.1
OG0000128	XP_038742142.1	XP_060369786.1
OG0000128	XP_038747675.1	XP_060359925.1
OG0000129	XP_038749923.1	XP_060358700.1
OG0000129	XP_038746452.1	XP_060358844.1
OG0000131	XP_038740696.1	XP_060359611.1
OG0000132	XP_038741408.1	XP_060360166.1
OG0000133	XP_038742937.1, XP_038741362.1	XP_060361960.1
OG0000136	XP_038740219.1	XP_060359727.1
OG0000138	XP_038749040.1	XP_060360416.1
OG0000138	XP_038743077.1, XP_038744074.1	XP_060363533.1
OG0000139	XP_038748311.1	XP_060360428.1
OG0000140	XP_038741762.1, XP_038744937.1, XP_038749857.1	XP_060360421.1
OG0000142	XP_038746290.1	XP_060357578.1
OG0000142	XP_038739464.1	XP_060365800.1
OG0000143	XP_038742306.1	XP_060359781.1
OG0000143	XP_038739238.1	XP_060362641.1
OG0000144	XP_038749918.1	XP_060362612.1, XP_060370058.1
OG0000144	XP_038747213.1	XP_060359655.1
OG0000144	XP_038740746.1	XP_060361625.1
OG0000145	XP_038749178.1	XP_060364035.1
OG0000145	XP_038749898.1	XP_060364945.1
OG0000147	XP_038744544.1	XP_060362098.1
OG0000147	XP_038747791.1, XP_038745855.1	XP_060366094.1
OG0000148	XP_038744702.1	XP_060362224.1
OG0000148	XP_038746479.1	XP_060358483.1
OG0000149	XP_038744469.1, XP_038742068.1	XP_060364872.1
OG0000150	XP_038740497.1	XP_060364878.1
OG0000151	XP_038739313.1	XP_060366703.1
OG0000152	XP_038741533.1	XP_060363946.1
OG0000152	XP_038741787.1	XP_060360107.1
OG0000154	XP_038739316.1	XP_060365257.1
OG0000154	XP_038751114.1	XP_060362133.1
OG0000155	XP_038748080.1	XP_060360090.1
OG0000156	XP_038748618.1	XP_060369356.1
OG0000156	XP_038746874.1, XP_038740509.1	XP_060358281.1
OG0000159	XP_038750911.1	XP_060357868.1
OG0000159	XP_038747659.1	XP_060357869.1
OG0000160	XP_038750954.1	XP_060368549.1
OG0000161	XP_038745894.1	XP_060363988.1
OG0000161	XP_038750617.1	XP_060370351.1
OG0000162	XP_038746043.1	XP_060358467.1
OG0000162	XP_038746951.1	XP_060359718.1
OG0000163	XP_038741373.1, XP_038741374.1, XP_038751950.1	XP_060369676.1
OG0000163	XP_038745369.1, XP_038742288.1, XP_038751612.1, XP_038745607.1	XP_060364541.1
OG0000169	XP_038748846.1	XP_060361129.1
OG0000170	XP_038740584.1	XP_060361746.1, XP_060363471.1, XP_060362435.1
OG0000171	XP_038750052.1	XP_060360139.1
OG0000172	XP_038751888.1	XP_060360212.1
OG0000172	XP_038748619.1	XP_060367126.1, XP_060369355.1
OG0000174	XP_038740605.1	XP_060359897.1
OG0000174	XP_038749826.1	XP_060362841.1
OG0000175	XP_038748259.1	XP_060363664.1
OG0000178	XP_038740415.1	XP_060362745.1
OG0000178	XP_038748052.1	XP_060360498.1
OG0000179	XP_038750081.1	XP_060363528.1
OG0000179	XP_038743226.1	XP_060359805.1
OG0000180	XP_038740525.1	XP_060366993.1
OG0000180	XP_038741945.1, XP_038748217.1	XP_060362643.1
OG0000181	XP_038744182.1	XP_060358425.1
OG0000181	XP_038743700.1	XP_060357593.1, XP_060361614.1
OG0000182	XP_038738759.1	XP_060360546.1
OG0000182	XP_038744740.1	XP_060362182.1
OG0000185	XP_038750433.1	XP_060360958.1
OG0000186	XP_038745854.1	XP_060366093.1
OG0000186	XP_038744178.1	XP_060358429.1
OG0000187	XP_038746896.1	XP_060371822.1
OG0000188	XP_038739581.1	XP_060368166.1
OG0000190	XP_038750331.1, XP_038749956.1, XP_038741334.1	XP_060361700.1
OG0000196	XP_038745731.1	XP_060366061.1
OG0000198	XP_038749063.1	XP_060367855.1
OG0000198	XP_038743374.1	XP_060368419.1
OG0000199	XP_038740947.1	XP_060363172.1
OG0000199	XP_038742483.1	XP_060363152.1
OG0000200	XP_038749054.1, XP_038750872.1	XP_060362041.1
OG0000201	XP_038740041.1	XP_060368349.1
OG0000202	XP_038745747.1	XP_060367503.1
OG0000202	XP_038740270.1	XP_060369685.1
OG0000203	XP_038750085.1	XP_060364359.1
OG0000204	XP_038747836.1, XP_038743235.1, XP_038747837.1	XP_060358442.1
OG0000204	XP_038743222.1	XP_060362596.1
OG0000205	XP_038744878.1	XP_060360578.1
OG0000207	XP_038744179.1	XP_060358428.1
OG0000207	XP_038749111.1	XP_060367926.1
OG0000209	XP_038745830.1, XP_038745834.1, XP_038745831.1, XP_038745833.1	XP_060366044.1
OG0000211	XP_038747828.1	XP_060359069.1, XP_060359351.1, XP_060362977.1, XP_060359068.1
OG0000212	XP_038749518.1	XP_060358249.1
OG0000212	XP_038749934.1	XP_060364445.1
OG0000213	XP_038751149.1	XP_060358624.1
OG0000214	XP_038748335.1, XP_038740737.1, XP_038743992.1	XP_060363289.1
OG0000216	XP_038744948.1	XP_060369616.1
OG0000217	XP_038743269.1	XP_060357600.1
OG0000217	XP_038742706.1, XP_038745186.1, XP_038749127.1, XP_038740580.1	XP_060357602.1
OG0000218	XP_038751309.1, XP_038746850.1	XP_060361736.1
OG0000219	XP_038748162.1, XP_038746176.1, XP_038743334.1, XP_038742192.1, XP_038746177.1, XP_038740393.1	XP_060357096.1
OG0000220	XP_038739337.1	XP_060358749.1
OG0000220	XP_038746386.1	XP_060359674.1
OG0000221	XP_038745620.1, XP_038750411.1, XP_038745619.1, XP_038740447.1	XP_060362794.1
OG0000222	XP_038747147.1	XP_060370685.1
OG0000222	XP_038745825.1	XP_060366038.1
OG0000223	XP_038746964.1	XP_060369157.1
OG0000224	XP_038750814.1	XP_060369154.1
OG0000225	XP_038750053.1	XP_060360128.1
OG0000225	XP_038743690.1	XP_060361922.1
OG0000227	XP_038740801.1	XP_060365062.1
OG0000227	XP_038749601.1	XP_060363717.1
OG0000228	XP_038745837.1	XP_060366081.1
OG0000228	XP_038743204.1	XP_060361251.1
OG0000229	XP_038743729.1	XP_060357611.1
OG0000229	XP_038743991.1	XP_060358969.1
OG0000231	XP_038742554.1	XP_060361058.1
OG0000231	XP_038750324.1	XP_060361707.1
OG0000232	XP_038742518.1	XP_060361107.1
OG0000233	XP_038741520.1	XP_060359928.1
OG0000234	XP_038741958.1	XP_060357028.1
OG0000235	XP_038742153.1	XP_060369692.1
OG0000235	XP_038744622.1	XP_060363388.1
OG0000236	XP_038745538.1	XP_060368482.1
OG0000237	XP_038750090.1	XP_060357712.1
OG0000238	XP_038749081.1	XP_060367882.1
OG0000238	XP_038749080.1, XP_038749082.1	XP_060367881.1
OG0000239	XP_038747819.1	XP_060361560.1
OG0000239	XP_038751722.1	XP_060364740.1
OG0000241	XP_038750100.1	XP_060359071.1, XP_060359353.1
OG0000242	XP_038749658.1, XP_038739178.1, XP_038746289.1	XP_060357579.1
OG0000244	XP_038743945.1, XP_038741606.1	XP_060367729.1
OG0000248	XP_038751618.1	XP_060357237.1, XP_060371211.1
OG0000249	XP_038745808.1	XP_060368594.1
OG0000250	XP_038744675.1	XP_060364343.1
OG0000250	XP_038741258.1	XP_060364974.1
OG0000251	XP_038743852.1	XP_060359182.1
OG0000252	XP_038740198.1	XP_060357536.1
OG0000252	XP_038748933.1	XP_060371698.1
OG0000252	XP_038742148.1	XP_060360916.1
OG0000253	XP_038745829.1	XP_060366042.1
OG0000253	XP_038745378.1	XP_060365372.1
OG0000254	XP_038740217.1	XP_060359659.1
OG0000254	XP_038749706.1	XP_060358340.1
OG0000255	XP_038743058.1	XP_060364793.1
OG0000255	XP_038748469.1	XP_060366772.1
OG0000256	XP_038741499.1	XP_060363899.1
OG0000256	XP_038749324.1	XP_060370761.1
OG0000257	XP_038747913.1	XP_060364578.1
OG0000257	XP_038748264.1	XP_060363669.1
OG0000258	XP_038742745.1	XP_060365066.1
OG0000258	XP_038748228.1	XP_060363633.1
OG0000259	XP_038740103.1	XP_060368279.1
OG0000259	XP_038749549.1	XP_060357412.1
OG0000260	XP_038741591.1, XP_038749530.1	XP_060357639.1
OG0000261	XP_038748993.1, XP_038746275.1, XP_038748340.1, XP_038748992.1	XP_060368122.1
OG0000262	XP_038740387.1	XP_060362778.1
OG0000262	XP_038739923.1	XP_060365579.1
OG0000263	XP_038741063.1	XP_060370143.1
OG0000263	XP_038748794.1	XP_060371628.1
OG0000265	XP_038741953.1	XP_060366490.1
OG0000265	XP_038745344.1	XP_060364218.1
OG0000266	XP_038741978.1	XP_060366479.1
OG0000267	XP_038739940.1, XP_038739362.1	XP_060363869.1
OG0000267	XP_038745984.1	XP_060365757.1
OG0000268	XP_038739208.1	XP_060362665.1
OG0000268	XP_038747178.1	XP_060363887.1
OG0000269	XP_038744978.1, XP_038740014.1	XP_060368056.1, XP_060364363.1
OG0000270	XP_038739100.1	XP_060357063.1
OG0000270	XP_038747193.1	XP_060370727.1
OG0000272	XP_038741356.1	XP_060365944.1
OG0000273	XP_038743692.1	XP_060357378.1
OG0000273	XP_038750155.1	XP_060361471.1
OG0000274	XP_038743417.1	XP_060360271.1
OG0000274	XP_038749600.1	XP_060363716.1
OG0000275	XP_038739186.1, XP_038739193.1	XP_060372031.1
OG0000276	XP_038743135.1	XP_060360891.1
OG0000276	XP_038746575.1	XP_060364233.1
OG0000277	XP_038743198.1	XP_060361242.1
OG0000277	XP_038741851.1	XP_060358926.1
OG0000278	XP_038749917.1	XP_060370057.1
OG0000278	XP_038747825.1	XP_060359110.1
OG0000279	XP_038742788.1	XP_060365027.1
OG0000279	XP_038747905.1	XP_060368533.1
OG0000280	XP_038745073.1	XP_060371287.1
OG0000280	XP_038740062.1	XP_060368324.1
OG0000281	XP_038750777.1	XP_060364893.1
OG0000281	XP_038740083.1	XP_060368305.1
OG0000283	XP_038743653.1	XP_060361588.1
OG0000283	XP_038750618.1	XP_060370352.1
OG0000284	XP_038747793.1	XP_060361513.1
OG0000284	XP_038750111.1	XP_060361609.1
OG0000285	XP_038743736.1	XP_060357923.1
OG0000285	XP_038743389.1	XP_060360719.1
OG0000287	XP_038738765.1	XP_060359450.1
OG0000287	XP_038744287.1	XP_060360998.1
OG0000288	XP_038744141.1, XP_038747503.1, XP_038739383.1, XP_038739839.1, XP_038745832.1	XP_060360584.1
OG0000290	XP_038747812.1	XP_060357052.1
OG0000291	XP_038746429.1	XP_060365514.1
OG0000291	XP_038747264.1	XP_060367246.1
OG0000292	XP_038743949.1	XP_060367745.1
OG0000292	XP_038741984.1, XP_038743834.1	XP_060357581.1
OG0000293	XP_038740763.1	XP_060359081.1
OG0000293	XP_038746144.1	XP_060357313.1
OG0000294	XP_038743322.1	XP_060357849.1
OG0000294	XP_038749516.1	XP_060358252.1
OG0000295	XP_038743430.1, XP_038745345.1, XP_038746300.1	XP_060368405.1
OG0000296	XP_038738702.1, XP_038742378.1, XP_038742258.1	XP_060368506.1
OG0000297	XP_038738944.1	XP_060369904.1
OG0000297	XP_038742259.1	XP_060367138.1
OG0000298	XP_038744362.1	XP_060366694.1
OG0000298	XP_038744539.1	XP_060357384.1
OG0000299	XP_038742623.1	XP_060367968.1
OG0000300	XP_038740498.1	XP_060364877.1
OG0000301	XP_038742257.1	XP_060367178.1
OG0000301	XP_038744119.1	XP_060358535.1
OG0000302	XP_038740551.1	XP_060363817.1
OG0000303	XP_038745749.1	XP_060368739.1
OG0000303	XP_038751643.1	XP_060371171.1
OG0000304	XP_038747059.1	XP_060357208.1
OG0000304	XP_038748917.1	XP_060359912.1
OG0000305	XP_038747745.1	XP_060357976.1
OG0000305	XP_038743034.1	XP_060364821.1
OG0000306	XP_038741815.1, XP_038740856.1	XP_060365992.1
OG0000307	XP_038741854.1	XP_060358890.1
OG0000308	XP_038747929.1, XP_038744340.1	XP_060364562.1
OG0000309	XP_038744202.1	XP_060358305.1
OG0000309	XP_038744252.1	XP_060358296.1
OG0000309	XP_038744203.1	XP_060358298.1
OG0000310	XP_038740812.1, XP_038739303.1	XP_060358326.1
OG0000311	XP_038746509.1, XP_038750507.1	XP_060370454.1
OG0000312	XP_038741206.1	XP_060358011.1
OG0000312	XP_038749723.1	XP_060359305.1
OG0000313	XP_038739435.1	XP_060358664.1
OG0000313	XP_038741209.1	XP_060358009.1
OG0000314	XP_038746299.1	XP_060357574.1
OG0000314	XP_038745433.1	XP_060365296.1
OG0000315	XP_038744023.1	XP_060367842.1
OG0000315	XP_038747429.1	XP_060358227.1
OG0000316	XP_038740133.1	XP_060360279.1
OG0000316	XP_038749935.1	XP_060364444.1
OG0000318	XP_038742147.1	XP_060369793.1
OG0000318	XP_038749968.1	XP_060364467.1
OG0000319	XP_038743482.1	XP_060359427.1
OG0000319	XP_038750327.1	XP_060361703.1
OG0000322	XP_038748725.1, XP_038745224.1	XP_060371402.1
OG0000325	XP_038748218.1, XP_038742060.1	XP_060362978.1
OG0000326	XP_038751529.1	XP_060371052.1
OG0000327	XP_038741598.1	XP_060365183.1
OG0000327	XP_038751364.1	XP_060369245.1
OG0000329	XP_038748303.1	XP_060361786.1
OG0000329	XP_038751291.1	XP_060369595.1
OG0000330	XP_038740717.1	XP_060361240.1
OG0000331	XP_038742494.1	XP_060361078.1
OG0000331	XP_038740359.1	XP_060357680.1
OG0000332	XP_038743272.1	XP_060359381.1
OG0000332	XP_038746559.1	XP_060364228.1
OG0000335	XP_038745998.1	XP_060365784.1
OG0000335	XP_038740116.1	XP_060369226.1
OG0000336	XP_038741615.1	XP_060368199.1
OG0000337	XP_038741042.1	XP_060366163.1
OG0000337	XP_038741157.1	XP_060367351.1
OG0000338	XP_038749710.1	XP_060357336.1
OG0000338	XP_038740365.1	XP_060362811.1, XP_060362055.1
OG0000339	XP_038740537.1	XP_060364907.1
OG0000339	XP_038744509.1	XP_060358170.1
OG0000340	XP_038741558.1	XP_060357429.1
OG0000340	XP_038744843.1	XP_060366398.1
OG0000341	XP_038743800.1	XP_060359278.1
OG0000341	XP_038739038.1	XP_060357663.1
OG0000342	XP_038746511.1, XP_038748783.1, XP_038748293.1	XP_060361779.1
OG0000343	XP_038740667.1	XP_060360764.1
OG0000344	XP_038748254.1	XP_060363658.1
OG0000344	XP_038744236.1	XP_060365895.1
OG0000345	XP_038746949.1	XP_060357405.1
OG0000345	XP_038748179.1	XP_060363606.1
OG0000346	XP_038747432.1	XP_060369034.1
OG0000347	XP_038740850.1	XP_060363683.1
OG0000348	XP_038751008.1	XP_060359676.1
OG0000348	XP_038746995.1	XP_060357983.1
OG0000349	XP_038750016.1	XP_060362574.1
OG0000350	XP_038740390.1	XP_060362810.1
OG0000352	XP_038748824.1	XP_060361113.1
OG0000352	XP_038746610.1	XP_060364201.1
OG0000353	XP_038748880.1, XP_038742640.1, XP_038740124.1	XP_060371662.1
OG0000354	XP_038740808.1	XP_060371686.1
OG0000355	XP_038741989.1	XP_060366507.1
OG0000355	XP_038749612.1	XP_060363705.1
OG0000356	XP_038744721.1	XP_060362201.1
OG0000357	XP_038751213.1	XP_060357470.1
OG0000358	XP_038751212.1	XP_060357469.1
OG0000360	XP_038739960.1	XP_060363846.1
OG0000360	XP_038746086.1	XP_060362636.1
OG0000361	XP_038746087.1	XP_060362637.1, XP_060365159.1
OG0000362	XP_038739172.1	XP_060361983.1
OG0000363	XP_038743634.1	XP_060364956.1
OG0000364	XP_038742509.1	XP_060361098.1
OG0000364	XP_038743625.1	XP_060364963.1
OG0000365	XP_038741357.1	XP_060357925.1, XP_060357924.1
OG0000367	XP_038744853.1	XP_060367091.1
OG0000367	XP_038742508.1	XP_060361097.1
OG0000368	XP_038742524.1	XP_060359462.1
OG0000369	XP_038748251.1	XP_060366810.1
OG0000369	XP_038744908.1	XP_060360568.1
OG0000370	XP_038744907.1	XP_060360570.1
OG0000370	XP_038748450.1	XP_060366808.1
OG0000372	XP_038744841.1	XP_060357082.1
OG0000373	XP_038744524.1	XP_060357393.1
OG0000373	XP_038739143.1	XP_060365563.1
OG0000374	XP_038747030.1	XP_060370555.1
OG0000375	XP_038739389.1	XP_060362532.1
OG0000376	XP_038746062.1	XP_060364182.1
