Orthogroup	Colletotrichum_karsti	Colletotrichum_siamense
OG0000188	XP_038747325.1	XP_036501914.1
OG0000190	XP_038750331.1	XP_036489882.1
OG0000190	XP_038749956.1	XP_036500895.1
OG0000190	XP_038741334.1	XP_036491038.1
OG0000191	XP_038741986.1	XP_036493538.1, XP_036490722.1, XP_036501546.1, XP_036490219.1, XP_036491601.1
OG0000192	XP_038746963.1	XP_036500280.1, XP_036496103.1
OG0000196	XP_038745731.1	XP_036499634.1
OG0000198	XP_038749063.1	XP_036490260.1
OG0000198	XP_038743374.1	XP_036501474.1
OG0000199	XP_038740947.1	XP_036493172.1
OG0000199	XP_038748546.1	XP_036501315.1
OG0000199	XP_038742483.1	XP_036489674.1
OG0000200	XP_038749054.1, XP_038750872.1	XP_036491003.1
OG0000200	XP_038745596.1	XP_036491565.1
OG0000201	XP_038740041.1	XP_036502792.1
OG0000202	XP_038745747.1	XP_036494717.1
OG0000202	XP_038740270.1	XP_036500664.1
OG0000203	XP_038747845.1	XP_036497905.1
OG0000203	XP_038750085.1	XP_036489470.1
OG0000203	XP_038750036.1	XP_036489084.1
OG0000204	XP_038743222.1	XP_036493087.1, XP_036492902.1, XP_036493744.1, XP_036493555.1
OG0000205	XP_038744878.1	XP_036495615.1
OG0000207	XP_038744179.1	XP_036494001.1
OG0000207	XP_038749111.1	XP_036490861.1
OG0000209	XP_038745830.1	XP_036499242.1
OG0000209	XP_038745834.1	XP_036500348.1
OG0000209	XP_038745833.1	XP_036499239.1
OG0000212	XP_038749518.1	XP_036498467.1
OG0000212	XP_038749934.1	XP_036488059.1
OG0000213	XP_038751149.1	XP_036492973.1
OG0000214	XP_038748335.1	XP_036500340.1
OG0000214	XP_038740737.1	XP_036494080.1
OG0000214	XP_038743992.1	XP_036500028.1
OG0000216	XP_038744948.1	XP_036501076.1, XP_036500938.1
OG0000216	XP_038746295.1	XP_036491331.1
OG0000217	XP_038743269.1	XP_036502890.1
OG0000217	XP_038742706.1, XP_038745186.1, XP_038749127.1, XP_038740580.1	XP_036499314.1
OG0000218	XP_038751309.1, XP_038746850.1	XP_036492965.1
OG0000219	XP_038748162.1	XP_036499265.1
OG0000219	XP_038742192.1, XP_038746177.1, XP_038740393.1	XP_036500913.1
OG0000220	XP_038739337.1	XP_036494125.1
OG0000220	XP_038746386.1	XP_036492393.1
OG0000221	XP_038745620.1	XP_036499379.1
OG0000222	XP_038747147.1	XP_036500876.1
OG0000222	XP_038745825.1	XP_036500575.1
OG0000223	XP_038747932.1	XP_036498210.1
OG0000223	XP_038746964.1	XP_036489185.1
OG0000224	XP_038750814.1	XP_036497609.1, XP_036494152.1, XP_036500014.1
OG0000225	XP_038750053.1	XP_036489524.1
OG0000225	XP_038743690.1	XP_036495584.1
OG0000227	XP_038740801.1	XP_036493657.1
OG0000227	XP_038749601.1	XP_036498386.1
OG0000228	XP_038745837.1	XP_036500151.1
OG0000228	XP_038743204.1	XP_036493672.1
OG0000229	XP_038743729.1	XP_036495685.1
OG0000229	XP_038743991.1	XP_036500029.1
OG0000231	XP_038742554.1	XP_036495954.1
OG0000231	XP_038750324.1	XP_036489275.1
OG0000232	XP_038742518.1	XP_036496182.1
OG0000234	XP_038744594.1	XP_036490459.1
OG0000234	XP_038741958.1	XP_036491500.1
OG0000235	XP_038742153.1	XP_036496671.1
OG0000235	XP_038744622.1	XP_036497810.1
OG0000236	XP_038745538.1	XP_036488529.1
OG0000237	XP_038750090.1	XP_036490060.1
OG0000237	XP_038741384.1, XP_038740908.1	XP_036493486.1
OG0000238	XP_038749081.1	XP_036490870.1
OG0000238	XP_038749080.1, XP_038749082.1	XP_036490701.1, XP_036490505.1
OG0000239	XP_038747819.1	XP_036488038.1
OG0000239	XP_038751722.1	XP_036489762.1
OG0000242	XP_038749658.1	XP_036498557.1
OG0000242	XP_038746289.1	XP_036492008.1
OG0000244	XP_038743945.1	XP_036496734.1
OG0000248	XP_038751618.1	XP_036489334.1
OG0000249	XP_038745808.1	XP_036500085.1
OG0000250	XP_038744675.1	XP_036490424.1
OG0000250	XP_038741258.1	XP_036494588.1
OG0000251	XP_038743852.1	XP_036499797.1
OG0000251	XP_038747326.1	XP_036501913.1
OG0000253	XP_038745829.1	XP_036500578.1
OG0000253	XP_038745378.1	XP_036488727.1
OG0000254	XP_038740217.1	XP_036488670.1, XP_036493047.1
OG0000254	XP_038749706.1	XP_036498669.1
OG0000255	XP_038743058.1	XP_036495878.1
OG0000255	XP_038748469.1	XP_036501153.1
OG0000256	XP_038741499.1	XP_036495029.1
OG0000256	XP_038749324.1	XP_036500916.1
OG0000257	XP_038747913.1	XP_036499216.1
OG0000257	XP_038748264.1	XP_036499962.1
OG0000258	XP_038742745.1	XP_036488823.1
OG0000258	XP_038748228.1	XP_036500775.1
OG0000259	XP_038740103.1	XP_036501678.1
OG0000259	XP_038749549.1	XP_036498018.1
OG0000260	XP_038741591.1	XP_036494380.1
OG0000260	XP_038749530.1	XP_036497116.1
OG0000261	XP_038748993.1, XP_038746275.1, XP_038748340.1, XP_038748992.1	XP_036502518.1, XP_036498168.1
OG0000262	XP_038740387.1	XP_036500489.1
OG0000262	XP_038739923.1	XP_036492701.1
OG0000263	XP_038741063.1	XP_036490443.1
OG0000263	XP_038748794.1	XP_036490170.1
OG0000265	XP_038741953.1	XP_036492120.1
OG0000265	XP_038745344.1	XP_036501081.1
OG0000266	XP_038741978.1	XP_036491819.1
OG0000266	XP_038747346.1	XP_036501841.1
OG0000267	XP_038739940.1, XP_038739362.1	XP_036500021.1
OG0000267	XP_038745984.1	XP_036493890.1
OG0000268	XP_038739208.1	XP_036493174.1
OG0000268	XP_038747178.1	XP_036499990.1
OG0000269	XP_038744978.1, XP_038740014.1	XP_036499341.1, XP_036501736.1
OG0000270	XP_038739100.1	XP_036492035.1
OG0000270	XP_038747193.1	XP_036500161.1
OG0000271	XP_038748280.1	XP_036500700.1, XP_036490074.1
OG0000272	XP_038747341.1	XP_036501846.1
OG0000272	XP_038741356.1	XP_036501282.1, XP_036494960.1
OG0000273	XP_038743692.1	XP_036495579.1
OG0000273	XP_038750155.1	XP_036489175.1
OG0000274	XP_038743417.1	XP_036502277.1
OG0000274	XP_038749600.1	XP_036498385.1
OG0000275	XP_038739186.1, XP_038739193.1	XP_036493337.1
OG0000276	XP_038743135.1	XP_036493816.1
OG0000276	XP_038746575.1	XP_036498285.1
OG0000277	XP_038743198.1	XP_036493636.1
OG0000277	XP_038741851.1	XP_036494724.1
OG0000278	XP_038749917.1	XP_036488257.1
OG0000278	XP_038747825.1	XP_036495006.1
OG0000279	XP_038742788.1	XP_036488346.1
OG0000279	XP_038747905.1	XP_036499952.1
OG0000280	XP_038745073.1	XP_036501608.1
OG0000280	XP_038740062.1	XP_036502556.1
OG0000281	XP_038750777.1	XP_036498219.1
OG0000281	XP_038740083.1	XP_036502464.1
OG0000283	XP_038743653.1	XP_036495442.1
OG0000283	XP_038750618.1	XP_036497141.1
OG0000284	XP_038747793.1	XP_036488825.1
OG0000284	XP_038750111.1	XP_036489035.1
OG0000285	XP_038743736.1	XP_036495425.1
OG0000285	XP_038743389.1	XP_036502092.1
OG0000286	XP_038743331.1	XP_036502178.1, XP_036489039.1
OG0000286	XP_038750008.1	XP_036501177.1
OG0000287	XP_038738765.1	XP_036496044.1
OG0000287	XP_038744287.1	XP_036497577.1
OG0000288	XP_038744141.1, XP_038747503.1	XP_036500930.1
OG0000288	XP_038739383.1, XP_038739839.1, XP_038745832.1	XP_036490661.1
OG0000290	XP_038747812.1	XP_036488880.1
OG0000290	XP_038741430.1	XP_036490342.1
OG0000291	XP_038746429.1	XP_036492185.1
OG0000291	XP_038747264.1	XP_036500803.1
OG0000292	XP_038743949.1	XP_036500228.1
OG0000292	XP_038741984.1, XP_038743834.1	XP_036493332.1
OG0000293	XP_038740763.1	XP_036493573.1
OG0000293	XP_038746144.1	XP_036493500.1
OG0000294	XP_038743322.1	XP_036502430.1
OG0000294	XP_038749516.1	XP_036498464.1
OG0000295	XP_038743430.1	XP_036502194.1
OG0000295	XP_038745345.1	XP_036497932.1
OG0000296	XP_038738702.1, XP_038742378.1	XP_036494557.1
OG0000296	XP_038742258.1	XP_036496248.1
OG0000297	XP_038738944.1	XP_036497293.1
OG0000297	XP_038742259.1	XP_036496245.1
OG0000298	XP_038744362.1	XP_036498588.1
OG0000298	XP_038744539.1	XP_036490438.1
