Orthogroup	Colletotrichum_abscissum	Colletotrichum_acutatum	Colletotrichum_fructicola	Colletotrichum_gloeosporioides	Colletotrichum_godetiae	Colletotrichum_karsti	Colletotrichum_siamense	Colletotrichum_truncatum
OG0000059	XP_060395997.1, XP_060402559.1, XP_060403183.1	XP_060357826.1, XP_060360999.1, XP_060363442.1	XP_031879333.1, XP_031890900.1, XP_031891472.1, XP_031892770.2	XP_045256241.1, XP_045263662.1, XP_045267723.1, XP_045270918.1	XP_060423506.1, XP_060431044.1, XP_060431609.1, XP_060436928.1	XP_038744290.1, XP_038748983.1	XP_036488461.1, XP_036490551.1, XP_036497576.1, XP_036502405.1	XP_036574737.2, XP_036578680.1, XP_036579230.1, XP_036587742.1, XP_036589130.1, XP_036589645.1
OG0000060	XP_060403834.1			XP_045263033.1				XP_036574291.2, XP_036574343.2, XP_036574668.1, XP_036574761.2, XP_036575282.2, XP_036575485.2, XP_036575662.2, XP_036577130.2, XP_036577339.2, XP_036580760.2, XP_036581325.2, XP_036581572.1, XP_036582624.2, XP_036585128.2, XP_036588805.2, XP_070060146.1, XP_070060180.1, XP_070060305.1, XP_070060455.1, XP_070060456.1, XP_070060927.1, XP_070060928.1, XP_070061044.1, XP_070061674.1, XP_070061936.1, XP_070061993.1, XP_070062362.1, XP_070062514.1
OG0000061								XP_036574308.2, XP_036574316.2, XP_036574749.2, XP_036574863.2, XP_036575112.2, XP_036575374.1, XP_036575533.1, XP_036575822.2, XP_036575904.1, XP_036575982.1, XP_036576343.1, XP_036576523.1, XP_036576994.2, XP_036577338.1, XP_036579445.2, XP_036580510.2, XP_036581456.1, XP_036581516.1, XP_036588570.1, XP_070059733.1, XP_070059773.1, XP_070060015.1, XP_070060625.1, XP_070061048.1, XP_070062119.1, XP_070062242.1, XP_070062355.1, XP_070062421.1, XP_070062427.1, XP_070062439.1
OG0000062								XP_036574498.2, XP_036577386.2, XP_036578075.2, XP_036578126.2, XP_036578445.2, XP_036579573.2, XP_036580233.2, XP_036581022.2, XP_036581523.1, XP_036582269.2, XP_036583123.1, XP_036586142.1, XP_036586903.2, XP_036587086.2, XP_036587222.1, XP_036589622.1, XP_070060028.1, XP_070060114.1, XP_070060358.1, XP_070060429.1, XP_070060761.1, XP_070060792.1, XP_070060859.1, XP_070061277.1, XP_070061505.1, XP_070062264.1, XP_070062280.1, XP_070062320.1, XP_070062386.1, XP_070062627.1
OG0000063	XP_060389446.1, XP_060391163.1, XP_060397699.1, XP_060398738.1, XP_060399480.1, XP_060401837.1, XP_060402492.1, XP_060403607.1, XP_060403608.1, XP_060403626.1, XP_060404918.1, XP_060404919.1, XP_060404920.1				XP_060434110.1			XP_036584356.2, XP_070059788.1, XP_070059795.1, XP_070059798.1, XP_070059799.1, XP_070059815.1, XP_070059816.1, XP_070059819.1, XP_070059841.1, XP_070059848.1, XP_070059857.1, XP_070059860.1, XP_070060198.1, XP_070060667.1, XP_070060672.1
OG0000064	XP_060390046.1, XP_060392805.1, XP_060396923.1, XP_060404553.1	XP_060357678.1, XP_060358260.1, XP_060358594.1, XP_060366492.1	XP_031884461.1, XP_031889409.1, XP_031892616.1	XP_045256286.1, XP_045258881.1, XP_045268075.1	XP_060422483.1, XP_060422807.1, XP_060425145.1, XP_060427609.1, XP_060429117.1	XP_038741951.1, XP_038748953.1, XP_038750307.1	XP_036489754.1, XP_036490724.1, XP_036492118.1	XP_036583871.2, XP_070060549.1, XP_070061063.1, XP_070062298.1
OG0000065	XP_060391392.1, XP_060392741.1, XP_060397336.1, XP_060397344.1, XP_060398960.1	XP_060357974.1, XP_060363090.1, XP_060363098.1, XP_060371684.1	XP_031876068.1, XP_031876601.1, XP_031878261.1, XP_031883119.1	XP_045257234.1, XP_045260056.1, XP_045261140.1, XP_045267361.1, XP_045267666.1	XP_060421892.1, XP_060436978.1	XP_038741888.1, XP_038742748.1, XP_038744511.1	XP_036487957.1, XP_036494482.1, XP_036495737.1, XP_036500474.1	XP_036580455.1, XP_070059972.1
OG0000066	XP_060393189.1, XP_060393190.1, XP_060393191.1	XP_060369169.1, XP_060369170.1, XP_060369171.1	XP_031877356.2, XP_031882995.1, XP_031890226.1, XP_066008327.1, XP_066009119.1	XP_045257887.1, XP_045259039.1, XP_045261488.1, XP_045261489.1, XP_045263560.1, XP_045267106.1, XP_045268141.1, XP_045268142.1	XP_060421285.1, XP_060435465.1	XP_038749507.1	XP_036489914.1, XP_036492916.1, XP_036495196.1, XP_036495275.1	XP_036574872.1, XP_036581734.1, XP_070061263.1
OG0000067	XP_060393681.1, XP_060397610.1, XP_060397707.1, XP_060400547.1	XP_060357896.1, XP_060365964.1, XP_060366931.1	XP_031878359.2, XP_031883626.1, XP_031887769.1, XP_066008046.1, XP_066008096.1	XP_045261800.1, XP_045262418.1, XP_045267259.1, XP_045268953.1, XP_045268954.1, XP_045269697.1, XP_045269698.1	XP_060426247.1, XP_060427460.1	XP_038740481.1, XP_038741062.1, XP_038749718.1, XP_038751112.1	XP_036492023.1, XP_036498807.1, XP_036500613.1	XP_036576223.1
OG0000068	XP_060394224.1, XP_060394502.1, XP_060400012.1, XP_060400271.1, XP_060402651.1, XP_060405001.1, XP_060406496.1, XP_060406498.1	XP_060357301.1, XP_060358217.1, XP_060364072.1, XP_060364073.1, XP_060369838.1, XP_060369841.1, XP_060369843.1	XP_031885096.2, XP_066008797.1, XP_066009666.1		XP_060422855.1, XP_060424612.1, XP_060428216.1, XP_060430828.1, XP_060430830.1, XP_060434661.1	XP_038742454.1, XP_038742456.1		XP_036576093.1, XP_036582362.1, XP_036586797.1
OG0000069	XP_060395905.1, XP_060395907.1	XP_060365123.1, XP_060365125.1	XP_031884771.1, XP_031884772.1, XP_031884775.1, XP_031884776.1, XP_031884878.1, XP_031884956.1, XP_031885878.2, XP_066007562.1	XP_045260129.1, XP_045260130.1, XP_045260132.1, XP_045260133.1, XP_045260139.1, XP_045260314.1	XP_060433151.1, XP_060433153.1	XP_038740857.1, XP_038740859.1, XP_038740860.1	XP_036492662.1, XP_036492663.1, XP_036492666.1, XP_036492667.1, XP_036493374.1, XP_036500379.1	
OG0000070	XP_060398820.1, XP_060403136.1, XP_060404832.1	XP_060361698.1, XP_060362242.1, XP_060363391.1	XP_031877238.2, XP_031879679.1, XP_031880242.1, XP_031883416.1, XP_031891117.1	XP_045257325.1, XP_045260902.1, XP_045266006.1, XP_045268118.1, XP_045270929.1	XP_060423011.1, XP_060426203.1, XP_060436394.1	XP_038740145.1, XP_038743190.1, XP_038745223.1, XP_038747979.1	XP_036488253.1, XP_036488955.1, XP_036489001.1, XP_036489880.1, XP_036493667.1	XP_036575460.1
OG0000071	XP_060391462.1, XP_060395244.1, XP_060403051.1	XP_060357533.1, XP_060358896.1, XP_060360036.1	XP_031877506.1, XP_031879668.1, XP_031883683.1, XP_031888153.1	XP_045256765.1, XP_045257576.1, XP_045257723.1, XP_045271076.1	XP_060422211.1, XP_060424427.1, XP_060427335.1	XP_038739379.1, XP_038740201.1, XP_038740653.1, XP_038748109.1, XP_038750986.1	XP_036490878.1, XP_036493443.1, XP_036497250.1, XP_036499807.1	XP_036576990.1, XP_036588687.1
OG0000072	XP_060393039.1, XP_060393949.1, XP_060396061.1, XP_060399592.1	XP_060359796.1, XP_060360706.1	XP_031884060.1, XP_031884252.1, XP_031885726.1, XP_031892088.1	XP_045259157.1, XP_045259279.1, XP_045264153.1, XP_045269192.1	XP_060430058.1, XP_060431204.1, XP_060432710.1, XP_060433292.1	XP_038743218.1, XP_038743394.1	XP_036493060.1, XP_036496060.1, XP_036500847.1, XP_036501078.1	XP_036576286.1, XP_036582573.1, XP_070061591.1, XP_070062142.1
OG0000073	XP_060394993.1, XP_060403020.1, XP_060404434.1	XP_060357133.1, XP_060359247.1, XP_060359605.1, XP_060360011.1	XP_031877508.1, XP_031882594.1, XP_031885770.2, XP_031891861.1	XP_045257575.1, XP_045268969.1, XP_045269220.1	XP_060422197.1, XP_060427303.1, XP_060427350.1, XP_060431088.1	XP_038742548.1, XP_038743264.1, XP_038743687.1	XP_036494346.1, XP_036496453.1, XP_036498101.1, XP_036499325.1	XP_036576219.2, XP_036585422.1, XP_036586327.2
OG0000074	XP_060389371.1, XP_060397233.1, XP_060404544.1, XP_060404922.1, XP_060405438.1		XP_031876155.2	XP_045257444.1, XP_045261515.1, XP_045262110.1, XP_045267143.1, XP_045267840.1	XP_060421355.1, XP_060421376.1, XP_060421909.1, XP_060422129.1, XP_060422246.1, XP_060423300.1, XP_060424571.1	XP_038738962.1, XP_038739372.1	XP_036487847.1, XP_036487874.1, XP_036487894.1	XP_036574831.2, XP_036575819.1, XP_036577736.2, XP_036584485.1
OG0000075	XP_060389374.1, XP_060389377.1, XP_060389791.1, XP_060395237.1, XP_060398980.1, XP_060399226.1, XP_060399227.1, XP_060402131.1, XP_060404515.1, XP_060404516.1, XP_060404523.1, XP_060404930.1, XP_060405467.1	XP_060358869.1, XP_060359552.1	XP_031887696.1	XP_045262378.1	XP_060421379.1, XP_060421690.1, XP_060422103.1, XP_060422108.1, XP_060422820.1, XP_060435771.1	XP_038751168.1	XP_036497708.1	XP_036584436.1, XP_036588485.1
OG0000076	XP_060390141.1, XP_060395356.1	XP_060357074.1, XP_060358087.1	XP_031878761.1, XP_031880315.1, XP_066009734.1	XP_045256734.1, XP_045259171.1, XP_045268151.1	XP_060429108.1	XP_038739795.1, XP_038741037.1, XP_038741889.1, XP_038745896.1, XP_038747779.1	XP_036489344.1, XP_036494545.1, XP_036501634.1	XP_036574266.1, XP_036575157.2, XP_036579345.1, XP_036583473.1, XP_036586439.1, XP_036588957.1, XP_036589633.1, XP_070061506.1
OG0000077	XP_060393839.1, XP_060394125.1, XP_060396845.1, XP_060397660.1	XP_060360895.1, XP_060361456.1, XP_060363189.1, XP_060366688.1	XP_031880755.1, XP_066008350.1	XP_045257569.1, XP_045264585.1, XP_045269087.1	XP_060429200.1, XP_060429949.1, XP_060435749.1	XP_038746277.1, XP_038746308.1, XP_038748011.1	XP_036487856.1, XP_036487990.1, XP_036497622.1, XP_036498103.1, XP_036499245.1	XP_036578994.1, XP_070061774.1, XP_070061927.1
OG0000078	XP_060393868.1, XP_060400364.1, XP_060406397.1	XP_060358933.1, XP_060359138.1, XP_060368016.1, XP_060371854.1	XP_031879078.1, XP_031883892.1, XP_031885207.1	XP_045257967.1, XP_045259506.1, XP_045264238.1	XP_060428127.1, XP_060428533.1, XP_060429979.1, XP_060434048.1	XP_038742590.1, XP_038743161.1, XP_038750812.1, XP_038751215.1	XP_036493217.1, XP_036493989.1, XP_036496443.1	XP_036575061.1, XP_036579453.1, XP_036581231.1
OG0000079	XP_060402487.1							XP_036574558.1, XP_036574832.1, XP_036576325.2, XP_036576635.2, XP_036584412.2, XP_036584413.1, XP_070059726.1, XP_070059754.1, XP_070059919.1, XP_070059977.1, XP_070060166.1, XP_070060167.1, XP_070060308.1, XP_070060411.1, XP_070060533.1, XP_070060818.1, XP_070060852.1, XP_070060965.1, XP_070061110.1, XP_070061334.1, XP_070061852.1, XP_070061896.1, XP_070062316.1, XP_070062389.1, XP_070062666.1, XP_070062690.1
OG0000080	XP_060389880.1, XP_060403156.1, XP_060404108.1	XP_060361376.1, XP_060363411.1, XP_060363513.1	XP_031878550.1, XP_031887977.1, XP_031888971.1	XP_045256773.1, XP_045257656.1, XP_045258370.1	XP_060425323.1, XP_060426223.1, XP_060435856.1	XP_038738858.1, XP_038746709.1, XP_038751018.1	XP_036490318.1, XP_036497276.1, XP_036497873.1	XP_036575145.1, XP_036575240.1, XP_036577634.1, XP_036581721.1, XP_036588664.1
OG0000081	XP_060391595.1, XP_060392535.1, XP_060395159.1	XP_060361111.1, XP_060363636.1, XP_060371511.1	XP_031877893.1, XP_031881745.1, XP_031892617.1	XP_045256341.1, XP_045259778.1, XP_045270071.1	XP_060423130.1, XP_060430904.1, XP_060437149.1	XP_038741010.1, XP_038743305.1, XP_038747984.1, XP_038748232.1	XP_036490929.1, XP_036499078.1, XP_036500778.1	XP_036578539.1, XP_036588499.1, XP_036588848.1, XP_070062102.1
OG0000082	XP_060393284.1, XP_060400690.1	XP_060357437.1, XP_060357631.1, XP_060365931.1	XP_031877097.2, XP_031878238.1, XP_031887503.1, XP_066007659.1	XP_045263124.1, XP_045264969.1, XP_045266348.1, XP_045267659.1	XP_060422769.1, XP_060422997.1, XP_060424833.1	XP_038740928.1, XP_038744232.1, XP_038746901.1	XP_036493085.1, XP_036495063.1, XP_036498695.1, XP_036501220.1	XP_036577202.1, XP_036577894.1, XP_036582423.1
OG0000083	XP_060394127.1	XP_060363191.1	XP_031883146.1, XP_031883946.1, XP_031890993.1, XP_031893612.2	XP_045259975.1, XP_045260672.1, XP_045260673.1, XP_045262415.1, XP_045262964.1, XP_045264175.1	XP_060432065.1	XP_038740672.1, XP_038744246.1, XP_038745615.1, XP_038750918.1	XP_036487848.1, XP_036492997.1, XP_036494216.1	XP_036574873.1, XP_036576908.1, XP_036577795.1, XP_036578583.1, XP_036581120.1, XP_036581679.1
OG0000084	XP_060399665.1, XP_060399668.1, XP_060401100.1	XP_060357244.1, XP_060358449.1, XP_060358452.1, XP_060358566.1, XP_060360165.1	XP_031877130.1, XP_031878263.1, XP_031883049.1, XP_031883666.1, XP_031892010.1	XP_045257184.1, XP_045259360.1, XP_045263141.1, XP_045267107.1	XP_060421552.1, XP_060423188.1, XP_060427931.1, XP_060432095.1		XP_036495247.1, XP_036495277.1, XP_036499223.1, XP_036499375.1	XP_036575159.1
OG0000085	XP_060404229.1	XP_060359483.1	XP_031881445.1, XP_031881446.1, XP_031881447.1, XP_031886043.2, XP_031888626.1, XP_031888628.1, XP_031892501.1, XP_066009468.1	XP_045256206.1, XP_045258506.1, XP_045258507.1, XP_045258508.1, XP_045260102.1	XP_060425007.1	XP_038740897.1, XP_038744428.1, XP_038744429.1, XP_038747830.1, XP_038751259.1	XP_036490490.1, XP_036493283.1, XP_036497729.1, XP_036499355.1	XP_036581921.1
OG0000086	XP_060404979.1		XP_031875252.2, XP_031876997.2, XP_031879149.1, XP_066006749.1, XP_066006805.1, XP_066006817.1, XP_066006995.1, XP_066007186.1, XP_066007705.1, XP_066007849.1, XP_066008149.1, XP_066008776.1, XP_066008850.1, XP_066009360.1, XP_066009365.1, XP_066009990.1	XP_045261538.1, XP_045261539.1		XP_038738655.1		XP_036575134.1, XP_070059753.1, XP_070059770.1, XP_070059771.1, XP_070061542.1, XP_070061543.1
OG0000087			XP_031875293.2, XP_031875457.1, XP_031875570.1, XP_031875767.2, XP_031885961.2, XP_031888279.2, XP_031891122.2, XP_066006719.1, XP_066006721.1, XP_066006727.1, XP_066006736.1, XP_066006740.1, XP_066006830.1, XP_066006875.1, XP_066006972.1, XP_066006997.1, XP_066007005.1, XP_066007155.1, XP_066007428.1, XP_066007526.1, XP_066007569.1, XP_066007626.1, XP_066007817.1, XP_066008159.1, XP_066008520.1, XP_066009742.1					
OG0000088			XP_031875582.1, XP_066006820.1, XP_066006845.1, XP_066006859.1, XP_066006910.1, XP_066006951.1, XP_066007015.1, XP_066007021.1, XP_066007057.1, XP_066007070.1, XP_066007120.1, XP_066007192.1, XP_066008937.1, XP_066008957.1, XP_066008960.1, XP_066009041.1, XP_066009068.1, XP_066009117.1	XP_045269168.1, XP_045269906.1, XP_045269907.1, XP_045269909.1	XP_060422654.1	XP_038741537.1	XP_036495297.1	XP_036585215.1
OG0000089	XP_060389478.1, XP_060394084.1, XP_060397764.1, XP_060398357.1	XP_060357296.1, XP_060361982.1, XP_060362183.1	XP_031887288.2, XP_031888816.1, XP_066007672.1	XP_045259870.1, XP_045263384.1, XP_045264932.1, XP_045268482.1	XP_060430235.1, XP_060434789.1, XP_060436023.1	XP_038739171.1	XP_036489487.1, XP_036493414.1, XP_036496365.1, XP_036497343.1	XP_036576625.1, XP_036582452.1, XP_036585152.1
OG0000090	XP_060389701.1, XP_060394311.1, XP_060398282.1	XP_060364741.1, XP_060369543.1, XP_060370927.1	XP_031887184.1, XP_031887673.1, XP_031888590.1	XP_045262785.1, XP_045266317.1, XP_045268543.1	XP_060432593.1, XP_060434587.1, XP_060435685.1	XP_038749487.1, XP_038751256.1, XP_038751721.1	XP_036489356.1, XP_036498841.1, XP_036500971.1	XP_036579088.1, XP_036585093.1, XP_036585590.2, XP_036588418.1
OG0000091	XP_060391574.1, XP_060401689.1	XP_060358744.1, XP_060363656.1, XP_060365306.1	XP_031877975.1, XP_031890691.1, XP_031891256.1, XP_066007457.1	XP_045260867.1, XP_045263820.1, XP_045265908.1, XP_045270047.1	XP_060429603.1, XP_060429716.1	XP_038745426.1, XP_038746284.1, XP_038747421.1, XP_038748252.1	XP_036488098.1, XP_036492538.1, XP_036498979.1, XP_036501593.1	XP_036579955.1, XP_036586150.2
OG0000092	XP_060391828.1, XP_060393723.1, XP_060402915.1		XP_031876900.2, XP_031887817.1, XP_066007528.1, XP_066007793.1, XP_066008454.1, XP_066008666.1, XP_066009698.1	XP_045258982.1, XP_045259860.1, XP_045260979.1, XP_045261208.1, XP_045263911.1, XP_045263912.1, XP_045263913.1, XP_045267421.1		XP_038740723.1	XP_036488808.1, XP_036490819.1, XP_036493594.1, XP_036495846.1, XP_036499795.1, XP_036502902.1	
OG0000093	XP_060394176.1, XP_060397924.1, XP_060402254.1	XP_060362521.1, XP_060364024.1, XP_060367066.1	XP_031876830.1, XP_031890972.1, XP_066007384.1, XP_066007483.1, XP_066008298.1, XP_066008993.1	XP_045256273.1, XP_045262929.1, XP_045266064.1, XP_045270880.1	XP_060423078.1	XP_038745039.1, XP_038746212.1, XP_038748964.1	XP_036488299.1, XP_036488519.1, XP_036490768.1	XP_070060012.1, XP_070061385.1
OG0000094	XP_060395175.1, XP_060396262.1, XP_060400746.1	XP_060359455.1, XP_060368526.1	XP_031889231.2, XP_031890942.1, XP_066008811.1, XP_066009909.1	XP_045260730.1, XP_045261955.1, XP_045263904.1, XP_045266902.1	XP_060424903.1, XP_060430915.1, XP_060433588.1	XP_038742532.1, XP_038745580.1, XP_038747342.1, XP_038750495.1	XP_036488018.1, XP_036489522.1, XP_036496392.1, XP_036501845.1	XP_036583720.1
OG0000095	XP_060399043.1	XP_060357051.1	XP_031880048.1, XP_031881275.1, XP_031887999.1, XP_031891254.1	XP_045261234.1, XP_045261698.1, XP_045263815.1, XP_045270992.1	XP_060426755.1	XP_038741429.1, XP_038747813.1, XP_038748346.1, XP_038750878.1	XP_036488884.1, XP_036490717.1, XP_036499485.1, XP_036501597.1	XP_036574883.1, XP_036576095.1, XP_036576482.1, XP_036579927.2, XP_036580326.1, XP_036588193.1
OG0000096								XP_036574604.1, XP_036575705.1, XP_036576057.1, XP_036576148.1, XP_036576311.1, XP_036577848.1, XP_036577911.1, XP_036578773.1, XP_036578885.1, XP_036579056.1, XP_036581369.1, XP_036581728.1, XP_036582611.1, XP_036583138.1, XP_036583466.1, XP_036583970.2, XP_036584856.1, XP_036586063.1, XP_036587363.1, XP_036588190.1, XP_036588354.1, XP_036589024.2, XP_036589915.1, XP_070059916.1, XP_070061919.1
OG0000097	XP_060391414.1, XP_060402762.1, XP_060402944.1	XP_060357941.1, XP_060361781.1, XP_060366839.1	XP_066007559.1, XP_066007959.1, XP_066008516.1	XP_045258858.1, XP_045266067.1, XP_045270122.1	XP_060425720.1, XP_060426330.1, XP_060427229.1	XP_038741979.1, XP_038742715.1, XP_038742869.1, XP_038748302.1	XP_036488077.1, XP_036492358.1, XP_036499526.1	XP_036581703.2, XP_070061065.1
OG0000098	XP_060392478.1, XP_060397447.1, XP_060398278.1	XP_060361123.1, XP_060361825.1, XP_060364910.1	XP_031887187.1, XP_031887188.1, XP_031889416.1, XP_031893238.1, XP_066008144.1	XP_045256500.1, XP_045258279.1, XP_045265565.1, XP_045268539.1	XP_060437196.1	XP_038743981.1, XP_038748852.1, XP_038751718.1	XP_036490120.1, XP_036490854.1, XP_036495068.1	XP_036585097.1, XP_070061121.1
OG0000099	XP_060393137.1, XP_060400769.1, XP_060400770.1, XP_060406401.1	XP_060368011.1, XP_060368012.1	XP_031875897.1, XP_031878985.1, XP_031878986.1, XP_066007212.1, XP_066009297.1	XP_045263376.1, XP_045266982.1, XP_045267038.1, XP_045268458.1	XP_060428537.1, XP_060436671.1, XP_060436672.1	XP_038744174.1, XP_038744464.1, XP_038751689.1	XP_036489891.1, XP_036498353.1	XP_070061517.1
OG0000100	XP_060394146.1, XP_060396924.1, XP_060399128.1	XP_060358595.1, XP_060363206.1, XP_060370122.1	XP_031881223.1, XP_031881417.1, XP_031889225.1	XP_045264880.1, XP_045268076.1, XP_045270148.1	XP_060426685.1, XP_060429116.1, XP_060434736.1	XP_038739203.1, XP_038748325.1, XP_038750308.1	XP_036489759.1, XP_036493390.1, XP_036500493.1	XP_036581712.1, XP_036582490.1, XP_036589602.1
OG0000101	XP_060394565.1, XP_060397076.1, XP_060398794.1	XP_060358948.1, XP_060361545.1, XP_060367966.1	XP_031875804.1, XP_031880150.1, XP_031880366.1	XP_045260937.1, XP_045266505.1, XP_045270973.1	XP_060422556.1, XP_060429801.1, XP_060436734.1	XP_038742730.1, XP_038744517.1, XP_038747621.1	XP_036488765.1, XP_036488805.1, XP_036490572.1	XP_036578856.1, XP_036588171.1, XP_070060786.1
OG0000102	XP_060394651.1, XP_060398789.1, XP_060401292.1	XP_060358264.1, XP_060361542.1, XP_060368296.1	XP_031880105.1, XP_031893528.1, XP_066009621.1	XP_045258108.1, XP_045268634.1, XP_045270965.1	XP_060422559.1, XP_060422755.1, XP_060428962.1	XP_038740089.1, XP_038741620.1, XP_038747623.1	XP_036487964.1, XP_036494287.1, XP_036502396.1	XP_036576025.1, XP_036588169.1, XP_070060497.1
OG0000103	XP_060397521.1		XP_031878845.2, XP_031879567.2, XP_031884557.2, XP_031887362.1, XP_066006751.1, XP_066009133.1	XP_045256274.1, XP_045257961.1, XP_045261783.1, XP_045262928.1, XP_045268470.1	XP_060425059.1	XP_038747604.1, XP_038748963.1, XP_038750902.1	XP_036489749.1, XP_036492313.1, XP_036497649.1	XP_036576489.1, XP_036580171.1, XP_036584355.1, XP_036589110.1, XP_070059924.1
OG0000104	XP_060402765.1, XP_060402766.1, XP_060402814.1	XP_060366843.1, XP_060366844.1, XP_060366898.1	XP_031891075.1, XP_031891779.1, XP_066007658.1, XP_066008068.1, XP_066008069.1	XP_045260555.1, XP_045260604.1, XP_045263892.1, XP_045264965.1, XP_045265053.1, XP_045265054.1	XP_060426278.1, XP_060426326.1	XP_038740930.1, XP_038746213.1	XP_036491368.1, XP_036496355.1	XP_070060947.1
OG0000105	XP_060405520.1	XP_060361641.1, XP_060365629.1	XP_031878013.2, XP_031889723.1, XP_031891630.1	XP_045263765.1, XP_045263970.1, XP_045265094.1	XP_060427086.1	XP_038738705.1, XP_038740246.1, XP_038741485.1, XP_038742948.1, XP_038746459.1	XP_036492171.1	XP_036575573.2, XP_036576186.1, XP_036579500.1, XP_036579506.1, XP_036584071.1, XP_036586248.1, XP_036586461.1, XP_070061539.1
OG0000106			XP_031875813.2, XP_031875814.2, XP_031879022.2, XP_031879651.2, XP_066006837.1, XP_066007079.1, XP_066007087.1, XP_066007182.1, XP_066007494.1, XP_066007592.1, XP_066007649.1, XP_066007650.1, XP_066007847.1, XP_066007848.1, XP_066007955.1, XP_066008000.1, XP_066008303.1, XP_066008345.1, XP_066008346.1, XP_066008451.1, XP_066008507.1, XP_066009299.1, XP_066009301.1, XP_066009771.1					
OG0000107			XP_031878949.2, XP_031884162.2, XP_066006725.1, XP_066006756.1, XP_066006758.1, XP_066006926.1, XP_066006944.1, XP_066007008.1, XP_066007009.1, XP_066007268.1, XP_066007404.1, XP_066007941.1, XP_066007976.1, XP_066007990.1, XP_066007991.1, XP_066008225.1, XP_066009027.1, XP_066009308.1, XP_066009867.1	XP_045265824.1		XP_038740631.1	XP_036487792.1	XP_036575829.1, XP_070059955.1
OG0000108	XP_060389424.1, XP_060395700.1, XP_060397497.1, XP_060398982.1, XP_060401838.1, XP_060403622.1, XP_060403623.1, XP_060404049.1	XP_060364184.1	XP_031884735.1, XP_066007790.1, XP_066007791.1	XP_045258312.1, XP_045264547.1, XP_045264957.1, XP_045271295.1	XP_060421497.1, XP_060421664.1	XP_038740413.1, XP_038743418.1, XP_038744051.1	XP_036493289.1	XP_036584564.1
OG0000109	XP_060389458.1, XP_060391657.1, XP_060397723.1, XP_060402925.1	XP_060357049.1, XP_060357701.1, XP_060358567.1, XP_060362221.1	XP_031878444.1, XP_031891846.1, XP_066009546.1	XP_045258433.1, XP_045258955.1, XP_045260515.1	XP_060423190.1, XP_060427211.1, XP_060430274.1	XP_038738946.1	XP_036493470.1, XP_036496949.1, XP_036497568.1	XP_036577672.1, XP_036578485.2
OG0000110	XP_060390433.1, XP_060391882.1, XP_060399270.1	XP_060363003.1, XP_060369371.1	XP_031881135.1, XP_031882687.2, XP_031882937.1	XP_045259615.1, XP_045263020.1, XP_045265803.1	XP_060425377.1, XP_060427587.1, XP_060431348.1	XP_038741778.1, XP_038747759.1, XP_038748627.1, XP_038749526.1	XP_036494343.1, XP_036497115.1, XP_036502076.1	XP_036574432.1, XP_036579391.1
OG0000111	XP_060391609.1, XP_060395468.1, XP_060402596.1	XP_060361789.1, XP_060363622.1, XP_060369096.1, XP_060371715.1	XP_031876545.1, XP_031881022.1, XP_031883621.2	XP_045259597.1, XP_045269982.1, XP_045270634.1	XP_060423145.1, XP_060430457.1, XP_060435389.1	XP_038748174.1, XP_038750864.1	XP_036497056.1, XP_036498364.1, XP_036500872.1	XP_036580028.2, XP_070062558.1
OG0000112	XP_060391887.1, XP_060392150.1, XP_060397460.1	XP_060358243.1, XP_060362788.1, XP_060364922.1	XP_031878319.1, XP_031880990.1, XP_031892252.1	XP_045257198.1, XP_045259620.1, XP_045268848.1	XP_060423474.1, XP_060427593.1, XP_060431014.1	XP_038740382.1, XP_038740557.1, XP_038749524.1	XP_036496762.1, XP_036497121.1, XP_036500484.1	XP_036579388.1, XP_036587244.2
OG0000113	XP_060392391.1, XP_060394004.1, XP_060396530.1	XP_060362635.1, XP_060363845.1, XP_060366156.1	XP_031884988.2, XP_031885552.1, XP_031891602.1	XP_045256573.1, XP_045258581.1, XP_045260170.1	XP_060428325.1, XP_060430101.1, XP_060437280.1	XP_038739961.1, XP_038741048.1, XP_038746085.1	XP_036490835.1, XP_036493855.1, XP_036500447.1	XP_036585809.2, XP_036588810.1
OG0000114	XP_060393065.1	XP_060358353.1, XP_060358960.1, XP_060363351.1, XP_060364301.1, XP_060365019.1	XP_031878233.1, XP_031883517.1, XP_066008307.1	XP_045257786.1, XP_045264514.1, XP_045267649.1, XP_045269964.1	XP_060423850.1, XP_060429560.1, XP_060436600.1	XP_038744642.1, XP_038748159.1	XP_036490658.1, XP_036493437.1, XP_036499258.1	XP_036577220.1, XP_070059945.1
OG0000115	XP_060396079.1, XP_060398441.1	XP_060360252.1, XP_060361868.1, XP_060371167.1	XP_031884489.1, XP_031887164.1, XP_066007565.1	XP_045256141.1, XP_045258380.1, XP_045264904.1, XP_045268406.1	XP_060425296.1, XP_060433004.1, XP_060433308.1, XP_060436170.1	XP_038751602.1	XP_036489407.1, XP_036492380.1, XP_036493016.1, XP_036498785.1	XP_036577648.2, XP_036589307.1
OG0000116	XP_060404025.1		XP_031875469.2, XP_066006795.1, XP_066007611.1, XP_066008530.1, XP_066008531.1, XP_066009153.1			XP_038740805.1		XP_036574296.1, XP_036574472.1, XP_036575447.1, XP_036576505.1, XP_036577453.1, XP_036580200.1, XP_036580453.1, XP_036581371.1, XP_036581552.2, XP_036582541.1, XP_036584084.1, XP_036584340.1, XP_036587785.2, XP_036589091.1, XP_070059720.1
