Orthogroup	Colletotrichum_abscissum	Colletotrichum_acutatum	Colletotrichum_fructicola	Colletotrichum_gloeosporioides	Colletotrichum_godetiae	Colletotrichum_karsti	Colletotrichum_siamense	Colletotrichum_truncatum
OG0017266	XP_060390390.1							
OG0017267	XP_060390394.1							
OG0017268	XP_060390403.1							
OG0017269	XP_060390409.1							
OG0017270	XP_060390428.1							
OG0017271	XP_060390430.1							
OG0017272	XP_060390436.1							
OG0017273	XP_060390453.1							
OG0017274	XP_060390473.1							
OG0017275	XP_060390484.1							
OG0017276	XP_060390506.1							
OG0017277	XP_060390512.1							
OG0017278	XP_060390513.1							
OG0017279	XP_060390520.1							
OG0017280	XP_060390521.1							
OG0017281	XP_060390557.1							
OG0017282	XP_060390558.1							
OG0017283	XP_060390559.1							
OG0017284	XP_060390563.1							
OG0017285	XP_060390583.1							
OG0017286	XP_060390604.1							
OG0017287	XP_060390606.1							
OG0017288	XP_060390608.1							
OG0017289	XP_060390614.1							
OG0017290	XP_060390627.1							
OG0017291	XP_060390628.1							
OG0017292	XP_060390629.1							
OG0017293	XP_060390632.1							
OG0017294	XP_060390653.1							
OG0017295	XP_060390675.1							
OG0017296	XP_060390678.1							
OG0017297	XP_060390688.1							
OG0017298	XP_060390697.1							
OG0017299	XP_060390698.1							
OG0017300	XP_060390708.1							
OG0017301	XP_060390709.1							
OG0017302	XP_060390718.1							
OG0017303	XP_060390720.1							
OG0017304	XP_060390721.1							
OG0017305	XP_060390724.1							
OG0017306	XP_060390726.1							
OG0017307	XP_060390737.1							
OG0017308	XP_060390740.1							
OG0017309	XP_060390747.1							
OG0017310	XP_060390752.1							
OG0017311	XP_060390780.1							
OG0017312	XP_060390781.1							
OG0017313	XP_060390783.1							
OG0017314	XP_060390788.1							
OG0017315	XP_060390807.1							
OG0017316	XP_060390825.1							
OG0017317	XP_060390828.1							
OG0017318	XP_060390829.1							
OG0017319	XP_060390835.1							
OG0017320	XP_060390837.1							
OG0017321	XP_060390857.1							
OG0017322	XP_060390859.1							
OG0017323	XP_060390860.1							
OG0017324	XP_060390861.1							
OG0017325	XP_060390862.1							
OG0017326	XP_060390865.1							
OG0017327	XP_060390867.1							
OG0017328	XP_060390868.1							
OG0017329	XP_060390871.1							
OG0017330	XP_060390874.1							
OG0017331	XP_060390875.1							
OG0017332	XP_060390876.1							
OG0017333	XP_060390879.1							
OG0017334	XP_060390883.1							
OG0017335	XP_060390908.1							
OG0017336	XP_060390910.1							
OG0017337	XP_060390912.1							
OG0017338	XP_060390918.1							
OG0017339	XP_060390919.1							
OG0017340	XP_060390943.1							
OG0017341	XP_060390945.1							
OG0017342	XP_060390946.1							
OG0017343	XP_060390963.1							
OG0017344	XP_060390997.1							
OG0017345	XP_060391022.1							
OG0017346	XP_060391036.1							
OG0017347	XP_060391050.1							
OG0017348	XP_060391051.1							
OG0017349	XP_060391068.1							
OG0017350	XP_060391071.1							
OG0017351	XP_060391072.1							
OG0017352	XP_060391080.1							
OG0017353	XP_060391083.1							
OG0017354	XP_060391084.1							
OG0017355	XP_060391085.1							
OG0017356	XP_060391086.1							
OG0017357	XP_060391087.1							
OG0017358	XP_060391089.1							
OG0017359	XP_060391118.1							
OG0017360	XP_060391120.1							
OG0017361	XP_060391121.1							
OG0017362	XP_060391122.1							
OG0017363	XP_060391124.1							
OG0017364	XP_060391132.1							
OG0017365	XP_060391135.1							
OG0017366	XP_060391136.1							
OG0017367	XP_060391143.1							
OG0017368	XP_060391162.1							
OG0017369	XP_060391175.1							
OG0017370	XP_060391176.1							
OG0017371	XP_060391182.1							
OG0017372	XP_060391186.1							
OG0017373	XP_060391191.1							
OG0017374	XP_060391222.1							
OG0017375	XP_060391239.1							
OG0017376	XP_060391245.1							
OG0017377	XP_060391248.1							
OG0017378	XP_060391253.1							
OG0017379	XP_060391266.1							
OG0017380	XP_060391311.1							
OG0017381	XP_060391336.1							
OG0017382	XP_060391351.1							
OG0017383	XP_060391354.1							
OG0017384	XP_060391355.1							
OG0017385	XP_060391357.1							
OG0017386	XP_060391358.1							
OG0017387	XP_060391361.1							
OG0017388	XP_060391372.1							
OG0017389	XP_060391399.1							
OG0017390	XP_060391401.1							
OG0017391	XP_060391402.1							
OG0017392	XP_060391403.1							
OG0017393	XP_060391412.1							
OG0017394	XP_060391416.1							
OG0017395	XP_060391423.1							
OG0017396	XP_060391424.1							
OG0017397	XP_060391428.1							
OG0017398	XP_060391447.1							
OG0017399	XP_060391465.1							
OG0017400	XP_060391467.1							
OG0017401	XP_060391471.1							
OG0017402	XP_060391473.1							
OG0017403	XP_060391475.1							
OG0017404	XP_060391497.1							
OG0017405	XP_060391500.1							
OG0017406	XP_060391511.1							
OG0017407	XP_060391516.1							
OG0017408	XP_060391520.1							
OG0017409	XP_060391525.1							
OG0017410	XP_060391526.1							
OG0017411	XP_060391529.1							
OG0017412	XP_060391558.1							
OG0017413	XP_060391580.1							
OG0017414	XP_060391592.1							
OG0017415	XP_060391612.1							
OG0017416	XP_060391634.1							
OG0017417	XP_060391644.1							
OG0017418	XP_060391649.1							
OG0017419	XP_060391669.1							
OG0017420	XP_060391670.1							
OG0017421	XP_060391672.1							
OG0017422	XP_060391673.1							
OG0017423	XP_060391677.1							
OG0017424	XP_060391686.1							
OG0017425	XP_060391687.1							
OG0017426	XP_060391697.1							
OG0017427	XP_060391713.1							
OG0017428	XP_060391735.1							
OG0017429	XP_060391759.1							
OG0017430	XP_060391765.1							
OG0017431	XP_060391766.1							
OG0017432	XP_060391768.1							
OG0017433	XP_060391769.1							
OG0017434	XP_060391777.1							
OG0017435	XP_060391791.1							
OG0017436	XP_060391793.1							
OG0017437	XP_060391799.1							
OG0017438	XP_060391804.1							
OG0017439	XP_060391805.1							
OG0017440	XP_060391807.1							
OG0017441	XP_060391815.1							
OG0017442	XP_060391817.1							
OG0017443	XP_060391829.1							
OG0017444	XP_060391841.1							
OG0017445	XP_060391852.1							
OG0017446	XP_060391862.1							
OG0017447	XP_060391874.1							
OG0017448	XP_060391877.1							
OG0017449	XP_060391888.1							
OG0017450	XP_060391890.1							
OG0017451	XP_060391891.1							
OG0017452	XP_060391894.1							
OG0017453	XP_060391899.1							
OG0017454	XP_060391933.1							
OG0017455	XP_060391943.1							
OG0017456	XP_060391959.1							
OG0017457	XP_060391967.1							
OG0017458	XP_060391979.1							
OG0017459	XP_060391980.1							
OG0017460	XP_060391992.1							
OG0017461	XP_060392000.1							
OG0017462	XP_060392012.1							
OG0017463	XP_060392017.1							
OG0017464	XP_060392022.1							
OG0017465	XP_060392023.1							
OG0017466	XP_060392024.1							
OG0017467	XP_060392027.1							
OG0017468	XP_060392031.1							
OG0017469	XP_060392055.1							
OG0017470	XP_060392056.1							
OG0017471	XP_060392057.1							
OG0017472	XP_060392072.1							
OG0017473	XP_060392074.1							
OG0017474	XP_060392075.1							
OG0017475	XP_060392083.1							
OG0017476	XP_060392099.1							
OG0017477	XP_060392126.1							
OG0017478	XP_060392146.1							
OG0017479	XP_060392161.1							
OG0017480	XP_060392175.1							
OG0017481	XP_060392176.1							
OG0017482	XP_060392180.1							
OG0017483	XP_060392189.1							
OG0017484	XP_060392199.1							
OG0017485	XP_060392204.1							
OG0017486	XP_060392205.1							
OG0017487	XP_060392222.1							
OG0017488	XP_060392231.1							
OG0017489	XP_060392234.1							
OG0017490	XP_060392235.1							
OG0017491	XP_060392255.1							
OG0017492	XP_060392256.1							
OG0017493	XP_060392264.1							
OG0017494	XP_060392265.1							
OG0017495	XP_060392271.1							
OG0017496	XP_060392275.1							
OG0017497	XP_060392281.1							
OG0017498	XP_060392292.1							
OG0017499	XP_060392296.1							
OG0017500	XP_060392305.1							
OG0017501	XP_060392306.1							
OG0017502	XP_060392308.1							
OG0017503	XP_060392315.1							
OG0017504	XP_060392316.1							
OG0017505	XP_060392323.1							
OG0017506	XP_060392324.1							
OG0017507	XP_060392330.1							
OG0017508	XP_060392332.1							
OG0017509	XP_060392339.1							
OG0017510	XP_060392340.1							
OG0017511	XP_060392348.1							
OG0017512	XP_060392349.1							
OG0017513	XP_060392350.1							
OG0017514	XP_060392351.1							
OG0017515	XP_060392357.1							
OG0017516	XP_060392362.1							
OG0017517	XP_060392363.1							
OG0017518	XP_060392366.1							
OG0017519	XP_060392367.1							
OG0017520	XP_060392368.1							
OG0017521	XP_060392373.1							
OG0017522	XP_060392377.1							
OG0017523	XP_060392378.1							
OG0017524	XP_060392390.1							
OG0017525	XP_060392393.1							
OG0017526	XP_060392412.1							
OG0017527	XP_060392415.1							
OG0017528	XP_060392416.1							
OG0017529	XP_060392419.1							
OG0017530	XP_060392423.1							
OG0017531	XP_060392426.1							
OG0017532	XP_060392428.1							
OG0017533	XP_060392430.1							
OG0017534	XP_060392445.1							
OG0017535	XP_060392447.1							
OG0017536	XP_060392465.1							
OG0017537	XP_060392467.1							
OG0017538	XP_060392469.1							
OG0017539	XP_060392481.1							
OG0017540	XP_060392484.1							
OG0017541	XP_060392486.1							
OG0017542	XP_060392490.1							
OG0017543	XP_060392492.1							
OG0017544	XP_060392494.1							
OG0017545	XP_060392497.1							
OG0017546	XP_060392498.1							
OG0017547	XP_060392512.1							
OG0017548	XP_060392517.1							
OG0017549	XP_060392522.1							
OG0017550	XP_060392523.1							
OG0017551	XP_060392526.1							
OG0017552	XP_060392531.1							
OG0017553	XP_060392533.1							
OG0017554	XP_060392537.1							
OG0017555	XP_060392539.1							
OG0017556	XP_060392550.1							
OG0017557	XP_060392552.1							
OG0017558	XP_060392555.1							
OG0017559	XP_060392558.1							
OG0017560	XP_060392571.1							
OG0017561	XP_060392578.1							
OG0017562	XP_060392591.1							
OG0017563	XP_060392596.1							
OG0017564	XP_060392603.1							
OG0017565	XP_060392609.1							
OG0017566	XP_060392613.1							
OG0017567	XP_060392614.1							
OG0017568	XP_060392622.1							
OG0017569	XP_060392623.1							
OG0017570	XP_060392624.1							
OG0017571	XP_060392630.1							
OG0017572	XP_060392633.1							
OG0017573	XP_060392637.1							
OG0017574	XP_060392638.1							
OG0017575	XP_060392645.1							
OG0017576	XP_060392646.1							
OG0017577	XP_060392648.1							
OG0017578	XP_060392650.1							
OG0017579	XP_060392651.1							
OG0017580	XP_060392653.1							
OG0017581	XP_060392658.1							
OG0017582	XP_060392659.1							
OG0017583	XP_060392662.1							
OG0017584	XP_060392664.1							
OG0017585	XP_060392672.1							
OG0017586	XP_060392674.1							
OG0017587	XP_060392682.1							
OG0017588	XP_060392688.1							
OG0017589	XP_060392693.1							
OG0017590	XP_060392713.1							
OG0017591	XP_060392724.1							
OG0017592	XP_060392730.1							
OG0017593	XP_060392731.1							
OG0017594	XP_060392738.1							
OG0017595	XP_060392740.1							
OG0017596	XP_060392750.1							
OG0017597	XP_060392759.1							
OG0017598	XP_060392772.1							
OG0017599	XP_060392777.1							
OG0017600	XP_060392780.1							
OG0017601	XP_060392787.1							
OG0017602	XP_060392791.1							
OG0017603	XP_060392810.1							
OG0017604	XP_060392820.1							
OG0017605	XP_060392826.1							
OG0017606	XP_060392828.1							
OG0017607	XP_060392829.1							
OG0017608	XP_060392830.1							
OG0017609	XP_060392858.1							
OG0017610	XP_060392859.1							
OG0017611	XP_060392860.1							
OG0017612	XP_060392861.1							
OG0017613	XP_060392862.1							
OG0017614	XP_060392870.1							
OG0017615	XP_060392876.1							
OG0017616	XP_060392878.1							
OG0017617	XP_060392881.1							
OG0017618	XP_060392894.1							
OG0017619	XP_060392896.1							
OG0017620	XP_060392897.1							
OG0017621	XP_060392912.1							
OG0017622	XP_060392913.1							
OG0017623	XP_060392914.1							
OG0017624	XP_060392939.1							
OG0017625	XP_060392940.1							
OG0017626	XP_060392941.1							
OG0017627	XP_060392943.1							
OG0017628	XP_060392946.1							
OG0017629	XP_060392965.1							
OG0017630	XP_060392969.1							
OG0017631	XP_060392987.1							
OG0017632	XP_060392989.1							
OG0017633	XP_060392995.1							
OG0017634	XP_060393008.1							
OG0017635	XP_060393023.1							
OG0017636	XP_060393029.1							
OG0017637	XP_060393048.1							
OG0017638	XP_060393050.1							
OG0017639	XP_060393062.1							
OG0017640	XP_060393080.1							
OG0017641	XP_060393081.1							
OG0017642	XP_060393105.1							
OG0017643	XP_060393119.1							
OG0017644	XP_060393128.1							
OG0017645	XP_060393144.1							
OG0017646	XP_060393154.1							
OG0017647	XP_060393158.1							
OG0017648	XP_060393161.1							
OG0017649	XP_060393162.1							
OG0017650	XP_060393164.1							
OG0017651	XP_060393165.1							
OG0017652	XP_060393180.1							
OG0017653	XP_060393181.1							
OG0017654	XP_060393182.1							
OG0017655	XP_060393184.1							
OG0017656	XP_060393193.1							
OG0017657	XP_060393281.1							
OG0017658	XP_060393288.1							
OG0017659	XP_060393310.1							
OG0017660	XP_060393321.1							
OG0017661	XP_060393324.1							
OG0017662	XP_060393328.1							
OG0017663	XP_060393333.1							
OG0017664	XP_060393348.1							
OG0017665	XP_060393353.1							
OG0017666	XP_060393369.1							
OG0017667	XP_060393378.1							
OG0017668	XP_060393384.1							
OG0017669	XP_060393391.1							
OG0017670	XP_060393392.1							
OG0017671	XP_060393394.1							
OG0017672	XP_060393396.1							
OG0017673	XP_060393397.1							
OG0017674	XP_060393408.1							
OG0017675	XP_060393418.1							
OG0017676	XP_060393423.1							
OG0017677	XP_060393427.1							
OG0017678	XP_060393429.1							
OG0017679	XP_060393445.1							
OG0017680	XP_060393446.1							
OG0017681	XP_060393452.1							
OG0017682	XP_060393460.1							
OG0017683	XP_060393467.1							
OG0017684	XP_060393469.1							
OG0017685	XP_060393490.1							
OG0017686	XP_060393491.1							
OG0017687	XP_060393507.1							
OG0017688	XP_060393513.1							
OG0017689	XP_060393514.1							
OG0017690	XP_060393515.1							
OG0017691	XP_060393516.1							
OG0017692	XP_060393518.1							
OG0017693	XP_060393519.1							
OG0017694	XP_060393521.1							
OG0017695	XP_060393522.1							
OG0017696	XP_060393526.1							
OG0017697	XP_060393555.1							
OG0017698	XP_060393557.1							
OG0017699	XP_060393573.1							
OG0017700	XP_060393574.1							
OG0017701	XP_060393575.1							
OG0017702	XP_060393622.1							
OG0017703	XP_060393629.1							
OG0017704	XP_060393632.1							
OG0017705	XP_060393652.1							
OG0017706	XP_060393675.1							
OG0017707	XP_060393684.1							
OG0017708	XP_060393694.1							
OG0017709	XP_060393703.1							
OG0017710	XP_060393706.1							
OG0017711	XP_060393710.1							
OG0017712	XP_060393713.1							
OG0017713	XP_060393718.1							
OG0017714	XP_060393722.1							
OG0017715	XP_060393728.1							
OG0017716	XP_060393736.1							
OG0017717	XP_060393758.1							
OG0017718	XP_060393774.1							
OG0017719	XP_060393779.1							
OG0017720	XP_060393785.1							
OG0017721	XP_060393806.1							
OG0017722	XP_060393815.1							
OG0017723	XP_060393816.1							
OG0017724	XP_060393845.1							
OG0017725	XP_060393861.1							
OG0017726	XP_060393873.1							
OG0017727	XP_060393881.1							
OG0017728	XP_060393908.1							
OG0017729	XP_060393913.1							
OG0017730	XP_060393925.1							
OG0017731	XP_060393947.1							
OG0017732	XP_060393973.1							
OG0017733	XP_060393977.1							
OG0017734	XP_060393980.1							
OG0017735	XP_060393982.1							
OG0017736	XP_060393983.1							
OG0017737	XP_060393984.1							
OG0017738	XP_060394002.1							
OG0017739	XP_060394028.1							
OG0017740	XP_060394073.1							
OG0017741	XP_060394075.1							
OG0017742	XP_060394077.1							
OG0017743	XP_060394078.1							
OG0017744	XP_060394087.1							
OG0017745	XP_060394099.1							
OG0017746	XP_060394123.1							
OG0017747	XP_060394132.1							
OG0017748	XP_060394151.1							
OG0017749	XP_060394162.1							
OG0017750	XP_060394170.1							
OG0017751	XP_060394178.1							
OG0017752	XP_060394182.1							
OG0017753	XP_060394193.1							
OG0017754	XP_060394203.1							
OG0017755	XP_060394212.1							
OG0017756	XP_060394225.1							
OG0017757	XP_060394226.1							
OG0017758	XP_060394227.1							
OG0017759	XP_060394245.1							
OG0017760	XP_060394247.1							
OG0017761	XP_060394248.1							
OG0017762	XP_060394256.1							
OG0017763	XP_060394261.1							
OG0017764	XP_060394262.1							
OG0017765	XP_060394266.1							
OG0017766	XP_060394275.1							
OG0017767	XP_060394276.1							
OG0017768	XP_060394279.1							
OG0017769	XP_060394288.1							
OG0017770	XP_060394289.1							
OG0017771	XP_060394309.1							
OG0017772	XP_060394316.1							
OG0017773	XP_060394326.1							
OG0017774	XP_060394332.1							
OG0017775	XP_060394334.1							
OG0017776	XP_060394359.1							
OG0017777	XP_060394360.1							
OG0017778	XP_060394361.1							
OG0017779	XP_060394364.1							
OG0017780	XP_060394365.1							
OG0017781	XP_060394366.1							
OG0017782	XP_060394370.1							
OG0017783	XP_060394381.1							
OG0017784	XP_060394387.1							
OG0017785	XP_060394410.1							
OG0017786	XP_060394418.1							
OG0017787	XP_060394424.1							
OG0017788	XP_060394435.1							
OG0017789	XP_060394440.1							
OG0017790	XP_060394451.1							
OG0017791	XP_060394478.1							
OG0017792	XP_060394486.1							
OG0017793	XP_060394488.1							
OG0017794	XP_060394498.1							
OG0017795	XP_060394514.1							
OG0017796	XP_060394517.1							
OG0017797	XP_060394522.1							
OG0017798	XP_060394523.1							
OG0017799	XP_060394554.1							
OG0017800	XP_060394559.1							
OG0017801	XP_060394566.1							
OG0017802	XP_060394569.1							
OG0017803	XP_060394570.1							
OG0017804	XP_060394590.1							
OG0017805	XP_060394591.1							
OG0017806	XP_060394597.1							
OG0017807	XP_060394604.1							
OG0017808	XP_060394617.1							
OG0017809	XP_060394629.1							
OG0017810	XP_060394635.1							
OG0017811	XP_060394636.1							
OG0017812	XP_060394638.1							
OG0017813	XP_060394639.1							
OG0017814	XP_060394642.1							
OG0017815	XP_060394662.1							
OG0017816	XP_060394663.1							
OG0017817	XP_060394709.1							
OG0017818	XP_060394713.1							
OG0017819	XP_060394717.1							
OG0017820	XP_060394720.1							
OG0017821	XP_060394733.1							
OG0017822	XP_060394735.1							
OG0017823	XP_060394736.1							
OG0017824	XP_060394743.1							
OG0017825	XP_060394745.1							
OG0017826	XP_060394751.1							
OG0017827	XP_060394770.1							
OG0017828	XP_060394785.1							
OG0017829	XP_060394786.1							
OG0017830	XP_060394789.1							
OG0017831	XP_060394795.1							
OG0017832	XP_060394799.1							
OG0017833	XP_060394811.1							
OG0017834	XP_060394813.1							
OG0017835	XP_060394826.1							
OG0017836	XP_060394828.1							
OG0017837	XP_060394841.1							
OG0017838	XP_060394844.1							
OG0017839	XP_060394850.1							
OG0017840	XP_060394895.1							
OG0017841	XP_060394896.1							
OG0017842	XP_060394900.1							
OG0017843	XP_060394916.1							
OG0017844	XP_060394927.1							
OG0017845	XP_060394934.1							
OG0017846	XP_060394935.1							
OG0017847	XP_060394936.1							
OG0017848	XP_060394943.1							
OG0017849	XP_060394956.1							
OG0017850	XP_060394963.1							
OG0017851	XP_060394972.1							
OG0017852	XP_060395013.1							
OG0017853	XP_060395014.1							
OG0017854	XP_060395018.1							
OG0017855	XP_060395020.1							
OG0017856	XP_060395043.1							
OG0017857	XP_060395076.1							
OG0017858	XP_060395096.1							
OG0017859	XP_060395118.1							
OG0017860	XP_060395162.1							
OG0017861	XP_060395163.1							
OG0017862	XP_060395184.1							
OG0017863	XP_060395202.1							
OG0017864	XP_060395203.1							
OG0017865	XP_060395233.1							
OG0017866	XP_060395278.1							
OG0017867	XP_060395279.1							
OG0017868	XP_060395282.1							
OG0017869	XP_060395288.1							
OG0017870	XP_060395292.1							
OG0017871	XP_060395296.1							
OG0017872	XP_060395322.1							
OG0017873	XP_060395364.1							
OG0017874	XP_060395383.1							
OG0017875	XP_060395387.1							
OG0017876	XP_060395390.1							
OG0017877	XP_060395392.1							
OG0017878	XP_060395395.1							
OG0017879	XP_060395396.1							
OG0017880	XP_060395398.1							
OG0017881	XP_060395400.1							
OG0017882	XP_060395401.1							
OG0017883	XP_060395402.1							
OG0017884	XP_060395403.1							
OG0017885	XP_060395404.1							
OG0017886	XP_060395405.1							
OG0017887	XP_060395406.1							
OG0017888	XP_060395414.1							
OG0017889	XP_060395415.1							
OG0017890	XP_060395417.1							
OG0017891	XP_060395419.1							
OG0017892	XP_060395425.1							
OG0017893	XP_060395432.1							
OG0017894	XP_060395457.1							
OG0017895	XP_060395458.1							
OG0017896	XP_060395485.1							
OG0017897	XP_060395495.1							
OG0017898	XP_060395502.1							
OG0017899	XP_060395505.1							
OG0017900	XP_060395512.1							
OG0017901	XP_060395516.1							
OG0017902	XP_060395518.1							
OG0017903	XP_060395545.1							
OG0017904	XP_060395563.1							
OG0017905	XP_060395569.1							
OG0017906	XP_060395580.1							
OG0017907	XP_060395582.1							
OG0017908	XP_060395586.1							
OG0017909	XP_060395598.1							
OG0017910	XP_060395615.1							
OG0017911	XP_060395619.1							
OG0017912	XP_060395622.1							
OG0017913	XP_060395725.1							
OG0017914	XP_060395743.1							
OG0017915	XP_060395744.1							
OG0017916	XP_060395752.1							
OG0017917	XP_060395754.1							
OG0017918	XP_060395775.1							
OG0017919	XP_060395776.1							
OG0017920	XP_060395799.1							
OG0017921	XP_060395800.1							
OG0017922	XP_060395818.1							
OG0017923	XP_060395830.1							
OG0017924	XP_060395832.1							
OG0017925	XP_060395834.1							
OG0017926	XP_060395837.1							
OG0017927	XP_060395858.1							
OG0017928	XP_060395876.1							
OG0017929	XP_060395908.1							
OG0017930	XP_060395909.1							
OG0017931	XP_060395912.1							
OG0017932	XP_060395913.1							
OG0017933	XP_060395915.1							
OG0017934	XP_060395923.1							
OG0017935	XP_060395924.1							
OG0017936	XP_060395936.1							
OG0017937	XP_060395937.1							
OG0017938	XP_060395939.1							
OG0017939	XP_060395956.1							
OG0017940	XP_060395960.1							
OG0017941	XP_060395974.1							
OG0017942	XP_060395998.1							
OG0017943	XP_060396002.1							
OG0017944	XP_060396032.1							
OG0017945	XP_060396040.1							
OG0017946	XP_060396046.1							
OG0017947	XP_060396053.1							
OG0017948	XP_060396064.1							
OG0017949	XP_060396089.1							
OG0017950	XP_060396093.1							
OG0017951	XP_060396103.1							
OG0017952	XP_060396104.1							
OG0017953	XP_060396108.1							
OG0017954	XP_060396110.1							
OG0017955	XP_060396113.1							
OG0017956	XP_060396128.1							
OG0017957	XP_060396132.1							
OG0017958	XP_060396158.1							
OG0017959	XP_060396159.1							
OG0017960	XP_060396206.1							
OG0017961	XP_060396229.1							
OG0017962	XP_060396233.1							
OG0017963	XP_060396240.1							
OG0017964	XP_060396242.1							
OG0017965	XP_060396243.1							
OG0017966	XP_060396244.1							
OG0017967	XP_060396245.1							
OG0017968	XP_060396247.1							
OG0017969	XP_060396250.1							
OG0017970	XP_060396261.1							
OG0017971	XP_060396264.1							
OG0017972	XP_060396271.1							
OG0017973	XP_060396278.1							
OG0017974	XP_060396279.1							
OG0017975	XP_060396281.1							
OG0017976	XP_060396282.1							
OG0017977	XP_060396283.1							
OG0017978	XP_060396300.1							
OG0017979	XP_060396310.1							
OG0017980	XP_060396349.1							
OG0017981	XP_060396350.1							
OG0017982	XP_060396363.1							
OG0017983	XP_060396368.1							
OG0017984	XP_060396378.1							
OG0017985	XP_060396417.1							
OG0017986	XP_060396418.1							
OG0017987	XP_060396419.1							
OG0017988	XP_060396426.1							
OG0017989	XP_060396427.1							
OG0017990	XP_060396428.1							
OG0017991	XP_060396431.1							
OG0017992	XP_060396434.1							
OG0017993	XP_060396435.1							
OG0017994	XP_060396447.1							
OG0017995	XP_060396448.1							
OG0017996	XP_060396459.1							
OG0017997	XP_060396468.1							
OG0017998	XP_060396471.1							
OG0017999	XP_060396472.1							
OG0018000	XP_060396476.1							
OG0018001	XP_060396480.1							
OG0018002	XP_060396482.1							
OG0018003	XP_060396495.1							
OG0018004	XP_060396496.1							
OG0018005	XP_060396498.1							
