Orthogroup	Colletotrichum_acutatum	Colletotrichum_abscissum
OG0000034	XP_060358573.1	XP_060391662.1
OG0000034	XP_060363708.1	XP_060393666.1
OG0000035	XP_060366162.1	XP_060392385.1
OG0000035	XP_060365611.1	XP_060405054.1
OG0000035	XP_060371363.1	XP_060406211.1
OG0000037	XP_060364411.1	XP_060403586.1
OG0000037	XP_060357014.1	XP_060401095.1
OG0000037	XP_060363205.1	XP_060394145.1
OG0000037	XP_060359498.1	XP_060399323.1
OG0000038	XP_060367929.1	XP_060397114.1
OG0000038	XP_060363923.1	XP_060401530.1
OG0000038	XP_060365001.1	XP_060394471.1
OG0000039	XP_060362489.1	XP_060402283.1
OG0000039	XP_060361710.1	XP_060404844.1
OG0000040	XP_060362111.1	XP_060389871.1
OG0000040	XP_060370548.1	XP_060398598.1
OG0000040	XP_060357081.1	XP_060397495.1, XP_060396829.1
OG0000040	XP_060357327.1	XP_060397367.1
OG0000041	XP_060369032.1	XP_060391743.1
OG0000043	XP_060359592.1	XP_060389987.1
OG0000043	XP_060367831.1	XP_060405167.1
OG0000044	XP_060360761.1	XP_060391535.1
OG0000044	XP_060361230.1	XP_060393902.1
OG0000044	XP_060357062.1	XP_060395508.1
OG0000046	XP_060362833.1	XP_060403289.1
OG0000046	XP_060360243.1	XP_060390222.1, XP_060396070.1
OG0000046	XP_060361446.1	XP_060396941.1
OG0000047	XP_060357890.1	XP_060391972.1
OG0000049	XP_060365049.1	XP_060394521.1
OG0000049	XP_060363156.1	XP_060392182.1
OG0000049	XP_060358145.1	XP_060395332.1
OG0000050	XP_060367791.1	XP_060405210.1
OG0000050	XP_060361232.1	XP_060393904.1
OG0000050	XP_060371737.1	XP_060400491.1
OG0000051	XP_060366641.1	XP_060397608.1
OG0000051	XP_060365214.1	XP_060401241.1
OG0000051	XP_060367490.1	XP_060401973.1
OG0000051	XP_060368329.1	XP_060394615.1
OG0000053	XP_060358230.1	XP_060402228.1
OG0000053	XP_060366324.1	XP_060390531.1
OG0000053	XP_060366727.1	XP_060390308.1
OG0000054	XP_060359889.1	XP_060391312.1
OG0000054	XP_060358854.1	XP_060396191.1
OG0000055	XP_060358650.1	XP_060402327.1
OG0000055	XP_060357465.1	XP_060401863.1
OG0000057	XP_060365979.1	XP_060393337.1
OG0000057	XP_060363619.1	XP_060391613.1
OG0000057	XP_060357330.1	XP_060404958.1, XP_060404957.1
OG0000058	XP_060371110.1	XP_060404570.1
OG0000058	XP_060365990.1	XP_060399232.1
OG0000059	XP_060357826.1	XP_060395997.1
OG0000059	XP_060360999.1	XP_060402559.1
OG0000059	XP_060363442.1	XP_060403183.1
OG0000064	XP_060366492.1	XP_060392805.1
OG0000064	XP_060357678.1	XP_060390046.1
OG0000064	XP_060358594.1	XP_060396923.1
OG0000064	XP_060358260.1	XP_060404553.1
OG0000065	XP_060357974.1	XP_060398960.1
OG0000065	XP_060371684.1	XP_060392741.1
OG0000065	XP_060363090.1	XP_060397344.1
OG0000065	XP_060363098.1	XP_060397336.1
OG0000066	XP_060369169.1	XP_060393190.1
OG0000066	XP_060369171.1	XP_060393189.1
OG0000067	XP_060357896.1	XP_060400547.1
OG0000067	XP_060366931.1	XP_060393681.1
OG0000068	XP_060358217.1	XP_060405001.1
OG0000068	XP_060357301.1	XP_060394502.1, XP_060402651.1
OG0000068	XP_060369843.1	XP_060406498.1
OG0000068	XP_060364073.1	XP_060394224.1
OG0000068	XP_060364072.1	XP_060400271.1
OG0000068	XP_060369841.1	XP_060406496.1
OG0000069	XP_060365123.1	XP_060395907.1
OG0000069	XP_060365125.1	XP_060395905.1
OG0000070	XP_060363391.1	XP_060403136.1
OG0000070	XP_060362242.1	XP_060398820.1
OG0000070	XP_060361698.1	XP_060404832.1
OG0000071	XP_060358896.1	XP_060391462.1
OG0000071	XP_060357533.1	XP_060403051.1
OG0000071	XP_060360036.1	XP_060395244.1
OG0000072	XP_060360706.1	XP_060393039.1
OG0000072	XP_060359796.1	XP_060393949.1
OG0000073	XP_060357133.1	XP_060394993.1
OG0000073	XP_060360011.1	XP_060404434.1
OG0000073	XP_060359605.1	XP_060403020.1
OG0000075	XP_060358869.1, XP_060359552.1	XP_060404523.1, XP_060389791.1
OG0000076	XP_060357074.1	XP_060395356.1
OG0000076	XP_060358087.1	XP_060390141.1
OG0000077	XP_060361456.1	XP_060396845.1
OG0000077	XP_060363189.1	XP_060394125.1
OG0000077	XP_060366688.1	XP_060397660.1
OG0000077	XP_060360895.1	XP_060393839.1
OG0000078	XP_060359138.1	XP_060393868.1
OG0000078	XP_060371854.1	XP_060400364.1
OG0000078	XP_060368016.1	XP_060406397.1
OG0000080	XP_060363411.1	XP_060403156.1
OG0000080	XP_060361376.1	XP_060404108.1
OG0000080	XP_060363513.1	XP_060389880.1
OG0000081	XP_060363636.1	XP_060391595.1
OG0000081	XP_060361111.1	XP_060395159.1
OG0000081	XP_060371511.1	XP_060392535.1
OG0000082	XP_060365931.1	XP_060393284.1
OG0000082	XP_060357631.1	XP_060400690.1
OG0000083	XP_060363191.1	XP_060394127.1
OG0000084	XP_060358452.1	XP_060399668.1
OG0000084	XP_060360165.1	XP_060401100.1
OG0000084	XP_060357244.1, XP_060358449.1	XP_060399665.1
OG0000085	XP_060359483.1	XP_060404229.1
OG0000089	XP_060357296.1	XP_060398357.1
OG0000089	XP_060362183.1	XP_060397764.1
OG0000089	XP_060361982.1	XP_060394084.1
OG0000090	XP_060369543.1	XP_060389701.1
OG0000090	XP_060364741.1	XP_060398282.1
OG0000090	XP_060370927.1	XP_060394311.1
OG0000091	XP_060363656.1	XP_060391574.1
OG0000091	XP_060365306.1	XP_060401689.1
OG0000093	XP_060367066.1	XP_060397924.1
OG0000093	XP_060364024.1	XP_060394176.1
OG0000094	XP_060368526.1	XP_060396262.1
OG0000094	XP_060359455.1	XP_060395175.1
OG0000095	XP_060357051.1	XP_060399043.1
OG0000097	XP_060366839.1	XP_060402762.1
OG0000097	XP_060357941.1	XP_060402944.1
OG0000097	XP_060361781.1	XP_060391414.1
OG0000098	XP_060364910.1	XP_060397447.1
OG0000098	XP_060361123.1	XP_060392478.1
OG0000099	XP_060368011.1	XP_060406401.1
OG0000100	XP_060358595.1	XP_060396924.1
OG0000100	XP_060363206.1	XP_060394146.1
OG0000100	XP_060370122.1	XP_060399128.1
OG0000101	XP_060358948.1	XP_060394565.1
OG0000101	XP_060367966.1	XP_060397076.1
OG0000101	XP_060361545.1	XP_060398794.1
OG0000102	XP_060361542.1	XP_060398789.1
OG0000102	XP_060358264.1	XP_060401292.1
OG0000102	XP_060368296.1	XP_060394651.1
OG0000104	XP_060366843.1	XP_060402765.1
OG0000104	XP_060366844.1	XP_060402766.1
OG0000104	XP_060366898.1	XP_060402814.1
OG0000105	XP_060361641.1	XP_060405520.1
OG0000108	XP_060364184.1	XP_060395700.1
OG0000109	XP_060358567.1	XP_060391657.1
OG0000109	XP_060357049.1	XP_060389458.1
OG0000109	XP_060362221.1	XP_060397723.1
OG0000109	XP_060357701.1	XP_060402925.1
OG0000110	XP_060369371.1	XP_060390433.1
OG0000110	XP_060363003.1	XP_060399270.1
OG0000111	XP_060363622.1	XP_060391609.1
OG0000111	XP_060369096.1	XP_060395468.1
OG0000111	XP_060361789.1	XP_060402596.1
OG0000112	XP_060362788.1	XP_060392150.1
OG0000112	XP_060364922.1	XP_060397460.1
OG0000112	XP_060358243.1	XP_060391887.1
OG0000113	XP_060363845.1	XP_060396530.1
OG0000113	XP_060362635.1	XP_060394004.1
OG0000113	XP_060366156.1	XP_060392391.1
OG0000114	XP_060364301.1	XP_060393065.1
OG0000115	XP_060360252.1	XP_060396079.1
OG0000115	XP_060371167.1	XP_060398441.1
OG0000120	XP_060359204.1	XP_060400712.1
OG0000120	XP_060364175.1	XP_060395709.1
OG0000120	XP_060362130.1	XP_060389851.1
OG0000121	XP_060357311.1	XP_060395817.1
OG0000121	XP_060358677.1	XP_060390987.1
OG0000122	XP_060357740.1	XP_060402895.1
OG0000122	XP_060360436.1	XP_060391430.1
OG0000123	XP_060359358.1	XP_060399735.1, XP_060400858.1, XP_060405432.1, XP_060401827.1, XP_060393146.1, XP_060399732.1, XP_060398312.1
OG0000123	XP_060357123.1	XP_060391755.1
OG0000124	XP_060357414.1	XP_060391863.1
OG0000124	XP_060357416.1	XP_060391865.1
OG0000124	XP_060357415.1	XP_060391864.1
OG0000125	XP_060365412.1	XP_060404765.1
OG0000125	XP_060360055.1	XP_060392122.1
OG0000126	XP_060362056.1	XP_060393110.1
OG0000126	XP_060366712.1	XP_060397683.1
OG0000127	XP_060361903.1	XP_060404169.1
OG0000127	XP_060360754.1	XP_060396016.1
OG0000128	XP_060369786.1	XP_060406563.1
OG0000128	XP_060359925.1	XP_060398918.1
OG0000128	XP_060359979.1	XP_060404470.1
OG0000129	XP_060358700.1	XP_060398991.1
OG0000129	XP_060358844.1	XP_060404396.1
OG0000130	XP_060358289.1	XP_060399972.1
OG0000131	XP_060359611.1	XP_060403026.1
OG0000132	XP_060360166.1	XP_060401101.1
OG0000133	XP_060361960.1	XP_060405570.1
OG0000136	XP_060359727.1	XP_060404503.1, XP_060400267.1, XP_060389422.1, XP_060404502.1, XP_060404541.1, XP_060395377.1, XP_060401826.1, XP_060403631.1
OG0000137	XP_060359062.1	XP_060404531.1
OG0000137	XP_060359722.1	XP_060405447.1
OG0000137	XP_060359080.1	XP_060404013.1
OG0000137	XP_060362966.1	XP_060397698.1
OG0000138	XP_060360416.1	XP_060389508.1
OG0000138	XP_060363533.1	XP_060399828.1
OG0000139	XP_060360428.1	XP_060391421.1
OG0000139	XP_060361787.1	XP_060391419.1
OG0000139	XP_060360442.1	XP_060391438.1
OG0000139	XP_060360433.1	XP_060391426.1
OG0000140	XP_060366142.1	XP_060392404.1
OG0000141	XP_060371544.1	XP_060392573.1
OG0000142	XP_060357578.1	XP_060402604.1
OG0000142	XP_060365800.1	XP_060393407.1
OG0000143	XP_060359781.1	XP_060393934.1
OG0000143	XP_060365059.1	XP_060394533.1
OG0000143	XP_060362641.1	XP_060394008.1
OG0000144	XP_060362612.1	XP_060393978.1
OG0000144	XP_060370058.1	XP_060399056.1
OG0000144	XP_060361625.1	XP_060401142.1
OG0000145	XP_060364035.1	XP_060394186.1
OG0000146	XP_060357088.1, XP_060359367.1	XP_060400846.1, XP_060395095.1
OG0000146	XP_060359368.1	XP_060397212.1
OG0000147	XP_060362098.1	XP_060397035.1
OG0000147	XP_060366094.1	XP_060399567.1
OG0000148	XP_060362224.1	XP_060397720.1
OG0000148	XP_060358483.1	XP_060404369.1
OG0000149	XP_060364872.1	XP_060397400.1
OG0000150	XP_060364878.1	XP_060397411.1
OG0000151	XP_060363019.1	XP_060399256.1
OG0000151	XP_060366703.1	XP_060397674.1
OG0000152	XP_060363946.1	XP_060401508.1
OG0000152	XP_060360107.1	XP_060401753.1
OG0000154	XP_060365257.1	XP_060401200.1
OG0000154	XP_060362133.1	XP_060389848.1
OG0000155	XP_060360090.1	XP_060390054.1
OG0000156	XP_060369356.1	XP_060390414.1
OG0000156	XP_060358281.1	XP_060400557.1
OG0000157	XP_060368646.1	XP_060403783.1
OG0000157	XP_060361753.1	XP_060391369.1
OG0000159	XP_060357868.1	XP_060395315.1
OG0000160	XP_060368549.1	XP_060396290.1
OG0000161	XP_060363988.1	XP_060396457.1
OG0000161	XP_060370351.1	XP_060400956.1
OG0000162	XP_060358467.1	XP_060400629.1
OG0000162	XP_060359718.1	XP_060397286.1
OG0000163	XP_060369676.1	XP_060402422.1
OG0000163	XP_060364541.1	XP_060400018.1
OG0000164	XP_060365226.1	XP_060401230.1
OG0000169	XP_060361129.1	XP_060392472.1
OG0000170	XP_060361746.1	XP_060391362.1
OG0000170	XP_060363471.1	XP_060389928.1
OG0000170	XP_060362435.1	XP_060391786.1
OG0000171	XP_060360139.1	XP_060390375.1
OG0000172	XP_060360212.1	XP_060398059.1
OG0000172	XP_060367126.1	XP_060397859.1
OG0000172	XP_060369355.1	XP_060390412.1
OG0000173	XP_060369856.1	XP_060391684.1, XP_060390441.1, XP_060400411.1, XP_060402449.1, XP_060402989.1, XP_060390439.1, XP_060400410.1, XP_060397240.1, XP_060395116.1, XP_060391546.1, XP_060394023.1, XP_060399741.1, XP_060395170.1, XP_060397234.1, XP_060392434.1, XP_060391385.1, XP_060399650.1, XP_060403309.1
OG0000174	XP_060359897.1	XP_060391302.1
OG0000174	XP_060362841.1	XP_060403281.1
OG0000175	XP_060363664.1	XP_060391567.1
OG0000175	XP_060360608.1	XP_060399617.1
OG0000176	XP_060366190.1	XP_060392352.1
OG0000177	XP_060360013.1, XP_060360012.1	XP_060395264.1
OG0000177	XP_060363728.1	XP_060393648.1
OG0000178	XP_060362745.1	XP_060403658.1
OG0000178	XP_060360498.1	XP_060393730.1
OG0000179	XP_060363528.1	XP_060399833.1
OG0000179	XP_060359805.1	XP_060393957.1
OG0000180	XP_060366993.1	XP_060402344.1
OG0000180	XP_060362643.1	XP_060394010.1
OG0000181	XP_060358425.1	XP_060399951.1
OG0000181	XP_060357593.1	XP_060395792.1
OG0000181	XP_060361614.1	XP_060395049.1
OG0000182	XP_060360546.1	XP_060395194.1
OG0000182	XP_060362182.1	XP_060397765.1
OG0000183	XP_060357136.1	XP_060396190.1, XP_060397190.1, XP_060397288.1, XP_060398981.1, XP_060398978.1
OG0000183	XP_060357137.1	XP_060398979.1
OG0000185	XP_060370141.1	XP_060399147.1
OG0000186	XP_060366093.1	XP_060399566.1
OG0000186	XP_060358429.1	XP_060399946.1
OG0000187	XP_060371822.1	XP_060400397.1
OG0000188	XP_060368166.1	XP_060400159.1
OG0000189	XP_060359775.1	XP_060402705.1
OG0000190	XP_060361700.1	XP_060404834.1
OG0000196	XP_060363088.1	XP_060391236.1
OG0000196	XP_060366061.1	XP_060399523.1
OG0000197	XP_060359886.1	XP_060391315.1
OG0000197	XP_060361831.1	XP_060391948.1
OG0000198	XP_060367855.1	XP_060391676.1
OG0000198	XP_060368419.1	XP_060396123.1
OG0000199	XP_060363172.1	XP_060394109.1
OG0000199	XP_060363152.1	XP_060392177.1
OG0000200	XP_060362041.1	XP_060393094.1
OG0000200	XP_060368545.1	XP_060396285.1
OG0000201	XP_060368349.1	XP_060394595.1
OG0000202	XP_060361286.1	XP_060393386.1
OG0000202	XP_060367503.1	XP_060401961.1
OG0000203	XP_060364359.1	XP_060393461.1
OG0000204	XP_060362596.1	XP_060393962.1
OG0000205	XP_060360578.1	XP_060395227.1
OG0000205	XP_060359254.1, XP_060360431.1, XP_060365199.1	XP_060401256.1
OG0000206	XP_060357006.1	XP_060399806.1, XP_060399148.1, XP_060396094.1
OG0000207	XP_060358428.1	XP_060399947.1
OG0000207	XP_060367926.1	XP_060404500.1, XP_060404499.1, XP_060397118.1
OG0000208	XP_060358934.1	XP_060399406.1
OG0000209	XP_060366044.1	XP_060399508.1
OG0000210	XP_060359728.1	XP_060403632.1
OG0000211	XP_060359069.1, XP_060359351.1, XP_060362977.1, XP_060359068.1	XP_060402138.1, XP_060404947.1
OG0000212	XP_060358249.1	XP_060404565.1
OG0000212	XP_060364445.1	XP_060403548.1
OG0000216	XP_060369616.1	XP_060389622.1
OG0000217	XP_060357600.1	XP_060391290.1
OG0000217	XP_060357602.1	XP_060391287.1
OG0000218	XP_060361736.1	XP_060391350.1
OG0000219	XP_060357096.1	XP_060391645.1
OG0000220	XP_060358749.1	XP_060401166.1
OG0000220	XP_060359674.1	XP_060391919.1
OG0000221	XP_060362794.1	XP_060392143.1
OG0000222	XP_060370685.1	XP_060392909.1
OG0000222	XP_060366038.1	XP_060399501.1
OG0000223	XP_060369157.1	XP_060393203.1
OG0000224	XP_060369154.1	XP_060393206.1
OG0000225	XP_060360128.1	XP_060393497.1
OG0000226	XP_060367428.1	XP_060394749.1
OG0000226	XP_060360127.1	XP_060393498.1
OG0000226	XP_060358470.1	XP_060400632.1
OG0000227	XP_060365062.1	XP_060394537.1
OG0000227	XP_060363717.1	XP_060393660.1
OG0000228	XP_060366081.1	XP_060399550.1
OG0000228	XP_060361251.1	XP_060393924.1
OG0000229	XP_060357611.1	XP_060395059.1
OG0000229	XP_060358969.1	XP_060394543.1
OG0000230	XP_060357922.1	XP_060395084.1
OG0000231	XP_060361058.1	XP_060395100.1
OG0000231	XP_060361707.1	XP_060404841.1
OG0000232	XP_060361107.1	XP_060395155.1
OG0000232	XP_060362716.1	XP_060401385.1
OG0000233	XP_060360565.1	XP_060395216.1
OG0000233	XP_060359928.1	XP_060398916.1
OG0000234	XP_060357028.1	XP_060405406.1
OG0000235	XP_060369692.1	XP_060402405.1
OG0000235	XP_060363388.1	XP_060403133.1
OG0000236	XP_060368482.1	XP_060396213.1
OG0000236	XP_060359724.1	XP_060405444.1
OG0000237	XP_060357712.1	XP_060396847.1
OG0000238	XP_060367882.1	XP_060397162.1
OG0000239	XP_060361560.1	XP_060398810.1
OG0000239	XP_060364740.1	XP_060398283.1
OG0000240	XP_060359712.1	XP_060401821.1, XP_060404035.1, XP_060403591.1
OG0000241	XP_060358766.1	XP_060401618.1, XP_060405460.1
OG0000242	XP_060357579.1	XP_060402603.1
OG0000243	XP_060364492.1, XP_060364489.1, XP_060364490.1	XP_060403500.1
OG0000243	XP_060364493.1	XP_060403497.1
OG0000243	XP_060361234.1	XP_060403499.1
OG0000244	XP_060367729.1	XP_060405272.1
OG0000248	XP_060357237.1	XP_060400839.1, XP_060402491.1
OG0000248	XP_060371211.1	XP_060398385.1
OG0000249	XP_060368594.1	XP_060403846.1
OG0000250	XP_060364343.1	XP_060390890.1
OG0000250	XP_060364974.1	XP_060389465.1
OG0000251	XP_060359182.1	XP_060389524.1
OG0000252	XP_060357536.1	XP_060403047.1
OG0000252	XP_060371698.1	XP_060390007.1
OG0000253	XP_060366042.1	XP_060399506.1
OG0000253	XP_060365372.1	XP_060390165.1
OG0000254	XP_060359659.1	XP_060405641.1
OG0000254	XP_060358340.1	XP_060390235.1
OG0000255	XP_060364793.1	XP_060405714.1
OG0000255	XP_060366772.1	XP_060390262.1
OG0000256	XP_060363899.1	XP_060401557.1
OG0000256	XP_060370761.1	XP_060390677.1
OG0000257	XP_060364578.1	XP_060399689.1
OG0000257	XP_060363669.1	XP_060391562.1
OG0000258	XP_060365066.1	XP_060394541.1
OG0000258	XP_060363633.1	XP_060391598.1
OG0000259	XP_060368279.1	XP_060394671.1
OG0000259	XP_060357412.1	XP_060391860.1
OG0000260	XP_060357639.1	XP_060391880.1
OG0000261	XP_060368122.1	XP_060391984.1
OG0000262	XP_060362778.1	XP_060392159.1
OG0000262	XP_060365579.1	XP_060405021.1
OG0000263	XP_060370143.1	XP_060399150.1
OG0000263	XP_060371628.1	XP_060392681.1
OG0000264	XP_060368010.1	XP_060406396.1
OG0000264	XP_060364114.1	XP_060395768.1
OG0000264	XP_060366514.1	XP_060392782.1
OG0000265	XP_060366490.1	XP_060392807.1
OG0000265	XP_060364218.1	XP_060404186.1
OG0000266	XP_060366479.1	XP_060392815.1
OG0000267	XP_060363869.1	XP_060392835.1
OG0000267	XP_060365757.1	XP_060395630.1
OG0000268	XP_060362665.1	XP_060394034.1
OG0000268	XP_060363887.1	XP_060392853.1
OG0000269	XP_060368056.1, XP_060364363.1	XP_060392863.1, XP_060406445.1
OG0000270	XP_060357063.1	XP_060395507.1
OG0000270	XP_060370727.1	XP_060392952.1
OG0000271	XP_060362068.1	XP_060393123.1
OG0000272	XP_060365944.1	XP_060393300.1
OG0000273	XP_060357378.1	XP_060394989.1
OG0000273	XP_060361471.1	XP_060393542.1
OG0000274	XP_060360271.1	XP_060396100.1
OG0000274	XP_060363716.1	XP_060393661.1
OG0000275	XP_060360351.1	XP_060401608.1
OG0000275	XP_060370125.1	XP_060399131.1
OG0000275	XP_060372031.1	XP_060393782.1
OG0000276	XP_060360891.1	XP_060393834.1
OG0000276	XP_060364233.1	XP_060404300.1
OG0000277	XP_060361242.1	XP_060393915.1
OG0000277	XP_060358926.1	XP_060399399.1
OG0000278	XP_060370057.1	XP_060399055.1
OG0000278	XP_060359110.1	XP_060402980.1
OG0000279	XP_060365027.1	XP_060394494.1
OG0000279	XP_060368533.1	XP_060396270.1
OG0000280	XP_060371287.1	XP_060406122.1
OG0000280	XP_060368324.1	XP_060394619.1
OG0000281	XP_060364893.1	XP_060397427.1
OG0000281	XP_060368305.1	XP_060394643.1
OG0000282	XP_060359364.1	XP_060394697.1, XP_060397184.1
OG0000283	XP_060361588.1	XP_060395025.1
OG0000283	XP_060370352.1	XP_060400957.1
OG0000284	XP_060361513.1	XP_060398756.1
OG0000284	XP_060361609.1	XP_060395046.1
OG0000285	XP_060357923.1	XP_060395083.1
OG0000285	XP_060360719.1	XP_060396051.1
OG0000287	XP_060359450.1	XP_060395180.1
OG0000287	XP_060360998.1	XP_060402558.1
OG0000288	XP_060360584.1	XP_060395234.1
OG0000289	XP_060359365.1	XP_060396668.1, XP_060395381.1
OG0000290	XP_060357052.1	XP_060395496.1
OG0000291	XP_060365514.1	XP_060395575.1
OG0000291	XP_060367246.1	XP_060396639.1
OG0000292	XP_060367745.1	XP_060405254.1
OG0000292	XP_060357581.1	XP_060395810.1
OG0000293	XP_060359081.1	XP_060402952.1
OG0000293	XP_060357313.1	XP_060395820.1
OG0000294	XP_060357849.1	XP_060395969.1
OG0000294	XP_060358252.1	XP_060404561.1
OG0000295	XP_060368405.1	XP_060396143.1
OG0000296	XP_060368506.1	XP_060396236.1
OG0000297	XP_060369904.1	XP_060396752.1
OG0000297	XP_060367138.1	XP_060397845.1
OG0000298	XP_060366694.1	XP_060397665.1
OG0000298	XP_060357384.1	XP_060397043.1
OG0000299	XP_060367968.1	XP_060397073.1
OG0000300	XP_060364877.1	XP_060397409.1
OG0000301	XP_060367178.1	XP_060397799.1
OG0000301	XP_060358535.1	XP_060399867.1
OG0000302	XP_060363817.1	XP_060397941.1
OG0000303	XP_060368739.1	XP_060403685.1
