Orthogroup	Colletotrichum_acutatum	Colletotrichum_fructicola
OG0000051	XP_060368329.1	XP_031880004.1
OG0000053	XP_060358230.1	XP_031875985.1
OG0000053	XP_060366324.1	XP_066009508.1
OG0000053	XP_060366727.1	XP_066008598.1
OG0000054	XP_060359889.1	XP_066008425.1
OG0000054	XP_060358854.1	XP_066006777.1, XP_031880558.2, XP_066007190.1
OG0000055	XP_060358650.1	XP_031881410.1, XP_031889319.1
OG0000055	XP_060357465.1	XP_031881451.1
OG0000057	XP_060365979.1	XP_031882595.1
OG0000057	XP_060363619.1	XP_031888147.2
OG0000057	XP_060357330.1	XP_066008837.1
OG0000058	XP_060371110.1	XP_031887143.1
OG0000059	XP_060357826.1	XP_031892770.2
OG0000059	XP_060360999.1	XP_031891472.1
OG0000059	XP_060363442.1	XP_031890900.1
OG0000064	XP_060366492.1	XP_031884461.1
OG0000064	XP_060357678.1	XP_031892616.1
OG0000064	XP_060358594.1, XP_060358260.1	XP_031889409.1
OG0000065	XP_060371684.1	XP_031878261.1
OG0000065	XP_060363090.1, XP_060363098.1	XP_031876068.1
OG0000066	XP_060369170.1	XP_066009119.1
OG0000066	XP_060369171.1	XP_066008327.1
OG0000067	XP_060366931.1	XP_031878359.2
OG0000068	XP_060369838.1, XP_060358217.1, XP_060357301.1, XP_060369843.1, XP_060364073.1	XP_066009666.1
OG0000068	XP_060364072.1	XP_031885096.2
OG0000068	XP_060369841.1	XP_066008797.1
OG0000069	XP_060365123.1	XP_066007562.1, XP_031884956.1
OG0000069	XP_060365125.1	XP_031885878.2, XP_031884878.1, XP_031884772.1, XP_031884771.1, XP_031884775.1, XP_031884776.1
OG0000070	XP_060363391.1	XP_031879679.1
OG0000070	XP_060362242.1	XP_031891117.1
OG0000070	XP_060361698.1	XP_031883416.1, XP_031880242.1
OG0000071	XP_060358896.1	XP_031883683.1
OG0000071	XP_060357533.1	XP_031879668.1
OG0000071	XP_060360036.1	XP_031888153.1
OG0000072	XP_060360706.1	XP_031892088.1
OG0000072	XP_060359796.1	XP_031884060.1
OG0000073	XP_060357133.1	XP_031891861.1
OG0000073	XP_060360011.1	XP_031877508.1
OG0000073	XP_060359247.1	XP_031882594.1
OG0000073	XP_060359605.1	XP_031885770.2
OG0000075	XP_060358869.1, XP_060359552.1	XP_031887696.1
OG0000076	XP_060357074.1	XP_031880315.1
OG0000076	XP_060358087.1	XP_066009734.1
OG0000077	XP_060360895.1	XP_066008350.1, XP_031880755.1
OG0000078	XP_060359138.1	XP_031883892.1
OG0000078	XP_060371854.1	XP_031885207.1
OG0000078	XP_060358933.1	XP_031879078.1
OG0000080	XP_060363411.1	XP_031887977.1
OG0000080	XP_060361376.1	XP_031888971.1
OG0000080	XP_060363513.1	XP_031878550.1
OG0000081	XP_060363636.1	XP_031877893.1
OG0000081	XP_060361111.1	XP_031881745.1
OG0000081	XP_060371511.1	XP_031892617.1
OG0000082	XP_060365931.1	XP_031877097.2
OG0000082	XP_060357437.1	XP_031887503.1
OG0000082	XP_060357631.1	XP_031878238.1
OG0000083	XP_060363191.1	XP_031883146.1, XP_031893612.2, XP_031883946.1, XP_031890993.1
OG0000084	XP_060358566.1, XP_060358452.1	XP_031892010.1, XP_031878263.1
OG0000084	XP_060360165.1	XP_031883049.1
OG0000084	XP_060357244.1, XP_060358449.1	XP_031877130.1, XP_031883666.1
OG0000085	XP_060359483.1	XP_031881447.1, XP_031881445.1, XP_031881446.1, XP_031892501.1, XP_031886043.2, XP_031888626.1, XP_031888628.1, XP_066009468.1
OG0000089	XP_060361982.1	XP_066007672.1
OG0000090	XP_060369543.1	XP_031887673.1
OG0000090	XP_060364741.1	XP_031887184.1
OG0000090	XP_060370927.1	XP_031888590.1
OG0000091	XP_060363656.1	XP_031877975.1
OG0000091	XP_060365306.1	XP_066007457.1
OG0000091	XP_060358744.1	XP_031890691.1
OG0000093	XP_060367066.1	XP_031890972.1
OG0000093	XP_060364024.1, XP_060362521.1	XP_066007384.1
OG0000094	XP_060368526.1	XP_031890942.1
OG0000094	XP_060359455.1	XP_066008811.1
OG0000095	XP_060357051.1	XP_031880048.1
OG0000097	XP_060366839.1	XP_066007559.1
OG0000097	XP_060357941.1	XP_066007959.1
OG0000098	XP_060364910.1	XP_031887187.1
OG0000098	XP_060361123.1	XP_031893238.1, XP_066008144.1
OG0000098	XP_060361825.1	XP_031889416.1
OG0000099	XP_060368011.1	XP_066009297.1
OG0000100	XP_060358595.1	XP_031889225.1
OG0000100	XP_060363206.1	XP_031881417.1
OG0000100	XP_060370122.1	XP_031881223.1
OG0000101	XP_060358948.1	XP_031875804.1
OG0000101	XP_060367966.1	XP_031880366.1
OG0000101	XP_060361545.1	XP_031880150.1
OG0000102	XP_060361542.1	XP_031880105.1
OG0000102	XP_060358264.1	XP_031893528.1
OG0000102	XP_060368296.1	XP_066009621.1
OG0000104	XP_060366843.1	XP_066008068.1, XP_066008069.1
OG0000104	XP_060366844.1, XP_060366898.1	XP_066007658.1
OG0000105	XP_060365629.1	XP_031878013.2
OG0000105	XP_060361641.1	XP_031889723.1
OG0000108	XP_060364184.1	XP_031884735.1
OG0000109	XP_060358567.1	XP_066009546.1
OG0000109	XP_060357049.1	XP_031878444.1
OG0000109	XP_060357701.1	XP_031891846.1
OG0000110	XP_060369371.1	XP_031882937.1
OG0000110	XP_060363003.1	XP_031882687.2
OG0000111	XP_060363622.1	XP_031883621.2
OG0000111	XP_060369096.1	XP_031876545.1
OG0000111	XP_060361789.1	XP_031881022.1
OG0000112	XP_060362788.1	XP_031878319.1
OG0000112	XP_060364922.1	XP_031892252.1
OG0000112	XP_060358243.1	XP_031880990.1
OG0000113	XP_060363845.1	XP_031885552.1
OG0000113	XP_060362635.1	XP_031884988.2
OG0000113	XP_060366156.1	XP_031891602.1
OG0000114	XP_060364301.1	XP_066008307.1
OG0000114	XP_060358353.1, XP_060358960.1, XP_060365019.1	XP_031878233.1
OG0000114	XP_060363351.1	XP_031883517.1
OG0000115	XP_060361868.1	XP_031884489.1
OG0000115	XP_060360252.1	XP_066007565.1
OG0000115	XP_060371167.1	XP_031887164.1
OG0000117	XP_060358226.1	XP_066008374.1
OG0000120	XP_060359204.1	XP_031879334.2
OG0000120	XP_060364175.1	XP_031884930.1
OG0000120	XP_060362130.1	XP_031887771.1
OG0000121	XP_060357311.1	XP_031884723.1
OG0000121	XP_060358677.1	XP_031884784.1
OG0000122	XP_060357740.1	XP_031884236.1
OG0000122	XP_060360436.1	XP_031887960.1, XP_031887961.1
OG0000123	XP_060357123.1	XP_066007208.1, XP_066007199.1, XP_031875665.2, XP_031875406.2, XP_031877558.1
OG0000124	XP_060357414.1	XP_066008883.1
OG0000124	XP_060357416.1	XP_031883215.1
OG0000124	XP_060357415.1	XP_031883067.1
OG0000125	XP_060365412.1	XP_031880255.1
OG0000125	XP_060360055.1	XP_031884481.1
OG0000126	XP_060362056.1	XP_066007882.1, XP_066007640.1, XP_031875981.1, XP_066009141.1, XP_066007279.1, XP_031875983.2
OG0000126	XP_060366712.1	XP_066009667.1, XP_031877438.2, XP_066009442.1
OG0000127	XP_060361903.1	XP_031882866.1
OG0000127	XP_060360754.1	XP_066007621.1
OG0000128	XP_060369786.1	XP_031885041.1
OG0000128	XP_060359925.1	XP_031890794.2
OG0000128	XP_060359979.1	XP_031884205.1, XP_031881290.1
OG0000129	XP_060358700.1	XP_031877274.1
OG0000129	XP_060366590.1	XP_066008433.1
OG0000129	XP_060358844.1	XP_031889158.1, XP_031888838.1
OG0000130	XP_060358289.1	XP_066008180.1, XP_066006948.1, XP_066007594.1, XP_066008197.1, XP_031875433.1, XP_031875542.1, XP_031875459.1, XP_066007663.1, XP_066006920.1, XP_066007731.1, XP_066008091.1, XP_066006809.1, XP_066006955.1, XP_066006969.1
OG0000131	XP_060359611.1	XP_066007694.1
OG0000132	XP_060360166.1	XP_031882996.1, XP_031889936.1, XP_031880413.2, XP_031880231.1, XP_031890551.1
OG0000133	XP_060361960.1	XP_031881973.2, XP_031884031.1, XP_031884029.1
OG0000136	XP_060359727.1	XP_031878463.1, XP_066007757.1, XP_066009244.1, XP_066007253.1, XP_066007693.1, XP_031876219.1, XP_031876218.1, XP_031875625.1
OG0000137	XP_060359062.1	XP_031887386.1
OG0000137	XP_060359080.1	XP_031875400.2
OG0000138	XP_060360416.1	XP_031892419.1
OG0000138	XP_060363533.1	XP_031883866.1, XP_031893606.1
OG0000139	XP_060360428.1	XP_066008477.1
OG0000139	XP_060361787.1, XP_060360442.1, XP_060360433.1	XP_031877919.2, XP_031877920.1
OG0000140	XP_060360421.1	XP_031883658.1, XP_031890477.1, XP_031886437.1
OG0000141	XP_060371544.1	XP_066007228.1
OG0000142	XP_060357578.1	XP_031889924.1
OG0000142	XP_060365800.1	XP_031879805.1
OG0000143	XP_060359781.1	XP_031889746.1
OG0000143	XP_060365059.1	XP_031883125.1
OG0000143	XP_060362641.1	XP_031883833.1
OG0000144	XP_060362612.1, XP_060370058.1	XP_031877258.1
OG0000144	XP_060359655.1, XP_060361625.1	XP_031887529.1
OG0000145	XP_060364035.1	XP_031888490.1
OG0000145	XP_060364945.1	XP_031888158.1, XP_031879966.1
OG0000146	XP_060357088.1, XP_060359367.1	XP_066009276.1, XP_066009128.1, XP_066007105.1, XP_066007331.1
OG0000146	XP_060359368.1	XP_031877556.2
OG0000147	XP_060362098.1	XP_066008113.1
OG0000147	XP_060366094.1	XP_031880067.1, XP_031885603.1
OG0000148	XP_060362224.1	XP_031883138.1
OG0000148	XP_060358483.1	XP_031888635.1
OG0000149	XP_060364872.1	XP_031878823.2, XP_031889038.1
OG0000150	XP_060364878.1	XP_066008230.1, XP_031875377.2, XP_066006806.1, XP_066007001.1, XP_066006964.1, XP_031875235.2, XP_031875345.1, XP_066007053.1, XP_031875324.1, XP_066007066.1, XP_031892065.1
OG0000151	XP_060363019.1	XP_031878686.1
OG0000151	XP_060366703.1	XP_031893502.1, XP_031882174.1
OG0000154	XP_060365257.1	XP_031893119.1
OG0000154	XP_060362133.1	XP_031887772.1
OG0000155	XP_060360090.1	XP_031884753.1
OG0000156	XP_060369356.1	XP_031882714.1
OG0000156	XP_060358281.1	XP_031877449.1, XP_031891987.1
OG0000157	XP_060361753.1	XP_066008341.1
OG0000159	XP_060357868.1	XP_031878844.1
OG0000159	XP_060357869.1	XP_031878843.1, XP_066008798.1, XP_066007555.1
OG0000160	XP_060368549.1	XP_031889518.2, XP_031877513.1
OG0000161	XP_060363988.1	XP_031892580.1
OG0000161	XP_060370351.1	XP_031880766.1
OG0000162	XP_060358467.1	XP_031878810.1
OG0000162	XP_060359718.1	XP_031879298.2, XP_031876288.1, XP_031876205.2, XP_066006936.1
OG0000163	XP_060364541.1	XP_031891952.1, XP_031891955.1
OG0000164	XP_060365226.1	XP_031886348.1
OG0000165	XP_060363164.1	XP_066009775.1, XP_066006979.1, XP_066007652.1, XP_066006862.1, XP_066009366.1, XP_066007836.1, XP_066008300.1, XP_066008504.1, XP_066007853.1
OG0000169	XP_060361129.1	XP_031877736.2
OG0000170	XP_060361746.1, XP_060363471.1, XP_060362435.1	XP_031884243.1, XP_031889512.1
OG0000172	XP_060360212.1	XP_031882352.1
OG0000172	XP_060367126.1, XP_060369355.1	XP_031882708.1
OG0000174	XP_060359897.1	XP_031876358.1
OG0000174	XP_060362841.1	XP_031879226.1
OG0000175	XP_060363664.1	XP_031877898.2
OG0000175	XP_060360608.1	XP_031886170.1, XP_031886168.1
OG0000177	XP_060360013.1, XP_060360012.1	XP_066009403.1
OG0000178	XP_060362745.1	XP_031876808.1
OG0000178	XP_060360498.1	XP_066008054.1
OG0000179	XP_060363528.1	XP_031892900.1
OG0000179	XP_060359805.1	XP_031883808.1
OG0000180	XP_060366993.1	XP_031891980.1
OG0000180	XP_060362643.1	XP_031884439.1, XP_031877923.1
OG0000181	XP_060358425.1	XP_031877144.1
OG0000181	XP_060357593.1, XP_060361614.1	XP_031892110.1
OG0000182	XP_060360546.1	XP_031878954.1
OG0000182	XP_060362182.1	XP_031883079.1
OG0000183	XP_060357136.1, XP_060357137.1	XP_031877540.1, XP_031875659.2, XP_066007202.1, XP_066007236.1, XP_031875869.2
OG0000185	XP_060360958.1	XP_066009590.1
OG0000185	XP_060370141.1	XP_031888068.2
OG0000186	XP_060366093.1	XP_031885604.1
OG0000186	XP_060358429.1	XP_031893196.1
OG0000187	XP_060371822.1	XP_031881436.2
OG0000188	XP_060368166.1	XP_031883357.1
OG0000189	XP_060359775.1	XP_031878927.2, XP_066007420.1, XP_031878458.1
OG0000190	XP_060361700.1	XP_031880243.1, XP_031883417.2, XP_031883679.1, XP_031887848.1
OG0000196	XP_060363088.1	XP_066008027.1
OG0000196	XP_060359313.1	XP_031886028.1
OG0000196	XP_060366061.1	XP_031885861.1
OG0000197	XP_060359886.1	XP_031876338.1
OG0000197	XP_060361831.1	XP_031887538.1
OG0000198	XP_060367855.1	XP_031880440.1
OG0000198	XP_060368419.1	XP_031884191.2
OG0000199	XP_060363172.1	XP_031881514.2
OG0000199	XP_060363152.1	XP_031889276.1
OG0000200	XP_060362041.1	XP_066009048.1, XP_066008141.1
OG0000200	XP_060368545.1	XP_031890725.1
OG0000201	XP_060368349.1	XP_031879948.1
OG0000202	XP_060359911.1, XP_060361286.1, XP_060368615.1, XP_060367503.1	XP_031893469.1
OG0000202	XP_060369685.1	XP_031885556.1
OG0000203	XP_060364359.1	XP_066009155.1
OG0000204	XP_060362596.1	XP_031884050.1, XP_031884046.2, XP_031884045.1
OG0000205	XP_060360578.1	XP_031882960.1
OG0000205	XP_060359254.1, XP_060360431.1, XP_060365199.1	XP_031877930.1
OG0000207	XP_060358428.1	XP_031877126.1
OG0000207	XP_060367926.1	XP_031880403.1
OG0000208	XP_060358934.1	XP_066008226.1, XP_066007732.1, XP_031875335.1, XP_031875333.1, XP_066007597.1, XP_066008312.1, XP_031885237.1, XP_031889663.1
OG0000209	XP_060366044.1	XP_031885758.1, XP_031885762.1, XP_031885693.1
OG0000210	XP_060359728.1	XP_031876965.1
OG0000212	XP_060358249.1	XP_031881083.1
OG0000212	XP_060364445.1	XP_031876057.1
OG0000213	XP_060358624.1	XP_066009518.1, XP_066007604.1, XP_031881610.1, XP_031887662.1
OG0000214	XP_060363289.1	XP_031881265.1, XP_031888698.1, XP_031893287.1, XP_031886158.1
OG0000216	XP_060369616.1	XP_031884282.1, XP_031886453.1
OG0000217	XP_060357600.1	XP_031884155.2
OG0000217	XP_060357602.1	XP_066008462.1
OG0000218	XP_060361736.1	XP_031883612.1, XP_031876862.1
OG0000219	XP_060357096.1	XP_031883494.1, XP_031876123.2
OG0000220	XP_060358749.1	XP_031893537.1
OG0000220	XP_060359674.1	XP_031889643.1
OG0000221	XP_060362794.1	XP_066009896.1, XP_031878290.1, XP_031878287.1, XP_031878288.1
OG0000222	XP_060370685.1	XP_031877985.1
OG0000222	XP_060366038.1	XP_031885608.1
OG0000223	XP_060369157.1	XP_031889263.1
OG0000224	XP_060369154.1	XP_031880532.1
OG0000225	XP_060360128.1	XP_031889375.1
OG0000225	XP_060361922.1	XP_031892168.1
OG0000226	XP_060367428.1	XP_031888813.2
OG0000226	XP_060358470.1	XP_031887823.1
OG0000227	XP_060365062.1	XP_031876870.1
OG0000227	XP_060363717.1	XP_031881032.2
OG0000228	XP_060366081.1	XP_031885764.1
OG0000228	XP_060361251.1	XP_031884073.2
OG0000229	XP_060357611.1	XP_031892114.1
OG0000229	XP_060358969.1	XP_031885908.1
OG0000230	XP_060357922.1	XP_031892057.2
OG0000231	XP_060361058.1	XP_031878898.1
OG0000231	XP_060361707.1	XP_031880183.1
OG0000232	XP_060361107.1	XP_031885108.1
OG0000232	XP_060362716.1	XP_066007415.1
OG0000233	XP_060360565.1	XP_031879100.2
OG0000233	XP_060359928.1	XP_031877944.2
OG0000234	XP_060357028.1	XP_031884476.1
OG0000235	XP_060369692.1	XP_031885114.1
OG0000235	XP_060363388.1	XP_031887506.1
OG0000236	XP_060368482.1	XP_031891031.1
OG0000236	XP_060359724.1	XP_066006762.1, XP_031876214.2, XP_031876318.1
OG0000237	XP_060357712.1	XP_031889135.2
OG0000238	XP_060367882.1	XP_031880382.1
OG0000238	XP_060367881.1	XP_066008315.1, XP_066008101.1
OG0000239	XP_060361560.1	XP_031880091.1
OG0000239	XP_060364740.1	XP_031887185.1
OG0000240	XP_060359712.1	XP_031876320.1, XP_066007149.1, XP_066009202.1, XP_031891123.1, XP_066006774.1
OG0000241	XP_060359071.1, XP_060359353.1	XP_031888065.1
OG0000242	XP_060357579.1	XP_031890067.1, XP_031881057.1, XP_031889923.1
OG0000243	XP_060364492.1, XP_060364489.1, XP_060364490.1	XP_031880869.1
OG0000243	XP_060364493.1, XP_060361234.1	XP_066007465.1
OG0000244	XP_060367729.1	XP_066008473.1, XP_031883110.1, XP_031883109.1, XP_031885953.1
OG0000245	XP_060359338.1	XP_066008404.1, XP_066007971.1
OG0000248	XP_060357237.1, XP_060371211.1	XP_031887254.2
OG0000250	XP_060364343.1	XP_066008305.1
OG0000250	XP_060364974.1	XP_031893467.1
OG0000251	XP_060359182.1	XP_031875844.1
OG0000252	XP_060357536.1	XP_031879773.1
OG0000252	XP_060371698.1	XP_031892605.1
OG0000252	XP_060360916.1	XP_031885018.2
OG0000253	XP_060366042.1	XP_031885612.1
OG0000253	XP_060365372.1	XP_031883425.1
OG0000254	XP_060359659.1	XP_031883415.1
OG0000254	XP_060358340.1	XP_031880698.1
OG0000255	XP_060364793.1	XP_031882041.1
OG0000255	XP_060366772.1	XP_031890572.2
OG0000256	XP_060363899.1	XP_031893402.1
OG0000256	XP_060370761.1	XP_031888239.1
OG0000257	XP_060364578.1	XP_066008568.1
OG0000258	XP_060365066.1	XP_031878160.1
OG0000258	XP_060363633.1	XP_031877926.1
OG0000259	XP_060368279.1	XP_031879986.1
OG0000259	XP_060357412.1	XP_031881096.1
OG0000260	XP_060357639.1	XP_031893328.1, XP_031888191.1, XP_031880983.1
OG0000261	XP_060368122.1	XP_031882829.1, XP_031887648.1
OG0000262	XP_060362778.1	XP_031878314.1
OG0000262	XP_060365579.1	XP_031877319.1
OG0000263	XP_060370143.1	XP_031888186.1
OG0000263	XP_060371628.1	XP_031892380.1
OG0000264	XP_060368010.1	XP_031893609.1
OG0000265	XP_060366490.1	XP_031884627.1
OG0000265	XP_060364218.1	XP_031877411.1
OG0000266	XP_060366479.1	XP_031884517.1
OG0000267	XP_060365757.1	XP_031884833.1
OG0000268	XP_060362665.1	XP_066007782.1
OG0000268	XP_060363887.1	XP_031883323.1
OG0000269	XP_060368056.1, XP_060364363.1	XP_031886304.1, XP_031882560.1
OG0000270	XP_060357063.1	XP_031879611.1
OG0000270	XP_060370727.1	XP_066008431.1
OG0000271	XP_060362068.1	XP_031877946.1
OG0000272	XP_060365944.1	XP_031886352.2, XP_066007170.1
OG0000273	XP_060357378.1	XP_031892165.1
OG0000273	XP_060361471.1	XP_066009187.1
OG0000274	XP_060360271.1	XP_031877059.1
OG0000274	XP_060363716.1	XP_031881142.1
OG0000275	XP_060360351.1, XP_060370125.1	XP_066007239.1
OG0000275	XP_060372031.1	XP_031881396.1
OG0000276	XP_060360891.1	XP_031884038.1
OG0000276	XP_060364233.1	XP_031888748.1
OG0000277	XP_060361242.1	XP_031884009.1
OG0000277	XP_060358926.1	XP_031879003.2
OG0000278	XP_060370057.1	XP_031877278.1
OG0000278	XP_060359110.1	XP_031878749.1
OG0000279	XP_060365027.1	XP_031878092.1
