Orthogroup	Colletotrichum_gloeosporioides	Colletotrichum_godetiae
OG0000012	XP_045259368.1	XP_060424388.1
OG0000014	XP_045270236.1	XP_060433247.1
OG0000014	XP_045261063.1	XP_060429479.1
OG0000014	XP_045263961.1	XP_060431445.1
OG0000014	XP_045260775.1	XP_060426988.1
OG0000014	XP_045261682.1	XP_060426412.1
OG0000014	XP_045265112.1, XP_045257268.1	XP_060422444.1
OG0000015	XP_045268750.1	XP_060424864.1
OG0000015	XP_045269300.1, XP_045257913.1	XP_060430301.1, XP_060421624.1, XP_060422502.1
OG0000016	XP_045268108.1	XP_060436401.1
OG0000016	XP_045271029.1	XP_060423652.1
OG0000016	XP_045270259.1	XP_060433359.1
OG0000016	XP_045261571.1	XP_060433378.1
OG0000016	XP_045263857.1	XP_060427843.1
OG0000017	XP_045266928.1	XP_060428176.1
OG0000017	XP_045267817.1	XP_060430370.1
OG0000017	XP_045262462.1	XP_060435846.1
OG0000017	XP_045263525.1	XP_060435607.1, XP_060427398.1
OG0000017	XP_045269008.1, XP_045257135.1, XP_045265779.1	XP_060431154.1
OG0000018	XP_045261750.1, XP_045269504.1, XP_045268940.1, XP_045258981.1	XP_060430376.1
OG0000018	XP_045260978.1, XP_045261206.1, XP_045263914.1	XP_060427534.1, XP_060433811.1
OG0000019	XP_045266134.1	XP_060435896.1
OG0000019	XP_045268713.1, XP_045260527.1, XP_045259856.1	XP_060430815.1
OG0000019	XP_045257775.1	XP_060430406.1
OG0000021	XP_045265250.1	XP_060423578.1, XP_060430212.1
OG0000023	XP_045261010.1	XP_060429564.1
OG0000023	XP_045260488.1	XP_060428030.1
OG0000023	XP_045260626.1	XP_060425815.1
OG0000023	XP_045261585.1	XP_060433414.1
OG0000023	XP_045268220.1	XP_060436329.1
OG0000023	XP_045260319.1	XP_060424910.1
OG0000024	XP_045267895.1	XP_060436445.1
OG0000024	XP_045261730.1	XP_060427612.1
OG0000024	XP_045266000.1	XP_060430976.1, XP_060429383.1
OG0000026	XP_045265987.1	XP_060429386.1
OG0000026	XP_045265695.1	XP_060428763.1
OG0000026	XP_045265549.1	XP_060429661.1
OG0000028	XP_045257477.1	XP_060428084.1
OG0000028	XP_045267627.1	XP_060424829.1
OG0000028	XP_045266376.1	XP_060436891.1
OG0000028	XP_045257481.1	XP_060428081.1
OG0000028	XP_045256637.1	XP_060422176.1
OG0000031	XP_045261170.1	XP_060429462.1
OG0000031	XP_045256974.1	XP_060431363.1, XP_060425378.1
OG0000031	XP_045270959.1	XP_060423022.1
OG0000031	XP_045269450.1, XP_045263142.1	XP_060425379.1
OG0000031	XP_045269569.1	XP_060425569.1
OG0000032	XP_045266811.1	XP_060423400.1, XP_060423399.1
OG0000032	XP_045266470.1	XP_060423317.1, XP_060422826.1, XP_060436851.1
OG0000033	XP_045264174.1	XP_060425685.1
OG0000033	XP_045262109.1	XP_060432069.1
OG0000033	XP_045270857.1, XP_045259978.1, XP_045257179.1	XP_060428895.1
OG0000034	XP_045263085.1	XP_060425434.1
OG0000034	XP_045267725.1	XP_060425010.1
OG0000034	XP_045270159.1	XP_060426368.1
OG0000034	XP_045269028.1	XP_060427517.1
OG0000035	XP_045256568.1	XP_060437284.1
OG0000035	XP_045259085.1	XP_060427104.1
OG0000035	XP_045256775.1	XP_060426759.1
OG0000035	XP_045264968.1, XP_045268765.1, XP_045260563.1	XP_060429699.1
OG0000037	XP_045261096.1	XP_060429509.1
OG0000037	XP_045270941.1	XP_060433748.1, XP_060427933.1
OG0000037	XP_045264881.1	XP_060434737.1
OG0000037	XP_045257505.1	XP_060422163.1
OG0000038	XP_045258960.1	XP_060436774.1
OG0000039	XP_045257600.1	XP_060422300.1
OG0000039	XP_045259398.1	XP_060422156.1, XP_060430347.1
OG0000039	XP_045265097.1	XP_060436406.1
OG0000039	XP_045267267.1	XP_060424742.1
OG0000040	XP_045257150.1	XP_060435849.1, XP_060426497.1
OG0000040	XP_045267145.1	XP_060421402.1, XP_060421289.1, XP_060421340.1
OG0000043	XP_045260283.1	XP_060423691.1
OG0000044	XP_045259382.1	XP_060424363.1
OG0000044	XP_045259917.1, XP_045256116.1, XP_045264199.1	XP_060430013.1
OG0000046	XP_045266187.1	XP_060423965.1
OG0000046	XP_045256698.1	XP_060422315.1
OG0000046	XP_045270169.1	XP_060432596.1
OG0000046	XP_045268007.1	XP_060436550.1
OG0000047	XP_045267639.1, XP_045260562.1	XP_060428658.1
OG0000049	XP_045263917.1	XP_060429839.1
OG0000049	XP_045268550.1	XP_060429902.1
OG0000049	XP_045267692.1	XP_060427999.1
OG0000049	XP_045261757.1	XP_060427652.1
OG0000050	XP_045271142.1	XP_060426010.1
OG0000050	XP_045256887.1, XP_045264197.1	XP_060430015.1
OG0000050	XP_045262061.1	XP_060434196.1
OG0000051	XP_045263568.1	XP_060427463.1
OG0000051	XP_045267207.1	XP_060429014.1
OG0000051	XP_045257839.1	XP_060427740.1
OG0000051	XP_045258153.1	XP_060424773.1
OG0000053	XP_045258297.1	XP_060422806.1
OG0000054	XP_045260351.1	XP_060425671.1
OG0000055	XP_045264937.1, XP_045262255.1	XP_060430387.1
OG0000057	XP_045263183.1, XP_045263077.1	XP_060425430.1
OG0000057	XP_045266969.1	XP_060425812.1
OG0000058	XP_045268364.1	XP_060436116.1
OG0000059	XP_045256241.1	XP_060423506.1, XP_060436928.1
OG0000059	XP_045263662.1	XP_060431609.1
OG0000059	XP_045270918.1	XP_060431044.1
OG0000064	XP_045258881.1	XP_060425145.1
OG0000064	XP_045256286.1	XP_060422483.1
OG0000064	XP_045268075.1	XP_060429117.1, XP_060427609.1, XP_060422807.1
OG0000065	XP_045257234.1	XP_060436978.1
OG0000065	XP_045261140.1	XP_060421892.1
OG0000066	XP_045261489.1	XP_060435465.1
OG0000066	XP_045268142.1, XP_045261488.1	XP_060421285.1
OG0000067	XP_045269697.1	XP_060427460.1
OG0000067	XP_045267259.1, XP_045268953.1, XP_045261800.1	XP_060426247.1
OG0000069	XP_045260139.1	XP_060433153.1
OG0000069	XP_045260314.1, XP_045260132.1, XP_045260133.1, XP_045260130.1, XP_045260129.1	XP_060433151.1
OG0000070	XP_045257325.1	XP_060426203.1
OG0000070	XP_045270929.1	XP_060423011.1
OG0000070	XP_045260902.1, XP_045268118.1	XP_060436394.1
OG0000071	XP_045271076.1	XP_060424427.1
OG0000071	XP_045257723.1	XP_060427335.1
OG0000071	XP_045256765.1	XP_060422211.1
OG0000072	XP_045259157.1	XP_060433292.1
OG0000072	XP_045259279.1	XP_060431204.1
OG0000072	XP_045269192.1	XP_060432710.1
OG0000072	XP_045264153.1	XP_060430058.1
OG0000073	XP_045268969.1	XP_060431088.1
OG0000073	XP_045257575.1	XP_060427350.1
OG0000073	XP_045269220.1	XP_060427303.1
OG0000074	XP_045257444.1	XP_060421909.1, XP_060424571.1
OG0000074	XP_045267143.1	XP_060423300.1
OG0000074	XP_045262110.1	XP_060422129.1
OG0000075	XP_045262378.1	XP_060435771.1
OG0000076	XP_045259171.1	XP_060429108.1
OG0000077	XP_045257569.1	XP_060429200.1
OG0000077	XP_045264585.1, XP_045269087.1	XP_060429949.1
OG0000078	XP_045264238.1	XP_060429979.1
OG0000078	XP_045259506.1	XP_060434048.1
OG0000078	XP_045257967.1	XP_060428127.1
OG0000080	XP_045256773.1	XP_060426223.1
OG0000080	XP_045258370.1	XP_060425323.1
OG0000080	XP_045257656.1	XP_060435856.1
OG0000081	XP_045270071.1	XP_060423130.1
OG0000081	XP_045259778.1	XP_060430904.1
OG0000081	XP_045256341.1	XP_060437149.1
OG0000082	XP_045263124.1	XP_060422997.1
OG0000082	XP_045266348.1	XP_060422769.1
OG0000082	XP_045267659.1	XP_060424833.1
OG0000083	XP_045259975.1	XP_060432065.1
OG0000084	XP_045257184.1	XP_060423188.1, XP_060432095.1
OG0000084	XP_045267107.1	XP_060427931.1
OG0000084	XP_045263141.1, XP_045259360.1	XP_060421552.1
OG0000085	XP_045260102.1, XP_045256206.1, XP_045258506.1, XP_045258508.1, XP_045258507.1	XP_060425007.1
OG0000088	XP_045269909.1, XP_045269168.1, XP_045269906.1, XP_045269907.1	XP_060422654.1
OG0000089	XP_045268482.1	XP_060436023.1
OG0000089	XP_045259870.1	XP_060430235.1
OG0000089	XP_045264932.1	XP_060434789.1
OG0000090	XP_045266317.1	XP_060435685.1
OG0000090	XP_045268543.1	XP_060432593.1
OG0000090	XP_045262785.1	XP_060434587.1
OG0000091	XP_045270047.1	XP_060429603.1
OG0000091	XP_045260867.1	XP_060429716.1
OG0000093	XP_045270880.1	XP_060423078.1
OG0000094	XP_045260730.1	XP_060424903.1
OG0000094	XP_045266902.1	XP_060430915.1
OG0000095	XP_045270992.1, XP_045261234.1, XP_045261698.1, XP_045263815.1	XP_060426755.1
OG0000097	XP_045266067.1	XP_060426330.1
OG0000097	XP_045258858.1	XP_060427229.1
OG0000098	XP_045256500.1	XP_060437196.1
OG0000099	XP_045267038.1	XP_060436672.1
OG0000099	XP_045266982.1	XP_060436671.1
OG0000099	XP_045263376.1	XP_060428537.1
OG0000100	XP_045268076.1	XP_060429116.1
OG0000100	XP_045264880.1	XP_060434736.1
OG0000100	XP_045270148.1	XP_060426685.1
OG0000101	XP_045260937.1	XP_060429801.1
OG0000101	XP_045266505.1	XP_060436734.1
OG0000101	XP_045270973.1	XP_060422556.1
OG0000102	XP_045270965.1	XP_060422559.1
OG0000102	XP_045268634.1	XP_060428962.1
OG0000102	XP_045258108.1	XP_060422755.1
OG0000103	XP_045257961.1	XP_060425059.1
OG0000104	XP_045264965.1	XP_060426278.1
OG0000105	XP_045263765.1, XP_045263970.1	XP_060427086.1
OG0000108	XP_045264547.1	XP_060421497.1
OG0000108	XP_045258312.1	XP_060421664.1
OG0000109	XP_045258433.1	XP_060423190.1
OG0000109	XP_045260515.1	XP_060427211.1
OG0000110	XP_045265803.1	XP_060431348.1
OG0000110	XP_045259615.1	XP_060427587.1
OG0000110	XP_045263020.1	XP_060425377.1
OG0000111	XP_045269982.1	XP_060423145.1
OG0000111	XP_045270634.1	XP_060435389.1
OG0000111	XP_045259597.1	XP_060430457.1
OG0000112	XP_045257198.1	XP_060423474.1
OG0000112	XP_045268848.1	XP_060431014.1
OG0000112	XP_045259620.1	XP_060427593.1
OG0000113	XP_045258581.1	XP_060428325.1
OG0000113	XP_045260170.1	XP_060430101.1
OG0000113	XP_045256573.1	XP_060437280.1
OG0000114	XP_045264514.1	XP_060436600.1
OG0000114	XP_045267649.1	XP_060429560.1
OG0000114	XP_045257786.1, XP_045269964.1	XP_060423850.1
OG0000115	XP_045258380.1, XP_045256141.1	XP_060425296.1
OG0000115	XP_045264904.1	XP_060433308.1
OG0000115	XP_045268406.1	XP_060436170.1
OG0000120	XP_045267818.1	XP_060424855.1
OG0000120	XP_045271284.1	XP_060422018.1
OG0000120	XP_045262416.1	XP_060435829.1
OG0000121	XP_045271258.1	XP_060433063.1
OG0000121	XP_045271280.1	XP_060421928.1, XP_060425823.1
OG0000122	XP_045270217.1, XP_045261383.1, XP_045264513.1	XP_060421992.1
OG0000124	XP_045267432.1	XP_060427566.1
OG0000125	XP_045268190.1	XP_060436341.1
OG0000125	XP_045258904.1	XP_060422442.1
OG0000125	XP_045261245.1	XP_060426742.1
OG0000127	XP_045262511.1	XP_060425263.1
OG0000127	XP_045271343.1	XP_060433246.1
OG0000128	XP_045266852.1	XP_060430770.1
OG0000128	XP_045270848.1	XP_060425868.1
OG0000129	XP_045265942.1	XP_060432571.1
OG0000129	XP_045267846.1, XP_045263385.1	XP_060422672.1
OG0000131	XP_045257749.1, XP_045257747.1, XP_045257748.1	XP_060422270.1, XP_060422425.1, XP_060422273.1
OG0000131	XP_045257750.1	XP_060427310.1, XP_060427311.1
OG0000132	XP_045267108.1, XP_045269568.1, XP_045266427.1, XP_045268660.1, XP_045268138.1, XP_045264038.1	XP_060427930.1
OG0000133	XP_045265189.1	XP_060423512.1
OG0000136	XP_045258313.1	XP_060424587.1, XP_060422528.1
OG0000138	XP_045266374.1	XP_060436889.1
OG0000138	XP_045264335.1, XP_045260029.1	XP_060424295.1
OG0000139	XP_045270128.1	XP_060425773.1, XP_060425760.1
OG0000139	XP_045270127.1	XP_060425758.1, XP_060425772.1, XP_060425757.1
OG0000140	XP_045266601.1, XP_045265504.1, XP_045270912.1	XP_060424924.1
OG0000141	XP_045262993.1	XP_060437112.1
OG0000141	XP_045261602.1	XP_060437113.1, XP_060425443.1
OG0000142	XP_045269779.1	XP_060430447.1
OG0000142	XP_045262179.1	XP_060431923.1
OG0000143	XP_045265074.1	XP_060430044.1
OG0000143	XP_045267117.1	XP_060429828.1
OG0000143	XP_045264840.1	XP_060430105.1
OG0000144	XP_045265947.1	XP_060430084.1
OG0000144	XP_045262464.1	XP_060424506.1
OG0000145	XP_045262875.1	XP_060434697.1
OG0000146	XP_045268140.1, XP_045267154.1	XP_060427347.1
OG0000147	XP_045266544.1	XP_060436692.1
OG0000147	XP_045271008.1, XP_045269205.1	XP_060432726.1
OG0000148	XP_045259911.1	XP_060430277.1
OG0000148	XP_045263425.1	XP_060422699.1
OG0000150	XP_045260460.1	XP_060430974.1
OG0000151	XP_045263000.1	XP_060425394.1
OG0000151	XP_045267237.1, XP_045263523.1	XP_060427403.1
OG0000154	XP_045267240.1	XP_060429061.1
OG0000154	XP_045262413.1	XP_060435826.1
OG0000155	XP_045261260.1	XP_060427849.1
OG0000155	XP_045260166.1	XP_060422475.1
OG0000156	XP_045265793.1	XP_060431367.1
OG0000156	XP_045267623.1, XP_045260444.1	XP_060421880.1
OG0000157	XP_045257315.1	XP_060434820.1
OG0000157	XP_045259878.1, XP_045270121.1	XP_060422653.1
OG0000157	XP_045259408.1	XP_060425717.1
OG0000158	XP_045257707.1, XP_045260524.1, XP_045261225.1	XP_060422543.1
OG0000159	XP_045257936.1, XP_045265217.1, XP_045258502.1, XP_045261060.1	XP_060427666.1
OG0000160	XP_045259057.1	XP_060423084.1
OG0000160	XP_045265070.1, XP_045256694.1	XP_060433591.1, XP_060424925.1
OG0000161	XP_045262216.1	XP_060432016.1
OG0000161	XP_045270352.1	XP_060431759.1
OG0000162	XP_045261732.1	XP_060421827.1
OG0000162	XP_045267737.1	XP_060421305.1, XP_060422261.1, XP_060424598.1
OG0000163	XP_045264751.1	XP_060432149.1
OG0000164	XP_045271038.1	XP_060429028.1
OG0000164	XP_045270027.1	XP_060432699.1
OG0000169	XP_045263453.1	XP_060432353.1, XP_060427684.1, XP_060427682.1, XP_060432351.1, XP_060423970.1, XP_060423971.1, XP_060432354.1, XP_060432355.1
OG0000169	XP_045256494.1	XP_060437202.1
OG0000170	XP_045262940.1, XP_045265064.1	XP_060425710.1, XP_060435895.1, XP_060433416.1
OG0000171	XP_045269583.1, XP_045257390.1	XP_060424740.1
OG0000172	XP_045266696.1	XP_060432397.1
OG0000172	XP_045265794.1	XP_060430143.1, XP_060431369.1
OG0000174	XP_045271027.1	XP_060423650.1
OG0000174	XP_045266193.1	XP_060423957.1
OG0000175	XP_045270053.1	XP_060429595.1
OG0000175	XP_045265726.1, XP_045271158.1	XP_060432683.1
OG0000176	XP_045268222.1, XP_045268417.1, XP_045268153.1	XP_060432988.1
OG0000176	XP_045266063.1	XP_060437308.1
OG0000177	XP_045257602.1	XP_060422301.1
OG0000178	XP_045257121.1	XP_060423422.1
OG0000178	XP_045266671.1	XP_060433814.1
OG0000179	XP_045268759.1	XP_060424291.1
OG0000179	XP_045264144.1	XP_060430066.1
OG0000180	XP_045260430.1	XP_060435190.1
OG0000180	XP_045258894.1, XP_045270077.1	XP_060430107.1
OG0000181	XP_045263177.1	XP_060423731.1
OG0000181	XP_045259217.1	XP_060433045.1, XP_060431148.1
OG0000182	XP_045267052.1	XP_060430933.1
OG0000182	XP_045259868.1	XP_060430234.1
OG0000185	XP_045263630.1	XP_060431571.1
OG0000185	XP_045268724.1	XP_060426655.1
OG0000186	XP_045269206.1	XP_060432727.1
OG0000186	XP_045263180.1	XP_060423736.1
OG0000187	XP_045256990.1	XP_060432109.1
OG0000187	XP_045260084.1	XP_060434081.1
OG0000188	XP_045259714.1	XP_060432285.1
OG0000188	XP_045267833.1	XP_060433585.1
OG0000189	XP_045270132.1, XP_045267061.1, XP_045256543.1, XP_045260600.1, XP_045257751.1, XP_045267913.1	XP_060424695.1
OG0000190	XP_045268117.1, XP_045260907.1, XP_045271077.1, XP_045261350.1	XP_060436396.1
OG0000196	XP_045265901.1	XP_060428240.1
OG0000196	XP_045269336.1	XP_060432758.1
OG0000197	XP_045260342.1	XP_060425674.1
OG0000197	XP_045262445.1, XP_045261777.1	XP_060421463.1
OG0000198	XP_045266461.1	XP_060436842.1
OG0000198	XP_045270186.1	XP_060433346.1
OG0000199	XP_045264927.1	XP_060434764.1
OG0000199	XP_045268026.1	XP_060428002.1
OG0000200	XP_045269788.1	XP_060424920.1
OG0000201	XP_045258175.1	XP_060424755.1
OG0000201	XP_045257522.1	XP_060428997.1
OG0000202	XP_045269319.1	XP_060423974.1, XP_060427756.1
OG0000203	XP_045257266.1, XP_045269011.1, XP_045256864.1	XP_060429285.1
OG0000205	XP_045267125.1	XP_060430966.1
OG0000205	XP_045270115.1	XP_060428996.1
OG0000207	XP_045263179.1	XP_060423735.1
OG0000207	XP_045266407.1	XP_060436778.1
OG0000208	XP_045266874.1, XP_045269783.1	XP_060428129.1
OG0000209	XP_045269236.1, XP_045269233.1, XP_045269243.1, XP_045269237.1, XP_045269244.1	XP_060432777.1
OG0000210	XP_045265138.1	XP_060426365.1
OG0000211	XP_045257705.1	XP_060421276.1, XP_060424648.1, XP_060428272.1, XP_060435314.1, XP_060421277.1, XP_060421808.1, XP_060421498.1, XP_060434127.1, XP_060424649.1, XP_060423286.1
OG0000212	XP_045259625.1	XP_060427599.1
OG0000212	XP_045261155.1	XP_060429474.1
OG0000214	XP_045261715.1, XP_045263460.1, XP_045263186.1, XP_045271149.1	XP_060426385.1
OG0000216	XP_045259148.1, XP_045265479.1	XP_060435606.1
OG0000216	XP_045269769.1	XP_060430434.1
OG0000217	XP_045260327.1	XP_060423665.1
OG0000218	XP_045271056.1, XP_045265810.1, XP_045258998.1, XP_045269449.1	XP_060425703.1, XP_060425704.1
OG0000219	XP_045269967.1, XP_045269435.1	XP_060423178.1
OG0000220	XP_045267270.1	XP_060429093.1
OG0000220	XP_045269671.1	XP_060430530.1
OG0000221	XP_045257182.1, XP_045257181.1	XP_060423480.1
OG0000222	XP_045258772.1	XP_060433500.1
OG0000222	XP_045269245.1	XP_060432783.1
OG0000223	XP_045268002.1	XP_060430502.1, XP_060435451.1, XP_060430503.1, XP_060435450.1
OG0000224	XP_045270683.1	XP_060435447.1
OG0000224	XP_045267246.1, XP_045269182.1	XP_060432709.1
OG0000225	XP_045262317.1	XP_060429248.1
OG0000225	XP_045268958.1	XP_060437231.1
OG0000226	XP_045263381.1	XP_060435100.1
OG0000226	XP_045261410.1	XP_060426980.1, XP_060421831.1
OG0000227	XP_045259003.1	XP_060429824.1
OG0000227	XP_045269037.1	XP_060427511.1
OG0000228	XP_045269231.1	XP_060432744.1
OG0000228	XP_045264164.1	XP_060430035.1
OG0000229	XP_045259222.1	XP_060431157.1
OG0000229	XP_045271148.1	XP_060429818.1
OG0000230	XP_045268776.1	XP_060423489.1
OG0000230	XP_045259256.1	XP_060431185.1
OG0000231	XP_045266990.1	XP_060430848.1
OG0000231	XP_045268102.1	XP_060436403.1
OG0000232	XP_045266910.1	XP_060430900.1
OG0000232	XP_045260983.1	XP_060428861.1
OG0000233	XP_045257945.1	XP_060430954.1
OG0000233	XP_045270081.1	XP_060425871.1
OG0000234	XP_045266609.1	XP_060425235.1
OG0000234	XP_045258872.1	XP_060430402.1
OG0000235	XP_045259464.1	XP_060435253.1
OG0000235	XP_045266345.1	XP_060426200.1
OG0000236	XP_045260760.1	XP_060427004.1, XP_060422117.1, XP_060422524.1, XP_060424590.1
OG0000237	XP_045262285.1	XP_060429197.1
OG0000237	XP_045262107.1, XP_045264988.1	XP_060428577.1
OG0000238	XP_045266441.1	XP_060436822.1
OG0000238	XP_045266439.1, XP_045266440.1	XP_060436823.1
OG0000239	XP_045270980.1	XP_060423000.1
OG0000239	XP_045268542.1	XP_060432594.1
OG0000240	XP_045270926.1	XP_060421528.1, XP_060422255.1, XP_060424607.1
OG0000241	XP_045261343.1	XP_060424642.1
OG0000242	XP_045261996.1, XP_045269075.1, XP_045261307.1, XP_045269778.1	XP_060430448.1
OG0000243	XP_045266028.1	XP_060429427.1, XP_060429426.1
OG0000243	XP_045266027.1	XP_060422852.1, XP_060429425.1
OG0000244	XP_045263066.1, XP_045264601.1, XP_045267416.1, XP_045263065.1	XP_060426067.1
OG0000248	XP_045268442.1	XP_060424578.1, XP_060422538.1, XP_060436223.1
OG0000249	XP_045269262.1	XP_060422865.1, XP_060422532.1
OG0000250	XP_045264556.1	XP_060421724.1
OG0000250	XP_045268745.1	XP_060429519.1
OG0000251	XP_045264704.1	XP_060422916.1
OG0000251	XP_045267832.1	XP_060433584.1
OG0000252	XP_045257720.1	XP_060427330.1
OG0000253	XP_045269240.1	XP_060432779.1
OG0000253	XP_045260923.1	XP_060429783.1
OG0000254	XP_045260903.1, XP_045257744.1	XP_060424511.1
OG0000255	XP_045265311.1	XP_060423628.1
OG0000255	XP_045264054.1	XP_060431508.1
OG0000256	XP_045267556.1	XP_060426849.1
OG0000256	XP_045262627.1	XP_060434413.1
OG0000257	XP_045256987.1	XP_060432113.1
OG0000258	XP_045260962.1	XP_060429820.1
OG0000258	XP_045270075.1	XP_060423133.1
OG0000259	XP_045258115.1	XP_060422736.1
OG0000259	XP_045259585.1	XP_060427564.1
OG0000260	XP_045257559.1, XP_045261251.1, XP_045259612.1	XP_060427584.1
OG0000261	XP_045262502.1, XP_045262345.1	XP_060428648.1
OG0000262	XP_045257191.1	XP_060423466.1
OG0000262	XP_045259071.1	XP_060427134.1
OG0000263	XP_045261365.1	XP_060426653.1
OG0000263	XP_045256441.1	XP_060437030.1
OG0000264	XP_045259980.1	XP_060428532.1
OG0000264	XP_045265202.1	XP_060433027.1, XP_060421605.1, XP_060425124.1
OG0000265	XP_045258879.1	XP_060425147.1
OG0000265	XP_045267620.1	XP_060425050.1
OG0000266	XP_045258833.1	XP_060425158.1, XP_060425157.1
OG0000266	XP_045263908.1	XP_060433597.1
OG0000267	XP_045259651.1	XP_060428292.1
OG0000267	XP_045271379.1	XP_060425196.1
OG0000268	XP_045264859.1	XP_060430119.1
OG0000268	XP_045259767.1	XP_060428313.1
OG0000269	XP_045259633.1, XP_045265385.1	XP_060428572.1, XP_060424045.1
OG0000270	XP_045261902.1	XP_060430676.1
OG0000270	XP_045258721.1	XP_060433539.1
OG0000271	XP_045265206.1	XP_060436659.1
OG0000272	XP_045263903.1	XP_060433589.1
OG0000273	XP_045268955.1	XP_060431084.1
OG0000273	XP_045262274.1	XP_060429213.1
OG0000274	XP_045269038.1	XP_060427512.1
OG0000275	XP_045267782.1, XP_045263049.1	XP_060426668.1
OG0000275	XP_045263496.1	XP_060433865.1
OG0000276	XP_045264269.1	XP_060429943.1
OG0000276	XP_045263314.1	XP_060423215.1
OG0000277	XP_045264186.1	XP_060430026.1
OG0000277	XP_045258022.1	XP_060428120.1
OG0000278	XP_045257530.1	XP_060427266.1
OG0000279	XP_045261008.1	XP_060429566.1
OG0000279	XP_045269208.1	XP_060424911.1
OG0000280	XP_045265584.1	XP_060429618.1
OG0000280	XP_045258151.1	XP_060424776.1
OG0000281	XP_045270549.1	XP_060430988.1
OG0000281	XP_045258084.1	XP_060422763.1
OG0000282	XP_045267152.1	XP_060421650.1
OG0000283	XP_045268918.1	XP_060431124.1
OG0000283	XP_045270351.1	XP_060431758.1
OG0000284	XP_045271004.1	XP_060422589.1
OG0000284	XP_045262266.1	XP_060422592.1, XP_060431145.1
OG0000285	XP_045259247.1	XP_060431184.1
OG0000285	XP_045259158.1	XP_060433280.1
OG0000286	XP_045260442.1	XP_060430911.1
OG0000287	XP_045267010.1	XP_060430921.1
OG0000287	XP_045263659.1	XP_060431608.1
OG0000289	XP_045267153.1	XP_060421648.1, XP_060421412.1, XP_060427344.1, XP_060421749.1
OG0000290	XP_045261233.1	XP_060426754.1
OG0000291	XP_045269623.1	XP_060430607.1
OG0000291	XP_045258649.1	XP_060428427.1
OG0000292	XP_045264596.1	XP_060426052.1
OG0000292	XP_045264899.1	XP_060433055.1
OG0000293	XP_045257803.1	XP_060427238.1
OG0000293	XP_045271256.1	XP_060433065.1
OG0000294	XP_045270216.1	XP_060433207.1
OG0000294	XP_045259628.1	XP_060427602.1
OG0000295	XP_045257658.1	XP_060433362.1
OG0000296	XP_045257551.1, XP_045264773.1	XP_060427029.1
OG0000297	XP_045270587.1	XP_060424192.1
