Orthogroup	Colletotrichum_gloeosporioides	Colletotrichum_truncatum
OG0000014	XP_045270236.1	XP_036583875.1
OG0000014	XP_045261063.1	XP_036586349.1
OG0000014	XP_045263961.1	XP_070061736.1
OG0000014	XP_045260775.1	XP_070059808.1, XP_036587851.1
OG0000014	XP_045261682.1	XP_036576421.1
OG0000014	XP_045265112.1	XP_036574781.1
OG0000014	XP_045257268.1	XP_036587323.2
OG0000015	XP_045268750.1	XP_070062364.1, XP_036575290.1
OG0000015	XP_045269300.1, XP_045257913.1	XP_036589778.1, XP_036581744.1
OG0000015	XP_045261256.1	XP_070060909.1, XP_070059922.1
OG0000015	XP_045263481.1	XP_036582095.1
OG0000016	XP_045268108.1	XP_036589588.1
OG0000016	XP_045271029.1	XP_036581107.1
OG0000016	XP_045270259.1	XP_036583987.1
OG0000016	XP_045261571.1	XP_036586092.1
OG0000016	XP_045266826.1	XP_036586731.2
OG0000017	XP_045266928.1	XP_036581693.1
OG0000017	XP_045262462.1	XP_036588586.1
OG0000017	XP_045263525.1	XP_070062442.1
OG0000017	XP_045265779.1	XP_036585183.1
OG0000019	XP_045266134.1	XP_036580709.1
OG0000019	XP_045268713.1, XP_045260527.1, XP_045259856.1	XP_036589060.2
OG0000019	XP_045266922.1	XP_036582157.2, XP_036586795.2, XP_070062107.1
OG0000021	XP_045264872.1	XP_036579505.1
OG0000021	XP_045259100.1	XP_036574746.1
OG0000021	XP_045267277.1	XP_036577755.1
OG0000023	XP_045261010.1	XP_036586304.1
OG0000023	XP_045260626.1	XP_036587982.1
OG0000023	XP_045261585.1	XP_070062046.1
OG0000023	XP_045268220.1	XP_036589513.1
OG0000024	XP_045267895.1	XP_036589767.1
OG0000024	XP_045271336.1	XP_036579870.1
OG0000024	XP_045269445.1	XP_070062176.1
OG0000024	XP_045261730.1	XP_070062657.1
OG0000024	XP_045266000.1	XP_036586456.1
OG0000026	XP_045265987.1	XP_036586453.1
OG0000026	XP_045265695.1	XP_036583201.2
OG0000026	XP_045265549.1	XP_036577471.2, XP_036580498.1
OG0000028	XP_045257477.1	XP_036581182.1
OG0000028	XP_045267627.1, XP_045266376.1, XP_045257443.1, XP_045257481.1, XP_045256637.1	XP_070060257.1
OG0000031	XP_045261170.1	XP_036586424.1
OG0000031	XP_045270959.1	XP_036588147.1
OG0000032	XP_045266811.1	XP_036584361.1
OG0000032	XP_045266470.1	XP_036578818.1, XP_036584347.2
OG0000033	XP_045264174.1	XP_036577699.1
OG0000033	XP_045262109.1	XP_070061928.1
OG0000033	XP_045270857.1	XP_036581681.1
OG0000033	XP_045259978.1	XP_036578581.1
OG0000034	XP_045263085.1	XP_070060023.1
OG0000034	XP_045267725.1	XP_036589643.1
OG0000034	XP_045270159.1	XP_036576453.1
OG0000034	XP_045269028.1	XP_036579478.1
OG0000035	XP_045256568.1	XP_036588818.1
OG0000035	XP_045259085.1	XP_070061252.1
OG0000035	XP_045256775.1	XP_070061519.1
OG0000035	XP_045270861.1	XP_070060833.1
OG0000035	XP_045264968.1	XP_036589606.1
OG0000036	XP_045264890.1	XP_070060254.1, XP_070060785.1, XP_036575799.1, XP_070060592.1, XP_036587365.1, XP_036578887.1, XP_070062447.1, XP_070061980.1, XP_070059915.1, XP_070060396.1, XP_070061389.1, XP_070061117.1, XP_070062062.1, XP_070059932.1, XP_070061396.1, XP_070060612.1, XP_070060024.1, XP_070060270.1, XP_070060038.1, XP_070061618.1, XP_070061217.1, XP_070062594.1, XP_070062224.1, XP_070061918.1, XP_070061553.1, XP_070060604.1, XP_036589914.2, XP_070061586.1, XP_070060871.1, XP_036576149.1, XP_070062446.1, XP_036578886.1, XP_036587364.1, XP_070059982.1, XP_070061093.1
OG0000037	XP_045261096.1	XP_036586380.1
OG0000037	XP_045270941.1	XP_036586339.1
OG0000037	XP_045264881.1	XP_070061137.1
OG0000037	XP_045257505.1	XP_036574206.1
OG0000038	XP_045258960.1	XP_036582162.1
OG0000038	XP_045260204.1	XP_036579768.1
OG0000039	XP_045257600.1	XP_036577785.2
OG0000039	XP_045267266.1	XP_036581474.2
OG0000040	XP_045257150.1	XP_070061799.1
OG0000040	XP_045267145.1	XP_070060005.1, XP_036584610.1
OG0000041	XP_045264990.1, XP_045268471.1, XP_045259104.1, XP_045261784.1	XP_070061327.1
OG0000043	XP_045260283.1	XP_036581061.2
OG0000044	XP_045259382.1	XP_036580093.1
OG0000044	XP_045259917.1	XP_036576677.1
OG0000044	XP_045264199.1	XP_036582618.1
OG0000046	XP_045266187.1	XP_036577233.1
OG0000046	XP_045256698.1	XP_036588719.1
OG0000046	XP_045270169.1	XP_036583944.1, XP_036584655.1
OG0000046	XP_045268007.1	XP_036589658.1
OG0000047	XP_045259080.1	XP_036582284.1
OG0000047	XP_045267639.1	XP_036577195.1
OG0000047	XP_045260562.1	XP_036574367.1
OG0000047	XP_045261726.1, XP_045259076.1	XP_036588035.1
OG0000049	XP_045263917.1	XP_036590002.1
OG0000049	XP_045261757.1	XP_036579330.1
OG0000050	XP_045271142.1	XP_036581015.1
OG0000050	XP_045256887.1, XP_045264197.1	XP_036582616.1
OG0000050	XP_045262061.1	XP_036587657.1
OG0000051	XP_045263568.1	XP_036579133.1
OG0000051	XP_045257839.1	XP_070060580.1
OG0000051	XP_045258153.1	XP_070061565.1
OG0000052	XP_045258316.1, XP_045261537.1	XP_070061545.1
OG0000053	XP_045264996.1, XP_045264995.1	XP_036580463.1, XP_036581850.2
OG0000053	XP_045258297.1	XP_036579069.1
OG0000054	XP_045260351.1	XP_036581099.1
OG0000055	XP_045264937.1, XP_045262255.1	XP_036589844.1
OG0000055	XP_045260095.1	XP_036580479.1
OG0000055	XP_045270037.1, XP_045257554.1	XP_070060193.1
OG0000057	XP_045263077.1	XP_070060021.1
OG0000057	XP_045256760.1	XP_036575137.1
OG0000057	XP_045259997.1	XP_036580378.2
OG0000058	XP_045268364.1	XP_070062259.1
OG0000058	XP_045256704.1	XP_036576508.2
OG0000059	XP_045256241.1	XP_036589130.1
OG0000059	XP_045263662.1	XP_036579230.1
OG0000059	XP_045270918.1	XP_036578680.1
OG0000059	XP_045267723.1	XP_036574737.2, XP_036589645.1
OG0000060	XP_045263033.1	XP_070060455.1, XP_070060927.1, XP_036574668.1, XP_036574761.2, XP_036580760.2, XP_036574291.2, XP_070061044.1, XP_070060928.1, XP_036588805.2, XP_070060456.1, XP_070060305.1, XP_070062362.1, XP_036581572.1, XP_036575282.2, XP_036575485.2, XP_036574343.2, XP_070061674.1, XP_036575662.2, XP_070060146.1, XP_036582624.2, XP_036581325.2, XP_070061936.1, XP_070060180.1, XP_036577339.2, XP_036585128.2, XP_070061993.1, XP_070062514.1, XP_036577130.2
OG0000064	XP_045258881.1	XP_070061063.1
OG0000064	XP_045268075.1	XP_070060549.1, XP_036583871.2, XP_070062298.1
OG0000065	XP_045257234.1	XP_070059972.1
OG0000065	XP_045260056.1	XP_036580455.1
OG0000066	XP_045267106.1	XP_036581734.1
OG0000066	XP_045259039.1, XP_045257887.1	XP_070061263.1
OG0000066	XP_045261489.1	XP_036574872.1
OG0000067	XP_045268953.1	XP_036576223.1
OG0000070	XP_045257325.1, XP_045270929.1, XP_045266006.1, XP_045260902.1, XP_045268118.1	XP_036575460.1
OG0000071	XP_045271076.1	XP_036576990.1
OG0000071	XP_045256765.1	XP_036588687.1
OG0000072	XP_045259157.1	XP_070061591.1
OG0000072	XP_045259279.1	XP_036576286.1
OG0000072	XP_045269192.1	XP_070062142.1
OG0000072	XP_045264153.1	XP_036582573.1
OG0000073	XP_045268969.1	XP_036576219.2
OG0000073	XP_045257575.1	XP_036585422.1
OG0000073	XP_045269220.1	XP_036586327.2
OG0000074	XP_045257444.1	XP_036577736.2
OG0000074	XP_045267143.1	XP_036574831.2
OG0000074	XP_045262110.1	XP_036575819.1
OG0000074	XP_045267840.1	XP_036584485.1
OG0000075	XP_045262378.1	XP_036588485.1
OG0000076	XP_045268151.1	XP_036574266.1, XP_070061506.1
OG0000076	XP_045259171.1	XP_036575157.2, XP_036589633.1
OG0000076	XP_045256734.1	XP_036588957.1, XP_036586439.1
OG0000077	XP_045257569.1	XP_036578994.1
OG0000078	XP_045264238.1	XP_036575061.1
OG0000078	XP_045259506.1	XP_036579453.1
OG0000078	XP_045257967.1	XP_036581231.1
OG0000080	XP_045256773.1	XP_036575145.1
OG0000080	XP_045258370.1	XP_036577634.1
OG0000080	XP_045257656.1	XP_036588664.1
OG0000081	XP_045270071.1	XP_070062102.1
OG0000081	XP_045259778.1	XP_036578539.1
OG0000081	XP_045256341.1	XP_036588848.1
OG0000082	XP_045263124.1	XP_036577894.1
OG0000082	XP_045264969.1	XP_036582423.1
OG0000082	XP_045267659.1	XP_036577202.1
OG0000083	XP_045259975.1	XP_036581679.1
OG0000083	XP_045264175.1	XP_036574873.1, XP_036576908.1
OG0000084	XP_045263141.1, XP_045259360.1	XP_036575159.1
OG0000085	XP_045260102.1, XP_045256206.1, XP_045258506.1, XP_045258508.1, XP_045258507.1	XP_036581921.1
OG0000086	XP_045261538.1, XP_045261539.1	XP_070059753.1, XP_070059771.1, XP_070061543.1, XP_070059770.1
OG0000088	XP_045269168.1	XP_036585215.1
OG0000089	XP_045268482.1	XP_036585152.1
OG0000089	XP_045259870.1	XP_036576625.1
OG0000089	XP_045264932.1	XP_036582452.1
OG0000090	XP_045266317.1	XP_036588418.1
OG0000090	XP_045268543.1	XP_036585093.1
OG0000090	XP_045262785.1	XP_036579088.1, XP_036585590.2
OG0000091	XP_045270047.1	XP_036579955.1
OG0000091	XP_045260867.1	XP_036586150.2
OG0000093	XP_045262929.1	XP_070060012.1
OG0000093	XP_045256273.1	XP_070061385.1
OG0000094	XP_045263904.1	XP_036583720.1
OG0000095	XP_045270992.1	XP_036574883.1, XP_036579927.2, XP_036588193.1
OG0000095	XP_045261234.1	XP_036576482.1
OG0000095	XP_045261698.1	XP_036580326.1
OG0000095	XP_045263815.1	XP_036576095.1
OG0000097	XP_045266067.1	XP_036581703.2
OG0000097	XP_045258858.1	XP_070061065.1
OG0000098	XP_045268539.1	XP_070061121.1
OG0000098	XP_045256500.1, XP_045265565.1, XP_045258279.1	XP_036585097.1
OG0000099	XP_045266982.1	XP_070061517.1
OG0000100	XP_045268076.1	XP_036589602.1
OG0000100	XP_045264880.1	XP_036582490.1
OG0000100	XP_045270148.1	XP_036581712.1
OG0000101	XP_045260937.1	XP_070060786.1
OG0000101	XP_045266505.1	XP_036578856.1
OG0000101	XP_045270973.1	XP_036588171.1
OG0000102	XP_045270965.1	XP_036588169.1
OG0000102	XP_045268634.1	XP_070060497.1
OG0000102	XP_045258108.1	XP_036576025.1
OG0000103	XP_045262928.1	XP_036576489.1
OG0000103	XP_045256274.1	XP_036589110.1
OG0000103	XP_045257961.1	XP_070059924.1
OG0000104	XP_045265053.1, XP_045265054.1	XP_070060947.1
OG0000105	XP_045263970.1	XP_036579500.1, XP_070061539.1
OG0000105	XP_045265094.1	XP_036579506.1, XP_036586461.1, XP_036575573.2, XP_036584071.1, XP_036576186.1
OG0000107	XP_045265824.1	XP_070059955.1, XP_036575829.1
OG0000108	XP_045264547.1	XP_036584564.1
OG0000109	XP_045258433.1	XP_036577672.1
OG0000109	XP_045260515.1	XP_036578485.2
OG0000110	XP_045265803.1	XP_036574432.1
OG0000110	XP_045259615.1	XP_036579391.1
OG0000111	XP_045269982.1	XP_036580028.2
OG0000111	XP_045270634.1	XP_070062558.1
OG0000112	XP_045257198.1	XP_036587244.2
OG0000112	XP_045259620.1	XP_036579388.1
OG0000113	XP_045258581.1	XP_036585809.2
OG0000113	XP_045256573.1	XP_036588810.1
OG0000114	XP_045267649.1	XP_070059945.1
OG0000114	XP_045257786.1, XP_045269964.1	XP_036577220.1
OG0000115	XP_045258380.1, XP_045256141.1	XP_036577648.2
OG0000115	XP_045268406.1	XP_036589307.1
OG0000120	XP_045267818.1	XP_036583668.1
OG0000120	XP_045271284.1	XP_036579819.1
OG0000120	XP_045262416.1	XP_036588528.1
OG0000121	XP_045271258.1	XP_036579751.1
OG0000121	XP_045264842.1	XP_036582531.2
OG0000122	XP_045270217.1	XP_070062129.1
OG0000122	XP_045261383.1	XP_070060318.1
OG0000124	XP_045267431.1, XP_045271175.1, XP_045267432.1	XP_036579312.1, XP_036581343.1
OG0000125	XP_045268190.1	XP_036589530.1
OG0000125	XP_045261245.1	XP_036580720.2
OG0000127	XP_045262511.1	XP_036581803.1
OG0000127	XP_045271343.1	XP_036579883.1
OG0000128	XP_045270176.1	XP_036583135.1
OG0000129	XP_045263385.1	XP_070062408.1
OG0000131	XP_045257749.1, XP_045257747.1, XP_045257748.1	XP_070061790.1, XP_036584534.1
OG0000132	XP_045267108.1, XP_045269568.1, XP_045266427.1, XP_045268660.1, XP_045268138.1, XP_045264038.1	XP_036579130.1
OG0000133	XP_045265189.1	XP_036579512.1
OG0000135	XP_045262290.1	XP_036589885.1
OG0000135	XP_045257124.1, XP_045263377.1, XP_045271037.1, XP_045260518.1, XP_045264782.1, XP_045265546.1, XP_045271052.1, XP_045260519.1, XP_045269652.1, XP_045269151.1, XP_045264856.1, XP_045266924.1, XP_045266856.1, XP_045263504.1, XP_045257993.1, XP_045263490.1	XP_070060332.1
OG0000138	XP_045266374.1	XP_070061375.1
OG0000138	XP_045264335.1	XP_070059986.1
OG0000138	XP_045260029.1	XP_036580411.1
OG0000140	XP_045265504.1	XP_036578287.2
OG0000140	XP_045270912.1	XP_036588729.1
OG0000141	XP_045266384.1	XP_036576868.1
OG0000142	XP_045269779.1	XP_070060920.1
OG0000142	XP_045271348.1	XP_036579887.1
OG0000142	XP_045262179.1	XP_036582334.1
OG0000143	XP_045264840.1	XP_036582532.1
OG0000144	XP_045265947.1	XP_036586535.1
OG0000144	XP_045262464.1	XP_036582031.1
OG0000145	XP_045262875.1	XP_036585491.1
OG0000145	XP_045261174.1, XP_045258128.1	XP_036583828.1
OG0000145	XP_045261894.1	XP_036576744.1
OG0000147	XP_045266544.1	XP_036578891.1
OG0000147	XP_045271008.1, XP_045269205.1	XP_036586925.1
OG0000148	XP_045259911.1	XP_036576663.1
OG0000148	XP_045263425.1	XP_036582049.1
OG0000149	XP_045256651.1, XP_045265422.1	XP_036575944.1
OG0000149	XP_045263373.1	XP_036576981.1
OG0000150	XP_045260460.1	XP_036578055.1
OG0000151	XP_045263000.1	XP_036576471.1
OG0000154	XP_045267240.1	XP_070060474.1
OG0000154	XP_045262413.1	XP_070062618.1
OG0000155	XP_045261260.1	XP_036578283.1
OG0000155	XP_045260166.1	XP_070061173.1
OG0000156	XP_045265793.1	XP_036585166.1
OG0000156	XP_045267623.1, XP_045260444.1	XP_070061833.1
OG0000157	XP_045257315.1	XP_070060905.1
OG0000157	XP_045259408.1	XP_036580082.1
OG0000158	XP_045257707.1	XP_036574899.1
OG0000158	XP_045260524.1	XP_036580147.2
OG0000158	XP_045261225.1	XP_036584425.1, XP_036584435.1, XP_036584493.2, XP_036586816.1, XP_036574891.1
OG0000159	XP_045261793.1, XP_045257936.1, XP_045265217.1, XP_045258502.1, XP_045261060.1	XP_036579325.1
OG0000160	XP_045265070.1, XP_045256694.1	XP_036582190.1, XP_036577774.1, XP_036577773.1
OG0000161	XP_045262216.1	XP_070061213.1
OG0000161	XP_045270352.1	XP_070062508.1
OG0000162	XP_045261732.1, XP_045267737.1	XP_070060187.1
OG0000164	XP_045256343.1	XP_036580007.2
OG0000170	XP_045262940.1	XP_036578624.1
OG0000170	XP_045265064.1	XP_036577200.1
OG0000171	XP_045269583.1	XP_036577665.2
OG0000171	XP_045257390.1	XP_070061185.1, XP_036587722.1
OG0000172	XP_045266696.1	XP_070062206.1
OG0000172	XP_045265794.1	XP_036585165.1
OG0000174	XP_045271027.1	XP_036581105.1
OG0000174	XP_045266193.1	XP_070060701.1
OG0000175	XP_045270053.1	XP_036579948.1
OG0000175	XP_045265726.1	XP_036574966.1
OG0000175	XP_045271158.1	XP_036581039.2
OG0000176	XP_045268222.1, XP_045268417.1, XP_045268153.1	XP_036587391.1
OG0000176	XP_045265727.1	XP_070061738.1
OG0000176	XP_045266063.1	XP_036582082.2
OG0000177	XP_045257602.1	XP_036577787.1
OG0000178	XP_045257121.1	XP_036587178.2
OG0000178	XP_045266671.1	XP_036577946.2
OG0000179	XP_045268759.1	XP_070061313.1
OG0000179	XP_045264144.1	XP_036582565.2
OG0000180	XP_045270077.1	XP_036579978.1
OG0000181	XP_045263177.1	XP_036580310.1
OG0000181	XP_045259217.1	XP_036576246.1
OG0000182	XP_045267052.1	XP_036586896.1
OG0000182	XP_045259868.1	XP_070060435.1
OG0000185	XP_045263630.1	XP_070062466.1, XP_070061465.1, XP_036578802.1, XP_036583732.1, XP_070060918.1
OG0000185	XP_045268724.1	XP_036584354.1
OG0000186	XP_045269206.1	XP_036586926.1
OG0000186	XP_045263180.1	XP_036580313.1
OG0000187	XP_045256994.1, XP_045266151.1	XP_036582664.1
OG0000188	XP_045259714.1	XP_036584213.1
OG0000188	XP_045267833.1	XP_036583688.1
OG0000189	XP_045267061.1	XP_036583674.1
OG0000189	XP_045256543.1, XP_045260600.1	XP_036582063.1
OG0000189	XP_045257751.1	XP_036587683.1
OG0000189	XP_045267913.1	XP_070060058.1
OG0000190	XP_045268117.1, XP_045260907.1, XP_045271077.1, XP_045261350.1	XP_036589583.1
OG0000191	XP_045258970.1	XP_036582186.1
OG0000191	XP_045267767.1	XP_036576988.1
OG0000191	XP_045266389.1	XP_036589183.1
OG0000192	XP_045259379.1, XP_045267032.1	XP_036587214.1
OG0000192	XP_045263781.1	XP_036589938.1, XP_036589631.1
OG0000196	XP_045269336.1	XP_036587061.1
OG0000197	XP_045260342.1	XP_070061924.1
OG0000197	XP_045262445.1	XP_036586873.1
OG0000197	XP_045261777.1	XP_036580399.1
OG0000198	XP_045266461.1	XP_036578809.1
OG0000198	XP_045270186.1	XP_036583915.1
OG0000201	XP_045258175.1	XP_036584064.1
OG0000202	XP_045269319.1	XP_036584058.1
OG0000203	XP_045256864.1	XP_036589925.1
OG0000205	XP_045267125.1	XP_036577357.1
OG0000207	XP_045263179.1	XP_036580312.1
OG0000207	XP_045266407.1	XP_070061372.1
OG0000208	XP_045266874.1	XP_036576782.1
OG0000208	XP_045269783.1	XP_036583714.1
OG0000210	XP_045265138.1	XP_036587157.1
OG0000210	XP_045258302.1, XP_045258304.1	XP_036589054.1
OG0000212	XP_045259625.1	XP_070062662.1
OG0000212	XP_045261155.1	XP_070060740.1
OG0000213	XP_045257301.1, XP_045265010.1, XP_045269545.1, XP_045266559.1	XP_070059978.1
OG0000214	XP_045261715.1, XP_045263460.1, XP_045263186.1, XP_045271149.1	XP_036581030.1
OG0000216	XP_045269769.1	XP_036581420.1
OG0000218	XP_045265810.1	XP_036589775.1
OG0000218	XP_045258998.1, XP_045269449.1	XP_036582128.1
OG0000219	XP_045269967.1	XP_036580046.1
OG0000219	XP_045269435.1	XP_036587155.1
OG0000220	XP_045267270.1	XP_036576157.1
OG0000220	XP_045269671.1	XP_036581510.1
OG0000221	XP_045257182.1, XP_045257181.1	XP_036587228.1
OG0000222	XP_045258772.1	XP_036585998.1
OG0000222	XP_045269245.1	XP_070062151.1
OG0000224	XP_045270683.1	XP_036575739.1
OG0000224	XP_045267246.1, XP_045269182.1	XP_036575643.1
OG0000225	XP_045262317.1	XP_036589905.1
OG0000226	XP_045263381.1	XP_036579342.1
OG0000226	XP_045261410.1	XP_036575103.1
OG0000227	XP_045259003.1	XP_036574751.1
OG0000227	XP_045269037.1	XP_036579469.1
OG0000228	XP_045269231.1	XP_036586943.1
OG0000228	XP_045264164.1	XP_036582595.1
OG0000229	XP_045259222.1	XP_036576254.1
OG0000229	XP_045271148.1	XP_036581029.1
OG0000230	XP_045268776.1	XP_070060527.1
OG0000230	XP_045267066.1, XP_045271177.1	XP_036576955.1
OG0000231	XP_045266990.1	XP_036586866.1
OG0000231	XP_045268102.1	XP_036589590.1, XP_036587986.1
OG0000232	XP_045266910.1	XP_036586825.2
OG0000232	XP_045260983.1	XP_036583958.1
OG0000233	XP_045257945.1	XP_036580402.2
OG0000233	XP_045270081.1, XP_045262961.1, XP_045267582.1	XP_036587708.1
OG0000234	XP_045266609.1	XP_036578965.1
OG0000234	XP_045258872.1	XP_070060393.1, XP_036584543.1, XP_036578522.1
OG0000235	XP_045259464.1	XP_036586650.2
OG0000235	XP_045266345.1	XP_036580450.1
OG0000236	XP_045260760.1	XP_036587868.1, XP_036584365.1
OG0000237	XP_045262285.1	XP_036589882.1
OG0000237	XP_045264988.1	XP_036574321.1
OG0000239	XP_045270980.1	XP_070060870.1
OG0000239	XP_045268542.1	XP_036585092.1
OG0000240	XP_045270926.1	XP_036588135.1
OG0000241	XP_045261343.1	XP_036576349.1, XP_036581808.2, XP_036584449.1
OG0000242	XP_045261996.1, XP_045269075.1, XP_045261307.1, XP_045269778.1	XP_036581399.2
OG0000243	XP_045266027.1	XP_070060729.1
OG0000244	XP_045267416.1, XP_045263065.1	XP_036580973.1
OG0000248	XP_045268442.1	XP_036589281.2
OG0000249	XP_045269262.1	XP_036586966.1
OG0000250	XP_045264556.1	XP_036575276.1
OG0000250	XP_045268745.1	XP_070060523.1
OG0000251	XP_045264704.1	XP_036576862.2
OG0000251	XP_045267832.1	XP_036583689.1
OG0000252	XP_045257720.1	XP_070061293.1
OG0000253	XP_045269240.1	XP_036586947.1
OG0000253	XP_045260923.1	XP_036586194.1
OG0000255	XP_045265311.1	XP_070061766.1
OG0000255	XP_045264054.1	XP_036585335.1
OG0000256	XP_045267556.1	XP_036582737.1
OG0000256	XP_045262627.1	XP_036585753.2
OG0000257	XP_045256987.1	XP_070061947.1
OG0000258	XP_045260962.1	XP_036586230.1
OG0000258	XP_045270075.1	XP_036579976.1
OG0000259	XP_045258115.1	XP_036576042.1
OG0000259	XP_045259585.1	XP_036579418.1
OG0000260	XP_045257559.1	XP_036575392.1
OG0000260	XP_045259612.1	XP_036579394.1
OG0000261	XP_045262502.1	XP_036577087.1
OG0000261	XP_045262345.1	XP_036576113.1, XP_036580702.1
OG0000262	XP_045257191.1	XP_036587238.1
OG0000262	XP_045259071.1	XP_036582263.1
OG0000263	XP_045261365.1	XP_036580807.1
OG0000263	XP_045256441.1	XP_036588907.1
OG0000264	XP_045259980.1	XP_036576519.1
OG0000265	XP_045258879.1	XP_036578528.1
OG0000265	XP_045267620.1	XP_036577323.1
OG0000266	XP_045258833.1	XP_036578494.1
OG0000266	XP_045263908.1	XP_036583717.1
OG0000267	XP_045259651.1	XP_036585784.1
OG0000267	XP_045271379.1	XP_036575030.1
OG0000268	XP_045264859.1	XP_036582502.2
OG0000268	XP_045259767.1	XP_036585798.1
OG0000269	XP_045259633.1, XP_045265385.1	XP_036585760.1, XP_036578252.1
OG0000270	XP_045261902.1	XP_036576747.1
OG0000270	XP_045258721.1	XP_036585945.1
OG0000272	XP_045263903.1	XP_070060203.1
OG0000273	XP_045268955.1	XP_036576222.1
OG0000273	XP_045262274.1	XP_036589868.1
OG0000274	XP_045269038.1	XP_036579468.1
OG0000276	XP_045264269.1	XP_036578997.1
OG0000276	XP_045263314.1	XP_036581982.1
OG0000277	XP_045264186.1	XP_036582605.1
OG0000277	XP_045258022.1	XP_036586329.1
OG0000278	XP_045265946.1	XP_036586537.1
OG0000278	XP_045257530.1	XP_036587761.1
OG0000279	XP_045261008.1	XP_036586308.1
OG0000280	XP_045265584.1	XP_070060108.1
OG0000280	XP_045258151.1	XP_036575996.2
OG0000281	XP_045270549.1	XP_070062539.1
OG0000281	XP_045258084.1	XP_036576017.1
OG0000282	XP_045267152.1	XP_036584624.1, XP_036576547.1
OG0000283	XP_045268918.1	XP_036578173.1
OG0000283	XP_045270351.1	XP_036578458.1
OG0000284	XP_045271004.1, XP_045262266.1	XP_036588218.1
OG0000285	XP_045259247.1	XP_036576263.1
OG0000285	XP_045259158.1	XP_036583950.1
OG0000287	XP_045267010.1	XP_070060373.1
OG0000287	XP_045263659.1	XP_036579227.2
OG0000288	XP_045263749.1	XP_036578689.1
OG0000288	XP_045264512.1	XP_070062417.1, XP_036588074.1
OG0000289	XP_045267153.1	XP_036584623.1, XP_070060006.1, XP_036584507.1
OG0000290	XP_045270993.1	XP_036588194.1
OG0000290	XP_045261233.1	XP_036581205.1, XP_036576481.1
OG0000291	XP_045269623.1	XP_036581569.1
OG0000291	XP_045258649.1	XP_036585877.1
