Orthogroup	Colletotrichum_gloeosporioides	Colletotrichum_acutatum
OG0000021	XP_045264872.1	XP_060357570.1
OG0000021	XP_045265250.1	XP_060364842.1
OG0000023	XP_045261010.1	XP_060365025.1
OG0000023	XP_045260488.1	XP_060363120.1
OG0000023	XP_045260626.1	XP_060358681.1
OG0000023	XP_045261585.1	XP_060370568.1
OG0000023	XP_045268220.1	XP_060365425.1
OG0000023	XP_045260319.1	XP_060368532.1
OG0000024	XP_045267895.1	XP_060362290.1
OG0000024	XP_045261730.1	XP_060358801.1
OG0000024	XP_045266000.1	XP_060364880.1, XP_060358991.1
OG0000026	XP_045265987.1	XP_060358993.1
OG0000026	XP_045265695.1	XP_060368993.1, XP_060368992.1
OG0000026	XP_045265549.1	XP_060371329.1
OG0000028	XP_045257477.1	XP_060357803.1
OG0000028	XP_045267627.1	XP_060357627.1
OG0000028	XP_045257481.1	XP_060357808.1
OG0000028	XP_045256637.1	XP_060359227.1
OG0000031	XP_045261170.1	XP_060364458.1
OG0000031	XP_045256974.1	XP_060369360.1
OG0000031	XP_045270959.1	XP_060362254.1
OG0000031	XP_045269450.1, XP_045263142.1	XP_060363004.1
OG0000031	XP_045269569.1	XP_060361185.1
OG0000032	XP_045266811.1	XP_060359844.1
OG0000032	XP_045266470.1	XP_060359846.1, XP_060359704.1
OG0000033	XP_045264174.1	XP_060359875.1
OG0000033	XP_045262109.1	XP_060357198.1
OG0000034	XP_045263085.1	XP_060365976.1
OG0000034	XP_045267725.1	XP_060359479.1
OG0000034	XP_045270159.1	XP_060358573.1
OG0000034	XP_045269028.1	XP_060363708.1
OG0000035	XP_045256568.1	XP_060366162.1
OG0000035	XP_045259085.1	XP_060365611.1
OG0000035	XP_045270861.1	XP_060357053.1
OG0000035	XP_045264968.1, XP_045268765.1, XP_045260563.1	XP_060371363.1
OG0000037	XP_045261096.1	XP_060364411.1
OG0000037	XP_045270941.1	XP_060366444.1, XP_060357014.1
OG0000037	XP_045264881.1	XP_060363205.1
OG0000037	XP_045257505.1	XP_060359498.1
OG0000038	XP_045258960.1	XP_060367929.1
OG0000039	XP_045257600.1	XP_060360015.1
OG0000039	XP_045259398.1	XP_060362489.1
OG0000039	XP_045265097.1	XP_060361710.1
OG0000039	XP_045267267.1	XP_060368365.1
OG0000040	XP_045257150.1	XP_060362111.1, XP_060370548.1
OG0000041	XP_045267024.1	XP_060369032.1
OG0000043	XP_045260283.1	XP_060367831.1
OG0000044	XP_045259382.1	XP_060360761.1
OG0000044	XP_045259917.1, XP_045256116.1, XP_045264199.1	XP_060361230.1
OG0000046	XP_045266187.1	XP_060362833.1
OG0000046	XP_045270169.1	XP_060360243.1
OG0000046	XP_045268007.1	XP_060361446.1
OG0000047	XP_045267639.1, XP_045260562.1	XP_060357890.1
OG0000049	XP_045263917.1	XP_060365049.1
OG0000049	XP_045267692.1	XP_060363156.1
OG0000049	XP_045261757.1	XP_060358145.1
OG0000050	XP_045271142.1	XP_060367791.1
OG0000050	XP_045256887.1, XP_045264197.1	XP_060361232.1
OG0000050	XP_045262061.1	XP_060371737.1
OG0000051	XP_045263568.1	XP_060366641.1
OG0000051	XP_045267207.1	XP_060365214.1
OG0000051	XP_045257839.1	XP_060367490.1
OG0000051	XP_045258153.1	XP_060368329.1
OG0000054	XP_045260351.1	XP_060359889.1
OG0000055	XP_045264937.1, XP_045262255.1	XP_060358650.1
OG0000055	XP_045260095.1	XP_060357465.1
OG0000057	XP_045263183.1, XP_045263077.1	XP_060365979.1
OG0000057	XP_045256760.1	XP_060363619.1
OG0000057	XP_045266969.1	XP_060357330.1
OG0000058	XP_045268364.1	XP_060371110.1
OG0000059	XP_045256241.1	XP_060357826.1
OG0000059	XP_045263662.1	XP_060360999.1
OG0000059	XP_045270918.1	XP_060363442.1
OG0000064	XP_045258881.1	XP_060366492.1
OG0000064	XP_045256286.1	XP_060357678.1
OG0000064	XP_045268075.1	XP_060358594.1, XP_060358260.1
OG0000065	XP_045257234.1	XP_060371684.1
OG0000065	XP_045261140.1	XP_060363090.1, XP_060363098.1
OG0000066	XP_045261489.1	XP_060369169.1
OG0000066	XP_045268142.1	XP_060369170.1
OG0000066	XP_045261488.1	XP_060369171.1
OG0000067	XP_045267259.1, XP_045268953.1, XP_045261800.1	XP_060366931.1
OG0000069	XP_045260139.1	XP_060365123.1
OG0000069	XP_045260314.1, XP_045260132.1, XP_045260133.1, XP_045260130.1, XP_045260129.1	XP_060365125.1
OG0000070	XP_045257325.1	XP_060363391.1
OG0000070	XP_045270929.1	XP_060362242.1
OG0000070	XP_045260902.1, XP_045268118.1	XP_060361698.1
OG0000071	XP_045271076.1	XP_060358896.1
OG0000071	XP_045257723.1	XP_060357533.1
OG0000071	XP_045256765.1	XP_060360036.1
OG0000072	XP_045259279.1	XP_060360706.1
OG0000072	XP_045264153.1	XP_060359796.1
OG0000073	XP_045268969.1	XP_060357133.1
OG0000073	XP_045257575.1	XP_060360011.1
OG0000073	XP_045269220.1	XP_060359605.1
OG0000075	XP_045262378.1	XP_060358869.1, XP_060359552.1
OG0000076	XP_045268151.1	XP_060357074.1
OG0000076	XP_045259171.1	XP_060358087.1
OG0000077	XP_045257569.1	XP_060361456.1
OG0000077	XP_045264585.1, XP_045269087.1	XP_060360895.1
OG0000078	XP_045264238.1	XP_060359138.1
OG0000078	XP_045259506.1	XP_060371854.1
OG0000078	XP_045257967.1	XP_060358933.1
OG0000080	XP_045256773.1	XP_060363411.1
OG0000080	XP_045258370.1	XP_060361376.1
OG0000080	XP_045257656.1	XP_060363513.1
OG0000081	XP_045270071.1	XP_060363636.1
OG0000081	XP_045259778.1	XP_060361111.1
OG0000081	XP_045256341.1	XP_060371511.1
OG0000082	XP_045263124.1	XP_060365931.1
OG0000082	XP_045266348.1	XP_060357437.1
OG0000082	XP_045267659.1	XP_060357631.1
OG0000083	XP_045259975.1, XP_045264175.1, XP_045260673.1, XP_045260672.1, XP_045262964.1, XP_045262415.1	XP_060363191.1
OG0000084	XP_045257184.1	XP_060358566.1, XP_060358452.1
OG0000084	XP_045267107.1	XP_060360165.1
OG0000084	XP_045263141.1, XP_045259360.1	XP_060357244.1, XP_060358449.1
OG0000085	XP_045260102.1, XP_045256206.1, XP_045258506.1, XP_045258508.1, XP_045258507.1	XP_060359483.1
OG0000089	XP_045259870.1	XP_060362183.1
OG0000089	XP_045264932.1	XP_060361982.1
OG0000090	XP_045266317.1	XP_060369543.1
OG0000090	XP_045268543.1	XP_060364741.1
OG0000090	XP_045262785.1	XP_060370927.1
OG0000091	XP_045270047.1	XP_060363656.1
OG0000091	XP_045260867.1	XP_060365306.1
OG0000091	XP_045265908.1	XP_060358744.1
OG0000093	XP_045270880.1	XP_060367066.1
OG0000093	XP_045266064.1	XP_060364024.1, XP_060362521.1
OG0000094	XP_045260730.1	XP_060368526.1
OG0000094	XP_045266902.1	XP_060359455.1
OG0000095	XP_045270992.1	XP_060357051.1
OG0000097	XP_045266067.1	XP_060366839.1
OG0000097	XP_045258858.1	XP_060357941.1
OG0000098	XP_045268539.1	XP_060364910.1
OG0000098	XP_045256500.1	XP_060361123.1
OG0000098	XP_045265565.1, XP_045258279.1	XP_060361825.1
OG0000099	XP_045263376.1	XP_060368011.1
OG0000100	XP_045268076.1	XP_060358595.1
OG0000100	XP_045264880.1	XP_060363206.1
OG0000100	XP_045270148.1	XP_060370122.1
OG0000101	XP_045260937.1	XP_060358948.1
OG0000101	XP_045266505.1	XP_060367966.1
OG0000101	XP_045270973.1	XP_060361545.1
OG0000102	XP_045270965.1	XP_060361542.1
OG0000102	XP_045268634.1	XP_060358264.1
OG0000102	XP_045258108.1	XP_060368296.1
OG0000104	XP_045265053.1, XP_045265054.1	XP_060366843.1
OG0000104	XP_045264965.1	XP_060366898.1
OG0000105	XP_045263970.1	XP_060365629.1
OG0000105	XP_045265094.1	XP_060361641.1
OG0000108	XP_045271295.1	XP_060364184.1
OG0000109	XP_045258433.1	XP_060358567.1
OG0000109	XP_045258955.1	XP_060357049.1
OG0000109	XP_045260515.1	XP_060357701.1
OG0000110	XP_045265803.1	XP_060369371.1
OG0000110	XP_045263020.1	XP_060363003.1
OG0000111	XP_045269982.1	XP_060363622.1
OG0000111	XP_045270634.1	XP_060369096.1
OG0000111	XP_045259597.1	XP_060361789.1
OG0000112	XP_045257198.1	XP_060362788.1
OG0000112	XP_045268848.1	XP_060364922.1
OG0000112	XP_045259620.1	XP_060358243.1
OG0000113	XP_045258581.1	XP_060363845.1
OG0000113	XP_045260170.1	XP_060362635.1
OG0000113	XP_045256573.1	XP_060366156.1
OG0000114	XP_045264514.1	XP_060364301.1
OG0000114	XP_045267649.1	XP_060358353.1, XP_060358960.1, XP_060365019.1
OG0000114	XP_045257786.1, XP_045269964.1	XP_060363351.1
OG0000115	XP_045258380.1, XP_045256141.1	XP_060361868.1
OG0000115	XP_045264904.1	XP_060360252.1
OG0000115	XP_045268406.1	XP_060371167.1
OG0000120	XP_045267818.1	XP_060359204.1
OG0000120	XP_045271284.1	XP_060364175.1
OG0000120	XP_045262416.1	XP_060362130.1
OG0000121	XP_045271258.1	XP_060357311.1
OG0000121	XP_045271280.1	XP_060358677.1
OG0000122	XP_045270217.1	XP_060357740.1
OG0000122	XP_045261383.1	XP_060360436.1
OG0000124	XP_045267431.1	XP_060357414.1
OG0000124	XP_045267432.1	XP_060357416.1
OG0000125	XP_045268190.1	XP_060365412.1
OG0000125	XP_045258904.1	XP_060360055.1
OG0000126	XP_045265909.1	XP_060362056.1
OG0000126	XP_045267608.1, XP_045263448.1	XP_060366712.1
OG0000127	XP_045262511.1	XP_060361903.1
OG0000127	XP_045271343.1	XP_060360754.1
OG0000128	XP_045266852.1	XP_060369786.1
OG0000128	XP_045270848.1	XP_060359925.1
OG0000128	XP_045270176.1	XP_060359979.1
OG0000129	XP_045265942.1	XP_060358700.1
OG0000129	XP_045271088.1	XP_060366590.1
OG0000129	XP_045267846.1, XP_045263385.1	XP_060358844.1
OG0000131	XP_045257750.1	XP_060359611.1
OG0000132	XP_045267108.1, XP_045269568.1, XP_045266427.1, XP_045268660.1, XP_045268138.1, XP_045264038.1	XP_060360166.1
OG0000133	XP_045265190.1, XP_045264158.1	XP_060361960.1
OG0000136	XP_045258313.1	XP_060359727.1
OG0000138	XP_045266374.1	XP_060360416.1
OG0000138	XP_045264335.1, XP_045260029.1	XP_060363533.1
OG0000139	XP_045270128.1	XP_060360428.1
OG0000139	XP_045270127.1	XP_060361787.1, XP_060360442.1, XP_060360433.1
OG0000140	XP_045259405.1, XP_045266601.1, XP_045265504.1, XP_045270912.1	XP_060360421.1
OG0000141	XP_045262993.1	XP_060371544.1
OG0000142	XP_045269779.1	XP_060357578.1
OG0000142	XP_045262179.1	XP_060365800.1
OG0000143	XP_045265074.1	XP_060359781.1
OG0000143	XP_045267117.1	XP_060365059.1
OG0000143	XP_045264840.1	XP_060362641.1
OG0000144	XP_045265947.1	XP_060362612.1, XP_060370058.1
OG0000144	XP_045262464.1	XP_060359655.1, XP_060361625.1
OG0000145	XP_045262875.1	XP_060364035.1
OG0000145	XP_045261174.1, XP_045258128.1	XP_060364945.1
OG0000146	XP_045268140.1, XP_045267154.1	XP_060359368.1
OG0000147	XP_045266544.1	XP_060362098.1
OG0000147	XP_045271008.1, XP_045269205.1	XP_060366094.1
OG0000148	XP_045259911.1	XP_060362224.1
OG0000148	XP_045263425.1	XP_060358483.1
OG0000149	XP_045265420.1, XP_045256651.1, XP_045265422.1, XP_045263374.1, XP_045263373.1, XP_045265423.1, XP_045267475.1, XP_045268809.1, XP_045266099.1	XP_060364872.1
OG0000150	XP_045260460.1	XP_060364878.1
OG0000151	XP_045263000.1	XP_060363019.1
OG0000151	XP_045267237.1, XP_045263523.1	XP_060366703.1
OG0000154	XP_045267240.1	XP_060365257.1
OG0000154	XP_045262413.1	XP_060362133.1
OG0000155	XP_045260166.1	XP_060360090.1
OG0000156	XP_045265793.1	XP_060369356.1
OG0000156	XP_045267623.1, XP_045260444.1	XP_060358281.1
OG0000157	XP_045257315.1	XP_060368646.1
OG0000157	XP_045259408.1	XP_060361753.1
OG0000159	XP_045261793.1	XP_060357868.1
OG0000159	XP_045257936.1, XP_045265217.1, XP_045258502.1, XP_045261060.1	XP_060357869.1
OG0000160	XP_045265070.1, XP_045256694.1	XP_060368549.1
OG0000161	XP_045262216.1	XP_060363988.1
OG0000161	XP_045270352.1	XP_060370351.1
OG0000162	XP_045261732.1	XP_060358467.1
OG0000162	XP_045267737.1	XP_060359718.1
OG0000163	XP_045264751.1	XP_060364541.1
OG0000164	XP_045271038.1	XP_060365226.1
OG0000169	XP_045256494.1	XP_060361129.1
OG0000170	XP_045262940.1, XP_045265064.1	XP_060361746.1, XP_060363471.1, XP_060362435.1
OG0000172	XP_045266696.1	XP_060360212.1
OG0000172	XP_045265794.1	XP_060367126.1, XP_060369355.1
OG0000174	XP_045271027.1	XP_060359897.1
OG0000174	XP_045266193.1	XP_060362841.1
OG0000175	XP_045270053.1	XP_060363664.1
OG0000175	XP_045265726.1, XP_045271158.1	XP_060360608.1
OG0000176	XP_045266063.1	XP_060366190.1
OG0000177	XP_045257602.1	XP_060360013.1, XP_060360012.1
OG0000178	XP_045257121.1	XP_060362745.1
OG0000178	XP_045266671.1	XP_060360498.1
OG0000179	XP_045268759.1	XP_060363528.1
OG0000179	XP_045264144.1	XP_060359805.1
OG0000180	XP_045260430.1	XP_060366993.1
OG0000180	XP_045258894.1, XP_045270077.1	XP_060362643.1
OG0000181	XP_045263177.1	XP_060358425.1
OG0000181	XP_045259217.1	XP_060357593.1, XP_060361614.1
OG0000182	XP_045267052.1	XP_060360546.1
OG0000182	XP_045259868.1	XP_060362182.1
OG0000185	XP_045263630.1	XP_060360958.1
OG0000185	XP_045268724.1	XP_060370140.1, XP_060370141.1
OG0000186	XP_045269206.1	XP_060366093.1
OG0000186	XP_045263180.1	XP_060358429.1
OG0000187	XP_045260084.1	XP_060371822.1
OG0000188	XP_045259714.1	XP_060368166.1
OG0000189	XP_045270132.1, XP_045267061.1, XP_045256543.1, XP_045260600.1, XP_045257751.1, XP_045267913.1	XP_060359775.1
OG0000190	XP_045268117.1, XP_045260907.1, XP_045271077.1, XP_045261350.1	XP_060361700.1
OG0000196	XP_045265901.1	XP_060363088.1
OG0000196	XP_045260292.1	XP_060359313.1
OG0000196	XP_045269336.1	XP_060366061.1
OG0000197	XP_045260342.1	XP_060359886.1
OG0000197	XP_045262445.1	XP_060361831.1
OG0000198	XP_045266461.1	XP_060367855.1
OG0000198	XP_045270186.1	XP_060368419.1
OG0000199	XP_045264927.1	XP_060363172.1
OG0000199	XP_045268026.1	XP_060363152.1
OG0000200	XP_045269788.1	XP_060368545.1
OG0000201	XP_045258175.1	XP_060368349.1
OG0000202	XP_045269319.1	XP_060369685.1
OG0000205	XP_045267125.1	XP_060360578.1
OG0000205	XP_045270115.1	XP_060359254.1, XP_060360431.1, XP_060365199.1
OG0000207	XP_045263179.1	XP_060358428.1
OG0000207	XP_045266407.1	XP_060367926.1
OG0000208	XP_045266874.1, XP_045269783.1	XP_060358934.1
OG0000209	XP_045269236.1, XP_045269233.1, XP_045269243.1, XP_045269237.1, XP_045269244.1	XP_060366044.1
OG0000211	XP_045257705.1	XP_060359069.1, XP_060359351.1, XP_060362977.1, XP_060359068.1
OG0000212	XP_045259625.1	XP_060358249.1
OG0000212	XP_045261155.1	XP_060364445.1
OG0000213	XP_045261105.1, XP_045266352.1, XP_045257301.1, XP_045265010.1, XP_045269545.1, XP_045266559.1, XP_045263010.1	XP_060358624.1
OG0000214	XP_045261715.1, XP_045263460.1, XP_045263186.1, XP_045271149.1	XP_060363289.1
OG0000216	XP_045259148.1, XP_045265479.1	XP_060369616.1
OG0000217	XP_045260327.1	XP_060357602.1
OG0000218	XP_045271056.1, XP_045265810.1, XP_045258998.1, XP_045269449.1	XP_060361736.1
OG0000219	XP_045269967.1, XP_045269435.1	XP_060357096.1
OG0000220	XP_045267270.1	XP_060358749.1
OG0000220	XP_045269671.1	XP_060359674.1
OG0000221	XP_045257182.1, XP_045257181.1	XP_060362794.1
OG0000222	XP_045258772.1	XP_060370685.1
OG0000222	XP_045269245.1	XP_060366038.1
OG0000223	XP_045268002.1	XP_060369157.1
OG0000224	XP_045270683.1	XP_060369154.1
OG0000225	XP_045262317.1	XP_060360128.1
OG0000225	XP_045268958.1	XP_060361922.1
OG0000226	XP_045263381.1	XP_060367428.1
OG0000226	XP_045261410.1	XP_060358470.1
OG0000227	XP_045259003.1	XP_060365062.1
OG0000227	XP_045269037.1	XP_060363717.1
OG0000228	XP_045269231.1	XP_060366081.1
OG0000228	XP_045264164.1	XP_060361251.1
OG0000229	XP_045259222.1	XP_060357611.1
OG0000229	XP_045271148.1	XP_060358969.1
OG0000230	XP_045259256.1	XP_060357922.1
OG0000231	XP_045266990.1	XP_060361058.1
OG0000231	XP_045268102.1	XP_060361707.1
OG0000232	XP_045266910.1	XP_060361107.1
OG0000232	XP_045260983.1	XP_060362716.1
OG0000233	XP_045257945.1	XP_060360565.1
OG0000233	XP_045270081.1	XP_060359928.1
OG0000234	XP_045258872.1	XP_060357028.1
OG0000235	XP_045259464.1	XP_060369692.1
OG0000235	XP_045266345.1	XP_060363388.1
OG0000236	XP_045260760.1	XP_060368482.1, XP_060359724.1
OG0000237	XP_045262285.1	XP_060357712.1
OG0000238	XP_045266441.1	XP_060367882.1
OG0000238	XP_045266439.1, XP_045266440.1	XP_060367881.1
OG0000239	XP_045270980.1	XP_060361560.1
OG0000239	XP_045268542.1	XP_060364740.1
OG0000240	XP_045270926.1	XP_060359712.1
OG0000241	XP_045261343.1	XP_060359071.1, XP_060359353.1
OG0000242	XP_045261996.1, XP_045269075.1, XP_045261307.1, XP_045269778.1	XP_060357579.1
OG0000243	XP_045266028.1	XP_060364492.1, XP_060364489.1, XP_060364490.1
OG0000243	XP_045266027.1	XP_060364493.1, XP_060361234.1
OG0000244	XP_045263066.1, XP_045264601.1, XP_045267416.1, XP_045263065.1	XP_060367729.1
OG0000248	XP_045268442.1	XP_060357237.1, XP_060371211.1
OG0000250	XP_045264556.1	XP_060364343.1
OG0000250	XP_045268745.1	XP_060364974.1
OG0000251	XP_045264704.1	XP_060359182.1
OG0000252	XP_045257720.1	XP_060357536.1
OG0000253	XP_045269240.1	XP_060366042.1
OG0000253	XP_045260923.1	XP_060365372.1
OG0000254	XP_045260903.1, XP_045257744.1	XP_060359659.1
OG0000255	XP_045265311.1	XP_060364793.1
OG0000255	XP_045264054.1	XP_060366772.1
OG0000256	XP_045267556.1	XP_060363899.1
OG0000256	XP_045262627.1	XP_060370761.1
OG0000257	XP_045256987.1	XP_060364578.1
OG0000258	XP_045260962.1	XP_060365066.1
OG0000258	XP_045270075.1	XP_060363633.1
OG0000259	XP_045258115.1	XP_060368279.1
OG0000259	XP_045259585.1	XP_060357412.1
OG0000260	XP_045257559.1, XP_045261251.1, XP_045259612.1	XP_060357639.1
OG0000261	XP_045262502.1, XP_045262345.1	XP_060368122.1
OG0000262	XP_045257191.1	XP_060362778.1
OG0000262	XP_045259071.1	XP_060365579.1
OG0000263	XP_045261365.1	XP_060370143.1
OG0000263	XP_045256441.1	XP_060371628.1
OG0000264	XP_045259980.1	XP_060368010.1
OG0000264	XP_045265202.1	XP_060364114.1, XP_060362727.1, XP_060366514.1
OG0000265	XP_045258879.1	XP_060366490.1
OG0000265	XP_045267620.1	XP_060364218.1
OG0000266	XP_045258833.1	XP_060366479.1
OG0000267	XP_045259651.1	XP_060363869.1
OG0000267	XP_045271379.1	XP_060365757.1
OG0000268	XP_045264859.1	XP_060362665.1
OG0000268	XP_045259767.1	XP_060363887.1
OG0000269	XP_045259633.1, XP_045265385.1	XP_060368056.1, XP_060364363.1
OG0000270	XP_045261902.1	XP_060357063.1
OG0000270	XP_045258721.1	XP_060370727.1
OG0000271	XP_045265206.1	XP_060362068.1
OG0000272	XP_045265418.1, XP_045263038.1	XP_060365944.1
OG0000273	XP_045268955.1	XP_060357378.1
OG0000273	XP_045262274.1	XP_060361471.1
OG0000274	XP_045269038.1	XP_060363716.1
OG0000275	XP_045267782.1, XP_045263049.1	XP_060360351.1, XP_060370125.1
OG0000275	XP_045263496.1	XP_060372031.1
OG0000276	XP_045264269.1	XP_060360891.1
OG0000276	XP_045263314.1	XP_060364233.1
OG0000277	XP_045264186.1	XP_060361242.1
OG0000277	XP_045258022.1	XP_060358926.1
OG0000278	XP_045265946.1	XP_060370057.1
OG0000278	XP_045257530.1	XP_060359110.1
OG0000279	XP_045261008.1	XP_060365027.1
OG0000279	XP_045269208.1	XP_060368533.1
OG0000280	XP_045265584.1	XP_060371287.1
OG0000280	XP_045258151.1	XP_060368324.1
OG0000281	XP_045270549.1	XP_060364893.1
OG0000281	XP_045258084.1	XP_060368305.1
OG0000283	XP_045268918.1	XP_060361588.1
OG0000283	XP_045270351.1	XP_060370352.1
OG0000284	XP_045271004.1	XP_060361513.1
OG0000284	XP_045262266.1	XP_060361609.1
OG0000285	XP_045259247.1	XP_060357923.1
OG0000285	XP_045259158.1	XP_060360719.1
OG0000286	XP_045260442.1	XP_060359458.1
OG0000287	XP_045267010.1	XP_060359450.1
OG0000287	XP_045263659.1	XP_060360998.1
OG0000288	XP_045263749.1, XP_045264512.1	XP_060360584.1
OG0000289	XP_045267153.1	XP_060359365.1
OG0000290	XP_045270993.1	XP_060357052.1
OG0000291	XP_045269623.1	XP_060365514.1
OG0000291	XP_045258649.1	XP_060367246.1
OG0000292	XP_045264596.1	XP_060367745.1
OG0000292	XP_045264899.1	XP_060357581.1
OG0000293	XP_045257803.1	XP_060359081.1
OG0000293	XP_045271256.1	XP_060357313.1
OG0000294	XP_045270216.1	XP_060357849.1
OG0000294	XP_045259628.1	XP_060358252.1
OG0000295	XP_045257658.1	XP_060368405.1
OG0000296	XP_045257551.1, XP_045264773.1	XP_060368506.1
OG0000297	XP_045270587.1	XP_060369904.1
OG0000297	XP_045264772.1	XP_060367138.1
OG0000298	XP_045263543.1	XP_060366694.1
OG0000298	XP_045266526.1	XP_060357384.1
OG0000300	XP_045260458.1	XP_060364877.1
OG0000301	XP_045264774.1	XP_060367178.1
OG0000301	XP_045259974.1	XP_060358535.1
OG0000302	XP_045260558.1	XP_060363817.1
OG0000302	XP_045256455.1	XP_060359004.1
OG0000303	XP_045269318.1	XP_060368739.1
OG0000303	XP_045268419.1	XP_060371171.1
OG0000304	XP_045263305.1	XP_060359912.1
OG0000304	XP_045264396.1, XP_045261333.1	XP_060357162.1
OG0000305	XP_045260609.1	XP_060357976.1
OG0000305	XP_045265286.1	XP_060364821.1
OG0000306	XP_045256711.1, XP_045256712.1, XP_045256710.1, XP_045256713.1, XP_045256714.1, XP_045263365.1, XP_045256708.1	XP_060365992.1
OG0000307	XP_045258019.1	XP_060358890.1
OG0000307	XP_045267829.1	XP_060358040.1
OG0000308	XP_045271103.1, XP_045259844.1	XP_060364563.1
OG0000308	XP_045259843.1	XP_060364562.1
OG0000309	XP_045263143.1	XP_060358298.1
OG0000310	XP_045259025.1	XP_060358326.1
OG0000311	XP_045265919.1, XP_045261305.1, XP_045270294.1	XP_060370454.1
OG0000312	XP_045268684.1	XP_060358011.1
OG0000312	XP_045256119.1	XP_060359305.1
OG0000313	XP_045256125.1	XP_060358664.1
OG0000313	XP_045268682.1	XP_060358009.1
