Orthogroup	Colletotrichum_abscissum	Colletotrichum_gloeosporioides
OG0000037	XP_060401095.1	XP_045270941.1
OG0000037	XP_060394145.1	XP_045264881.1
OG0000037	XP_060399323.1	XP_045257505.1
OG0000038	XP_060397114.1	XP_045258960.1
OG0000039	XP_060399314.1, XP_060402283.1	XP_045259398.1
OG0000039	XP_060404844.1	XP_045265097.1
OG0000040	XP_060389871.1, XP_060398598.1	XP_045257150.1
OG0000040	XP_060396507.1	XP_045267145.1
OG0000041	XP_060391743.1	XP_045267024.1
OG0000041	XP_060405425.1	XP_045264990.1, XP_045268471.1, XP_045259104.1, XP_045261784.1
OG0000043	XP_060402897.1	XP_045259172.1
OG0000043	XP_060391983.1	XP_045262503.1
OG0000043	XP_060405167.1	XP_045260283.1
OG0000044	XP_060391535.1	XP_045259382.1
OG0000044	XP_060393902.1	XP_045259917.1, XP_045256116.1, XP_045264199.1
OG0000046	XP_060403289.1	XP_045266187.1
OG0000046	XP_060395276.1	XP_045256698.1
OG0000046	XP_060390222.1, XP_060396070.1	XP_045270169.1
OG0000046	XP_060396941.1	XP_045268007.1
OG0000047	XP_060397255.1	XP_045266983.1
OG0000047	XP_060391972.1	XP_045267639.1, XP_045260562.1
OG0000049	XP_060394521.1	XP_045263917.1
OG0000049	XP_060392182.1	XP_045267692.1
OG0000049	XP_060395332.1	XP_045261757.1
OG0000050	XP_060405210.1	XP_045271142.1
OG0000050	XP_060393904.1	XP_045256887.1, XP_045264197.1
OG0000050	XP_060400491.1	XP_045262061.1
OG0000051	XP_060397608.1	XP_045263568.1
OG0000051	XP_060401241.1	XP_045267207.1
OG0000051	XP_060401973.1	XP_045257839.1
OG0000051	XP_060394615.1	XP_045258153.1
OG0000052	XP_060404980.1	XP_045258316.1, XP_045261537.1
OG0000054	XP_060391312.1	XP_045260351.1
OG0000055	XP_060402327.1	XP_045264937.1, XP_045262255.1
OG0000055	XP_060401863.1	XP_045260095.1
OG0000057	XP_060393337.1	XP_045263183.1, XP_045263077.1
OG0000057	XP_060391613.1	XP_045256760.1
OG0000057	XP_060404958.1, XP_060404957.1	XP_045266969.1
OG0000058	XP_060404570.1	XP_045268364.1
OG0000059	XP_060395997.1	XP_045256241.1
OG0000059	XP_060402559.1	XP_045263662.1
OG0000059	XP_060403183.1	XP_045270918.1
OG0000060	XP_060403834.1	XP_045263033.1
OG0000064	XP_060392805.1	XP_045258881.1
OG0000064	XP_060390046.1	XP_045256286.1
OG0000064	XP_060396923.1, XP_060404553.1	XP_045268075.1
OG0000065	XP_060392741.1	XP_045257234.1
OG0000065	XP_060391392.1	XP_045267666.1, XP_045260056.1, XP_045267361.1
OG0000065	XP_060397344.1, XP_060397336.1	XP_045261140.1
OG0000066	XP_060393191.1	XP_045267106.1, XP_045263560.1, XP_045259039.1, XP_045257887.1
OG0000066	XP_060393190.1	XP_045261489.1
OG0000066	XP_060393189.1	XP_045261488.1
OG0000067	XP_060397707.1	XP_045269698.1, XP_045269697.1
OG0000067	XP_060397610.1	XP_045268954.1
OG0000067	XP_060393681.1	XP_045267259.1, XP_045268953.1, XP_045261800.1
OG0000069	XP_060395907.1	XP_045260139.1
OG0000069	XP_060395905.1	XP_045260314.1, XP_045260132.1, XP_045260133.1, XP_045260130.1, XP_045260129.1
OG0000070	XP_060403136.1	XP_045257325.1
OG0000070	XP_060398820.1	XP_045270929.1
OG0000070	XP_060404832.1	XP_045260902.1, XP_045268118.1
OG0000071	XP_060391462.1	XP_045271076.1
OG0000071	XP_060403051.1	XP_045257723.1
OG0000071	XP_060395244.1	XP_045256765.1
OG0000072	XP_060396061.1	XP_045259157.1
OG0000072	XP_060393039.1	XP_045259279.1
OG0000072	XP_060399592.1	XP_045269192.1
OG0000072	XP_060393949.1	XP_045264153.1
OG0000073	XP_060394993.1	XP_045268969.1
OG0000073	XP_060404434.1	XP_045257575.1
OG0000073	XP_060403020.1	XP_045269220.1
OG0000074	XP_060404544.1	XP_045257444.1
OG0000074	XP_060405438.1, XP_060404922.1	XP_045267143.1
OG0000075	XP_060404523.1, XP_060389791.1	XP_045262378.1
OG0000076	XP_060395356.1	XP_045268151.1
OG0000076	XP_060390141.1	XP_045259171.1
OG0000077	XP_060396845.1	XP_045257569.1
OG0000077	XP_060393839.1	XP_045264585.1, XP_045269087.1
OG0000078	XP_060393868.1	XP_045264238.1
OG0000078	XP_060400364.1	XP_045259506.1
OG0000080	XP_060403156.1	XP_045256773.1
OG0000080	XP_060404108.1	XP_045258370.1
OG0000080	XP_060389880.1	XP_045257656.1
OG0000081	XP_060391595.1	XP_045270071.1
OG0000081	XP_060395159.1	XP_045259778.1
OG0000081	XP_060392535.1	XP_045256341.1
OG0000082	XP_060393284.1	XP_045263124.1
OG0000082	XP_060400690.1	XP_045267659.1
OG0000083	XP_060394127.1	XP_045259975.1, XP_045264175.1, XP_045260673.1, XP_045260672.1, XP_045262964.1, XP_045262415.1
OG0000084	XP_060399668.1	XP_045257184.1
OG0000084	XP_060401100.1	XP_045267107.1
OG0000084	XP_060399665.1	XP_045263141.1, XP_045259360.1
OG0000085	XP_060404229.1	XP_045260102.1, XP_045256206.1, XP_045258506.1, XP_045258508.1, XP_045258507.1
OG0000086	XP_060404979.1	XP_045261538.1, XP_045261539.1
OG0000089	XP_060389478.1	XP_045268482.1
OG0000089	XP_060397764.1	XP_045259870.1
OG0000089	XP_060394084.1	XP_045264932.1
OG0000090	XP_060389701.1	XP_045266317.1
OG0000090	XP_060398282.1	XP_045268543.1
OG0000090	XP_060394311.1	XP_045262785.1
OG0000091	XP_060391574.1	XP_045270047.1
OG0000091	XP_060401689.1	XP_045260867.1
OG0000092	XP_060402915.1	XP_045258982.1, XP_045259860.1, XP_045267421.1
OG0000092	XP_060393723.1, XP_060391828.1	XP_045261208.1, XP_045260979.1, XP_045263911.1, XP_045263912.1, XP_045263913.1
OG0000093	XP_060397924.1	XP_045270880.1
OG0000093	XP_060394176.1	XP_045266064.1
OG0000094	XP_060396262.1	XP_045260730.1
OG0000094	XP_060395175.1	XP_045266902.1
OG0000095	XP_060399043.1	XP_045270992.1, XP_045261234.1, XP_045261698.1, XP_045263815.1
OG0000097	XP_060402762.1	XP_045266067.1
OG0000097	XP_060402944.1	XP_045258858.1
OG0000098	XP_060397447.1	XP_045268539.1
OG0000098	XP_060392478.1	XP_045256500.1
OG0000099	XP_060393137.1	XP_045267038.1
OG0000099	XP_060400770.1	XP_045268458.1
OG0000099	XP_060400769.1	XP_045266982.1
OG0000099	XP_060406401.1	XP_045263376.1
OG0000100	XP_060396924.1	XP_045268076.1
OG0000100	XP_060394146.1	XP_045264880.1
OG0000100	XP_060399128.1	XP_045270148.1
OG0000101	XP_060394565.1	XP_045260937.1
OG0000101	XP_060397076.1	XP_045266505.1
OG0000101	XP_060398794.1	XP_045270973.1
OG0000102	XP_060398789.1	XP_045270965.1
OG0000102	XP_060401292.1	XP_045268634.1
OG0000102	XP_060394651.1	XP_045258108.1
OG0000103	XP_060397521.1	XP_045268470.1, XP_045261783.1, XP_045262928.1, XP_045256274.1
OG0000104	XP_060402765.1	XP_045265053.1, XP_045265054.1
OG0000104	XP_060402814.1	XP_045264965.1
OG0000105	XP_060405520.1	XP_045265094.1
OG0000108	XP_060395700.1	XP_045271295.1
OG0000108	XP_060404049.1, XP_060403622.1, XP_060389424.1, XP_060401838.1, XP_060398982.1, XP_060397497.1	XP_045264547.1
OG0000108	XP_060403623.1	XP_045258312.1
OG0000109	XP_060391657.1	XP_045258433.1
OG0000109	XP_060389458.1	XP_045258955.1
OG0000109	XP_060402925.1	XP_045260515.1
OG0000110	XP_060390433.1	XP_045265803.1
OG0000110	XP_060391882.1	XP_045259615.1
OG0000110	XP_060399270.1	XP_045263020.1
OG0000111	XP_060391609.1	XP_045269982.1
OG0000111	XP_060395468.1	XP_045270634.1
OG0000111	XP_060402596.1	XP_045259597.1
OG0000112	XP_060392150.1	XP_045257198.1
OG0000112	XP_060397460.1	XP_045268848.1
OG0000112	XP_060391887.1	XP_045259620.1
OG0000113	XP_060396530.1	XP_045258581.1
OG0000113	XP_060394004.1	XP_045260170.1
OG0000113	XP_060392391.1	XP_045256573.1
OG0000114	XP_060393065.1	XP_045264514.1
OG0000115	XP_060396079.1	XP_045264904.1
OG0000115	XP_060398441.1	XP_045268406.1
OG0000120	XP_060400712.1	XP_045267818.1
OG0000120	XP_060395709.1	XP_045271284.1
OG0000120	XP_060389851.1	XP_045262416.1
OG0000121	XP_060395817.1	XP_045271258.1
OG0000121	XP_060390987.1	XP_045271280.1
OG0000122	XP_060402895.1	XP_045270217.1
OG0000122	XP_060391430.1	XP_045261383.1
OG0000124	XP_060391863.1	XP_045267431.1
OG0000124	XP_060399871.1	XP_045271175.1
OG0000124	XP_060391865.1	XP_045267432.1
OG0000125	XP_060404765.1	XP_045268190.1
OG0000125	XP_060392122.1	XP_045258904.1
OG0000125	XP_060399052.1	XP_045261245.1
OG0000126	XP_060393110.1	XP_045265909.1
OG0000126	XP_060397683.1	XP_045267608.1, XP_045263448.1
OG0000127	XP_060404169.1	XP_045262511.1
OG0000127	XP_060396016.1	XP_045271343.1
OG0000128	XP_060406563.1	XP_045266852.1
OG0000128	XP_060398918.1	XP_045270848.1
OG0000128	XP_060404470.1	XP_045270176.1
OG0000129	XP_060398991.1	XP_045265942.1
OG0000129	XP_060404396.1	XP_045267846.1, XP_045263385.1
OG0000131	XP_060403198.1, XP_060400530.1	XP_045257749.1, XP_045257747.1, XP_045257748.1
OG0000131	XP_060403026.1	XP_045257750.1
OG0000132	XP_060401101.1	XP_045267108.1, XP_045269568.1, XP_045266427.1, XP_045268660.1, XP_045268138.1, XP_045264038.1
OG0000133	XP_060405570.1	XP_045265190.1, XP_045264158.1
OG0000133	XP_060401446.1	XP_045265189.1
OG0000136	XP_060404502.1, XP_060404541.1	XP_045258313.1
OG0000138	XP_060389508.1	XP_045266374.1
OG0000138	XP_060399828.1	XP_045264335.1, XP_045260029.1
OG0000139	XP_060391421.1	XP_045270128.1
OG0000139	XP_060391419.1, XP_060391438.1, XP_060391426.1	XP_045270127.1
OG0000141	XP_060392573.1	XP_045262993.1
OG0000141	XP_060402835.1	XP_045261602.1
OG0000142	XP_060402604.1	XP_045269779.1
OG0000142	XP_060393407.1	XP_045262179.1
OG0000143	XP_060393934.1	XP_045265074.1
OG0000143	XP_060394533.1	XP_045267117.1
OG0000143	XP_060394008.1	XP_045264840.1
OG0000144	XP_060393978.1, XP_060399056.1	XP_045265947.1
OG0000144	XP_060401142.1	XP_045262464.1
OG0000145	XP_060394186.1	XP_045262875.1
OG0000146	XP_060397212.1	XP_045268140.1, XP_045267154.1
OG0000147	XP_060397035.1	XP_045266544.1
OG0000147	XP_060399567.1	XP_045271008.1, XP_045269205.1
OG0000148	XP_060397720.1	XP_045259911.1
OG0000148	XP_060404369.1	XP_045263425.1
OG0000149	XP_060397400.1	XP_045265420.1, XP_045256651.1, XP_045265422.1, XP_045263374.1, XP_045263373.1, XP_045265423.1, XP_045267475.1, XP_045268809.1, XP_045266099.1
OG0000150	XP_060397411.1	XP_045260460.1
OG0000151	XP_060399256.1	XP_045263000.1
OG0000151	XP_060397674.1	XP_045267237.1, XP_045263523.1
OG0000154	XP_060401200.1	XP_045267240.1
OG0000154	XP_060389848.1	XP_045262413.1
OG0000155	XP_060390054.1	XP_045260166.1
OG0000156	XP_060390414.1	XP_045265793.1
OG0000156	XP_060400557.1	XP_045267623.1, XP_045260444.1
OG0000157	XP_060403783.1	XP_045257315.1
OG0000157	XP_060391369.1	XP_045259408.1
OG0000158	XP_060403201.1, XP_060404962.1, XP_060393678.1	XP_045257707.1, XP_045260524.1, XP_045261225.1
OG0000159	XP_060395315.1	XP_045261793.1
OG0000160	XP_060397918.1	XP_045259057.1
OG0000160	XP_060396290.1	XP_045265070.1, XP_045256694.1
OG0000161	XP_060396457.1	XP_045262216.1
OG0000161	XP_060405487.1, XP_060400956.1	XP_045270352.1
OG0000162	XP_060400629.1	XP_045261732.1
OG0000162	XP_060397286.1	XP_045267737.1
OG0000163	XP_060400018.1	XP_045264751.1
OG0000164	XP_060401230.1	XP_045271038.1
OG0000169	XP_060389429.1	XP_045263453.1
OG0000169	XP_060392472.1	XP_045256494.1
OG0000170	XP_060391362.1, XP_060389928.1, XP_060391786.1	XP_045262940.1, XP_045265064.1
OG0000171	XP_060402236.1	XP_045269583.1, XP_045257390.1
OG0000172	XP_060398059.1	XP_045266696.1
OG0000172	XP_060397859.1, XP_060390412.1	XP_045265794.1
OG0000174	XP_060391302.1	XP_045271027.1
OG0000174	XP_060403281.1	XP_045266193.1
OG0000175	XP_060391567.1	XP_045270053.1
OG0000175	XP_060399617.1	XP_045265726.1, XP_045271158.1
OG0000176	XP_060401248.1	XP_045268222.1, XP_045268417.1, XP_045268153.1
OG0000176	XP_060392352.1	XP_045266063.1
OG0000177	XP_060395264.1	XP_045257602.1
OG0000178	XP_060403658.1	XP_045257121.1
OG0000178	XP_060393730.1	XP_045266671.1
OG0000179	XP_060399833.1	XP_045268759.1
OG0000179	XP_060393957.1	XP_045264144.1
OG0000180	XP_060402344.1	XP_045260430.1
OG0000180	XP_060394010.1	XP_045258894.1, XP_045270077.1
OG0000181	XP_060399951.1	XP_045263177.1
OG0000181	XP_060395792.1, XP_060395049.1	XP_045259217.1
OG0000182	XP_060395194.1	XP_045267052.1
OG0000182	XP_060397765.1	XP_045259868.1
OG0000185	XP_060399147.1	XP_045268724.1
OG0000186	XP_060399566.1	XP_045269206.1
OG0000186	XP_060399946.1	XP_045263180.1
OG0000187	XP_060399685.1	XP_045256990.1
OG0000187	XP_060400397.1	XP_045260084.1
OG0000188	XP_060400159.1	XP_045259714.1
OG0000188	XP_060400741.1	XP_045267833.1
OG0000189	XP_060402705.1	XP_045270132.1, XP_045267061.1, XP_045256543.1, XP_045260600.1, XP_045257751.1, XP_045267913.1
OG0000190	XP_060404834.1	XP_045268117.1, XP_045260907.1, XP_045271077.1, XP_045261350.1
OG0000196	XP_060391236.1	XP_045265901.1
OG0000196	XP_060399523.1	XP_045269336.1
OG0000197	XP_060391315.1	XP_045260342.1
OG0000197	XP_060391948.1	XP_045262445.1
OG0000198	XP_060391676.1	XP_045266461.1
OG0000198	XP_060396123.1	XP_045270186.1
OG0000199	XP_060394109.1	XP_045264927.1
OG0000199	XP_060392177.1	XP_045268026.1
OG0000200	XP_060396285.1	XP_045269788.1
OG0000201	XP_060394595.1	XP_045258175.1
OG0000201	XP_060393304.1	XP_045257522.1
OG0000203	XP_060393461.1	XP_045257266.1, XP_045269011.1, XP_045256864.1
OG0000205	XP_060395227.1	XP_045267125.1
OG0000205	XP_060401256.1	XP_045270115.1
OG0000207	XP_060399947.1	XP_045263179.1
OG0000207	XP_060404500.1, XP_060404499.1, XP_060397118.1	XP_045266407.1
OG0000208	XP_060399406.1	XP_045266874.1, XP_045269783.1
OG0000209	XP_060399508.1	XP_045269236.1, XP_045269233.1, XP_045269243.1, XP_045269237.1, XP_045269244.1
OG0000210	XP_060402716.1, XP_060401832.1	XP_045265138.1
OG0000210	XP_060400275.1, XP_060404540.1, XP_060404510.1	XP_045258302.1, XP_045258304.1
OG0000211	XP_060402138.1, XP_060404947.1	XP_045257705.1
OG0000212	XP_060404565.1	XP_045259625.1
OG0000212	XP_060403548.1	XP_045261155.1
OG0000216	XP_060389622.1	XP_045259148.1, XP_045265479.1
OG0000216	XP_060402616.1	XP_045269769.1
OG0000217	XP_060391287.1	XP_045260327.1
OG0000218	XP_060391347.1, XP_060391350.1	XP_045271056.1, XP_045265810.1, XP_045258998.1, XP_045269449.1
OG0000219	XP_060391645.1	XP_045269967.1, XP_045269435.1
OG0000220	XP_060401166.1	XP_045267270.1
OG0000220	XP_060391919.1	XP_045269671.1
OG0000221	XP_060392143.1	XP_045257182.1, XP_045257181.1
OG0000222	XP_060392909.1	XP_045258772.1
OG0000222	XP_060399501.1	XP_045269245.1
OG0000223	XP_060393203.1	XP_045268002.1
OG0000224	XP_060393206.1	XP_045270683.1
OG0000224	XP_060399593.1	XP_045267246.1, XP_045269182.1
OG0000225	XP_060393497.1	XP_045262317.1
OG0000226	XP_060394749.1	XP_045263381.1
OG0000226	XP_060401810.1, XP_060400632.1	XP_045261410.1
OG0000227	XP_060394537.1	XP_045259003.1
OG0000227	XP_060393660.1	XP_045269037.1
OG0000228	XP_060399550.1	XP_045269231.1
OG0000228	XP_060393924.1	XP_045264164.1
OG0000229	XP_060395059.1	XP_045259222.1
OG0000229	XP_060394543.1	XP_045271148.1
OG0000230	XP_060401412.1	XP_045268776.1
OG0000230	XP_060395084.1	XP_045259256.1
OG0000231	XP_060395100.1	XP_045266990.1
OG0000231	XP_060404841.1	XP_045268102.1
OG0000232	XP_060395155.1	XP_045266910.1
OG0000232	XP_060401385.1	XP_045260983.1
OG0000233	XP_060395216.1	XP_045257945.1
OG0000233	XP_060398916.1	XP_045270081.1
OG0000233	XP_060399680.1	XP_045262961.1
OG0000234	XP_060395669.1	XP_045266609.1
OG0000234	XP_060405406.1	XP_045258872.1
OG0000235	XP_060402405.1	XP_045259464.1
OG0000235	XP_060403133.1	XP_045266345.1
OG0000236	XP_060396213.1, XP_060405444.1	XP_045260760.1
OG0000237	XP_060396847.1	XP_045262285.1
OG0000238	XP_060397162.1	XP_045266441.1
OG0000239	XP_060398810.1	XP_045270980.1
OG0000239	XP_060398283.1	XP_045268542.1
OG0000240	XP_060398845.1, XP_060402501.1, XP_060401821.1, XP_060404035.1, XP_060403591.1	XP_045270926.1
OG0000242	XP_060402603.1	XP_045261996.1, XP_045269075.1, XP_045261307.1, XP_045269778.1
OG0000243	XP_060403500.1	XP_045266028.1
OG0000243	XP_060403497.1, XP_060403499.1	XP_045266027.1
OG0000244	XP_060405272.1	XP_045263066.1, XP_045264601.1, XP_045267416.1, XP_045263065.1
OG0000248	XP_060400839.1, XP_060402491.1, XP_060405456.1, XP_060400838.1, XP_060389428.1, XP_060398385.1	XP_045268442.1
OG0000249	XP_060402514.1, XP_060389449.1, XP_060404926.1	XP_045269262.1
OG0000250	XP_060390890.1	XP_045264556.1
OG0000250	XP_060389465.1	XP_045268745.1
OG0000251	XP_060389524.1	XP_045264704.1
OG0000251	XP_060400740.1	XP_045267832.1
OG0000252	XP_060403047.1	XP_045257720.1
OG0000253	XP_060399506.1	XP_045269240.1
OG0000253	XP_060390165.1	XP_045260923.1
OG0000254	XP_060405641.1	XP_045260903.1, XP_045257744.1
OG0000255	XP_060405714.1	XP_045265311.1
OG0000255	XP_060390262.1	XP_045264054.1
OG0000256	XP_060401557.1	XP_045267556.1
OG0000256	XP_060390677.1	XP_045262627.1
OG0000257	XP_060399689.1	XP_045256987.1
OG0000258	XP_060394541.1	XP_045260962.1
OG0000258	XP_060391598.1	XP_045270075.1
OG0000259	XP_060394671.1	XP_045258115.1
OG0000259	XP_060391860.1	XP_045259585.1
OG0000260	XP_060391880.1	XP_045257559.1, XP_045261251.1, XP_045259612.1
OG0000261	XP_060391984.1	XP_045262502.1, XP_045262345.1
OG0000262	XP_060392159.1	XP_045257191.1
OG0000262	XP_060405021.1	XP_045259071.1
OG0000263	XP_060399150.1	XP_045261365.1
OG0000263	XP_060392681.1	XP_045256441.1
OG0000264	XP_060406396.1	XP_045259980.1
OG0000264	XP_060395768.1, XP_060392782.1	XP_045265202.1
OG0000265	XP_060392807.1	XP_045258879.1
OG0000265	XP_060404186.1	XP_045267620.1
OG0000266	XP_060392815.1	XP_045258833.1
OG0000266	XP_060400753.1	XP_045263908.1
OG0000267	XP_060392835.1	XP_045259651.1
OG0000267	XP_060395630.1	XP_045271379.1
OG0000268	XP_060394034.1	XP_045264859.1
OG0000268	XP_060392853.1	XP_045259767.1
OG0000269	XP_060392863.1, XP_060406445.1	XP_045259633.1, XP_045265385.1
OG0000270	XP_060395507.1	XP_045261902.1
OG0000270	XP_060392952.1	XP_045258721.1
OG0000271	XP_060393124.1	XP_045265205.1, XP_045270089.1, XP_045268596.1
OG0000271	XP_060393123.1	XP_045265206.1
OG0000272	XP_060400747.1	XP_045263903.1
OG0000272	XP_060393300.1	XP_045265418.1, XP_045263038.1
OG0000273	XP_060394989.1	XP_045268955.1
OG0000273	XP_060393542.1	XP_045262274.1
OG0000274	XP_060393661.1	XP_045269038.1
OG0000275	XP_060401608.1, XP_060399131.1	XP_045267782.1, XP_045263049.1
OG0000275	XP_060393782.1	XP_045263496.1
OG0000276	XP_060393834.1	XP_045264269.1
OG0000276	XP_060404300.1	XP_045263314.1
OG0000277	XP_060393915.1	XP_045264186.1
OG0000277	XP_060399399.1	XP_045258022.1
OG0000278	XP_060393979.1, XP_060399055.1	XP_045265946.1
OG0000278	XP_060402980.1	XP_045257530.1
OG0000279	XP_060394494.1	XP_045261008.1
OG0000279	XP_060396270.1	XP_045269208.1
OG0000280	XP_060406122.1	XP_045265584.1
OG0000280	XP_060394619.1	XP_045258151.1
OG0000281	XP_060397427.1	XP_045270549.1
OG0000281	XP_060394643.1	XP_045258084.1
OG0000282	XP_060404050.1	XP_045267152.1
OG0000283	XP_060395025.1	XP_045268918.1
OG0000283	XP_060400957.1	XP_045270351.1
OG0000284	XP_060398756.1	XP_045271004.1
OG0000284	XP_060395046.1	XP_045262266.1
OG0000285	XP_060395083.1	XP_045259247.1
OG0000285	XP_060396051.1	XP_045259158.1
OG0000287	XP_060395180.1	XP_045267010.1
OG0000287	XP_060402558.1	XP_045263659.1
OG0000288	XP_060395234.1	XP_045263749.1, XP_045264512.1
OG0000289	XP_060396668.1, XP_060395381.1	XP_045267153.1
OG0000290	XP_060395496.1	XP_045270993.1
OG0000290	XP_060399044.1	XP_045261233.1
OG0000291	XP_060395575.1	XP_045269623.1
OG0000291	XP_060396639.1	XP_045258649.1
OG0000292	XP_060405254.1	XP_045264596.1
OG0000292	XP_060395810.1	XP_045264899.1
