Orthogroup	Colletotrichum_abscissum	Colletotrichum_godetiae
OG0000037	XP_060401095.1	XP_060427933.1
OG0000037	XP_060394145.1	XP_060434737.1
OG0000037	XP_060399323.1	XP_060422163.1
OG0000038	XP_060397114.1	XP_060436774.1
OG0000038	XP_060401530.1	XP_060426876.1
OG0000038	XP_060394471.1	XP_060429544.1
OG0000039	XP_060399314.1	XP_060422156.1
OG0000039	XP_060402283.1	XP_060430347.1
OG0000039	XP_060405429.1	XP_060428827.1
OG0000039	XP_060404844.1	XP_060436406.1
OG0000040	XP_060389871.1	XP_060435849.1
OG0000040	XP_060398598.1	XP_060426497.1
OG0000040	XP_060396507.1	XP_060421402.1, XP_060421289.1, XP_060421340.1
OG0000040	XP_060397495.1, XP_060396829.1	XP_060421811.1, XP_060421796.1
OG0000040	XP_060397367.1	XP_060432609.1
OG0000043	XP_060405167.1	XP_060423691.1
OG0000044	XP_060391535.1	XP_060424363.1
OG0000044	XP_060393902.1	XP_060430013.1
OG0000044	XP_060395508.1	XP_060430675.1
OG0000046	XP_060403289.1	XP_060423965.1
OG0000046	XP_060395276.1	XP_060422315.1
OG0000046	XP_060390222.1	XP_060432596.1
OG0000046	XP_060396941.1	XP_060436550.1
OG0000047	XP_060392437.1	XP_060435585.1
OG0000047	XP_060391972.1	XP_060428658.1
OG0000049	XP_060394521.1	XP_060429839.1
OG0000049	XP_060392182.1	XP_060427999.1
OG0000049	XP_060395332.1	XP_060427652.1
OG0000050	XP_060405210.1	XP_060426010.1
OG0000050	XP_060393904.1	XP_060430015.1
OG0000050	XP_060400491.1	XP_060434196.1
OG0000051	XP_060397608.1	XP_060427463.1
OG0000051	XP_060401241.1	XP_060429014.1
OG0000051	XP_060401973.1	XP_060427740.1
OG0000051	XP_060394615.1	XP_060424773.1
OG0000053	XP_060402228.1	XP_060430297.1
OG0000053	XP_060390531.1	XP_060421931.1
OG0000053	XP_060391387.1	XP_060422803.1, XP_060428146.1, XP_060433070.1, XP_060433374.1, XP_060428145.1
OG0000053	XP_060390308.1	XP_060431468.1
OG0000054	XP_060391312.1	XP_060425671.1
OG0000054	XP_060396191.1	XP_060421316.1, XP_060421708.1, XP_060423325.1, XP_060421372.1
OG0000054	XP_060404929.1	XP_060422655.1
OG0000055	XP_060402327.1	XP_060430387.1
OG0000057	XP_060393337.1	XP_060425430.1
OG0000057	XP_060404958.1, XP_060404957.1	XP_060425812.1
OG0000058	XP_060404570.1	XP_060436116.1
OG0000058	XP_060399232.1	XP_060425419.1
OG0000058	XP_060395379.1	XP_060421769.1, XP_060421813.1, XP_060421356.1, XP_060421286.1, XP_060421337.1
OG0000059	XP_060395997.1	XP_060423506.1, XP_060436928.1
OG0000059	XP_060402559.1	XP_060431609.1
OG0000059	XP_060403183.1	XP_060431044.1
OG0000063	XP_060389446.1, XP_060391163.1, XP_060397699.1, XP_060404920.1, XP_060399480.1	XP_060434110.1
OG0000064	XP_060392805.1	XP_060425145.1
OG0000064	XP_060390046.1	XP_060422483.1
OG0000064	XP_060396923.1	XP_060429117.1
OG0000064	XP_060404553.1	XP_060427609.1
OG0000065	XP_060392741.1	XP_060436978.1
OG0000065	XP_060397344.1, XP_060397336.1	XP_060421892.1
OG0000066	XP_060393190.1	XP_060435465.1
OG0000066	XP_060393189.1	XP_060421285.1
OG0000067	XP_060397707.1	XP_060427460.1
OG0000067	XP_060393681.1	XP_060426247.1
OG0000068	XP_060406498.1	XP_060430828.1
OG0000068	XP_060400012.1	XP_060428216.1, XP_060422855.1
OG0000068	XP_060394224.1	XP_060434661.1
OG0000068	XP_060400271.1	XP_060424612.1
OG0000068	XP_060406496.1	XP_060430830.1
OG0000069	XP_060395907.1	XP_060433153.1
OG0000069	XP_060395905.1	XP_060433151.1
OG0000070	XP_060403136.1	XP_060426203.1
OG0000070	XP_060398820.1	XP_060423011.1
OG0000070	XP_060404832.1	XP_060436394.1
OG0000071	XP_060391462.1	XP_060424427.1
OG0000071	XP_060403051.1	XP_060427335.1
OG0000071	XP_060395244.1	XP_060422211.1
OG0000072	XP_060396061.1	XP_060433292.1
OG0000072	XP_060393039.1	XP_060431204.1
OG0000072	XP_060399592.1	XP_060432710.1
OG0000072	XP_060393949.1	XP_060430058.1
OG0000073	XP_060394993.1	XP_060431088.1
OG0000073	XP_060404434.1	XP_060427350.1
OG0000073	XP_060403020.1	XP_060427303.1
OG0000074	XP_060389371.1	XP_060421376.1, XP_060422246.1, XP_060421355.1
OG0000074	XP_060404544.1	XP_060421909.1, XP_060424571.1
OG0000074	XP_060405438.1, XP_060404922.1	XP_060423300.1
OG0000075	XP_060404523.1, XP_060389791.1	XP_060435771.1
OG0000075	XP_060395237.1, XP_060398980.1	XP_060422820.1
OG0000075	XP_060404515.1	XP_060422108.1
OG0000075	XP_060404516.1, XP_060402131.1, XP_060389374.1, XP_060399227.1, XP_060404930.1, XP_060399226.1, XP_060405467.1	XP_060422103.1
OG0000075	XP_060389377.1	XP_060421379.1, XP_060421690.1
OG0000076	XP_060390141.1	XP_060429108.1
OG0000077	XP_060396845.1	XP_060429200.1
OG0000077	XP_060393839.1	XP_060429949.1
OG0000078	XP_060393868.1	XP_060429979.1
OG0000078	XP_060400364.1	XP_060434048.1
OG0000078	XP_060406397.1	XP_060428533.1
OG0000080	XP_060403156.1	XP_060426223.1
OG0000080	XP_060404108.1	XP_060425323.1
OG0000080	XP_060389880.1	XP_060435856.1
OG0000081	XP_060391595.1	XP_060423130.1
OG0000081	XP_060395159.1	XP_060430904.1
OG0000081	XP_060392535.1	XP_060437149.1
OG0000082	XP_060393284.1	XP_060422997.1
OG0000082	XP_060400690.1	XP_060424833.1
OG0000083	XP_060394127.1	XP_060432065.1
OG0000084	XP_060399668.1	XP_060432095.1
OG0000084	XP_060401100.1	XP_060427931.1
OG0000084	XP_060399665.1	XP_060421552.1
OG0000085	XP_060404229.1	XP_060425007.1
OG0000089	XP_060398357.1, XP_060389478.1	XP_060436023.1
OG0000089	XP_060397764.1	XP_060430235.1
OG0000089	XP_060394084.1	XP_060434789.1
OG0000090	XP_060389701.1	XP_060435685.1
OG0000090	XP_060398282.1	XP_060432593.1
OG0000090	XP_060394311.1	XP_060434587.1
OG0000091	XP_060391574.1	XP_060429603.1
OG0000091	XP_060401689.1	XP_060429716.1
OG0000093	XP_060397924.1	XP_060423078.1
OG0000094	XP_060396262.1	XP_060424903.1
OG0000094	XP_060400746.1	XP_060433588.1
OG0000094	XP_060395175.1	XP_060430915.1
OG0000095	XP_060399043.1	XP_060426755.1
OG0000097	XP_060402762.1	XP_060426330.1
OG0000097	XP_060402944.1	XP_060427229.1
OG0000097	XP_060391414.1	XP_060425720.1
OG0000098	XP_060392478.1	XP_060437196.1
OG0000099	XP_060393137.1	XP_060436672.1
OG0000099	XP_060400769.1	XP_060436671.1
OG0000099	XP_060406401.1	XP_060428537.1
OG0000100	XP_060396924.1	XP_060429116.1
OG0000100	XP_060394146.1	XP_060434736.1
OG0000100	XP_060399128.1	XP_060426685.1
OG0000101	XP_060394565.1	XP_060429801.1
OG0000101	XP_060397076.1	XP_060436734.1
OG0000101	XP_060398794.1	XP_060422556.1
OG0000102	XP_060398789.1	XP_060422559.1
OG0000102	XP_060401292.1	XP_060428962.1
OG0000102	XP_060394651.1	XP_060422755.1
OG0000104	XP_060402766.1	XP_060426326.1
OG0000104	XP_060402814.1	XP_060426278.1
OG0000108	XP_060404049.1, XP_060403622.1, XP_060389424.1, XP_060401838.1, XP_060398982.1, XP_060397497.1	XP_060421497.1
OG0000108	XP_060403623.1	XP_060421664.1
OG0000109	XP_060391657.1	XP_060423190.1
OG0000109	XP_060397723.1	XP_060430274.1
OG0000109	XP_060402925.1	XP_060427211.1
OG0000110	XP_060390433.1	XP_060431348.1
OG0000110	XP_060391882.1	XP_060427587.1
OG0000110	XP_060399270.1	XP_060425377.1
OG0000111	XP_060391609.1	XP_060423145.1
OG0000111	XP_060395468.1	XP_060435389.1
OG0000111	XP_060402596.1	XP_060430457.1
OG0000112	XP_060392150.1	XP_060423474.1
OG0000112	XP_060397460.1	XP_060431014.1
OG0000112	XP_060391887.1	XP_060427593.1
OG0000113	XP_060396530.1	XP_060428325.1
OG0000113	XP_060394004.1	XP_060430101.1
OG0000113	XP_060392391.1	XP_060437280.1
OG0000114	XP_060393065.1	XP_060436600.1
OG0000115	XP_060396079.1	XP_060433308.1
OG0000115	XP_060398441.1	XP_060436170.1
OG0000120	XP_060400712.1	XP_060424855.1
OG0000120	XP_060395709.1	XP_060422018.1
OG0000120	XP_060389851.1	XP_060435829.1
OG0000121	XP_060395817.1	XP_060433063.1
OG0000121	XP_060390987.1	XP_060421928.1, XP_060425823.1
OG0000122	XP_060402895.1, XP_060391430.1	XP_060421992.1
OG0000123	XP_060399735.1, XP_060400858.1, XP_060405432.1, XP_060401827.1, XP_060393146.1, XP_060399732.1, XP_060398312.1	XP_060432662.1, XP_060421658.1
OG0000124	XP_060391865.1	XP_060427566.1
OG0000125	XP_060404765.1	XP_060436341.1
OG0000125	XP_060392122.1	XP_060422442.1
OG0000125	XP_060399052.1	XP_060426742.1
OG0000127	XP_060404169.1	XP_060425263.1
OG0000127	XP_060400734.1	XP_060424874.1
OG0000127	XP_060396016.1	XP_060433246.1
OG0000128	XP_060406563.1	XP_060430770.1
OG0000128	XP_060398918.1	XP_060425868.1
OG0000129	XP_060398991.1	XP_060432571.1
OG0000129	XP_060404396.1	XP_060422672.1
OG0000130	XP_060399972.1	XP_060422935.1
OG0000131	XP_060403198.1	XP_060422270.1, XP_060422425.1
OG0000131	XP_060400530.1	XP_060422273.1
OG0000131	XP_060403026.1	XP_060427310.1, XP_060427311.1
OG0000132	XP_060401101.1	XP_060427930.1
OG0000133	XP_060401446.1	XP_060423512.1
OG0000136	XP_060404503.1, XP_060400267.1, XP_060389422.1, XP_060404502.1, XP_060404541.1, XP_060395377.1, XP_060401826.1, XP_060403631.1	XP_060424587.1, XP_060422528.1
OG0000137	XP_060404531.1	XP_060424651.1
OG0000137	XP_060404013.1	XP_060422423.1
OG0000137	XP_060397698.1	XP_060423284.1, XP_060434123.1, XP_060422510.1, XP_060421743.1, XP_060432659.1, XP_060422283.1
OG0000138	XP_060389508.1	XP_060436889.1
OG0000138	XP_060399828.1	XP_060424295.1
OG0000139	XP_060391421.1	XP_060425760.1
OG0000139	XP_060391419.1	XP_060425758.1
OG0000139	XP_060391438.1	XP_060425772.1
OG0000139	XP_060391426.1	XP_060425757.1
OG0000140	XP_060392404.1	XP_060437267.1
OG0000141	XP_060392573.1	XP_060437112.1
OG0000141	XP_060402835.1	XP_060437113.1, XP_060425443.1
OG0000142	XP_060402604.1	XP_060430447.1
OG0000142	XP_060393407.1	XP_060431923.1
OG0000143	XP_060393934.1	XP_060430044.1
OG0000143	XP_060394533.1	XP_060429828.1
OG0000143	XP_060394008.1	XP_060430105.1
OG0000144	XP_060393978.1, XP_060399056.1	XP_060430084.1
OG0000145	XP_060394186.1	XP_060434697.1
OG0000146	XP_060397212.1	XP_060427347.1
OG0000146	XP_060394446.1	XP_060421646.1, XP_060421408.1
OG0000147	XP_060397035.1	XP_060436692.1
OG0000147	XP_060399567.1	XP_060432726.1
OG0000148	XP_060397720.1	XP_060430277.1
OG0000148	XP_060404369.1	XP_060422699.1
OG0000148	XP_060397116.1	XP_060436776.1
OG0000150	XP_060397411.1	XP_060430974.1
OG0000151	XP_060399256.1	XP_060425394.1
OG0000151	XP_060397674.1	XP_060427403.1
OG0000152	XP_060401508.1	XP_060421572.1
OG0000154	XP_060401200.1	XP_060429061.1
OG0000154	XP_060389848.1	XP_060435826.1
OG0000155	XP_060399027.1	XP_060426769.1
OG0000155	XP_060390054.1	XP_060422475.1
OG0000156	XP_060390414.1	XP_060431367.1
OG0000156	XP_060400557.1	XP_060421880.1
OG0000157	XP_060403783.1	XP_060434820.1
OG0000157	XP_060391369.1	XP_060425717.1
OG0000158	XP_060403201.1, XP_060404962.1, XP_060393678.1	XP_060422543.1
OG0000160	XP_060397918.1	XP_060423084.1
OG0000160	XP_060396290.1	XP_060424925.1
OG0000161	XP_060396457.1	XP_060432016.1
OG0000161	XP_060405487.1, XP_060400956.1	XP_060431759.1
OG0000162	XP_060400629.1	XP_060421827.1
OG0000162	XP_060397286.1	XP_060421305.1, XP_060422261.1, XP_060424598.1
OG0000163	XP_060402422.1	XP_060435270.1
OG0000163	XP_060400018.1	XP_060432149.1
OG0000164	XP_060401230.1	XP_060429028.1
OG0000169	XP_060389429.1	XP_060432353.1, XP_060427684.1, XP_060427682.1, XP_060432351.1, XP_060423970.1, XP_060423971.1, XP_060432354.1, XP_060432355.1
OG0000169	XP_060392472.1	XP_060437202.1
OG0000170	XP_060391362.1	XP_060425710.1
OG0000170	XP_060389928.1	XP_060435895.1
OG0000170	XP_060391786.1	XP_060433416.1
OG0000171	XP_060390375.1	XP_060429262.1, XP_060433871.1
OG0000171	XP_060402236.1	XP_060424740.1
OG0000172	XP_060398059.1	XP_060432397.1
OG0000172	XP_060397859.1	XP_060430143.1
OG0000172	XP_060390412.1	XP_060431369.1
OG0000174	XP_060391302.1	XP_060423650.1
OG0000174	XP_060403281.1	XP_060423957.1
OG0000175	XP_060391567.1	XP_060429595.1
OG0000175	XP_060399617.1	XP_060432683.1
OG0000176	XP_060401248.1	XP_060432988.1
OG0000176	XP_060392352.1	XP_060437308.1
OG0000177	XP_060395264.1	XP_060422301.1
OG0000177	XP_060393649.1	XP_060421786.1
OG0000177	XP_060402162.1	XP_060434239.1
OG0000177	XP_060393648.1	XP_060421785.1
OG0000178	XP_060403658.1	XP_060423422.1
OG0000178	XP_060393730.1	XP_060433814.1
OG0000179	XP_060399833.1	XP_060424291.1
OG0000179	XP_060393957.1	XP_060430066.1
OG0000180	XP_060402344.1	XP_060435190.1
OG0000180	XP_060394010.1	XP_060430107.1
OG0000181	XP_060399951.1	XP_060423731.1
OG0000181	XP_060395792.1	XP_060433045.1
OG0000181	XP_060395049.1	XP_060431148.1
OG0000182	XP_060395194.1	XP_060430933.1
OG0000182	XP_060397765.1	XP_060430234.1
OG0000183	XP_060396190.1, XP_060397190.1, XP_060397288.1, XP_060398981.1, XP_060398978.1, XP_060398979.1	XP_060421761.1, XP_060421390.1, XP_060421298.1
OG0000185	XP_060399147.1	XP_060426655.1
OG0000186	XP_060399566.1	XP_060432727.1
OG0000186	XP_060399946.1	XP_060423736.1
OG0000187	XP_060399685.1	XP_060432109.1
OG0000187	XP_060400397.1	XP_060434081.1
OG0000188	XP_060400159.1	XP_060432285.1
OG0000188	XP_060400741.1	XP_060433585.1
OG0000189	XP_060402705.1	XP_060424695.1
OG0000190	XP_060404834.1	XP_060436396.1
OG0000196	XP_060391236.1	XP_060428240.1
OG0000196	XP_060399523.1	XP_060432758.1
OG0000197	XP_060391315.1	XP_060425674.1
OG0000197	XP_060391948.1	XP_060421463.1
OG0000198	XP_060391676.1	XP_060436842.1
OG0000198	XP_060396123.1	XP_060433346.1
OG0000199	XP_060394109.1	XP_060434764.1
OG0000199	XP_060392177.1	XP_060428002.1
OG0000200	XP_060393094.1	XP_060421680.1, XP_060436630.1
OG0000200	XP_060396285.1	XP_060424920.1
OG0000201	XP_060394595.1	XP_060424755.1
OG0000201	XP_060393304.1	XP_060428997.1
OG0000202	XP_060393386.1	XP_060431943.1
OG0000203	XP_060393461.1	XP_060429285.1
OG0000205	XP_060395227.1	XP_060430966.1
OG0000205	XP_060401256.1	XP_060428996.1
OG0000207	XP_060399947.1	XP_060423735.1
OG0000207	XP_060404500.1, XP_060404499.1, XP_060397118.1	XP_060436778.1
OG0000208	XP_060399406.1	XP_060428129.1
OG0000209	XP_060399508.1	XP_060432777.1
OG0000210	XP_060402716.1, XP_060401832.1	XP_060426365.1
OG0000210	XP_060403632.1	XP_060422529.1
OG0000211	XP_060402138.1, XP_060404947.1	XP_060421276.1, XP_060424648.1, XP_060428272.1, XP_060435314.1, XP_060421277.1, XP_060421808.1, XP_060421498.1, XP_060434127.1, XP_060424649.1
OG0000212	XP_060404565.1	XP_060427599.1
OG0000212	XP_060403548.1	XP_060429474.1
OG0000216	XP_060389622.1	XP_060435606.1
OG0000216	XP_060402616.1	XP_060430434.1
OG0000217	XP_060391290.1	XP_060423662.1
OG0000217	XP_060391287.1	XP_060423665.1
OG0000218	XP_060391347.1	XP_060425703.1
OG0000218	XP_060391350.1	XP_060425704.1
OG0000219	XP_060391645.1	XP_060423178.1
OG0000220	XP_060401166.1	XP_060429093.1
OG0000220	XP_060391919.1	XP_060430530.1
OG0000221	XP_060392143.1	XP_060423480.1
OG0000222	XP_060392909.1	XP_060433500.1
OG0000222	XP_060399501.1	XP_060432783.1
OG0000223	XP_060393203.1	XP_060435450.1
OG0000224	XP_060393206.1	XP_060435447.1
OG0000224	XP_060399593.1	XP_060432709.1
OG0000225	XP_060393497.1	XP_060429248.1
OG0000226	XP_060394749.1	XP_060435100.1
OG0000226	XP_060393498.1	XP_060429246.1
OG0000226	XP_060401810.1	XP_060426980.1
OG0000226	XP_060400632.1	XP_060421831.1
OG0000227	XP_060394537.1	XP_060429824.1
OG0000227	XP_060393660.1	XP_060427511.1
OG0000228	XP_060399550.1	XP_060432744.1
OG0000228	XP_060393924.1	XP_060430035.1
OG0000229	XP_060395059.1	XP_060431157.1
OG0000229	XP_060394543.1	XP_060429818.1
OG0000230	XP_060401412.1	XP_060423489.1
OG0000230	XP_060395084.1	XP_060431185.1
OG0000231	XP_060395100.1	XP_060430848.1
OG0000231	XP_060404841.1	XP_060436403.1
OG0000232	XP_060395155.1	XP_060430900.1
OG0000232	XP_060401385.1	XP_060428861.1
OG0000233	XP_060395216.1	XP_060430954.1
OG0000233	XP_060398916.1	XP_060425871.1
OG0000234	XP_060395669.1	XP_060425235.1
OG0000234	XP_060405406.1	XP_060430402.1
OG0000235	XP_060402405.1	XP_060435253.1
OG0000235	XP_060403133.1	XP_060426200.1
OG0000236	XP_060396213.1	XP_060427004.1
OG0000236	XP_060405444.1	XP_060422117.1, XP_060422524.1, XP_060424590.1
OG0000237	XP_060396847.1	XP_060429197.1
OG0000238	XP_060397162.1	XP_060436822.1
OG0000239	XP_060398810.1	XP_060423000.1
OG0000239	XP_060398283.1	XP_060432594.1
OG0000240	XP_060402501.1	XP_060421528.1, XP_060422255.1
OG0000240	XP_060401821.1, XP_060404035.1, XP_060403591.1	XP_060424607.1
OG0000241	XP_060405464.1	XP_060427686.1, XP_060432357.1
OG0000242	XP_060402603.1	XP_060430448.1
OG0000243	XP_060403500.1	XP_060429427.1, XP_060429426.1
OG0000243	XP_060403497.1	XP_060422852.1
OG0000243	XP_060403499.1	XP_060429425.1
OG0000244	XP_060405272.1	XP_060426067.1
OG0000248	XP_060400839.1, XP_060402491.1	XP_060424578.1
OG0000248	XP_060400838.1	XP_060422538.1
OG0000248	XP_060398385.1	XP_060436223.1
OG0000249	XP_060402514.1	XP_060422865.1
OG0000249	XP_060389449.1, XP_060404926.1	XP_060422532.1
OG0000249	XP_060403846.1	XP_060432830.1
OG0000250	XP_060390890.1	XP_060421724.1
OG0000250	XP_060389465.1	XP_060429519.1
OG0000251	XP_060389524.1	XP_060422916.1
OG0000251	XP_060400740.1	XP_060433584.1
OG0000252	XP_060403047.1	XP_060427330.1
OG0000253	XP_060399506.1	XP_060432779.1
OG0000253	XP_060390165.1	XP_060429783.1
OG0000254	XP_060405641.1	XP_060424511.1
OG0000254	XP_060390235.1	XP_060421484.1
OG0000255	XP_060405714.1	XP_060423628.1
OG0000255	XP_060390262.1	XP_060431508.1
OG0000256	XP_060401557.1	XP_060426849.1
OG0000256	XP_060390677.1	XP_060434413.1
OG0000257	XP_060399689.1	XP_060432113.1
OG0000257	XP_060391562.1	XP_060429589.1
OG0000258	XP_060394541.1	XP_060429820.1
OG0000258	XP_060391598.1	XP_060423133.1
OG0000259	XP_060394671.1	XP_060422736.1
OG0000259	XP_060391860.1	XP_060427564.1
OG0000260	XP_060391880.1	XP_060427584.1
OG0000261	XP_060391984.1	XP_060428648.1
OG0000262	XP_060392159.1	XP_060423466.1
OG0000262	XP_060405021.1	XP_060427134.1
OG0000263	XP_060399150.1	XP_060426653.1
OG0000263	XP_060392681.1	XP_060437030.1
OG0000264	XP_060406396.1	XP_060428532.1
OG0000264	XP_060395768.1	XP_060433027.1
OG0000264	XP_060392782.1	XP_060425124.1
OG0000265	XP_060392807.1	XP_060425147.1
OG0000265	XP_060404186.1	XP_060425050.1
OG0000266	XP_060392815.1	XP_060425158.1, XP_060425157.1
OG0000266	XP_060400753.1	XP_060433597.1
OG0000267	XP_060392835.1	XP_060428292.1
OG0000267	XP_060395630.1	XP_060425196.1
OG0000268	XP_060394034.1	XP_060430119.1
OG0000268	XP_060392853.1	XP_060428313.1
OG0000269	XP_060392863.1, XP_060406445.1	XP_060428572.1, XP_060424045.1
OG0000270	XP_060395507.1	XP_060430676.1
OG0000270	XP_060392952.1	XP_060433539.1
OG0000271	XP_060393123.1	XP_060436659.1
OG0000272	XP_060400747.1	XP_060433589.1
OG0000273	XP_060394989.1	XP_060431084.1
OG0000273	XP_060393542.1	XP_060429213.1
OG0000274	XP_060396100.1	XP_060433328.1
OG0000274	XP_060393661.1	XP_060427512.1
OG0000275	XP_060401608.1, XP_060399131.1	XP_060426668.1
OG0000275	XP_060393782.1	XP_060433865.1
OG0000276	XP_060393834.1	XP_060429943.1
OG0000276	XP_060404300.1	XP_060423215.1
OG0000277	XP_060393915.1	XP_060430026.1
OG0000277	XP_060399399.1	XP_060428120.1
OG0000278	XP_060402980.1	XP_060427266.1
OG0000279	XP_060394494.1	XP_060429566.1
OG0000279	XP_060396270.1	XP_060424911.1
