Orthogroup	Colletotrichum_abscissum	Colletotrichum_fructicola
OG0000017	XP_060402306.1	XP_066009939.1
OG0000017	XP_060389867.1	XP_031887534.1
OG0000017	XP_060389623.1, XP_060397678.1	XP_031882331.1
OG0000017	XP_060395056.1	XP_031881014.1, XP_031876845.1, XP_031877837.2
OG0000018	XP_060402315.1	XP_031878868.1, XP_031884569.1, XP_031891833.1, XP_066007794.1
OG0000018	XP_060402913.1, XP_060391830.1, XP_060393721.1	XP_031878172.1
OG0000019	XP_060389929.1	XP_066007478.1
OG0000019	XP_060406513.1	XP_066009012.1, XP_031892157.1, XP_031881790.1
OG0000019	XP_060392153.1	XP_031885121.1, XP_031885119.1, XP_031885122.1
OG0000019	XP_060405401.1	XP_031878451.1
OG0000021	XP_060404248.1	XP_031881524.2
OG0000021	XP_060397416.1	XP_031878896.1, XP_066007121.1, XP_066007387.1, XP_066006783.1, XP_066009279.1, XP_066007123.1, XP_066008886.1, XP_066006846.1
OG0000021	XP_060405662.1	XP_066008820.1
OG0000023	XP_060394492.1	XP_031878091.1
OG0000023	XP_060390983.1	XP_031890882.1
OG0000023	XP_060398582.1	XP_031879411.1
OG0000023	XP_060404753.1	XP_031892487.1
OG0000023	XP_060396269.1	XP_031885872.1, XP_031885599.1
OG0000024	XP_060404873.1	XP_031889216.1
OG0000024	XP_060403396.1	XP_031880891.1
OG0000024	XP_060404550.1	XP_031878865.1
OG0000024	XP_060397413.1, XP_060403453.1	XP_031877260.1
OG0000026	XP_060403455.1	XP_066007451.1
OG0000026	XP_060402121.1	XP_031885312.1
OG0000026	XP_060406170.1	XP_066009777.1
OG0000028	XP_060399361.1	XP_031879121.1
OG0000028	XP_060400686.1	XP_031877448.1
OG0000028	XP_060389510.1	XP_031892844.1
OG0000028	XP_060399353.1	XP_031878662.2
OG0000028	XP_060400602.1	XP_031883762.1
OG0000031	XP_060403535.1	XP_031877294.1
OG0000031	XP_060398830.1	XP_031880080.2
OG0000031	XP_060399269.1	XP_031876132.1
OG0000031	XP_060403404.1	XP_031889964.1
OG0000032	XP_060396192.1, XP_060396193.1, XP_060391688.1, XP_060404524.1	XP_066006938.1, XP_031876210.2, XP_066007267.1, XP_066008145.1
OG0000032	XP_060399730.1	XP_031892476.1
OG0000033	XP_060391326.1	XP_066006930.1
OG0000034	XP_060393334.1	XP_031882598.1
OG0000034	XP_060404226.1	XP_031888869.1, XP_066009786.1
OG0000034	XP_060391662.1	XP_031881193.1
OG0000034	XP_060393666.1	XP_031881139.1
OG0000035	XP_060392385.1	XP_031891597.1
OG0000035	XP_060405054.1	XP_031877314.1
OG0000035	XP_060399036.1	XP_031887969.1
OG0000037	XP_060403586.1	XP_031876440.1
OG0000037	XP_060394145.1	XP_031881416.2
OG0000037	XP_060399323.1	XP_031878699.1
OG0000038	XP_060397114.1	XP_031878512.1
OG0000038	XP_060401530.1	XP_031884139.2
OG0000039	XP_060399314.1, XP_060402283.1	XP_031883634.1
OG0000039	XP_060404844.1	XP_031889719.2
OG0000040	XP_060389871.1, XP_060398598.1	XP_031876848.1
OG0000040	XP_060396507.1	XP_066006980.1
OG0000040	XP_060397367.1	XP_031878971.1
OG0000041	XP_060391743.1	XP_066008809.1, XP_031878989.2
OG0000041	XP_060405425.1	XP_066008958.1, XP_066007124.1, XP_066007260.1, XP_066009239.1, XP_031878639.1, XP_066007225.1, XP_066008368.1, XP_031884351.2
OG0000043	XP_060402897.1	XP_066009814.1
OG0000043	XP_060391983.1	XP_031887649.1
OG0000043	XP_060405167.1	XP_031886183.2
OG0000044	XP_060391535.1	XP_031883461.1
OG0000044	XP_060393902.1	XP_031883135.1, XP_066007975.1, XP_031883763.1
OG0000046	XP_060403289.1	XP_031879259.1
OG0000046	XP_060395276.1	XP_031877509.1
OG0000046	XP_060390222.1, XP_060396070.1	XP_031884116.1
OG0000046	XP_060396941.1	XP_031889476.1
OG0000047	XP_060391972.1	XP_031878178.1, XP_031892080.1
OG0000049	XP_060394521.1	XP_031875597.1
OG0000049	XP_060392182.1	XP_031878198.1
OG0000049	XP_060395332.1	XP_031878866.1
OG0000050	XP_060405210.1	XP_031885916.1
OG0000050	XP_060393904.1	XP_031880097.1, XP_031883855.2
OG0000050	XP_060400491.1	XP_031889948.1
OG0000051	XP_060397608.1	XP_031882199.1
OG0000051	XP_060401241.1	XP_031893375.1
OG0000051	XP_060401973.1	XP_031876728.1
OG0000051	XP_060394615.1	XP_031880004.1
OG0000052	XP_060404980.1	XP_066007850.1, XP_031875291.1, XP_066007024.1, XP_066007608.1, XP_066006714.1, XP_066008777.1, XP_066009989.1, XP_031879170.1, XP_066008395.1, XP_066009152.1, XP_066007118.1, XP_066008643.1, XP_031875797.2, XP_066006814.1, XP_066007043.1, XP_066006807.1, XP_066009359.1, XP_066007623.1, XP_066006893.1, XP_031884041.2
OG0000053	XP_060402228.1	XP_031875985.1
OG0000053	XP_060390531.1	XP_066009508.1
OG0000053	XP_060390308.1	XP_066008598.1
OG0000054	XP_060391312.1	XP_066008425.1
OG0000054	XP_060396191.1	XP_066006777.1, XP_031880558.2, XP_066007190.1
OG0000055	XP_060402327.1	XP_031881410.1, XP_031889319.1
OG0000055	XP_060401863.1	XP_031881451.1
OG0000057	XP_060393337.1	XP_031882595.1
OG0000057	XP_060391613.1	XP_031888147.2
OG0000057	XP_060404958.1, XP_060404957.1	XP_066008837.1
OG0000058	XP_060404570.1	XP_031887143.1
OG0000058	XP_060395379.1	XP_031877586.1, XP_031880573.2, XP_031875865.1, XP_066008904.1
OG0000059	XP_060395997.1	XP_031892770.2
OG0000059	XP_060402559.1	XP_031891472.1
OG0000059	XP_060403183.1	XP_031890900.1
OG0000064	XP_060392805.1	XP_031884461.1
OG0000064	XP_060390046.1	XP_031892616.1
OG0000064	XP_060396923.1, XP_060404553.1	XP_031889409.1
OG0000065	XP_060392741.1	XP_031878261.1
OG0000065	XP_060391392.1	XP_031876601.1, XP_031883119.1
OG0000065	XP_060397344.1, XP_060397336.1	XP_031876068.1
OG0000066	XP_060393191.1	XP_031882995.1, XP_031890226.1, XP_031877356.2
OG0000066	XP_060393189.1	XP_066008327.1
OG0000067	XP_060397707.1	XP_066008046.1, XP_031883626.1
OG0000067	XP_060397610.1	XP_066008096.1
OG0000067	XP_060393681.1	XP_031878359.2
OG0000068	XP_060405001.1, XP_060394502.1, XP_060402651.1, XP_060406498.1, XP_060400012.1, XP_060394224.1	XP_066009666.1
OG0000068	XP_060400271.1	XP_031885096.2
OG0000068	XP_060406496.1	XP_066008797.1
OG0000069	XP_060395907.1	XP_066007562.1, XP_031884956.1
OG0000069	XP_060395905.1	XP_031885878.2, XP_031884878.1, XP_031884772.1, XP_031884771.1, XP_031884775.1, XP_031884776.1
OG0000070	XP_060403136.1	XP_031879679.1
OG0000070	XP_060398820.1	XP_031891117.1
OG0000070	XP_060404832.1	XP_031883416.1, XP_031880242.1
OG0000071	XP_060391462.1	XP_031883683.1
OG0000071	XP_060403051.1	XP_031879668.1
OG0000071	XP_060395244.1	XP_031888153.1
OG0000072	XP_060396061.1	XP_031884252.1
OG0000072	XP_060393039.1	XP_031892088.1
OG0000072	XP_060399592.1	XP_031885726.1
OG0000072	XP_060393949.1	XP_031884060.1
OG0000073	XP_060394993.1	XP_031891861.1
OG0000073	XP_060404434.1	XP_031877508.1
OG0000073	XP_060403020.1	XP_031885770.2
OG0000075	XP_060404523.1, XP_060389791.1	XP_031887696.1
OG0000076	XP_060395356.1	XP_031880315.1
OG0000076	XP_060390141.1	XP_066009734.1
OG0000077	XP_060393839.1	XP_066008350.1, XP_031880755.1
OG0000078	XP_060393868.1	XP_031883892.1
OG0000078	XP_060400364.1	XP_031885207.1
OG0000080	XP_060403156.1	XP_031887977.1
OG0000080	XP_060404108.1	XP_031888971.1
OG0000080	XP_060389880.1	XP_031878550.1
OG0000081	XP_060391595.1	XP_031877893.1
OG0000081	XP_060395159.1	XP_031881745.1
OG0000081	XP_060392535.1	XP_031892617.1
OG0000082	XP_060393284.1	XP_031877097.2
OG0000082	XP_060400690.1	XP_031878238.1
OG0000083	XP_060394127.1	XP_031883146.1, XP_031893612.2, XP_031883946.1, XP_031890993.1
OG0000084	XP_060399668.1	XP_031892010.1, XP_031878263.1
OG0000084	XP_060401100.1	XP_031883049.1
OG0000084	XP_060399665.1	XP_031877130.1, XP_031883666.1
OG0000085	XP_060404229.1	XP_031881447.1, XP_031881445.1, XP_031881446.1, XP_031892501.1, XP_031886043.2, XP_031888626.1, XP_031888628.1, XP_066009468.1
OG0000086	XP_060404979.1	XP_066009360.1, XP_066006805.1, XP_031876997.2, XP_031875252.2, XP_066007186.1, XP_066006817.1, XP_066008850.1, XP_066006995.1, XP_066009365.1, XP_066007705.1, XP_066007849.1, XP_066006749.1, XP_066008776.1, XP_066008149.1, XP_066009990.1, XP_031879149.1
OG0000089	XP_060389478.1	XP_031887288.2
OG0000089	XP_060394084.1	XP_066007672.1
OG0000090	XP_060389701.1	XP_031887673.1
OG0000090	XP_060398282.1	XP_031887184.1
OG0000090	XP_060394311.1	XP_031888590.1
OG0000091	XP_060391574.1	XP_031877975.1
OG0000091	XP_060401689.1	XP_066007457.1
OG0000092	XP_060402915.1	XP_031876900.2, XP_066007793.1, XP_066008454.1, XP_066008666.1
OG0000092	XP_060393723.1, XP_060391828.1	XP_031887817.1, XP_066007528.1, XP_066009698.1
OG0000093	XP_060397924.1	XP_031890972.1
OG0000093	XP_060402254.1	XP_066007483.1
OG0000093	XP_060394176.1	XP_066007384.1
OG0000094	XP_060396262.1	XP_031890942.1
OG0000094	XP_060400746.1	XP_031889231.2
OG0000094	XP_060395175.1	XP_066008811.1
OG0000095	XP_060399043.1	XP_031880048.1, XP_031887999.1, XP_031881275.1, XP_031891254.1
OG0000097	XP_060402762.1	XP_066007559.1
OG0000097	XP_060402944.1	XP_066007959.1
OG0000098	XP_060397447.1	XP_031887187.1
OG0000098	XP_060392478.1	XP_031893238.1, XP_066008144.1
OG0000098	XP_060398278.1	XP_031887188.1
OG0000099	XP_060393137.1	XP_031878986.1, XP_031878985.1
OG0000099	XP_060400770.1	XP_066007212.1
OG0000099	XP_060400769.1	XP_031875897.1
OG0000099	XP_060406401.1	XP_066009297.1
OG0000100	XP_060396924.1	XP_031889225.1
OG0000100	XP_060394146.1	XP_031881417.1
OG0000100	XP_060399128.1	XP_031881223.1
OG0000101	XP_060394565.1	XP_031875804.1
OG0000101	XP_060397076.1	XP_031880366.1
OG0000101	XP_060398794.1	XP_031880150.1
OG0000102	XP_060398789.1	XP_031880105.1
OG0000102	XP_060401292.1	XP_031893528.1
OG0000102	XP_060394651.1	XP_066009621.1
OG0000103	XP_060397521.1	XP_031887362.1, XP_031878845.2, XP_031884557.2, XP_031879567.2, XP_066006751.1
OG0000104	XP_060402765.1	XP_066008068.1, XP_066008069.1
OG0000104	XP_060402766.1, XP_060402814.1	XP_066007658.1
OG0000105	XP_060405520.1	XP_031889723.1
OG0000108	XP_060395700.1	XP_031884735.1
OG0000108	XP_060404049.1, XP_060403622.1, XP_060389424.1, XP_060401838.1, XP_060398982.1, XP_060397497.1, XP_060403623.1	XP_066007791.1
OG0000109	XP_060391657.1	XP_066009546.1
OG0000109	XP_060389458.1	XP_031878444.1
OG0000109	XP_060402925.1	XP_031891846.1
OG0000110	XP_060390433.1	XP_031882937.1
OG0000110	XP_060391882.1	XP_031881135.1
OG0000110	XP_060399270.1	XP_031882687.2
OG0000111	XP_060391609.1	XP_031883621.2
OG0000111	XP_060395468.1	XP_031876545.1
OG0000111	XP_060402596.1	XP_031881022.1
OG0000112	XP_060392150.1	XP_031878319.1
OG0000112	XP_060397460.1	XP_031892252.1
OG0000112	XP_060391887.1	XP_031880990.1
OG0000113	XP_060396530.1	XP_031885552.1
OG0000113	XP_060394004.1	XP_031884988.2
OG0000113	XP_060392391.1	XP_031891602.1
OG0000114	XP_060393065.1	XP_066008307.1
OG0000115	XP_060396079.1	XP_066007565.1
OG0000115	XP_060398441.1	XP_031887164.1
OG0000116	XP_060404025.1	XP_066008530.1, XP_066009153.1, XP_066007611.1, XP_066006795.1, XP_031875469.2, XP_066008531.1
OG0000117	XP_060404536.1	XP_066009038.1, XP_031877014.1, XP_066009258.1, XP_031880527.2
OG0000120	XP_060400712.1	XP_031879334.2
OG0000120	XP_060395709.1	XP_031884930.1
OG0000120	XP_060389851.1	XP_031887771.1
OG0000121	XP_060395817.1	XP_031884723.1
OG0000121	XP_060390987.1	XP_031884784.1
OG0000122	XP_060402895.1	XP_031884236.1
OG0000122	XP_060391430.1	XP_031887960.1, XP_031887961.1
OG0000123	XP_060391755.1	XP_066007208.1, XP_066007199.1, XP_031875665.2, XP_031875406.2, XP_031877558.1
OG0000124	XP_060391863.1	XP_066008883.1
OG0000124	XP_060399871.1	XP_031885995.1
OG0000124	XP_060391865.1	XP_031883215.1
OG0000124	XP_060391864.1	XP_031883067.1
OG0000125	XP_060404765.1	XP_031880255.1
OG0000125	XP_060392122.1	XP_031884481.1
OG0000125	XP_060399052.1	XP_031888194.1
OG0000126	XP_060393110.1	XP_066007882.1, XP_066007640.1, XP_031875981.1, XP_066009141.1, XP_066007279.1, XP_031875983.2
OG0000126	XP_060397683.1	XP_066009667.1, XP_031877438.2, XP_066009442.1
OG0000127	XP_060404169.1	XP_031882866.1
OG0000127	XP_060400734.1	XP_031879341.1
OG0000127	XP_060396016.1	XP_066007621.1
OG0000128	XP_060406563.1	XP_031885041.1
OG0000128	XP_060398918.1	XP_031890794.2
OG0000128	XP_060404470.1	XP_031884205.1, XP_031881290.1
OG0000129	XP_060398991.1	XP_031877274.1
OG0000129	XP_060404396.1	XP_031889158.1, XP_031888838.1
OG0000130	XP_060399972.1	XP_066008180.1, XP_066006948.1, XP_066007594.1, XP_066008197.1, XP_031875433.1, XP_031875542.1, XP_031875459.1, XP_066007663.1, XP_066006920.1, XP_066007731.1, XP_066008091.1, XP_066006809.1, XP_066006955.1, XP_066006969.1
OG0000131	XP_060403198.1, XP_060400530.1	XP_031878456.2
OG0000131	XP_060403026.1	XP_066007694.1
OG0000132	XP_060401101.1	XP_031882996.1, XP_031889936.1, XP_031880413.2, XP_031880231.1, XP_031890551.1
OG0000133	XP_060405570.1	XP_031881973.2, XP_031884031.1, XP_031884029.1
OG0000133	XP_060401446.1	XP_031881970.1, XP_031882082.1
OG0000136	XP_060404503.1, XP_060400267.1	XP_031878463.1
OG0000136	XP_060389422.1	XP_066007757.1, XP_066009244.1, XP_066007253.1
OG0000136	XP_060404502.1, XP_060404541.1	XP_066007693.1, XP_031876219.1
OG0000136	XP_060395377.1, XP_060401826.1	XP_031875625.1
OG0000137	XP_060404531.1	XP_031887386.1
OG0000137	XP_060404013.1	XP_031875400.2
OG0000138	XP_060389508.1	XP_031892419.1
OG0000138	XP_060399828.1	XP_031883866.1, XP_031893606.1
OG0000139	XP_060391421.1	XP_066008477.1
OG0000139	XP_060391419.1, XP_060391438.1, XP_060391426.1	XP_031877919.2, XP_031877920.1
OG0000141	XP_060392573.1	XP_066007228.1
OG0000141	XP_060402835.1	XP_066008506.1
OG0000142	XP_060402604.1	XP_031889924.1
OG0000142	XP_060393407.1	XP_031879805.1
OG0000143	XP_060393934.1	XP_031889746.1
OG0000143	XP_060394533.1	XP_031883125.1
OG0000143	XP_060394008.1	XP_031883833.1
OG0000144	XP_060393978.1, XP_060399056.1	XP_031877258.1
OG0000144	XP_060401142.1	XP_031887529.1
OG0000145	XP_060394186.1	XP_031888490.1
OG0000146	XP_060400846.1, XP_060395095.1	XP_066009276.1, XP_066009128.1, XP_066007105.1, XP_066007331.1
OG0000146	XP_060397212.1, XP_060394446.1, XP_060397022.1	XP_031877556.2
OG0000147	XP_060397035.1	XP_066008113.1
OG0000147	XP_060399567.1	XP_031880067.1, XP_031885603.1
OG0000148	XP_060397720.1	XP_031883138.1
OG0000148	XP_060404369.1	XP_031888635.1
OG0000148	XP_060397116.1	XP_066007207.1
OG0000149	XP_060397400.1	XP_031878823.2, XP_031889038.1
OG0000150	XP_060397411.1	XP_066008230.1, XP_031875377.2, XP_066006806.1, XP_066007001.1, XP_066006964.1, XP_031875235.2, XP_031875345.1, XP_066007053.1, XP_031875324.1, XP_066007066.1, XP_031892065.1
OG0000151	XP_060399256.1	XP_031878686.1
OG0000151	XP_060397674.1	XP_031893502.1, XP_031882174.1
OG0000153	XP_060389419.1	XP_066008528.1, XP_066006750.1, XP_066008689.1, XP_066007354.1, XP_066007295.1, XP_066008934.1, XP_066006881.1, XP_066008349.1, XP_066008771.1, XP_066006868.1, XP_066007337.1, XP_066008669.1, XP_066006728.1, XP_066006999.1
OG0000154	XP_060401200.1	XP_031893119.1
OG0000154	XP_060389848.1	XP_031887772.1
OG0000155	XP_060399027.1	XP_031888162.1
OG0000155	XP_060390054.1	XP_031884753.1
OG0000156	XP_060390414.1	XP_031882714.1
OG0000156	XP_060400557.1	XP_031877449.1, XP_031891987.1
OG0000157	XP_060391369.1	XP_066008341.1
OG0000158	XP_060403201.1, XP_060404962.1, XP_060393678.1	XP_031892152.1, XP_031887831.1
OG0000159	XP_060395315.1	XP_031878844.1
OG0000160	XP_060397918.1	XP_031877326.1
OG0000160	XP_060396290.1	XP_031889518.2, XP_031877513.1
OG0000161	XP_060396457.1	XP_031892580.1
OG0000161	XP_060405487.1, XP_060400956.1	XP_031880766.1
OG0000162	XP_060400629.1	XP_031878810.1
OG0000162	XP_060397286.1	XP_031879298.2, XP_031876288.1, XP_031876205.2, XP_066006936.1
OG0000163	XP_060400018.1	XP_031891952.1, XP_031891955.1
OG0000164	XP_060401230.1	XP_031886348.1
OG0000169	XP_060389429.1	XP_066009579.1
OG0000169	XP_060392472.1	XP_031877736.2
OG0000170	XP_060391362.1, XP_060389928.1, XP_060391786.1	XP_031884243.1, XP_031889512.1
OG0000171	XP_060402236.1	XP_031884556.1, XP_031879658.2
OG0000172	XP_060398059.1	XP_031882352.1
OG0000172	XP_060397859.1, XP_060390412.1	XP_031882708.1
OG0000174	XP_060391302.1	XP_031876358.1
OG0000174	XP_060403281.1	XP_031879226.1
OG0000175	XP_060391567.1	XP_031877898.2
OG0000175	XP_060399617.1	XP_031886170.1, XP_031886168.1
OG0000177	XP_060395264.1	XP_066009403.1
OG0000177	XP_060402162.1	XP_066007917.1
OG0000178	XP_060403658.1	XP_031876808.1
OG0000178	XP_060393730.1	XP_066008054.1
OG0000179	XP_060399833.1	XP_031892900.1
OG0000179	XP_060393957.1	XP_031883808.1
OG0000180	XP_060402344.1	XP_031891980.1
OG0000180	XP_060394010.1	XP_031884439.1, XP_031877923.1
OG0000181	XP_060399951.1	XP_031877144.1
OG0000181	XP_060395792.1, XP_060395049.1	XP_031892110.1
OG0000182	XP_060395194.1	XP_031878954.1
OG0000182	XP_060397765.1	XP_031883079.1
OG0000183	XP_060396190.1, XP_060397190.1, XP_060397288.1, XP_060398981.1, XP_060398978.1, XP_060398979.1	XP_031877540.1, XP_031875659.2, XP_066007202.1, XP_066007236.1, XP_031875869.2
OG0000184	XP_060397025.1	XP_031883721.2, XP_031887336.1, XP_031885082.1, XP_066006812.1, XP_066008615.1, XP_031889288.2, XP_066006869.1, XP_031891068.2, XP_066006726.1, XP_031893285.2
OG0000184	XP_060402606.1	XP_031875509.1, XP_066007286.1
OG0000185	XP_060399147.1	XP_031888068.2
OG0000186	XP_060399566.1	XP_031885604.1
OG0000186	XP_060399946.1	XP_031893196.1
OG0000187	XP_060400397.1	XP_031881436.2
OG0000188	XP_060400159.1	XP_031883357.1
OG0000188	XP_060400741.1	XP_031879304.1
OG0000189	XP_060402705.1	XP_031878927.2, XP_066007420.1, XP_031878458.1
OG0000190	XP_060404834.1	XP_031880243.1, XP_031883417.2, XP_031883679.1, XP_031887848.1
OG0000196	XP_060391236.1	XP_066008027.1
OG0000196	XP_060399523.1	XP_031885861.1
OG0000197	XP_060391315.1	XP_031876338.1
OG0000197	XP_060391948.1	XP_031887538.1
OG0000198	XP_060391676.1	XP_031880440.1
OG0000198	XP_060396123.1	XP_031884191.2
OG0000199	XP_060394109.1	XP_031881514.2
OG0000199	XP_060392177.1	XP_031889276.1
OG0000200	XP_060393094.1	XP_066009048.1, XP_066008141.1
OG0000200	XP_060396285.1	XP_031890725.1
OG0000201	XP_060394595.1	XP_031879948.1
OG0000201	XP_060393304.1	XP_066007102.1
OG0000202	XP_060393386.1, XP_060401961.1	XP_031893469.1
OG0000203	XP_060393461.1	XP_031881029.2, XP_066009155.1, XP_031889330.1
OG0000204	XP_060393962.1	XP_031884050.1, XP_031884046.2, XP_031884045.1
OG0000205	XP_060395227.1	XP_031882960.1
OG0000205	XP_060401256.1	XP_031877930.1
OG0000207	XP_060399947.1	XP_031877126.1
OG0000207	XP_060404500.1, XP_060404499.1, XP_060397118.1	XP_031880403.1
OG0000208	XP_060399406.1	XP_066008226.1, XP_066007732.1, XP_031875335.1, XP_031875333.1, XP_066007597.1, XP_066008312.1, XP_031885237.1, XP_031889663.1
OG0000209	XP_060399508.1	XP_031885758.1, XP_031885762.1, XP_031885693.1
OG0000210	XP_060402716.1, XP_060401832.1	XP_031889878.2
OG0000210	XP_060400275.1, XP_060404540.1, XP_060404510.1	XP_066007303.1
OG0000210	XP_060403632.1	XP_031876965.1
OG0000212	XP_060404565.1	XP_031881083.1
OG0000212	XP_060403548.1	XP_031876057.1
OG0000216	XP_060389622.1	XP_031884282.1, XP_031886453.1
OG0000216	XP_060402616.1	XP_031889686.1
OG0000217	XP_060391290.1	XP_031884155.2
OG0000217	XP_060391287.1	XP_066008462.1
OG0000218	XP_060391347.1, XP_060391350.1	XP_031883612.1, XP_031876862.1
OG0000219	XP_060391645.1	XP_031883494.1, XP_031876123.2
OG0000220	XP_060401166.1	XP_031893537.1
OG0000220	XP_060391919.1	XP_031889643.1
OG0000221	XP_060392143.1	XP_066009896.1, XP_031878290.1, XP_031878287.1, XP_031878288.1
OG0000222	XP_060392909.1	XP_031877985.1
OG0000222	XP_060399501.1	XP_031885608.1
OG0000223	XP_060393203.1	XP_031889263.1
OG0000224	XP_060393206.1	XP_031880532.1
OG0000224	XP_060399593.1	XP_066008997.1, XP_066009863.1
OG0000225	XP_060393497.1	XP_031889375.1
OG0000226	XP_060394749.1	XP_031888813.2
OG0000226	XP_060401810.1, XP_060400632.1	XP_031887823.1
OG0000227	XP_060394537.1	XP_031876870.1
OG0000227	XP_060393660.1	XP_031881032.2
OG0000228	XP_060399550.1	XP_031885764.1
OG0000228	XP_060393924.1	XP_031884073.2
OG0000229	XP_060395059.1	XP_031892114.1
OG0000229	XP_060394543.1	XP_031885908.1
OG0000230	XP_060401412.1	XP_031893104.2
OG0000230	XP_060395084.1	XP_031892057.2
OG0000231	XP_060395100.1	XP_031878898.1
OG0000231	XP_060404841.1	XP_031880183.1
OG0000232	XP_060395155.1	XP_031885108.1
OG0000232	XP_060401385.1	XP_066007415.1
OG0000233	XP_060395216.1	XP_031879100.2
OG0000233	XP_060398916.1	XP_031877944.2
OG0000234	XP_060395669.1	XP_031881677.1
OG0000234	XP_060405406.1	XP_031884476.1
OG0000235	XP_060402405.1	XP_031885114.1
OG0000235	XP_060403133.1	XP_031887506.1
OG0000236	XP_060396213.1	XP_031891031.1
OG0000236	XP_060405444.1	XP_066006762.1, XP_031876214.2, XP_031876318.1
OG0000237	XP_060396847.1	XP_031889135.2
OG0000238	XP_060397162.1	XP_031880382.1
OG0000239	XP_060398810.1	XP_031880091.1
OG0000239	XP_060398283.1	XP_031887185.1
OG0000240	XP_060398845.1, XP_060402501.1, XP_060401821.1, XP_060404035.1, XP_060403591.1	XP_031876320.1, XP_066007149.1, XP_066009202.1, XP_031891123.1, XP_066006774.1
