Orthogroup	Colletotrichum_abscissum	Colletotrichum_truncatum
OG0000041	XP_060405425.1	XP_070060711.1, XP_070059875.1, XP_070060773.1, XP_036575299.1, XP_036587725.1, XP_070062181.1, XP_036580708.2, XP_070061327.1
OG0000043	XP_060405167.1	XP_036581061.2
OG0000044	XP_060391535.1	XP_036580093.1
OG0000044	XP_060393902.1	XP_036576677.1, XP_036582618.1
OG0000044	XP_060395508.1	XP_036584145.1
OG0000046	XP_060403289.1	XP_036577233.1
OG0000046	XP_060395276.1	XP_036588719.1
OG0000046	XP_060390222.1	XP_036584655.1
OG0000046	XP_060396941.1	XP_036589658.1
OG0000047	XP_060392437.1	XP_036581805.1
OG0000047	XP_060391972.1	XP_036577195.1, XP_036574367.1
OG0000049	XP_060394521.1	XP_036590002.1
OG0000049	XP_060395332.1	XP_036579330.1
OG0000050	XP_060405210.1	XP_036581015.1
OG0000050	XP_060393904.1	XP_036582616.1
OG0000050	XP_060400491.1, XP_060401610.1	XP_036587657.1
OG0000051	XP_060397608.1	XP_036579133.1
OG0000051	XP_060401973.1	XP_070060580.1
OG0000051	XP_060394615.1	XP_070061565.1
OG0000052	XP_060404980.1	XP_036575132.1, XP_070061544.1, XP_070059752.1, XP_036574865.2, XP_070061545.1
OG0000053	XP_060402228.1	XP_070060171.1, XP_070060072.1
OG0000053	XP_060390308.1	XP_070062493.1, XP_070059990.1
OG0000054	XP_060391312.1	XP_036581099.1
OG0000054	XP_060396191.1	XP_036584573.1, XP_036574247.1, XP_070060001.1, XP_070060678.1
OG0000055	XP_060402327.1	XP_036589844.1
OG0000055	XP_060401863.1	XP_036580479.1
OG0000057	XP_060393337.1	XP_070060021.1
OG0000057	XP_060391613.1	XP_036575137.1
OG0000058	XP_060404570.1	XP_070062259.1
OG0000058	XP_060395379.1	XP_036576555.2, XP_036584608.2
OG0000059	XP_060395997.1	XP_036589130.1
OG0000059	XP_060402559.1	XP_036579230.1
OG0000059	XP_060403183.1	XP_036578680.1
OG0000060	XP_060403834.1	XP_070060455.1, XP_070060927.1, XP_036574668.1, XP_036574761.2, XP_036580760.2, XP_036574291.2, XP_070061044.1, XP_070060928.1, XP_036588805.2, XP_070060456.1, XP_070060305.1, XP_070062362.1, XP_036581572.1, XP_036575282.2, XP_036575485.2, XP_036574343.2, XP_070061674.1, XP_036575662.2, XP_070060146.1, XP_036582624.2, XP_036581325.2, XP_070061936.1, XP_070060180.1, XP_036577339.2, XP_036585128.2, XP_070061993.1, XP_070062514.1, XP_036577130.2
OG0000063	XP_060403626.1	XP_036584356.2, XP_070059841.1
OG0000063	XP_060389446.1, XP_060391163.1, XP_060397699.1, XP_060404920.1, XP_060399480.1	XP_070059816.1
OG0000063	XP_060404919.1, XP_060402492.1, XP_060403608.1, XP_060401837.1	XP_070059857.1, XP_070060672.1, XP_070059795.1, XP_070059788.1, XP_070059799.1, XP_070059860.1, XP_070060667.1, XP_070059815.1
OG0000064	XP_060392805.1	XP_070061063.1
OG0000064	XP_060396923.1, XP_060404553.1	XP_070060549.1, XP_036583871.2, XP_070062298.1
OG0000065	XP_060392741.1	XP_070059972.1
OG0000065	XP_060391392.1	XP_036580455.1
OG0000066	XP_060393191.1	XP_036581734.1, XP_070061263.1
OG0000066	XP_060393190.1	XP_036574872.1
OG0000067	XP_060393681.1	XP_036576223.1
OG0000068	XP_060405001.1, XP_060394502.1, XP_060402651.1, XP_060406498.1, XP_060400012.1, XP_060394224.1	XP_036576093.1, XP_036582362.1
OG0000068	XP_060406496.1	XP_036586797.1
OG0000070	XP_060403136.1, XP_060398820.1, XP_060404832.1	XP_036575460.1
OG0000071	XP_060391462.1	XP_036576990.1
OG0000071	XP_060395244.1	XP_036588687.1
OG0000072	XP_060396061.1	XP_070061591.1
OG0000072	XP_060393039.1	XP_036576286.1
OG0000072	XP_060399592.1	XP_070062142.1
OG0000072	XP_060393949.1	XP_036582573.1
OG0000073	XP_060394993.1	XP_036576219.2
OG0000073	XP_060404434.1	XP_036585422.1
OG0000073	XP_060403020.1	XP_036586327.2
OG0000074	XP_060404544.1	XP_036577736.2
OG0000074	XP_060405438.1, XP_060404922.1	XP_036574831.2
OG0000075	XP_060404523.1, XP_060389791.1	XP_036588485.1
OG0000075	XP_060404516.1, XP_060402131.1, XP_060389374.1, XP_060399227.1, XP_060404930.1, XP_060399226.1, XP_060405467.1	XP_036584436.1
OG0000076	XP_060395356.1	XP_036574266.1, XP_070061506.1, XP_036579345.1
OG0000076	XP_060390141.1	XP_036575157.2, XP_036589633.1
OG0000077	XP_060396845.1	XP_036578994.1
OG0000077	XP_060394125.1	XP_070061927.1
OG0000077	XP_060397660.1	XP_070061774.1
OG0000078	XP_060393868.1	XP_036575061.1
OG0000078	XP_060400364.1	XP_036579453.1
OG0000079	XP_060402487.1	XP_070060166.1, XP_036576635.2, XP_036576325.2, XP_036584413.1, XP_036574832.1, XP_036574558.1, XP_070060852.1, XP_070059754.1, XP_070062666.1, XP_070059726.1, XP_070061110.1, XP_070060308.1, XP_036584412.2, XP_070060167.1, XP_070059977.1, XP_070060965.1, XP_070060533.1, XP_070062389.1, XP_070062316.1, XP_070062690.1, XP_070060411.1, XP_070060818.1, XP_070061852.1, XP_070061896.1, XP_070061334.1, XP_070059919.1
OG0000080	XP_060403156.1	XP_036575145.1
OG0000080	XP_060404108.1	XP_036577634.1
OG0000080	XP_060389880.1	XP_036588664.1
OG0000081	XP_060391595.1	XP_070062102.1
OG0000081	XP_060395159.1	XP_036578539.1
OG0000081	XP_060392535.1	XP_036588499.1, XP_036588848.1
OG0000082	XP_060393284.1	XP_036577894.1
OG0000082	XP_060400690.1	XP_036577202.1
OG0000083	XP_060394127.1	XP_036577795.1, XP_036578583.1, XP_036581679.1, XP_036574873.1, XP_036576908.1, XP_036581120.1
OG0000084	XP_060399665.1	XP_036575159.1
OG0000085	XP_060404229.1	XP_036581921.1
OG0000086	XP_060404979.1	XP_070059753.1, XP_070059771.1, XP_070061543.1, XP_070059770.1, XP_070061542.1, XP_036575134.1
OG0000089	XP_060398357.1, XP_060389478.1	XP_036585152.1
OG0000089	XP_060397764.1	XP_036576625.1
OG0000089	XP_060394084.1	XP_036582452.1
OG0000090	XP_060389701.1	XP_036588418.1
OG0000090	XP_060398282.1	XP_036585093.1
OG0000090	XP_060394311.1	XP_036579088.1, XP_036585590.2
OG0000091	XP_060391574.1	XP_036579955.1
OG0000091	XP_060401689.1	XP_036586150.2
OG0000095	XP_060399043.1	XP_036574883.1, XP_036579927.2, XP_036588193.1, XP_036576482.1, XP_036580326.1, XP_036576095.1
OG0000097	XP_060402762.1	XP_036581703.2
OG0000097	XP_060402944.1	XP_070061065.1
OG0000098	XP_060397447.1	XP_070061121.1
OG0000098	XP_060392478.1, XP_060398278.1	XP_036585097.1
OG0000099	XP_060400769.1	XP_070061517.1
OG0000100	XP_060396924.1	XP_036589602.1
OG0000100	XP_060394146.1	XP_036582490.1
OG0000100	XP_060399128.1	XP_036581712.1
OG0000101	XP_060394565.1	XP_070060786.1
OG0000101	XP_060397076.1	XP_036578856.1
OG0000101	XP_060398794.1	XP_036588171.1
OG0000102	XP_060398789.1	XP_036588169.1
OG0000102	XP_060401292.1	XP_070060497.1
OG0000102	XP_060394651.1	XP_036576025.1
OG0000103	XP_060397521.1	XP_036584355.1, XP_036580171.1, XP_036576489.1, XP_036589110.1
OG0000104	XP_060402765.1	XP_070060947.1
OG0000105	XP_060405520.1	XP_036579506.1, XP_036586461.1, XP_036575573.2, XP_036584071.1, XP_036576186.1
OG0000108	XP_060404049.1, XP_060403622.1, XP_060389424.1, XP_060401838.1, XP_060398982.1, XP_060397497.1	XP_036584564.1
OG0000109	XP_060391657.1	XP_036577672.1
OG0000109	XP_060402925.1	XP_036578485.2
OG0000110	XP_060390433.1	XP_036574432.1
OG0000110	XP_060391882.1	XP_036579391.1
OG0000111	XP_060391609.1	XP_036580028.2
OG0000111	XP_060395468.1	XP_070062558.1
OG0000112	XP_060392150.1	XP_036587244.2
OG0000112	XP_060391887.1	XP_036579388.1
OG0000113	XP_060396530.1	XP_036585809.2
OG0000113	XP_060392391.1	XP_036588810.1
OG0000115	XP_060398441.1	XP_036589307.1
OG0000116	XP_060404025.1	XP_036577453.1, XP_036576505.1, XP_036584084.1, XP_036574472.1, XP_036582541.1, XP_036581371.1, XP_036575447.1, XP_036574296.1, XP_036589091.1, XP_036580453.1, XP_036581552.2, XP_036584340.1, XP_036580200.1, XP_036587785.2, XP_070059720.1
OG0000117	XP_060404805.1	XP_070062234.1
OG0000117	XP_060404536.1	XP_036582596.1, XP_036577771.1, XP_070061367.1, XP_036575432.2, XP_036584421.2, XP_036579508.1
OG0000120	XP_060400712.1	XP_036583668.1
OG0000120	XP_060395709.1	XP_036579819.1
OG0000120	XP_060389851.1	XP_036588528.1
OG0000121	XP_060395817.1	XP_036579751.1
OG0000122	XP_060402895.1	XP_070062129.1
OG0000122	XP_060391430.1	XP_070060318.1
OG0000123	XP_060399735.1, XP_060400858.1, XP_060405432.1, XP_060401827.1, XP_060393146.1, XP_060399732.1, XP_060398312.1	XP_036584346.1
OG0000123	XP_060391755.1	XP_036584484.1, XP_036584641.1, XP_036576531.1
OG0000124	XP_060391863.1, XP_060399871.1, XP_060391865.1, XP_060391864.1	XP_036579312.1, XP_036581343.1
OG0000125	XP_060404765.1	XP_036589530.1
OG0000125	XP_060399052.1	XP_036580720.2
OG0000127	XP_060404169.1	XP_036581803.1
OG0000127	XP_060400734.1	XP_036583687.1
OG0000127	XP_060396016.1	XP_036579883.1
OG0000128	XP_060404470.1	XP_036583135.1
OG0000129	XP_060404396.1	XP_070062408.1
OG0000131	XP_060403198.1, XP_060400530.1	XP_070061790.1, XP_036584534.1
OG0000132	XP_060401101.1	XP_036579130.1
OG0000133	XP_060401446.1	XP_036579512.1, XP_036579519.1
OG0000137	XP_060405447.1	XP_036584392.1
OG0000137	XP_060404013.1	XP_036581085.1
OG0000138	XP_060389508.1	XP_070061375.1
OG0000138	XP_060399828.1	XP_070059986.1, XP_036580411.1
OG0000140	XP_060392404.1	XP_036588794.1
OG0000142	XP_060402604.1	XP_070060920.1
OG0000142	XP_060393407.1	XP_036582334.1
OG0000143	XP_060394008.1	XP_036582532.1
OG0000144	XP_060393978.1, XP_060399056.1	XP_036586535.1
OG0000144	XP_060401142.1	XP_036582031.1
OG0000145	XP_060394186.1	XP_036585491.1
OG0000146	XP_060400846.1, XP_060395095.1	XP_036584613.1, XP_036576551.1, XP_070059855.1
OG0000147	XP_060397035.1	XP_036578891.1
OG0000147	XP_060399567.1	XP_036586925.1
OG0000148	XP_060397720.1	XP_036576663.1
OG0000148	XP_060404369.1	XP_036582049.1
OG0000149	XP_060397400.1	XP_036575944.1, XP_036576981.1
OG0000150	XP_060397411.1	XP_036578055.1
OG0000151	XP_060399256.1	XP_036576471.1
OG0000153	XP_060389419.1	XP_036581453.1, XP_036577783.1, XP_070059948.1, XP_070061261.1, XP_036584057.1
OG0000154	XP_060401200.1	XP_070060474.1
OG0000154	XP_060389848.1	XP_070062618.1
OG0000155	XP_060399027.1	XP_036575166.1
OG0000155	XP_060390054.1	XP_070061173.1
OG0000156	XP_060390414.1	XP_036585166.1
OG0000156	XP_060400557.1	XP_070061833.1
OG0000157	XP_060403783.1	XP_070060905.1
OG0000157	XP_060391369.1	XP_036580082.1
OG0000158	XP_060403201.1, XP_060404962.1, XP_060393678.1	XP_036574899.1, XP_036580147.2, XP_036584425.1, XP_036584435.1, XP_036584493.2, XP_036586816.1, XP_036574891.1
OG0000159	XP_060395315.1	XP_036579325.1
OG0000160	XP_060396290.1	XP_036577774.1, XP_036577773.1
OG0000161	XP_060396457.1	XP_070061213.1
OG0000161	XP_060405487.1, XP_060400956.1	XP_070062508.1
OG0000162	XP_060400629.1, XP_060397286.1	XP_070060187.1
OG0000170	XP_060391362.1, XP_060389928.1, XP_060391786.1	XP_036578624.1, XP_036577200.1
OG0000171	XP_060402236.1	XP_036577665.2, XP_070061185.1, XP_036587722.1
OG0000172	XP_060398059.1	XP_070062206.1
OG0000172	XP_060397859.1, XP_060390412.1	XP_036585165.1
OG0000174	XP_060391302.1	XP_036581105.1
OG0000174	XP_060403281.1	XP_070060701.1
OG0000174	XP_060399878.1	XP_036588497.1
OG0000175	XP_060391567.1	XP_036579948.1
OG0000175	XP_060399617.1	XP_036574966.1, XP_036581039.2
OG0000176	XP_060401248.1	XP_036587391.1
OG0000176	XP_060392352.1	XP_036582082.2
OG0000177	XP_060395264.1	XP_036577787.1
OG0000177	XP_060393648.1	XP_036583664.1
OG0000178	XP_060403658.1	XP_036587178.2
OG0000178	XP_060393730.1	XP_036577946.2
OG0000179	XP_060399833.1	XP_070061313.1
OG0000179	XP_060393957.1	XP_036582565.2
OG0000180	XP_060394010.1	XP_036579978.1
OG0000181	XP_060399951.1	XP_036580310.1
OG0000181	XP_060395792.1, XP_060395049.1	XP_036576246.1
OG0000182	XP_060395194.1	XP_036586896.1
OG0000182	XP_060397765.1	XP_070060435.1
OG0000183	XP_060396190.1, XP_060397190.1, XP_060397288.1, XP_060398981.1, XP_060398978.1, XP_060398979.1	XP_036584589.1, XP_036576566.1, XP_036584492.1
OG0000184	XP_060397025.1, XP_060402606.1	XP_070061938.1
OG0000185	XP_060399147.1	XP_036584354.1
OG0000186	XP_060399566.1	XP_036586926.1
OG0000186	XP_060399946.1	XP_036580313.1
OG0000188	XP_060400159.1	XP_036584213.1
OG0000188	XP_060400741.1	XP_036583688.1
OG0000189	XP_060402705.1	XP_036583674.1, XP_036582063.1, XP_036587683.1, XP_070060058.1
OG0000190	XP_060404834.1	XP_036589583.1
OG0000196	XP_060399523.1	XP_036587061.1
OG0000197	XP_060391315.1	XP_070061924.1
OG0000197	XP_060391948.1	XP_036586873.1
OG0000198	XP_060391676.1	XP_036578809.1
OG0000198	XP_060396123.1	XP_036583915.1
OG0000201	XP_060394595.1	XP_036584064.1
OG0000203	XP_060393461.1	XP_070060705.1, XP_036589925.1
OG0000204	XP_060393962.1	XP_036582555.2
OG0000205	XP_060395227.1	XP_036577357.1
OG0000206	XP_060399806.1, XP_060399148.1, XP_060396094.1	XP_070060842.1, XP_070061509.1, XP_070061510.1, XP_070061443.1, XP_070060147.1, XP_070060526.1, XP_070062235.1, XP_070061939.1, XP_070060867.1, XP_070062425.1, XP_070062430.1, XP_070061720.1, XP_070061599.1, XP_070060223.1
OG0000207	XP_060399947.1	XP_036580312.1
OG0000207	XP_060404500.1, XP_060404499.1, XP_060397118.1	XP_070061372.1
OG0000208	XP_060399406.1	XP_036576782.1, XP_036583714.1
OG0000210	XP_060402716.1, XP_060401832.1	XP_036587157.1
OG0000210	XP_060400275.1, XP_060404540.1, XP_060404510.1, XP_060403632.1	XP_036589054.1
OG0000212	XP_060404565.1	XP_070062662.1
OG0000212	XP_060403548.1	XP_070060740.1
OG0000216	XP_060402616.1	XP_036581420.1
OG0000218	XP_060391347.1, XP_060391350.1	XP_036589775.1, XP_036582128.1
OG0000219	XP_060391645.1	XP_036580046.1, XP_036587155.1
OG0000220	XP_060401166.1	XP_036576157.1
OG0000220	XP_060391919.1	XP_036581510.1
OG0000221	XP_060392143.1	XP_036587228.1
OG0000222	XP_060392909.1	XP_036585998.1
OG0000222	XP_060399501.1	XP_070062151.1
OG0000224	XP_060393206.1	XP_036575739.1
OG0000224	XP_060399593.1	XP_036575643.1
OG0000225	XP_060393497.1	XP_036589905.1
OG0000226	XP_060394749.1	XP_036579342.1
OG0000226	XP_060401810.1, XP_060400632.1	XP_036575103.1
OG0000227	XP_060394537.1	XP_036574751.1
OG0000227	XP_060393660.1	XP_036579469.1
OG0000228	XP_060399550.1	XP_036586943.1
OG0000228	XP_060393924.1	XP_036582595.1
OG0000229	XP_060395059.1	XP_036576254.1
OG0000229	XP_060394543.1	XP_036581029.1
OG0000230	XP_060401412.1	XP_070060527.1
OG0000231	XP_060395100.1	XP_036586866.1
OG0000231	XP_060404841.1	XP_036589590.1, XP_036587986.1
OG0000232	XP_060395155.1	XP_036586825.2
OG0000232	XP_060401385.1	XP_036583958.1
OG0000233	XP_060395216.1	XP_036580402.2
OG0000233	XP_060398916.1, XP_060399680.1	XP_036587708.1
OG0000234	XP_060395669.1	XP_036578965.1
OG0000234	XP_060405406.1	XP_070060393.1, XP_036584543.1, XP_036578522.1
OG0000235	XP_060402405.1	XP_036586650.2
OG0000235	XP_060403133.1	XP_036580450.1
OG0000236	XP_060396213.1	XP_036587868.1
OG0000236	XP_060405444.1	XP_036584365.1
OG0000237	XP_060396847.1	XP_036589882.1
OG0000239	XP_060398810.1	XP_070060870.1
OG0000239	XP_060398283.1	XP_036585092.1
OG0000240	XP_060398845.1, XP_060402501.1, XP_060401821.1, XP_060404035.1, XP_060403591.1	XP_036588135.1
OG0000241	XP_060401618.1, XP_060405460.1	XP_036581701.1
OG0000241	XP_060405464.1	XP_036589152.1
OG0000242	XP_060402603.1	XP_036581399.2
OG0000243	XP_060403497.1, XP_060403499.1	XP_070060729.1
OG0000244	XP_060405272.1	XP_036580973.1
OG0000248	XP_060400839.1, XP_060402491.1, XP_060405456.1, XP_060400838.1, XP_060389428.1, XP_060398385.1	XP_036589281.2
OG0000249	XP_060402514.1, XP_060389449.1, XP_060404926.1, XP_060403846.1	XP_036586966.1
OG0000250	XP_060390890.1	XP_036575276.1
OG0000250	XP_060389465.1	XP_070060523.1
OG0000251	XP_060389524.1	XP_036576862.2
OG0000251	XP_060400740.1	XP_036583689.1
OG0000252	XP_060403047.1	XP_070061293.1
OG0000252	XP_060390007.1	XP_036577354.1
OG0000253	XP_060399506.1	XP_036586947.1
OG0000253	XP_060390165.1	XP_036586194.1
OG0000254	XP_060390235.1	XP_036577114.1
OG0000255	XP_060405714.1	XP_070061766.1
OG0000255	XP_060390262.1	XP_036585335.1
OG0000256	XP_060401557.1	XP_036582737.1
OG0000256	XP_060390677.1	XP_036585753.2
OG0000257	XP_060399689.1	XP_070061947.1
OG0000257	XP_060391562.1	XP_070062323.1, XP_070062097.1
OG0000258	XP_060394541.1	XP_036586230.1
OG0000258	XP_060391598.1	XP_036579976.1
OG0000259	XP_060394671.1	XP_036576042.1
OG0000259	XP_060391860.1	XP_036579418.1
OG0000260	XP_060391880.1	XP_036575392.1, XP_036579394.1
OG0000261	XP_060391984.1	XP_036577087.1, XP_036576113.1, XP_036580702.1
OG0000262	XP_060392159.1	XP_036587238.1
OG0000262	XP_060405021.1	XP_036582263.1
OG0000263	XP_060399150.1	XP_036580807.1
OG0000263	XP_060392681.1	XP_036588907.1
OG0000264	XP_060406396.1	XP_036576519.1
OG0000265	XP_060392807.1	XP_036578528.1
OG0000265	XP_060404186.1	XP_036577323.1
OG0000266	XP_060392815.1	XP_036578494.1
OG0000266	XP_060400753.1	XP_036583717.1
OG0000267	XP_060392835.1	XP_036585784.1
OG0000267	XP_060395630.1	XP_036575030.1
OG0000268	XP_060394034.1	XP_036582502.2
OG0000268	XP_060392853.1	XP_036585798.1
OG0000269	XP_060392863.1	XP_036585760.1
OG0000270	XP_060395507.1	XP_036576747.1
OG0000270	XP_060392952.1	XP_036585945.1
OG0000272	XP_060400747.1	XP_070060203.1
OG0000273	XP_060394989.1	XP_036576222.1
OG0000273	XP_060393542.1	XP_036589868.1
OG0000274	XP_060396100.1	XP_036583977.1
OG0000274	XP_060393661.1	XP_036579468.1
OG0000276	XP_060393834.1	XP_036578997.1
OG0000276	XP_060404300.1	XP_036581982.1
OG0000277	XP_060393915.1	XP_036582605.1
OG0000277	XP_060399399.1	XP_036586329.1
OG0000278	XP_060393979.1, XP_060399055.1	XP_036586537.1
OG0000278	XP_060402980.1	XP_036587761.1
OG0000279	XP_060394494.1	XP_036586308.1
OG0000280	XP_060406122.1	XP_070060108.1
OG0000280	XP_060394619.1	XP_036575996.2
OG0000281	XP_060397427.1	XP_070062539.1
OG0000281	XP_060394643.1	XP_036576017.1
OG0000282	XP_060404050.1	XP_036584624.1, XP_036576547.1
OG0000282	XP_060404023.1	XP_036584515.1
OG0000283	XP_060395025.1	XP_036578173.1
OG0000283	XP_060400957.1	XP_036578458.1
OG0000284	XP_060398756.1, XP_060395046.1	XP_036588218.1
OG0000285	XP_060395083.1	XP_036576263.1
OG0000285	XP_060396051.1	XP_036583950.1
OG0000287	XP_060395180.1	XP_070060373.1
OG0000287	XP_060402558.1	XP_036579227.2
OG0000288	XP_060395234.1	XP_036578689.1, XP_070062417.1, XP_036588074.1
OG0000289	XP_060396668.1, XP_060395381.1	XP_036584623.1, XP_070060006.1, XP_036584507.1
OG0000290	XP_060395496.1	XP_036588194.1
OG0000290	XP_060399044.1	XP_036581205.1, XP_036576481.1
OG0000291	XP_060395575.1	XP_036581569.1
OG0000291	XP_060396639.1	XP_036585877.1
OG0000292	XP_060405254.1	XP_036580977.1
OG0000293	XP_060402952.1	XP_070061275.1
OG0000293	XP_060395820.1	XP_036579748.2
OG0000294	XP_060395969.1	XP_036583896.1
OG0000294	XP_060404561.1	XP_036579380.1
OG0000295	XP_060396143.1	XP_036583990.1, XP_036582422.1, XP_036589751.2, XP_036581408.1
OG0000296	XP_060396236.1	XP_036581807.1, XP_070062635.1, XP_070061391.1
OG0000297	XP_060396752.1	XP_036583056.1
OG0000297	XP_060397845.1	XP_036575146.1
OG0000298	XP_060397665.1	XP_036575698.1
