Orthogroup	Colletotrichum_truncatum	Colletotrichum_karsti
OG0000037	XP_070061137.1	XP_038739204.1
OG0000037	XP_036574206.1	XP_038741825.1
OG0000038	XP_036582162.1	XP_038740761.1
OG0000038	XP_036579768.1	XP_038746120.1
OG0000041	XP_070060711.1, XP_070059875.1, XP_070060773.1, XP_036575299.1, XP_036587725.1, XP_070062181.1, XP_036580708.2, XP_070061327.1	XP_038750340.1
OG0000042	XP_070061508.1, XP_070059779.1, XP_070060874.1, XP_070059731.1, XP_036574810.1, XP_070059957.1, XP_070061153.1, XP_070062103.1, XP_070061514.1, XP_036579493.2, XP_070061046.1, XP_070059732.1, XP_036574320.2, XP_036574319.1, XP_036576461.1, XP_036575238.2, XP_036574405.2, XP_070061091.1, XP_070061875.1, XP_036576340.1, XP_036575375.2, XP_036576137.1, XP_036581512.2, XP_036588236.2, XP_036581412.1, XP_070062160.1, XP_036575893.2, XP_070061159.1, XP_036575373.1, XP_070061045.1, XP_070061152.1, XP_070059730.1, XP_070060873.1, XP_070061781.1	XP_038747447.1
OG0000043	XP_036581061.2	XP_038744021.1
OG0000044	XP_036580093.1	XP_038748130.1
OG0000044	XP_036588037.1	XP_038747739.1
OG0000044	XP_036582618.1	XP_038743185.1
OG0000044	XP_036584145.1	XP_038746929.1
OG0000046	XP_036577233.1	XP_038749820.1
OG0000046	XP_036588719.1	XP_038750950.1
OG0000046	XP_036583944.1, XP_036584655.1	XP_038743311.1
OG0000046	XP_036589658.1	XP_038750269.1
OG0000047	XP_036582284.1	XP_038739915.1
OG0000047	XP_036581805.1	XP_038743558.1
OG0000047	XP_036577195.1	XP_038746889.1
OG0000047	XP_036588035.1	XP_038746304.1
OG0000048	XP_070061815.1	XP_038746733.1
OG0000048	XP_070060235.1, XP_070060184.1, XP_070061861.1, XP_070061028.1, XP_070060611.1, XP_070060856.1, XP_070062495.1, XP_070062496.1, XP_070061709.1, XP_070060230.1, XP_070061797.1, XP_070060645.1, XP_070060020.1, XP_070062372.1, XP_036588622.1, XP_070060234.1, XP_070061256.1, XP_070062623.1, XP_070060906.1, XP_070060707.1, XP_070062380.1, XP_070060181.1, XP_036586523.1, XP_070061216.1, XP_036580068.2, XP_070061981.1, XP_070062631.1, XP_070060500.1, XP_070060454.1, XP_070062121.1	XP_038739358.1
OG0000049	XP_036590002.1	XP_038750320.1
OG0000049	XP_036579330.1	XP_038750912.1
OG0000050	XP_036581015.1	XP_038743985.1
OG0000050	XP_036582616.1	XP_038743187.1
OG0000050	XP_036587657.1	XP_038739079.1
OG0000051	XP_036579133.1	XP_038744342.1
OG0000051	XP_070060580.1	XP_038739555.1
OG0000051	XP_070061565.1	XP_038740059.1
OG0000052	XP_070061545.1	XP_038738656.1, XP_038738657.1
OG0000054	XP_036581099.1	XP_038740594.1
OG0000054	XP_036584573.1, XP_036574247.1, XP_070060001.1, XP_070060678.1, XP_070059803.1, XP_036584510.1	XP_038746041.1
OG0000055	XP_036589844.1	XP_038750112.1
OG0000055	XP_036580479.1	XP_038739230.1
OG0000055	XP_070060193.1	XP_038744694.1, XP_038750913.1, XP_038741589.1, XP_038741699.1
OG0000057	XP_070060021.1	XP_038749116.1
OG0000057	XP_036575137.1	XP_038738880.1
OG0000057	XP_036580378.2	XP_038744145.1
OG0000058	XP_070062259.1	XP_038751481.1
OG0000058	XP_036576508.2	XP_038741838.1
OG0000059	XP_036589130.1	XP_038748983.1
OG0000059	XP_036579230.1	XP_038744290.1
OG0000064	XP_070061063.1	XP_038741951.1
OG0000064	XP_070060549.1, XP_036583871.2, XP_070062298.1	XP_038750307.1
OG0000065	XP_070059972.1	XP_038744511.1
OG0000066	XP_036581734.1, XP_070061263.1	XP_038749507.1
OG0000068	XP_036586797.1	XP_038742456.1
OG0000070	XP_036575460.1	XP_038740145.1, XP_038743190.1, XP_038745223.1, XP_038747979.1
OG0000071	XP_036576990.1	XP_038740653.1
OG0000071	XP_036588687.1	XP_038748109.1, XP_038739379.1
OG0000072	XP_070061591.1	XP_038743394.1
OG0000072	XP_036582573.1	XP_038743218.1
OG0000073	XP_036576219.2	XP_038743687.1
OG0000073	XP_036585422.1	XP_038743264.1
OG0000073	XP_036586327.2	XP_038742548.1
OG0000074	XP_036577736.2, XP_036574831.2	XP_038738962.1
OG0000074	XP_036584485.1	XP_038739372.1
OG0000075	XP_036588485.1	XP_038751168.1
OG0000076	XP_036574266.1, XP_070061506.1, XP_036579345.1	XP_038741037.1
OG0000076	XP_036583473.1	XP_038745896.1
OG0000076	XP_036575157.2, XP_036589633.1	XP_038739795.1
OG0000076	XP_036588957.1	XP_038741889.1
OG0000076	XP_036586439.1	XP_038747779.1
OG0000078	XP_036575061.1	XP_038743161.1
OG0000078	XP_036579453.1	XP_038750812.1
OG0000078	XP_036581231.1	XP_038742590.1
OG0000080	XP_036575145.1	XP_038738858.1
OG0000080	XP_036577634.1	XP_038746709.1
OG0000080	XP_036588664.1	XP_038751018.1
OG0000081	XP_070062102.1	XP_038748232.1
OG0000081	XP_036578539.1	XP_038747984.1
OG0000081	XP_036588499.1	XP_038743305.1
OG0000081	XP_036588848.1	XP_038741010.1
OG0000082	XP_036577894.1	XP_038744232.1
OG0000082	XP_036582423.1	XP_038740928.1
OG0000082	XP_036577202.1	XP_038746901.1
OG0000083	XP_036577795.1, XP_036578583.1	XP_038745615.1
OG0000083	XP_036581679.1	XP_038744246.1
OG0000083	XP_036574873.1, XP_036576908.1	XP_038740672.1
OG0000085	XP_036581921.1	XP_038740897.1, XP_038747830.1, XP_038744429.1, XP_038744428.1, XP_038751259.1
OG0000086	XP_070059753.1, XP_070059771.1, XP_070061543.1, XP_070059770.1	XP_038738655.1
OG0000088	XP_036585215.1	XP_038741537.1
OG0000089	XP_036582452.1	XP_038739171.1
OG0000090	XP_036588418.1	XP_038751256.1
OG0000090	XP_036585093.1	XP_038751721.1
OG0000090	XP_036579088.1, XP_036585590.2	XP_038749487.1
OG0000091	XP_036579955.1	XP_038748252.1
OG0000091	XP_036586150.2	XP_038745426.1
OG0000093	XP_070060012.1, XP_070061385.1	XP_038748964.1
OG0000094	XP_036583720.1	XP_038747342.1
OG0000095	XP_036579927.2	XP_038750878.1
OG0000095	XP_036588193.1	XP_038747813.1
OG0000095	XP_036576482.1	XP_038741429.1
OG0000095	XP_036580326.1	XP_038748346.1
OG0000097	XP_036581703.2	XP_038742869.1
OG0000097	XP_070061065.1	XP_038741979.1
OG0000098	XP_070061121.1	XP_038751718.1
OG0000098	XP_036585097.1	XP_038748852.1, XP_038743981.1
OG0000099	XP_070061517.1	XP_038744174.1
OG0000100	XP_036589602.1	XP_038750308.1
OG0000100	XP_036582490.1	XP_038739203.1
OG0000100	XP_036581712.1	XP_038748325.1
OG0000101	XP_070060786.1	XP_038742730.1
OG0000101	XP_036578856.1	XP_038744517.1
OG0000101	XP_036588171.1	XP_038747621.1
OG0000102	XP_036588169.1	XP_038747623.1
OG0000102	XP_070060497.1	XP_038741620.1
OG0000102	XP_036576025.1	XP_038740089.1
OG0000103	XP_036589110.1	XP_038748963.1
OG0000104	XP_070060947.1	XP_038746213.1
OG0000105	XP_036579500.1, XP_070061539.1	XP_038746459.1
OG0000105	XP_036586248.1	XP_038742948.1, XP_038740246.1, XP_038741485.1
OG0000105	XP_036579506.1, XP_036586461.1, XP_036575573.2, XP_036584071.1, XP_036576186.1	XP_038738705.1
OG0000107	XP_070059955.1	XP_038740631.1
OG0000110	XP_036574432.1	XP_038748627.1
OG0000110	XP_036579391.1	XP_038749526.1
OG0000111	XP_036580028.2	XP_038748174.1
OG0000111	XP_070062558.1	XP_038750864.1
OG0000112	XP_036587244.2	XP_038740382.1
OG0000112	XP_036579388.1	XP_038749524.1
OG0000113	XP_036585809.2	XP_038739961.1
OG0000113	XP_036588810.1	XP_038741048.1
OG0000114	XP_036577220.1	XP_038748159.1
OG0000115	XP_036589307.1	XP_038751602.1
OG0000116	XP_036577453.1, XP_036576505.1, XP_036584084.1, XP_036574472.1, XP_036582541.1, XP_036581371.1, XP_036575447.1, XP_036574296.1, XP_036589091.1, XP_036580453.1, XP_036581552.2, XP_036584340.1, XP_036580200.1, XP_036587785.2, XP_070059720.1	XP_038740805.1
OG0000120	XP_036583668.1	XP_038747307.1
OG0000121	XP_036579751.1	XP_038746143.1
OG0000121	XP_036582531.2	XP_038739237.1
OG0000122	XP_070062129.1	XP_038741719.1
OG0000122	XP_036586604.2	XP_038743612.1
OG0000123	XP_036584641.1, XP_036576531.1	XP_038748221.1
OG0000124	XP_036579312.1, XP_036581343.1	XP_038742694.1
OG0000125	XP_036589530.1	XP_038750384.1
OG0000125	XP_036580720.2	XP_038741419.1
OG0000127	XP_036581803.1	XP_038748761.1
OG0000127	XP_036583687.1	XP_038747323.1
OG0000127	XP_036579883.1	XP_038745992.1
OG0000129	XP_070062408.1	XP_038746452.1
OG0000132	XP_036579130.1	XP_038741408.1
OG0000133	XP_036579519.1	XP_038740462.1, XP_038742938.1
OG0000138	XP_070061375.1	XP_038749040.1
OG0000138	XP_070059986.1	XP_038743077.1
OG0000138	XP_036580411.1	XP_038744074.1
OG0000140	XP_036578287.2	XP_038744937.1
OG0000142	XP_070060920.1	XP_038746290.1
OG0000142	XP_036579887.1	XP_038745994.1
OG0000142	XP_036582334.1	XP_038739464.1
OG0000143	XP_036582532.1	XP_038739238.1
OG0000144	XP_036586535.1	XP_038749918.1
OG0000144	XP_036582031.1	XP_038747213.1, XP_038740746.1
OG0000145	XP_036585491.1	XP_038749178.1
OG0000145	XP_036583828.1	XP_038749898.1
OG0000147	XP_036578891.1	XP_038744544.1
OG0000147	XP_036586925.1	XP_038747791.1, XP_038745855.1
OG0000148	XP_036576663.1	XP_038744702.1
OG0000148	XP_036582049.1	XP_038746479.1
OG0000149	XP_036576981.1	XP_038744469.1
OG0000150	XP_036578055.1	XP_038740497.1
OG0000152	XP_036575518.1	XP_038741775.1, XP_038747130.1, XP_038741965.1
OG0000152	XP_036588522.1	XP_038742825.1, XP_038741274.1, XP_038749539.1
OG0000154	XP_070060474.1	XP_038739316.1
OG0000154	XP_070062618.1	XP_038751114.1
OG0000155	XP_036575166.1	XP_038741478.1
OG0000155	XP_036578283.1, XP_070061173.1	XP_038748080.1
OG0000156	XP_036585166.1	XP_038748618.1
OG0000156	XP_070061833.1	XP_038746874.1, XP_038740509.1
OG0000158	XP_036580147.2	XP_038742332.1
OG0000158	XP_036584425.1, XP_036584435.1, XP_036584493.2, XP_036586816.1, XP_036574891.1	XP_038741442.1
OG0000159	XP_036579325.1	XP_038750911.1, XP_038747659.1
OG0000160	XP_036582190.1, XP_036577774.1, XP_036577773.1	XP_038750954.1
OG0000161	XP_070061213.1	XP_038745894.1
OG0000161	XP_070062508.1	XP_038750617.1
OG0000162	XP_070060187.1	XP_038746043.1, XP_038746951.1
OG0000168	XP_070062200.1	XP_038750866.1
OG0000168	XP_036575983.2, XP_036575903.2, XP_070061782.1, XP_070059925.1, XP_036579975.1, XP_070061308.1, XP_070061154.1, XP_036588237.1, XP_070062076.1, XP_070061515.1, XP_070061092.1, XP_070061047.1, XP_070060505.1, XP_070060937.1, XP_070060837.1, XP_036574755.1, XP_070060423.1	XP_038747449.1
OG0000170	XP_036578624.1, XP_036577200.1	XP_038740584.1
OG0000171	XP_036577665.2	XP_038739674.1
OG0000171	XP_070061185.1, XP_036587722.1	XP_038745850.1
OG0000172	XP_070062206.1	XP_038751888.1
OG0000172	XP_036585165.1	XP_038748619.1
OG0000174	XP_036581105.1	XP_038740605.1
OG0000174	XP_070060701.1	XP_038749826.1
OG0000174	XP_036588497.1	XP_038743304.1
OG0000175	XP_036579948.1	XP_038748259.1
OG0000176	XP_070061738.1	XP_038739056.1
OG0000178	XP_036587178.2	XP_038740415.1
OG0000178	XP_036577946.2	XP_038748052.1
OG0000179	XP_070061313.1	XP_038750081.1
OG0000179	XP_036582565.2	XP_038743226.1
OG0000180	XP_036579978.1	XP_038748217.1
OG0000181	XP_036580310.1	XP_038744182.1
OG0000181	XP_036576246.1	XP_038743700.1
OG0000182	XP_036586896.1	XP_038738759.1
OG0000182	XP_070060435.1	XP_038744740.1
OG0000182	XP_036575218.1, XP_036587279.1	XP_038744993.1
OG0000185	XP_070062466.1, XP_070061465.1, XP_036578802.1, XP_036583732.1, XP_070060918.1	XP_038750433.1
OG0000186	XP_036586926.1	XP_038745854.1
OG0000186	XP_036580313.1	XP_038744178.1
OG0000187	XP_036582664.1	XP_038743693.1
OG0000188	XP_036584213.1	XP_038739581.1
OG0000188	XP_036583688.1	XP_038747325.1
OG0000190	XP_036589583.1	XP_038750331.1, XP_038749956.1, XP_038741334.1
OG0000191	XP_036582186.1, XP_036576988.1, XP_036589181.1, XP_036589183.1	XP_038741986.1
OG0000192	XP_036587214.1	XP_038746963.1
OG0000196	XP_036587061.1	XP_038745731.1
OG0000198	XP_036578809.1	XP_038749063.1
OG0000198	XP_036583915.1	XP_038743374.1
OG0000201	XP_036584064.1	XP_038740041.1
OG0000202	XP_036584058.1	XP_038740270.1
OG0000203	XP_070060705.1	XP_038750085.1
OG0000203	XP_036589925.1	XP_038750036.1
OG0000204	XP_036582555.2	XP_038743222.1
OG0000205	XP_036577357.1	XP_038744878.1
OG0000207	XP_036580312.1	XP_038744179.1
OG0000207	XP_070061372.1	XP_038749111.1
OG0000212	XP_070062662.1	XP_038749518.1
OG0000212	XP_070060740.1	XP_038749934.1
OG0000214	XP_036581030.1	XP_038748335.1, XP_038740737.1, XP_038743992.1
OG0000216	XP_036581420.1	XP_038746295.1
OG0000218	XP_036589775.1	XP_038751309.1
OG0000218	XP_036582128.1	XP_038746850.1
OG0000219	XP_036580046.1	XP_038748162.1
OG0000219	XP_036587155.1	XP_038742192.1, XP_038746177.1, XP_038740393.1
OG0000220	XP_036576157.1	XP_038739337.1
OG0000220	XP_036581510.1	XP_038746386.1
OG0000221	XP_036587228.1	XP_038745620.1, XP_038750411.1, XP_038745619.1, XP_038740447.1
OG0000222	XP_036585998.1	XP_038747147.1
OG0000222	XP_070062151.1	XP_038745825.1
OG0000224	XP_036575739.1, XP_036575643.1	XP_038750814.1
OG0000225	XP_036589905.1	XP_038750053.1
OG0000227	XP_036574751.1	XP_038740801.1
OG0000227	XP_036579469.1	XP_038749601.1
OG0000228	XP_036586943.1	XP_038745837.1
OG0000228	XP_036582595.1	XP_038743204.1
OG0000229	XP_036576254.1	XP_038743729.1
OG0000229	XP_036581029.1	XP_038743991.1
OG0000230	XP_036576955.1	XP_038751223.1
OG0000231	XP_036586866.1	XP_038742554.1
OG0000231	XP_036589590.1, XP_036587986.1	XP_038750324.1
OG0000232	XP_036586825.2	XP_038742518.1
OG0000233	XP_036587708.1	XP_038741520.1
OG0000234	XP_036578965.1	XP_038744594.1
OG0000234	XP_070060393.1, XP_036584543.1, XP_036578522.1	XP_038741958.1
OG0000235	XP_036586650.2	XP_038742153.1
OG0000235	XP_036580450.1	XP_038744622.1
OG0000236	XP_036587868.1	XP_038745538.1
OG0000237	XP_036589882.1	XP_038750090.1
OG0000237	XP_036574321.1	XP_038741384.1, XP_038740908.1
OG0000239	XP_070060870.1	XP_038747819.1
OG0000239	XP_036585092.1	XP_038751722.1
OG0000241	XP_036576349.1, XP_036581808.2, XP_036584449.1	XP_038750100.1
OG0000242	XP_036581399.2	XP_038749658.1, XP_038739178.1, XP_038746289.1
OG0000244	XP_036580973.1	XP_038743945.1
OG0000248	XP_036589281.2	XP_038751618.1
OG0000249	XP_036586966.1	XP_038745808.1
OG0000250	XP_036575276.1	XP_038744675.1
OG0000250	XP_070060523.1	XP_038741258.1
OG0000251	XP_036576862.2	XP_038743852.1
OG0000251	XP_036583689.1	XP_038747326.1
OG0000252	XP_070061293.1	XP_038740198.1
OG0000252	XP_036577354.1	XP_038748933.1, XP_038742148.1
OG0000253	XP_036586947.1	XP_038745829.1
OG0000253	XP_036586194.1	XP_038745378.1
OG0000254	XP_036577114.1	XP_038749706.1
OG0000255	XP_070061766.1	XP_038743058.1
OG0000255	XP_036585335.1	XP_038748469.1
OG0000256	XP_036582737.1	XP_038741499.1
OG0000256	XP_036585753.2	XP_038749324.1
OG0000257	XP_070061947.1	XP_038747913.1
OG0000257	XP_070062323.1, XP_070062097.1	XP_038748264.1
OG0000258	XP_036586230.1	XP_038742745.1
OG0000258	XP_036579976.1	XP_038748228.1
OG0000259	XP_036576042.1	XP_038740103.1
OG0000259	XP_036579418.1	XP_038749549.1
OG0000260	XP_036575392.1	XP_038741591.1
OG0000260	XP_036579394.1	XP_038749530.1
OG0000261	XP_036577087.1, XP_036576113.1, XP_036580702.1	XP_038748993.1, XP_038746275.1, XP_038748340.1, XP_038748992.1
OG0000262	XP_036587238.1	XP_038740387.1
OG0000262	XP_036582263.1	XP_038739923.1
OG0000263	XP_036580807.1	XP_038741063.1
OG0000263	XP_036588907.1	XP_038748794.1
OG0000265	XP_036578528.1	XP_038741953.1
OG0000265	XP_036577323.1	XP_038745344.1
OG0000266	XP_036578494.1	XP_038741978.1
OG0000266	XP_036583717.1	XP_038747346.1
OG0000267	XP_036585784.1	XP_038739940.1, XP_038739362.1
OG0000267	XP_036575030.1	XP_038745984.1
OG0000268	XP_036582502.2	XP_038739208.1
OG0000268	XP_036585798.1	XP_038747178.1
OG0000269	XP_036585760.1, XP_036578252.1	XP_038744978.1, XP_038740014.1
OG0000270	XP_036576747.1	XP_038739100.1
OG0000270	XP_036585945.1	XP_038747193.1
OG0000272	XP_070060203.1	XP_038747341.1
OG0000273	XP_036576222.1	XP_038743692.1
OG0000273	XP_036589868.1	XP_038750155.1
OG0000274	XP_036583977.1	XP_038743417.1
OG0000274	XP_036579468.1	XP_038749600.1
OG0000276	XP_036578997.1	XP_038743135.1
OG0000276	XP_036581982.1	XP_038746575.1
OG0000277	XP_036582605.1	XP_038743198.1
OG0000277	XP_036586329.1	XP_038741851.1
OG0000278	XP_036586537.1	XP_038749917.1
OG0000278	XP_036587761.1	XP_038747825.1
OG0000279	XP_036586308.1	XP_038742788.1
OG0000280	XP_070060108.1	XP_038745073.1
OG0000280	XP_036575996.2	XP_038740062.1
OG0000281	XP_070062539.1	XP_038750777.1
OG0000281	XP_036576017.1	XP_038740083.1
OG0000283	XP_036578173.1	XP_038743653.1
OG0000283	XP_036578458.1	XP_038750618.1
OG0000284	XP_036588218.1	XP_038747793.1, XP_038750111.1
OG0000285	XP_036576263.1	XP_038743736.1
OG0000285	XP_036583950.1	XP_038743389.1
OG0000287	XP_070060373.1	XP_038738765.1
OG0000287	XP_036579227.2	XP_038744287.1
OG0000288	XP_036578689.1	XP_038744141.1, XP_038747503.1
OG0000288	XP_070062417.1	XP_038739383.1, XP_038739839.1
OG0000288	XP_036588074.1	XP_038745832.1
OG0000290	XP_036588194.1	XP_038747812.1
OG0000290	XP_036581205.1, XP_036576481.1	XP_038741430.1
OG0000291	XP_036581569.1	XP_038746429.1
OG0000291	XP_036585877.1	XP_038747264.1
OG0000292	XP_036580977.1	XP_038743949.1
OG0000293	XP_070061275.1	XP_038740763.1
OG0000293	XP_036579748.2	XP_038746144.1
OG0000294	XP_036583896.1	XP_038743322.1
OG0000294	XP_036579380.1	XP_038749516.1
OG0000295	XP_036583990.1	XP_038743430.1
OG0000295	XP_036582422.1, XP_036589751.2, XP_036581408.1	XP_038745345.1, XP_038746300.1
OG0000296	XP_070061391.1	XP_038738702.1, XP_038742378.1, XP_038742258.1
OG0000297	XP_036583056.1	XP_038738944.1
OG0000297	XP_036575146.1	XP_038742259.1
OG0000298	XP_036575698.1	XP_038744362.1
OG0000298	XP_036578883.1	XP_038744539.1
OG0000299	XP_036582440.1	XP_038749892.1
OG0000299	XP_070061577.1	XP_038749832.1
OG0000300	XP_036578056.1	XP_038740498.1
OG0000301	XP_070061793.1	XP_038742257.1
OG0000301	XP_036580359.1	XP_038744119.1
OG0000302	XP_036589630.2	XP_038740551.1
OG0000303	XP_036587078.1	XP_038745749.1
OG0000303	XP_036589304.2	XP_038751643.1
OG0000305	XP_070060840.1	XP_038747745.1
OG0000305	XP_036579614.2	XP_038743034.1
OG0000307	XP_036581197.1	XP_038741854.1
OG0000308	XP_036584089.2	XP_038747929.1, XP_038744340.1
OG0000309	XP_036577921.1	XP_038744202.1, XP_038744252.1, XP_038744203.1
OG0000310	XP_036576901.2	XP_038740809.1
OG0000310	XP_036576899.1	XP_038740812.1, XP_038739303.1
OG0000311	XP_036587367.1	XP_038746509.1
OG0000311	XP_036578339.1	XP_038750507.1
OG0000312	XP_036574537.1	XP_038741206.1
OG0000312	XP_036587726.1	XP_038749723.1
OG0000313	XP_036574340.1	XP_038739435.1
OG0000313	XP_036574540.1	XP_038741209.1
OG0000314	XP_036581424.1	XP_038746299.1
OG0000314	XP_036586147.1	XP_038745433.1
OG0000315	XP_036581065.2	XP_038744023.1
OG0000315	XP_070059881.1	XP_038747429.1
OG0000316	XP_036583130.1	XP_038740133.1
OG0000316	XP_036586414.1	XP_038749935.1
OG0000317	XP_070060734.1	XP_038742763.1, XP_038745589.1
OG0000318	XP_036586762.1	XP_038742147.1
OG0000318	XP_036586466.1	XP_038749968.1
OG0000319	XP_036584711.1	XP_038743482.1
OG0000319	XP_070062295.1	XP_038750327.1
OG0000326	XP_036584348.1, XP_036589416.1	XP_038751529.1
OG0000327	XP_036575400.2	XP_038741598.1
OG0000327	XP_070062582.1	XP_038751364.1
OG0000328	XP_036582298.1, XP_070062147.1	XP_038740673.1, XP_038746618.1
OG0000329	XP_070062600.1	XP_038751291.1
OG0000331	XP_036587267.1	XP_038740359.1
OG0000332	XP_036576163.1	XP_038743272.1
OG0000332	XP_036581950.1	XP_038746559.1
OG0000335	XP_036576055.1	XP_038745998.1, XP_038740116.1
OG0000336	XP_036575412.1	XP_038741615.1
