Orthogroup	Colletotrichum_truncatum	Colletotrichum_fructicola
OG0000009	XP_036576912.1	XP_031875698.1
OG0000009	XP_036575001.1	XP_031884954.1
OG0000009	XP_036577228.2	XP_031878188.1
OG0000010	XP_070059949.1	XP_031884033.1, XP_066008893.1, XP_066009748.1, XP_066008397.1, XP_066006713.1, XP_066008849.1, XP_066008102.1, XP_066009986.1, XP_066007392.1, XP_066009362.1, XP_066006834.1, XP_066007908.1, XP_066009298.1, XP_066006747.1, XP_066007287.1, XP_066008778.1, XP_066007966.1, XP_066007706.1, XP_066007110.1, XP_066006720.1, XP_066007482.1, XP_066007036.1, XP_066007637.1, XP_066009431.1, XP_066007743.1, XP_066007816.1, XP_066008437.1, XP_066008148.1, XP_066006840.1, XP_066008151.1, XP_066007733.1, XP_066006874.1, XP_066006804.1, XP_066009361.1, XP_066007907.1
OG0000012	XP_070060447.1	XP_031882357.1
OG0000012	XP_036581583.2	XP_031889787.2
OG0000012	XP_070060757.1, XP_036577726.1	XP_031879010.1
OG0000012	XP_036576927.1	XP_031883699.1
OG0000014	XP_036583875.1	XP_031877046.1
OG0000014	XP_036586349.1	XP_031876680.1
OG0000014	XP_070061736.1	XP_031890603.1
OG0000014	XP_070059808.1, XP_036587851.1	XP_031890843.2
OG0000014	XP_036576421.1	XP_066008557.1
OG0000014	XP_036574781.1	XP_066007834.1
OG0000014	XP_036587323.2	XP_031878291.1
OG0000015	XP_070062364.1, XP_036575290.1	XP_031893512.1
OG0000015	XP_070060524.1	XP_066009789.1
OG0000015	XP_036589778.1, XP_036581744.1	XP_066007320.1
OG0000015	XP_070060909.1, XP_070059922.1	XP_066008106.1
OG0000015	XP_036582095.1	XP_031882141.1
OG0000016	XP_036589588.1	XP_031880285.1
OG0000016	XP_036581107.1	XP_031876331.1
OG0000016	XP_036583987.1	XP_031877054.1
OG0000016	XP_036586092.1	XP_031879498.1
OG0000016	XP_036586731.2	XP_031885199.1
OG0000017	XP_036581693.1	XP_031885060.2
OG0000017	XP_036588586.1	XP_031887534.1
OG0000017	XP_070062442.1	XP_031882331.1
OG0000017	XP_036585183.1	XP_031877837.2
OG0000019	XP_036580709.1	XP_066007478.1
OG0000019	XP_036589060.2	XP_066009012.1, XP_031892157.1, XP_031881790.1
OG0000021	XP_036579505.1	XP_031881524.2
OG0000021	XP_036586246.1	XP_031877003.2
OG0000021	XP_036574746.1	XP_031884356.1
OG0000021	XP_036579366.2	XP_066006783.1, XP_066009279.1
OG0000021	XP_036574644.1, XP_036577797.1	XP_066007123.1
OG0000021	XP_070062637.1	XP_066008886.1
OG0000021	XP_036577755.1	XP_031893167.1
OG0000023	XP_036586304.1	XP_031878091.1
OG0000023	XP_036587982.1	XP_031890882.1
OG0000023	XP_070062046.1	XP_031879411.1
OG0000023	XP_036589513.1	XP_031892487.1
OG0000024	XP_036589767.1	XP_031889216.1
OG0000024	XP_036579870.1	XP_031884867.1
OG0000024	XP_036577317.1	XP_031880891.1
OG0000024	XP_070062176.1	XP_031876143.1
OG0000024	XP_070062657.1	XP_031878865.1
OG0000024	XP_036586456.1	XP_031877260.1
OG0000026	XP_036586453.1	XP_066007451.1
OG0000026	XP_036583201.2	XP_031885312.1
OG0000026	XP_036577471.2, XP_036580498.1	XP_066009777.1
OG0000028	XP_036581182.1	XP_031879121.1
OG0000028	XP_070060257.1	XP_031877448.1, XP_031892844.1, XP_031878662.2, XP_031883762.1
OG0000029	XP_070061713.1	XP_066009220.1
OG0000029	XP_070062139.1	XP_066008392.1, XP_066008117.1, XP_066008379.1, XP_066008380.1, XP_031886350.2
OG0000029	XP_070061698.1	XP_066009833.1
OG0000029	XP_070061700.1	XP_066009619.1
OG0000029	XP_070060732.1	XP_066009808.1, XP_066009648.1, XP_066009423.1, XP_031887930.2, XP_066008039.1, XP_031883646.2, XP_066008072.1, XP_066007720.1, XP_066009558.1, XP_066008868.1, XP_066008865.1, XP_066008867.1, XP_031876271.1, XP_066007452.1, XP_066007449.1
OG0000029	XP_036588619.2	XP_066008357.1, XP_066009498.1, XP_066009499.1
OG0000029	XP_070062477.1	XP_031891453.2
OG0000031	XP_036586424.1	XP_031877294.1
OG0000031	XP_036588147.1	XP_031880080.2
OG0000032	XP_036584361.1	XP_066008146.1
OG0000032	XP_036578818.1, XP_036584347.2	XP_066006938.1, XP_031876210.2, XP_066007267.1, XP_066008145.1
OG0000033	XP_036581751.1, XP_036576910.1, XP_070062092.1, XP_036574875.1, XP_036577699.1	XP_066006930.1
OG0000033	XP_036578581.1	XP_031893615.1
OG0000034	XP_070060023.1	XP_031882598.1
OG0000034	XP_036589643.1	XP_031888869.1, XP_066009786.1
OG0000034	XP_036576453.1	XP_031881193.1
OG0000034	XP_036579478.1	XP_031881139.1
OG0000035	XP_036588818.1	XP_031891597.1
OG0000035	XP_070061252.1	XP_031877314.1
OG0000035	XP_070061519.1	XP_031887969.1
OG0000036	XP_070060254.1, XP_070060785.1, XP_036575799.1, XP_070060592.1, XP_036587365.1, XP_036578887.1, XP_070062447.1, XP_070061980.1, XP_070059915.1, XP_070060396.1, XP_070061389.1, XP_070061117.1, XP_070062062.1, XP_070059932.1, XP_070061396.1, XP_070060612.1, XP_070060024.1, XP_070060270.1, XP_070060038.1, XP_070061618.1, XP_070061217.1, XP_070062594.1, XP_070062224.1, XP_070061918.1, XP_070061553.1, XP_070060604.1, XP_036589914.2, XP_070061586.1, XP_070060871.1, XP_036576149.1, XP_070062446.1, XP_036578886.1, XP_036587364.1, XP_070059982.1, XP_070061093.1	XP_031887382.1
OG0000037	XP_036586380.1	XP_031876440.1
OG0000037	XP_070061137.1	XP_031881416.2
OG0000037	XP_036574206.1	XP_031878699.1
OG0000038	XP_036582162.1	XP_031878512.1
OG0000038	XP_036579768.1	XP_031884826.1
OG0000039	XP_036577785.2	XP_066009404.1
OG0000039	XP_036581474.2	XP_031893535.2
OG0000040	XP_070061799.1	XP_031876848.1
OG0000040	XP_070060005.1, XP_036584610.1	XP_066006980.1
OG0000041	XP_070060711.1, XP_070059875.1	XP_066008958.1, XP_066007124.1, XP_066007260.1
OG0000041	XP_070060773.1	XP_066009239.1
OG0000041	XP_070061327.1	XP_031878639.1, XP_066007225.1, XP_066008368.1, XP_031884351.2
OG0000043	XP_036581061.2	XP_031886183.2
OG0000044	XP_036580093.1	XP_031883461.1
OG0000044	XP_036576677.1	XP_031883135.1
OG0000044	XP_036582618.1	XP_031883763.1
OG0000046	XP_036577233.1	XP_031879259.1
OG0000046	XP_036588719.1	XP_031877509.1
OG0000046	XP_036583944.1, XP_036584655.1	XP_031884116.1
OG0000046	XP_036589658.1	XP_031889476.1
OG0000047	XP_036582284.1	XP_031877364.1
OG0000047	XP_036577195.1	XP_031878178.1
OG0000047	XP_036574367.1	XP_031892080.1
OG0000047	XP_036588035.1	XP_031880996.1, XP_031877361.1
OG0000049	XP_036590002.1	XP_031875597.1
OG0000049	XP_036579330.1	XP_031878866.1
OG0000050	XP_036581015.1	XP_031885916.1
OG0000050	XP_036582616.1	XP_031880097.1, XP_031883855.2
OG0000050	XP_036587657.1	XP_031889948.1
OG0000051	XP_036579133.1	XP_031882199.1
OG0000051	XP_070060580.1	XP_031876728.1
OG0000051	XP_070061565.1	XP_031880004.1
OG0000052	XP_036574865.2	XP_066007850.1, XP_031875291.1, XP_066007024.1, XP_066007608.1, XP_066006714.1, XP_066008777.1, XP_066009989.1, XP_031879170.1, XP_066008395.1, XP_066009152.1, XP_066007118.1, XP_066008643.1, XP_031875797.2, XP_066006814.1
OG0000052	XP_070061545.1	XP_066007043.1, XP_066006807.1, XP_066009359.1, XP_066007623.1, XP_066006893.1, XP_031884041.2
OG0000053	XP_070060171.1, XP_070060072.1	XP_031875985.1
OG0000053	XP_070062493.1, XP_070059990.1, XP_036579069.1	XP_066008598.1
OG0000054	XP_036581099.1	XP_066008425.1
OG0000054	XP_036584573.1, XP_036574247.1, XP_070060001.1, XP_070060678.1	XP_066006777.1, XP_031880558.2, XP_066007190.1
OG0000054	XP_070059803.1, XP_036584510.1	XP_066009167.1
OG0000055	XP_036589844.1	XP_031881410.1, XP_031889319.1
OG0000055	XP_036580479.1	XP_031881451.1
OG0000055	XP_070060193.1	XP_031881398.2, XP_031883717.2, XP_031893329.1
OG0000057	XP_070060021.1	XP_031882595.1
OG0000057	XP_036575137.1	XP_031888147.2
OG0000057	XP_036580378.2	XP_031893026.1
OG0000058	XP_070062259.1	XP_031887143.1
OG0000058	XP_036576508.2	XP_031878750.1
OG0000058	XP_036576555.2, XP_036584608.2	XP_031877586.1, XP_031880573.2, XP_031875865.1, XP_066008904.1
OG0000059	XP_036589130.1	XP_031892770.2
OG0000059	XP_036579230.1	XP_031891472.1
OG0000059	XP_036578680.1	XP_031890900.1
OG0000059	XP_036574737.2, XP_036589645.1	XP_031879333.1
OG0000064	XP_070061063.1	XP_031884461.1
OG0000064	XP_070060549.1, XP_036583871.2, XP_070062298.1	XP_031889409.1
OG0000065	XP_070059972.1	XP_031878261.1
OG0000065	XP_036580455.1	XP_031876601.1
OG0000066	XP_036581734.1	XP_031882995.1
OG0000066	XP_070061263.1	XP_031890226.1
OG0000068	XP_036576093.1, XP_036582362.1	XP_066009666.1
OG0000068	XP_036586797.1	XP_066008797.1
OG0000070	XP_036575460.1	XP_031879679.1, XP_031891117.1, XP_031877238.2, XP_031883416.1, XP_031880242.1
OG0000071	XP_036576990.1	XP_031883683.1
OG0000071	XP_036588687.1	XP_031888153.1
OG0000072	XP_070061591.1	XP_031884252.1
OG0000072	XP_036576286.1	XP_031892088.1
OG0000072	XP_070062142.1	XP_031885726.1
OG0000072	XP_036582573.1	XP_031884060.1
OG0000073	XP_036576219.2	XP_031891861.1
OG0000073	XP_036585422.1	XP_031877508.1
OG0000073	XP_036586327.2	XP_031885770.2
OG0000074	XP_036575819.1	XP_031876155.2
OG0000075	XP_036588485.1	XP_031887696.1
OG0000076	XP_036574266.1, XP_070061506.1	XP_031880315.1
OG0000076	XP_036575157.2, XP_036589633.1	XP_066009734.1
OG0000076	XP_036588957.1, XP_036586439.1	XP_031878761.1
OG0000078	XP_036575061.1	XP_031883892.1
OG0000078	XP_036579453.1	XP_031885207.1
OG0000078	XP_036581231.1	XP_031879078.1
OG0000080	XP_036575145.1	XP_031887977.1
OG0000080	XP_036577634.1	XP_031888971.1
OG0000080	XP_036588664.1	XP_031878550.1
OG0000081	XP_070062102.1	XP_031877893.1
OG0000081	XP_036578539.1	XP_031881745.1
OG0000081	XP_036588848.1	XP_031892617.1
OG0000082	XP_036577894.1	XP_031877097.2
OG0000082	XP_036582423.1	XP_066007659.1
OG0000082	XP_036577202.1	XP_031878238.1
OG0000083	XP_036577795.1, XP_036578583.1	XP_031883146.1
OG0000083	XP_036581679.1	XP_031893612.2
OG0000083	XP_036574873.1, XP_036576908.1	XP_031883946.1
OG0000084	XP_036575159.1	XP_031877130.1, XP_031883666.1
OG0000085	XP_036581921.1	XP_031881447.1, XP_031881445.1, XP_031881446.1, XP_031892501.1, XP_031886043.2, XP_031888626.1, XP_031888628.1, XP_066009468.1
OG0000086	XP_070059753.1, XP_070059771.1, XP_070061543.1, XP_070059770.1	XP_066009360.1, XP_066006805.1, XP_031876997.2
OG0000086	XP_070061542.1, XP_036575134.1	XP_031875252.2, XP_066007186.1, XP_066006817.1, XP_066008850.1, XP_066006995.1, XP_066009365.1, XP_066007705.1, XP_066007849.1, XP_066006749.1, XP_066008776.1, XP_066008149.1, XP_066009990.1, XP_031879149.1
OG0000089	XP_036585152.1	XP_031887288.2
OG0000089	XP_036582452.1	XP_066007672.1
OG0000090	XP_036588418.1	XP_031887673.1
OG0000090	XP_036585093.1	XP_031887184.1
OG0000090	XP_036579088.1, XP_036585590.2	XP_031888590.1
OG0000091	XP_036579955.1	XP_031877975.1
OG0000091	XP_036586150.2	XP_066007457.1
OG0000093	XP_070060012.1, XP_070061385.1	XP_066008298.1
OG0000094	XP_036583720.1	XP_066009909.1
OG0000095	XP_036574883.1, XP_036579927.2, XP_036588193.1	XP_031880048.1
OG0000095	XP_036576482.1	XP_031887999.1
OG0000095	XP_036580326.1	XP_031881275.1
OG0000095	XP_036576095.1	XP_031891254.1
OG0000097	XP_036581703.2	XP_066007559.1
OG0000097	XP_070061065.1	XP_066007959.1
OG0000098	XP_070061121.1	XP_031887187.1
OG0000098	XP_036585097.1	XP_031893238.1, XP_066008144.1, XP_031889416.1, XP_031887188.1
OG0000099	XP_070061517.1	XP_031875897.1
OG0000100	XP_036589602.1	XP_031889225.1
OG0000100	XP_036582490.1	XP_031881417.1
OG0000100	XP_036581712.1	XP_031881223.1
OG0000101	XP_070060786.1	XP_031875804.1
OG0000101	XP_036578856.1	XP_031880366.1
OG0000101	XP_036588171.1	XP_031880150.1
OG0000102	XP_036588169.1	XP_031880105.1
OG0000102	XP_070060497.1	XP_031893528.1
OG0000102	XP_036576025.1	XP_066009621.1
OG0000103	XP_036589110.1	XP_031879567.2, XP_066006751.1
OG0000103	XP_070059924.1	XP_066009133.1
OG0000104	XP_070060947.1	XP_066008068.1, XP_066008069.1
OG0000105	XP_036579500.1, XP_070061539.1	XP_031878013.2
OG0000105	XP_036579506.1, XP_036586461.1, XP_036575573.2, XP_036584071.1, XP_036576186.1	XP_031889723.1
OG0000107	XP_070059955.1	XP_066007976.1, XP_066006725.1, XP_066006926.1, XP_066009867.1, XP_066007008.1, XP_066007404.1, XP_066006758.1, XP_066006756.1, XP_066006944.1, XP_066007991.1, XP_031884162.2, XP_066008225.1, XP_066009027.1, XP_066007941.1, XP_066007009.1, XP_066009308.1, XP_031878949.2, XP_066007268.1
OG0000107	XP_036575829.1	XP_066007990.1
OG0000108	XP_036584564.1	XP_066007791.1
OG0000109	XP_036577672.1	XP_066009546.1
OG0000109	XP_036578485.2	XP_031891846.1
OG0000110	XP_036574432.1	XP_031882937.1
OG0000110	XP_036579391.1	XP_031881135.1
OG0000111	XP_036580028.2	XP_031883621.2
OG0000111	XP_070062558.1	XP_031876545.1
OG0000112	XP_036587244.2	XP_031878319.1
OG0000112	XP_036579388.1	XP_031880990.1
OG0000113	XP_036585809.2	XP_031885552.1
OG0000113	XP_036588810.1	XP_031891602.1
OG0000114	XP_070059945.1	XP_031878233.1
OG0000114	XP_036577220.1	XP_031883517.1
OG0000115	XP_036577648.2	XP_031884489.1
OG0000115	XP_036589307.1	XP_031887164.1
OG0000116	XP_036577453.1, XP_036576505.1, XP_036584084.1, XP_036574472.1, XP_036582541.1, XP_036581371.1, XP_036575447.1, XP_036574296.1, XP_036589091.1, XP_036580453.1, XP_036581552.2, XP_036584340.1, XP_036580200.1, XP_036587785.2, XP_070059720.1	XP_066008530.1, XP_066009153.1, XP_066007611.1, XP_066006795.1, XP_031875469.2, XP_066008531.1
OG0000117	XP_036579081.1	XP_066008374.1
OG0000117	XP_036582596.1, XP_036577771.1, XP_070061367.1, XP_036575432.2, XP_036584421.2, XP_036579508.1	XP_066009038.1, XP_031877014.1, XP_066009258.1, XP_031880527.2
OG0000120	XP_036583668.1	XP_031879334.2
OG0000120	XP_036579819.1	XP_031884930.1
OG0000120	XP_036588528.1	XP_031887771.1
OG0000121	XP_036579751.1	XP_031884723.1
OG0000121	XP_036582531.2	XP_031883830.1
OG0000122	XP_070062129.1	XP_031884236.1
OG0000122	XP_036586604.2	XP_031886524.1
OG0000122	XP_070060318.1	XP_031887960.1, XP_031887961.1
OG0000123	XP_036584484.1	XP_066007208.1, XP_066007199.1, XP_031875665.2, XP_031875406.2
OG0000123	XP_036584641.1, XP_036576531.1	XP_031877558.1
OG0000124	XP_036579312.1, XP_036581343.1	XP_066008883.1, XP_031885995.1, XP_031883215.1, XP_031883067.1
OG0000125	XP_036589530.1	XP_031880255.1
OG0000125	XP_036580720.2	XP_031888194.1
OG0000127	XP_036581803.1	XP_031882866.1
OG0000127	XP_036583687.1	XP_031879341.1
OG0000127	XP_036579883.1	XP_066007621.1
OG0000128	XP_036583135.1	XP_031884205.1, XP_031881290.1
OG0000129	XP_070062408.1	XP_031888838.1
OG0000131	XP_070061790.1, XP_036584534.1	XP_031878456.2
OG0000132	XP_036579130.1	XP_031882996.1, XP_031889936.1, XP_031880413.2, XP_031880231.1, XP_031890551.1
OG0000133	XP_036579512.1	XP_031881970.1
OG0000133	XP_036579519.1	XP_031882082.1
OG0000135	XP_070060332.1	XP_066008381.1
OG0000137	XP_036581085.1	XP_031875400.2
OG0000138	XP_070061375.1	XP_031892419.1
OG0000138	XP_070059986.1	XP_031883866.1
OG0000138	XP_036580411.1	XP_031893606.1
OG0000140	XP_036578287.2	XP_031886437.1
OG0000142	XP_070060920.1	XP_031889924.1
OG0000142	XP_036579887.1	XP_031884947.1
OG0000142	XP_036582334.1	XP_031879805.1
OG0000143	XP_036582532.1	XP_031883833.1
OG0000144	XP_036586535.1	XP_031877258.1
OG0000144	XP_036582031.1	XP_031887529.1
OG0000145	XP_036585491.1	XP_031888490.1
OG0000145	XP_036583828.1	XP_031888158.1, XP_031879966.1
OG0000145	XP_036576744.1	XP_031879543.1
OG0000146	XP_036584613.1, XP_036576551.1, XP_070059855.1	XP_066009276.1, XP_066009128.1, XP_066007105.1, XP_066007331.1
OG0000147	XP_036578891.1	XP_066008113.1
OG0000147	XP_036586925.1	XP_031880067.1, XP_031885603.1
OG0000148	XP_036576663.1	XP_031883138.1
OG0000148	XP_036582049.1	XP_031888635.1
OG0000149	XP_036575944.1	XP_031878823.2
OG0000149	XP_036576981.1	XP_031889038.1
OG0000150	XP_036578055.1	XP_066008230.1, XP_031875377.2, XP_066006806.1, XP_066007001.1, XP_066006964.1, XP_031875235.2, XP_031875345.1, XP_066007053.1, XP_031875324.1, XP_066007066.1, XP_031892065.1
OG0000151	XP_036576471.1	XP_031878686.1
OG0000153	XP_036581453.1	XP_066008528.1, XP_066006750.1, XP_066008689.1, XP_066007354.1, XP_066007295.1, XP_066008934.1, XP_066006881.1, XP_066008349.1, XP_066008771.1, XP_066006868.1, XP_066007337.1, XP_066008669.1, XP_066006728.1
OG0000153	XP_036577783.1, XP_070059948.1, XP_070061261.1, XP_036584057.1	XP_066006999.1
OG0000154	XP_070060474.1	XP_031893119.1
OG0000154	XP_070062618.1	XP_031887772.1
OG0000155	XP_036575166.1	XP_031888162.1
OG0000155	XP_036578283.1	XP_031888011.2
OG0000155	XP_070061173.1	XP_031884753.1
OG0000156	XP_036585166.1	XP_031882714.1
OG0000156	XP_070061833.1	XP_031877449.1, XP_031891987.1
OG0000157	XP_036580082.1	XP_066008341.1
OG0000158	XP_036580147.2	XP_031892152.1
OG0000158	XP_036584425.1, XP_036584435.1, XP_036584493.2, XP_036586816.1, XP_036574891.1	XP_031887831.1
OG0000159	XP_036579325.1	XP_031878844.1, XP_031878843.1, XP_066008798.1, XP_066007555.1
OG0000160	XP_036582190.1, XP_036577774.1, XP_036577773.1	XP_031889518.2, XP_031877513.1
OG0000161	XP_070061213.1	XP_031892580.1
OG0000161	XP_070062508.1	XP_031880766.1
OG0000162	XP_070060187.1	XP_031878810.1, XP_031879298.2, XP_031876288.1, XP_031876205.2, XP_066006936.1
OG0000164	XP_036580007.2	XP_031892619.2
OG0000165	XP_070061253.1, XP_036582290.2, XP_070062288.1, XP_070061528.1, XP_036585418.1, XP_036574754.1, XP_070061935.1, XP_036588078.1, XP_070060424.1	XP_066009775.1, XP_066006979.1, XP_066007652.1, XP_066006862.1, XP_066009366.1, XP_066007836.1, XP_066008300.1, XP_066008504.1, XP_066007853.1
OG0000170	XP_036578624.1	XP_031884243.1
OG0000170	XP_036577200.1	XP_031889512.1
OG0000171	XP_070061185.1, XP_036587722.1	XP_031879658.2
OG0000172	XP_070062206.1	XP_031882352.1
OG0000172	XP_036585165.1	XP_031882708.1
OG0000174	XP_036581105.1	XP_031876358.1
OG0000174	XP_070060701.1	XP_031879226.1
OG0000175	XP_036579948.1	XP_031877898.2
OG0000175	XP_036574966.1	XP_031886170.1
OG0000175	XP_036581039.2	XP_031886168.1
OG0000176	XP_070061738.1	XP_031886177.1
OG0000177	XP_036577787.1	XP_066009403.1
OG0000178	XP_036587178.2	XP_031876808.1
OG0000178	XP_036577946.2	XP_066008054.1
OG0000179	XP_070061313.1	XP_031892900.1
OG0000179	XP_036582565.2	XP_031883808.1
OG0000180	XP_036579978.1	XP_031877923.1
OG0000181	XP_036580310.1	XP_031877144.1
OG0000181	XP_036576246.1	XP_031892110.1
OG0000182	XP_036586896.1	XP_031878954.1
OG0000182	XP_070060435.1	XP_031883079.1
OG0000183	XP_036584589.1, XP_036576566.1, XP_036584492.1	XP_031877540.1, XP_031875659.2, XP_066007202.1, XP_066007236.1, XP_031875869.2
OG0000184	XP_070061938.1	XP_031883721.2, XP_031887336.1, XP_031885082.1, XP_066006812.1, XP_066008615.1, XP_031889288.2, XP_066006869.1, XP_031891068.2, XP_066006726.1, XP_031893285.2, XP_031875509.1, XP_066007286.1, XP_066006914.1, XP_066007185.1, XP_066006919.1, XP_066008940.1
OG0000185	XP_070062466.1, XP_070061465.1, XP_036578802.1, XP_036583732.1, XP_070060918.1	XP_066009590.1
OG0000185	XP_036584354.1	XP_031888068.2
OG0000186	XP_036586926.1	XP_031885604.1
OG0000186	XP_036580313.1	XP_031893196.1
OG0000187	XP_036582664.1	XP_031880798.2
OG0000188	XP_036584213.1	XP_031883357.1
OG0000188	XP_036583688.1	XP_031879304.1
OG0000189	XP_036583674.1	XP_031878927.2
OG0000189	XP_036582063.1	XP_066007420.1
OG0000189	XP_036587683.1	XP_031878458.1
OG0000190	XP_036589583.1	XP_031880243.1, XP_031883417.2, XP_031883679.1, XP_031887848.1
OG0000191	XP_036582186.1	XP_031878464.1
OG0000191	XP_036576988.1	XP_031879403.1
OG0000191	XP_036589181.1	XP_066008216.1
OG0000192	XP_036587214.1	XP_031883459.1, XP_066008664.1
OG0000192	XP_036575663.1	XP_031882333.1
OG0000192	XP_036589938.1, XP_036589631.1	XP_031891147.1
OG0000196	XP_036587061.1	XP_031885861.1
OG0000197	XP_070061924.1	XP_031876338.1
OG0000197	XP_036586873.1	XP_031887538.1
OG0000197	XP_036580399.1	XP_031878860.1
OG0000198	XP_036578809.1	XP_031880440.1
OG0000198	XP_036583915.1	XP_031884191.2
OG0000201	XP_036584064.1	XP_031879948.1
OG0000202	XP_036584058.1	XP_031885556.1
OG0000203	XP_070060705.1	XP_066009155.1
OG0000203	XP_036589925.1	XP_031889330.1
OG0000204	XP_036582555.2	XP_031884050.1, XP_031884046.2, XP_031884045.1
OG0000205	XP_036577357.1	XP_031882960.1
OG0000207	XP_036580312.1	XP_031877126.1
OG0000207	XP_070061372.1	XP_031880403.1
OG0000208	XP_036576782.1	XP_066008226.1, XP_066007732.1, XP_031875335.1, XP_031875333.1, XP_066007597.1, XP_066008312.1, XP_031885237.1
OG0000208	XP_036583714.1	XP_031889663.1
OG0000210	XP_036587157.1	XP_031889878.2
OG0000210	XP_036589054.1	XP_066007303.1, XP_031876965.1
OG0000212	XP_070062662.1	XP_031881083.1
OG0000212	XP_070060740.1	XP_031876057.1
OG0000213	XP_070059978.1	XP_031881610.1
OG0000214	XP_036581030.1	XP_031881265.1, XP_031888698.1, XP_031893287.1, XP_031886158.1
OG0000216	XP_036581420.1	XP_031889686.1
OG0000218	XP_036582128.1	XP_031876862.1
OG0000219	XP_036580046.1	XP_031883494.1
OG0000219	XP_036587155.1	XP_031876123.2
OG0000220	XP_036576157.1	XP_031893537.1
OG0000220	XP_036581510.1	XP_031889643.1
OG0000221	XP_036587228.1	XP_066009896.1, XP_031878290.1, XP_031878287.1
OG0000222	XP_036585998.1	XP_031877985.1
OG0000222	XP_070062151.1	XP_031885608.1
OG0000224	XP_036575739.1	XP_031880532.1
OG0000224	XP_036575643.1	XP_066008997.1, XP_066009863.1
OG0000225	XP_036589905.1	XP_031889375.1
OG0000226	XP_036579342.1	XP_031888813.2
OG0000226	XP_036575103.1	XP_031887823.1
OG0000227	XP_036574751.1	XP_031876870.1
OG0000227	XP_036579469.1	XP_031881032.2
OG0000228	XP_036586943.1	XP_031885764.1
OG0000228	XP_036582595.1	XP_031884073.2
OG0000229	XP_036576254.1	XP_031892114.1
OG0000229	XP_036581029.1	XP_031885908.1
OG0000230	XP_070060527.1	XP_031893104.2
OG0000231	XP_036586866.1	XP_031878898.1
OG0000231	XP_036589590.1, XP_036587986.1	XP_031880183.1
OG0000232	XP_036586825.2	XP_031885108.1
OG0000232	XP_036583958.1	XP_066007415.1
OG0000233	XP_036580402.2	XP_031879100.2
OG0000233	XP_036587708.1	XP_031877944.2
OG0000234	XP_036578965.1	XP_031881677.1
