HOG	OG	Gene Tree Parent Clade	Colletotrichum_abscissum	Colletotrichum_acutatum	Colletotrichum_fructicola	Colletotrichum_gloeosporioides	Colletotrichum_godetiae	Colletotrichum_karsti	Colletotrichum_siamense	Colletotrichum_truncatum
N5.HOG0000029	OG0000002	n46			XP_031884130.1	XP_045259138.1			XP_036501975.1	
N5.HOG0000030	OG0000002	n51				XP_045263743.1			XP_036500934.1	
N5.HOG0000031	OG0000002	n64			XP_031889624.1	XP_045269804.1			XP_036491792.1	
N5.HOG0000032	OG0000002	n67			XP_066009251.1	XP_045268680.1			XP_036493966.1	
N5.HOG0000033	OG0000002	n73			XP_031879385.1	XP_045267720.1			XP_036502410.1	
N5.HOG0000034	OG0000002	n78			XP_066007328.1	XP_045262999.1			XP_036494525.1	
N5.HOG0000035	OG0000002	n86			XP_031878257.1	XP_045257237.1			XP_036500478.1	
N5.HOG0000036	OG0000002	n89			XP_066007534.1	XP_045261135.1			XP_036488845.1	
N5.HOG0000037	OG0000002	n96			XP_066009179.1	XP_045257918.1			XP_036494317.1	
N5.HOG0000038	OG0000002	n99				XP_045265005.1				
N5.HOG0000039	OG0000002	n103			XP_031879045.1	XP_045257973.1			XP_036495012.1	
N5.HOG0000040	OG0000003	n1			XP_031877859.1	XP_045265768.1			XP_036501204.1	
N5.HOG0000041	OG0000003	n11			XP_031884430.1	XP_045258913.1			XP_036492277.1	
N5.HOG0000042	OG0000003	n14			XP_031890123.1	XP_045257401.1			XP_036495057.1	
N5.HOG0000043	OG0000003	n29			XP_031879030.1	XP_045258026.1			XP_036494043.1	
N5.HOG0000044	OG0000003	n33			XP_031886825.1	XP_045266664.1			XP_036492461.1	
N5.HOG0000045	OG0000003	n40			XP_031880905.1	XP_045266150.1			XP_036488495.1	
N5.HOG0000046	OG0000003	n51			XP_031882855.1	XP_045265820.1				
N5.HOG0000047	OG0000003	n58				XP_045259914.1				
N5.HOG0000048	OG0000003	n59				XP_045257917.1			XP_036494312.1	
N5.HOG0000049	OG0000003	n62			XP_031883473.1	XP_045269962.1			XP_036500242.1	
N5.HOG0000050	OG0000003	n69			XP_066007760.1				XP_036493278.1	
N5.HOG0000051	OG0000003	n75			XP_031892929.1	XP_045268602.1			XP_036495065.1	
N5.HOG0000052	OG0000003	n82			XP_031884263.1	XP_045262954.1			XP_036502893.1	
N5.HOG0000053	OG0000003	n90			XP_031876867.1	XP_045259006.1			XP_036493661.1	
N5.HOG0000054	OG0000003	n93			XP_031885127.1	XP_045266940.1			XP_036495366.1	
N5.HOG0000055	OG0000004	n11							XP_036492242.1, XP_036490750.1, XP_036490361.1, XP_036489634.1, XP_036501323.1, XP_036489077.1, XP_036489453.1, XP_036489212.1, XP_036498341.1, XP_036492308.1, XP_036488984.1, XP_036489119.1, XP_036490877.1, XP_036490932.1, XP_036488766.1, XP_036490297.1, XP_036487865.1, XP_036497594.1, XP_036487755.1, XP_036498931.1, XP_036492135.1, XP_036487889.1, XP_036489172.1, XP_036501030.1, XP_036495208.1, XP_036490325.1, XP_036501337.1, XP_036490942.1, XP_036493903.1, XP_036502756.1, XP_036499906.1, XP_036489552.1, XP_036497341.1, XP_036498530.1, XP_036502562.1, XP_036494451.1, XP_036496412.1, XP_036498381.1, XP_036501942.1, XP_036491295.1, XP_036493862.1, XP_036497261.1, XP_036501572.1, XP_036496061.1, XP_036492998.1, XP_036499873.1, XP_036493709.1, XP_036497129.1, XP_036494859.1, XP_036492521.1, XP_036501811.1, XP_036498567.1, XP_036491571.1, XP_036493023.1, XP_036493095.1, XP_036493053.1, XP_036499281.1, XP_036488582.1, XP_036502840.1, XP_036493098.1, XP_036491348.1, XP_036493321.1, XP_036498169.1	
N5.HOG0000056	OG0000004	n86							XP_036494364.1	
N5.HOG0000057	OG0000005	n5			XP_031885484.1	XP_045258623.1			XP_036500004.1	
N5.HOG0000058	OG0000005	n7			XP_066007217.1	XP_045256723.1			XP_036494945.1	
N5.HOG0000059	OG0000005	n11			XP_031878093.1, XP_031893401.2	XP_045261007.1			XP_036488430.1, XP_036495080.1	
N5.HOG0000060	OG0000005	n16			XP_031883663.1	XP_045259354.1			XP_036499221.1	
N5.HOG0000061	OG0000005	n22			XP_031888063.1	XP_045261341.1			XP_036490222.1	
N5.HOG0000062	OG0000005	n25			XP_066007372.1	XP_045271000.1			XP_036488861.1	
N5.HOG0000063	OG0000005	n31				XP_045265148.1, XP_045264830.1				
N5.HOG0000064	OG0000005	n36			XP_031882619.1	XP_045263060.1			XP_036494792.1	
N5.HOG0000065	OG0000005	n38			XP_066009441.1	XP_045263638.1			XP_036497094.1	
N5.HOG0000066	OG0000005	n40				XP_045271041.1, XP_045262492.1, XP_045256205.1, XP_045265992.1, XP_045264820.1, XP_045269071.1, XP_045261382.1, XP_045258050.1, XP_045256406.1, XP_045263328.1, XP_045261517.1, XP_045261183.1, XP_045265401.1, XP_045267867.1, XP_045261440.1, XP_045259543.1, XP_045263922.1, XP_045265766.1				
N5.HOG0000067	OG0000005	n59			XP_066009402.1	XP_045257604.1			XP_036497196.1	
N5.HOG0000068	OG0000005	n63			XP_066009057.1, XP_066009056.1, XP_031892266.1				XP_036494853.1, XP_036496876.1	
N5.HOG0000069	OG0000005	n73			XP_031891255.1	XP_045263814.1			XP_036501598.1	
N5.HOG0000070	OG0000005	n76			XP_031878347.2	XP_045257257.1			XP_036500396.1	
N5.HOG0000071	OG0000005	n78			XP_031886563.1	XP_045263231.1			XP_036495414.1	
N5.HOG0000072	OG0000005	n83			XP_031884256.1	XP_045259151.1			XP_036502086.1	
N5.HOG0000073	OG0000005	n85			XP_031881538.2	XP_045264508.1			XP_036490827.1	
N5.HOG0000074	OG0000005	n87			XP_031882119.1	XP_045265263.1			XP_036496619.1	
N5.HOG0000075	OG0000007	n1			XP_031891853.1	XP_045260514.1			XP_036496109.1	
N5.HOG0000076	OG0000007	n9			XP_031888035.1	XP_045261201.1			XP_036491239.1	
N5.HOG0000077	OG0000007	n16			XP_031879776.1	XP_045257729.1			XP_036493442.1	
N5.HOG0000078	OG0000007	n25			XP_031892924.1	XP_045257532.1			XP_036494883.1	
N5.HOG0000079	OG0000007	n34			XP_031886196.1				XP_036500517.1	
N5.HOG0000080	OG0000007	n40			XP_066008736.1	XP_045268873.1			XP_036495313.1	
N5.HOG0000081	OG0000007	n46			XP_031884466.1	XP_045269482.1			XP_036491644.1	
N5.HOG0000082	OG0000007	n55			XP_031879231.1	XP_045266165.1			XP_036488714.1	
N5.HOG0000083	OG0000007	n62			XP_031885954.1	XP_045264675.1			XP_036500589.1	
N5.HOG0000084	OG0000007	n69			XP_031892101.1	XP_045268895.1			XP_036495376.1	
N5.HOG0000085	OG0000008	n1			XP_066008629.1, XP_031886231.1, XP_066009467.1				XP_036495409.1, XP_036502454.1, XP_036498352.1	
N5.HOG0000086	OG0000008	n11			XP_066008419.1				XP_036499970.1	
N5.HOG0000087	OG0000008	n14			XP_031886248.2				XP_036499969.1	
N5.HOG0000088	OG0000008	n18			XP_066009991.1				XP_036502455.1	
N5.HOG0000089	OG0000008	n24			XP_066008382.1					
N5.HOG0000090	OG0000008	n26			XP_066008038.1				XP_036491866.1	
N5.HOG0000091	OG0000008	n35			XP_066008418.1, XP_066009561.1					
N5.HOG0000092	OG0000008	n43			XP_031882243.1				XP_036498743.1	
N5.HOG0000093	OG0000008	n46			XP_031879048.2				XP_036495099.1	
N5.HOG0000094	OG0000008	n49			XP_066009880.1				XP_036499185.1	
N5.HOG0000095	OG0000008	n53			XP_066008684.1				XP_036496070.1	
N5.HOG0000096	OG0000008	n54			XP_066008851.1, XP_066008989.1				XP_036495410.1, XP_036489804.1	
N5.HOG0000097	OG0000008	n61			XP_066008765.1				XP_036496470.1	
N5.HOG0000098	OG0000008	n63			XP_066009368.1, XP_031882332.2				XP_036497996.1, XP_036497383.1	
N5.HOG0000099	OG0000008	n67			XP_066008596.1, XP_066008595.1, XP_066007654.1				XP_036496629.1, XP_036495985.1, XP_036492788.1	
N5.HOG0000100	OG0000009	n1			XP_031879160.1	XP_045266170.1			XP_036488279.1	
N5.HOG0000101	OG0000009	n9			XP_031886674.1	XP_045266649.1			XP_036491834.1	
N5.HOG0000102	OG0000009	n18			XP_031877969.1	XP_045270044.1			XP_036499963.1	
N5.HOG0000103	OG0000009	n26			XP_031891005.1	XP_045270865.1			XP_036488623.1	
N5.HOG0000104	OG0000009	n36			XP_031876103.1	XP_045266537.1			XP_036490974.1	
N5.HOG0000105	OG0000009	n43							XP_036490690.1	
N5.HOG0000106	OG0000009	n45			XP_031875698.1	XP_045257284.1			XP_036499364.1	
N5.HOG0000107	OG0000009	n53			XP_031884954.1	XP_045271349.1			XP_036492836.1	
N5.HOG0000108	OG0000009	n60			XP_031878188.1	XP_045267669.1			XP_036501215.1	
N5.HOG0000109	OG0000010	n0			XP_031884033.1, XP_066008893.1, XP_066009748.1, XP_066008397.1, XP_066006713.1, XP_066008849.1, XP_066008102.1, XP_066009986.1, XP_066007392.1, XP_066009362.1, XP_066006834.1, XP_066007908.1, XP_066009298.1, XP_066006747.1, XP_066007287.1, XP_066008778.1, XP_066007966.1, XP_066007706.1, XP_066007110.1, XP_066006720.1, XP_066007482.1, XP_066007036.1, XP_066007637.1, XP_066009431.1, XP_066007743.1, XP_066007816.1, XP_066008437.1, XP_066008148.1, XP_066006840.1, XP_066008151.1, XP_066007733.1, XP_066006874.1, XP_066006804.1, XP_066009361.1, XP_066007907.1				XP_036487784.1, XP_036490053.1, XP_036488754.1, XP_036487850.1, XP_036487828.1, XP_036487877.1, XP_036500250.1, XP_036497732.1, XP_036492251.1, XP_036490885.1, XP_036493536.1, XP_036487824.1, XP_036487911.1, XP_036487815.1, XP_036487861.1, XP_036488248.1, XP_036497564.1, XP_036502201.1, XP_036499679.1, XP_036494087.1, XP_036492134.1, XP_036487869.1, XP_036487817.1, XP_036487878.1, XP_036489889.1, XP_036487821.1, XP_036490947.1, XP_036489888.1, XP_036487805.1, XP_036487819.1, XP_036487823.1	
N5.HOG0000110	OG0000011	n0			XP_066007712.1, XP_066006766.1, XP_066009976.1, XP_066008011.1, XP_031880858.2, XP_066007776.1, XP_066009104.1, XP_066007958.1, XP_031890814.2, XP_066007926.1, XP_066007673.1, XP_066007054.1, XP_066009651.1, XP_031879601.2, XP_031876250.1, XP_066008668.1, XP_066007115.1, XP_066009804.1, XP_066008246.1, XP_066007768.1, XP_066008861.1, XP_066008112.1, XP_066009424.1, XP_066006941.1, XP_031877552.2, XP_031892536.2, XP_031880428.2, XP_066006911.1, XP_031884948.2, XP_031881133.2, XP_066008992.1, XP_031875650.2, XP_066009877.1, XP_066006722.1, XP_066008916.1, XP_031882061.2, XP_066007256.1, XP_066007349.1, XP_031881877.2, XP_066008529.1, XP_066008270.1, XP_066008688.1, XP_066008836.1, XP_066009324.1, XP_066010003.1, XP_066008573.1, XP_066007695.1, XP_066006731.1, XP_066007080.1, XP_066008965.1, XP_031881496.2, XP_066006943.1, XP_066009363.1, XP_031881878.2, XP_066008905.1, XP_066009005.1, XP_031883897.2, XP_031876226.2, XP_066007628.1, XP_066007532.1, XP_031879293.2, XP_031891608.2, XP_066006913.1					
N5.HOG0000111	OG0000012	n1			XP_031882357.1	XP_045268575.1			XP_036490033.1	
N5.HOG0000112	OG0000012	n9			XP_031881977.2	XP_045265200.1			XP_036496930.1	
N5.HOG0000113	OG0000012	n15			XP_031893580.1	XP_045268671.1			XP_036494573.1	
N5.HOG0000114	OG0000012	n21			XP_031889787.2				XP_036491536.1	
N5.HOG0000115	OG0000012	n35			XP_031876679.1	XP_045261078.1			XP_036488022.1	
N5.HOG0000116	OG0000012	n42			XP_031879010.1	XP_045258025.1			XP_036494044.1	
N5.HOG0000117	OG0000012	n51			XP_031880076.2					
N5.HOG0000118	OG0000012	n54			XP_031883699.1	XP_045259368.1			XP_036500192.1	
N5.HOG0000119	OG0000014	n1			XP_031877046.1	XP_045270236.1			XP_036501333.1	
N5.HOG0000120	OG0000014	n12			XP_031876680.1	XP_045261063.1			XP_036488372.1	
N5.HOG0000121	OG0000014	n19			XP_031887509.1	XP_045266342.1			XP_036497809.1	
N5.HOG0000122	OG0000014	n21			XP_031890603.1	XP_045263961.1			XP_036501856.1	
N5.HOG0000123	OG0000014	n29			XP_031890843.2	XP_045260775.1			XP_036488993.1	
N5.HOG0000124	OG0000014	n37			XP_066008557.1	XP_045261682.1			XP_036499532.1	
N5.HOG0000125	OG0000014	n48			XP_066007834.1	XP_045265112.1			XP_036492143.1, XP_036491525.1	
N5.HOG0000126	OG0000014	n53			XP_031878291.1	XP_045257268.1			XP_036500328.1	
N5.HOG0000127	OG0000015	n11			XP_066009789.1					
N5.HOG0000128	OG0000015	n15			XP_031876459.2	XP_045257154.1			XP_036500333.1	
N5.HOG0000129	OG0000015	n17			XP_066007320.1	XP_045269300.1, XP_045257913.1			XP_036488062.1	
N5.HOG0000130	OG0000015	n26				XP_045264778.1				
N5.HOG0000131	OG0000015	n30			XP_066008914.1	XP_045268064.1, XP_045268066.1			XP_036491514.1	
N5.HOG0000132	OG0000015	n36			XP_066008106.1	XP_045261256.1				
N5.HOG0000133	OG0000015	n41			XP_031885778.1				XP_036499956.1	
N5.HOG0000134	OG0000015	n46			XP_031882141.1	XP_045263481.1				
N5.HOG0000135	OG0000015	n48			XP_066008121.1, XP_031886805.1	XP_045266642.1			XP_036492495.1	
N5.HOG0000136	OG0000015	n51				XP_045261345.1			XP_036497572.1, XP_036502390.1	
N5.HOG0000137	OG0000016	n1			XP_031880285.1	XP_045268108.1			XP_036489583.1	
N5.HOG0000138	OG0000016	n10			XP_031876331.1	XP_045271029.1			XP_036499009.1	
N5.HOG0000139	OG0000016	n17			XP_031883261.1	XP_045260904.1			XP_036488671.1	
N5.HOG0000140	OG0000016	n21			XP_031877054.1	XP_045270259.1			XP_036501233.1	
N5.HOG0000141	OG0000016	n29			XP_031879498.1	XP_045261571.1			XP_036499112.1	
N5.HOG0000142	OG0000016	n39			XP_031877246.1	XP_045265956.1			XP_036488839.1	
N5.HOG0000143	OG0000016	n41			XP_031885199.1	XP_045266826.1			XP_036496985.1	
N5.HOG0000144	OG0000016	n45			XP_031891541.1	XP_045263857.1			XP_036501416.1	
N5.HOG0000145	OG0000017	n2			XP_031885060.2	XP_045266928.1			XP_036495546.1	
N5.HOG0000146	OG0000017	n8			XP_066009939.1	XP_045267817.1			XP_036501719.1	
N5.HOG0000147	OG0000017	n18			XP_031887534.1	XP_045262462.1			XP_036497675.1	
N5.HOG0000148	OG0000017	n25			XP_031882331.1	XP_045263525.1			XP_036498309.1	
N5.HOG0000149	OG0000017	n40			XP_031881014.1	XP_045269008.1			XP_036497906.1	
N5.HOG0000150	OG0000017	n43			XP_031876845.1	XP_045257135.1			XP_036500254.1	
N5.HOG0000151	OG0000017	n46			XP_031877837.2	XP_045265779.1			XP_036502161.1	
N5.HOG0000152	OG0000018	n3			XP_031883195.1	XP_045267420.1			XP_036495845.1	
N5.HOG0000153	OG0000018	n6			XP_031881758.1					
N5.HOG0000154	OG0000018	n10			XP_031881787.1	XP_045259861.1			XP_036500175.1	
N5.HOG0000155	OG0000018	n16			XP_031878868.1	XP_045261750.1			XP_036498532.1	
N5.HOG0000156	OG0000018	n22				XP_045269504.1			XP_036491986.1	
N5.HOG0000157	OG0000018	n23			XP_031884569.1, XP_031891833.1	XP_045268940.1			XP_036496484.1	
N5.HOG0000158	OG0000018	n26			XP_066007794.1	XP_045258981.1			XP_036493287.1	
N5.HOG0000159	OG0000018	n36			XP_031878172.1	XP_045260978.1			XP_036488781.1	
N5.HOG0000160	OG0000018	n38				XP_045261206.1			XP_036491241.1	
N5.HOG0000161	OG0000018	n39				XP_045263914.1			XP_036502903.1	
N5.HOG0000162	OG0000019	n1			XP_066007478.1	XP_045266134.1			XP_036488105.1	
N5.HOG0000163	OG0000019	n17			XP_066009012.1	XP_045268713.1			XP_036494036.1	
N5.HOG0000164	OG0000019	n20			XP_031892157.1	XP_045260527.1			XP_036495462.1	
N5.HOG0000165	OG0000019	n23			XP_031881790.1	XP_045259856.1			XP_036500388.1	
N5.HOG0000166	OG0000019	n32			XP_031885121.1				XP_036495983.1	
N5.HOG0000167	OG0000019	n35			XP_031885119.1				XP_036495979.1	
N5.HOG0000168	OG0000019	n37			XP_031885122.1				XP_036495981.1	
N5.HOG0000169	OG0000019	n43			XP_031878451.1	XP_045257775.1			XP_036493165.1	
N5.HOG0000170	OG0000020	n1							XP_036494998.1	
N5.HOG0000171	OG0000020	n20							XP_036497248.1	
N5.HOG0000172	OG0000021	n1			XP_031881524.2	XP_045264872.1			XP_036493440.1	
N5.HOG0000173	OG0000021	n8			XP_031877003.2					
N5.HOG0000174	OG0000021	n10			XP_031884356.1	XP_045259100.1			XP_036500955.1	
N5.HOG0000175	OG0000021	n27			XP_066006783.1, XP_066009279.1					
N5.HOG0000176	OG0000021	n29			XP_066007123.1					
N5.HOG0000177	OG0000021	n31			XP_066008886.1					
N5.HOG0000178	OG0000021	n32			XP_066006846.1					
N5.HOG0000179	OG0000021	n33			XP_031889741.1					
N5.HOG0000180	OG0000021	n37			XP_066008820.1	XP_045265250.1			XP_036496508.1	
N5.HOG0000181	OG0000021	n42			XP_031893167.1	XP_045267277.1			XP_036494659.1	
N5.HOG0000182	OG0000023	n1			XP_031878091.1	XP_045261010.1			XP_036488348.1	
N5.HOG0000183	OG0000023	n10			XP_031892238.1	XP_045260488.1			XP_036495698.1	
N5.HOG0000184	OG0000023	n14			XP_031890882.1	XP_045260626.1			XP_036488063.1	
N5.HOG0000185	OG0000023	n23			XP_031879411.1	XP_045261585.1			XP_036499297.1	
N5.HOG0000186	OG0000023	n30			XP_031892487.1	XP_045268220.1			XP_036489741.1	
N5.HOG0000187	OG0000023	n41			XP_031885872.1	XP_045260319.1			XP_036499311.1	
N5.HOG0000188	OG0000023	n44			XP_031885599.1				XP_036499951.1	
N5.HOG0000189	OG0000024	n1			XP_031889216.1	XP_045267895.1			XP_036489226.1	
N5.HOG0000190	OG0000024	n11			XP_031884867.1	XP_045271336.1			XP_036492988.1	
N5.HOG0000191	OG0000024	n17			XP_031880891.1				XP_036488107.1	
N5.HOG0000192	OG0000024	n24			XP_031876143.1	XP_045269445.1			XP_036499948.1	
N5.HOG0000193	OG0000024	n28			XP_031878865.1	XP_045261730.1			XP_036497550.1	
N5.HOG0000194	OG0000024	n35			XP_031877260.1	XP_045266000.1			XP_036488952.1	
N5.HOG0000195	OG0000026	n1			XP_066007451.1	XP_045265987.1			XP_036488905.1	
N5.HOG0000196	OG0000026	n9			XP_066008324.1	XP_045266356.1			XP_036490179.1, XP_036499147.1	
N5.HOG0000197	OG0000026	n16			XP_031885312.1	XP_045265695.1			XP_036495148.1	
N5.HOG0000198	OG0000026	n27			XP_066007866.1	XP_045269525.1			XP_036492306.1	
N5.HOG0000199	OG0000026	n29			XP_031882657.2	XP_045263044.1			XP_036494910.1	
N5.HOG0000200	OG0000026	n31			XP_066008338.1				XP_036502260.1	
N5.HOG0000201	OG0000026	n32			XP_031884203.1	XP_045270172.1			XP_036501569.1	
N5.HOG0000202	OG0000026	n35			XP_066009777.1	XP_045265549.1			XP_036501435.1	
N5.HOG0000203	OG0000028	n1			XP_031879121.1	XP_045257477.1			XP_036494856.1	
N5.HOG0000204	OG0000028	n14			XP_031877448.1	XP_045267627.1			XP_036502180.1	
N5.HOG0000205	OG0000028	n21			XP_031892844.1	XP_045266376.1, XP_045257443.1			XP_036490429.1	
N5.HOG0000206	OG0000028	n28			XP_031878662.2	XP_045257481.1			XP_036494902.1	
N5.HOG0000207	OG0000028	n34			XP_031883762.1	XP_045256637.1			XP_036493585.1	
N5.HOG0000208	OG0000029	n6			XP_066009220.1					
N5.HOG0000209	OG0000029	n7			XP_066008392.1, XP_066008117.1, XP_066008379.1, XP_066008380.1, XP_031886350.2					
N5.HOG0000210	OG0000029	n14			XP_066009833.1					
N5.HOG0000211	OG0000029	n15			XP_066009619.1					
N5.HOG0000212	OG0000029	n16			XP_031887844.1, XP_031891511.2					
N5.HOG0000213	OG0000029	n18			XP_066009808.1, XP_066009648.1, XP_066009423.1, XP_031887930.2, XP_066008039.1, XP_031883646.2, XP_066008072.1, XP_066007720.1, XP_066009558.1, XP_066008868.1, XP_066008865.1, XP_066008867.1, XP_031876271.1, XP_066007452.1, XP_066007449.1					
N5.HOG0000214	OG0000029	n33			XP_066008357.1, XP_066009498.1, XP_066009499.1					
N5.HOG0000215	OG0000029	n36			XP_066007614.1, XP_066008985.1, XP_031887659.2					
N5.HOG0000216	OG0000029	n38			XP_031891453.2					
N5.HOG0000217	OG0000029	n39			XP_031892500.2, XP_066008104.1, XP_066009411.1					
N5.HOG0000218	OG0000031	n1			XP_031877294.1	XP_045261170.1			XP_036488790.1	
N5.HOG0000219	OG0000031	n9			XP_066007137.1	XP_045256974.1				
N5.HOG0000220	OG0000031	n15			XP_031880080.2	XP_045270959.1			XP_036487965.1	
N5.HOG0000221	OG0000031	n26			XP_031876132.1	XP_045269450.1			XP_036499944.1	
N5.HOG0000222	OG0000031	n28				XP_045263142.1			XP_036495246.1	
N5.HOG0000223	OG0000031	n30			XP_031889964.1	XP_045269569.1			XP_036492221.1	
N5.HOG0000224	OG0000031	n36			XP_031888596.1				XP_036490014.1	
N5.HOG0000225	OG0000032	n5			XP_066008146.1	XP_045266811.1			XP_036490828.1	
N5.HOG0000226	OG0000032	n7							XP_036490373.1	
N5.HOG0000227	OG0000032	n15			XP_066006938.1, XP_031876210.2, XP_066007267.1, XP_066008145.1	XP_045266470.1			XP_036491022.1	
N5.HOG0000228	OG0000032	n32			XP_066009773.1, XP_031892476.1					
N5.HOG0000229	OG0000033	n1			XP_066006930.1	XP_045264174.1			XP_036493005.1	
N5.HOG0000230	OG0000033	n14				XP_045262109.1				
N5.HOG0000231	OG0000033	n24				XP_045270857.1				
N5.HOG0000232	OG0000033	n29			XP_031893615.1	XP_045259978.1			XP_036494215.1	
N5.HOG0000233	OG0000033	n34			XP_066009686.1	XP_045257179.1			XP_036499378.1	
N5.HOG0000234	OG0000034	n1			XP_031882598.1	XP_045263085.1			XP_036494491.1	
N5.HOG0000235	OG0000034	n14			XP_031888869.1				XP_036498572.1	
N5.HOG0000236	OG0000034	n16			XP_066009786.1	XP_045267725.1			XP_036502403.1	
N5.HOG0000237	OG0000034	n25			XP_031881193.1	XP_045270159.1			XP_036499396.1	
N5.HOG0000238	OG0000034	n29			XP_031881139.1	XP_045269028.1			XP_036497376.1	
N5.HOG0000239	OG0000035	n1			XP_031891597.1	XP_045256568.1			XP_036490914.1	
N5.HOG0000240	OG0000035	n10			XP_031877314.1	XP_045259085.1			XP_036493895.1	
N5.HOG0000241	OG0000035	n17			XP_031887969.1	XP_045256775.1			XP_036490320.1	
N5.HOG0000242	OG0000035	n25				XP_045270861.1			XP_036488737.1	
N5.HOG0000243	OG0000035	n33				XP_045264968.1				
N5.HOG0000244	OG0000035	n34				XP_045268765.1, XP_045260563.1			XP_036496362.1	
N5.HOG0000245	OG0000036	n0			XP_031887382.1	XP_045264890.1				
N5.HOG0000246	OG0000037	n1			XP_031876440.1	XP_045261096.1			XP_036487993.1	
N5.HOG0000247	OG0000037	n9				XP_045270941.1				
N5.HOG0000248	OG0000037	n16			XP_031881416.2	XP_045264881.1			XP_036493393.1	
N5.HOG0000249	OG0000037	n25			XP_031875551.1	XP_045267710.1			XP_036501392.1	
N5.HOG0000250	OG0000037	n28			XP_031878699.1	XP_045257505.1			XP_036494326.1	
N5.HOG0000251	OG0000038	n1			XP_031878512.1	XP_045258960.1			XP_036492752.1	
N5.HOG0000252	OG0000038	n9			XP_031884139.2					
N5.HOG0000253	OG0000038	n15			XP_031884826.1	XP_045260204.1			XP_036492782.1	
N5.HOG0000254	OG0000038	n24			XP_066008711.1					
N5.HOG0000255	OG0000038	n25			XP_066008632.1					
N5.HOG0000256	OG0000038	n28			XP_031878131.1	XP_045261040.1			XP_036488911.1	
N5.HOG0000257	OG0000039	n2			XP_066009404.1	XP_045257600.1			XP_036497200.1	
N5.HOG0000258	OG0000039	n7			XP_031883634.1	XP_045263406.1, XP_045259398.1			XP_036494942.1	
N5.HOG0000259	OG0000039	n18			XP_031889719.2	XP_045265097.1			XP_036492170.1	
N5.HOG0000260	OG0000039	n24			XP_031882338.2, XP_066009428.1	XP_045263475.1			XP_036498767.1	
N5.HOG0000261	OG0000039	n28			XP_031889720.2	XP_045267267.1			XP_036492553.1	
N5.HOG0000262	OG0000039	n33			XP_031893535.2	XP_045267266.1				
N5.HOG0000263	OG0000040	n1			XP_031876848.1	XP_045257150.1			XP_036499274.1	
N5.HOG0000264	OG0000040	n11			XP_066006980.1	XP_045267145.1				
N5.HOG0000265	OG0000040	n25			XP_031880555.1, XP_066009255.1, XP_066007201.1, XP_031875855.2, XP_031877598.2, XP_031878971.1				XP_036495255.1	
N5.HOG0000266	OG0000041	n1			XP_066008809.1, XP_031878989.2	XP_045267024.1			XP_036496965.1	
N5.HOG0000267	OG0000041	n10			XP_066008958.1, XP_066007124.1, XP_066007260.1					
