HOG	OG	Gene Tree Parent Clade	Colletotrichum_abscissum	Colletotrichum_acutatum	Colletotrichum_fructicola	Colletotrichum_gloeosporioides	Colletotrichum_godetiae	Colletotrichum_karsti	Colletotrichum_siamense	Colletotrichum_truncatum
N3.HOG0000076	OG0000009	n35	XP_060397061.1	XP_060367982.1						
N3.HOG0000077	OG0000009	n45	XP_060405039.1	XP_060365596.1						
N3.HOG0000078	OG0000009	n53	XP_060395651.1	XP_060365779.1						
N3.HOG0000079	OG0000009	n60	XP_060400702.1	XP_060359213.1						
N3.HOG0000080	OG0000010	n0	XP_060403628.1							
N3.HOG0000081	OG0000012	n1	XP_060403373.1	XP_060361151.1						
N3.HOG0000082	OG0000012	n9	XP_060400763.1	XP_060367702.1						
N3.HOG0000083	OG0000012	n15	XP_060401340.1	XP_060362674.1						
N3.HOG0000084	OG0000012	n21	XP_060395547.1	XP_060365541.1						
N3.HOG0000085	OG0000012	n30	XP_060391397.1	XP_060361768.1						
N3.HOG0000086	OG0000012	n35	XP_060404556.1	XP_060358257.1						
N3.HOG0000087	OG0000012	n42	XP_060399397.1	XP_060358924.1						
N3.HOG0000088	OG0000012	n51	XP_060401099.1	XP_060360164.1						
N3.HOG0000089	OG0000012	n54	XP_060391505.1	XP_060360787.1						
N3.HOG0000090	OG0000014	n1	XP_060396017.1	XP_060360753.1						
N3.HOG0000091	OG0000014	n11	XP_060403552.1	XP_060364441.1						
N3.HOG0000092	OG0000014	n21	XP_060390329.1	XP_060369282.1						
N3.HOG0000093	OG0000014	n29	XP_060396195.1	XP_060368461.1						
N3.HOG0000094	OG0000014	n37	XP_060398696.1	XP_060363263.1						
N3.HOG0000095	OG0000014	n44	XP_060392120.1	XP_060360057.1						
N3.HOG0000096	OG0000015	n1	XP_060400724.1							
N3.HOG0000097	OG0000015	n30		XP_060359195.1						
N3.HOG0000098	OG0000015	n34		XP_060365374.1						
N3.HOG0000099	OG0000016	n1	XP_060404839.1	XP_060361705.1						
N3.HOG0000100	OG0000016	n9	XP_060391300.1	XP_060359899.1						
N3.HOG0000101	OG0000016	n21	XP_060396140.1	XP_060368408.1						
N3.HOG0000102	OG0000016	n28	XP_060398585.1	XP_060370564.1						
N3.HOG0000103	OG0000016	n45	XP_060401860.1	XP_060357468.1						
N3.HOG0000104	OG0000017	n2	XP_060399441.1							
N3.HOG0000105	OG0000017	n8	XP_060402306.1	XP_060362467.1						
N3.HOG0000106	OG0000017	n18	XP_060389867.1	XP_060362115.1						
N3.HOG0000107	OG0000017	n31	XP_060389623.1	XP_060369615.1						
N3.HOG0000108	OG0000017	n33	XP_060397678.1	XP_060366707.1						
N3.HOG0000109	OG0000017	n35	XP_060395056.1	XP_060357608.1						
N3.HOG0000110	OG0000018	n2		XP_060369068.1						
N3.HOG0000111	OG0000018	n13	XP_060402315.1	XP_060358662.1						
N3.HOG0000112	OG0000018	n42	XP_060402913.1	XP_060357754.1						
N3.HOG0000113	OG0000018	n45	XP_060391830.1	XP_060363688.1						
N3.HOG0000114	OG0000018	n47	XP_060393721.1	XP_060360494.1						
N3.HOG0000115	OG0000019	n1	XP_060389929.1	XP_060363470.1						
N3.HOG0000116	OG0000019	n12	XP_060406513.1							
N3.HOG0000117	OG0000019	n26	XP_060392153.1							
N3.HOG0000118	OG0000019	n40	XP_060406514.1	XP_060369833.1						
N3.HOG0000119	OG0000019	n43	XP_060405401.1							
N3.HOG0000120	OG0000020	n1	XP_060399447.1							
N3.HOG0000121	OG0000020	n6	XP_060393078.1, XP_060396585.1, XP_060396583.1, XP_060396584.1, XP_060401556.1, XP_060401555.1, XP_060399069.1, XP_060395242.1, XP_060399426.1, XP_060401492.1, XP_060399124.1							
N3.HOG0000122	OG0000020	n17	XP_060390577.1, XP_060390045.1							
N3.HOG0000123	OG0000020	n20	XP_060390585.1, XP_060390501.1, XP_060390481.1, XP_060390480.1, XP_060390586.1, XP_060390587.1							
N3.HOG0000124	OG0000020	n27	XP_060390905.1, XP_060390589.1, XP_060390578.1, XP_060390588.1, XP_060390590.1, XP_060399307.1, XP_060397512.1, XP_060393630.1, XP_060393594.1, XP_060397942.1, XP_060404332.1, XP_060404333.1, XP_060394021.1, XP_060399137.1, XP_060401138.1, XP_060393595.1, XP_060390397.1							
N3.HOG0000125	OG0000020	n44	XP_060396464.1, XP_060400360.1, XP_060394887.1, XP_060396463.1							
N3.HOG0000126	OG0000021	n1	XP_060404248.1	XP_060357570.1						
N3.HOG0000127	OG0000021	n17	XP_060397416.1							
N3.HOG0000128	OG0000021	n37	XP_060405662.1							
N3.HOG0000129	OG0000022	n0		XP_060363996.1, XP_060363995.1, XP_060363994.1, XP_060366453.1, XP_060371857.1, XP_060364265.1, XP_060362654.1, XP_060363347.1, XP_060363816.1, XP_060361621.1, XP_060362656.1, XP_060370132.1, XP_060357269.1, XP_060363349.1, XP_060363348.1, XP_060369340.1, XP_060360974.1, XP_060359511.1, XP_060369437.1, XP_060369413.1, XP_060369412.1, XP_060366269.1, XP_060366270.1, XP_060366278.1, XP_060366268.1, XP_060366267.1, XP_060366266.1, XP_060363746.1, XP_060357677.1, XP_060364358.1, XP_060366271.1, XP_060366272.1, XP_060366279.1, XP_060362785.1, XP_060363033.1, XP_060357037.1, XP_060357060.1, XP_060360039.1, XP_060370118.1, XP_060363901.1, XP_060367295.1, XP_060367296.1, XP_060367297.1, XP_060364288.1, XP_060370069.1, XP_060363900.1						
N3.HOG0000130	OG0000023	n1	XP_060394492.1	XP_060365025.1						
N3.HOG0000131	OG0000023	n10		XP_060363120.1						
N3.HOG0000132	OG0000023	n14	XP_060390983.1	XP_060358681.1						
N3.HOG0000133	OG0000023	n23	XP_060398582.1	XP_060370568.1						
N3.HOG0000134	OG0000023	n30	XP_060404753.1	XP_060365425.1						
N3.HOG0000135	OG0000023	n37	XP_060396269.1	XP_060368532.1						
N3.HOG0000136	OG0000024	n1	XP_060404873.1	XP_060362290.1						
N3.HOG0000137	OG0000024	n9		XP_060359663.1						
N3.HOG0000138	OG0000024	n17	XP_060403396.1	XP_060361172.1						
N3.HOG0000139	OG0000024	n28	XP_060404550.1	XP_060358801.1						
N3.HOG0000140	OG0000024	n41	XP_060397413.1	XP_060364880.1						
N3.HOG0000141	OG0000024	n43	XP_060403453.1	XP_060358991.1						
N3.HOG0000142	OG0000026	n1	XP_060403455.1	XP_060358993.1						
N3.HOG0000143	OG0000026	n14	XP_060402121.1	XP_060368993.1, XP_060368992.1						
N3.HOG0000144	OG0000026	n35	XP_060406170.1	XP_060371329.1						
N3.HOG0000145	OG0000028	n1	XP_060399361.1	XP_060357803.1						
N3.HOG0000146	OG0000028	n14	XP_060400686.1	XP_060357627.1						
N3.HOG0000147	OG0000028	n21	XP_060389510.1							
N3.HOG0000148	OG0000028	n28	XP_060399353.1	XP_060357808.1						
N3.HOG0000149	OG0000028	n34	XP_060400602.1	XP_060359227.1						
N3.HOG0000150	OG0000028	n39	XP_060395232.1	XP_060360583.1						
N3.HOG0000151	OG0000031	n1	XP_060403535.1	XP_060364458.1						
N3.HOG0000152	OG0000031	n9		XP_060369360.1						
N3.HOG0000153	OG0000031	n15	XP_060398830.1	XP_060362254.1						
N3.HOG0000154	OG0000031	n22	XP_060399269.1	XP_060363004.1						
N3.HOG0000155	OG0000031	n29	XP_060403404.1	XP_060361185.1						
N3.HOG0000156	OG0000032	n1	XP_060404934.1	XP_060359844.1						
N3.HOG0000157	OG0000032	n11	XP_060403186.1	XP_060364281.1						
N3.HOG0000158	OG0000032	n12	XP_060389385.1	XP_060364280.1, XP_060365574.1						
N3.HOG0000159	OG0000032	n20	XP_060396192.1, XP_060396193.1	XP_060359846.1						
N3.HOG0000160	OG0000032	n25	XP_060391688.1, XP_060404524.1	XP_060359704.1						
N3.HOG0000161	OG0000032	n32	XP_060399730.1	XP_060359845.1						
N3.HOG0000162	OG0000033	n1	XP_060391326.1	XP_060359875.1						
N3.HOG0000163	OG0000033	n14	XP_060391547.1, XP_060391545.1	XP_060357198.1						
N3.HOG0000164	OG0000033	n21	XP_060397257.1							
N3.HOG0000165	OG0000034	n1	XP_060393334.1	XP_060365976.1						
N3.HOG0000166	OG0000034	n10	XP_060404226.1	XP_060359479.1						
N3.HOG0000167	OG0000034	n20	XP_060391662.1	XP_060358573.1						
N3.HOG0000168	OG0000034	n29	XP_060393666.1	XP_060363708.1						
N3.HOG0000169	OG0000035	n1	XP_060392385.1	XP_060366162.1						
N3.HOG0000170	OG0000035	n10	XP_060405054.1	XP_060365611.1						
N3.HOG0000171	OG0000035	n17	XP_060399036.1							
N3.HOG0000172	OG0000035	n25		XP_060357053.1						
N3.HOG0000173	OG0000035	n29	XP_060406211.1	XP_060371363.1						
N3.HOG0000174	OG0000037	n1	XP_060403586.1	XP_060364411.1						
N3.HOG0000175	OG0000037	n12		XP_060366444.1						
N3.HOG0000176	OG0000037	n13	XP_060401095.1	XP_060357014.1						
N3.HOG0000177	OG0000037	n16	XP_060394145.1	XP_060363205.1						
N3.HOG0000178	OG0000037	n24	XP_060399323.1	XP_060359498.1						
N3.HOG0000179	OG0000038	n1	XP_060397114.1	XP_060367929.1						
N3.HOG0000180	OG0000038	n9	XP_060401530.1	XP_060363923.1						
N3.HOG0000181	OG0000038	n12	XP_060394471.1	XP_060365001.1						
N3.HOG0000182	OG0000039	n2		XP_060360015.1						
N3.HOG0000183	OG0000039	n11	XP_060399314.1							
N3.HOG0000184	OG0000039	n12	XP_060402283.1	XP_060362489.1						
N3.HOG0000185	OG0000039	n16	XP_060405429.1							
N3.HOG0000186	OG0000039	n18	XP_060404844.1	XP_060361710.1						
N3.HOG0000187	OG0000039	n23		XP_060368365.1						
N3.HOG0000188	OG0000040	n6	XP_060389871.1	XP_060362111.1						
N3.HOG0000189	OG0000040	n8	XP_060398598.1	XP_060370548.1						
N3.HOG0000190	OG0000040	n14	XP_060396507.1							
N3.HOG0000191	OG0000040	n19	XP_060397495.1, XP_060396829.1	XP_060357081.1						
N3.HOG0000192	OG0000040	n25	XP_060397367.1	XP_060357327.1						
N3.HOG0000193	OG0000041	n1	XP_060391743.1	XP_060369032.1						
N3.HOG0000194	OG0000041	n6	XP_060405425.1							
N3.HOG0000195	OG0000043	n1	XP_060389987.1	XP_060359592.1						
N3.HOG0000196	OG0000043	n9		XP_060359591.1						
N3.HOG0000197	OG0000043	n13	XP_060402897.1							
N3.HOG0000198	OG0000043	n17	XP_060391983.1							
N3.HOG0000199	OG0000043	n25	XP_060405167.1	XP_060367831.1						
N3.HOG0000200	OG0000043	n32	XP_060391787.1							
N3.HOG0000201	OG0000044	n1	XP_060391535.1	XP_060360761.1						
N3.HOG0000202	OG0000044	n10		XP_060358684.1						
N3.HOG0000203	OG0000044	n13	XP_060393902.1	XP_060361230.1						
N3.HOG0000204	OG0000044	n28	XP_060395508.1	XP_060357062.1						
N3.HOG0000205	OG0000046	n1	XP_060403289.1	XP_060362833.1						
N3.HOG0000206	OG0000046	n9	XP_060395276.1							
N3.HOG0000207	OG0000046	n16	XP_060390222.1, XP_060396070.1	XP_060360243.1						
N3.HOG0000208	OG0000046	n25	XP_060396941.1	XP_060361446.1						
N3.HOG0000209	OG0000047	n1	XP_060392437.1							
N3.HOG0000210	OG0000047	n11	XP_060397255.1							
N3.HOG0000211	OG0000047	n14	XP_060391972.1	XP_060357890.1						
N3.HOG0000212	OG0000049	n1	XP_060394521.1	XP_060365049.1						
N3.HOG0000213	OG0000049	n18	XP_060392182.1	XP_060363156.1						
N3.HOG0000214	OG0000049	n24	XP_060395332.1	XP_060358145.1						
N3.HOG0000215	OG0000050	n1	XP_060405210.1	XP_060367791.1						
N3.HOG0000216	OG0000050	n9	XP_060393904.1	XP_060361232.1						
N3.HOG0000217	OG0000050	n24	XP_060400491.1	XP_060371737.1						
N3.HOG0000218	OG0000050	n30	XP_060401610.1							
N3.HOG0000219	OG0000051	n1	XP_060397608.1	XP_060366641.1						
N3.HOG0000220	OG0000051	n9	XP_060401241.1	XP_060365214.1						
N3.HOG0000221	OG0000051	n16	XP_060401973.1	XP_060367490.1						
N3.HOG0000222	OG0000051	n23	XP_060397267.1, XP_060394615.1	XP_060368329.1						
N3.HOG0000223	OG0000052	n0	XP_060404980.1							
N3.HOG0000224	OG0000053	n4	XP_060402228.1	XP_060358230.1						
N3.HOG0000225	OG0000053	n10	XP_060390531.1	XP_060366324.1						
N3.HOG0000226	OG0000053	n13	XP_060391387.1							
N3.HOG0000227	OG0000053	n24	XP_060390308.1	XP_060366727.1						
N3.HOG0000228	OG0000054	n1	XP_060391312.1	XP_060359889.1						
N3.HOG0000229	OG0000054	n12	XP_060396191.1	XP_060358854.1						
N3.HOG0000230	OG0000054	n28	XP_060404929.1							
N3.HOG0000231	OG0000055	n1	XP_060402327.1	XP_060358650.1						
N3.HOG0000232	OG0000055	n11	XP_060401863.1	XP_060357465.1						
N3.HOG0000233	OG0000057	n1	XP_060393337.1	XP_060365979.1						
N3.HOG0000234	OG0000057	n10	XP_060391613.1	XP_060363619.1						
N3.HOG0000235	OG0000057	n16	XP_060404958.1, XP_060404957.1	XP_060357330.1						
N3.HOG0000236	OG0000058	n1	XP_060404570.1	XP_060371110.1						
N3.HOG0000237	OG0000058	n14	XP_060399232.1	XP_060365990.1						
N3.HOG0000238	OG0000058	n17	XP_060395379.1							
N3.HOG0000239	OG0000059	n1	XP_060395997.1	XP_060357826.1						
N3.HOG0000240	OG0000059	n12	XP_060402559.1	XP_060360999.1						
N3.HOG0000241	OG0000059	n19	XP_060403183.1	XP_060363442.1						
N3.HOG0000242	OG0000060	n0	XP_060403834.1							
N3.HOG0000243	OG0000063	n1	XP_060403626.1							
N3.HOG0000244	OG0000063	n4	XP_060404918.1, XP_060403607.1, XP_060398738.1							
N3.HOG0000245	OG0000063	n7	XP_060389446.1, XP_060391163.1, XP_060397699.1, XP_060404920.1, XP_060399480.1							
N3.HOG0000246	OG0000063	n13	XP_060404919.1, XP_060402492.1, XP_060403608.1, XP_060401837.1							
N3.HOG0000247	OG0000064	n1	XP_060392805.1	XP_060366492.1						
N3.HOG0000248	OG0000064	n9	XP_060390046.1	XP_060357678.1						
N3.HOG0000249	OG0000064	n18	XP_060396923.1	XP_060358594.1						
N3.HOG0000250	OG0000064	n20	XP_060404553.1	XP_060358260.1						
N3.HOG0000251	OG0000065	n2	XP_060398960.1	XP_060357974.1						
N3.HOG0000252	OG0000065	n4	XP_060392741.1	XP_060371684.1						
N3.HOG0000253	OG0000065	n12	XP_060391392.1							
N3.HOG0000254	OG0000065	n26	XP_060397344.1	XP_060363090.1						
N3.HOG0000255	OG0000065	n27	XP_060397336.1	XP_060363098.1						
N3.HOG0000256	OG0000066	n2	XP_060393191.1							
N3.HOG0000257	OG0000066	n15	XP_060393190.1	XP_060369169.1						
N3.HOG0000258	OG0000066	n22		XP_060369170.1						
N3.HOG0000259	OG0000066	n25	XP_060393189.1	XP_060369171.1						
N3.HOG0000260	OG0000067	n1	XP_060397707.1							
N3.HOG0000261	OG0000067	n12		XP_060365964.1						
N3.HOG0000262	OG0000067	n15	XP_060400547.1	XP_060357896.1						
N3.HOG0000263	OG0000067	n16	XP_060397610.1							
N3.HOG0000264	OG0000067	n18	XP_060393681.1	XP_060366931.1						
N3.HOG0000265	OG0000068	n7	XP_060405001.1	XP_060358217.1						
N3.HOG0000266	OG0000068	n9	XP_060394502.1, XP_060402651.1	XP_060357301.1						
N3.HOG0000267	OG0000068	n13	XP_060406498.1	XP_060369843.1						
N3.HOG0000268	OG0000068	n15	XP_060400012.1							
N3.HOG0000269	OG0000068	n17	XP_060394224.1	XP_060364073.1						
N3.HOG0000270	OG0000068	n19	XP_060400271.1	XP_060364072.1						
N3.HOG0000271	OG0000068	n23	XP_060406496.1	XP_060369841.1						
N3.HOG0000272	OG0000069	n1	XP_060395907.1	XP_060365123.1						
N3.HOG0000273	OG0000069	n7	XP_060395905.1	XP_060365125.1						
N3.HOG0000274	OG0000070	n2	XP_060403136.1	XP_060363391.1						
N3.HOG0000275	OG0000070	n9	XP_060398820.1	XP_060362242.1						
N3.HOG0000276	OG0000070	n14	XP_060404832.1	XP_060361698.1						
N3.HOG0000277	OG0000071	n1	XP_060391462.1	XP_060358896.1						
N3.HOG0000278	OG0000071	n9	XP_060403051.1	XP_060357533.1						
N3.HOG0000279	OG0000071	n15	XP_060395244.1	XP_060360036.1						
N3.HOG0000280	OG0000072	n2	XP_060396061.1							
N3.HOG0000281	OG0000072	n8	XP_060393039.1	XP_060360706.1						
N3.HOG0000282	OG0000072	n15	XP_060399592.1							
N3.HOG0000283	OG0000072	n20	XP_060393949.1	XP_060359796.1						
N3.HOG0000284	OG0000073	n1	XP_060394993.1	XP_060357133.1						
N3.HOG0000285	OG0000073	n10	XP_060404434.1	XP_060360011.1						
N3.HOG0000286	OG0000073	n17		XP_060359247.1						
N3.HOG0000287	OG0000073	n20	XP_060403020.1	XP_060359605.1						
N3.HOG0000288	OG0000074	n5	XP_060389371.1							
N3.HOG0000289	OG0000074	n8	XP_060404544.1							
N3.HOG0000290	OG0000074	n12	XP_060405438.1, XP_060404922.1							
N3.HOG0000291	OG0000075	n1	XP_060404523.1, XP_060389791.1	XP_060358869.1, XP_060359552.1						
N3.HOG0000292	OG0000075	n12	XP_060395237.1, XP_060398980.1							
N3.HOG0000293	OG0000075	n14	XP_060404515.1							
N3.HOG0000294	OG0000075	n16	XP_060404516.1, XP_060402131.1, XP_060389374.1, XP_060399227.1, XP_060404930.1, XP_060399226.1, XP_060405467.1							
N3.HOG0000295	OG0000075	n24	XP_060389377.1							
N3.HOG0000296	OG0000076	n1	XP_060395356.1	XP_060357074.1						
N3.HOG0000297	OG0000076	n9	XP_060390141.1	XP_060358087.1						
N3.HOG0000298	OG0000077	n2	XP_060396845.1	XP_060361456.1						
N3.HOG0000299	OG0000077	n13	XP_060394125.1	XP_060363189.1						
N3.HOG0000300	OG0000077	n15	XP_060397660.1	XP_060366688.1						
N3.HOG0000301	OG0000077	n17	XP_060393839.1	XP_060360895.1						
N3.HOG0000302	OG0000078	n1	XP_060393868.1	XP_060359138.1						
N3.HOG0000303	OG0000078	n9	XP_060400364.1	XP_060371854.1						
N3.HOG0000304	OG0000078	n17		XP_060358933.1						
N3.HOG0000305	OG0000078	n23	XP_060406397.1	XP_060368016.1						
N3.HOG0000306	OG0000079	n0	XP_060402487.1							
N3.HOG0000307	OG0000080	n1	XP_060403156.1	XP_060363411.1						
N3.HOG0000308	OG0000080	n10	XP_060404108.1	XP_060361376.1						
N3.HOG0000309	OG0000080	n17	XP_060389880.1	XP_060363513.1						
N3.HOG0000310	OG0000081	n1	XP_060391595.1	XP_060363636.1						
N3.HOG0000311	OG0000081	n9	XP_060395159.1	XP_060361111.1						
N3.HOG0000312	OG0000081	n16	XP_060392535.1	XP_060371511.1						
N3.HOG0000313	OG0000082	n1	XP_060393284.1	XP_060365931.1						
N3.HOG0000314	OG0000082	n14		XP_060357437.1						
N3.HOG0000315	OG0000082	n18	XP_060400690.1	XP_060357631.1						
N3.HOG0000316	OG0000083	n0	XP_060394127.1	XP_060363191.1						
N3.HOG0000317	OG0000084	n3		XP_060358566.1						
N3.HOG0000318	OG0000084	n4	XP_060399668.1	XP_060358452.1						
N3.HOG0000319	OG0000084	n10	XP_060401100.1	XP_060360165.1						
N3.HOG0000320	OG0000084	n15	XP_060399665.1	XP_060357244.1, XP_060358449.1						
N3.HOG0000321	OG0000085	n0	XP_060404229.1	XP_060359483.1						
N3.HOG0000322	OG0000086	n0	XP_060404979.1							
N3.HOG0000323	OG0000089	n4	XP_060398357.1	XP_060357296.1						
N3.HOG0000324	OG0000089	n5	XP_060389478.1							
N3.HOG0000325	OG0000089	n9	XP_060397764.1	XP_060362183.1						
N3.HOG0000326	OG0000089	n17	XP_060394084.1	XP_060361982.1						
N3.HOG0000327	OG0000090	n1	XP_060389701.1	XP_060369543.1						
N3.HOG0000328	OG0000090	n9	XP_060398282.1	XP_060364741.1						
N3.HOG0000329	OG0000090	n16	XP_060394311.1	XP_060370927.1						
N3.HOG0000330	OG0000091	n1	XP_060391574.1	XP_060363656.1						
N3.HOG0000331	OG0000091	n11	XP_060401689.1	XP_060365306.1						
N3.HOG0000332	OG0000091	n18		XP_060358744.1						
N3.HOG0000333	OG0000092	n1	XP_060402915.1							
N3.HOG0000334	OG0000092	n11	XP_060393723.1, XP_060391828.1							
N3.HOG0000335	OG0000093	n1	XP_060397924.1	XP_060367066.1						
N3.HOG0000336	OG0000093	n18	XP_060402254.1							
N3.HOG0000337	OG0000093	n19	XP_060394176.1	XP_060364024.1, XP_060362521.1						
N3.HOG0000338	OG0000094	n1	XP_060396262.1	XP_060368526.1						
N3.HOG0000339	OG0000094	n9	XP_060400746.1							
N3.HOG0000340	OG0000094	n18	XP_060395175.1	XP_060359455.1						
N3.HOG0000341	OG0000095	n0	XP_060399043.1	XP_060357051.1						
N3.HOG0000342	OG0000097	n1	XP_060402762.1	XP_060366839.1						
N3.HOG0000343	OG0000097	n13	XP_060402944.1	XP_060357941.1						
N3.HOG0000344	OG0000097	n20	XP_060391414.1	XP_060361781.1						
N3.HOG0000345	OG0000098	n1	XP_060397447.1	XP_060364910.1						
N3.HOG0000346	OG0000098	n10	XP_060392478.1	XP_060361123.1						
N3.HOG0000347	OG0000098	n18		XP_060361825.1						
N3.HOG0000348	OG0000098	n22	XP_060398278.1							
N3.HOG0000349	OG0000099	n1		XP_060368012.1						
N3.HOG0000350	OG0000099	n5	XP_060393137.1							
N3.HOG0000351	OG0000099	n10	XP_060400770.1							
N3.HOG0000352	OG0000099	n13	XP_060400769.1							
N3.HOG0000353	OG0000099	n18	XP_060406401.1	XP_060368011.1						
N3.HOG0000354	OG0000100	n1	XP_060396924.1	XP_060358595.1						
N3.HOG0000355	OG0000100	n9	XP_060394146.1	XP_060363206.1						
N3.HOG0000356	OG0000100	n16	XP_060399128.1	XP_060370122.1						
N3.HOG0000357	OG0000101	n1	XP_060394565.1	XP_060358948.1						
N3.HOG0000358	OG0000101	n9	XP_060397076.1	XP_060367966.1						
N3.HOG0000359	OG0000101	n16	XP_060398794.1	XP_060361545.1						
N3.HOG0000360	OG0000102	n1	XP_060398789.1	XP_060361542.1						
