Orthogroup	Colletotrichum_fructicola	Colletotrichum_gloeosporioides
OG0000005	XP_031886563.1	XP_045263231.1
OG0000005	XP_031884256.1	XP_045259151.1
OG0000005	XP_031881538.2	XP_045264508.1
OG0000005	XP_031882119.1	XP_045265263.1
OG0000007	XP_031891853.1	XP_045260514.1
OG0000007	XP_031888035.1	XP_045261201.1
OG0000007	XP_031879776.1	XP_045257729.1
OG0000007	XP_031892924.1	XP_045257532.1
OG0000007	XP_066008736.1	XP_045268873.1
OG0000007	XP_031884466.1	XP_045269482.1
OG0000007	XP_031879231.1	XP_045266165.1
OG0000007	XP_031885954.1	XP_045264675.1
OG0000007	XP_031892101.1	XP_045268895.1
OG0000009	XP_031879160.1	XP_045266170.1
OG0000009	XP_031886674.1	XP_045266649.1
OG0000009	XP_031877969.1	XP_045270044.1
OG0000009	XP_031891005.1	XP_045270865.1
OG0000009	XP_031876103.1	XP_045266537.1
OG0000009	XP_031875698.1	XP_045257284.1
OG0000009	XP_031884954.1	XP_045271349.1
OG0000009	XP_031878188.1	XP_045267669.1
OG0000012	XP_031882357.1	XP_045268575.1
OG0000012	XP_031881977.2	XP_045265200.1
OG0000012	XP_031893580.1	XP_045268671.1
OG0000012	XP_031876679.1	XP_045261078.1
OG0000012	XP_031879010.1	XP_045258025.1
OG0000012	XP_031883699.1	XP_045259368.1
OG0000014	XP_031877046.1	XP_045270236.1
OG0000014	XP_031876680.1	XP_045261063.1
OG0000014	XP_031887509.1	XP_045266342.1
OG0000014	XP_031890603.1	XP_045263961.1
OG0000014	XP_031890843.2	XP_045260775.1
OG0000014	XP_066008557.1	XP_045261682.1
OG0000014	XP_066007834.1	XP_045265112.1
OG0000014	XP_031878291.1	XP_045257268.1
OG0000015	XP_031893512.1	XP_045268750.1
OG0000015	XP_031876459.2	XP_045257154.1
OG0000015	XP_066007320.1	XP_045269300.1, XP_045257913.1
OG0000015	XP_066008914.1	XP_045268064.1
OG0000015	XP_066008106.1	XP_045261256.1
OG0000015	XP_031882141.1	XP_045263481.1
OG0000015	XP_031886805.1	XP_045266642.1
OG0000016	XP_031880285.1	XP_045268108.1
OG0000016	XP_031876331.1	XP_045271029.1
OG0000016	XP_031883261.1	XP_045260904.1
OG0000016	XP_031877054.1	XP_045270259.1
OG0000016	XP_031879498.1	XP_045261571.1
OG0000016	XP_031877246.1	XP_045265956.1
OG0000016	XP_031885199.1	XP_045266826.1
OG0000016	XP_031891541.1	XP_045263857.1
OG0000017	XP_031885060.2	XP_045266928.1
OG0000017	XP_066009939.1	XP_045267817.1
OG0000017	XP_031887534.1	XP_045262462.1
OG0000017	XP_031882331.1	XP_045263525.1
OG0000017	XP_031881014.1	XP_045269008.1
OG0000017	XP_031876845.1	XP_045257135.1
OG0000017	XP_031877837.2	XP_045265779.1
OG0000018	XP_031883195.1	XP_045267420.1
OG0000018	XP_031881787.1	XP_045259861.1
OG0000018	XP_031878868.1	XP_045261750.1
OG0000018	XP_031884569.1, XP_031891833.1	XP_045268940.1
OG0000018	XP_066007794.1	XP_045258981.1
OG0000018	XP_031878172.1	XP_045260978.1
OG0000019	XP_066007478.1	XP_045266134.1
OG0000019	XP_066009012.1	XP_045268713.1
OG0000019	XP_031892157.1	XP_045260527.1
OG0000019	XP_031881790.1	XP_045259856.1
OG0000019	XP_031885121.1, XP_031885119.1, XP_031885122.1	XP_045266922.1
OG0000019	XP_031878451.1	XP_045257775.1
OG0000021	XP_031881524.2	XP_045264872.1
OG0000021	XP_031884356.1	XP_045259100.1
OG0000021	XP_066008820.1	XP_045265250.1
OG0000021	XP_031893167.1	XP_045267277.1
OG0000023	XP_031878091.1	XP_045261010.1
OG0000023	XP_031892238.1	XP_045260488.1
OG0000023	XP_031890882.1	XP_045260626.1
OG0000023	XP_031879411.1	XP_045261585.1
OG0000023	XP_031892487.1	XP_045268220.1
OG0000023	XP_031885872.1	XP_045260319.1
OG0000024	XP_031889216.1	XP_045267895.1
OG0000024	XP_031884867.1	XP_045271336.1
OG0000024	XP_031876143.1	XP_045269445.1
OG0000024	XP_031878865.1	XP_045261730.1
OG0000024	XP_031877260.1	XP_045266000.1
OG0000026	XP_066007451.1	XP_045265987.1
OG0000026	XP_066008324.1	XP_045266356.1
OG0000026	XP_031885312.1	XP_045265695.1
OG0000026	XP_066007866.1	XP_045269525.1
OG0000026	XP_031882657.2	XP_045263044.1
OG0000026	XP_031884203.1	XP_045270172.1
OG0000026	XP_066009777.1	XP_045265549.1
OG0000028	XP_031879121.1	XP_045257477.1
OG0000028	XP_031877448.1	XP_045267627.1
OG0000028	XP_031892844.1	XP_045266376.1
OG0000028	XP_031878662.2	XP_045257481.1
OG0000028	XP_031883762.1	XP_045256637.1
OG0000031	XP_031877294.1	XP_045261170.1
OG0000031	XP_066007137.1	XP_045256974.1
OG0000031	XP_031880080.2	XP_045270959.1
OG0000031	XP_031876132.1	XP_045269450.1
OG0000031	XP_031889964.1	XP_045269569.1
OG0000032	XP_066008146.1	XP_045266811.1
OG0000032	XP_066006938.1, XP_031876210.2, XP_066007267.1, XP_066008145.1	XP_045266470.1
OG0000033	XP_066006930.1	XP_045264174.1
OG0000033	XP_031893615.1	XP_045259978.1
OG0000033	XP_066009686.1	XP_045257179.1
OG0000034	XP_031882598.1	XP_045263085.1
OG0000034	XP_066009786.1	XP_045267725.1
OG0000034	XP_031881193.1	XP_045270159.1
OG0000034	XP_031881139.1	XP_045269028.1
OG0000035	XP_031891597.1	XP_045256568.1
OG0000035	XP_031877314.1	XP_045259085.1
OG0000035	XP_031887969.1	XP_045256775.1
OG0000036	XP_031887382.1	XP_045264890.1
OG0000037	XP_031876440.1	XP_045261096.1
OG0000037	XP_031881416.2	XP_045264881.1
OG0000037	XP_031875551.1	XP_045267710.1
OG0000037	XP_031878699.1	XP_045257505.1
OG0000038	XP_031878512.1	XP_045258960.1
OG0000038	XP_031884826.1	XP_045260204.1
OG0000038	XP_031878131.1	XP_045261040.1
OG0000039	XP_066009404.1	XP_045257600.1
OG0000039	XP_031883634.1	XP_045259398.1
OG0000039	XP_031889719.2	XP_045265097.1
OG0000039	XP_031882338.2, XP_066009428.1	XP_045263475.1
OG0000039	XP_031889720.2	XP_045267267.1
OG0000039	XP_031893535.2	XP_045267266.1
OG0000040	XP_031876848.1	XP_045257150.1
OG0000040	XP_066006980.1	XP_045267145.1
OG0000041	XP_066008809.1, XP_031878989.2	XP_045267024.1
OG0000041	XP_031878639.1	XP_045264990.1
OG0000041	XP_066007225.1	XP_045268471.1
OG0000041	XP_031884351.2	XP_045259104.1
OG0000043	XP_066009815.1	XP_045259173.1
OG0000043	XP_066009814.1	XP_045259172.1
OG0000043	XP_031887649.1	XP_045262503.1
OG0000043	XP_031886183.2	XP_045260283.1
OG0000044	XP_031883461.1	XP_045259382.1
OG0000044	XP_031883135.1	XP_045259917.1
OG0000044	XP_066007975.1	XP_045256116.1
OG0000044	XP_031883763.1	XP_045264199.1
OG0000046	XP_031879259.1	XP_045266187.1
OG0000046	XP_031877509.1	XP_045256698.1
OG0000046	XP_031884116.1	XP_045270169.1
OG0000046	XP_031889476.1	XP_045268007.1
OG0000047	XP_031877364.1	XP_045259080.1
OG0000047	XP_031878178.1	XP_045267639.1
OG0000047	XP_031892080.1	XP_045260562.1
OG0000047	XP_031880996.1	XP_045261726.1
OG0000047	XP_031877361.1	XP_045259076.1
OG0000049	XP_031875597.1	XP_045263917.1
OG0000049	XP_066008031.1	XP_045269502.1
OG0000049	XP_066007293.1	XP_045268550.1
OG0000049	XP_031878198.1	XP_045267692.1
OG0000049	XP_031878866.1	XP_045261757.1
OG0000050	XP_031885916.1	XP_045271142.1
OG0000050	XP_031876129.1	XP_045269457.1
OG0000050	XP_031880097.1	XP_045256887.1
OG0000050	XP_031883855.2	XP_045264197.1
OG0000050	XP_031889948.1	XP_045262061.1
OG0000051	XP_031882199.1	XP_045263568.1
OG0000051	XP_031893375.1	XP_045267207.1
OG0000051	XP_031876728.1	XP_045257839.1
OG0000051	XP_031880004.1	XP_045258153.1
OG0000052	XP_066007043.1	XP_045258316.1
OG0000052	XP_066006807.1, XP_066009359.1, XP_066007623.1, XP_066006893.1, XP_031884041.2	XP_045261537.1
OG0000053	XP_066008598.1	XP_045258297.1
OG0000054	XP_066008425.1	XP_045260351.1
OG0000055	XP_031881410.1	XP_045264937.1
OG0000055	XP_031889319.1	XP_045262255.1
OG0000055	XP_031881451.1	XP_045260095.1
OG0000055	XP_031883717.2	XP_045270037.1
OG0000055	XP_031893329.1	XP_045257554.1
OG0000057	XP_031882595.1	XP_045263077.1
OG0000057	XP_031888147.2	XP_045256760.1
OG0000057	XP_066008837.1	XP_045266969.1
OG0000057	XP_031893026.1	XP_045259997.1
OG0000058	XP_031887143.1	XP_045268364.1
OG0000058	XP_031878750.1	XP_045256704.1
OG0000059	XP_031892770.2	XP_045256241.1
OG0000059	XP_031891472.1	XP_045263662.1
OG0000059	XP_031890900.1	XP_045270918.1
OG0000059	XP_031879333.1	XP_045267723.1
OG0000064	XP_031884461.1	XP_045258881.1
OG0000064	XP_031892616.1	XP_045256286.1
OG0000064	XP_031889409.1	XP_045268075.1
OG0000065	XP_031878261.1	XP_045257234.1
OG0000065	XP_031876601.1	XP_045260056.1
OG0000065	XP_031883119.1	XP_045267361.1
OG0000065	XP_031876068.1	XP_045261140.1
OG0000066	XP_031882995.1	XP_045267106.1
OG0000066	XP_031890226.1	XP_045259039.1, XP_045257887.1
OG0000066	XP_066009119.1	XP_045268142.1
OG0000066	XP_066008327.1	XP_045261488.1
OG0000067	XP_066008046.1	XP_045269698.1
OG0000067	XP_031883626.1	XP_045269697.1
OG0000067	XP_066008096.1	XP_045268954.1
OG0000067	XP_031878359.2	XP_045261800.1
OG0000067	XP_031887769.1	XP_045262418.1
OG0000069	XP_066007562.1, XP_031884956.1	XP_045260139.1
OG0000069	XP_031885878.2	XP_045260314.1
OG0000069	XP_031884878.1	XP_045260133.1
OG0000069	XP_031884772.1	XP_045260130.1
OG0000069	XP_031884775.1, XP_031884776.1	XP_045260129.1
OG0000070	XP_031879679.1	XP_045257325.1
OG0000070	XP_031891117.1	XP_045270929.1
OG0000070	XP_031877238.2	XP_045266006.1
OG0000070	XP_031883416.1	XP_045260902.1
OG0000070	XP_031880242.1	XP_045268118.1
OG0000071	XP_031883683.1	XP_045271076.1
OG0000071	XP_031879668.1	XP_045257723.1
OG0000071	XP_031877506.1	XP_045257576.1
OG0000071	XP_031888153.1	XP_045256765.1
OG0000072	XP_031884252.1	XP_045259157.1
OG0000072	XP_031892088.1	XP_045259279.1
OG0000072	XP_031885726.1	XP_045269192.1
OG0000072	XP_031884060.1	XP_045264153.1
OG0000073	XP_031891861.1	XP_045268969.1
OG0000073	XP_031877508.1	XP_045257575.1
OG0000073	XP_031885770.2	XP_045269220.1
OG0000074	XP_031876155.2	XP_045262110.1
OG0000075	XP_031887696.1	XP_045262378.1
OG0000076	XP_031880315.1	XP_045268151.1
OG0000076	XP_066009734.1	XP_045259171.1
OG0000076	XP_031878761.1	XP_045256734.1
OG0000077	XP_066008350.1	XP_045264585.1
OG0000077	XP_031880755.1	XP_045269087.1
OG0000078	XP_031883892.1	XP_045264238.1
OG0000078	XP_031885207.1	XP_045259506.1
OG0000078	XP_031879078.1	XP_045257967.1
OG0000080	XP_031887977.1	XP_045256773.1
OG0000080	XP_031888971.1	XP_045258370.1
OG0000080	XP_031878550.1	XP_045257656.1
OG0000081	XP_031877893.1	XP_045270071.1
OG0000081	XP_031881745.1	XP_045259778.1
OG0000081	XP_031892617.1	XP_045256341.1
OG0000082	XP_031877097.2	XP_045263124.1
OG0000082	XP_066007659.1	XP_045264969.1
OG0000082	XP_031887503.1	XP_045266348.1
OG0000082	XP_031878238.1	XP_045267659.1
OG0000083	XP_031893612.2	XP_045259975.1
OG0000083	XP_031883946.1	XP_045264175.1
OG0000083	XP_031890993.1	XP_045260673.1
OG0000084	XP_031892010.1, XP_031878263.1	XP_045257184.1
OG0000084	XP_031883049.1	XP_045267107.1
OG0000084	XP_031877130.1	XP_045263141.1
OG0000084	XP_031883666.1	XP_045259360.1
OG0000085	XP_031881447.1, XP_031881445.1, XP_031881446.1	XP_045260102.1
OG0000085	XP_031892501.1	XP_045256206.1
OG0000085	XP_031888626.1	XP_045258506.1
OG0000085	XP_031888628.1	XP_045258508.1
OG0000085	XP_066009468.1	XP_045258507.1
OG0000086	XP_066009360.1, XP_066006805.1, XP_031876997.2	XP_045261538.1, XP_045261539.1
OG0000088	XP_066007070.1	XP_045269906.1
OG0000088	XP_066006951.1	XP_045269907.1
OG0000089	XP_031887288.2	XP_045268482.1
OG0000089	XP_031888816.1	XP_045263384.1
OG0000089	XP_066007672.1	XP_045264932.1
OG0000090	XP_031887673.1	XP_045266317.1
OG0000090	XP_031887184.1	XP_045268543.1
OG0000090	XP_031888590.1	XP_045262785.1
OG0000091	XP_031877975.1	XP_045270047.1
OG0000091	XP_066007457.1	XP_045260867.1
OG0000091	XP_031890691.1	XP_045265908.1
OG0000091	XP_031891256.1	XP_045263820.1
OG0000092	XP_031876900.2, XP_066007793.1	XP_045258982.1
OG0000092	XP_066008454.1	XP_045259860.1
OG0000092	XP_066008666.1	XP_045267421.1
OG0000092	XP_031887817.1	XP_045261208.1
OG0000092	XP_066007528.1	XP_045260979.1
OG0000092	XP_066009698.1	XP_045263911.1
OG0000093	XP_031890972.1	XP_045270880.1
OG0000093	XP_066008298.1	XP_045262929.1, XP_045256273.1
OG0000093	XP_066007384.1	XP_045266064.1
OG0000094	XP_031890942.1	XP_045260730.1
OG0000094	XP_066009909.1	XP_045263904.1
OG0000094	XP_066008811.1	XP_045266902.1
OG0000095	XP_031880048.1	XP_045270992.1
OG0000095	XP_031887999.1	XP_045261234.1
OG0000095	XP_031881275.1	XP_045261698.1
OG0000095	XP_031891254.1	XP_045263815.1
OG0000097	XP_066007559.1	XP_045266067.1
OG0000097	XP_066008516.1	XP_045270122.1
OG0000097	XP_066007959.1	XP_045258858.1
OG0000098	XP_031887187.1	XP_045268539.1
OG0000098	XP_066008144.1	XP_045256500.1
OG0000098	XP_031889416.1	XP_045265565.1, XP_045258279.1
OG0000099	XP_031878986.1, XP_031878985.1	XP_045267038.1
OG0000099	XP_066007212.1	XP_045268458.1
OG0000099	XP_031875897.1	XP_045266982.1
OG0000099	XP_066009297.1	XP_045263376.1
OG0000100	XP_031889225.1	XP_045268076.1
OG0000100	XP_031881417.1	XP_045264880.1
OG0000100	XP_031881223.1	XP_045270148.1
OG0000101	XP_031875804.1	XP_045260937.1
OG0000101	XP_031880366.1	XP_045266505.1
OG0000101	XP_031880150.1	XP_045270973.1
OG0000102	XP_031880105.1	XP_045270965.1
OG0000102	XP_031893528.1	XP_045268634.1
OG0000102	XP_066009621.1	XP_045258108.1
OG0000103	XP_031887362.1	XP_045268470.1
OG0000103	XP_031878845.2	XP_045261783.1
OG0000103	XP_031879567.2, XP_066006751.1	XP_045256274.1
OG0000103	XP_066009133.1	XP_045257961.1
OG0000104	XP_066008068.1	XP_045265053.1
OG0000104	XP_066008069.1	XP_045265054.1
OG0000104	XP_031891075.1	XP_045263892.1, XP_045260604.1
OG0000104	XP_031891779.1	XP_045260555.1
OG0000104	XP_066007658.1	XP_045264965.1
OG0000105	XP_031891630.1	XP_045263765.1
OG0000105	XP_031878013.2	XP_045263970.1
OG0000105	XP_031889723.1	XP_045265094.1
OG0000107	XP_066007976.1, XP_066006725.1, XP_066006926.1, XP_066009867.1, XP_066007008.1, XP_066007404.1, XP_066006758.1, XP_066006756.1, XP_066006944.1, XP_066007991.1, XP_031884162.2, XP_066008225.1, XP_066009027.1, XP_066007941.1, XP_066007009.1, XP_066009308.1, XP_031878949.2, XP_066007268.1, XP_066007990.1	XP_045265824.1
OG0000108	XP_031884735.1	XP_045271295.1
OG0000108	XP_066007790.1	XP_045264957.1
OG0000108	XP_066007791.1	XP_045264547.1, XP_045258312.1
OG0000109	XP_066009546.1	XP_045258433.1
OG0000109	XP_031878444.1	XP_045258955.1
OG0000109	XP_031891846.1	XP_045260515.1
OG0000110	XP_031882937.1	XP_045265803.1
OG0000110	XP_031881135.1	XP_045259615.1
OG0000110	XP_031882687.2	XP_045263020.1
OG0000111	XP_031883621.2	XP_045269982.1
OG0000111	XP_031876545.1	XP_045270634.1
OG0000111	XP_031881022.1	XP_045259597.1
OG0000112	XP_031878319.1	XP_045257198.1
OG0000112	XP_031892252.1	XP_045268848.1
OG0000112	XP_031880990.1	XP_045259620.1
OG0000113	XP_031885552.1	XP_045258581.1
OG0000113	XP_031884988.2	XP_045260170.1
OG0000113	XP_031891602.1	XP_045256573.1
OG0000114	XP_066008307.1	XP_045264514.1
OG0000114	XP_031878233.1	XP_045267649.1
OG0000114	XP_031883517.1	XP_045269964.1
OG0000115	XP_031884489.1	XP_045258380.1, XP_045256141.1
OG0000115	XP_066007565.1	XP_045264904.1
OG0000115	XP_031887164.1	XP_045268406.1
OG0000117	XP_066009694.1	XP_045257155.1
OG0000120	XP_031879334.2	XP_045267818.1
OG0000120	XP_031884930.1	XP_045271284.1
OG0000120	XP_031887771.1	XP_045262416.1
OG0000121	XP_031884723.1	XP_045271258.1
OG0000121	XP_031883830.1	XP_045264842.1
OG0000121	XP_031884784.1	XP_045271280.1
OG0000122	XP_031884236.1	XP_045270217.1
OG0000122	XP_031887960.1, XP_031887961.1	XP_045261383.1
OG0000122	XP_031881543.1	XP_045264513.1
OG0000124	XP_066008883.1	XP_045267431.1
OG0000124	XP_031885995.1	XP_045271175.1
OG0000124	XP_031883215.1	XP_045267432.1
OG0000125	XP_031880255.1	XP_045268190.1
OG0000125	XP_031884481.1	XP_045258904.1
OG0000125	XP_031888194.1	XP_045261245.1
OG0000126	XP_066007882.1, XP_066007640.1, XP_031875981.1, XP_066009141.1, XP_066007279.1, XP_031875983.2	XP_045265909.1
OG0000126	XP_066009667.1, XP_031877438.2	XP_045267608.1
OG0000126	XP_066009442.1	XP_045263448.1
OG0000127	XP_031882866.1	XP_045262511.1
OG0000127	XP_066007621.1	XP_045271343.1
OG0000128	XP_031885041.1	XP_045266852.1
OG0000128	XP_031890794.2	XP_045270848.1
OG0000128	XP_031884205.1	XP_045270176.1
OG0000129	XP_031877274.1	XP_045265942.1
OG0000129	XP_066008433.1	XP_045271088.1
OG0000129	XP_031889158.1	XP_045267846.1
OG0000129	XP_031888838.1	XP_045263385.1
OG0000131	XP_031878456.2	XP_045257749.1
OG0000131	XP_066007694.1	XP_045257750.1
OG0000132	XP_031882996.1	XP_045267108.1
OG0000132	XP_031889936.1	XP_045269568.1
OG0000132	XP_031880413.2	XP_045266427.1
OG0000132	XP_031880231.1	XP_045268138.1
OG0000132	XP_031890551.1	XP_045264038.1
OG0000133	XP_031881973.2	XP_045265190.1
OG0000133	XP_031884031.1, XP_031884029.1	XP_045264158.1
OG0000133	XP_031881970.1	XP_045265189.1
OG0000134	XP_031879738.2, XP_066006763.1, XP_066008714.1, XP_066008211.1, XP_066007383.1, XP_066007209.1, XP_066007708.1, XP_066006734.1, XP_066007699.1, XP_066009729.1, XP_031878558.2, XP_066007109.1, XP_066007480.1, XP_066007570.1, XP_066008720.1, XP_066008223.1, XP_066008869.1, XP_066009341.1, XP_066006841.1, XP_066009049.1	XP_045257322.1
OG0000135	XP_066008381.1	XP_045263377.1, XP_045271037.1
OG0000136	XP_066007693.1, XP_031876219.1	XP_045258313.1
OG0000138	XP_031892419.1	XP_045266374.1
OG0000138	XP_031883866.1	XP_045264335.1
OG0000138	XP_031893606.1	XP_045260029.1
OG0000139	XP_066008477.1	XP_045270128.1
OG0000139	XP_031877919.2, XP_031877920.1	XP_045270127.1
OG0000140	XP_031883658.1	XP_045259405.1
OG0000140	XP_031886437.1	XP_045265504.1
OG0000141	XP_066007228.1	XP_045262993.1
OG0000141	XP_066008506.1	XP_045261602.1
OG0000142	XP_031889924.1	XP_045269779.1
OG0000142	XP_031884947.1	XP_045271348.1
OG0000142	XP_031879805.1	XP_045262179.1
OG0000143	XP_031889746.1	XP_045265074.1
OG0000143	XP_031883125.1	XP_045267117.1
OG0000143	XP_031883833.1	XP_045264840.1
OG0000144	XP_031877258.1	XP_045265947.1
OG0000144	XP_031887529.1	XP_045262464.1
OG0000145	XP_031888490.1	XP_045262875.1
OG0000145	XP_031888158.1	XP_045261174.1
OG0000145	XP_031879966.1	XP_045258128.1
OG0000145	XP_031879543.1	XP_045261894.1
OG0000146	XP_031877556.2	XP_045268140.1, XP_045267154.1
OG0000147	XP_066008113.1	XP_045266544.1
OG0000147	XP_031880067.1	XP_045271008.1
OG0000147	XP_031885603.1	XP_045269205.1
OG0000148	XP_031883138.1	XP_045259911.1
OG0000148	XP_031888635.1	XP_045263425.1
OG0000149	XP_031878823.2	XP_045256651.1, XP_045265422.1
OG0000149	XP_031889038.1	XP_045263374.1, XP_045263373.1
OG0000150	XP_066008230.1, XP_031875377.2, XP_066006806.1, XP_066007001.1, XP_066006964.1, XP_031875235.2, XP_031875345.1, XP_066007053.1, XP_031875324.1, XP_066007066.1, XP_031892065.1	XP_045260460.1
OG0000151	XP_031878686.1	XP_045263000.1
OG0000151	XP_031882334.1	XP_045263530.1
OG0000151	XP_031893502.1	XP_045267237.1
OG0000151	XP_031882174.1	XP_045263523.1
OG0000154	XP_031893119.1	XP_045267240.1
OG0000154	XP_031888847.1	XP_045258497.1
OG0000154	XP_031887772.1	XP_045262413.1
OG0000155	XP_031888011.2	XP_045261260.1
OG0000155	XP_031884753.1	XP_045260166.1
OG0000156	XP_031882714.1	XP_045265793.1
OG0000156	XP_031877449.1	XP_045267623.1
OG0000156	XP_031891987.1	XP_045260444.1
OG0000157	XP_066008694.1	XP_045259878.1
OG0000157	XP_066008341.1	XP_045259408.1
OG0000158	XP_031892152.1	XP_045260524.1
OG0000158	XP_031887831.1	XP_045261225.1
OG0000159	XP_031878844.1	XP_045261793.1
OG0000159	XP_066008798.1	XP_045265217.1
OG0000159	XP_066007555.1	XP_045258502.1, XP_045261060.1
OG0000160	XP_031877326.1	XP_045259057.1
OG0000160	XP_031889518.2	XP_045265070.1
OG0000160	XP_031877513.1	XP_045256694.1
OG0000161	XP_031892580.1	XP_045262216.1
OG0000161	XP_031886505.1	XP_045265487.1
OG0000161	XP_031880766.1	XP_045270352.1
OG0000162	XP_031878810.1	XP_045261732.1
OG0000162	XP_031879298.2	XP_045267737.1
OG0000163	XP_031891952.1, XP_031891955.1	XP_045264751.1
OG0000164	XP_031886348.1	XP_045271038.1
OG0000164	XP_031887623.2	XP_045262404.1
OG0000164	XP_031892619.2	XP_045256343.1
OG0000164	XP_031883553.1	XP_045270027.1
OG0000166	XP_031881118.1	XP_045268995.1
OG0000166	XP_031881093.1	XP_045268991.1
OG0000166	XP_031881090.1	XP_045268994.1
OG0000166	XP_031881091.1	XP_045268993.1
OG0000166	XP_031880956.1	XP_045268990.1
OG0000167	XP_066007510.1, XP_066008450.1, XP_031881202.2, XP_066008299.1, XP_066009300.1, XP_066006833.1, XP_066007651.1, XP_066009400.1, XP_066007082.1, XP_066007591.1, XP_066007183.1, XP_066007956.1, XP_066007495.1, XP_066007852.1, XP_066009770.1, XP_066008505.1, XP_066009288.1, XP_066007835.1, XP_066007453.1	XP_045261953.1
OG0000169	XP_066009579.1	XP_045263453.1
OG0000169	XP_031877736.2	XP_045256494.1
OG0000170	XP_031884243.1	XP_045262940.1
OG0000170	XP_031889512.1	XP_045265064.1
OG0000171	XP_031879658.2	XP_045257390.1
OG0000172	XP_031882352.1	XP_045266696.1
OG0000172	XP_031882708.1	XP_045265794.1
OG0000174	XP_031876358.1	XP_045271027.1
OG0000174	XP_031879226.1	XP_045266193.1
OG0000175	XP_031877898.2	XP_045270053.1
OG0000175	XP_031886170.1	XP_045265726.1
OG0000175	XP_031886168.1	XP_045271158.1
OG0000176	XP_031886177.1	XP_045265727.1
OG0000177	XP_066009403.1	XP_045257602.1
OG0000178	XP_031876808.1	XP_045257121.1
OG0000178	XP_066008054.1	XP_045266671.1
OG0000179	XP_031892900.1	XP_045268759.1
OG0000179	XP_031883808.1	XP_045264144.1
OG0000180	XP_031891980.1	XP_045260430.1
OG0000180	XP_031884439.1	XP_045258894.1
OG0000180	XP_031877923.1	XP_045270077.1
OG0000181	XP_031877144.1	XP_045263177.1
OG0000181	XP_031892110.1	XP_045259217.1
OG0000182	XP_031878954.1	XP_045267052.1
OG0000182	XP_031883079.1	XP_045259868.1
OG0000185	XP_066009590.1	XP_045263630.1
OG0000185	XP_031888068.2	XP_045268724.1
OG0000186	XP_031885604.1	XP_045269206.1
OG0000186	XP_031881742.1	XP_045259780.1
OG0000186	XP_031893196.1	XP_045263180.1
OG0000187	XP_031880798.2	XP_045256994.1, XP_045266151.1
OG0000187	XP_031881436.2	XP_045260084.1
OG0000188	XP_031883357.1	XP_045259714.1
OG0000188	XP_031876837.1	XP_045257131.1
OG0000188	XP_031879304.1	XP_045267833.1
OG0000189	XP_031878927.2	XP_045267061.1
OG0000189	XP_066007420.1	XP_045256543.1, XP_045260600.1
OG0000189	XP_031878458.1	XP_045257751.1
OG0000190	XP_031880243.1	XP_045268117.1
OG0000190	XP_031883417.2	XP_045260907.1
OG0000190	XP_031883679.1	XP_045271077.1
