Orthogroup	Colletotrichum_fructicola	Colletotrichum_karsti
OG0000023	XP_031885599.1	XP_038747906.1
OG0000024	XP_031889216.1	XP_038750167.1
OG0000024	XP_031884867.1	XP_038746030.1
OG0000024	XP_031880891.1	XP_038749840.1
OG0000024	XP_031878865.1	XP_038750868.1
OG0000024	XP_031877260.1	XP_038749957.1
OG0000026	XP_066007451.1	XP_038749949.1
OG0000026	XP_031885312.1	XP_038739803.1
OG0000026	XP_031884203.1	XP_038743309.1
OG0000026	XP_066009777.1	XP_038745044.1
OG0000028	XP_031879121.1	XP_038741868.1
OG0000028	XP_031877448.1	XP_038746879.1
OG0000028	XP_031892844.1	XP_038749042.1
OG0000028	XP_031878662.2	XP_038741883.1
OG0000031	XP_031877294.1	XP_038749924.1
OG0000031	XP_031880080.2	XP_038747655.1
OG0000031	XP_031889964.1	XP_038739645.1
OG0000031	XP_031888596.1	XP_038739213.1
OG0000032	XP_066006938.1, XP_031876210.2, XP_066007267.1, XP_066008145.1	XP_038749055.1
OG0000033	XP_066006930.1	XP_038743001.1
OG0000033	XP_031893615.1	XP_038745613.1
OG0000034	XP_031882598.1	XP_038741734.1
OG0000034	XP_031888869.1	XP_038746609.1
OG0000034	XP_031881193.1	XP_038748332.1
OG0000034	XP_031881139.1	XP_038749610.1
OG0000035	XP_031891597.1	XP_038741043.1
OG0000035	XP_031877314.1	XP_038739905.1
OG0000035	XP_031887969.1	XP_038738852.1
OG0000037	XP_031876440.1	XP_038742844.1
OG0000037	XP_031881416.2	XP_038739204.1
OG0000037	XP_031875551.1	XP_038747472.1
OG0000037	XP_031878699.1	XP_038741825.1
OG0000038	XP_031878512.1	XP_038740761.1
OG0000038	XP_031884826.1	XP_038746120.1
OG0000038	XP_066008711.1	XP_038741539.1
OG0000038	XP_066008632.1	XP_038740552.1, XP_038750143.1, XP_038745707.1
OG0000038	XP_031878131.1	XP_038749765.1, XP_038742808.1
OG0000039	XP_031889720.2	XP_038742949.1
OG0000041	XP_066008958.1, XP_066007124.1, XP_066007260.1, XP_066009239.1, XP_031878639.1, XP_066007225.1, XP_066008368.1, XP_031884351.2	XP_038750340.1
OG0000043	XP_066009815.1	XP_038742339.1
OG0000043	XP_066009814.1	XP_038742058.1
OG0000043	XP_031887649.1	XP_038748991.1
OG0000043	XP_031886183.2	XP_038744021.1
OG0000044	XP_031883461.1	XP_038748130.1
OG0000044	XP_066007975.1	XP_038741919.1
OG0000044	XP_031883763.1	XP_038743185.1
OG0000046	XP_031879259.1	XP_038749820.1
OG0000046	XP_031877509.1	XP_038750950.1
OG0000046	XP_031884116.1	XP_038743311.1
OG0000046	XP_031889476.1	XP_038750269.1
OG0000047	XP_031877364.1	XP_038739915.1
OG0000047	XP_031878178.1	XP_038746889.1
OG0000047	XP_031880996.1, XP_031877361.1	XP_038746304.1
OG0000049	XP_031875597.1	XP_038750320.1
OG0000049	XP_066008031.1	XP_038739678.1
OG0000049	XP_031878198.1	XP_038748549.1
OG0000049	XP_031878866.1	XP_038750912.1
OG0000050	XP_031885916.1	XP_038743985.1
OG0000050	XP_031883855.2	XP_038743187.1
OG0000050	XP_031889948.1	XP_038739079.1
OG0000051	XP_031882199.1	XP_038744342.1
OG0000051	XP_031893375.1	XP_038741321.1
OG0000051	XP_031876728.1	XP_038739555.1
OG0000051	XP_031880004.1	XP_038740059.1
OG0000052	XP_066007043.1	XP_038738656.1
OG0000052	XP_066006807.1, XP_066009359.1, XP_066007623.1, XP_066006893.1, XP_031884041.2	XP_038738657.1
OG0000054	XP_066008425.1	XP_038740594.1
OG0000054	XP_066006777.1, XP_031880558.2, XP_066007190.1, XP_066009167.1	XP_038746041.1
OG0000055	XP_031881410.1, XP_031889319.1	XP_038750112.1
OG0000055	XP_031881451.1	XP_038739230.1
OG0000055	XP_031881398.2	XP_038744694.1, XP_038750913.1
OG0000055	XP_031883717.2	XP_038741589.1
OG0000055	XP_031893329.1	XP_038741699.1
OG0000057	XP_031882595.1	XP_038749116.1
OG0000057	XP_031888147.2	XP_038738880.1
OG0000057	XP_066008837.1	XP_038742534.1
OG0000057	XP_031893026.1	XP_038744145.1
OG0000058	XP_031887143.1	XP_038751481.1
OG0000058	XP_031878750.1	XP_038741838.1
OG0000059	XP_031892770.2	XP_038748983.1
OG0000059	XP_031891472.1	XP_038744290.1
OG0000064	XP_031884461.1	XP_038741951.1
OG0000064	XP_031892616.1	XP_038748953.1
OG0000064	XP_031889409.1	XP_038750307.1
OG0000065	XP_031878261.1	XP_038744511.1
OG0000066	XP_031882995.1, XP_031890226.1, XP_031877356.2	XP_038749507.1
OG0000067	XP_066008046.1, XP_031883626.1	XP_038740481.1
OG0000067	XP_066008096.1	XP_038749718.1
OG0000067	XP_031887769.1	XP_038751112.1
OG0000068	XP_031885096.2	XP_038742454.1
OG0000068	XP_066008797.1	XP_038742456.1
OG0000069	XP_031885878.2	XP_038740857.1
OG0000069	XP_031884772.1, XP_031884771.1	XP_038740859.1
OG0000069	XP_031884775.1, XP_031884776.1	XP_038740860.1
OG0000070	XP_031879679.1	XP_038740145.1
OG0000070	XP_031877238.2	XP_038745223.1
OG0000070	XP_031883416.1, XP_031880242.1	XP_038747979.1
OG0000071	XP_031883683.1	XP_038740653.1
OG0000071	XP_031879668.1	XP_038740201.1
OG0000071	XP_031877506.1	XP_038750986.1
OG0000071	XP_031888153.1	XP_038748109.1, XP_038739379.1
OG0000072	XP_031884252.1	XP_038743394.1
OG0000072	XP_031884060.1	XP_038743218.1
OG0000073	XP_031891861.1	XP_038743687.1
OG0000073	XP_031877508.1	XP_038743264.1
OG0000073	XP_031885770.2	XP_038742548.1
OG0000075	XP_031887696.1	XP_038751168.1
OG0000076	XP_031880315.1	XP_038741037.1
OG0000076	XP_066009734.1	XP_038739795.1
OG0000076	XP_031878761.1	XP_038741889.1, XP_038747779.1
OG0000077	XP_066008350.1, XP_031880755.1	XP_038746308.1
OG0000078	XP_031883892.1	XP_038743161.1
OG0000078	XP_031885207.1	XP_038750812.1
OG0000078	XP_031879078.1	XP_038742590.1
OG0000080	XP_031887977.1	XP_038738858.1
OG0000080	XP_031888971.1	XP_038746709.1
OG0000080	XP_031878550.1	XP_038751018.1
OG0000081	XP_031877893.1	XP_038748232.1
OG0000081	XP_031881745.1	XP_038747984.1
OG0000081	XP_031892617.1	XP_038741010.1
OG0000082	XP_031877097.2	XP_038744232.1
OG0000082	XP_066007659.1	XP_038740928.1
OG0000082	XP_031878238.1	XP_038746901.1
OG0000083	XP_031883146.1	XP_038745615.1
OG0000083	XP_031893612.2	XP_038744246.1
OG0000083	XP_031883946.1, XP_031890993.1	XP_038740672.1
OG0000085	XP_031881447.1, XP_031881445.1, XP_031881446.1	XP_038740897.1
OG0000085	XP_031892501.1	XP_038747830.1
OG0000085	XP_031886043.2, XP_031888626.1	XP_038744429.1
OG0000085	XP_031888628.1	XP_038744428.1
OG0000085	XP_066009468.1	XP_038751259.1
OG0000086	XP_066009360.1, XP_066006805.1, XP_031876997.2	XP_038738655.1
OG0000088	XP_066006859.1, XP_066009041.1, XP_066007021.1, XP_031875582.1, XP_066006820.1, XP_066009117.1, XP_066008957.1, XP_066007057.1, XP_066006845.1, XP_066007120.1, XP_066008937.1, XP_066007070.1, XP_066006951.1, XP_066008960.1, XP_066009068.1, XP_066007015.1, XP_066006910.1, XP_066007192.1	XP_038741537.1
OG0000089	XP_066007672.1	XP_038739171.1
OG0000090	XP_031887673.1	XP_038751256.1
OG0000090	XP_031887184.1	XP_038751721.1
OG0000090	XP_031888590.1	XP_038749487.1
OG0000091	XP_031877975.1	XP_038748252.1
OG0000091	XP_066007457.1	XP_038745426.1
OG0000091	XP_031891256.1	XP_038747421.1
OG0000092	XP_031887817.1, XP_066007528.1, XP_066009698.1	XP_038740723.1
OG0000093	XP_031890972.1	XP_038745039.1
OG0000093	XP_066008298.1	XP_038748964.1
OG0000093	XP_031876830.1	XP_038746212.1
OG0000094	XP_031890942.1	XP_038745580.1
OG0000094	XP_066009909.1	XP_038747342.1
OG0000094	XP_031889231.2	XP_038750495.1
OG0000094	XP_066008811.1	XP_038742532.1
OG0000095	XP_031880048.1	XP_038750878.1, XP_038747813.1
OG0000095	XP_031887999.1	XP_038741429.1
OG0000095	XP_031881275.1	XP_038748346.1
OG0000097	XP_066007559.1	XP_038742869.1
OG0000097	XP_066008516.1	XP_038748302.1
OG0000097	XP_066007959.1	XP_038741979.1
OG0000098	XP_031887187.1	XP_038751718.1
OG0000098	XP_031893238.1, XP_066008144.1	XP_038748852.1
OG0000098	XP_031889416.1	XP_038743981.1
OG0000099	XP_031878986.1, XP_031878985.1	XP_038751689.1
OG0000099	XP_031875897.1	XP_038744174.1
OG0000100	XP_031889225.1	XP_038750308.1
OG0000100	XP_031881417.1	XP_038739203.1
OG0000100	XP_031881223.1	XP_038748325.1
OG0000101	XP_031875804.1	XP_038742730.1
OG0000101	XP_031880366.1	XP_038744517.1
OG0000101	XP_031880150.1	XP_038747621.1
OG0000102	XP_031880105.1	XP_038747623.1
OG0000102	XP_031893528.1	XP_038741620.1
OG0000102	XP_066009621.1	XP_038740089.1
OG0000103	XP_031887362.1, XP_031878845.2	XP_038750902.1
OG0000103	XP_031884557.2	XP_038747604.1
OG0000103	XP_031879567.2, XP_066006751.1	XP_038748963.1
OG0000104	XP_066008068.1, XP_066008069.1	XP_038746213.1
OG0000104	XP_066007658.1	XP_038740930.1
OG0000105	XP_031878013.2	XP_038746459.1
OG0000105	XP_031889723.1	XP_038738705.1
OG0000107	XP_066007976.1, XP_066006725.1, XP_066006926.1, XP_066009867.1, XP_066007008.1, XP_066007404.1, XP_066006758.1, XP_066006756.1, XP_066006944.1, XP_066007991.1, XP_031884162.2, XP_066008225.1, XP_066009027.1, XP_066007941.1, XP_066007009.1, XP_066009308.1, XP_031878949.2, XP_066007268.1	XP_038740631.1
OG0000108	XP_031884735.1	XP_038744051.1
OG0000108	XP_066007791.1	XP_038743418.1, XP_038740413.1
OG0000109	XP_031878444.1	XP_038738946.1
OG0000110	XP_031882937.1	XP_038748627.1
OG0000110	XP_031881135.1	XP_038749526.1
OG0000110	XP_031882687.2	XP_038747759.1, XP_038741778.1
OG0000111	XP_031883621.2	XP_038748174.1
OG0000111	XP_031876545.1	XP_038750864.1
OG0000112	XP_031878319.1	XP_038740382.1
OG0000112	XP_031892252.1	XP_038740557.1
OG0000112	XP_031880990.1	XP_038749524.1
OG0000113	XP_031885552.1	XP_038739961.1
OG0000113	XP_031884988.2	XP_038746085.1
OG0000113	XP_031891602.1	XP_038741048.1
OG0000114	XP_066008307.1	XP_038744642.1
OG0000114	XP_031883517.1	XP_038748159.1
OG0000115	XP_031887164.1	XP_038751602.1
OG0000116	XP_066008530.1, XP_066009153.1, XP_066007611.1, XP_066006795.1, XP_031875469.2, XP_066008531.1	XP_038740805.1
OG0000120	XP_031879334.2	XP_038747307.1
OG0000121	XP_031884723.1	XP_038746143.1
OG0000121	XP_031883830.1	XP_038739237.1
OG0000122	XP_031884236.1	XP_038741719.1
OG0000122	XP_031886524.1	XP_038743612.1
OG0000123	XP_031877558.1	XP_038748221.1
OG0000124	XP_066008883.1, XP_031885995.1, XP_031883215.1, XP_031883067.1	XP_038742694.1
OG0000125	XP_031880255.1	XP_038750384.1
OG0000125	XP_031884481.1	XP_038741937.1
OG0000125	XP_031888194.1	XP_038741419.1
OG0000126	XP_066007882.1, XP_066007640.1, XP_031875981.1, XP_066009141.1, XP_066007279.1, XP_031875983.2	XP_038746236.1
OG0000126	XP_066009667.1, XP_031877438.2, XP_066009442.1	XP_038749121.1, XP_038749122.1
OG0000127	XP_031882866.1	XP_038748761.1
OG0000127	XP_031879341.1	XP_038747323.1
OG0000127	XP_066007621.1	XP_038745992.1
OG0000128	XP_031885041.1	XP_038742142.1
OG0000128	XP_031890794.2	XP_038747675.1
OG0000129	XP_031877274.1	XP_038749923.1
OG0000129	XP_031889158.1, XP_031888838.1	XP_038746452.1
OG0000131	XP_066007694.1	XP_038740696.1
OG0000132	XP_031882996.1, XP_031889936.1, XP_031880413.2, XP_031880231.1, XP_031890551.1	XP_038741408.1
OG0000133	XP_031881973.2	XP_038742937.1
OG0000133	XP_031884031.1, XP_031884029.1	XP_038741362.1
OG0000133	XP_031882082.1	XP_038740462.1, XP_038742938.1
OG0000136	XP_031878463.1	XP_038740219.1
OG0000138	XP_031892419.1	XP_038749040.1
OG0000138	XP_031883866.1	XP_038743077.1
OG0000138	XP_031893606.1	XP_038744074.1
OG0000139	XP_066008477.1	XP_038748311.1
OG0000140	XP_031883658.1	XP_038741762.1
OG0000140	XP_031886437.1	XP_038744937.1
OG0000142	XP_031889924.1	XP_038746290.1
OG0000142	XP_031884947.1	XP_038745994.1
OG0000142	XP_031879805.1	XP_038739464.1
OG0000143	XP_031889746.1	XP_038742306.1
OG0000143	XP_031883833.1	XP_038739238.1
OG0000144	XP_031877258.1	XP_038749918.1
OG0000144	XP_031887529.1	XP_038747213.1, XP_038740746.1
OG0000145	XP_031888490.1	XP_038749178.1
OG0000145	XP_031888158.1, XP_031879966.1	XP_038749898.1
OG0000147	XP_066008113.1	XP_038744544.1
OG0000147	XP_031880067.1	XP_038747791.1
OG0000147	XP_031885603.1	XP_038745855.1
OG0000148	XP_031883138.1	XP_038744702.1
OG0000148	XP_031888635.1	XP_038746479.1
OG0000148	XP_066007207.1	XP_038740736.1
OG0000149	XP_031889038.1	XP_038744469.1
OG0000150	XP_066008230.1, XP_031875377.2, XP_066006806.1, XP_066007001.1, XP_066006964.1, XP_031875235.2, XP_031875345.1, XP_066007053.1, XP_031875324.1, XP_066007066.1, XP_031892065.1	XP_038740497.1
OG0000151	XP_031882334.1	XP_038746533.1
OG0000151	XP_031893502.1, XP_031882174.1	XP_038739313.1
OG0000154	XP_031893119.1	XP_038739316.1
OG0000154	XP_031888847.1	XP_038746585.1
OG0000154	XP_031887772.1	XP_038751114.1
OG0000155	XP_031888162.1	XP_038741478.1
OG0000155	XP_031888011.2, XP_031884753.1	XP_038748080.1
OG0000156	XP_031882714.1	XP_038748618.1
OG0000156	XP_031877449.1	XP_038746874.1
OG0000156	XP_031891987.1	XP_038740509.1
OG0000158	XP_031892152.1	XP_038742332.1
OG0000158	XP_031887831.1	XP_038741442.1
OG0000159	XP_031878844.1	XP_038750911.1
OG0000159	XP_066007555.1	XP_038747659.1
OG0000160	XP_031877326.1	XP_038739928.1
OG0000160	XP_031889518.2, XP_031877513.1	XP_038750954.1
OG0000161	XP_031892580.1	XP_038745894.1
OG0000161	XP_031880766.1	XP_038750617.1
OG0000162	XP_031878810.1	XP_038746043.1
OG0000162	XP_031879298.2	XP_038746951.1
OG0000163	XP_031891952.1, XP_031891955.1	XP_038742288.1
OG0000164	XP_031887623.2	XP_038751150.1
OG0000164	XP_031883553.1	XP_038748207.1
OG0000166	XP_031881119.2	XP_038749582.1
OG0000166	XP_031881118.1	XP_038749581.1
OG0000166	XP_031881120.1, XP_031881093.1, XP_031881090.1, XP_031881091.1, XP_031880956.1	XP_038749579.1
OG0000169	XP_031877736.2	XP_038748846.1
OG0000170	XP_031884243.1, XP_031889512.1	XP_038740584.1
OG0000171	XP_031884556.1	XP_038748624.1
OG0000171	XP_031879658.2	XP_038745850.1
OG0000172	XP_031882352.1	XP_038751888.1
OG0000172	XP_031882708.1	XP_038748619.1
OG0000174	XP_031876358.1	XP_038740605.1
OG0000174	XP_031879226.1	XP_038749826.1
OG0000175	XP_031877898.2	XP_038748259.1
OG0000176	XP_031886177.1	XP_038739056.1
OG0000177	XP_066007917.1	XP_038739673.1
OG0000178	XP_031876808.1	XP_038740415.1
OG0000178	XP_066008054.1	XP_038748052.1
OG0000179	XP_031892900.1	XP_038750081.1
OG0000179	XP_031883808.1	XP_038743226.1
OG0000180	XP_031891980.1	XP_038740525.1
OG0000180	XP_031884439.1	XP_038741945.1
OG0000180	XP_031877923.1	XP_038748217.1
OG0000181	XP_031877144.1	XP_038744182.1
OG0000181	XP_031892110.1	XP_038743700.1
OG0000182	XP_031878954.1	XP_038738759.1
OG0000182	XP_031883079.1	XP_038744740.1
OG0000185	XP_066009590.1	XP_038750433.1
OG0000186	XP_031885604.1	XP_038745854.1
OG0000186	XP_031893196.1	XP_038744178.1
OG0000187	XP_031880798.2	XP_038743693.1
OG0000187	XP_031881436.2	XP_038746896.1
OG0000188	XP_031883357.1	XP_038739581.1
OG0000188	XP_031876837.1	XP_038740418.1
OG0000188	XP_031879304.1	XP_038747325.1
OG0000190	XP_031880243.1	XP_038750331.1
OG0000190	XP_031883679.1	XP_038749956.1
OG0000190	XP_031887848.1	XP_038741334.1
OG0000191	XP_031878464.1, XP_031892880.1, XP_031879403.1, XP_066008216.1, XP_066007923.1	XP_038741986.1
OG0000192	XP_031883459.1, XP_066008664.1	XP_038746963.1
OG0000196	XP_031885861.1	XP_038745731.1
OG0000198	XP_031880440.1	XP_038749063.1
OG0000198	XP_031884191.2	XP_038743374.1
OG0000199	XP_031881514.2	XP_038740947.1
OG0000199	XP_031878197.1	XP_038748546.1
OG0000199	XP_031889276.1	XP_038742483.1
OG0000200	XP_066009048.1, XP_066008141.1	XP_038749054.1, XP_038750872.1
OG0000200	XP_031890723.1	XP_038745596.1
OG0000201	XP_031879948.1	XP_038740041.1
OG0000202	XP_031893469.1	XP_038745747.1
OG0000202	XP_031885556.1	XP_038740270.1
OG0000203	XP_031881029.2	XP_038747845.1
OG0000203	XP_066009155.1	XP_038750085.1
OG0000203	XP_031889330.1	XP_038750036.1
OG0000204	XP_031884050.1, XP_031884046.2, XP_031884045.1	XP_038743222.1
OG0000205	XP_031882960.1	XP_038744878.1
OG0000207	XP_031877126.1	XP_038744179.1
OG0000207	XP_031880403.1	XP_038749111.1
OG0000209	XP_031885758.1	XP_038745830.1
OG0000209	XP_031885762.1	XP_038745834.1
OG0000209	XP_031885693.1	XP_038745833.1
OG0000212	XP_031881083.1	XP_038749518.1
OG0000212	XP_031876057.1	XP_038749934.1
OG0000213	XP_066009518.1, XP_066007604.1	XP_038751149.1
OG0000214	XP_031881265.1	XP_038748335.1
OG0000214	XP_031893287.1	XP_038740737.1
OG0000214	XP_031886158.1	XP_038743992.1
OG0000216	XP_031884282.1, XP_031886453.1	XP_038744948.1
OG0000216	XP_031889686.1	XP_038746295.1
OG0000217	XP_031884155.2	XP_038743269.1
OG0000217	XP_066008462.1	XP_038742706.1, XP_038745186.1, XP_038749127.1, XP_038740580.1
OG0000219	XP_031883494.1	XP_038748162.1
OG0000219	XP_031876123.2	XP_038742192.1, XP_038746177.1, XP_038740393.1
OG0000220	XP_031893537.1	XP_038739337.1
OG0000220	XP_031889643.1	XP_038746386.1
OG0000221	XP_031878290.1	XP_038745620.1
OG0000221	XP_031878287.1	XP_038750411.1, XP_038745619.1
OG0000222	XP_031877985.1	XP_038747147.1
OG0000222	XP_031885608.1	XP_038745825.1
OG0000223	XP_066009407.1	XP_038747932.1
OG0000223	XP_031889263.1	XP_038746964.1
OG0000224	XP_031880532.1, XP_066008997.1, XP_066009863.1	XP_038750814.1
OG0000225	XP_031889375.1	XP_038750053.1
OG0000225	XP_031892168.1	XP_038743690.1
OG0000227	XP_031876870.1	XP_038740801.1
OG0000227	XP_031881032.2	XP_038749601.1
OG0000228	XP_031885764.1	XP_038745837.1
OG0000228	XP_031884073.2	XP_038743204.1
OG0000229	XP_031892114.1	XP_038743729.1
OG0000229	XP_031885908.1	XP_038743991.1
OG0000231	XP_031878898.1	XP_038742554.1
OG0000231	XP_031880183.1	XP_038750324.1
OG0000232	XP_031885108.1	XP_038742518.1
OG0000233	XP_031877944.2	XP_038741520.1
OG0000234	XP_031881677.1	XP_038744594.1
OG0000234	XP_031884476.1	XP_038741958.1
OG0000235	XP_031885114.1	XP_038742153.1
OG0000235	XP_031887506.1	XP_038744622.1
OG0000236	XP_031891031.1	XP_038745538.1
OG0000237	XP_031889135.2	XP_038750090.1
OG0000237	XP_031881368.1	XP_038741384.1, XP_038740908.1
OG0000238	XP_031880382.1	XP_038749081.1
OG0000238	XP_066008315.1, XP_066008101.1	XP_038749080.1, XP_038749082.1
OG0000239	XP_031880091.1	XP_038747819.1
OG0000239	XP_031887185.1	XP_038751722.1
OG0000241	XP_031888065.1	XP_038750100.1
OG0000242	XP_031881057.1	XP_038749658.1
OG0000242	XP_031889923.1	XP_038746289.1
OG0000244	XP_031883110.1, XP_031883109.1	XP_038743945.1
OG0000244	XP_031885953.1	XP_038741606.1
OG0000248	XP_031887254.2	XP_038751618.1
OG0000249	XP_031876298.2, XP_066009140.1, XP_031875584.1, XP_066009937.1	XP_038745808.1
OG0000250	XP_066008305.1	XP_038744675.1
OG0000250	XP_031893467.1	XP_038741258.1
OG0000251	XP_031875844.1	XP_038743852.1
OG0000251	XP_031879335.1	XP_038747326.1
OG0000252	XP_031879773.1	XP_038740198.1
OG0000252	XP_031892605.1	XP_038748933.1
OG0000252	XP_031885018.2	XP_038742148.1
OG0000253	XP_031885612.1	XP_038745829.1
OG0000253	XP_031883425.1	XP_038745378.1
OG0000254	XP_031883415.1	XP_038740217.1
OG0000254	XP_031880698.1	XP_038749706.1
OG0000255	XP_031882041.1	XP_038743058.1
OG0000255	XP_031890572.2	XP_038748469.1
OG0000256	XP_031893402.1	XP_038741499.1
OG0000256	XP_031888239.1	XP_038749324.1
OG0000257	XP_066008568.1	XP_038747913.1
OG0000258	XP_031878160.1	XP_038742745.1
OG0000258	XP_031877926.1	XP_038748228.1
OG0000259	XP_031879986.1	XP_038740103.1
OG0000259	XP_031881096.1	XP_038749549.1
OG0000260	XP_031893328.1	XP_038741591.1
OG0000260	XP_031880983.1	XP_038749530.1
OG0000261	XP_031882829.1, XP_031887648.1	XP_038748993.1, XP_038746275.1, XP_038748340.1, XP_038748992.1
OG0000262	XP_031878314.1	XP_038740387.1
OG0000262	XP_031877319.1	XP_038739923.1
OG0000263	XP_031888186.1	XP_038741063.1
OG0000263	XP_031892380.1	XP_038748794.1
OG0000265	XP_031884627.1	XP_038741953.1
OG0000265	XP_031877411.1	XP_038745344.1
OG0000266	XP_031884517.1	XP_038741978.1
OG0000266	XP_066009697.1	XP_038747346.1
OG0000267	XP_031884833.1	XP_038745984.1
OG0000268	XP_066007782.1	XP_038739208.1
OG0000268	XP_031883323.1	XP_038747178.1
OG0000269	XP_031886304.1, XP_031882560.1	XP_038744978.1, XP_038740014.1
OG0000270	XP_031879611.1	XP_038739100.1
OG0000270	XP_066008431.1	XP_038747193.1
OG0000271	XP_031877947.1, XP_031882514.1	XP_038748280.1
OG0000272	XP_066009908.1	XP_038747341.1
OG0000272	XP_031886352.2, XP_066007170.1	XP_038741356.1
OG0000273	XP_031892165.1	XP_038743692.1
OG0000273	XP_066009187.1	XP_038750155.1
